1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1351.91),(2 2826.5037),(3 4051.1287),(4 4919.013),(5 5676.5986),(6 6331.68),(7 6845.8784),(8 7479.9033),(9 7881.186),(10 8235.306),(11 8592.271),(12 8917.895),(13 9232.36),(14 9415.639),(15 9566.298),(16 9744.263),(17 9957.948),(18 10135.088),(19 10305.088),(20 10506.29),(21 10643.815),(22 10806.281),(23 10841.4375),(24 11006.31),(25 11175.302),(26 11283.097),(27 11409.864),(28 11433.298),(29 11497.163),(30 11590.92),(31 11685.118),(32 11756.587),(33 11831.269),(34 11838.258),(35 11863.978),(36 11907.095),(37 11858.455),(38 11847.302),(39 11882.359),(40 11953.949),(41 11977.038),(42 12033.039),(43 12125.105),(44 12260.193),(45 12403.459),(46 12439.355),(47 12489.602),(48 12564.194),(49 12698.89),(50 12764.627),(51 12828.329),(52 12874.679),(53 12887.262),(54 12895.829),(55 12961.412),(56 13003.475),(57 13077.462),(58 13112.458),(59 13120.818),(60 13105.281),(61 13118.262),(62 13166.138),(63 13374.296),(64 13503.575),(65 13594.935),(66 13624.713),(67 13666.268),(68 13687.263),(69 13700.512),(70 13712.456),(71 13690.325),(72 13689.438),(73 13657.897),(74 13626.97),(75 13604.473),(76 13474.144),(77 13445.307),(78 13425.749),(79 13356.569),
(1 1376.2366),(2 2864.2454),(3 4118.2397),(4 4969.6177),(5 5681.5923),(6 6306.556),(7 6816.0615),(8 7394.833),(9 7750.472),(10 8111.741),(11 8433.678),(12 8731.046),(13 9076.634),(14 9344.521),(15 9605.403),(16 9811.789),(17 10028.834),(18 10184.362),(19 10384.92),(20 10503.263),(21 10619.563),(22 10691.485),(23 10764.129),(24 10843.625),(25 10927.972),(26 11063.5),(27 11215.666),(28 11359.978),(29 11492.414),(30 11649.38),(31 11742.785),(32 11855.3955),(33 11963.703),(34 12036.082),(35 12117.369),(36 12155.806),(37 12092.093),(38 12017.995),(39 12003.953),(40 11988.43),(41 12039.195),(42 12049.83),(43 12157.114),(44 12342.494),(45 12509.002),(46 12566.5205),(47 12574.951),(48 12608.541),(49 12694.125),(50 12763.825),(51 12873.614),(52 12977.344),(53 13071.532),(54 13108.089),(55 13093.105),(56 13041.219),(57 13009.658),(58 12921.866),(59 12968.989),(60 13002.136),(61 13061.69),(62 13098.219),(63 13202.002),(64 13252.203),(65 13311.303),(66 13338.189),(67 13374.036),(68 13356.552),(69 13416.049),(70 13483.056),(71 13520.851),(72 13433.481),(73 13352.885),(74 13274.28),(75 13289.077),(76 13253.008),(77 13126.556),(78 13081.395),(79 13105.022),
(1 1359.6616),(2 2789.0159),(3 3990.0964),(4 4817.5625),(5 5523.337),(6 6049.7183),(7 6515.694),(8 7035.0317),(9 7385.3633),(10 7751.6377),(11 8107.744),(12 8437.647),(13 8781.687),(14 9007.906),(15 9188.204),(16 9330.728),(17 9491.611),(18 9641.222),(19 9856.019),(20 9985.775),(21 10129.971),(22 10260.84),(23 10386.029),(24 10462.8),(25 10551.9795),(26 10583.189),(27 10618.468),(28 10653.1045),(29 10753.618),(30 10866.118),(31 10962.998),(32 10978.711),(33 11068.768),(34 11136.158),(35 11130.037),(36 11113.977),(37 11082.776),(38 11111.951),(39 11117.354),(40 11095.187),(41 11207.34),(42 11300.854),(43 11449.491),(44 11557.691),(45 11562.806),(46 11574.37),(47 11637.626),(48 11697.866),(49 11764.611),(50 11765.329),(51 11798.675),(52 11872.911),(53 11984.599),(54 12089.119),(55 12190.426),(56 12215.2705),(57 12193.329),(58 12167.937),(59 12223.208),(60 12233.716),(61 12290.827),(62 12323.927),(63 12379.056),(64 12457.395),(65 12470.02),(66 12444.255),(67 12506.292),(68 12549.697),(69 12589.81),(70 12672.454),(71 12733.017),(72 12763.772),(73 12743.696),(74 12790.555),(75 12876.983),(76 12904.219),(77 12829.454),(78 12797.462),(79 12804.353),
(1 1360.8406),(2 2753.6218),(3 3907.5415),(4 4681.372),(5 5339.871),(6 5896.8857),(7 6354.701),(8 6903.464),(9 7265.7515),(10 7658.696),(11 8084.904),(12 8491.985),(13 8805.536),(14 8988.688),(15 9164.599),(16 9328.797),(17 9465.23),(18 9649.452),(19 9870.9),(20 10072.938),(21 10228.745),(22 10383.41),(23 10482.071),(24 10616.034),(25 10702.815),(26 10793.118),(27 10884.321),(28 10983.089),(29 11052.067),(30 11141.84),(31 11150.455),(32 11110.125),(33 11103.06),(34 11122.7705),(35 11126.074),(36 11156.36),(37 11181.019),(38 11169.298),(39 11169.206),(40 11177.988),(41 11191.18),(42 11229.013),(43 11321.972),(44 11447.682),(45 11535.511),(46 11620.878),(47 11702.586),(48 11841.618),(49 11947.024),(50 12008.294),(51 12130.199),(52 12184.195),(53 12223.243),(54 12256.319),(55 12276.895),(56 12300.764),(57 12333.578),(58 12326.355),(59 12310.206),(60 12292.524),(61 12292.202),(62 12329.577),(63 12294.442),(64 12290.807),(65 12216.893),(66 12248.449),(67 12243.739),(68 12153.131),(69 12132.33),(70 12117.923),(71 12143.999),(72 12141.394),(73 12126.119),(74 12090.069),(75 12154.832),(76 12125.8),(77 12077.783),(78 12052.478),(79 12064.997),
(1 1304.9434),(2 2665.4292),(3 3814.073),(4 4613.303),(5 5284.3857),(6 5842.8516),(7 6324.324),(8 6854.228),(9 7245.861),(10 7635.533),(11 7999.728),(12 8283.196),(13 8526.372),(14 8683.249),(15 8913.602),(16 9066.516),(17 9191.569),(18 9309.584),(19 9467.656),(20 9580.697),(21 9748.213),(22 9875.823),(23 9975.025),(24 10068.194),(25 10087.987),(26 10146.442),(27 10196.519),(28 10263.058),(29 10318.532),(30 10381.1045),(31 10402.847),(32 10398.053),(33 10406.166),(34 10435.193),(35 10528.036),(36 10559.549),(37 10538.025),(38 10476.3955),(39 10476.758),(40 10491.273),(41 10559.846),(42 10655.592),(43 10685.275),(44 10714.448),(45 10711.875),(46 10771.087),(47 10870.978),(48 10976.575),(49 11109.625),(50 11203.076),(51 11294.642),(52 11320.836),(53 11320.987),(54 11380.172),(55 11515.322),(56 11588.757),(57 11553.558),(58 11547.907),(59 11563.583),(60 11573.404),(61 11620.254),(62 11654.75),(63 11709.055),(64 11731.78),(65 11723.028),(66 11759.541),(67 11787.204),(68 11814.234),(69 11910.105),(70 12001.147),(71 12030.962),(72 12050.654),(73 12044.319),(74 12080.472),(75 12069.101),(76 12073.238),(77 12155.254),(78 12188.983),(79 12239.667),
(1 1319.3887),(2 2673.3994),(3 3798.199),(4 4583.9526),(5 5247.604),(6 5773.366),(7 6235.0483),(8 6765.8125),(9 7168.0303),(10 7635.0537),(11 8078.228),(12 8422.15),(13 8688.25),(14 8846.05),(15 9143.783),(16 9355.027),(17 9477.227),(18 9607.596),(19 9772.421),(20 9863.289),(21 9971.664),(22 10028.954),(23 10092.686),(24 10157.872),(25 10181.025),(26 10181.218),(27 10245.297),(28 10302.528),(29 10409.35),(30 10465.345),(31 10526.808),(32 10573.502),(33 10627.36),(34 10704.052),(35 10724.887),(36 10702.218),(37 10736.2),(38 10680.509),(39 10718.147),(40 10713.297),(41 10760.663),(42 10849.337),(43 10847.425),(44 10852.269),(45 10825.934),(46 10837.877),(47 10939.934),(48 11004.591),(49 11011.33),(50 11014.47),(51 11154.1045),(52 11294.613),(53 11328.656),(54 11427.126),(55 11519.656),(56 11613.775),(57 11671.889),(58 11677.699),(59 11716.025),(60 11683.039),(61 11704.807),(62 11734.219),(63 11864.808),(64 11950.847),(65 11942.6045),(66 11993.163),(67 12018.051),(68 12073.855),(69 12099.045),(70 12187.733),(71 12204.336),(72 12234.789),(73 12301.675),(74 12382.853),(75 12468.988),(76 12501.873),(77 12524.139),(78 12500.024),(79 12534.029),
(1 1310.8464),(2 2640.877),(3 3719.133),(4 4510.3945),(5 5131.264),(6 5677.209),(7 6184.5796),(8 6727.3594),(9 7133.331),(10 7557.154),(11 7931.7925),(12 8296.569),(13 8598.308),(14 8837.445),(15 9073.136),(16 9274.755),(17 9365.064),(18 9458.079),(19 9576.102),(20 9677.846),(21 9787.735),(22 9858.275),(23 9845.111),(24 9817.706),(25 9819.427),(26 9866.442),(27 9888.0205),(28 9947.175),(29 9994.503),(30 10046.954),(31 10046.442),(32 10041.71),(33 10106.677),(34 10160.471),(35 10198.525),(36 10217.12),(37 10165.538),(38 10186.297),(39 10281.939),(40 10386.21),(41 10518.817),(42 10596.778),(43 10690.981),(44 10707.719),(45 10749.793),(46 10787.762),(47 10831.39),(48 10840.341),(49 10796.207),(50 10818.752),(51 10880.817),(52 10943.225),(53 10962.297),(54 11103.384),(55 11193.645),(56 11217.982),(57 11251.18),(58 11222.777),(59 11282.302),(60 11287.847),(61 11260.258),(62 11307.389),(63 11404.764),(64 11517.68),(65 11633.579),(66 11654.091),(67 11677.13),(68 11693.502),(69 11707.57),(70 11809.748),(71 11916.159),(72 12049.886),(73 12218.412),(74 12289.838),(75 12368.247),(76 12365.36),(77 12383.617),(78 12270.627),(79 12218.794),
(1 1310.087),(2 2647.92),(3 3749.4111),(4 4555.797),(5 5194.501),(6 5771.7305),(7 6255.822),(8 6770.8896),(9 7154.236),(10 7550.3315),(11 7893.9297),(12 8157.0815),(13 8391.372),(14 8538.074),(15 8801.112),(16 8925.263),(17 9068.272),(18 9114.689),(19 9223.015),(20 9300.192),(21 9405.559),(22 9443.896),(23 9511.286),(24 9558.673),(25 9599.206),(26 9662.243),(27 9652.209),(28 9705.081),(29 9772.726),(30 9905.683),(31 9971.438),(32 10032.873),(33 10054.484),(34 10056.892),(35 10111.195),(36 10136.924),(37 10110.921),(38 10160.416),(39 10297.655),(40 10389.074),(41 10453.149),(42 10560.803),(43 10665.125),(44 10755.936),(45 10767.31),(46 10874.336),(47 10959.099),(48 10998.684),(49 11067.53),(50 11078.113),(51 11111.253),(52 11128.362),(53 11196.119),(54 11253.209),(55 11248.753),(56 11270.239),(57 11325.264),(58 11341.043),(59 11381.073),(60 11358.256),(61 11373.449),(62 11396.649),(63 11405.203),(64 11476.421),(65 11470.395),(66 11490.79),(67 11543.653),(68 11672.85),(69 11709.179),(70 11766.748),(71 11827.102),(72 11933.675),(73 12033.413),(74 12122.283),(75 12127.304),(76 12112.165),(77 12142.558),(78 12132.953),(79 12152.53),
(1 1320.0013),(2 2684.5056),(3 3826.7002),(4 4617.569),(5 5274.902),(6 5796.5454),(7 6241.5146),(8 6725.9116),(9 7086.4053),(10 7444.8984),(11 7695.7554),(12 7988.393),(13 8202.322),(14 8353.934),(15 8583.981),(16 8705.507),(17 8829.588),(18 8903.123),(19 9062.561),(20 9221.928),(21 9347.08),(22 9437.881),(23 9598.013),(24 9723.012),(25 9879.841),(26 10086.421),(27 10146.205),(28 10267.198),(29 10346.746),(30 10457.54),(31 10563.741),(32 10548.171),(33 10551.836),(34 10562.938),(35 10570.598),(36 10506.241),(37 10435.461),(38 10392.267),(39 10443.222),(40 10496.788),(41 10586.087),(42 10621.104),(43 10646.325),(44 10722.687),(45 10787.956),(46 10876.064),(47 10899.19),(48 10933.888),(49 11000.905),(50 11070.233),(51 11156.752),(52 11206.117),(53 11295.733),(54 11310.213),(55 11312.168),(56 11343.794),(57 11371.514),(58 11439.6045),(59 11479.26),(60 11501.733),(61 11532.48),(62 11582.75),(63 11692.616),(64 11776.915),(65 11787.159),(66 11818.118),(67 11846.176),(68 11903.266),(69 11902.338),(70 11941.599),(71 11956.332),(72 11970.341),(73 11968.336),(74 12045.051),(75 12073.402),(76 12075.295),(77 12099.822),(78 12097.312),(79 12074.353),
(1 1283.0845),(2 2584.4597),(3 3672.104),(4 4500.0054),(5 5153.398),(6 5684.588),(7 6148.036),(8 6708.5337),(9 7070.9033),(10 7375.0547),(11 7649.8613),(12 7955.3423),(13 8193.131),(14 8434.814),(15 8714.13),(16 8932.578),(17 9065.327),(18 9131.052),(19 9211.423),(20 9273.461),(21 9297.447),(22 9343.607),(23 9454.038),(24 9568.697),(25 9686.034),(26 9803.111),(27 9965.609),(28 10059.109),(29 10152.924),(30 10222.799),(31 10362.471),(32 10347.829),(33 10341.525),(34 10380.78),(35 10422.831),(36 10457.744),(37 10373.269),(38 10383.279),(39 10428.496),(40 10506.01),(41 10590.684),(42 10649.228),(43 10695.536),(44 10763.612),(45 10777.475),(46 10818.834),(47 10831.962),(48 10857.503),(49 10902.974),(50 10977.479),(51 11022.375),(52 11059.105),(53 11136.982),(54 11210.541),(55 11206.934),(56 11225.142),(57 11214.992),(58 11236.041),(59 11287.18),(60 11298.771),(61 11337.281),(62 11329.622),(63 11347.476),(64 11337.395),(65 11351.7),(66 11346.083),(67 11395.533),(68 11430.0205),(69 11483.155),(70 11577.644),(71 11644.707),(72 11734.903),(73 11847.449),(74 11928.968),(75 11970.246),(76 11998.795),(77 12002.926),(78 11965.989),(79 11956.054),
(1 1263.1951),(2 2572.3687),(3 3640.419),(4 4359.9263),(5 4921.389),(6 5429.1406),(7 5835.7817),(8 6371.31),(9 6684.8486),(10 7017.221),(11 7346.118),(12 7659.8),(13 7965.4517),(14 8236.757),(15 8504.867),(16 8643.916),(17 8805.157),(18 8903.067),(19 9018.399),(20 9028.294),(21 9101.871),(22 9175.894),(23 9336.173),(24 9513.727),(25 9658.81),(26 9732.235),(27 9801.101),(28 9838.689),(29 9849.822),(30 9874.797),(31 9885.979),(32 9855.943),(33 9938.478),(34 9995.0205),(35 10109.093),(36 10138.665),(37 10092.377),(38 10067),(39 10086.884),(40 10123.373),(41 10208.223),(42 10279.252),(43 10336.05),(44 10428.237),(45 10503.168),(46 10546.621),(47 10644.63),(48 10716.353),(49 10751.745),(50 10778.604),(51 10811.689),(52 10855.226),(53 10802.878),(54 10845.172),(55 10867.842),(56 10874.133),(57 10885.157),(58 10848.869),(59 10978.134),(60 11004.055),(61 11016.6045),(62 10978.824),(63 10969.66),(64 10991.43),(65 11021.324),(66 11039.677),(67 11108.515),(68 11200.424),(69 11238.055),(70 11191.138),(71 11125.147),(72 11188.32),(73 11251.375),(74 11261.409),(75 11258.782),(76 11228.834),(77 11242.972),(78 11264.494),(79 11279.834),
(1 1248.8297),(2 2483.6416),(3 3494.4297),(4 4217.6313),(5 4812.6367),(6 5327.1895),(7 5718.357),(8 6176.958),(9 6479.5435),(10 6814.814),(11 7086.168),(12 7372.1514),(13 7637.4834),(14 7880.439),(15 8105.5557),(16 8235.434),(17 8434.98),(18 8578.677),(19 8727.217),(20 8767.864),(21 8873.798),(22 9003.977),(23 9048.108),(24 9144.701),(25 9238.7705),(26 9293.919),(27 9352.021),(28 9370.202),(29 9423.984),(30 9463.872),(31 9503.868),(32 9490.959),(33 9546.443),(34 9580.211),(35 9626.518),(36 9606.795),(37 9568.399),(38 9575.335),(39 9581.746),(40 9650.842),(41 9646.074),(42 9607.436),(43 9567.946),(44 9605.118),(45 9700.474),(46 9763.205),(47 9814.122),(48 9853.315),(49 9855.913),(50 9879.808),(51 9879.687),(52 9847.564),(53 9861.642),(54 9882.821),(55 9983.763),(56 10072.462),(57 10148.015),(58 10179.146),(59 10238.2295),(60 10272.585),(61 10323.775),(62 10382.378),(63 10468.614),(64 10447.334),(65 10392.913),(66 10394.314),(67 10440.767),(68 10467.928),(69 10504.489),(70 10539.634),(71 10525.034),(72 10545.337),(73 10566.256),(74 10511.645),(75 10488.865),(76 10410.924),(77 10358.087),(78 10326.897),(79 10356.852),
(1 1224.6317),(2 2420.4204),(3 3409.057),(4 4071.1506),(5 4642.7393),(6 5142.725),(7 5588.946),(8 6093.3057),(9 6378.799),(10 6600.7104),(11 6839.6816),(12 7074.912),(13 7264.7),(14 7446.198),(15 7664.332),(16 7801.8315),(17 7938.9663),(18 8057.0483),(19 8207.01),(20 8280.273),(21 8419.727),(22 8546.8955),(23 8608.313),(24 8694.669),(25 8731.301),(26 8735.298),(27 8795.977),(28 8868.567),(29 8918.451),(30 8973.685),(31 8992.514),(32 8971.496),(33 9008.982),(34 9040.925),(35 9138.226),(36 9182.081),(37 9197.334),(38 9243.511),(39 9333.437),(40 9431.032),(41 9497.463),(42 9545.5205),(43 9560.894),(44 9586.153),(45 9601.708),(46 9629.435),(47 9661.823),(48 9679.155),(49 9649.051),(50 9677.52),(51 9759.148),(52 9746.466),(53 9722.736),(54 9717.628),(55 9743.768),(56 9755.081),(57 9798.012),(58 9776.089),(59 9822.946),(60 9816.464),(61 9845.863),(62 9868.761),(63 9916.227),(64 9945.741),(65 9923.224),(66 9927.24),(67 9953.664),(68 9978.576),(69 9984.621),(70 10053.374),(71 10095.339),(72 10161.269),(73 10186.606),(74 10215.894),(75 10239.75),(76 10292.232),(77 10332.3955),(78 10346.543),(79 10403.922),
(1 1189.2568),(2 2347.0852),(3 3322.6853),(4 4006.8516),(5 4573.1025),(6 5014.104),(7 5405.663),(8 5891.4717),(9 6228.666),(10 6534.109),(11 6793.2856),(12 7036.924),(13 7251.7217),(14 7417.3813),(15 7555.628),(16 7668.4204),(17 7831.613),(18 7943.2866),(19 8075.782),(20 8204.17),(21 8296.11),(22 8390.587),(23 8505.215),(24 8628.271),(25 8690.593),(26 8756.765),(27 8808.42),(28 8849.804),(29 8869.266),(30 8933.449),(31 9018.879),(32 9032.967),(33 9064.024),(34 9042.031),(35 9070.591),(36 9061.82),(37 8995.897),(38 8967.986),(39 9053.53),(40 9085.087),(41 9104.438),(42 9089.518),(43 9027.812),(44 9052.67),(45 9091.179),(46 9171.441),(47 9237.152),(48 9307.934),(49 9377.955),(50 9410.082),(51 9530.615),(52 9610.249),(53 9610.405),(54 9596.909),(55 9600.609),(56 9629.884),(57 9682.954),(58 9777.969),(59 9889.147),(60 9958.066),(61 10038.815),(62 10111.748),(63 10127.279),(64 10169.967),(65 10157.388),(66 10197.845),(67 10222.251),(68 10300.109),(69 10351.402),(70 10377.371),(71 10470.135),(72 10441.594),(73 10447.019),(74 10456.444),(75 10519.187),(76 10532.993),(77 10521.477),(78 10551.317),(79 10636.149),
(1 1215.5112),(2 2404.5776),(3 3407.5767),(4 4123.3486),(5 4706.029),(6 5179.749),(7 5597.591),(8 6144.076),(9 6463.1904),(10 6760.483),(11 7039.692),(12 7316.81),(13 7578.166),(14 7728.4067),(15 7919.8525),(16 8052.4893),(17 8196.855),(18 8303.2295),(19 8429.065),(20 8500.758),(21 8601.443),(22 8671.111),(23 8766.301),(24 8869.776),(25 8948.819),(26 9030.565),(27 9018.735),(28 9031.2705),(29 9074.179),(30 9140.61),(31 9216.233),(32 9234.094),(33 9255.714),(34 9231.952),(35 9204.793),(36 9210.687),(37 9166.494),(38 9119.878),(39 9164.805),(40 9242.34),(41 9257.901),(42 9298.076),(43 9357.866),(44 9439.037),(45 9477.889),(46 9554.369),(47 9689.348),(48 9764.051),(49 9841.052),(50 9944.542),(51 10054.343),(52 10112.382),(53 10178.847),(54 10226.5205),(55 10208.176),(56 10297.663),(57 10331.186),(58 10419.095),(59 10466.453),(60 10514.298),(61 10557.044),(62 10609.026),(63 10596.559),(64 10644.593),(65 10697.874),(66 10740.871),(67 10749.107),(68 10728.222),(69 10708.206),(70 10675.881),(71 10702.765),(72 10725.586),(73 10762.306),(74 10750.139),(75 10751.003),(76 10720.398),(77 10722.247),(78 10729.206),(79 10760.867),
(1 1215.9735),(2 2415.111),(3 3402.3103),(4 4087.375),(5 4656.237),(6 5121.2813),(7 5523.2417),(8 6026.412),(9 6300.449),(10 6569.7007),(11 6800.0864),(12 7051.881),(13 7294.307),(14 7447.7866),(15 7609.841),(16 7697.7437),(17 7859.3125),(18 7938.7773),(19 8028.8105),(20 8107.7837),(21 8148.1367),(22 8166.548),(23 8235.572),(24 8303.28),(25 8370.555),(26 8420.105),(27 8467.855),(28 8491.275),(29 8558.021),(30 8593.176),(31 8668.241),(32 8693.107),(33 8727.456),(34 8701.421),(35 8711.879),(36 8782.152),(37 8888.208),(38 8952.238),(39 9099.434),(40 9234.065),(41 9248.55),(42 9308.047),(43 9325.58),(44 9427.63),(45 9488.444),(46 9521.695),(47 9641.164),(48 9760.1455),(49 9895.092),(50 9999.026),(51 10090.297),(52 10200.555),(53 10287.843),(54 10381.408),(55 10359.783),(56 10365.067),(57 10392.181),(58 10420.143),(59 10481.865),(60 10501.138),(61 10494.943),(62 10560.519),(63 10586.996),(64 10583.143),(65 10602.647),(66 10553.34),(67 10598.569),(68 10530.176),(69 10474.464),(70 10433.215),(71 10415.555),(72 10383.674),(73 10356.842),(74 10353.354),(75 10318.62),(76 10330.951),(77 10370.691),(78 10452.458),(79 10417.322),
(1 1186.5193),(2 2325.7256),(3 3255.4893),(4 3915.2861),(5 4454.149),(6 4915.2925),(7 5349.429),(8 5865.7974),(9 6186.9077),(10 6486.4653),(11 6738.113),(12 7041.986),(13 7279.7285),(14 7440.3833),(15 7638.6704),(16 7737.885),(17 7857.9736),(18 7921.973),(19 7976.4824),(20 7989.178),(21 8002.635),(22 8033.727),(23 8090.3564),(24 8186.708),(25 8324.749),(26 8457.034),(27 8568.53),(28 8653.23),(29 8760.665),(30 8786.222),(31 8836.373),(32 8905.389),(33 8952.02),(34 8929.132),(35 8936.659),(36 8942.6045),(37 8958.058),(38 9042.737),(39 9189.454),(40 9207.73),(41 9210.8955),(42 9194.499),(43 9184.171),(44 9262.475),(45 9377.437),(46 9463.095),(47 9572.959),(48 9661.038),(49 9741.629),(50 9811.048),(51 9939.468),(52 10021.973),(53 10077.196),(54 10093.022),(55 10109.309),(56 10103.78),(57 10164.23),(58 10191.26),(59 10217.382),(60 10211.095),(61 10214.903),(62 10234.668),(63 10312.07),(64 10293.857),(65 10322.158),(66 10266.017),(67 10282.215),(68 10267.126),(69 10221.469),(70 10154.6875),(71 10148.303),(72 10162.409),(73 10162.739),(74 10162.488),(75 10171.663),(76 10195.325),(77 10232.207),(78 10312.44),(79 10364.187),
(1 1184.481),(2 2320.6184),(3 3252.333),(4 3881.5417),(5 4422.274),(6 4898.952),(7 5329.923),(8 5837.4736),(9 6133.9575),(10 6401.734),(11 6644.555),(12 6886.11),(13 7030.552),(14 7157.3643),(15 7328.337),(16 7483.808),(17 7611.874),(18 7711.5303),(19 7825.9854),(20 7908.294),(21 8024.399),(22 8089.827),(23 8174.166),(24 8230.548),(25 8307.944),(26 8422.51),(27 8509.167),(28 8555.618),(29 8614.838),(30 8641.51),(31 8683.675),(32 8705.821),(33 8736.633),(34 8691.583),(35 8679.937),(36 8683.83),(37 8685.645),(38 8773.575),(39 8808.395),(40 8819.093),(41 8817.438),(42 8834.917),(43 8849.129),(44 8948.009),(45 9005.093),(46 9096.248),(47 9178.32),(48 9264.8955),(49 9295.176),(50 9366.657),(51 9523.219),(52 9624.503),(53 9694.132),(54 9766.761),(55 9938.729),(56 10048.607),(57 10139.286),(58 10205.733),(59 10230.219),(60 10301.934),(61 10336.045),(62 10398.509),(63 10369.882),(64 10297.937),(65 10327.79),(66 10326.932),(67 10333.722),(68 10367.449),(69 10350.09),(70 10319.914),(71 10317.425),(72 10262.509),(73 10196.073),(74 10143.855),(75 10091.86),(76 10022.202),(77 10030.971),(78 10059.026),(79 10077.214),
