1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 104665.13),(2 198564.44),(3 415375.28),(4 686339.8),(5 1038413.8),(6 1421393),(7 1902885.6),(8 2344322),(9 2917410.3),(10 3422734),(11 3952462.8),(12 4520122.5),(13 5126518.5),(14 5784269.5),(15 6370373.5),(16 7111396.5),(17 7838108.5),(18 8573781),(19 9324634),(20 10144405),(21 10928323),(22 11669279),(23 12518960),(24 13307323),(25 14238347),(26 15029888),(27 16267131),(28 17368346),(29 18681118),(30 19738608),(31 20946254),(32 22093214),(33 23014266),(34 24347270),(35 25788122),(36 27088336),(37 28472566),(38 30125480),(39 32011824),(40 33268368),(41 35183308),(42 36617036),(43 38494204),(44 40203292),(45 42075628),(46 43953600),(47 45815230),(48 48214828),(49 50145284),(50 51794960),(51 53949344),(52 56371660),(53 58241876),(54 60558720),(55 63250164),(56 65036740),(57 67187970),(58 69410504),(59 71425256),(60 72476150),(61 74281960),(62 76052900),(63 78196350),(64 79608856),(65 81736616),(66 84192216),(67 85668420),(68 87963450),(69 89256200),(70 89261760),(71 89248060),(72 88134710),(73 88612424),(74 88944710),(75 88762440),(76 88877224),(77 89613144),(78 89750850),(79 89425100),
(1 38329.324),(2 78361.39),(3 92515.945),(4 96900.33),(5 108101.06),(6 128101.51),(7 142961.7),(8 155272.64),(9 164096.22),(10 172405.67),(11 182311.08),(12 191816.81),(13 202577.72),(14 203272.95),(15 197988.13),(16 194477.22),(17 196584.31),(18 201766.64),(19 197263.67),(20 191542.66),(21 187779.7),(22 188619.94),(23 187069.48),(24 185403.3),(25 180037.5),(26 179109.89),(27 180260.23),(28 182259.81),(29 182876.97),(30 180151.03),(31 180923.47),(32 181128.3),(33 181375.36),(34 186222.83),(35 187359.52),(36 184751.36),(37 180178.14),(38 181754.11),(39 185908.36),(40 188115.28),(41 187392.67),(42 183752.67),(43 183709.78),(44 187714.17),(45 193899.38),(46 186079.97),(47 181672.84),(48 183832.53),(49 189735.69),(50 189141.5),(51 181781.1),(52 180519.03),(53 180278.44),(54 178826.19),(55 180252.34),(56 178635.13),(57 182402.45),(58 184873.88),(59 185217.92),(60 185928.61),(61 188195.78),(62 188074.23),(63 190864.81),(64 190687.9),(65 192699.6),(66 190756.84),(67 191227.08),(68 192058.98),(69 195879.98),(70 195005.28),(71 194022.11),(72 194833.25),(73 197653.03),(74 201152.14),(75 204540.63),(76 203810.77),(77 204545.98),(78 199214.33),(79 199678.2),
(1 37189.188),(2 75560),(3 90848.77),(4 94752.625),(5 102949.38),(6 121426.93),(7 139273.38),(8 153216.44),(9 164280.9),(10 170549.58),(11 177385.16),(12 188570.47),(13 198337.03),(14 196275.75),(15 190833.06),(16 188077.03),(17 190438.67),(18 191660.6),(19 186979.36),(20 184295.2),(21 183506.28),(22 185724),(23 184547.58),(24 181615.42),(25 177720.88),(26 176155.83),(27 177574.22),(28 178228.89),(29 179995.75),(30 179526.67),(31 179226.23),(32 177903.45),(33 176876.98),(34 179579.88),(35 180234.6),(36 179978.94),(37 178001.25),(38 178097.58),(39 180380.95),(40 182336.95),(41 185284.13),(42 183986.1),(43 187187.58),(44 189867.8),(45 191408.8),(46 187887.48),(47 188172.97),(48 188411.75),(49 185798.23),(50 181170.97),(51 177451.63),(52 177104.83),(53 173032.23),(54 171285.34),(55 173882.39),(56 174650.72),(57 177172.84),(58 179981.27),(59 182314.53),(60 181601.47),(61 183788.97),(62 182458.66),(63 188424.9),(64 190424.1),(65 190413.7),(66 185777.28),(67 184722.14),(68 183350.45),(69 182833.64),(70 186036.52),(71 190053.84),(72 188657.7),(73 192788.31),(74 193725.47),(75 196106.88),(76 197705.94),(77 197771.4),(78 191126.97),(79 191703.45),
(1 33928.582),(2 69202.32),(3 83528.04),(4 93245.73),(5 106625.375),(6 126951.21),(7 143929.27),(8 157308.1),(9 165599.39),(10 171315.61),(11 180126.9),(12 188919.92),(13 192710.61),(14 188606.95),(15 189081.5),(16 189230.52),(17 188307.4),(18 185165.6),(19 178772.81),(20 176751.08),(21 176751.75),(22 178651.08),(23 174848.97),(24 173016.03),(25 174613.4),(26 175266.88),(27 175583.3),(28 177615.45),(29 177850.63),(30 178764.75),(31 180272.72),(32 177326.64),(33 175778.86),(34 178168.64),(35 176213.3),(36 174384.56),(37 177259.86),(38 180006.83),(39 177653.28),(40 177097.28),(41 178556.33),(42 177915.1),(43 179590.5),(44 181533.55),(45 183908.34),(46 183649.88),(47 185829.16),(48 186324.02),(49 185340.7),(50 184715.48),(51 183676.64),(52 179975.78),(53 176594.13),(54 178550.63),(55 180405.34),(56 177917.66),(57 180516.6),(58 183246.7),(59 183814.31),(60 181768.52),(61 181944.22),(62 180220.48),(63 185591.86),(64 183288.98),(65 183505.77),(66 180793.78),(67 180913.8),(68 179586.86),(69 180679.66),(70 180692.53),(71 183994.63),(72 184977.38),(73 192287.36),(74 194699.64),(75 195753.3),(76 193981.13),(77 193464.6),(78 186879.58),(79 192369.88),
(1 35487.293),(2 70866.51),(3 82308.14),(4 86942.22),(5 94822.664),(6 110992.9),(7 126264.23),(8 136615.34),(9 142828.05),(10 143391.89),(11 150682.95),(12 159875.47),(13 162156.2),(14 159180.77),(15 160396.7),(16 159569.97),(17 156839.6),(18 157605.77),(19 154367.05),(20 154333.44),(21 152679.27),(22 151474.23),(23 148276.89),(24 145909.19),(25 147394.11),(26 145984.84),(27 145961.77),(28 147017.23),(29 147765.52),(30 147775.33),(31 148723.39),(32 149574.84),(33 150114.06),(34 152657.97),(35 148135.44),(36 147094.11),(37 150613.84),(38 151491.61),(39 151278.47),(40 151447.88),(41 152101.34),(42 149901.1),(43 153436.48),(44 154251.97),(45 157656.4),(46 154370.88),(47 151648.9),(48 154882.03),(49 156275.02),(50 158908.39),(51 158231.97),(52 154888.52),(53 154363.05),(54 158294.13),(55 159220.38),(56 156419.77),(57 159358.25),(58 161870.06),(59 160573.38),(60 156271.83),(61 157891.2),(62 161312.05),(63 164590.14),(64 161101.53),(65 164869.89),(66 164751.8),(67 165935.1),(68 164151.48),(69 163560.03),(70 165256.47),(71 165724.81),(72 165892.16),(73 168882.66),(74 166201.25),(75 168310.02),(76 172935.03),(77 175443.45),(78 170949.47),(79 172012.81),
(1 36015.027),(2 72963.4),(3 84871.66),(4 90165.17),(5 99656.875),(6 117426.08),(7 132915.94),(8 146378.84),(9 156146.66),(10 158708.92),(11 167390.78),(12 175672.27),(13 179196.94),(14 174167.73),(15 176102.55),(16 175345.36),(17 171348.92),(18 169332.06),(19 168159.72),(20 165375.16),(21 161088.88),(22 160565.89),(23 157886.8),(24 157563.14),(25 158364.75),(26 158608.27),(27 157625.55),(28 155162.36),(29 153236.9),(30 153575.92),(31 155416.19),(32 154959.23),(33 156857.94),(34 159621.89),(35 156732.13),(36 155789.06),(37 159912.19),(38 160482.19),(39 158300.86),(40 156534.1),(41 155944.98),(42 155500.78),(43 162230.31),(44 163381.9),(45 163778.69),(46 161462.13),(47 159792.84),(48 162839.3),(49 160470.17),(50 160421.17),(51 162240.95),(52 161431.98),(53 158148.64),(54 159981.27),(55 160922.22),(56 166292.89),(57 171028.1),(58 169971.31),(59 167418.75),(60 165710.95),(61 169383.4),(62 173007.92),(63 175003.69),(64 174697.63),(65 178180.92),(66 177221.08),(67 177261.36),(68 176165.11),(69 179606.47),(70 180101.02),(71 179530.52),(72 176903.75),(73 176204.94),(74 176150.39),(75 181050.52),(76 185304.92),(77 189350.83),(78 182463.89),(79 184742.13),
(1 33920.926),(2 67778.36),(3 79222.98),(4 83556.33),(5 90983.32),(6 103845.984),(7 115830.66),(8 127181.19),(9 133954.13),(10 136241.75),(11 142031.5),(12 146387.83),(13 145596.1),(14 141499.66),(15 145446.58),(16 145955.27),(17 141284.6),(18 139163.83),(19 139280.13),(20 138940.11),(21 134442.48),(22 133366.95),(23 135622.39),(24 136880.13),(25 135330.34),(26 135558.05),(27 134845.55),(28 133735.72),(29 134592.13),(30 138716.14),(31 140482.83),(32 137141.36),(33 135879.97),(34 139428.98),(35 141937.72),(36 142617.73),(37 144837.48),(38 144409.06),(39 145076.02),(40 146202.36),(41 146964.03),(42 144819.42),(43 146823.63),(44 146404.48),(45 146034.16),(46 143626.84),(47 142971.55),(48 146574.72),(49 145406.13),(50 145716.58),(51 146528.8),(52 147749.92),(53 145795.5),(54 145683),(55 145928.31),(56 144405.33),(57 148224.66),(58 149809.03),(59 147577.42),(60 145198.1),(61 148241.39),(62 150031.22),(63 150991.19),(64 148270.16),(65 151038.7),(66 153086.56),(67 152478.81),(68 150965.22),(69 152654.16),(70 152559.6),(71 151006.28),(72 149703.55),(73 150477.2),(74 150313.42),(75 150822.4),(76 150746.7),(77 156074.77),(78 153707.31),(79 158058.1),
(1 34437.535),(2 67970.54),(3 77577.984),(4 80377.41),(5 87849.63),(6 100541.13),(7 111254.59),(8 120678.36),(9 124232.195),(10 128532.016),(11 134993.86),(12 136925.8),(13 135811.38),(14 134625.08),(15 137673.06),(16 136515.84),(17 134919.34),(18 133282.9),(19 132127.48),(20 131693.44),(21 129313.06),(22 129336.29),(23 131082.64),(24 132279.2),(25 129151.38),(26 130129.26),(27 133648.5),(28 135188.67),(29 136142.3),(30 137748.53),(31 136131.72),(32 130757),(33 129141.695),(34 134232.1),(35 137568.58),(36 137620.38),(37 134438.48),(38 135098.56),(39 136835.42),(40 137761.52),(41 137085.98),(42 135128),(43 136408.3),(44 139027.86),(45 138328.5),(46 136034.06),(47 137532.77),(48 138485.31),(49 136744.8),(50 136027.53),(51 136082.3),(52 135255.61),(53 134383.56),(54 135961.73),(55 134175.42),(56 132874.81),(57 137828.08),(58 138719.52),(59 134540.22),(60 132332.08),(61 134185.19),(62 136283.98),(63 138103.97),(64 135864.7),(65 137159.53),(66 139255.98),(67 139946.81),(68 138443.27),(69 137181.64),(70 136488.4),(71 138890.84),(72 137312.72),(73 134465.53),(74 134989.22),(75 137161.78),(76 135292.44),(77 136512.44),(78 135886.47),(79 140591.67),
(1 33090.76),(2 63724.566),(3 73394.95),(4 76501.555),(5 85492.38),(6 99831.19),(7 111464.36),(8 118593.61),(9 122422.37),(10 128846.125),(11 133935.88),(12 133901.9),(13 135347.78),(14 136676.38),(15 138280.33),(16 134843.73),(17 133832.31),(18 131118.75),(19 129765.76),(20 130607.76),(21 129793.87),(22 128581.36),(23 126832.2),(24 127542.56),(25 127668.26),(26 130089.34),(27 130810.16),(28 130078),(29 128934.77),(30 128478.766),(31 130150.96),(32 130317.57),(33 131889.28),(34 134235.52),(35 135921.25),(36 136231.77),(37 136188.5),(38 137693.38),(39 135633.9),(40 134960.56),(41 134610.88),(42 133655.92),(43 133302.89),(44 136753.13),(45 138612.78),(46 136199.42),(47 137673.1),(48 138901.73),(49 138285.14),(50 136167.38),(51 135000.36),(52 134981.86),(53 134725.6),(54 136728.63),(55 136041.64),(56 133862.03),(57 136510.86),(58 136169.84),(59 136414.73),(60 134844.19),(61 138224.56),(62 140733.23),(63 139462.14),(64 135140.36),(65 135125.56),(66 136859.86),(67 137749.27),(68 135541.97),(69 135383.64),(70 137435.5),(71 137633.33),(72 136927.89),(73 136270.67),(74 136970.31),(75 139105.33),(76 137652.81),(77 140147.66),(78 138021.7),(79 141886.47),
(1 33155.297),(2 64599.234),(3 71509.27),(4 71797.086),(5 80106.555),(6 94599.81),(7 104204.76),(8 108620.21),(9 112857.09),(10 119560.97),(11 123355.24),(12 124087.03),(13 125509.95),(14 127320.29),(15 127945.92),(16 124071.58),(17 125428.92),(18 124376.25),(19 122495.58),(20 122436.12),(21 121340.86),(22 121111.01),(23 119388.73),(24 120394.47),(25 122292.33),(26 125127.54),(27 125236.234),(28 124853.93),(29 123208.13),(30 122132.07),(31 125962.98),(32 125812.3),(33 125111.17),(34 123086.44),(35 124050.04),(36 126166.2),(37 126119.24),(38 128854.96),(39 129204.695),(40 128399.76),(41 126969.76),(42 127429.445),(43 129805.98),(44 130905.37),(45 130415.95),(46 127800.19),(47 131656.27),(48 132074.84),(49 132332.6),(50 131618.83),(51 131640.13),(52 131090.3),(53 129114.22),(54 128845.22),(55 130982.62),(56 130681.16),(57 131787.55),(58 133296.61),(59 134994.48),(60 132387.38),(61 132685.88),(62 133248.66),(63 132999.14),(64 130028.71),(65 133364.42),(66 134481.89),(67 132865.61),(68 129921.51),(69 131236.58),(70 132311.72),(71 132402.36),(72 133089.77),(73 133541.47),(74 133311.38),(75 136160.17),(76 136446.27),(77 136504.67),(78 132713.81),(79 135952.97),
(1 31671.486),(2 60081.94),(3 67516.695),(4 71758.99),(5 82027.75),(6 94701.95),(7 101245.24),(8 105159.3),(9 110971.22),(10 116075.83),(11 118279.945),(12 119793.54),(13 122224.23),(14 121836.14),(15 121127.914),(16 117778.68),(17 118567.3),(18 119410.24),(19 120272.29),(20 120652.74),(21 118552.83),(22 118942.86),(23 118210.61),(24 120223.125),(25 119737.484),(26 121609.02),(27 120328.29),(28 120233.58),(29 121589.766),(30 122469.37),(31 125349.89),(32 124961.2),(33 125222.695),(34 125544.55),(35 125584.89),(36 126706.57),(37 127132.59),(38 129315.17),(39 125903.6),(40 123962.35),(41 123659.54),(42 128889.305),(43 130008.266),(44 129001.16),(45 129889.76),(46 130695.22),(47 133384.3),(48 130244.43),(49 127085.48),(50 127548.66),(51 130453.39),(52 133671.94),(53 131050.06),(54 132101.84),(55 133581.94),(56 131133.73),(57 130411.12),(58 128870.39),(59 127926.15),(60 127370.25),(61 128655.7),(62 128453.414),(63 128048.664),(64 127888.97),(65 134837.94),(66 134985.69),(67 132372.27),(68 128715.375),(69 129817.734),(70 131290.67),(71 133573.64),(72 134782.3),(73 134515.81),(74 131915.67),(75 134307.3),(76 134209.25),(77 135073.36),(78 130950.46),(79 135122.89),
(1 31261.656),(2 58235.484),(3 64173.918),(4 67900.97),(5 77662.76),(6 90525.266),(7 100331.55),(8 105080.78),(9 106222.2),(10 112378.73),(11 117690.87),(12 117944.27),(13 119631.46),(14 120105.336),(15 119010.33),(16 116395.16),(17 116567.2),(18 115979.9),(19 116456.234),(20 115758.53),(21 113793.35),(22 114118.96),(23 115259.125),(24 117594.43),(25 117333.3),(26 118490.72),(27 117846.086),(28 119595.34),(29 122236.18),(30 121836.03),(31 119608.13),(32 119529.53),(33 122975.016),(34 123808.414),(35 122161.37),(36 121216.836),(37 122178.82),(38 122089.086),(39 120148.5),(40 119643.664),(41 120212.37),(42 121928.4),(43 121111.83),(44 120445.695),(45 123204.984),(46 124095.914),(47 124053.586),(48 122662.63),(49 121732.234),(50 122672.91),(51 123055.26),(52 123035.18),(53 120959.484),(54 121235.8),(55 123151.21),(56 122331.53),(57 123417.67),(58 123059),(59 121378.18),(60 121474.586),(61 124310.32),(62 125466.32),(63 125498.08),(64 123210.836),(65 125305.25),(66 125142.36),(67 124492.47),(68 123829.03),(69 126869.79),(70 128138.305),(71 129377.15),(72 130636.18),(73 132848.34),(74 132525.34),(75 136839.02),(76 136850.95),(77 137772.11),(78 135148.64),(79 138839.33),
(1 32613.838),(2 60048.867),(3 64897.867),(4 70546.6),(5 79926.96),(6 92529.69),(7 103859.16),(8 109255.414),(9 109456.49),(10 117143.52),(11 121528.14),(12 120368.53),(13 121000.63),(14 121011.055),(15 120990.84),(16 117656.8),(17 116391.32),(18 115906.84),(19 116903.484),(20 115983.4),(21 111996.12),(22 113500.734),(23 113637.984),(24 114406.99),(25 115413.72),(26 117949.234),(27 118689.195),(28 119442.34),(29 120179.39),(30 119210.53),(31 117583.45),(32 117289.59),(33 119396.41),(34 119971.26),(35 118465.8),(36 120070.74),(37 120828.59),(38 118415.52),(39 117116.73),(40 118592.27),(41 117013.055),(42 116479.66),(43 117899.69),(44 121173.734),(45 124327.625),(46 124103.7),(47 124776.41),(48 125763.305),(49 123958.46),(50 122995.44),(51 124360.96),(52 125080.53),(53 122155.29),(54 121852.6),(55 122817.95),(56 121510.945),(57 124077.63),(58 125769.625),(59 123955.734),(60 124494.01),(61 126451.33),(62 125433.6),(63 127132.46),(64 125044.11),(65 125295.53),(66 125001.78),(67 128547.01),(68 127370.33),(69 129032.65),(70 131410.08),(71 129361.016),(72 125682.28),(73 124145.42),(74 125232.836),(75 127313.02),(76 125781.43),(77 125532.06),(78 125224.836),(79 127436.13),
(1 32823.33),(2 60555.66),(3 66556.32),(4 72347.305),(5 83784.52),(6 97858.22),(7 108929.38),(8 114283.35),(9 119317.89),(10 127350.25),(11 132270.13),(12 131231.34),(13 133262.64),(14 131549.05),(15 129179.61),(16 126472.01),(17 125231.11),(18 123435.336),(19 122048.93),(20 121568.914),(21 120174.75),(22 118286.016),(23 115499.305),(24 116858.47),(25 118064.88),(26 118849.945),(27 117791.484),(28 116769.72),(29 118361.8),(30 118303.18),(31 116930.14),(32 117050.39),(33 117554.09),(34 120162.68),(35 121293.55),(36 121125.21),(37 119810.54),(38 117922.08),(39 120581.266),(40 122016.164),(41 118395.61),(42 117952.23),(43 119451.836),(44 122538.69),(45 122978.836),(46 121547.59),(47 121689.46),(48 122467.836),(49 122823.555),(50 122314.64),(51 123109.55),(52 124554.98),(53 123202.62),(54 124158.44),(55 124684.81),(56 119909.26),(57 121672.164),(58 125202),(59 124474.93),(60 124509.24),(61 125602.22),(62 123552.59),(63 126616.69),(64 124425.96),(65 125698.28),(66 125621.24),(67 127790.09),(68 124989.23),(69 124946.11),(70 128346.15),(71 130622.086),(72 128461.61),(73 127387.67),(74 126719.77),(75 129342.414),(76 130532.88),(77 131195.34),(78 128696.9),(79 130175.62),
(1 31568.592),(2 56620.16),(3 62013.16),(4 68851.195),(5 80056.055),(6 93540.72),(7 102769.805),(8 108676.2),(9 113972.164),(10 121060.43),(11 123603.87),(12 121340.664),(13 122283.586),(14 120435.45),(15 118499.3),(16 114166.53),(17 113085.68),(18 111451),(19 108320.45),(20 107236.164),(21 107958.32),(22 107255.555),(23 104001.36),(24 105734.016),(25 107030.84),(26 107291.195),(27 108008.93),(28 108748.11),(29 109013.8),(30 107446.586),(31 106608.234),(32 106969.38),(33 110031.68),(34 109626.17),(35 108926.78),(36 110269.086),(37 110041.98),(38 109580.88),(39 110189.1),(40 110332.61),(41 109144.41),(42 110993.53),(43 112495.32),(44 112436.336),(45 112465.11),(46 111781.98),(47 112845.83),(48 112391.195),(49 112112.66),(50 112272.13),(51 111614.414),(52 111185.55),(53 110429.266),(54 110174.125),(55 110312.08),(56 111101.4),(57 113545.95),(58 113680.88),(59 113812.484),(60 113930.016),(61 115474.12),(62 114310.945),(63 114781.414),(64 112443.266),(65 115880.45),(66 115525.07),(67 117480.66),(68 116483.74),(69 116700.73),(70 117566.65),(71 118745.62),(72 119222.07),(73 119036.445),(74 119644.72),(75 122333.58),(76 121497.05),(77 120942.28),(78 119582.72),(79 123451.63),
(1 31688.008),(2 57920.324),(3 63274.023),(4 71368.55),(5 82159.02),(6 96057.164),(7 106253.914),(8 112026.42),(9 116888.37),(10 122853.07),(11 126635.32),(12 124802.914),(13 126664.1),(14 124764.93),(15 122749.59),(16 119535.17),(17 118396.766),(18 115510.93),(19 113311.94),(20 112898.36),(21 110722.47),(22 110931.18),(23 110167.58),(24 111801.234),(25 110714.62),(26 110084.29),(27 111498.76),(28 111545.766),(29 111251.4),(30 110404.2),(31 111041.625),(32 109485),(33 110053.66),(34 107461.66),(35 108417.73),(36 111201.35),(37 110017.36),(38 110048.06),(39 112433.086),(40 114685.75),(41 116001.89),(42 115291.79),(43 114225.61),(44 114555.95),(45 116389.01),(46 114449.97),(47 114364.44),(48 113801.87),(49 113165.1),(50 114235.89),(51 115574.83),(52 115240.586),(53 114882.17),(54 116219.266),(55 116072.37),(56 114705.7),(57 115560.52),(58 116834.74),(59 118847.78),(60 118485.305),(61 120377.37),(62 122337.89),(63 122535.37),(64 118171.4),(65 120870.84),(66 121249.56),(67 121639.8),(68 118772.28),(69 119871.875),(70 123149.664),(71 126114.695),(72 127840.54),(73 127852.69),(74 125104.37),(75 126696.734),(76 126469),(77 129266.51),(78 126077.61),(79 130984.74),
(1 31534.76),(2 56075.91),(3 61414.617),(4 67811.02),(5 75249.64),(6 87249.055),(7 97507.95),(8 102841.29),(9 106895.89),(10 110484.88),(11 112692.72),(12 113900.79),(13 116828.01),(14 113275.54),(15 111924.61),(16 109203.7),(17 107185.63),(18 105050.38),(19 106459.79),(20 105755.625),(21 103605.36),(22 103669.95),(23 104452.65),(24 106765.78),(25 106878.69),(26 106774.164),(27 106804.49),(28 108032.65),(29 108361.42),(30 107252.41),(31 107357.15),(32 106316.336),(33 109991.25),(34 109862.16),(35 106283.71),(36 106913.734),(37 107553.26),(38 107938.82),(39 108565.76),(40 109835.5),(41 110810.8),(42 111795.49),(43 111214.37),(44 113606.8),(45 115469.68),(46 113859.2),(47 112859.42),(48 110295.45),(49 110441.32),(50 112875.77),(51 114679.695),(52 114385.28),(53 113437.05),(54 113622.52),(55 113425.39),(56 114031.73),(57 114751.3),(58 114226.336),(59 114360.1),(60 117534.48),(61 121097.13),(62 120233.516),(63 118508.7),(64 115382.87),(65 115710.83),(66 116549.28),(67 116993.65),(68 115320.5),(69 115367.73),(70 117361.3),(71 119506.17),(72 121404.87),(73 121923.61),(74 120078.48),(75 118942.625),(76 117701.89),(77 119282.1),(78 118978.29),(79 123956.78),
(1 33265.82),(2 58070.504),(3 62741.88),(4 69929.86),(5 81427.336),(6 98166.195),(7 108592.2),(8 114655.73),(9 120761.84),(10 125615.41),(11 127520.59),(12 127641.71),(13 130630.41),(14 127968.83),(15 125088.625),(16 122099.2),(17 119860.984),(18 117290.805),(19 115991.04),(20 113136.195),(21 110080.164),(22 112870.6),(23 111965.04),(24 114173.68),(25 112787.016),(26 114297.15),(27 116530.95),(28 116584.74),(29 114725.09),(30 111646.75),(31 113614.95),(32 114587.13),(33 117765.516),(34 115875.85),(35 112186.81),(36 116131.79),(37 117722.02),(38 119335.63),(39 117025.16),(40 117845.28),(41 120313.89),(42 121208.016),(43 121910.914),(44 123349.57),(45 125579.22),(46 121904.39),(47 120852.68),(48 120270.47),(49 121422.8),(50 122111.97),(51 121591.836),(52 123332.53),(53 122198.36),(54 121447.78),(55 119279.664),(56 118676.49),(57 120658.11),(58 122746.57),(59 123849.87),(60 124828.58),(61 124628.414),(62 121634.72),(63 123055.21),(64 122025.945),(65 122314.266),(66 121542.77),(67 123430.07),(68 124195.92),(69 125305.36),(70 123770.23),(71 124068.125),(72 125640.84),(73 127566.25),(74 127131.49),(75 128903.48),(76 128021.6),(77 127895.92),(78 125780.81),(79 131925.81),
(1 32236.252),(2 55563.234),(3 56354.617),(4 62246.875),(5 72704.72),(6 86305.72),(7 93847.64),(8 97573.43),(9 104198.164),(10 107940.67),(11 109237.6),(12 109800.41),(13 112723.44),(14 110197.5),(15 107365.67),(16 105674.766),(17 104480.24),(18 102494.57),(19 100919.836),(20 100377.51),(21 97802.57),(22 99405),(23 98998.36),(24 98551.76),(25 98972.55),(26 100293.16),(27 101149.29),(28 102222.36),(29 102455.19),(30 102226.95),(31 103032.62),(32 102390.5),(33 103858.92),(34 100434.69),(35 100600.08),(36 103120.73),(37 103676.02),(38 104824.055),(39 103163.52),(40 103995.47),(41 105838.54),(42 107027.63),(43 106955.09),(44 106744.13),(45 109191.88),(46 106831.375),(47 106829.39),(48 108246.43),(49 110175.76),(50 109342.14),(51 108024.59),(52 110088.97),(53 108929.555),(54 107135.5),(55 108588.516),(56 108198.99),(57 108714.31),(58 109776.83),(59 111261.16),(60 111030.75),(61 109927.875),(62 109354.48),(63 111574.77),(64 109664.43),(65 109234.74),(66 107731.84),(67 110366.48),(68 111694.36),(69 112351.66),(70 109468.53),(71 108580.52),(72 110175.82),(73 112205.36),(74 111464.92),(75 113001.81),(76 113959.09),(77 113086.336),(78 113519.84),(79 119388.164),
