1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 876.07544),(2 1602.939),(3 2116.0527),(4 2508.5898),(5 2821.2278),(6 3134.6724),(7 3382.9565),(8 3787.575),(9 4050.542),(10 4259.384),(11 4449.557),(12 4610.933),(13 4802.7837),(14 4903.429),(15 5052.4126),(16 5100.344),(17 5202.5522),(18 5271.5313),(19 5332.2593),(20 5374.07),(21 5456.843),(22 5518.9653),(23 5615.119),(24 5659.2607),(25 5725.8286),(26 5791.6016),(27 5855.922),(28 5903.8066),(29 5967.765),(30 6028.4897),(31 6101.3403),(32 6141.818),(33 6189.2964),(34 6233.156),(35 6269.2925),(36 6310.79),(37 6332.316),(38 6327.4927),(39 6388.0547),(40 6425.3604),(41 6425.3545),(42 6428.1045),(43 6422.3926),(44 6412.165),(45 6403.2275),(46 6414.7324),(47 6422.9063),(48 6449.3535),(49 6495.386),(50 6540.1704),(51 6567.89),(52 6573.6167),(53 6561.6104),(54 6565.8022),(55 6617.815),(56 6652.833),(57 6705.981),(58 6704.1494),(59 6783.723),(60 6832.2197),(61 6889.7295),(62 6954.2783),(63 7029.3765),(64 7040.787),(65 7076.1714),(66 7123.875),(67 7169.719),(68 7169.075),(69 7202.3545),(70 7243.922),(71 7246.336),(72 7308.3096),(73 7350.8267),(74 7389.0327),(75 7406.8115),(76 7446.3193),(77 7455.8677),(78 7445.5703),(79 7459.2495),
(1 873.8956),(2 1587.5629),(3 2094.6267),(4 2511.0479),(5 2844.8362),(6 3169.0957),(7 3456.447),(8 3862.522),(9 4138.6436),(10 4353.9604),(11 4569.4785),(12 4776.9517),(13 4934.0684),(14 5066.6836),(15 5192.344),(16 5248.226),(17 5334.218),(18 5398.7397),(19 5464.8965),(20 5513.3516),(21 5584.1123),(22 5589.5146),(23 5642.283),(24 5672.0933),(25 5707.8496),(26 5769.6445),(27 5804.743),(28 5881.04),(29 5915.752),(30 5958.943),(31 6070.743),(32 6127.9814),(33 6188.979),(34 6249.16),(35 6308.3657),(36 6357.8066),(37 6383.3774),(38 6348.74),(39 6366.9946),(40 6394.4473),(41 6435.1606),(42 6416.179),(43 6394.715),(44 6386.9106),(45 6403.2383),(46 6437.2944),(47 6482.0474),(48 6527.6313),(49 6577.7554),(50 6606.6274),(51 6651.8774),(52 6640.1567),(53 6661.343),(54 6674.622),(55 6729.4473),(56 6736.3574),(57 6747.3394),(58 6769.7437),(59 6836.8584),(60 6850.46),(61 6903.1064),(62 6981.0835),(63 7054.712),(64 7076.9976),(65 7118.6694),(66 7161.321),(67 7155.7583),(68 7118.4844),(69 7168.647),(70 7159.408),(71 7171.272),(72 7177.646),(73 7225.3623),(74 7280.8022),(75 7330.7637),(76 7366.086),(77 7341.9214),(78 7366.762),(79 7365.959),
(1 863.90186),(2 1544.9891),(3 2035.2887),(4 2414.5874),(5 2726.7886),(6 3042.8638),(7 3316.176),(8 3723.787),(9 3977.7588),(10 4191.94),(11 4449.4336),(12 4646.352),(13 4844.883),(14 4954.655),(15 5073.3135),(16 5141.798),(17 5236.9146),(18 5332.1343),(19 5383.1064),(20 5422.9375),(21 5482.396),(22 5527.421),(23 5589.9814),(24 5651.5107),(25 5727.417),(26 5811.1367),(27 5885.219),(28 5946.2026),(29 5963.7666),(30 5993.283),(31 6079.861),(32 6124.8564),(33 6163.2334),(34 6207.3145),(35 6271.1147),(36 6312.583),(37 6348.296),(38 6365.8623),(39 6449.811),(40 6457.1396),(41 6494.063),(42 6527.7925),(43 6554.1167),(44 6575.6323),(45 6611.1494),(46 6658.86),(47 6683.147),(48 6711.6753),(49 6725.4434),(50 6730.943),(51 6801.029),(52 6830.5737),(53 6781.802),(54 6795.4287),(55 6832.8745),(56 6817.889),(57 6807.5923),(58 6765.5566),(59 6784.7163),(60 6737.8447),(61 6748.439),(62 6778.879),(63 6817.443),(64 6808.709),(65 6815.458),(66 6795.871),(67 6791.1943),(68 6821.96),(69 6822.8696),(70 6822.4834),(71 6816.426),(72 6819.9297),(73 6820.8447),(74 6867.604),(75 6929.5024),(76 6954.3496),(77 6955.033),(78 6985.575),(79 7005.239),
(1 853.34216),(2 1508.6321),(3 1974.6396),(4 2346.623),(5 2659.3484),(6 2948.7102),(7 3201.0142),(8 3584.9636),(9 3843.9077),(10 4088.5947),(11 4325.449),(12 4528.023),(13 4701.9063),(14 4797.0435),(15 4918.8164),(16 4983.305),(17 5058.5596),(18 5155.633),(19 5259.416),(20 5291.109),(21 5334.8335),(22 5410.2085),(23 5441.9614),(24 5454.9785),(25 5491.3164),(26 5521.4604),(27 5570.8726),(28 5599.046),(29 5630.924),(30 5652.407),(31 5693.1226),(32 5744.3896),(33 5774.197),(34 5767.7817),(35 5808.7007),(36 5853.89),(37 5899.754),(38 5896.4375),(39 5966.6616),(40 5988.7944),(41 6010.404),(42 6029.6724),(43 6073.899),(44 6095.39),(45 6135.435),(46 6161.2896),(47 6223.863),(48 6264.413),(49 6326.392),(50 6346.4346),(51 6412.964),(52 6453.4023),(53 6462.0977),(54 6502.744),(55 6526.5474),(56 6532.7085),(57 6564.5513),(58 6558.877),(59 6563.716),(60 6561.8745),(61 6579.7236),(62 6596.101),(63 6624.6333),(64 6634.6167),(65 6646.429),(66 6647.8257),(67 6651.8257),(68 6660.9565),(69 6672.315),(70 6688.2607),(71 6677.194),(72 6694.089),(73 6714.965),(74 6748.608),(75 6780.741),(76 6814.34),(77 6785.327),(78 6785.113),(79 6801.498),
(1 845.74207),(2 1508.9379),(3 2002.3591),(4 2371.7427),(5 2661.7188),(6 2925.1912),(7 3188.4148),(8 3533.4744),(9 3769.3162),(10 4016.0652),(11 4202.399),(12 4357.604),(13 4532.4673),(14 4655.953),(15 4834.474),(16 4922.6045),(17 4978.9565),(18 5055.5923),(19 5159.4585),(20 5242.826),(21 5318.747),(22 5420.6416),(23 5504.902),(24 5527.4316),(25 5574.261),(26 5619.051),(27 5662.9204),(28 5706.8477),(29 5758.206),(30 5794.15),(31 5841.62),(32 5872.7637),(33 5922.8193),(34 5973.449),(35 6031.4204),(36 6085.9155),(37 6100.6343),(38 6123.9854),(39 6176.3647),(40 6225.4277),(41 6271.3105),(42 6287.3657),(43 6306.1587),(44 6314.633),(45 6355.5947),(46 6389.9146),(47 6453.0703),(48 6482.9087),(49 6503.8813),(50 6507.2495),(51 6569.273),(52 6633.643),(53 6601.892),(54 6614.774),(55 6636.0435),(56 6639.0776),(57 6670.0938),(58 6656.557),(59 6660.9907),(60 6682.111),(61 6705.5186),(62 6745.517),(63 6786.13),(64 6786.3135),(65 6812.3965),(66 6853.3413),(67 6870.1016),(68 6843.9487),(69 6875.624),(70 6893.663),(71 6895.9653),(72 6907.376),(73 6915.049),(74 6933.0825),(75 6953.1343),(76 6965.94),(77 6972.792),(78 6979.379),(79 6978.8057),
(1 854.81323),(2 1509.4802),(3 1993.6781),(4 2380.0686),(5 2697.8066),(6 2982.7312),(7 3230.721),(8 3609.4714),(9 3849.1033),(10 4104.029),(11 4303.7427),(12 4467.954),(13 4649.119),(14 4805.9907),(15 4958.309),(16 5038.5537),(17 5103.6387),(18 5152.363),(19 5258.298),(20 5350.842),(21 5408.6787),(22 5452.478),(23 5524.8403),(24 5575.7124),(25 5601.6646),(26 5639.3477),(27 5718.044),(28 5744.803),(29 5796.856),(30 5834.725),(31 5878.9907),(32 5897.6685),(33 5934.5615),(34 6016.6523),(35 6049.4575),(36 6062.074),(37 6043.679),(38 6063.2476),(39 6126.665),(40 6167.1606),(41 6221.074),(42 6258.7603),(43 6286.926),(44 6292.744),(45 6306.344),(46 6345.2163),(47 6374.3604),(48 6393.357),(49 6420.565),(50 6442.718),(51 6477.936),(52 6542.9272),(53 6534.0684),(54 6602.899),(55 6612.164),(56 6624.3306),(57 6671.1826),(58 6698.479),(59 6708.4067),(60 6701.82),(61 6727.0684),(62 6744.3364),(63 6770.0117),(64 6775.0005),(65 6798.755),(66 6867.751),(67 6918.844),(68 6925.73),(69 6993.6035),(70 7020.8047),(71 7037.7896),(72 7054.5835),(73 7080.743),(74 7113.93),(75 7159.937),(76 7180.7617),(77 7185.187),(78 7183.935),(79 7186.1484),
(1 846.9108),(2 1487.8608),(3 1946.7732),(4 2314.7546),(5 2602.9473),(6 2884.4204),(7 3108.813),(8 3555.6484),(9 3798.3552),(10 4040.946),(11 4223.4756),(12 4384.2744),(13 4542.667),(14 4683.383),(15 4832.0156),(16 4884.2295),(17 4965.7285),(18 5049.1025),(19 5124.779),(20 5186.9604),(21 5226.5815),(22 5246.843),(23 5302.1147),(24 5370.05),(25 5445.145),(26 5504.0244),(27 5568.807),(28 5587.4326),(29 5618.3735),(30 5662.939),(31 5707.057),(32 5750.619),(33 5802.68),(34 5849.528),(35 5873.567),(36 5908.762),(37 5966.647),(38 5974.428),(39 6034.551),(40 6039.7676),(41 6038.0503),(42 6091.8574),(43 6141.9507),(44 6164.4033),(45 6184.3374),(46 6216.55),(47 6266.381),(48 6315.4277),(49 6357.616),(50 6359.366),(51 6399.29),(52 6407.407),(53 6407.822),(54 6430.5024),(55 6459.9785),(56 6483.302),(57 6466.435),(58 6494.0044),(59 6513.791),(60 6553.9995),(61 6565.193),(62 6570.628),(63 6569.5596),(64 6574.371),(65 6571.7974),(66 6583.661),(67 6605.814),(68 6597.8306),(69 6629.419),(70 6665.1377),(71 6692.4033),(72 6702.9614),(73 6753.724),(74 6778.5386),(75 6816.103),(76 6866.4697),(77 6896.2813),(78 6908.888),(79 6900.2495),
(1 829.64056),(2 1479.6854),(3 1930.7313),(4 2288.548),(5 2577.294),(6 2843.641),(7 3084.948),(8 3480.9895),(9 3714.4956),(10 3927.1953),(11 4160.4624),(12 4354.662),(13 4523.17),(14 4661.3833),(15 4829.9854),(16 4908.8696),(17 5033.0947),(18 5107.724),(19 5213.2036),(20 5254.6064),(21 5316.7925),(22 5338.0366),(23 5357.163),(24 5400.0723),(25 5422.8867),(26 5459.658),(27 5522.397),(28 5553.8247),(29 5574.1753),(30 5614.978),(31 5682.029),(32 5717.17),(33 5763.2407),(34 5798.643),(35 5820.888),(36 5849.709),(37 5893.087),(38 5921.343),(39 5983.6743),(40 5987.2188),(41 5990.765),(42 6023.148),(43 6063.4346),(44 6123.013),(45 6165.952),(46 6206.283),(47 6237.532),(48 6287.5825),(49 6334.128),(50 6361.9116),(51 6396.111),(52 6409.1934),(53 6373.5522),(54 6348.8994),(55 6354.044),(56 6344.1143),(57 6354.743),(58 6350.518),(59 6378.7456),(60 6398.159),(61 6417.5),(62 6421.9517),(63 6440.373),(64 6457.3833),(65 6466.181),(66 6451.58),(67 6464.282),(68 6482.6675),(69 6494.6196),(70 6516.4614),(71 6502.888),(72 6477.3037),(73 6494.449),(74 6545.8774),(75 6583.8765),(76 6627.8726),(77 6638.472),(78 6657.3267),(79 6668.095),
(1 826.31604),(2 1477.3943),(3 1950.7084),(4 2319.5122),(5 2645.7842),(6 2919.1829),(7 3144.7014),(8 3491.0686),(9 3704.9348),(10 3910.9272),(11 4122.854),(12 4313.984),(13 4514.737),(14 4651.609),(15 4782.688),(16 4889.525),(17 4988.62),(18 5073.2026),(19 5147.254),(20 5195.9307),(21 5236.493),(22 5289.135),(23 5323.317),(24 5356.809),(25 5381.12),(26 5424.556),(27 5450.204),(28 5448.8613),(29 5471.5425),(30 5489.7275),(31 5535.2603),(32 5584.7017),(33 5610.7153),(34 5610.267),(35 5635.316),(36 5654.1855),(37 5649.832),(38 5708.5435),(39 5779.542),(40 5754.5464),(41 5739.8423),(42 5730.664),(43 5784.564),(44 5855.228),(45 5917.0347),(46 5958.6416),(47 6003.197),(48 6046.5513),(49 6068.4824),(50 6077.5356),(51 6120.431),(52 6151.149),(53 6173.5547),(54 6168.079),(55 6151.85),(56 6164.195),(57 6171.978),(58 6185.772),(59 6229.153),(60 6223.0464),(61 6253.795),(62 6269.611),(63 6339.6045),(64 6366.177),(65 6385.589),(66 6397.595),(67 6402.955),(68 6381.095),(69 6376.2354),(70 6392.1196),(71 6394.816),(72 6398.523),(73 6396.9395),(74 6403.0156),(75 6437.414),(76 6490.7476),(77 6498.423),(78 6488.0884),(79 6497.9004),
(1 821.1013),(2 1452.0973),(3 1897.9751),(4 2257.9966),(5 2557.8127),(6 2847.442),(7 3087.167),(8 3446.8633),(9 3698.7976),(10 3918.0266),(11 4112.2695),(12 4271.511),(13 4408.9883),(14 4529.0244),(15 4628.9478),(16 4689.866),(17 4756.4536),(18 4832.081),(19 4896.9136),(20 4953.4004),(21 4997.916),(22 5031.891),(23 5129.4478),(24 5190.0806),(25 5237.2095),(26 5273.285),(27 5326.906),(28 5355.506),(29 5380.7524),(30 5383.4478),(31 5407.14),(32 5448.1123),(33 5486.7583),(34 5495.8403),(35 5529.967),(36 5565.357),(37 5598.668),(38 5695.089),(39 5769.259),(40 5787.3984),(41 5826.5405),(42 5861.279),(43 5928.1665),(44 5980.26),(45 6044.768),(46 6095.732),(47 6124.0337),(48 6151.7915),(49 6166.054),(50 6174.5366),(51 6252.5864),(52 6277.2417),(53 6226.431),(54 6221.6006),(55 6213.9795),(56 6205.756),(57 6212.422),(58 6199.488),(59 6220.9424),(60 6195.37),(61 6215.695),(62 6246.4443),(63 6270.3843),(64 6277.2744),(65 6281.7686),(66 6331.9297),(67 6352.2983),(68 6374.355),(69 6370.893),(70 6410.2075),(71 6420.0996),(72 6444.845),(73 6460.7446),(74 6494.1045),(75 6549.3296),(76 6577.611),(77 6541.2046),(78 6515.3257),(79 6520.2817),
(1 819.6866),(2 1451.9338),(3 1936.889),(4 2305.2122),(5 2604.2627),(6 2911.9546),(7 3152.6484),(8 3512.5723),(9 3758.485),(10 3993.4302),(11 4194.071),(12 4389.3105),(13 4541.605),(14 4662.258),(15 4779.768),(16 4871.465),(17 4954.3154),(18 5027.222),(19 5107.87),(20 5178.9434),(21 5227.015),(22 5297.281),(23 5362.96),(24 5380.9727),(25 5421.8374),(26 5461.3745),(27 5508.909),(28 5527.972),(29 5532.744),(30 5556.9644),(31 5597.8784),(32 5640.987),(33 5688.1016),(34 5729.9307),(35 5727.2764),(36 5772.798),(37 5822.737),(38 5923.525),(39 6015.993),(40 6036.2734),(41 6074.066),(42 6090.3525),(43 6114.9673),(44 6156.5747),(45 6211.0054),(46 6248.355),(47 6274.881),(48 6306.448),(49 6339.692),(50 6368.5356),(51 6375.232),(52 6404.8135),(53 6347.421),(54 6335.235),(55 6340.8755),(56 6313.9463),(57 6292.7227),(58 6299.3545),(59 6297.358),(60 6276.54),(61 6261.682),(62 6256.069),(63 6227.8647),(64 6242.3154),(65 6240.743),(66 6259.434),(67 6295.5635),(68 6291.2217),(69 6293.841),(70 6297.0225),(71 6265.768),(72 6262.711),(73 6219.2886),(74 6258.712),(75 6307.1963),(76 6350.228),(77 6362.3716),(78 6394.563),(79 6435.8027),
(1 807.00433),(2 1424.1099),(3 1844.526),(4 2186.4963),(5 2439.2415),(6 2693.9897),(7 2928.881),(8 3282.8596),(9 3519.663),(10 3718.4536),(11 3921.6172),(12 4098.5825),(13 4275.723),(14 4406.8394),(15 4542.3774),(16 4614.2627),(17 4730.123),(18 4787.7163),(19 4888.564),(20 4951.17),(21 5002.1),(22 5075.003),(23 5125.4336),(24 5181.8267),(25 5225.5024),(26 5302.7856),(27 5358.8955),(28 5410.734),(29 5439.1025),(30 5465.8057),(31 5531.8706),(32 5580.2197),(33 5609.0303),(34 5655.6646),(35 5708.3804),(36 5759.526),(37 5783.9565),(38 5809.7036),(39 5871.174),(40 5879.9165),(41 5911.307),(42 5926.5093),(43 5947.806),(44 5988.4385),(45 6039.5825),(46 6067.5557),(47 6104.9756),(48 6117.391),(49 6134.6777),(50 6152.1924),(51 6179.783),(52 6192.4966),(53 6144.9565),(54 6128.9927),(55 6096.843),(56 6087.5605),(57 6070.099),(58 6067.7314),(59 6037.791),(60 6003.988),(61 5995.1436),(62 5984.1416),(63 6008.409),(64 6020.53),(65 6018.5083),(66 6011.7627),(67 6029.9673),(68 6045.1523),(69 6077.616),(70 6084.9517),(71 6087.256),(72 6109.734),(73 6128.4565),(74 6186.4043),(75 6241.3315),(76 6302.926),(77 6344.85),(78 6386.791),(79 6435.638),
(1 791.0776),(2 1398.5042),(3 1825.7351),(4 2156.237),(5 2394.9094),(6 2617.6917),(7 2857.369),(8 3203.856),(9 3415.5808),(10 3618.1375),(11 3808.395),(12 3944.52),(13 4087.945),(14 4181.022),(15 4305.7764),(16 4393.49),(17 4467.961),(18 4549.076),(19 4626.604),(20 4696.153),(21 4726.7534),(22 4767.3696),(23 4867.3447),(24 4913.9053),(25 4956.6226),(26 4998.909),(27 5091.0776),(28 5139.1484),(29 5175.711),(30 5223.8164),(31 5264.0264),(32 5301.7446),(33 5358.9624),(34 5403.1763),(35 5453.651),(36 5482.038),(37 5514.0156),(38 5557.6016),(39 5599.3096),(40 5600.6636),(41 5605.621),(42 5631.1235),(43 5657.7124),(44 5676.466),(45 5691.906),(46 5707.5522),(47 5729.7627),(48 5731.186),(49 5724.6445),(50 5748.6406),(51 5766.534),(52 5792.29),(53 5790.175),(54 5784.602),(55 5787.221),(56 5761.6206),(57 5742.368),(58 5751.17),(59 5744.774),(60 5760.189),(61 5785.7275),(62 5797.6655),(63 5829.433),(64 5836.731),(65 5893.3135),(66 5889.953),(67 5903.829),(68 5895.128),(69 5900.383),(70 5920.321),(71 5902.4385),(72 5906.8906),(73 5928.9033),(74 5946.0947),(75 6005.2134),(76 6045.03),(77 6057.092),(78 6093.6455),(79 6114.4277),
(1 793.7397),(2 1395.1761),(3 1833.9557),(4 2173.1003),(5 2428.8503),(6 2652.243),(7 2853.2537),(8 3221.4666),(9 3461.0203),(10 3660.9578),(11 3813.7915),(12 3934.7458),(13 4068.4414),(14 4160.382),(15 4269.1836),(16 4344.393),(17 4395.0366),(18 4469.1753),(19 4538.304),(20 4593.2603),(21 4651.6704),(22 4691.009),(23 4761.3706),(24 4800.442),(25 4836.2896),(26 4874.5127),(27 4924.287),(28 4962.5054),(29 4996.4653),(30 5070.464),(31 5133.057),(32 5220.172),(33 5264.914),(34 5311.284),(35 5369.1553),(36 5417.083),(37 5434.1855),(38 5495.313),(39 5553.5806),(40 5549.85),(41 5590.6147),(42 5599.5103),(43 5619.745),(44 5632.0967),(45 5625.797),(46 5643.4756),(47 5646.2666),(48 5646.377),(49 5630.3496),(50 5653.6504),(51 5664.343),(52 5691.747),(53 5678.414),(54 5689.5425),(55 5732.179),(56 5733.954),(57 5739.4453),(58 5800.382),(59 5829.6094),(60 5855.467),(61 5881.546),(62 5882.7773),(63 5915.433),(64 5921.675),(65 5965.0474),(66 6019.5815),(67 6014.4644),(68 6050.2246),(69 6070.965),(70 6081.396),(71 6081.9946),(72 6086.5176),(73 6104.472),(74 6121.5396),(75 6167.49),(76 6205.433),(77 6237.31),(78 6275.705),(79 6299.711),
(1 786.35254),(2 1366.5883),(3 1794.4038),(4 2120.5762),(5 2387.6648),(6 2628.5396),(7 2842.0813),(8 3158.5435),(9 3353.5679),(10 3544.7073),(11 3721.6375),(12 3862.0186),(13 4000.6055),(14 4116.854),(15 4252.8276),(16 4312.898),(17 4380.8203),(18 4411.087),(19 4441.9077),(20 4495.359),(21 4564.7866),(22 4587.304),(23 4646.206),(24 4666.2456),(25 4707.8135),(26 4765.711),(27 4821.822),(28 4821.1772),(29 4844.513),(30 4881.63),(31 4941.5396),(32 4991.1143),(33 5021.072),(34 5057.4854),(35 5098.5625),(36 5127.691),(37 5159.6724),(38 5166.713),(39 5233.3716),(40 5265.0776),(41 5316.248),(42 5336.098),(43 5362.2803),(44 5366.639),(45 5385.577),(46 5403.658),(47 5419.2964),(48 5453.444),(49 5473.743),(50 5491.0537),(51 5493.5557),(52 5518.9243),(53 5516.866),(54 5548.7017),(55 5584.729),(56 5596.632),(57 5618.806),(58 5705.0522),(59 5764.744),(60 5788.956),(61 5831.342),(62 5835.8066),(63 5852.6),(64 5907.966),(65 5964.4067),(66 6009.796),(67 6028.837),(68 6058.3193),(69 6086.273),(70 6123.7856),(71 6122.586),(72 6137.3706),(73 6133.1567),(74 6162.8066),(75 6227.86),(76 6230.5625),(77 6264.9727),(78 6294.008),(79 6328.6563),
(1 784.83466),(2 1370.4562),(3 1829.3235),(4 2189.7683),(5 2448.0408),(6 2703.582),(7 2938.4302),(8 3269.5322),(9 3484.0752),(10 3693.1711),(11 3875.718),(12 4021.6223),(13 4189.768),(14 4298.442),(15 4442.1636),(16 4525.279),(17 4599.8564),(18 4650.4927),(19 4691.7974),(20 4748.8765),(21 4823.629),(22 4858.183),(23 4937.0127),(24 4954.09),(25 5013.7534),(26 5101.3306),(27 5164.058),(28 5171.852),(29 5183.0527),(30 5205.8286),(31 5236.926),(32 5246.584),(33 5317.645),(34 5360.4863),(35 5396.419),(36 5416.156),(37 5438.223),(38 5435.795),(39 5469.778),(40 5478.1133),(41 5465.5654),(42 5454.962),(43 5455.1323),(44 5449.8735),(45 5461.5615),(46 5468.5073),(47 5468.3096),(48 5478.077),(49 5483.4785),(50 5485.7817),(51 5481.5356),(52 5485.7173),(53 5504.441),(54 5483.577),(55 5489.0957),(56 5473.8013),(57 5502.7886),(58 5530.8906),(59 5570.1426),(60 5600.749),(61 5651.8257),(62 5689.43),(63 5763.779),(64 5809.5747),(65 5857.288),(66 5919.862),(67 5974.1543),(68 5987.446),(69 6028.585),(70 6081.1484),(71 6096.229),(72 6154.8306),(73 6154.9937),(74 6172.258),(75 6241.9385),(76 6236.167),(77 6253.3745),(78 6274.7627),(79 6282.7725),
(1 787.6335),(2 1399.2262),(3 1844.298),(4 2176.6018),(5 2420.0688),(6 2666.0928),(7 2909.6147),(8 3279.222),(9 3502.2283),(10 3706.6384),(11 3882.0313),(12 4026.0872),(13 4211.2656),(14 4305.2915),(15 4438.671),(16 4519.9424),(17 4604.333),(18 4663.2803),(19 4737.4463),(20 4799.8447),(21 4858.5894),(22 4891.911),(23 4968.8447),(24 5019.6934),(25 5053.3965),(26 5109.0815),(27 5167.0107),(28 5198.095),(29 5197.656),(30 5189.4624),(31 5247.353),(32 5288.5215),(33 5326.014),(34 5375.132),(35 5426.813),(36 5432.733),(37 5446.682),(38 5490.2217),(39 5557.1567),(40 5552.9536),(41 5557.1357),(42 5567.9873),(43 5587.2856),(44 5605.847),(45 5593.079),(46 5579.732),(47 5570.912),(48 5586.2905),(49 5586.8496),(50 5587.276),(51 5622.762),(52 5613.876),(53 5621.412),(54 5616.5854),(55 5618.139),(56 5616.0605),(57 5647.1387),(58 5659.277),(59 5689.7856),(60 5711.4795),(61 5741.6875),(62 5780.3667),(63 5854.0527),(64 5912.877),(65 5952.4077),(66 5966.0327),(67 5989.6646),(68 6041.784),(69 6083.2476),(70 6130.534),(71 6178.6724),(72 6222.691),(73 6251.7734),(74 6297.0166),(75 6356.936),(76 6373.959),(77 6376.9907),(78 6423.0796),(79 6454.2637),
