1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 806.2682),(2 945.51764),(3 976.2487),(4 1038.2673),(5 1044.6337),(6 1069.8323),(7 1109.9812),(8 1136.6542),(9 1138.1786),(10 1152.8644),(11 1194.4445),(12 1222.8011),(13 1224.0038),(14 1266.8842),(15 1299.8859),(16 1292.0793),(17 1311.4058),(18 1335.7167),(19 1338.7224),(20 1359.8667),(21 1357.2607),(22 1367.7578),(23 1367.3524),(24 1379.0178),(25 1380.0096),(26 1384.5581),(27 1387.8643),(28 1371.0101),(29 1377.824),(30 1379.1238),(31 1383.3727),(32 1371.384),(33 1376.937),(34 1365.9436),(35 1365.4701),(36 1367.9519),(37 1362.4026),(38 1350.2217),(39 1353.5719),(40 1362.4078),(41 1367.8082),(42 1348.6364),(43 1346.7527),(44 1345.0396),(45 1346.8241),(46 1344.4275),(47 1340.17),(48 1355.105),(49 1353.019),(50 1357.8884),(51 1348.1677),(52 1343.3761),(53 1338.5781),(54 1342.531),(55 1353.1005),(56 1358.0531),(57 1367.2029),(58 1372.3364),(59 1375.1637),(60 1388.0472),(61 1401.2979),(62 1382.9998),(63 1389.6816),(64 1403.4153),(65 1374.521),(66 1383.6027),(67 1394.1514),(68 1391.2147),(69 1406.6964),(70 1388.3553),(71 1394.06),(72 1387.8618),(73 1399.332),(74 1399.7539),(75 1397.6936),(76 1404.4595),(77 1413.6643),(78 1413.7372),(79 1390.3094),
(1 793.9501),(2 935.8194),(3 971.47864),(4 1024.9807),(5 1046.0737),(6 1075.4225),(7 1105.5386),(8 1117.8695),(9 1133.2372),(10 1154.8724),(11 1180.2838),(12 1212.7059),(13 1229.4896),(14 1262.5087),(15 1281.0676),(16 1260.7532),(17 1297.8508),(18 1303.8033),(19 1319.995),(20 1331.7927),(21 1347.6514),(22 1352.778),(23 1349.0575),(24 1351.7996),(25 1355.3918),(26 1353.3043),(27 1370.6082),(28 1352.1554),(29 1359.567),(30 1368.553),(31 1371.567),(32 1352.4309),(33 1367.0717),(34 1363.7737),(35 1352.8835),(36 1357.8693),(37 1364.572),(38 1357.8013),(39 1345.8433),(40 1348.2067),(41 1364.507),(42 1347.4097),(43 1350.3558),(44 1341.9358),(45 1344.5935),(46 1339.1465),(47 1348.5961),(48 1351.099),(49 1338.8591),(50 1340.2579),(51 1341.389),(52 1332.0577),(53 1328.9913),(54 1331.2462),(55 1330.0475),(56 1334.7329),(57 1341.8158),(58 1341.3342),(59 1346.5508),(60 1339.6478),(61 1371.9795),(62 1358.3881),(63 1357.9023),(64 1372.5692),(65 1352.7876),(66 1358.0685),(67 1352.7332),(68 1368.1113),(69 1364.2266),(70 1354.3682),(71 1361.6858),(72 1354.0062),(73 1380.9875),(74 1368.7668),(75 1356.342),(76 1353.6119),(77 1360.9989),(78 1369.5706),(79 1361.9358),
(1 787.97406),(2 932.62054),(3 967.1637),(4 1012.48914),(5 1027.946),(6 1052.576),(7 1078.7034),(8 1094.2601),(9 1115.2042),(10 1136.9155),(11 1149.7239),(12 1178.45),(13 1203.0626),(14 1219.0039),(15 1233.5828),(16 1229.7811),(17 1279.3743),(18 1276.4126),(19 1284.0461),(20 1294.4783),(21 1301.7625),(22 1305.9166),(23 1320.8031),(24 1338.0127),(25 1322.0813),(26 1333.0127),(27 1345.3596),(28 1325.0321),(29 1322.0813),(30 1336.3558),(31 1330.5468),(32 1325.7455),(33 1339.0729),(34 1328.3871),(35 1326.7737),(36 1320.6038),(37 1335.6085),(38 1320.852),(39 1319.5793),(40 1311.3405),(41 1315.2239),(42 1304.4833),(43 1296.9576),(44 1305.27),(45 1301.2042),(46 1301.4982),(47 1300.0851),(48 1294.6038),(49 1307.6517),(50 1305.0868),(51 1304.5798),(52 1289.9271),(53 1289.3701),(54 1302.041),(55 1297.9583),(56 1301.4783),(57 1309.0875),(58 1312.973),(59 1320.897),(60 1318.2964),(61 1344.425),(62 1352.5818),(63 1344.2792),(64 1357.7638),(65 1359.0505),(66 1362.8838),(67 1359.827),(68 1361.9045),(69 1367.6666),(70 1369.6344),(71 1370),(72 1382.6692),(73 1379.09),(74 1384.5742),(75 1367.65),(76 1358.9005),(77 1359.8077),(78 1347.938),(79 1352.2996),
(1 764.4999),(2 900.331),(3 934.7576),(4 986.4205),(5 1001.76874),(6 1028.7507),(7 1059.2501),(8 1084.8738),(9 1095.1),(10 1123.187),(11 1141.228),(12 1177.4915),(13 1176.3851),(14 1196.0845),(15 1225.5236),(16 1216.8599),(17 1255.9548),(18 1272.0702),(19 1274.9207),(20 1287.4081),(21 1291.8914),(22 1293.9819),(23 1321.5105),(24 1322.7687),(25 1307.55),(26 1307.3085),(27 1334.2351),(28 1319.1667),(29 1322.9806),(30 1328.5369),(31 1339.705),(32 1327.2756),(33 1332.4386),(34 1313.2601),(35 1306.285),(36 1294.8252),(37 1309.9972),(38 1304.7563),(39 1299.0559),(40 1289.8787),(41 1283.4463),(42 1287.5255),(43 1287.9794),(44 1290.3657),(45 1290.8124),(46 1287.2408),(47 1282.8348),(48 1294.4047),(49 1306.3905),(50 1287.493),(51 1298.6346),(52 1288.1367),(53 1303.5991),(54 1302.719),(55 1297.8042),(56 1298.8794),(57 1313.0023),(58 1323.6381),(59 1334.8134),(60 1342.8677),(61 1365.522),(62 1363.3123),(63 1361.6256),(64 1340.97),(65 1352.1309),(66 1346.4922),(67 1357.1873),(68 1353.9111),(69 1359.1864),(70 1358.2686),(71 1364.2764),(72 1358.6587),(73 1370.1029),(74 1363.2653),(75 1363.0903),(76 1357.6283),(77 1353.3909),(78 1341.9246),(79 1337.5872),
(1 756.43304),(2 870.87933),(3 925.3192),(4 969.01465),(5 1002.7008),(6 1033.2328),(7 1058.7892),(8 1081.929),(9 1100.0857),(10 1125.2306),(11 1145.86),(12 1175.4818),(13 1182.2341),(14 1215.771),(15 1240.5754),(16 1243.2206),(17 1274.131),(18 1265.4847),(19 1273.823),(20 1287.215),(21 1297.5879),(22 1289.7231),(23 1322.1523),(24 1329.7758),(25 1323.8044),(26 1337.0477),(27 1333.3771),(28 1347.4934),(29 1336.4834),(30 1338.5701),(31 1348.4791),(32 1328.4407),(33 1331.18),(34 1303.7405),(35 1298.0848),(36 1283.7686),(37 1299.6113),(38 1287.3701),(39 1287.7516),(40 1290.2666),(41 1277.2212),(42 1268.6644),(43 1277.9163),(44 1276.0247),(45 1286.4926),(46 1282.3784),(47 1270.6422),(48 1276.3418),(49 1264.8898),(50 1262.0317),(51 1275.9182),(52 1269.9998),(53 1273.1632),(54 1264.961),(55 1270.4723),(56 1277.3049),(57 1292.6516),(58 1308.014),(59 1327.1382),(60 1319.2495),(61 1329.0779),(62 1344.8018),(63 1360.855),(64 1343.0453),(65 1342.3667),(66 1347.6229),(67 1345.5994),(68 1347.9213),(69 1358.0969),(70 1351.5046),(71 1368.5236),(72 1361.4955),(73 1364.6821),(74 1352.8434),(75 1343.0576),(76 1355.8192),(77 1350.9844),(78 1349.5721),(79 1336.9868),
(1 738.90106),(2 857.62146),(3 920.04517),(4 971.425),(5 990.9817),(6 1002.0124),(7 1036.7802),(8 1045.8936),(9 1055.1233),(10 1078.1534),(11 1107.7401),(12 1117.7946),(13 1142.4751),(14 1160.0042),(15 1190.3025),(16 1196.162),(17 1224.8467),(18 1224.3282),(19 1226.8815),(20 1234.2057),(21 1248.5481),(22 1240.9608),(23 1267.6102),(24 1280.9706),(25 1260.7039),(26 1265.105),(27 1269.2509),(28 1279.0558),(29 1268.8235),(30 1261.7242),(31 1279.3845),(32 1263.7983),(33 1275.0662),(34 1255.5365),(35 1246.8312),(36 1240.6576),(37 1253.1028),(38 1253.5216),(39 1243.5776),(40 1229.3411),(41 1232.4949),(42 1228.8794),(43 1227.6315),(44 1225.1628),(45 1229.5594),(46 1224.2273),(47 1232.2527),(48 1228.3053),(49 1234.9924),(50 1231.4751),(51 1243.284),(52 1247.9003),(53 1247.2363),(54 1236.7527),(55 1247.0353),(56 1248.1788),(57 1258.4708),(58 1267.7006),(59 1289.0831),(60 1286.2115),(61 1292.6206),(62 1311.6721),(63 1312.3632),(64 1316.6571),(65 1314.486),(66 1304.9332),(67 1321.8718),(68 1312.2185),(69 1327.982),(70 1323.5619),(71 1327.942),(72 1325.0625),(73 1325.3528),(74 1327.8488),(75 1306.0331),(76 1318.5499),(77 1314.9844),(78 1314.7622),(79 1303.1272),
(1 734.9526),(2 874.7938),(3 911.74854),(4 959.09735),(5 987.15173),(6 1004.529),(7 1047.8389),(8 1054.2863),(9 1074.4213),(10 1093.2446),(11 1125.8557),(12 1145.4084),(13 1162.1045),(14 1185.3607),(15 1194.3846),(16 1191.8958),(17 1228.1708),(18 1230.9678),(19 1241.0114),(20 1251.6882),(21 1271.0315),(22 1257.269),(23 1274.6306),(24 1278.7167),(25 1266.4132),(26 1260.6567),(27 1271.4716),(28 1275.9708),(29 1271.7322),(30 1266.6287),(31 1276.0514),(32 1253.3531),(33 1281.3938),(34 1266.0331),(35 1252.5938),(36 1251.4183),(37 1257.5582),(38 1264.5403),(39 1258.2183),(40 1246.7634),(41 1247.8345),(42 1248.6377),(43 1235.3058),(44 1228.39),(45 1234.3943),(46 1262.761),(47 1266.8477),(48 1260.9619),(49 1267.2969),(50 1272.5247),(51 1288.9424),(52 1275.9574),(53 1284.423),(54 1266.7997),(55 1276.6263),(56 1283.1118),(57 1283.1527),(58 1293.477),(59 1301.2317),(60 1294.848),(61 1311.914),(62 1315.651),(63 1319.9288),(64 1305.7944),(65 1301.5305),(66 1308.8633),(67 1322.7903),(68 1311.7465),(69 1312.1112),(70 1317.2175),(71 1302.1615),(72 1298.6631),(73 1301.3623),(74 1293.7114),(75 1301.6176),(76 1295.4553),(77 1284.3768),(78 1306.5841),(79 1300.4265),
(1 713.9053),(2 852.4829),(3 897.19696),(4 935.31305),(5 965.053),(6 992.7186),(7 1017.4047),(8 1026.9281),(9 1035.6813),(10 1057.1093),(11 1087.9332),(12 1099.6534),(13 1135.5015),(14 1150.5195),(15 1154.5679),(16 1169.1354),(17 1179.5073),(18 1194.696),(19 1207.656),(20 1226.1633),(21 1240.4044),(22 1229.911),(23 1238.3785),(24 1243.5352),(25 1241.3123),(26 1236.7859),(27 1250.28),(28 1247.0193),(29 1252.6073),(30 1251.071),(31 1253.722),(32 1239.892),(33 1242.8368),(34 1225.2288),(35 1225.728),(36 1225.4366),(37 1219.0034),(38 1216.2239),(39 1222.6274),(40 1204.5524),(41 1209.99),(42 1204.3516),(43 1202.596),(44 1204.2346),(45 1204.1927),(46 1215.8893),(47 1223.7645),(48 1219.8912),(49 1213.6257),(50 1219.1504),(51 1220.8706),(52 1214.3706),(53 1217.3794),(54 1220.3956),(55 1226.8788),(56 1225.6295),(57 1224.9409),(58 1242.7598),(59 1241.6257),(60 1238.8872),(61 1255.5574),(62 1267.008),(63 1257.3533),(64 1255.6505),(65 1261.7068),(66 1252.3079),(67 1266.156),(68 1259.057),(69 1259.6991),(70 1271.9491),(71 1270.2382),(72 1271.309),(73 1282.5416),(74 1280.6366),(75 1302.3185),(76 1294.9711),(77 1291.49),(78 1301.4055),(79 1299.4287),
(1 721.47107),(2 861.1453),(3 912.13824),(4 949.8461),(5 982.9136),(6 1001.6329),(7 1014.8403),(8 1027.5446),(9 1044.7323),(10 1072.1261),(11 1101.3984),(12 1101.6865),(13 1124.3823),(14 1146.1327),(15 1164.8555),(16 1166.1206),(17 1175.1287),(18 1188.0737),(19 1185.8933),(20 1202.9067),(21 1214.8295),(22 1214.4387),(23 1212.9667),(24 1214.4064),(25 1200.9443),(26 1209.9902),(27 1209.6926),(28 1220.4153),(29 1226.053),(30 1212.4233),(31 1218.7506),(32 1213.9359),(33 1222.8517),(34 1207.5826),(35 1207.2498),(36 1206.465),(37 1204.6202),(38 1216.675),(39 1218.1917),(40 1209.2244),(41 1215.3793),(42 1206.3265),(43 1200.9982),(44 1203.3073),(45 1200.7654),(46 1207.8383),(47 1213.2549),(48 1224.5477),(49 1225.5294),(50 1219.2683),(51 1230.4612),(52 1220.3832),(53 1216.46),(54 1225.1654),(55 1222.827),(56 1235.3306),(57 1230.8989),(58 1244.4742),(59 1239.1615),(60 1248.6027),(61 1265.0084),(62 1261.0577),(63 1258.1576),(64 1267.3513),(65 1256.9784),(66 1257.0527),(67 1277.798),(68 1274.8721),(69 1280.8367),(70 1282.3395),(71 1283.1079),(72 1292.4417),(73 1285.1526),(74 1280.8822),(75 1276.202),(76 1276.4272),(77 1256.4136),(78 1254.6039),(79 1247.6805),
(1 697.1612),(2 833.75635),(3 891.9454),(4 931.8173),(5 957.8739),(6 987.2287),(7 1009.29724),(8 1021.761),(9 1024.5804),(10 1042.7957),(11 1065.7515),(12 1080.5701),(13 1101.0123),(14 1125.3102),(15 1138.3696),(16 1155.543),(17 1161.8867),(18 1172.915),(19 1189.383),(20 1200.7811),(21 1208.9393),(22 1221.4027),(23 1225.3245),(24 1222.8326),(25 1203.4895),(26 1211.4454),(27 1208.1505),(28 1221.3143),(29 1225.2506),(30 1210.905),(31 1220.0875),(32 1212.7012),(33 1226.2278),(34 1214.5253),(35 1205.5234),(36 1201.8226),(37 1200.6266),(38 1204.809),(39 1202.3546),(40 1191.1997),(41 1184.339),(42 1172.7234),(43 1172.1644),(44 1176.8553),(45 1184.0029),(46 1176.6503),(47 1172.3275),(48 1162.8171),(49 1170.0596),(50 1187.322),(51 1191.0377),(52 1181.4545),(53 1188.7383),(54 1191.609),(55 1205.2676),(56 1211.5935),(57 1214.0662),(58 1226.6813),(59 1227.8386),(60 1238.0787),(61 1241.1416),(62 1240.268),(63 1254.0402),(64 1258.4568),(65 1258.9979),(66 1255.8845),(67 1266.0565),(68 1250.8964),(69 1256.3254),(70 1269.7158),(71 1259.8588),(72 1261.679),(73 1263.3558),(74 1269.7103),(75 1279.4701),(76 1272.6785),(77 1273.9674),(78 1277.1088),(79 1275.4688),
(1 682.5442),(2 814.4853),(3 855.9616),(4 907.65717),(5 924.6566),(6 950.86475),(7 981.90814),(8 987.2454),(9 1002.7948),(10 1010.37964),(11 1038.4443),(12 1057.453),(13 1077.4366),(14 1099.0315),(15 1108.1841),(16 1131.5532),(17 1138.4869),(18 1141.058),(19 1158.901),(20 1186.7603),(21 1192.5311),(22 1182.1272),(23 1200.0952),(24 1188.8433),(25 1184.0245),(26 1178.918),(27 1192.7698),(28 1184.5356),(29 1197.5024),(30 1194.3237),(31 1188.2456),(32 1195.0736),(33 1186.5643),(34 1180.0552),(35 1186.4656),(36 1168.3838),(37 1162.9421),(38 1164.2865),(39 1166.4192),(40 1168.4785),(41 1158.4471),(42 1148.9111),(43 1151.0134),(44 1159.7799),(45 1155.3811),(46 1149.5634),(47 1162.5942),(48 1149.5474),(49 1159.5083),(50 1168.73),(51 1165.3207),(52 1164.7029),(53 1162.6078),(54 1176.3777),(55 1176.3937),(56 1176.1309),(57 1183.9742),(58 1190.2213),(59 1194.2853),(60 1196.5038),(61 1208.8849),(62 1206.2317),(63 1217.4446),(64 1213.689),(65 1224.367),(66 1215.3282),(67 1223.6031),(68 1205.3096),(69 1205.735),(70 1225.8356),(71 1231.3777),(72 1229.9061),(73 1234.8643),(74 1238.2365),(75 1247.1405),(76 1237.7073),(77 1233.5448),(78 1236.2847),(79 1232.1324),
(1 672.679),(2 803.5546),(3 833.8737),(4 882.4072),(5 912.4911),(6 942.1971),(7 961.3183),(8 960.9448),(9 977.8336),(10 993.26447),(11 1004.35297),(12 1047.425),(13 1051.5093),(14 1064.4088),(15 1077.6753),(16 1091.0717),(17 1104.26),(18 1108.505),(19 1118.9147),(20 1150.7656),(21 1150.0348),(22 1141.392),(23 1149.6886),(24 1145.8802),(25 1136.1508),(26 1137.9406),(27 1140.3257),(28 1144.0494),(29 1143.1815),(30 1143.4109),(31 1134.206),(32 1143.2716),(33 1131.9941),(34 1125.7368),(35 1143.0901),(36 1126.3629),(37 1118.4004),(38 1126.6588),(39 1124.3896),(40 1131.7045),(41 1126.5225),(42 1128.2578),(43 1124.844),(44 1127.9938),(45 1134.6603),(46 1134.6523),(47 1138.6171),(48 1154.5044),(49 1149.1752),(50 1147.0406),(51 1158.8861),(52 1158.2256),(53 1156.0474),(54 1165.445),(55 1172.0854),(56 1173.477),(57 1184.9413),(58 1182.7803),(59 1199.3259),(60 1195.5731),(61 1203.0737),(62 1212.9718),(63 1219.6517),(64 1210.8658),(65 1217.973),(66 1201.5316),(67 1213.2635),(68 1220.503),(69 1213.4724),(70 1224.2227),(71 1230.0463),(72 1224.6881),(73 1223.5642),(74 1215.0535),(75 1236.4003),(76 1211.5842),(77 1216.5249),(78 1208.0696),(79 1201.1803),
(1 659.0666),(2 782.4955),(3 826.58563),(4 852.71484),(5 903.6897),(6 921.6774),(7 947.4488),(8 951.1781),(9 969.4833),(10 975.5553),(11 990.1405),(12 1020.2215),(13 1036.7343),(14 1051.4297),(15 1062.696),(16 1076.1754),(17 1094.8386),(18 1100.6094),(19 1115.5833),(20 1141.2706),(21 1149.0273),(22 1156.6726),(23 1148.3683),(24 1154.257),(25 1145.5702),(26 1160.5437),(27 1165.5841),(28 1155.4055),(29 1159.5728),(30 1182.505),(31 1157.1074),(32 1156.4462),(33 1158.7),(34 1149.7191),(35 1157.0399),(36 1157.484),(37 1155.7626),(38 1154.6776),(39 1147.7697),(40 1162.9264),(41 1151.7665),(42 1141.3254),(43 1148.641),(44 1165.0365),(45 1148.8752),(46 1152.1877),(47 1168.7162),(48 1175.7709),(49 1164.9766),(50 1166.6095),(51 1178.4791),(52 1176.1964),(53 1170.1892),(54 1179.2806),(55 1181.8062),(56 1185.217),(57 1194.102),(58 1193.6865),(59 1200.8552),(60 1202.5851),(61 1203.452),(62 1201.1543),(63 1190.1411),(64 1199.0234),(65 1193.7015),(66 1186.4105),(67 1201.4305),(68 1204.8206),(69 1207.2136),(70 1218.4032),(71 1222.1174),(72 1219.907),(73 1234.891),(74 1224.3564),(75 1225.2106),(76 1217.1991),(77 1225.5685),(78 1223.8563),(79 1218.1719),
(1 655.6982),(2 787.5549),(3 817.1954),(4 854.8177),(5 892.62396),(6 916.0973),(7 939.65436),(8 938.5831),(9 961.47766),(10 971.49805),(11 994.5603),(12 1016.3991),(13 1023.4592),(14 1041.1497),(15 1059.8904),(16 1073.3073),(17 1096.9045),(18 1101.1377),(19 1125.3275),(20 1131.8634),(21 1158.4578),(22 1166.417),(23 1163.7158),(24 1163.1064),(25 1149.3904),(26 1162.4167),(27 1167.4474),(28 1149.9563),(29 1164.5913),(30 1168.9407),(31 1151.2235),(32 1147.2079),(33 1147.8856),(34 1152.4932),(35 1147.0287),(36 1136.1451),(37 1141.765),(38 1142.1694),(39 1136.4111),(40 1126.4263),(41 1128.3181),(42 1127.3726),(43 1119.8295),(44 1126.3248),(45 1128.314),(46 1141.2891),(47 1140.0795),(48 1136.8237),(49 1135.3707),(50 1141.7399),(51 1139.5776),(52 1135.8214),(53 1147.7711),(54 1141.8699),(55 1144.8192),(56 1162.9388),(57 1173.7855),(58 1185.858),(59 1191.8016),(60 1187.6459),(61 1187.1925),(62 1180.8219),(63 1175.6442),(64 1191.3702),(65 1185.2051),(66 1188.8484),(67 1187.4078),(68 1188.7148),(69 1200.4375),(70 1189.3433),(71 1195.6395),(72 1192.8306),(73 1187.3605),(74 1189.0402),(75 1186.5314),(76 1176.1115),(77 1172.9216),(78 1175.4886),(79 1175.2646),
(1 640.2628),(2 764.7359),(3 801.53046),(4 832.59),(5 882.6599),(6 893.88306),(7 914.12854),(8 926.3125),(9 932.53015),(10 947.6628),(11 955.8775),(12 970.5558),(13 991.1536),(14 1010.3115),(15 1031.5372),(16 1046.0763),(17 1074.7292),(18 1073.4529),(19 1081.2137),(20 1090.4583),(21 1107.2183),(22 1116.034),(23 1121.1422),(24 1119.0754),(25 1120.8585),(26 1121.1595),(27 1128.1205),(28 1122.2505),(29 1124.6459),(30 1133.7927),(31 1129.3948),(32 1117.8016),(33 1119.1832),(34 1112.4711),(35 1118.6135),(36 1110.4034),(37 1108.3759),(38 1101.6107),(39 1094.7443),(40 1102.2974),(41 1095.8251),(42 1098.4551),(43 1107.2152),(44 1102.1289),(45 1106.6147),(46 1107.1293),(47 1117.3433),(48 1134.2358),(49 1130.5942),(50 1125.3065),(51 1134.5858),(52 1133.5308),(53 1141.5277),(54 1152.2552),(55 1146.1626),(56 1171.1504),(57 1175.7286),(58 1179.5178),(59 1181.8381),(60 1186.5088),(61 1187.2162),(62 1187.0889),(63 1189.4893),(64 1186.5891),(65 1177.3816),(66 1177.366),(67 1188.5734),(68 1191.2662),(69 1184.723),(70 1173.9692),(71 1175.378),(72 1174.4235),(73 1170.0443),(74 1163.3815),(75 1162.5447),(76 1157.4109),(77 1153.3322),(78 1139.8186),(79 1132.2623),
(1 620.75854),(2 751.51556),(3 784.6604),(4 822.5241),(5 867.73157),(6 861.9076),(7 888.50037),(8 891.9543),(9 914.566),(10 925.0841),(11 945.3531),(12 950.939),(13 984.45184),(14 986.98627),(15 1007.28906),(16 1012.62634),(17 1030.2213),(18 1040.9844),(19 1045.1752),(20 1042.5892),(21 1065.6729),(22 1069.2043),(23 1078.9719),(24 1084.214),(25 1086.3314),(26 1083.8364),(27 1085.8282),(28 1082.1696),(29 1088.8105),(30 1097.6515),(31 1103.0277),(32 1103.3203),(33 1102.8608),(34 1104.8032),(35 1105.9152),(36 1091.2778),(37 1078.8201),(38 1073.481),(39 1071.3048),(40 1065.2344),(41 1058.3987),(42 1065.424),(43 1062.2991),(44 1067.9655),(45 1071.7775),(46 1063.5692),(47 1068.5819),(48 1084.8063),(49 1079.2235),(50 1076.6997),(51 1076.6936),(52 1083.9926),(53 1087.117),(54 1089.5709),(55 1088.0825),(56 1083.1904),(57 1091.5688),(58 1097.6945),(59 1094.4219),(60 1096.4736),(61 1103.7742),(62 1118.3452),(63 1117.09),(64 1123.5587),(65 1112.28),(66 1109.5078),(67 1114.7561),(68 1118.4558),(69 1120.1052),(70 1111.9731),(71 1108.5548),(72 1108.9993),(73 1116.9946),(74 1114.2137),(75 1107.901),(76 1105.5004),(77 1110.9381),(78 1100.7291),(79 1091.0565),
(1 613.4467),(2 743.3225),(3 779.4343),(4 820.8387),(5 850.698),(6 876.04395),(7 890.11816),(8 900.28973),(9 924.42596),(10 939.75256),(11 959.79016),(12 966.48444),(13 998.2138),(14 1017.25287),(15 1031.2334),(16 1040.6136),(17 1058.0934),(18 1058.2458),(19 1085.8207),(20 1100.6703),(21 1101.685),(22 1101.9332),(23 1120.9161),(24 1119.476),(25 1122.1569),(26 1117.4585),(27 1116.8446),(28 1114.765),(29 1118.9873),(30 1129.191),(31 1114.6611),(32 1113.8859),(33 1109.3247),(34 1104.9313),(35 1093.9829),(36 1088.9722),(37 1087.1957),(38 1071.1113),(39 1071.4146),(40 1065.7173),(41 1052.3915),(42 1057.3385),(43 1058.7906),(44 1056.7961),(45 1051.7866),(46 1052.439),(47 1056.2924),(48 1059.7308),(49 1062.9751),(50 1070.2988),(51 1058.7551),(52 1057.1125),(53 1057.5134),(54 1076.1545),(55 1084.6929),(56 1083.528),(57 1093.598),(58 1099.32),(59 1098.3424),(60 1100.4021),(61 1104.1958),(62 1123.448),(63 1120.3789),(64 1127.9229),(65 1115.7365),(66 1117.9509),(67 1130.9038),(68 1137.9706),(69 1139.5186),(70 1136.3574),(71 1140.8042),(72 1129.9426),(73 1126.5071),(74 1129.6993),(75 1110.6077),(76 1107.7095),(77 1114.003),(78 1108.6112),(79 1110.2133),
