1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 165184.77),(2 626806.06),(3 1375966.1),(4 2386077.5),(5 3673331.8),(6 5215374),(7 6977710.5),(8 8966595),(9 11242665),(10 13704277),(11 16370256),(12 19275502),(13 22378576),(14 25622490),(15 29042192),(16 32590890),(17 36319748),(18 40047410),(19 43903484),(20 47804052),(21 51917696),(22 56181548),(23 60651308),(24 65290668),(25 69885610),(26 74687790),(27 79524744),(28 84302696),(29 89078010),(30 93924824),(31 98738240),(32 103616584),(33 108654080),(34 113572380),(35 118440580),(36 123223200),(37 127943420),(38 132534424),(39 136718610),(40 140959500),(41 145071630),(42 148958420),(43 152610510),(44 156212750),(45 159647090),(46 162990220),(47 166106380),(48 169057650),(49 171816820),(50 174333040),(51 176660180),(52 178779630),(53 180696400),(54 182322560),(55 183700690),(56 184957140),(57 185780850),(58 186238340),(59 186174340),(60 185724590),(61 185238830),(62 184092340),(63 182373680),(64 180393400),(65 177850000),(66 175001620),(67 171772560),(68 167919340),(69 163722190),(70 159059360),(71 154075150),(72 148804910),(73 143205060),(74 137295660),(75 131169400),(76 124820120),(77 118363240),(78 111872856),(79 105291976),
(1 31527.658),(2 45717.6),(3 46118.438),(4 52639.223),(5 51891.137),(6 61376.363),(7 63090.934),(8 63572.42),(9 70442.516),(10 74522.02),(11 77302.89),(12 80869.96),(13 83377.44),(14 90560.13),(15 92416.04),(16 94072.9),(17 99892.53),(18 102167.47),(19 106993.58),(20 107036.9),(21 109823.08),(22 112772.92),(23 112932.945),(24 111903),(25 112739.875),(26 114687.73),(27 111195.43),(28 111631.59),(29 114327.77),(30 117730.47),(31 120398.48),(32 116778.125),(33 117821.625),(34 118788.71),(35 119506.14),(36 116833.66),(37 115729.125),(38 116192.52),(39 117183.71),(40 117981.31),(41 115152.69),(42 118293.49),(43 119609.04),(44 117039.19),(45 117384.3),(46 117660.875),(47 120353.64),(48 120089.73),(49 121407.47),(50 122565.39),(51 125136.3),(52 124686.73),(53 124557.63),(54 126598),(55 127091.27),(56 126881.01),(57 125668.734),(58 127380.47),(59 126793.71),(60 124826.945),(61 122482.71),(62 121391.97),(63 124588.89),(64 122661.305),(65 120594.17),(66 119160.43),(67 118457.76),(68 119478.08),(69 118557.57),(70 117438.76),(71 120223.836),(72 122040.125),(73 121165.875),(74 118515.234),(75 117536.07),(76 119885.56),(77 117091.84),(78 112753.51),(79 112238.9),
(1 29979.635),(2 42983.07),(3 45547.41),(4 51426.72),(5 50612.26),(6 56262.73),(7 58847.81),(8 63501.125),(9 65320.203),(10 68845.69),(11 69146.05),(12 73982.76),(13 76519.164),(14 79116.98),(15 82520.22),(16 82428.95),(17 88473.1),(18 92688.49),(19 97042.336),(20 98415.96),(21 101945.99),(22 104910.04),(23 105383.94),(24 106728.48),(25 107424.68),(26 107417.37),(27 103897.28),(28 106743.07),(29 109944.28),(30 110137.766),(31 112560.92),(32 113738.34),(33 116684.41),(34 116507.555),(35 118569.07),(36 118598.46),(37 118789.28),(38 120444.25),(39 123221.94),(40 123819.52),(41 121883.93),(42 123001.586),(43 121195.17),(44 120237.2),(45 119619.07),(46 119393.94),(47 120203.46),(48 119776.96),(49 123010.875),(50 121344.52),(51 120875.98),(52 120168.79),(53 121381.28),(54 122344.1),(55 119934.99),(56 119710.79),(57 117822.49),(58 117051.82),(59 113364.61),(60 110214.66),(61 110298.08),(62 109266.516),(63 107910.32),(64 105769.836),(65 103604.11),(66 101663.66),(67 100865.21),(68 99965.46),(69 101074.76),(70 101688.78),(71 102877.68),(72 105973.25),(73 106360.22),(74 106038.28),(75 106217.1),(76 106243.2),(77 103917.484),(78 104537.01),(79 102806.83),
(1 30268.49),(2 43824.727),(3 45597.574),(4 49827.855),(5 50322.93),(6 56848.125),(7 57335.227),(8 62491.516),(9 66215.445),(10 69859.33),(11 69149.24),(12 75153.26),(13 81712.39),(14 81916.125),(15 82460.52),(16 83431.336),(17 89804.336),(18 94346.32),(19 95732.75),(20 96565.07),(21 101517.42),(22 103468.56),(23 105303.336),(24 106071.56),(25 107361.74),(26 109016.21),(27 108096.93),(28 110571.64),(29 114432.18),(30 114686.77),(31 114931.586),(32 117943.63),(33 121783.25),(34 122116.44),(35 119985.33),(36 119955.51),(37 122993.59),(38 123256.56),(39 124354.27),(40 125675.17),(41 125229.695),(42 127235.01),(43 125041.17),(44 125494.94),(45 127510.89),(46 128626.56),(47 127134.29),(48 127396.9),(49 130706),(50 129186.734),(51 128307.555),(52 126862.4),(53 129607.21),(54 129126.234),(55 124952.75),(56 124211.3),(57 124843.27),(58 123884.414),(59 117373.07),(60 114881.484),(61 116372.11),(62 115761.05),(63 112140.64),(64 109959.42),(65 109047.195),(66 107621.68),(67 103402.92),(68 101307.58),(69 102195.125),(70 101655.195),(71 98957.195),(72 99334.58),(73 100838.01),(74 99866.4),(75 98025.85),(76 98496.38),(77 96905.86),(78 95443.01),(79 93182.32),
(1 27585.035),(2 39338.93),(3 45456.64),(4 49374.72),(5 48493.79),(6 54460.703),(7 54304.957),(8 58467.105),(9 59409.574),(10 64305.297),(11 64702.23),(12 68843.26),(13 72016.26),(14 73660.83),(15 74747.914),(16 76720.31),(17 80985.45),(18 84760.14),(19 85954.164),(20 87071.484),(21 91835.24),(22 95132.81),(23 96050.82),(24 96866.68),(25 99493.195),(26 101101.83),(27 101201.234),(28 102189.414),(29 104358.01),(30 104445.99),(31 105595.27),(32 108049.44),(33 109235.81),(34 109166.73),(35 110597.99),(36 109453.336),(37 108243.53),(38 108666.164),(39 110022.28),(40 112037.055),(41 112798.484),(42 114536.06),(43 113266.77),(44 114478.63),(45 115650.79),(46 116249.086),(47 115627.484),(48 115828.27),(49 120028.94),(50 119826.21),(51 120058.04),(52 118858.85),(53 120367.83),(54 119703.016),(55 119947.64),(56 120822.65),(57 118490.87),(58 117454.21),(59 115999.914),(60 115019.82),(61 113186.76),(62 113716.164),(63 112341.13),(64 110136.78),(65 108452.85),(66 106762.51),(67 105780.87),(68 104826.06),(69 103086.04),(70 103071.875),(71 102884.05),(72 102647.125),(73 101366.67),(74 100670.6),(75 100440.164),(76 99791.63),(77 97802.61),(78 96107.695),(79 95237.734),
(1 26722.172),(2 37922.05),(3 43456.18),(4 48145.36),(5 48885.91),(6 52583.418),(7 51831.254),(8 55895.344),(9 59415.36),(10 61954.574),(11 62654.297),(12 66731.56),(13 68476.38),(14 72208.94),(15 73814.97),(16 77726.07),(17 80629.516),(18 83733.06),(19 87099.11),(20 88100.07),(21 91880.63),(22 95688.11),(23 97706.07),(24 97031.43),(25 98443.42),(26 98630.22),(27 99511.266),(28 102018.2),(29 104128.375),(30 103824.484),(31 106234.69),(32 109142.41),(33 109641.18),(34 109880.67),(35 112558.586),(36 112546.625),(37 113533.49),(38 113352.43),(39 114455.484),(40 116157.46),(41 114927.53),(42 117107.75),(43 115125.336),(44 115214.2),(45 114666.9),(46 115048.2),(47 116020.74),(48 115433),(49 116425.9),(50 115677.86),(51 116334.375),(52 114483.84),(53 114527.05),(54 113765.43),(55 113703.67),(56 111706.45),(57 109212.31),(58 108124.15),(59 104819.125),(60 102115.41),(61 100107.97),(62 99151.18),(63 97291.125),(64 96590.27),(65 95159.03),(66 93482.96),(67 92860.32),(68 92488.38),(69 90909.77),(70 91560.53),(71 93448.45),(72 92731.96),(73 92011.91),(74 93359.55),(75 93989.695),(76 92785.78),(77 89170.46),(78 89974.69),(79 90173.85),
(1 25750.918),(2 36331.332),(3 43271.133),(4 46672.207),(5 47460.19),(6 52515.727),(7 52426.48),(8 55832.15),(9 58002.97),(10 61665.355),(11 63475.594),(12 68151.75),(13 68807.56),(14 71242.07),(15 73451.33),(16 77947.42),(17 79608.86),(18 83667.75),(19 88589.17),(20 89886.234),(21 91802.97),(22 94966.15),(23 97379.07),(24 94988.85),(25 98515.6),(26 100443.6),(27 100068.32),(28 101280.734),(29 103115.68),(30 102537.695),(31 106071.53),(32 108703.15),(33 109149.195),(34 109627.33),(35 111714.41),(36 113174.52),(37 110442.805),(38 114064.64),(39 115367.97),(40 115843.55),(41 115552.83),(42 118039.484),(43 118617.08),(44 119326.78),(45 122709.84),(46 124488.06),(47 124495.44),(48 124765.27),(49 126800.93),(50 125541.67),(51 125357.27),(52 125212.86),(53 124929.92),(54 123580.97),(55 123285.734),(56 122786.16),(57 121519.25),(58 120105.625),(59 118776.79),(60 115924.7),(61 112923.83),(62 113276.56),(63 114004.6),(64 112605.75),(65 111558.96),(66 111262.7),(67 109507.75),(68 109357.36),(69 107549.77),(70 106065.18),(71 106405.51),(72 105535.73),(73 103674.445),(74 103747.68),(75 104459.555),(76 103578.08),(77 100564),(78 101053.04),(79 102484.04),
(1 26101.646),(2 36836.117),(3 42653.81),(4 45832.547),(5 46884.547),(6 52611.285),(7 53553.22),(8 56391.22),(9 58447.035),(10 62945.043),(11 66641.766),(12 70339.64),(13 73581.875),(14 74161.195),(15 76681.26),(16 81343.04),(17 84024.82),(18 87995.64),(19 92385.55),(20 94657.2),(21 97005.36),(22 101942.3),(23 103430.586),(24 103500.82),(25 103924.14),(26 108018.9),(27 109311.05),(28 111623.125),(29 113584.72),(30 113372.67),(31 115572.984),(32 117819.77),(33 118285.164),(34 118059.77),(35 119209.28),(36 119861.26),(37 118677.46),(38 119783.64),(39 120672.67),(40 119762.016),(41 119243.11),(42 120856.01),(43 120495.125),(44 119062.09),(45 119043.04),(46 120974.516),(47 120023.055),(48 118718.84),(49 120641.45),(50 120855.37),(51 120567.7),(52 119609.04),(53 120254.7),(54 119612.09),(55 118382.88),(56 117201.73),(57 116434.336),(58 116158.33),(59 113657.65),(60 111571.266),(61 110396.45),(62 109450.88),(63 107761.17),(64 107208.69),(65 107645.1),(66 106711.586),(67 106268.77),(68 105284.26),(69 104558.69),(70 102608.625),(71 102416.94),(72 103354.04),(73 100698.24),(74 100175.53),(75 100284.414),(76 99449.914),(77 96637.45),(78 95930.05),(79 95590.27),
(1 25606.639),(2 34808.918),(3 42151.215),(4 45910.566),(5 47813.074),(6 51608.227),(7 50687.563),(8 54052.688),(9 54856.254),(10 57816.04),(11 61393.035),(12 64829.664),(13 65390.465),(14 65293.098),(15 67789.99),(16 71579.43),(17 72287.84),(18 73683.016),(19 78541.13),(20 80357.76),(21 80998.86),(22 84379.35),(23 86587.59),(24 87224.21),(25 87658.9),(26 90712.7),(27 89343.72),(28 90059.38),(29 92444.01),(30 92728.55),(31 93901.12),(32 96370.72),(33 98053.79),(34 97867.24),(35 100071.02),(36 97828.484),(37 99764.805),(38 100541.7),(39 100900.01),(40 101269.2),(41 100578.85),(42 102378.4),(43 101864.88),(44 101123.836),(45 102066.79),(46 105396.22),(47 107093.69),(48 107672.87),(49 110429.984),(50 109636.19),(51 109638.24),(52 109041.77),(53 110525.76),(54 109091.34),(55 108470.914),(56 107363),(57 105711.78),(58 103044.2),(59 102091.2),(60 101063.5),(61 98880.38),(62 98833.23),(63 98463.734),(64 99099.33),(65 99366.625),(66 98967.13),(67 98226.3),(68 98393.65),(69 97031.23),(70 96707.08),(71 97083.445),(72 97477.55),(73 97692.05),(74 98102.305),(75 98689.35),(76 97782.83),(77 95822.14),(78 95781.16),(79 95186.65),
(1 25912.527),(2 36028.438),(3 40177.715),(4 43434.03),(5 49597.31),(6 51227.05),(7 49098.914),(8 55296.953),(9 57155.664),(10 57517.863),(11 61003.625),(12 66756.195),(13 65402.973),(14 64297.473),(15 68883.41),(16 73383.23),(17 72541.3),(18 74020.05),(19 81641.13),(20 82786.73),(21 82094.375),(22 85350.65),(23 90126.14),(24 86673.75),(25 89115.49),(26 94129.445),(27 93254.63),(28 93493.26),(29 95514.84),(30 97074.23),(31 97585.555),(32 98764.26),(33 100634.3),(34 100415.53),(35 99891.445),(36 99532.016),(37 102157),(38 102112.94),(39 101746.74),(40 104074.67),(41 105449.914),(42 106691.37),(43 106334.195),(44 107305.25),(45 109260.99),(46 110372.53),(47 110934.13),(48 113395.25),(49 113145.75),(50 112370.016),(51 114981.43),(52 113372.83),(53 111793.76),(54 110913.94),(55 111981.1),(56 109268.2),(57 106736.99),(58 106576.91),(59 106180.54),(60 102282.75),(61 100343.14),(62 99994.1),(63 99837.27),(64 97222.62),(65 96924.73),(66 97417.67),(67 95428.6),(68 94211.18),(69 95381.586),(70 96453.19),(71 93995.9),(72 94256.62),(73 96197.945),(74 96369.63),(75 94914.72),(76 94329.875),(77 94450.05),(78 91778.63),(79 91690.92),
(1 23802.805),(2 33236.563),(3 37864.04),(4 40549.07),(5 47132.24),(6 47797.8),(7 50371.54),(8 54044.47),(9 55727.99),(10 56054.844),(11 59674.664),(12 62655.074),(13 62420.625),(14 62169.99),(15 65557.72),(16 70327.445),(17 71044.75),(18 71453.984),(19 76478.92),(20 77567.84),(21 76461.64),(22 79081.84),(23 81870.516),(24 80079.734),(25 81064.22),(26 86618.664),(27 85888.81),(28 86449.78),(29 87773.195),(30 91848.49),(31 90154.945),(32 92072.81),(33 94124.65),(34 94943.72),(35 93126.04),(36 93480.71),(37 94258.56),(38 93476.195),(39 93987.016),(40 96101.08),(41 96413.61),(42 95825.74),(43 95720.484),(44 95821.45),(45 97037.45),(46 98365.28),(47 99689.39),(48 101890.055),(49 101674.805),(50 101334.46),(51 103513.96),(52 101674.05),(53 99206.28),(54 99961.945),(55 99292.08),(56 96978.24),(57 95104.68),(58 95189.34),(59 93842.22),(60 91005.4),(61 92373.67),(62 94352.734),(63 93815.51),(64 92866.29),(65 94541.58),(66 95132.41),(67 94753.91),(68 93501.695),(69 94458.45),(70 95291.82),(71 94230.92),(72 95869.77),(73 97751.12),(74 97120.01),(75 95352.96),(76 96344.11),(77 95907.67),(78 91783.62),(79 91801.79),
(1 22875.697),(2 31690.045),(3 37853.266),(4 39040.582),(5 47294.09),(6 48294.55),(7 50899.55),(8 53279.418),(9 55515.98),(10 54507.65),(11 59885.13),(12 61590.176),(13 59548.676),(14 58461.055),(15 62901.742),(16 66242.36),(17 67017.3),(18 68611.09),(19 72832.4),(20 74518.36),(21 75832.97),(22 76761.76),(23 78849.555),(24 77645.02),(25 81774.8),(26 83517.5),(27 81623.34),(28 82690.43),(29 86848.195),(30 86909.47),(31 87021.26),(32 91020.71),(33 94055.05),(34 93406.74),(35 94285.836),(36 95571.39),(37 96189.09),(38 97291.69),(39 100021.93),(40 100943.414),(41 100844.766),(42 102500.5),(43 103256.51),(44 102109.4),(45 104296.695),(46 107997.43),(47 108980.3),(48 108652.76),(49 108049.16),(50 109075.586),(51 108038.07),(52 105601.84),(53 105451.47),(54 105980.016),(55 103329.45),(56 101186.12),(57 101376.266),(58 100654.46),(59 97675.09),(60 97271.47),(61 96525.055),(62 97442.56),(63 97562.22),(64 99706.59),(65 99122.26),(66 98770.19),(67 99644.06),(68 100566.97),(69 99455.35),(70 99436.914),(71 100662.93),(72 101824.8),(73 101166.71),(74 101103.445),(75 102228.65),(76 101704.11),(77 100692.22),(78 99108.836),(79 99137.72),
(1 24650.467),(2 33384.523),(3 37179.504),(4 39060.285),(5 47441.625),(6 46870.395),(7 50165.96),(8 53103.168),(9 54530.79),(10 53141.773),(11 59033.293),(12 59989.586),(13 56765.285),(14 56133.78),(15 62330.99),(16 61767.156),(17 62740.49),(18 65337.016),(19 69148.28),(20 68145.95),(21 70286.91),(22 71354.77),(23 71999.195),(24 70006.67),(25 73443.65),(26 72722.14),(27 71810.055),(28 73892.6),(29 76791.56),(30 73452.09),(31 75338.53),(32 78423.65),(33 78975.74),(34 76701.89),(35 78952.234),(36 79307.05),(37 78169.03),(38 78365.65),(39 80903.51),(40 79704.99),(41 80080.125),(42 81587.95),(43 81820.305),(44 79735.305),(45 81968.82),(46 84713.22),(47 86955.08),(48 86415.54),(49 88499.664),(50 88737.83),(51 88554.53),(52 88093.875),(53 91465.06),(54 89037.47),(55 85179.4),(56 84893.57),(57 87065.76),(58 84101.13),(59 83213.27),(60 84212.93),(61 83535.69),(62 82493.875),(63 84921.51),(64 85783.19),(65 83732.984),(66 83861.51),(67 87298.78),(68 86581.96),(69 85890.97),(70 88419.65),(71 90236.93),(72 89849.59),(73 89955.55),(74 91520.55),(75 90629.63),(76 89741.95),(77 90148.414),(78 89673.086),(79 87486.11),
(1 22691.867),(2 30055.65),(3 37136.05),(4 38476.313),(5 46710.902),(6 47802.387),(7 52362.504),(8 54229.93),(9 54693.13),(10 55645.81),(11 58303.723),(12 60390.285),(13 57361.766),(14 58971.344),(15 62120.395),(16 64793.7),(17 65371.81),(18 69205.4),(19 72625.71),(20 74493.07),(21 74156.01),(22 76159.53),(23 78228.77),(24 75501.11),(25 76468.84),(26 78657.58),(27 76637.016),(28 77742.805),(29 79583.47),(30 78060.984),(31 77990.35),(32 81184.75),(33 80713.55),(34 78963.17),(35 79263.914),(36 80768.63),(37 81734.27),(38 81402.66),(39 83219.77),(40 84975.016),(41 84001.56),(42 85449.21),(43 85055.85),(44 83985.03),(45 85685.38),(46 90282.984),(47 90533.55),(48 89378.14),(49 91548.445),(50 92000.914),(51 90892.664),(52 90230.37),(53 91884.05),(54 90052.2),(55 87434.74),(56 86497.35),(57 85909.45),(58 82551),(59 80559.52),(60 80295.75),(61 78618.445),(62 75395.68),(63 75908.96),(64 76014.805),(65 74218.57),(66 73410.74),(67 74578.88),(68 73876.51),(69 72984.875),(70 74894.51),(71 76531.445),(72 76646.51),(73 77882.94),(74 78339.8),(75 78807.31),(76 78291.125),(77 78992.77),(78 79505.51),(79 78141.64),
(1 24256.797),(2 32080.51),(3 38229.176),(4 39476.227),(5 48132.242),(6 48275.254),(7 52880.02),(8 54778.36),(9 55144.176),(10 56918.527),(11 61738.21),(12 62479.97),(13 58925.242),(14 62688.2),(15 65448.363),(16 66506.914),(17 67336.83),(18 70540.484),(19 73372.56),(20 76394.26),(21 76502.06),(22 77331.734),(23 78163.56),(24 79400.016),(25 78972.695),(26 76522.4),(27 74925.33),(28 75885.49),(29 74906.414),(30 73301.16),(31 74215.62),(32 75571.92),(33 77635.734),(34 75910.09),(35 75219.7),(36 76365.94),(37 79504.45),(38 77462.81),(39 78431.39),(40 78982.01),(41 77948.586),(42 78733.56),(43 77454.83),(44 75443.87),(45 77916.62),(46 80653.25),(47 81420.33),(48 82438.016),(49 83681.16),(50 84050.06),(51 85132.08),(52 86160.77),(53 85816.89),(54 86925.52),(55 86176.4),(56 84845.54),(57 84382.29),(58 82893.41),(59 81146.9),(60 79130.13),(61 77963.84),(62 77199.34),(63 76668.99),(64 76264.49),(65 74712.63),(66 73906.164),(67 73465.62),(68 73942.37),(69 73675.875),(70 75414.74),(71 77402.99),(72 78710.81),(73 79371.414),(74 78736.37),(75 79321.57),(76 79139.77),(77 78849.33),(78 78892.09),(79 77534.91),
(1 24355.895),(2 32143.426),(3 38456.1),(4 39540.83),(5 46400.18),(6 47462.535),(7 52156.316),(8 52077.496),(9 53563.938),(10 56952.355),(11 60950.734),(12 60817.074),(13 57577.07),(14 60820.367),(15 63676.676),(16 65421.34),(17 63764.215),(18 67127.09),(19 70821.14),(20 73142.41),(21 71661.41),(22 72685.1),(23 75639.93),(24 76717.32),(25 75281.51),(26 74818.625),(27 74006.64),(28 74513.58),(29 72378.48),(30 70087.414),(31 71195.086),(32 73654.61),(33 73587.92),(34 73032.266),(35 73574.95),(36 75124.78),(37 77860.47),(38 77548.76),(39 79597.836),(40 81427.89),(41 80927.61),(42 81953.75),(43 83019.67),(44 81450.54),(45 81967.234),(46 84320.89),(47 85511.53),(48 86040.22),(49 87132.336),(50 87193.37),(51 87983),(52 87369.984),(53 87030.43),(54 86562.5),(55 85571.64),(56 83390.45),(57 82442.25),(58 79728.92),(59 78507.42),(60 75408.34),(61 74256.62),(62 74467.41),(63 75059.336),(64 75493.49),(65 74923.91),(66 74811.72),(67 75171.555),(68 75763.13),(69 76758.516),(70 77970.02),(71 79594.555),(72 81266.836),(73 82143.46),(74 81202.664),(75 82325.04),(76 83236.22),(77 82520.65),(78 82560.73),(79 82180),
(1 23450.348),(2 30453.38),(3 36604.055),(4 37109.094),(5 44404.47),(6 45793.92),(7 49313.188),(8 49215.746),(9 52028.363),(10 55104.902),(11 58901.73),(12 58168.727),(13 55937.883),(14 57636.496),(15 59670.125),(16 60814.625),(17 61462.35),(18 64049.426),(19 68320.78),(20 69615.24),(21 69030.97),(22 70032.65),(23 71458.91),(24 70955.04),(25 71319),(26 72319.24),(27 68996.68),(28 68350.55),(29 67660.484),(30 66262.72),(31 66210.06),(32 68235.95),(33 69214.67),(34 68368),(35 67137.32),(36 69387.68),(37 71087.97),(38 70207.85),(39 72554.22),(40 72649.46),(41 71307.32),(42 73121.39),(43 72262.45),(44 69701.54),(45 72235.74),(46 75621.734),(47 76719.445),(48 76520.71),(49 78890.13),(50 79875.4),(51 80497.445),(52 80194.28),(53 81073.35),(54 81858.81),(55 80426.66),(56 79332.586),(57 78962.06),(58 75478.73),(59 73542.02),(60 71332.77),(61 69559.29),(62 69807.375),(63 71079.016),(64 71943.914),(65 71019.68),(66 72862.67),(67 74252.75),(68 73900.766),(69 74255.28),(70 76196),(71 77228.87),(72 78965.12),(73 79801.72),(74 79019.81),(75 79289.11),(76 80762.68),(77 81892.81),(78 81197.586),(79 80495.86),
(1 23482.188),(2 28355.197),(3 34577.76),(4 36299.242),(5 42593.45),(6 43181.438),(7 47795.902),(8 48721.797),(9 51543.457),(10 52248.605),(11 56548.516),(12 55616.992),(13 53845.953),(14 54960.223),(15 56827.008),(16 58179.434),(17 58682.26),(18 59581.496),(19 63725.14),(20 64425.777),(21 64258.62),(22 65248.402),(23 66365.84),(24 64919.48),(25 64935.668),(26 65275.613),(27 63064),(28 62329.207),(29 62114.223),(30 60281.35),(31 60952.727),(32 63012.92),(33 65196.434),(34 63967.34),(35 64088.86),(36 65397.387),(37 66367.4),(38 65321.03),(39 69366.33),(40 69231.04),(41 68765.54),(42 70404.77),(43 70905.94),(44 69997.836),(45 71012.664),(46 74018),(47 75878.63),(48 76475.97),(49 77937.914),(50 78588.15),(51 78500.664),(52 78351.48),(53 78475.26),(54 78961.17),(55 77466.42),(56 77021.25),(57 76900.58),(58 72930.38),(59 71271.945),(60 70941.24),(61 69138.266),(62 69821.71),(63 72542.516),(64 75380.77),(65 73797.984),(66 76528.93),(67 77627.6),(68 78657.625),(69 80470.04),(70 82928.85),(71 83799.21),(72 84577.375),(73 86698.31),(74 86576.65),(75 86734.99),(76 87816.945),(77 88285.18),(78 86470.07),(79 85408.164),
(1 21981.084),(2 27877.596),(3 33405.074),(4 35149.33),(5 42226.19),(6 42364.484),(7 46299.723),(8 48425.94),(9 50877.152),(10 51156.21),(11 56487.266),(12 55667.49),(13 52594.363),(14 55047.758),(15 57737.598),(16 57132.496),(17 58340.266),(18 59405.387),(19 63262.957),(20 65454.875),(21 64837.516),(22 66358.484),(23 67575.07),(24 62716.793),(25 61797.57),(26 62190.18),(27 60787.2),(28 58800.81),(29 57931.06),(30 56603.918),(31 56628.793),(32 58092.316),(33 59687.266),(34 59245.41),(35 59484.543),(36 62328.047),(37 65039.133),(38 61356.727),(39 65587.305),(40 66737.805),(41 62797.69),(42 63647.3),(43 65588.22),(44 62442.363),(45 63333.69),(46 66596.87),(47 68348.2),(48 68199.44),(49 71366.05),(50 72600.78),(51 72733.99),(52 73743.1),(53 74261.63),(54 73037.64),(55 69938.01),(56 70762.516),(57 68738.1),(58 64981.977),(59 63958.883),(60 63465.3),(61 60296.867),(62 61655.1),(63 63821.18),(64 65099.527),(65 65676.65),(66 66759.46),(67 66886.99),(68 69238.16),(69 71461.914),(70 72499.414),(71 75185.53),(72 77236.15),(73 78270.66),(74 77800.805),(75 78811.016),(76 78851.61),(77 79272.016),(78 79451.78),(79 78834.79),
