1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 130197.54),(2 431060.28),(3 892246.7),(4 1449971.5),(5 2077746.1),(6 2745613),(7 3403841),(8 4064296.3),(9 4710793.5),(10 5407218),(11 6240038.5),(12 7292872),(13 8550576),(14 9837445),(15 11175964),(16 12626247),(17 14108008),(18 15627792),(19 17037046),(20 18373600),(21 19517446),(22 20506654),(23 21437910),(24 22229650),(25 22984384),(26 23591350),(27 24162650),(28 24642914),(29 25207658),(30 25848950),(31 26584374),(32 27323494),(33 27918542),(34 28570960),(35 29157680),(36 29691360),(37 30179850),(38 30465954),(39 30489154),(40 30404482),(41 30230454),(42 30144362),(43 30230730),(44 30457750),(45 30821712),(46 31206106),(47 31617750),(48 32087824),(49 32726942),(50 33394438),(51 34077220),(52 34605420),(53 35059420),(54 35351932),(55 35622900),(56 35786030),(57 35754356),(58 35758428),(59 35825556),(60 36034076),(61 36461950),(62 36873710),(63 37188964),(64 37655724),(65 38332268),(66 39358132),(67 40569610),(68 42201184),(69 43848548),(70 45660260),(71 47650668),(72 49795376),(73 51664884),(74 53568404),(75 55470176),(76 57299620),(77 58866660),(78 60471616),(79 62076460),
(1 16947.527),(2 21502.734),(3 20542.541),(4 20558.512),(5 20894.527),(6 21045.611),(7 20701.496),(8 21172.465),(9 21010.97),(10 21251.09),(11 20993.514),(12 20956.596),(13 21560.52),(14 21410.822),(15 21220.453),(16 21140.744),(17 21560.85),(18 21439.984),(19 21324.307),(20 21179.213),(21 21103.525),(22 21262.111),(23 21405.262),(24 21037.537),(25 21187.076),(26 21692.764),(27 22144.39),(28 21771.883),(29 21668.613),(30 22366.37),(31 22877.9),(32 22798.209),(33 22975.117),(34 23388.002),(35 23280.668),(36 22840.654),(37 23267.53),(38 23406.885),(39 23252.436),(40 23628.334),(41 23762.014),(42 23862.7),(43 24623.77),(44 24519.395),(45 24510.473),(46 24372.238),(47 24687.297),(48 24942.123),(49 25098.764),(50 25166.68),(51 24539.83),(52 24951.21),(53 25085.162),(54 25163.988),(55 24455.082),(56 24976.656),(57 24976.166),(58 24500.898),(59 24687.217),(60 25234.078),(61 24770.695),(62 24614.096),(63 25114.39),(64 25387.121),(65 25443.094),(66 25612.438),(67 25439.729),(68 25811.842),(69 25865.523),(70 26169.898),(71 26222.252),(72 26138.613),(73 26179.984),(74 26222.42),(75 26696.78),(76 26496.953),(77 26713.238),(78 26996.338),(79 26643.44),
(1 16193.65),(2 20182.643),(3 19226.223),(4 19482.232),(5 19879.63),(6 19939.016),(7 19717.53),(8 19591.707),(9 20163.172),(10 20107.588),(11 20393.902),(12 20055.102),(13 20557.78),(14 20336.418),(15 20294.914),(16 20612.107),(17 20685.506),(18 20252.828),(19 20589.852),(20 20487.465),(21 20218.602),(22 20451.814),(23 20494.066),(24 20302.26),(25 20582.53),(26 20958.72),(27 21158.207),(28 21025.281),(29 21458.787),(30 21540.213),(31 21771.156),(32 22070.58),(33 22536.432),(34 22567.336),(35 22993.582),(36 22832.355),(37 23034.076),(38 23164.482),(39 23378.342),(40 22961.28),(41 22963.617),(42 23533.854),(43 23530.633),(44 23422.03),(45 23632.303),(46 23675.04),(47 24248.885),(48 24162.81),(49 23821.102),(50 24200.06),(51 24194.074),(52 23984.23),(53 24022.332),(54 23859.955),(55 23549.646),(56 23602.652),(57 24023.814),(58 24296.639),(59 23924.232),(60 23951.955),(61 23792.756),(62 24041.95),(63 24432.479),(64 24460.69),(65 24677.24),(66 24455.07),(67 24478.256),(68 24815.482),(69 25173.307),(70 25026.053),(71 25290.781),(72 25102.17),(73 24818.686),(74 25292.146),(75 25016.145),(76 25260.602),(77 25217.158),(78 25158.834),(79 25661.824),
(1 15748.3955),(2 20114.906),(3 19230.55),(4 19143.943),(5 19934.469),(6 19740.762),(7 19984.787),(8 20055.814),(9 20215.313),(10 20326.457),(11 20355.074),(12 20584.182),(13 20925.348),(14 20528.438),(15 20075.48),(16 20635.793),(17 20444.254),(18 19964.29),(19 20144.684),(20 20029.232),(21 19841.621),(22 19900.334),(23 20131.807),(24 20137.412),(25 20567.824),(26 20663.19),(27 20574.688),(28 20390.154),(29 20754.447),(30 21446.904),(31 21939.111),(32 21714.236),(33 22073.514),(34 22365.271),(35 22291.729),(36 22308.912),(37 23056.514),(38 22975.266),(39 23379.08),(40 23560.896),(41 23775.787),(42 24029.842),(43 23873.889),(44 24021.51),(45 23959.66),(46 23910.885),(47 24336.453),(48 24362.41),(49 24358.996),(50 24143.32),(51 24234.686),(52 24280.617),(53 24378.871),(54 24647.123),(55 23983.178),(56 24264.438),(57 24698.191),(58 24547.395),(59 24551.35),(60 24725.393),(61 24407.646),(62 24406.236),(63 24591.877),(64 24660.984),(65 25046.47),(66 24866.521),(67 25072.592),(68 25133.934),(69 25180.61),(70 25688.846),(71 25526.8),(72 25258.258),(73 25080.414),(74 25653.941),(75 25691.809),(76 25706.953),(77 26187.191),(78 26153.117),(79 25863.457),
(1 15490.701),(2 19263.574),(3 18493.262),(4 18357.752),(5 19102.473),(6 19420.484),(7 18771.41),(8 19337.908),(9 19636.12),(10 19518.426),(11 19660.172),(12 19751.936),(13 20169.795),(14 19545.258),(15 19817.318),(16 19861.078),(17 19427.557),(18 19442.482),(19 19863.158),(20 19662.012),(21 18902.697),(22 19361.176),(23 19374.912),(24 19544.563),(25 19610.164),(26 19833.623),(27 20280.434),(28 20347.273),(29 20696.422),(30 21146.031),(31 21107.85),(32 21540.807),(33 21879.832),(34 21858.402),(35 21988.953),(36 22031.71),(37 22193.61),(38 22667.836),(39 22509.5),(40 22726.604),(41 23018.082),(42 23088.291),(43 23060.541),(44 23611.332),(45 23397.809),(46 23683.31),(47 23494.531),(48 23732.14),(49 23419.232),(50 23559.844),(51 23979.92),(52 23870.305),(53 23546.395),(54 23507.082),(55 23634.738),(56 23736.754),(57 24081.008),(58 23711.486),(59 24169.438),(60 24198.754),(61 24215.34),(62 24043.621),(63 24339.248),(64 24084.07),(65 24562.684),(66 24081.94),(67 24233.705),(68 24160.262),(69 24639.393),(70 24995.611),(71 24715.43),(72 24792.09),(73 24282.389),(74 24707.969),(75 24851.314),(76 24994.207),(77 25123.164),(78 24931.662),(79 25507.799),
(1 15511.364),(2 18818.178),(3 18648.06),(4 18805.613),(5 18686.39),(6 18328.44),(7 18284.094),(8 18537.494),(9 18940.695),(10 18963.924),(11 18932.191),(12 18833.33),(13 19170.898),(14 19026.07),(15 18805.684),(16 19302.725),(17 18993.094),(18 19412.256),(19 19049.531),(20 19128.787),(21 18970.111),(22 18971.584),(23 19161.281),(24 19124.678),(25 19345.744),(26 19585),(27 19855.943),(28 19819.576),(29 20524.166),(30 20833.719),(31 20998.828),(32 20657.346),(33 21322.54),(34 21175.973),(35 21620.545),(36 21528.861),(37 21635.41),(38 21933.281),(39 22266.49),(40 22143.719),(41 22424.564),(42 22516.584),(43 22284.889),(44 22779.338),(45 22664.379),(46 22753.424),(47 22930.973),(48 22892.115),(49 22873.533),(50 23179.963),(51 23325.146),(52 23274.037),(53 22887.18),(54 22936.963),(55 23056.234),(56 23286.64),(57 23082.72),(58 23316.713),(59 23738.934),(60 23908.977),(61 23804.434),(62 23960.965),(63 24103.838),(64 24136.53),(65 24176.605),(66 24469.738),(67 24704.219),(68 24768.387),(69 24887.385),(70 24930.791),(71 25114.027),(72 25208.201),(73 25423.852),(74 25098.238),(75 25718.31),(76 25746.691),(77 25603.63),(78 26053.732),(79 26204.91),
(1 14981.498),(2 18146.273),(3 18288.955),(4 18178.246),(5 18111.373),(6 18072.605),(7 17666.664),(8 18024.729),(9 18890.92),(10 18605.484),(11 18682.205),(12 18623.268),(13 19021.564),(14 19293.725),(15 19084.676),(16 19363.361),(17 19107.662),(18 18875.912),(19 18913.516),(20 18650.072),(21 18651.662),(22 18421.658),(23 18434.45),(24 18883.773),(25 19070.893),(26 18702.93),(27 18964.31),(28 18842.895),(29 19325.164),(30 19792.998),(31 19994.877),(32 20486.44),(33 20690.021),(34 20696.537),(35 20584.287),(36 20582.59),(37 20843.834),(38 21460.693),(39 21257.594),(40 21363.875),(41 21624.746),(42 21329.775),(43 21450.809),(44 21780.406),(45 22153.205),(46 22448.031),(47 22415.35),(48 22373.496),(49 22316.121),(50 22377.482),(51 22770.451),(52 22683.834),(53 22278.695),(54 22142.533),(55 22112.486),(56 22181.518),(57 21986.936),(58 22224.795),(59 22367.234),(60 22233.111),(61 22586.951),(62 22593.105),(63 22831.256),(64 23011.08),(65 22573.95),(66 22649.244),(67 23128.13),(68 23322.44),(69 23503.88),(70 23205.29),(71 22974.898),(72 23173.02),(73 23185.254),(74 23306.555),(75 22996.12),(76 22959.93),(77 23947.158),(78 23964.076),(79 23900.762),
(1 14856.944),(2 18452.79),(3 18091.932),(4 17975.691),(5 18163.51),(6 18070.088),(7 17430.875),(8 17803.516),(9 18587.822),(10 18587.283),(11 18425.385),(12 18516.818),(13 18583.143),(14 18669.729),(15 18702.9),(16 19018.463),(17 18853.887),(18 18605.395),(19 18340.627),(20 18289.92),(21 18115.133),(22 18575.326),(23 18776.242),(24 18713.48),(25 18715.855),(26 18409.81),(27 18895.748),(28 19200.36),(29 19485.309),(30 19706.328),(31 19846.09),(32 19997.873),(33 20207.361),(34 20327.191),(35 20490.172),(36 20426.326),(37 20805.82),(38 21209.594),(39 20810.404),(40 21464.396),(41 21323.416),(42 20845.951),(43 21288.771),(44 21779.148),(45 21955.516),(46 22217.219),(47 22138.258),(48 22478.43),(49 22013.193),(50 22319.973),(51 22664.557),(52 22281.697),(53 22280.787),(54 22387.889),(55 22414.254),(56 22319.8),(57 22321.008),(58 22300.309),(59 22227.984),(60 22455.371),(61 22409.627),(62 22526.725),(63 22679.865),(64 23134.223),(65 22520.238),(66 22876.072),(67 23237.186),(68 23183.48),(69 23559.475),(70 23223.535),(71 23396.215),(72 23515.58),(73 23669.662),(74 23211.3),(75 23473.934),(76 23700.379),(77 23691.234),(78 23754.932),(79 23977.38),
(1 14294.04),(2 17954.447),(3 18151.945),(4 17653.275),(5 17722.371),(6 17386.924),(7 17196.238),(8 17696.72),(9 18046.664),(10 18134.152),(11 18099.28),(12 17696.94),(13 18072.871),(14 18003.506),(15 17952.34),(16 18168.309),(17 18177.129),(18 17961.09),(19 18042.277),(20 17835.89),(21 17899.426),(22 17974.826),(23 18157.465),(24 18324.68),(25 18087.885),(26 18131.193),(27 18536.025),(28 19360.695),(29 19432.156),(30 19613.506),(31 20054.438),(32 20467.436),(33 20516.486),(34 20346.932),(35 20604.94),(36 20998.063),(37 21061.928),(38 21277.732),(39 21858.266),(40 21979.871),(41 21831.885),(42 21708.098),(43 22203.49),(44 22270.791),(45 22596.928),(46 22842.604),(47 22702.23),(48 22342.498),(49 23025.682),(50 22832.932),(51 22705.309),(52 22944.014),(53 22899.492),(54 22704.852),(55 22691.943),(56 22767.291),(57 22901.627),(58 23167.719),(59 23171.346),(60 23306.498),(61 23348.484),(62 23552.04),(63 23571.516),(64 23695.182),(65 23743.877),(66 23974.246),(67 23852.947),(68 24149.58),(69 24300.93),(70 24583.098),(71 24586.574),(72 24338.691),(73 24473.72),(74 24673.299),(75 24438.94),(76 25083.793),(77 25392.076),(78 24760.621),(79 24889.393),
(1 14502.117),(2 18214.463),(3 17712.342),(4 17704.045),(5 17721.291),(6 17300.701),(7 16927.672),(8 17288.416),(9 17654.129),(10 18003.736),(11 17793.11),(12 17227.037),(13 17546.701),(14 17739.742),(15 18167.111),(16 18120.4),(17 18037.512),(18 18078.295),(19 17903.232),(20 17942.586),(21 17938.23),(22 18419.537),(23 18062.428),(24 18210.623),(25 18029.596),(26 18095.488),(27 18369.303),(28 19203.53),(29 19225.416),(30 19317.234),(31 19828.1),(32 20048.008),(33 20024.998),(34 20321.145),(35 20278.424),(36 20695.389),(37 21028.291),(38 21125.77),(39 21255.615),(40 21783.6),(41 22001.133),(42 21859.725),(43 22039.828),(44 22231.588),(45 22239.574),(46 22638.943),(47 22776.02),(48 22439.553),(49 22886.45),(50 22810.348),(51 23028.023),(52 22966.305),(53 22839.676),(54 22778.086),(55 22803.324),(56 22807.111),(57 23018.664),(58 23016.271),(59 23280.105),(60 23273.586),(61 23437.01),(62 23280.623),(63 23457.705),(64 23567.242),(65 23586.584),(66 23866.924),(67 24383.906),(68 24531.082),(69 24624.385),(70 24614.102),(71 24987.246),(72 24824.21),(73 24953.8),(74 25199.188),(75 24990.04),(76 25296.752),(77 25553.242),(78 25016.775),(79 24962.557),
(1 13652.464),(2 17634.28),(3 16987.682),(4 16872.053),(5 16926.701),(6 16788.082),(7 16218.349),(8 17044.664),(9 17012.523),(10 17240.268),(11 17294.979),(12 17019.31),(13 17236.643),(14 17189.145),(15 17558.992),(16 17450.127),(17 17577.99),(18 17331.77),(19 17239.607),(20 17158.414),(21 17040.426),(22 17692.107),(23 17618.316),(24 17580.018),(25 17644.535),(26 17463.324),(27 18085.463),(28 18505.342),(29 18672.053),(30 18517.53),(31 18536.068),(32 19283.355),(33 18818.46),(34 18944.402),(35 19476.076),(36 19610.662),(37 19884.887),(38 20014.44),(39 20115.738),(40 19682.707),(41 20229.13),(42 20405.855),(43 20302.924),(44 20857.672),(45 20813.25),(46 20943.672),(47 21142.674),(48 21388.994),(49 21714.398),(50 21566.418),(51 21498.516),(52 21620.781),(53 21744.361),(54 21640.244),(55 21669.078),(56 21591.479),(57 21790.338),(58 21885.625),(59 22025.473),(60 22047.861),(61 22141.95),(62 22486.174),(63 22529.547),(64 22569.594),(65 22775.455),(66 22760.37),(67 23047.12),(68 22855.654),(69 23318.883),(70 23417.25),(71 23488.404),(72 23420.049),(73 23571.379),(74 23858.152),(75 23676.521),(76 23888.254),(77 23962.48),(78 24047.936),(79 24122.477),
(1 13412.362),(2 16983.473),(3 16896.082),(4 16646.973),(5 17129.512),(6 16644.502),(7 16215.323),(8 16805.26),(9 16876.943),(10 16912.104),(11 17315.348),(12 16766.041),(13 17121.047),(14 16965.89),(15 17509.033),(16 17335.016),(17 17130.502),(18 17354.393),(19 17208.443),(20 17124.713),(21 17255.146),(22 17102.678),(23 17163.318),(24 17426.438),(25 17224.588),(26 17076.854),(27 17932.285),(28 18276.514),(29 18165.736),(30 18180.92),(31 18364.129),(32 18752.713),(33 18739.525),(34 19133.217),(35 19476.943),(36 19606.908),(37 19685.803),(38 19774.43),(39 19808.006),(40 19664.908),(41 19890.365),(42 20117.004),(43 20522.984),(44 20534.379),(45 20529.346),(46 20631.42),(47 20917.28),(48 20777.75),(49 20960.316),(50 20532.035),(51 20931.629),(52 21021.785),(53 21139.697),(54 21133.826),(55 21030.484),(56 20963.152),(57 20768.924),(58 21224.014),(59 21217.8),(60 21412.783),(61 21396.95),(62 21504.174),(63 21898.691),(64 21732.414),(65 22024.629),(66 22299.814),(67 22436.148),(68 22448.443),(69 22610.348),(70 22822.955),(71 22716.457),(72 22830.832),(73 22636.266),(74 22639.281),(75 22711.959),(76 22847.832),(77 23329.031),(78 23207.129),(79 23080.484),
(1 13426.149),(2 16653.404),(3 16349.51),(4 16232.705),(5 16387.844),(6 16168.273),(7 16005.223),(8 16411.594),(9 16368.3955),(10 16695.813),(11 17168.74),(12 16522.867),(13 16477.34),(14 16814.773),(15 16799.477),(16 16716.717),(17 16753.68),(18 16854.957),(19 17016.09),(20 17126.045),(21 17034.55),(22 16656.457),(23 16677.088),(24 17016.018),(25 16929.668),(26 16842.379),(27 17571.828),(28 17908.729),(29 17781.64),(30 17897.67),(31 18521.08),(32 18462.709),(33 18361.219),(34 18927.54),(35 19317.004),(36 19148.78),(37 19392.979),(38 19529.803),(39 19528.834),(40 19262.51),(41 19370.566),(42 20000.246),(43 20154.184),(44 20233.697),(45 20027.967),(46 20300.871),(47 20512.715),(48 20513.33),(49 20664.24),(50 20381.086),(51 20500.984),(52 20729.775),(53 20662.963),(54 20370.691),(55 20594),(56 20725.371),(57 20551.566),(58 20832.299),(59 20996.424),(60 20997.865),(61 20918.832),(62 21291.8),(63 21453.723),(64 21518.893),(65 22104.447),(66 22068.598),(67 22182.934),(68 22568.104),(69 22346.08),(70 22481.018),(71 22671.258),(72 22778.143),(73 22597.102),(74 22758.592),(75 22932.904),(76 23101.207),(77 23352.648),(78 23232.469),(79 23456.395),
(1 12472.612),(2 16124.812),(3 16061.755),(4 15508.404),(5 15827.956),(6 15542.832),(7 15398.149),(8 15766.042),(9 15918.315),(10 15857.29),(11 16213.264),(12 15801.27),(13 15875.473),(14 16040.473),(15 16127.417),(16 16056.259),(17 16231.915),(18 16225.727),(19 16054.936),(20 16101.135),(21 16332.842),(22 16114.996),(23 16142.151),(24 16269.554),(25 16175.282),(26 16460.924),(27 16769.076),(28 17045.236),(29 16812.414),(30 16988.979),(31 17494.191),(32 17636.113),(33 17512.547),(34 17933.281),(35 18237.52),(36 18404.094),(37 18581.818),(38 18748.916),(39 18692.506),(40 18782.016),(41 19074.34),(42 19681.01),(43 19774.793),(44 19824.914),(45 19974.576),(46 20163.645),(47 20809.19),(48 20559.758),(49 20723.93),(50 20427.6),(51 20814.484),(52 21239.201),(53 21333.549),(54 20965.39),(55 20937.594),(56 21164.121),(57 20754.816),(58 20810.559),(59 20944.396),(60 20824.422),(61 21023.348),(62 21144.537),(63 21183.709),(64 21421.578),(65 21515.3),(66 21581.752),(67 21758.783),(68 21822.465),(69 21715.38),(70 21760.941),(71 22316.54),(72 22205.482),(73 21994.275),(74 22140.629),(75 22240.764),(76 22272.164),(77 22214.277),(78 22427.408),(79 22645.762),
(1 12711.002),(2 15988.92),(3 15750.179),(4 15385.199),(5 15566.281),(6 15276.379),(7 14909.516),(8 15520.039),(9 15521.388),(10 15474.685),(11 16130.909),(12 15496.768),(13 15471.399),(14 16305.581),(15 16116.5625),(16 15659.097),(17 15731.202),(18 16084.479),(19 15708.79),(20 15973.891),(21 15654.525),(22 15998.875),(23 16066.128),(24 16270.632),(25 15985.631),(26 16351.508),(27 16720.326),(28 16921.03),(29 17243.826),(30 17254.291),(31 17519.332),(32 17400.107),(33 17659.994),(34 17697.05),(35 17950.078),(36 17968.459),(37 18038.078),(38 18321.658),(39 18175.846),(40 18121.973),(41 18605.646),(42 19024.023),(43 18784.162),(44 18792.637),(45 18985.463),(46 19178.363),(47 19129.89),(48 19148.744),(49 19359.027),(50 19333.912),(51 19773.268),(52 19875.504),(53 19585.408),(54 19611.197),(55 19905.734),(56 19830.008),(57 19786.441),(58 20056.72),(59 20156.637),(60 20008.285),(61 20343.55),(62 20638.717),(63 20407.904),(64 20774.75),(65 20767.986),(66 21169.328),(67 21163.895),(68 21044.87),(69 21274.035),(70 21532.496),(71 21373.18),(72 21266.508),(73 21587.854),(74 21690.943),(75 21780.523),(76 21818.861),(77 21650.486),(78 21812.973),(79 21909.271),
(1 12204.107),(2 15385.655),(3 15222.41),(4 14995.109),(5 15078.517),(6 14942.875),(7 14765.682),(8 15157.6045),(9 15249.09),(10 15662.053),(11 15547.331),(12 15211.72),(13 15280.744),(14 15371.755),(15 15731.505),(16 15248.838),(17 15307.285),(18 15512.992),(19 15393.861),(20 15498.994),(21 15507.935),(22 15512.942),(23 15525.41),(24 15483.26),(25 15560.016),(26 15899.837),(27 15973.028),(28 16116.638),(29 16583.865),(30 16689.938),(31 16951),(32 16606.613),(33 17213.885),(34 17341.795),(35 17648.262),(36 17895.904),(37 17552.682),(38 17714.203),(39 18304.104),(40 18003.197),(41 18217.885),(42 18957.246),(43 18568.477),(44 18513.992),(45 18950.766),(46 18987.889),(47 19083.172),(48 19534.719),(49 19367.18),(50 19301.605),(51 19626.03),(52 19536.53),(53 19217.826),(54 19142.26),(55 19497.379),(56 19212.424),(57 19294.934),(58 19525.643),(59 19639.674),(60 19863.498),(61 19505.79),(62 19638.797),(63 19595.389),(64 19740.26),(65 19927.836),(66 19837.36),(67 20152.908),(68 20184.12),(69 20024.33),(70 20021.771),(71 20028.34),(72 20029.154),(73 20245.463),(74 20374.678),(75 20348.49),(76 20129.398),(77 20269.203),(78 20215.38),(79 20124.078),
(1 12349.539),(2 14889.753),(3 14963.827),(4 14745.69),(5 14709.875),(6 14459.33),(7 14221.1455),(8 14710.967),(9 14995.465),(10 15256.701),(11 15293.601),(12 15045.594),(13 15167.6045),(14 15592.832),(15 15409.323),(16 15025.788),(17 15270.738),(18 15441.636),(19 15368.707),(20 15563.498),(21 15110.852),(22 15159.792),(23 15252.85),(24 15129.777),(25 15297.011),(26 15513.364),(27 15734.666),(28 15998.279),(29 16404.842),(30 16473.055),(31 16563.209),(32 16731.668),(33 16755.947),(34 17152.787),(35 17064.936),(36 17060.313),(37 17413.13),(38 17388.436),(39 17383.406),(40 17487.605),(41 17766.516),(42 18011.436),(43 17894.314),(44 17841.416),(45 18215.771),(46 18331.273),(47 18249.01),(48 18419.857),(49 18534.135),(50 18538.625),(51 18428.371),(52 18564.709),(53 18627.861),(54 18450.156),(55 18684.775),(56 18709.945),(57 18433.38),(58 18728.926),(59 18799.4),(60 19016.996),(61 18966.252),(62 18736.262),(63 18883.072),(64 19050.863),(65 19236.873),(66 19436.441),(67 19258.682),(68 19382.408),(69 19730.61),(70 19814.53),(71 19689.746),(72 19656.51),(73 19749.908),(74 19610.557),(75 19443.158),(76 19755.992),(77 19947.03),(78 19879.56),(79 19953.98),
(1 12364.527),(2 15254.573),(3 14965.88),(4 14474.06),(5 14628.849),(6 14405.404),(7 14393.078),(8 14533.566),(9 14913.526),(10 15304.702),(11 15311.2295),(12 14998.771),(13 15223.015),(14 15188.459),(15 15567.318),(16 15225.31),(17 15213.471),(18 15362.1875),(19 15306.948),(20 15466.044),(21 15003.814),(22 15011.039),(23 15275.006),(24 15046.82),(25 15397.25),(26 15520.0625),(27 15779.926),(28 16203.481),(29 16547.8),(30 16648.729),(31 16803.586),(32 16772.715),(33 17020.063),(34 17277.518),(35 17296.727),(36 17569.111),(37 17953.504),(38 17942.078),(39 17760.928),(40 17823.03),(41 17966.521),(42 18374.535),(43 17906.5),(44 18154.313),(45 18303.744),(46 17974.295),(47 18263.395),(48 18506.297),(49 18798.379),(50 18398.1),(51 18395.148),(52 18378.805),(53 18424.598),(54 18546.31),(55 18314.295),(56 18241.768),(57 18468.314),(58 18561.807),(59 18424.648),(60 18442.295),(61 18437.666),(62 18660.807),(63 18742.453),(64 19056.197),(65 18864.873),(66 19320.623),(67 19453.959),(68 19376.092),(69 19131.38),(70 18909.48),(71 19178.447),(72 19346.457),(73 19343.666),(74 19385.75),(75 19508.922),(76 19815.021),(77 20056.803),(78 19900.678),(79 19991.836),
(1 11930.615),(2 14499.755),(3 14339.101),(4 13994.1045),(5 14034.192),(6 13963.23),(7 13884.861),(8 13925.182),(9 14016.763),(10 14764.1045),(11 14656.346),(12 14300.449),(13 14683.453),(14 14828.605),(15 14963.6),(16 14667.167),(17 14796.461),(18 14907.731),(19 14630.907),(20 14845.366),(21 14468.037),(22 14525.397),(23 14638.867),(24 14719.336),(25 14818.514),(26 15120.206),(27 15206.627),(28 15324.9795),(29 15678.013),(30 15940.625),(31 16130.144),(32 16067.0205),(33 16144.985),(34 16448.807),(35 16678.4),(36 16642.104),(37 16791.602),(38 16883.547),(39 16990.871),(40 16991.387),(41 17089.057),(42 17362.682),(43 17311.62),(44 17333.736),(45 17703.28),(46 17559.229),(47 17527.17),(48 17621.982),(49 17994.611),(50 17618.064),(51 17893.572),(52 17930.262),(53 18045.94),(54 17791.486),(55 17840.646),(56 17639.273),(57 17773.816),(58 17824.77),(59 17775.838),(60 17761.658),(61 18227.691),(62 18008.91),(63 17955.885),(64 18164.377),(65 18111.14),(66 18520.98),(67 18292.209),(68 18543.793),(69 18641.148),(70 18743.182),(71 18573.207),(72 18785.426),(73 18730.018),(74 18522.47),(75 18825.43),(76 19047.059),(77 18692.82),(78 18997.684),(79 18856.049),
