1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 23004.93),(2 36829.766),(3 93355.06),(4 133230.44),(5 171961.05),(6 218972.81),(7 266434.1),(8 315941.72),(9 366775.5),(10 424179.66),(11 469293.47),(12 520816.16),(13 576188.3),(14 622207.25),(15 673773.75),(16 741148.56),(17 808985.8),(18 881302.2),(19 949289.06),(20 1032034.25),(21 1103218.1),(22 1172733.1),(23 1253829.6),(24 1312424),(25 1363209.1),(26 1434173.1),(27 1481862.9),(28 1588777.1),(29 1663407.4),(30 1728451.9),(31 1785308.1),(32 1866834.1),(33 1944092.6),(34 2023204),(35 2122877.3),(36 2218656.8),(37 2318731),(38 2458906.3),(39 2584143.3),(40 2680403.8),(41 2848640.3),(42 2972335.3),(43 3159685.8),(44 3283017.8),(45 3460215),(46 3627309),(47 3769115),(48 3966738),(49 4126285.3),(50 4282641.5),(51 4461213.5),(52 4658921),(53 4840671.5),(54 5035169),(55 5230379.5),(56 5380075.5),(57 5570522.5),(58 5757282),(59 5907333.5),(60 6043743.5),(61 6176097.5),(62 6252646.5),(63 6368054.5),(64 6448493.5),(65 6513448),(66 6616039.5),(67 6709866.5),(68 6784739.5),(69 6907744),(70 6998410),(71 7081468.5),(72 7185570),(73 7285398),(74 7360461.5),(75 7463508),(76 7554603.5),(77 7637376),(78 7694682.5),(79 7791740),
(1 8011.8496),(2 20774.41),(3 31231.207),(4 35974.723),(5 38834.055),(6 41552.4),(7 44014.098),(8 46595.24),(9 48383.582),(10 49233.203),(11 50090.082),(12 51805.36),(13 52615.598),(14 53051.03),(15 53048.74),(16 52854.71),(17 53485.703),(18 54414.824),(19 55757.47),(20 56386.74),(21 56508.266),(22 56682.98),(23 56513.586),(24 56680.598),(25 57389.793),(26 57648.367),(27 57060.99),(28 56523.36),(29 55814.59),(30 55702.586),(31 55715.48),(32 55743.188),(33 56690.977),(34 58243.617),(35 58483.22),(36 57961.23),(37 57836.066),(38 57297.887),(39 57772.24),(40 58523.457),(41 58747.87),(42 59766.313),(43 60332.516),(44 61133.125),(45 61082.254),(46 61195.555),(47 61959.297),(48 62503.83),(49 62862.45),(50 63931.42),(51 64607.383),(52 65032.797),(53 65704.21),(54 66368.46),(55 66843.59),(56 67385.28),(57 67714.88),(58 67770.2),(59 67953.03),(60 67793.695),(61 67856.16),(62 68227.94),(63 67693.34),(64 68219.71),(65 68890.96),(66 68651.22),(67 68265.56),(68 67939.49),(69 67279.38),(70 67129.98),(71 66861.02),(72 66055.79),(73 65619.17),(74 65866.12),(75 65706.98),(76 65920.59),(77 66351.62),(78 66662.15),(79 66608.35),
(1 7684.885),(2 19496.684),(3 30137.63),(4 35045.945),(5 37778.586),(6 39854.914),(7 41523.676),(8 43730.207),(9 45897.86),(10 46948.066),(11 48074.664),(12 49838.977),(13 50859.563),(14 51816.527),(15 52693.7),(16 52728.746),(17 53224.1),(18 53275.76),(19 53725.887),(20 54637.496),(21 55673.426),(22 56533.875),(23 56449.652),(24 56340.895),(25 56321.38),(26 56146.797),(27 56497.23),(28 57069.527),(29 56984.08),(30 57071.42),(31 57455.152),(32 56835.59),(33 56854.76),(34 57352.492),(35 57059.76),(36 57048.47),(37 57904.113),(38 57764.92),(39 58081.02),(40 58400.207),(41 58762.566),(42 59506.652),(43 59479.277),(44 59810.25),(45 58911.773),(46 58810.957),(47 59748.31),(48 60564.113),(49 60741.75),(50 61100.723),(51 61287.78),(52 61404.85),(53 61846.414),(54 62087.266),(55 61824.164),(56 62293.082),(57 62038.367),(58 61647.473),(59 61777.977),(60 61800.25),(61 61981.01),(62 62465.75),(63 62242.24),(64 62417.355),(65 63084.68),(66 62620.113),(67 62267.46),(68 62484.605),(69 62813.715),(70 63510.957),(71 64176.83),(72 64276.195),(73 64565.473),(74 64576.473),(75 64299.92),(76 64407.75),(77 64652.023),(78 64724.785),(79 64777.617),
(1 7554.563),(2 19128.586),(3 28905.904),(4 33745.266),(5 36104.1),(6 38283.17),(7 39354.61),(8 40294.86),(9 41829.805),(10 43131.293),(11 44677.95),(12 46142.484),(13 46425.984),(14 46818.785),(15 47166.1),(16 46818.52),(17 47190.17),(18 47537.246),(19 47832.637),(20 48419.586),(21 49257.266),(22 49785.49),(23 50049.78),(24 50412.633),(25 50686.734),(26 50285.977),(27 50118.49),(28 50934.926),(29 51665.465),(30 51661.387),(31 51492.527),(32 51318.22),(33 51285.633),(34 51298.656),(35 50767.85),(36 50823.547),(37 51690.063),(38 51821.277),(39 52239.44),(40 53018.11),(41 53429.43),(42 54462.99),(43 54592.81),(44 54349.137),(45 53808.086),(46 54271.496),(47 55005.04),(48 55138.563),(49 55718.23),(50 56229.094),(51 55891.45),(52 55787.375),(53 56728.84),(54 57201.844),(55 56929.17),(56 56966.79),(57 56862.19),(58 56959.81),(59 57182.953),(60 57417.793),(61 57825.38),(62 58113.8),(63 57721.15),(64 57731.46),(65 58082.77),(66 57883.12),(67 57831.77),(68 58048.426),(69 58122.93),(70 58407.1),(71 58667.184),(72 58646.72),(73 59073.9),(74 59350.082),(75 58524.29),(76 57637.805),(77 58037.023),(78 58834.57),(79 59052.504),
(1 7658.8),(2 19268.502),(3 28414.73),(4 32662.088),(5 34830.414),(6 36643.145),(7 37826.188),(8 39601.867),(9 41545.91),(10 42842.36),(11 44220.84),(12 45800.27),(13 46570.824),(14 46757.07),(15 46759.277),(16 46347.56),(17 46986.336),(18 47577.426),(19 48860.387),(20 50009.996),(21 50719.395),(22 50977.027),(23 51112.613),(24 50955.2),(25 50865.965),(26 50286.313),(27 49732.875),(28 49659.56),(29 49622.152),(30 49564.89),(31 49745.473),(32 49955.1),(33 50136.223),(34 50463.074),(35 50361.348),(36 50523.36),(37 50931.36),(38 50725.766),(39 50950.4),(40 51251.863),(41 51886.06),(42 53578.652),(43 53825.37),(44 53769.645),(45 53665.555),(46 54074.79),(47 54860.83),(48 55680.8),(49 57041.26),(50 58320.83),(51 58167.863),(52 57503.43),(53 57350.88),(54 57452.54),(55 57566.566),(56 58036.813),(57 58527.547),(58 58771.633),(59 59112.94),(60 59231.69),(61 59226.504),(62 59222.938),(63 59341.824),(64 59648.23),(65 59976.996),(66 59631.434),(67 59509.004),(68 59809.348),(69 60237.05),(70 60551.953),(71 60241.633),(72 59540.68),(73 59602.57),(74 59657.418),(75 59045.707),(76 58555.37),(77 58144.816),(78 59103.59),(79 59345.766),
(1 7423.8003),(2 18842.293),(3 27971.209),(4 31895.873),(5 33299.957),(6 34986.34),(7 36776.227),(8 38983.496),(9 41021.016),(10 42229.477),(11 43611.21),(12 45283.094),(13 45883.86),(14 46465.105),(15 47552.535),(16 47635.91),(17 48008.133),(18 48064.477),(19 48874.137),(20 49503.844),(21 49941.344),(22 49585.508),(23 49463.27),(24 49205.36),(25 49679.383),(26 49894.645),(27 50014.402),(28 50103.402),(29 50112.016),(30 50020.746),(31 49731.36),(32 49456.8),(33 49413.45),(34 50585.56),(35 51127.066),(36 51879.855),(37 52525.773),(38 52247.574),(39 52303.29),(40 52960.973),(41 53771.297),(42 55345.45),(43 55374.066),(44 54655.44),(45 54413.813),(46 54690.676),(47 55620.43),(48 56519.184),(49 56942.12),(50 57073.16),(51 56333.203),(52 56041.668),(53 56246.32),(54 56020.418),(55 55841.746),(56 56817.64),(57 57383.215),(58 56981.24),(59 57071.586),(60 56838.137),(61 56869.117),(62 56982.797),(63 56807.438),(64 57157.45),(65 58097.824),(66 58180.137),(67 58395.844),(68 58358.27),(69 57461.676),(70 57499.523),(71 57629.242),(72 57474.746),(73 57694.414),(74 58139.88),(75 58179.984),(76 58289.156),(77 58505.39),(78 59356.734),(79 59409.73),
(1 7408.2896),(2 18388.842),(3 27044.469),(4 30930.672),(5 32862.047),(6 34974.133),(7 36756.91),(8 38729.824),(9 40308.805),(10 41652.41),(11 42800.51),(12 44357.24),(13 45478.99),(14 46437.383),(15 47416.316),(16 47373.504),(17 47872.945),(18 48008.527),(19 48830.484),(20 49217.535),(21 49071.406),(22 48494.574),(23 48584.004),(24 48902.574),(25 49676.965),(26 49671.773),(27 49465.406),(28 49200.387),(29 48851.465),(30 48778.707),(31 48907.594),(32 48799.863),(33 48706.246),(34 49314.45),(35 49686.176),(36 50050.5),(37 50551.863),(38 50702.72),(39 51076.477),(40 52164.258),(41 52866.5),(42 54233.816),(43 54063.55),(44 53563.445),(45 52824.047),(46 52469.81),(47 52821.023),(48 52953.047),(49 53101.242),(50 53279.395),(51 53076.047),(52 52948.855),(53 53586.438),(54 54027),(55 54218.68),(56 54956.027),(57 55297.58),(58 54867.36),(59 54771.766),(60 54417.703),(61 54258.13),(62 54806.074),(63 54194.137),(64 53962.1),(65 54454.266),(66 54570.46),(67 54699.773),(68 54969),(69 54756.96),(70 54520.742),(71 55097.707),(72 55451.59),(73 55718.785),(74 55970.953),(75 56382.996),(76 56955.234),(77 56949.496),(78 57091.14),(79 56793.625),
(1 7238.231),(2 17940.297),(3 26269.36),(4 29615.566),(5 31468.045),(6 33815.652),(7 35493.027),(8 37050.168),(9 38354.39),(10 39056.777),(11 40010.38),(12 41231.543),(13 41821.043),(14 42090.24),(15 43153.523),(16 43712.574),(17 44406.305),(18 45022.555),(19 46345.793),(20 47266.406),(21 47749.26),(22 47824.285),(23 47865.24),(24 48054.406),(25 48077.703),(26 47920.094),(27 47859.367),(28 48109.156),(29 48263.957),(30 48175.72),(31 48100.26),(32 48238.246),(33 48463.3),(34 49153.36),(35 49754.62),(36 50027.465),(37 50365.063),(38 50325.66),(39 50607.816),(40 51264.715),(41 51619.74),(42 52091.906),(43 52102.9),(44 52501.793),(45 52952.04),(46 53612.543),(47 54318.445),(48 54178.31),(49 54030.33),(50 54674.855),(51 55213.387),(52 55334.168),(53 55180.2),(54 54750.406),(55 54644.95),(56 55134.23),(57 55155.78),(58 55675.56),(59 56194.996),(60 55768.91),(61 55564.574),(62 56199.3),(63 55823.38),(64 55425.273),(65 55408.12),(66 55249.12),(67 54976.195),(68 55277.938),(69 55845.18),(70 56688.17),(71 57142.56),(72 57686.17),(73 58035.56),(74 58186.65),(75 58090.297),(76 58383.625),(77 58709.69),(78 59452.09),(79 59485.496),
(1 6884.539),(2 17258.781),(3 25898.031),(4 29394.54),(5 31123.219),(6 32983.42),(7 34583.555),(8 36369.89),(9 38268.484),(10 39212.137),(11 40149.945),(12 40808.555),(13 40862.87),(14 41223.586),(15 42299.766),(16 42845.74),(17 43646.066),(18 43659.5),(19 44172.465),(20 44944.58),(21 45849.72),(22 46305.176),(23 46404.6),(24 45870.637),(25 45402.06),(26 45442.984),(27 45555.51),(28 45637.105),(29 45827.55),(30 46515.477),(31 47733.688),(32 47991.98),(33 47513.434),(34 47667.285),(35 47615.883),(36 48311.734),(37 49381.793),(38 49708.227),(39 50188.867),(40 50943.46),(41 50773.76),(42 51154.37),(43 51022.73),(44 51200.105),(45 51359.152),(46 51657.617),(47 52245.387),(48 52472.555),(49 52691.06),(50 52849.773),(51 52192.805),(52 51837.06),(53 52264.047),(54 52471.508),(55 52813.816),(56 53276.688),(57 53020.52),(58 52666.45),(59 53159.18),(60 53112.3),(61 52898.105),(62 53103.668),(63 52602.703),(64 52150.88),(65 52183.01),(66 51547.477),(67 50985.348),(68 51061.016),(69 51319.863),(70 51633.586),(71 51659.254),(72 51729.28),(73 51985.266),(74 52382.58),(75 52101.586),(76 51976.004),(77 52330.477),(78 53192.254),(79 54069.734),
(1 7013.1714),(2 17262.29),(3 25359.451),(4 28612.639),(5 30134.916),(6 31667.19),(7 33107.62),(8 34280.086),(9 35393.44),(10 36898.477),(11 38418.547),(12 39416.38),(13 39146.996),(14 38900.223),(15 39915.566),(16 40801.32),(17 41895.63),(18 42412.605),(19 43562.293),(20 44283.46),(21 44131.793),(22 43599.86),(23 43421.86),(24 43408.98),(25 44008.65),(26 44214.938),(27 44138.734),(28 43869.727),(29 44187.17),(30 45116.176),(31 46344.508),(32 46576.766),(33 46834.89),(34 47392.383),(35 47559.297),(36 47508.316),(37 48160.586),(38 48684.86),(39 49299.215),(40 49667.086),(41 49176.176),(42 50029.273),(43 50185.668),(44 50340.703),(45 50480.523),(46 51106.297),(47 51850.84),(48 52008.848),(49 52037.27),(50 51710.934),(51 51162.152),(52 51103.703),(53 51313.93),(54 51626.164),(55 51967.656),(56 52516.23),(57 52293.66),(58 51735.223),(59 51624.03),(60 51318.47),(61 51599.684),(62 52192.195),(63 52167.742),(64 52392.63),(65 53191.42),(66 53057.81),(67 52646.082),(68 52498.848),(69 52048.203),(70 51767.99),(71 51540.51),(72 51251.523),(73 51355.824),(74 52056.47),(75 51852.277),(76 51665.113),(77 51919.754),(78 52002.66),(79 52268.08),
(1 6446.145),(2 15766.08),(3 23429.934),(4 26590.643),(5 28138.516),(6 29962.22),(7 31690.691),(8 33387.375),(9 34476.848),(10 35605.758),(11 37284),(12 38849.926),(13 39307.867),(14 39507.008),(15 40641.984),(16 41429.86),(17 42287.64),(18 42787.75),(19 43787.055),(20 44346.867),(21 44465.633),(22 44373.715),(23 44682.58),(24 45068.984),(25 45572.777),(26 45376.027),(27 45162.95),(28 45922.53),(29 46227.785),(30 46904.27),(31 47518.19),(32 47788.95),(33 47853.645),(34 48382.207),(35 48233.504),(36 48545.94),(37 48997.07),(38 48829.313),(39 49139.44),(40 49443.31),(41 48993.348),(42 48872.34),(43 48745.67),(44 48802.402),(45 48958.324),(46 48935.418),(47 49362.348),(48 49240.01),(49 49228.46),(50 49141.016),(51 48995.977),(52 49320.055),(53 50406.848),(54 50946.89),(55 51023.734),(56 51289.023),(57 51558.94),(58 51552.406),(59 51400.434),(60 51080.836),(61 50885.34),(62 50871.555),(63 50536.23),(64 50480.582),(65 51183.7),(66 51301.34),(67 51186.664),(68 51262.17),(69 51134.402),(70 51606.83),(71 52191.215),(72 52380.164),(73 52288.645),(74 52321.2),(75 51597.164),(76 51314.59),(77 51497.527),(78 51497.16),(79 51272.977),
(1 6502.2124),(2 15741.473),(3 22813.305),(4 25824.52),(5 27504.438),(6 29176.059),(7 30428.713),(8 31593.3),(9 33401.86),(10 35048.918),(11 36330.12),(12 37262.313),(13 37943.137),(14 38659.04),(15 40020.33),(16 40789.977),(17 41546.848),(18 41569.87),(19 42116.113),(20 42465.87),(21 42784.824),(22 43136.49),(23 43367.67),(24 43638.53),(25 43767.51),(26 44068.883),(27 44115.074),(28 44574.41),(29 45014.195),(30 45975.207),(31 47100.703),(32 47403.406),(33 47782.363),(34 48486.03),(35 48609.906),(36 48647.184),(37 48787.39),(38 48508.07),(39 48409.844),(40 48449.363),(41 48305.723),(42 48262.4),(43 47725.605),(44 47488.53),(45 47069.89),(46 46956.66),(47 47149.68),(48 47003.188),(49 47241.582),(50 47620.844),(51 47542.848),(52 47604.547),(53 48499.793),(54 48732.723),(55 48643.3),(56 48933.99),(57 48889.52),(58 48607.45),(59 48891.664),(60 48715.285),(61 48194.508),(62 48152.34),(63 47954.547),(64 47708.51),(65 47924.887),(66 47502.813),(67 47214.406),(68 47232.883),(69 47036.605),(70 46956.047),(71 47087),(72 47052.785),(73 47307.617),(74 47935.945),(75 48270.27),(76 48449.61),(77 48849.73),(78 50161.363),(79 50003.34),
(1 6184.932),(2 14967.657),(3 21581.371),(4 24077.533),(5 25322.041),(6 26885.617),(7 28548.713),(8 30024.418),(9 31654.844),(10 32692.578),(11 33597.594),(12 34261.598),(13 34717.797),(14 35534.66),(15 36987.805),(16 37268.652),(17 37756.75),(18 38183.33),(19 39244.81),(20 39690.51),(21 39918.18),(22 40080.977),(23 39881.047),(24 39945.855),(25 40151.23),(26 40663.15),(27 40867.51),(28 41511.77),(29 42591.605),(30 43639.29),(31 44618.44),(32 45423.45),(33 45991.48),(34 46547.457),(35 46364.67),(36 45736.582),(37 46014.727),(38 45771.52),(39 45889.258),(40 45818.25),(41 45422.25),(42 45048.28),(43 44482.69),(44 44656.094),(45 45013.28),(46 45217.82),(47 45941.535),(48 46056.164),(49 46144.64),(50 46086.25),(51 46104.383),(52 46632.63),(53 47287.766),(54 47411.504),(55 47358.15),(56 47286.324),(57 47270.344),(58 47335.88),(59 47147.01),(60 46889.48),(61 47184.836),(62 47589.168),(63 47275.06),(64 47401.79),(65 47340.49),(66 46824.367),(67 46357.066),(68 46632.324),(69 46872.31),(70 46868.293),(71 47183.38),(72 46887.035),(73 46798.69),(74 47680.35),(75 48154.043),(76 48605.797),(77 49408.188),(78 50222.21),(79 49928.094),
(1 6079.9946),(2 14799.243),(3 21543.613),(4 24180.453),(5 25523.174),(6 26899.338),(7 28116.625),(8 29413.594),(9 30958.406),(10 31979.781),(11 33158.598),(12 34137.55),(13 34400.395),(14 34734.297),(15 35482.215),(16 35901.582),(17 36481.9),(18 36942.516),(19 37931.41),(20 38413.25),(21 38488.89),(22 38759.344),(23 39089.254),(24 39247.242),(25 39392.47),(26 39534.977),(27 39495.49),(28 39714.063),(29 40197.59),(30 41360.438),(31 42094.563),(32 41875.746),(33 42030.387),(34 42440.56),(35 42410.47),(36 42089.137),(37 42345.043),(38 42272.99),(39 42336.785),(40 42313.098),(41 41694.84),(42 41760.93),(43 41847.992),(44 42651.934),(45 43014.465),(46 43264.598),(47 43664.918),(48 43644.223),(49 43796.676),(50 44179.215),(51 44207.113),(52 44635.855),(53 45384.637),(54 45579.063),(55 45236.254),(56 45116.484),(57 44882.19),(58 45330.5),(59 45872.652),(60 45701.906),(61 45564.027),(62 45430.566),(63 45054.926),(64 45021.24),(65 45571.094),(66 45358.223),(67 45205.05),(68 45337.254),(69 45095.598),(70 44880.64),(71 44848.938),(72 44819.09),(73 45219.105),(74 46101.72),(75 46534.313),(76 46816.293),(77 47324.44),(78 48396.34),(79 48387.387),
(1 6168.0454),(2 14698.044),(3 20990.293),(4 23487.838),(5 25008.318),(6 26610.105),(7 27911.18),(8 28999.223),(9 30403.08),(10 31962.387),(11 33371.473),(12 34359.24),(13 34713.8),(14 35207.89),(15 35911.12),(16 36068.7),(17 36188.816),(18 36507.176),(19 37250.08),(20 37803.613),(21 38106.145),(22 38298.75),(23 38136.563),(24 38072.79),(25 38300.51),(26 38541.625),(27 38471.89),(28 39483.883),(29 40232.953),(30 41133.523),(31 41583.36),(32 41672.17),(33 42194.145),(34 42993.508),(35 43039.52),(36 42916.48),(37 43087.97),(38 42796.754),(39 42280.637),(40 42299.477),(41 41906.2),(42 41908.21),(43 41715.27),(44 42409.297),(45 42847.063),(46 42859.23),(47 43226.07),(48 43461.758),(49 44134.074),(50 44749.996),(51 44883.29),(52 44820.207),(53 45320.2),(54 45220.73),(55 45200.016),(56 45639.242),(57 45327.67),(58 45612.746),(59 46418.3),(60 46473.16),(61 45863.758),(62 45471.613),(63 45555.88),(64 45679.523),(65 45749.652),(66 45166.777),(67 44705.12),(68 44299.85),(69 43849.258),(70 43375.766),(71 43256.258),(72 43563.188),(73 44207.703),(74 44533.035),(75 44393.31),(76 44258.266),(77 44298.24),(78 44613.89),(79 44521.49),
(1 6233.8384),(2 15063.149),(3 21499.857),(4 23719.986),(5 25225.582),(6 26878.313),(7 27993.688),(8 29342.777),(9 31007.006),(10 32828.723),(11 34200.395),(12 35142.43),(13 35169.047),(14 35524.98),(15 36392.113),(16 36557.285),(17 37405.258),(18 37916.785),(19 38259.8),(20 38109.285),(21 37806.86),(22 37581.336),(23 37540.04),(24 37655.31),(25 38524.723),(26 38860.426),(27 39145.906),(28 40074.086),(29 40311.344),(30 40543.24),(31 40961.164),(32 41204.01),(33 41492.617),(34 41753.684),(35 42010.3),(36 42199.93),(37 42691.758),(38 42541.93),(39 42681.43),(40 42880.145),(41 42562.65),(42 43151.38),(43 43620.78),(44 44106.664),(45 43403.67),(46 43319.234),(47 44301.11),(48 44850.656),(49 44785.26),(50 45168.156),(51 45789.754),(52 45657.715),(53 45807.07),(54 45566.02),(55 45489.22),(56 45570.707),(57 45980.83),(58 45987.715),(59 45858.36),(60 45614.46),(61 45606.766),(62 45573.434),(63 45018.984),(64 45216.55),(65 45694.58),(66 45983.367),(67 45918.242),(68 45752.996),(69 45831.395),(70 45621.656),(71 45147.8),(72 45062.902),(73 45615.49),(74 45709.156),(75 45563.188),(76 46010.684),(77 46038.957),(78 45694.293),(79 45785.68),
(1 5935.6826),(2 14052.349),(3 20056.932),(4 22393.178),(5 23871.115),(6 25338.29),(7 26577.256),(8 28112.197),(9 30073.64),(10 31708.79),(11 32805.938),(12 33846.895),(13 34016.723),(14 34441.668),(15 35121.727),(16 35275.883),(17 35819.527),(18 35977.6),(19 36177.047),(20 35944.113),(21 35594.254),(22 35225.66),(23 35102.99),(24 35108.64),(25 35853.707),(26 36008.285),(27 36147.51),(28 37067.05),(29 37649.527),(30 38511),(31 39200.254),(32 39293.777),(33 39839.07),(34 40386.367),(35 40322.344),(36 40216.613),(37 40390.38),(38 40145.973),(39 39988.57),(40 39997.9),(41 39784.08),(42 40207.63),(43 40643.637),(44 41049.68),(45 40669.727),(46 40945.285),(47 41662.45),(48 42123.28),(49 42683.71),(50 43316.17),(51 44000.96),(52 44183.473),(53 44731.535),(54 44384.004),(55 43983.71),(56 44364.586),(57 44829.49),(58 45436.734),(59 45817.246),(60 45368.363),(61 45507.26),(62 45746.527),(63 45467.652),(64 45452.746),(65 45499.17),(66 45084.754),(67 44440.754),(68 43712.633),(69 43779.965),(70 43705.63),(71 43786.98),(72 44221.848),(73 44463.49),(74 44279.133),(75 44124.92),(76 44357.582),(77 44361.99),(78 44360.246),(79 44396.973),
(1 5984.1885),(2 14057.647),(3 19767.137),(4 21892.041),(5 23425.133),(6 25311.04),(7 26593.375),(8 28068.432),(9 30010.303),(10 31447.18),(11 32374.889),(12 32888.87),(13 33106.203),(14 33870.04),(15 34785.16),(16 34931.277),(17 35271.8),(18 35593.246),(19 35834.945),(20 35696.867),(21 35859.17),(22 35869.566),(23 35308.973),(24 35166.29),(25 35523.41),(26 35482.668),(27 35201.242),(28 35863.72),(29 36608.3),(30 37489.207),(31 38162.227),(32 38412.24),(33 38843.855),(34 39742.17),(35 39961.504),(36 40052.84),(37 40289.043),(38 39882.47),(39 39448.32),(40 39475.87),(41 39215.22),(42 39125.19),(43 38667.832),(44 39031.035),(45 39420.844),(46 39672.26),(47 40135.41),(48 40385.266),(49 40740.273),(50 41157.13),(51 41373.895),(52 40776.8),(53 40765.605),(54 40615.57),(55 40827.87),(56 41571.832),(57 41522.902),(58 41753.996),(59 42070.24),(60 41833.613),(61 41796.715),(62 41920.06),(63 41671.44),(64 41770.637),(65 42136.938),(66 41717.836),(67 41227.535),(68 41034.734),(69 41255.484),(70 41246.223),(71 41211.42),(72 41018.465),(73 41126.074),(74 41197.63),(75 41173.496),(76 41247.258),(77 41086.063),(78 40766.027),(79 40845.813),
