1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 84750),(2 298334.97),(3 656842.56),(4 1165454.4),(5 1886142),(6 2795828.5),(7 3943780.3),(8 5354340.5),(9 7021919.5),(10 8973078),(11 11134971),(12 13627747),(13 16371187),(14 19418510),(15 22699634),(16 26435094),(17 30765168),(18 35510144),(19 40953516),(20 46782844),(21 53263410),(22 60378764),(23 68451530),(24 76667390),(25 84962770),(26 92734424),(27 100453960),(28 108205530),(29 115904380),(30 123558910),(31 130069000),(32 135243150),(33 139431120),(34 142675950),(35 145186060),(36 147294340),(37 148391630),(38 149115440),(39 148850220),(40 147681630),(41 145783730),(42 142966640),(43 139213040),(44 134415800),(45 129206360),(46 122998470),(47 116361150),(48 109244250),(49 101732410),(50 93698390),(51 85898376),(52 77647530),(53 70443720),(54 63537036),(55 57496132),(56 52127108),(57 47488068),(58 43833788),(59 41023650),(60 39271820),(61 37834636),(62 36870604),(63 36587644),(64 36726880),(65 37510956),(66 38527084),(67 39289330),(68 40433324),(69 41728660),(70 43443970),(71 45182964),(72 46685764),(73 48339696),(74 49752096),(75 51164064),(76 52638524),(77 54143300),(78 55612944),(79 56985692),
(1 72274.44),(2 196129.66),(3 274996.06),(4 287041.88),(5 282293.2),(6 298282.88),(7 334620.97),(8 365369.9),(9 376941.22),(10 361310.25),(11 339030.03),(12 337903.38),(13 357836.06),(14 378297.28),(15 392445.6),(16 407079),(17 417606.1),(18 429015.56),(19 446650.1),(20 464474.9),(21 479000.72),(22 486945.9),(23 487283.25),(24 489581.75),(25 489470.28),(26 485800.66),(27 481084.63),(28 477647.56),(29 487733.16),(30 502824.44),(31 513379.16),(32 517415.75),(33 521025.25),(34 527013.9),(35 534234.44),(36 539501.1),(37 548257.25),(38 559356.25),(39 573100.56),(40 588744.3),(41 592829.25),(42 578454.9),(43 567222.56),(44 571099.75),(45 574595.3),(46 584285.8),(47 588631.9),(48 578849.3),(49 568313.4),(50 571248.44),(51 573685.75),(52 562839.8),(53 540877.9),(54 528710.3),(55 539891.8),(56 563045.1),(57 573609.7),(58 575373.94),(59 568667.94),(60 567566.56),(61 562124.75),(62 542985.75),(63 543028.1),(64 529196.5),(65 526916.7),(66 530395),(67 529831),(68 524128.9),(69 520397.9),(70 511962.47),(71 515602.75),(72 508145.06),(73 502665),(74 506713.28),(75 515260.63),(76 533002.25),(77 539322.1),(78 532944.3),(79 527307.5),
(1 73271.25),(2 197803.36),(3 279648.78),(4 287218.22),(5 276656.4),(6 286614.13),(7 316074.56),(8 342183.66),(9 354043.1),(10 344866.56),(11 325915.38),(12 315902.38),(13 331948.28),(14 360824.06),(15 383117.7),(16 397632.28),(17 402411),(18 416236.6),(19 435296.5),(20 456367),(21 468855.75),(22 473597.47),(23 471071.3),(24 467992.88),(25 470106.47),(26 471915.16),(27 472244.6),(28 475060.75),(29 484369.53),(30 496598.22),(31 511123.75),(32 524297.7),(33 531108.4),(34 539577.5),(35 552160.94),(36 559889.6),(37 558951.7),(38 563168),(39 576527.2),(40 588269.4),(41 588584.9),(42 579567.44),(43 570623.94),(44 568618.6),(45 582656.44),(46 594992.56),(47 592288.56),(48 579782.5),(49 568692.8),(50 564736.3),(51 564809.7),(52 552203.5),(53 522803.25),(54 503819.6),(55 513409.7),(56 534581.44),(57 545730.7),(58 548009.3),(59 544493.6),(60 535038.7),(61 529770.3),(62 518304),(63 501958.72),(64 503863.3),(65 506032.34),(66 508251.6),(67 509465.94),(68 505430.2),(69 498865.38),(70 496977.8),(71 494139.8),(72 493149.7),(73 481104.06),(74 477474.56),(75 489629.7),(76 499923.4),(77 502284.75),(78 508848.4),(79 504847.25),
(1 66198.164),(2 174471.25),(3 251104.23),(4 270811),(5 269295.56),(6 273760.75),(7 288683.16),(8 303475),(9 314463.88),(10 312641.6),(11 303382.7),(12 298445.78),(13 306437.47),(14 330828.22),(15 358693.7),(16 381734.66),(17 391507.6),(18 405008.56),(19 421904.28),(20 436549.56),(21 444931.78),(22 446673.06),(23 445427.03),(24 448583.25),(25 453764.7),(26 455663.72),(27 451615.03),(28 449309.06),(29 455573.53),(30 471685.06),(31 479867.97),(32 483974.47),(33 487532.7),(34 488663.25),(35 490721.2),(36 492469.25),(37 493307.5),(38 496893.34),(39 503300.22),(40 505643.2),(41 507782.25),(42 508731.44),(43 507337.16),(44 504801.06),(45 508992.9),(46 522976.75),(47 531777.8),(48 525486.4),(49 513139.6),(50 506858.84),(51 497401.75),(52 492074.63),(53 481623.6),(54 478175.4),(55 487429.6),(56 508113.1),(57 521931.88),(58 517370.16),(59 514699.97),(60 510163.1),(61 498211.1),(62 489723.03),(63 476878.34),(64 467494.75),(65 465187.72),(66 472794.3),(67 478127.53),(68 474483.2),(69 470353.7),(70 465663.97),(71 471148.03),(72 470915.03),(73 459976.2),(74 460907.9),(75 452295.1),(76 463691.25),(77 468952.13),(78 464952),(79 471393.25),
(1 66530.56),(2 165955.39),(3 231199.72),(4 251925.27),(5 262343.8),(6 273455),(7 282759.8),(8 286707.63),(9 290379.84),(10 290762.88),(11 286292.06),(12 288498.1),(13 300980.47),(14 313527.34),(15 328415.56),(16 350253.78),(17 364824.94),(18 380106.75),(19 399478.84),(20 418080.66),(21 422288.66),(22 416877.38),(23 414442.9),(24 417155.72),(25 427247.72),(26 430614.72),(27 433352.16),(28 435452.72),(29 433115.25),(30 442208.47),(31 455734.2),(32 466892.16),(33 470478.84),(34 475137.06),(35 477120.72),(36 472741.8),(37 471549.8),(38 479500.94),(39 491226.38),(40 501068.94),(41 504700.2),(42 509544.84),(43 515893.94),(44 518317.72),(45 516596.47),(46 516924.38),(47 522765.9),(48 525407.06),(49 519294.94),(50 516691),(51 511430.1),(52 499196.94),(53 485070.56),(54 484138.72),(55 503107.38),(56 524581.4),(57 544846.25),(58 541839.9),(59 526719.75),(60 516507),(61 504545.44),(62 494825.56),(63 489338.28),(64 479143.84),(65 474500.84),(66 464292.66),(67 468833.72),(68 470432.1),(69 470485.2),(70 471958.72),(71 464567.63),(72 466093.38),(73 457935.16),(74 457582.9),(75 461898.63),(76 452938.75),(77 453323.47),(78 453293.75),(79 449783.63),
(1 62469.563),(2 155848.03),(3 211571.2),(4 224471.16),(5 240061.98),(6 258865.56),(7 264266.44),(8 261348.25),(9 261764.44),(10 265152.8),(11 267919.06),(12 268916.94),(13 276263.1),(14 292818.28),(15 305895.9),(16 319015.84),(17 326847.4),(18 335634),(19 347190.56),(20 357529.22),(21 366148.75),(22 362980.47),(23 359276.22),(24 360988.63),(25 370917.44),(26 382230.75),(27 387280.5),(28 389239.75),(29 395072.38),(30 397506.22),(31 407437.2),(32 412688.84),(33 420776.72),(34 428266.44),(35 433251.88),(36 431543.53),(37 425338.06),(38 427025.6),(39 433716.94),(40 441490.9),(41 454143.66),(42 466030.75),(43 474778.66),(44 468828.4),(45 467567.6),(46 471335.38),(47 472101.56),(48 466975.38),(49 463000.97),(50 459135.28),(51 457224.8),(52 454467.75),(53 446683.4),(54 446564.75),(55 456313.84),(56 474858.34),(57 485971.28),(58 491999.84),(59 479814.34),(60 469142.7),(61 461046.7),(62 453339.38),(63 450103.28),(64 446032.7),(65 441971.75),(66 439195.38),(67 435177.72),(68 434638.16),(69 434250.56),(70 436467.9),(71 443961.72),(72 435891.03),(73 429567.13),(74 424019.53),(75 428904.56),(76 435426.03),(77 425845.34),(78 432032.38),(79 435694.06),
(1 65390.098),(2 161929.4),(3 215110.84),(4 226659.63),(5 242522.84),(6 269086.53),(7 275818.8),(8 263372.9),(9 257983.33),(10 264658),(11 272906.84),(12 279962.16),(13 284636.34),(14 291578.16),(15 307642.13),(16 325412.9),(17 338090.66),(18 347848.8),(19 358385.94),(20 368308.28),(21 373172.2),(22 375991.3),(23 376216.3),(24 376934.3),(25 380412.72),(26 393068.8),(27 404861.2),(28 410219.44),(29 414314.47),(30 418790.25),(31 421370.13),(32 432766.13),(33 437306.94),(34 442051.7),(35 444017),(36 440732.9),(37 436741.97),(38 431659.63),(39 435031),(40 438437.44),(41 444557.94),(42 456154.03),(43 463358.34),(44 456910.3),(45 450949.97),(46 455702.56),(47 468854.13),(48 465932.88),(49 452535.4),(50 450248.75),(51 454942.8),(52 456916),(53 450511.97),(54 451887.1),(55 458361.47),(56 480025.2),(57 496304.03),(58 500941.7),(59 502033.7),(60 488398.13),(61 480672.2),(62 473612.8),(63 466964.28),(64 459838.84),(65 461220.28),(66 461823.53),(67 469892.75),(68 461386.06),(69 458156.47),(70 463661.84),(71 463452.28),(72 452617.53),(73 436287.7),(74 438740.88),(75 438179.8),(76 447662.25),(77 445328.03),(78 437263.22),(79 443380.88),
(1 63682.773),(2 156169.7),(3 202562.4),(4 212768.9),(5 232374.97),(6 257280.34),(7 262717.13),(8 250486.11),(9 245424.88),(10 256739.88),(11 272026.06),(12 277253.53),(13 281332.25),(14 287400.94),(15 299945.88),(16 318841.88),(17 337626.7),(18 352490.44),(19 363268),(20 373201.16),(21 375528.94),(22 374596.44),(23 375359.44),(24 374494.97),(25 380144.34),(26 389306.78),(27 401905.94),(28 410997.84),(29 416500.13),(30 420475.7),(31 424322.94),(32 428315.28),(33 432177.8),(34 436212.38),(35 435365.4),(36 428302.06),(37 418906.44),(38 412450.1),(39 411855.06),(40 411578.06),(41 417544.9),(42 426190.66),(43 426940.1),(44 419147.13),(45 416433.5),(46 419022.6),(47 425630.1),(48 426321.84),(49 420276.44),(50 422470.5),(51 423582.44),(52 424731.44),(53 415020.66),(54 411202.75),(55 414208.94),(56 425573.94),(57 438682.38),(58 439912.56),(59 433656.7),(60 420311.97),(61 411879.53),(62 408938.63),(63 405910.28),(64 406161.28),(65 403156.6),(66 421509.97),(67 428899.63),(68 429130.28),(69 424815.8),(70 429241),(71 426839.9),(72 415957.63),(73 397569.28),(74 398317.16),(75 407082.78),(76 415401.56),(77 415236),(78 419051.63),(79 420104.66),
(1 64469.273),(2 156965.28),(3 198055.22),(4 201673.48),(5 220145.61),(6 247748.8),(7 249455.2),(8 234262.78),(9 229686.63),(10 241248.13),(11 255157.06),(12 261292.33),(13 264642.13),(14 275241.03),(15 293704.34),(16 313873.84),(17 328601.47),(18 346508.72),(19 362313.75),(20 373174.1),(21 376147.9),(22 375986.53),(23 373686.25),(24 370172.6),(25 373305),(26 387424.53),(27 402444.53),(28 413146.7),(29 423802.7),(30 430765.34),(31 430950.56),(32 432695.9),(33 433250.44),(34 436881.25),(35 442407.25),(36 443334.56),(37 438001.78),(38 431487.44),(39 425813.9),(40 421978.03),(41 424255.66),(42 432108.7),(43 435067.1),(44 429160.1),(45 421664.56),(46 423705.8),(47 428416),(48 423700.3),(49 420977.3),(50 428660.34),(51 437463.7),(52 435205.34),(53 426438),(54 425411.9),(55 432377.75),(56 437882.3),(57 442873.6),(58 446061.44),(59 434085.88),(60 418930.6),(61 411379.56),(62 405211.7),(63 407170.8),(64 405583.22),(65 413625.44),(66 414863.3),(67 432844.03),(68 434149),(69 435000.66),(70 438361.13),(71 438044.44),(72 420067.25),(73 403472.4),(74 399469.13),(75 409301.3),(76 415572),(77 415488.47),(78 411711.9),(79 414812.3),
(1 65494.844),(2 156292.8),(3 190879.94),(4 191878.86),(5 214530.86),(6 243906.83),(7 248025.23),(8 232708.53),(9 228404.69),(10 238046.13),(11 245425.88),(12 247333.72),(13 252776.9),(14 261914.23),(15 277781.3),(16 300119.97),(17 311400.8),(18 319723.78),(19 328441.66),(20 336827.9),(21 340799.13),(22 338786.8),(23 337581.94),(24 336199.34),(25 337849.53),(26 342837.34),(27 356884.28),(28 374310.47),(29 385571.38),(30 391490.03),(31 390936.84),(32 390940.8),(33 389599.63),(34 390049.3),(35 395300.97),(36 393319.03),(37 388411.75),(38 385046.4),(39 380521.94),(40 377249.72),(41 379710.3),(42 385468.72),(43 385328.34),(44 379818.7),(45 376280.03),(46 377205.47),(47 376502.4),(48 372555.75),(49 371024.6),(50 373520.88),(51 382565.06),(52 387724.28),(53 382356.25),(54 382254.03),(55 381868.47),(56 390387.2),(57 393933.2),(58 396503.38),(59 398563.13),(60 389153.6),(61 384357.47),(62 379453.34),(63 382906.4),(64 387418.7),(65 398891.38),(66 409456.8),(67 406036.16),(68 411914.34),(69 411033.25),(70 411299.06),(71 412476.28),(72 402465.7),(73 382788.4),(74 385662.78),(75 399972.34),(76 410932.56),(77 416744.13),(78 410230.03),(79 409834.94),
(1 64048.832),(2 150859.72),(3 179961.39),(4 177782.39),(5 203394.77),(6 234613.23),(7 237485.31),(8 226196.84),(9 223727.86),(10 232455.4),(11 239969.64),(12 239753.23),(13 245732.36),(14 258911.53),(15 273451.56),(16 291290.4),(17 307243.72),(18 318466.63),(19 324772.9),(20 328618.9),(21 330598.06),(22 334253.94),(23 336323.97),(24 340455.13),(25 347124.1),(26 352503.16),(27 362522.38),(28 375881.53),(29 392218.7),(30 401164),(31 404441.97),(32 397287),(33 394467),(34 395579.53),(35 395161.8),(36 398811.88),(37 395264),(38 390932),(39 387363.5),(40 385889.9),(41 389784.47),(42 395608.25),(43 400676.2),(44 398679.13),(45 394295.25),(46 393594.63),(47 391840.1),(48 384306.4),(49 380326.2),(50 381914.22),(51 378325.44),(52 374965.2),(53 375169.03),(54 372882.13),(55 368645.34),(56 365391.44),(57 366085.22),(58 371756.72),(59 372004.4),(60 364650.47),(61 356848.03),(62 358502.47),(63 359888.78),(64 363144.6),(65 362467.7),(66 376278.94),(67 389233.16),(68 379313.66),(69 374429.88),(70 379837.06),(71 374329.78),(72 367262.25),(73 364820.3),(74 364424.2),(75 380663.72),(76 395241.63),(77 400901.44),(78 403381.28),(79 397827.44),
(1 63697.92),(2 145538.14),(3 169269.6),(4 165740.27),(5 190934.53),(6 225020.73),(7 228131.81),(8 215270.6),(9 215934.48),(10 224846.08),(11 231419.72),(12 233886.48),(13 239083.98),(14 246872.98),(15 258366.45),(16 273641.44),(17 291595.44),(18 303853.06),(19 313444.47),(20 319272.38),(21 320528.9),(22 318614.75),(23 323415.72),(24 331392.75),(25 341474.03),(26 354146.9),(27 368278.5),(28 379492),(29 389312.56),(30 397886.5),(31 402365.16),(32 404221.7),(33 397469.22),(34 396716.03),(35 402726.3),(36 404077.16),(37 411143.2),(38 410927.3),(39 406251.22),(40 406553.78),(41 414163.2),(42 419955.75),(43 420902.94),(44 425638.16),(45 427601.56),(46 427498.13),(47 423522.53),(48 416963.6),(49 414986.22),(50 415095.84),(51 409946.3),(52 402435.75),(53 394113.16),(54 394820.66),(55 392871.78),(56 385441.9),(57 380428.03),(58 374276.4),(59 370066.97),(60 365573.16),(61 363852.7),(62 363296.13),(63 365877.78),(64 369011.44),(65 369019.2),(66 372167.84),(67 379211.84),(68 382915.7),(69 377976.63),(70 374614.9),(71 370245.63),(72 359455.22),(73 348741.63),(74 358589.47),(75 366137.97),(76 377871.2),(77 387773.9),(78 388759.38),(79 393004.66),
(1 61503.57),(2 137622.03),(3 155824.17),(4 149714.2),(5 173880.89),(6 204449.95),(7 211575.3),(8 203965.9),(9 202507.03),(10 211103.19),(11 220166.22),(12 226832.83),(13 234010.19),(14 241427.75),(15 246903.11),(16 256914.47),(17 269543.22),(18 284192.5),(19 293768.34),(20 299953.4),(21 304439.22),(22 304301.88),(23 304639.84),(24 306292.44),(25 314052.2),(26 326909.84),(27 341601.06),(28 351520.6),(29 358537.38),(30 363459.56),(31 364474.34),(32 362012.6),(33 362109.8),(34 359543.56),(35 357618.84),(36 361032.16),(37 365572.5),(38 369389.97),(39 367683.44),(40 367558.25),(41 371586.72),(42 374451.84),(43 372396.97),(44 369577.56),(45 371345.66),(46 373023.84),(47 367953.8),(48 362954.06),(49 363217.84),(50 361271.44),(51 357955.88),(52 356386.78),(53 354994.72),(54 351103.5),(55 347048.56),(56 343894.9),(57 343600.94),(58 340324.2),(59 339200.56),(60 339939.5),(61 338767.8),(62 343152.03),(63 344826.1),(64 342623.9),(65 339766.3),(66 336360.94),(67 345211.2),(68 345815.44),(69 353630.22),(70 347245.38),(71 342959.3),(72 342556.44),(73 332544.16),(74 331892.6),(75 339968.72),(76 353452.4),(77 358397.53),(78 359221.84),(79 358699.97),
(1 58617.125),(2 128055.664),(3 141761.39),(4 135937.95),(5 161597.1),(6 189242.02),(7 191244.45),(8 184866.05),(9 186935.5),(10 192963.23),(11 195281.16),(12 197528.66),(13 205877.94),(14 217474.13),(15 226025.75),(16 236024.31),(17 245810.73),(18 259298.81),(19 269487.16),(20 279056.2),(21 284337.84),(22 289787.9),(23 293688.2),(24 300313.5),(25 304710.7),(26 316832.6),(27 325228.38),(28 333448.1),(29 341387.75),(30 351107.28),(31 356642.4),(32 356630.1),(33 356072.5),(34 362829.03),(35 366850.97),(36 369352.75),(37 376133.1),(38 378474.38),(39 374435.84),(40 375273.2),(41 375165.88),(42 375385.63),(43 376514.94),(44 380621.1),(45 381185),(46 379543.72),(47 374487.25),(48 372840.84),(49 374983.88),(50 377041.34),(51 375518.78),(52 373699.7),(53 372077.28),(54 370233.6),(55 363248.16),(56 357847.72),(57 350850.47),(58 348226.53),(59 344763.56),(60 346464),(61 346457.2),(62 343821.53),(63 343778.1),(64 337094.72),(65 335817.34),(66 330142),(67 335350.97),(68 342103.84),(69 338466.34),(70 335135.7),(71 331696.1),(72 323920.88),(73 321450.84),(74 316824.97),(75 322745.94),(76 329146.78),(77 340100.84),(78 338060.84),(79 340183.06),
(1 55074.492),(2 119626.914),(3 131149.42),(4 125274.83),(5 152401.23),(6 175940.06),(7 177468.9),(8 171496.61),(9 174996.92),(10 185230.55),(11 192444.25),(12 194649.3),(13 199753.97),(14 207990.38),(15 217185.39),(16 228746.34),(17 240982),(18 253600.61),(19 266281.47),(20 275150.56),(21 282577.47),(22 290988.25),(23 297965.47),(24 305898.63),(25 318873.63),(26 330286.97),(27 343094.25),(28 352243.88),(29 354966.7),(30 355752.4),(31 358099.1),(32 357049.78),(33 359144.97),(34 363924.44),(35 371910.56),(36 378243.22),(37 383911.13),(38 382793.06),(39 379733.94),(40 378871.25),(41 381661.47),(42 380038.3),(43 374462.94),(44 373690.38),(45 372998.84),(46 368782.06),(47 364451.44),(48 361920.72),(49 357069.34),(50 354517.88),(51 352766.94),(52 349674.5),(53 347219.03),(54 346110.06),(55 345208.75),(56 340985.4),(57 334364.2),(58 327315.78),(59 329854.9),(60 330707.28),(61 334021.56),(62 329125.13),(63 322290.66),(64 317406.5),(65 308301.94),(66 307616.53),(67 309433.66),(68 315796.13),(69 314093.6),(70 313600.94),(71 310463.97),(72 304151.84),(73 299870.5),(74 299138.03),(75 301508.97),(76 312162.03),(77 315809.7),(78 318481.3),(79 316177.88),
(1 52616.656),(2 111925.61),(3 123353.23),(4 120953.8),(5 144850.53),(6 164793.45),(7 161304.78),(8 156581.94),(9 162509.34),(10 172511.06),(11 180702.17),(12 186250.2),(13 195129.34),(14 201020),(15 208917.16),(16 217394.36),(17 226064.36),(18 241170.53),(19 252666.78),(20 261950.88),(21 269556.97),(22 278086),(23 286136.47),(24 296062.34),(25 303508.25),(26 314563.75),(27 323743.4),(28 333879.6),(29 339595),(30 341444.2),(31 340295.75),(32 342428.25),(33 348762.47),(34 354663.66),(35 358212.03),(36 362461.03),(37 366368.7),(38 366769.94),(39 366025.7),(40 365064.97),(41 363317.13),(42 363320.97),(43 361217.88),(44 362286.1),(45 362102.16),(46 357026.5),(47 352119.8),(48 351661.66),(49 347437.75),(50 341818.5),(51 337823.53),(52 334355.2),(53 329697.9),(54 326281.4),(55 323418.9),(56 321793.84),(57 319493.44),(58 316164.06),(59 318170.78),(60 319204.2),(61 320017.97),(62 316212.03),(63 312188.16),(64 303482.16),(65 296321.1),(66 288774.7),(67 299017.88),(68 306068.47),(69 307742.78),(70 306398.66),(71 304569.78),(72 300035.84),(73 291687.34),(74 285119.13),(75 288052.25),(76 295199.53),(77 299035.1),(78 298299.88),(79 300308.88),
(1 53672.094),(2 112172.47),(3 123276.23),(4 128007.664),(5 153258.95),(6 169754.58),(7 166112.55),(8 158471.39),(9 161252.66),(10 171057.06),(11 177876.02),(12 183628.1),(13 193102.61),(14 203345.63),(15 206936.61),(16 213282.22),(17 218566.89),(18 225205.23),(19 235921.4),(20 246678.64),(21 252743.8),(22 263019.3),(23 276130.75),(24 286656.03),(25 293519.97),(26 296969.06),(27 304377.1),(28 309178.2),(29 314582.47),(30 318603.1),(31 320900.2),(32 321055.28),(33 327771.53),(34 336149.88),(35 344804.72),(36 347481.28),(37 348369.63),(38 348907.75),(39 350212.4),(40 350792.7),(41 349136.9),(42 346480.63),(43 350675.16),(44 359377.1),(45 358287.28),(46 357299.6),(47 359323.5),(48 357822.78),(49 354277.34),(50 350603.8),(51 345904.03),(52 342369.06),(53 338811.28),(54 338464.34),(55 339513.78),(56 338445.34),(57 336404.75),(58 336463.16),(59 340495.88),(60 339854.47),(61 335293.53),(62 331672.9),(63 327490.7),(64 321761.8),(65 309881.5),(66 306339.2),(67 311239.3),(68 320455.88),(69 323090.03),(70 320584.75),(71 317013.6),(72 309121.28),(73 302288.4),(74 288956.44),(75 288091.34),(76 294233.3),(77 296975.72),(78 299610.8),(79 302221.5),
(1 52009.527),(2 108258.93),(3 118682.3),(4 123190.86),(5 148401.19),(6 159234.56),(7 156457.08),(8 155230.1),(9 153738.4),(10 160000.95),(11 169016.33),(12 175885.4),(13 183222.75),(14 193177.56),(15 202244.64),(16 206139.86),(17 206279.3),(18 213125.33),(19 217950.97),(20 224191.22),(21 229565.45),(22 235524.7),(23 246730.67),(24 256887.81),(25 263715.84),(26 268481.34),(27 271041.8),(28 277310.1),(29 281463.3),(30 281312.22),(31 280044.34),(32 281113.56),(33 286882.34),(34 293696.6),(35 294729.2),(36 298067.5),(37 301319.28),(38 302732.7),(39 301765.6),(40 304943.44),(41 307456.6),(42 305451.22),(43 306655.84),(44 311330.1),(45 313611.97),(46 312338.5),(47 314347.44),(48 317725.7),(49 313983.38),(50 308139.8),(51 304397.84),(52 303116.16),(53 301156.78),(54 303841.53),(55 302870.03),(56 302226.03),(57 299887.28),(58 297902.7),(59 295613.66),(60 298556.47),(61 294783.28),(62 288782.22),(63 284143.8),(64 277895.8),(65 274846.38),(66 268379.44),(67 271143.75),(68 275540.5),(69 283190.56),(70 278894.6),(71 275555.9),(72 267265.28),(73 260047.58),(74 252029.92),(75 252183.03),(76 255894.3),(77 260959.55),(78 262980.56),(79 267657.88),
(1 52183.613),(2 107531.5),(3 116020.66),(4 121481.74),(5 144165.56),(6 150384.19),(7 141050.27),(8 139186.28),(9 139761.66),(10 142658.05),(11 149399.9),(12 158021.33),(13 167755.73),(14 174857),(15 184710.17),(16 192497.16),(17 192917.39),(18 196161.14),(19 206143.4),(20 215570.67),(21 218513.86),(22 223777.75),(23 231983.28),(24 240487.75),(25 248432.88),(26 255904.31),(27 262504.3),(28 268970.22),(29 277701.7),(30 281617.13),(31 277868.6),(32 275038.4),(33 279903.53),(34 285316.2),(35 289966.88),(36 295085.25),(37 299745.8),(38 300085.94),(39 301711.3),(40 302372.5),(41 303263.4),(42 301829.25),(43 301825.47),(44 304126.8),(45 302344.66),(46 302914.56),(47 305175.7),(48 304711.1),(49 304365.66),(50 304107.2),(51 300200.03),(52 300718.53),(53 301189.34),(54 303199.3),(55 301071.22),(56 299089.75),(57 294853.13),(58 291037.34),(59 289744.66),(60 286888.4),(61 286138.84),(62 283060.34),(63 278032.97),(64 277326.22),(65 272757.34),(66 269017.4),(67 269645.4),(68 272364.34),(69 275820.5),(70 270536.88),(71 262704.34),(72 257546.97),(73 243703.52),(74 232887.97),(75 234330.06),(76 242122.4),(77 247681.8),(78 254632.19),(79 260485.23),
