1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 166.26753),(2 213.47385),(3 233.07181),(4 245.48795),(5 253.6368),(6 257.86926),(7 268.67804),(8 269.01645),(9 272.4977),(10 274.2439),(11 276.74503),(12 282.91016),(13 284.6119),(14 287.88086),(15 288.13498),(16 288.13443),(17 289.30502),(18 285.80438),(19 288.8063),(20 286.87927),(21 284.51334),(22 284.88324),(23 290.45172),(24 292.24976),(25 292.1505),(26 292.08255),(27 291.32474),(28 289.79022),(29 290.39224),(30 291.25784),(31 288.72717),(32 290.13144),(33 289.9331),(34 290.0828),(35 293.65848),(36 295.72867),(37 298.67),(38 298.99832),(39 295.79916),(40 293.1728),(41 290.0555),(42 291.32697),(43 288.21765),(44 287.26657),(45 289.73297),(46 291.38846),(47 291.96204),(48 291.18024),(49 292.60132),(50 292.01273),(51 292.077),(52 290.03506),(53 293.78082),(54 291.74957),(55 293.56647),(56 296.08844),(57 298.23697),(58 295.72894),(59 295.6487),(60 295.97543),(61 293.9286),(62 294.90866),(63 295.94003),(64 295.33072),(65 298.62723),(66 299.3121),(67 301.06177),(68 301.53723),(69 301.8418),(70 300.68314),(71 299.86807),(72 299.42606),(73 301.29422),(74 304.1711),(75 301.0517),(76 300.0012),(77 299.43655),(78 298.82193),(79 298.2599),
(1 163.58682),(2 204.77512),(3 224.4373),(4 238.0349),(5 249.54819),(6 252.65613),(7 265.551),(8 268.8988),(9 271.71298),(10 274.76654),(11 278.50156),(12 282.77185),(13 281.47522),(14 283.55948),(15 283.92294),(16 284.5126),(17 284.2882),(18 284.06363),(19 284.18402),(20 282.9413),(21 283.3812),(22 285.26193),(23 284.8013),(24 291.1982),(25 293.29254),(26 292.24417),(27 290.20145),(28 291.77887),(29 289.66385),(30 291.64722),(31 291.72824),(32 291.55865),(33 292.65668),(34 297.303),(35 298.61792),(36 302.86145),(37 300.3729),(38 305.02554),(39 299.93686),(40 297.23587),(41 295.66837),(42 296.40027),(43 295.4886),(44 292.87775),(45 290.3014),(46 289.371),(47 288.8486),(48 284.88446),(49 286.61255),(50 291.0125),(51 286.51624),(52 288.2116),(53 290.22025),(54 287.5157),(55 289.66397),(56 291.05692),(57 293.73642),(58 288.42847),(59 292.6329),(60 292.50418),(61 290.63553),(62 290.36395),(63 291.1796),(64 292.89334),(65 298.50317),(66 302.36792),(67 301.9062),(68 300.75558),(69 299.60873),(70 299.5917),(71 296.78687),(72 302.16174),(73 304.24796),(74 305.38788),(75 303.41656),(76 303.07547),(77 301.62927),(78 299.15384),(79 297.58765),
(1 160.99402),(2 202.93996),(3 223.78412),(4 237.13287),(5 244.91473),(6 254.87576),(7 264.01544),(8 266.1192),(9 266.37357),(10 269.8267),(11 272.4534),(12 274.8237),(13 273.66516),(14 272.088),(15 272.01022),(16 273.92374),(17 277.24133),(18 277.11728),(19 273.23697),(20 274.6341),(21 276.8876),(22 278.07962),(23 277.90588),(24 281.27628),(25 282.87396),(26 283.98694),(27 279.04007),(28 281.89038),(29 280.06448),(30 281.629),(31 281.64963),(32 280.54144),(33 278.0975),(34 281.08014),(35 281.281),(36 283.5436),(37 284.22586),(38 285.9972),(39 279.1983),(40 280.62173),(41 279.6478),(42 280.10464),(43 277.69675),(44 277.5131),(45 281.49463),(46 283.90097),(47 282.18698),(48 280.4587),(49 284.57413),(50 284.4746),(51 284.32767),(52 284.43646),(53 283.80298),(54 285.49652),(55 285.90845),(56 282.7432),(57 282.98978),(58 279.75647),(59 280.08688),(60 281.15552),(61 278.65292),(62 281.42017),(63 281.14246),(64 280.49664),(65 281.48425),(66 282.85062),(67 286.63818),(68 286.0175),(69 283.52325),(70 284.20898),(71 285.7753),(72 284.61212),(73 284.30484),(74 286.86755),(75 285.1842),(76 287.11862),(77 287.2758),(78 287.72354),(79 287.46213),
(1 159.25273),(2 200.81891),(3 222.2124),(4 234.47746),(5 242.49611),(6 251.7323),(7 258.8031),(8 262.3384),(9 264.71185),(10 268.3397),(11 268.60593),(12 276.58875),(13 274.88263),(14 275.30624),(15 277.37418),(16 278.71527),(17 277.1709),(18 274.49374),(19 276.6459),(20 272.7617),(21 272.33017),(22 272.12085),(23 273.69412),(24 278.18167),(25 280.87567),(26 281.96152),(27 281.4224),(28 281.4125),(29 280.56604),(30 279.8909),(31 278.63528),(32 277.67517),(33 279.1668),(34 279.8254),(35 281.5706),(36 283.08963),(37 283.02222),(38 286.4421),(39 285.81708),(40 285.34985),(41 282.00507),(42 283.17905),(43 281.25937),(44 278.47986),(45 276.05048),(46 279.38632),(47 282.77423),(48 280.00903),(49 283.2106),(50 284.06192),(51 284.0084),(52 281.89343),(53 283.51852),(54 284.05023),(55 285.8937),(56 284.27054),(57 287.00113),(58 283.50378),(59 283.33105),(60 283.543),(61 282.14456),(62 284.66867),(63 284.3905),(64 280.7864),(65 285.13016),(66 286.02795),(67 286.51492),(68 284.97812),(69 285.3462),(70 285.85074),(71 284.96936),(72 287.16013),(73 285.23093),(74 287.82626),(75 285.9603),(76 288.66818),(77 289.05264),(78 287.8895),(79 286.6057),
(1 156.7505),(2 201.9498),(3 218.46712),(4 230.69084),(5 241.90999),(6 248.26868),(7 254.21234),(8 261.2748),(9 266.34988),(10 265.4193),(11 265.58533),(12 266.6459),(13 266.82266),(14 266.5123),(15 266.36313),(16 267.19174),(17 267.68347),(18 269.8807),(19 269.82095),(20 266.35757),(21 266.33716),(22 270.37717),(23 270.22382),(24 273.83118),(25 274.56497),(26 272.45374),(27 268.5017),(28 271.11343),(29 269.13376),(30 271.03024),(31 269.85114),(32 272.19183),(33 271.337),(34 269.68954),(35 270.24872),(36 276.068),(37 276.6328),(38 281.07013),(39 278.58997),(40 278.41193),(41 276.50464),(42 277.296),(43 277.75998),(44 275.86423),(45 278.1041),(46 278.2939),(47 277.87225),(48 275.81354),(49 277.87402),(50 275.14932),(51 276.17908),(52 276.5446),(53 275.3024),(54 276.48474),(55 277.677),(56 277.90353),(57 279.30103),(58 275.60123),(59 279.39807),(60 274.704),(61 276.59457),(62 276.13736),(63 277.5922),(64 277.714),(65 280.29684),(66 281.42606),(67 281.28308),(68 282.2187),(69 281.50076),(70 280.95395),(71 280.61023),(72 277.828),(73 277.80023),(74 282.48962),(75 280.10202),(76 280.88226),(77 280.02307),(78 280.22076),(79 280.3093),
(1 151.92531),(2 191.55862),(3 209.44304),(4 223.49373),(5 235.13852),(6 240.58142),(7 246.35886),(8 252.91858),(9 256.57422),(10 257.21426),(11 259.12863),(12 263.56323),(13 264.47797),(14 265.04907),(15 268.25824),(16 265.71295),(17 266.42426),(18 265.8619),(19 267.64548),(20 268.0373),(21 269.97675),(22 268.2675),(23 269.7569),(24 272.16467),(25 273.67),(26 274.5039),(27 274.09695),(28 274.33347),(29 273.26254),(30 275.1579),(31 278.0337),(32 278.8554),(33 278.35278),(34 277.92386),(35 278.0167),(36 278.41937),(37 277.26437),(38 280.4134),(39 279.59924),(40 280.6648),(41 274.1287),(42 273.96625),(43 271.68677),(44 272.67688),(45 275.74246),(46 273.82675),(47 274.30478),(48 272.4549),(49 275.6293),(50 274.63748),(51 271.00363),(52 273.31586),(53 272.81516),(54 272.72122),(55 274.92242),(56 276.70206),(57 279.42453),(58 274.76266),(59 271.97668),(60 273.03772),(61 276.44064),(62 277.40042),(63 275.24),(64 276.7563),(65 277.5699),(66 276.9435),(67 279.92477),(68 281.91623),(69 279.41574),(70 282.54672),(71 279.52197),(72 281.2007),(73 278.58426),(74 282.36514),(75 280.04126),(76 282.57825),(77 281.09293),(78 279.89096),(79 278.75043),
(1 155.40834),(2 191.68373),(3 217.3457),(4 230.53615),(5 236.27518),(6 242.27025),(7 247.62318),(8 250.543),(9 256.5151),(10 257.3379),(11 259.89172),(12 264.10263),(13 264.84216),(14 268.6695),(15 270.2541),(16 273.45465),(17 271.47925),(18 270.07867),(19 270.24557),(20 268.84293),(21 267.66574),(22 266.65186),(23 266.4326),(24 269.6919),(25 269.8568),(26 271.67575),(27 273.3909),(28 272.15826),(29 271.59167),(30 272.24374),(31 272.51453),(32 273.5342),(33 272.82806),(34 276.95486),(35 274.23807),(36 278.51175),(37 277.3591),(38 280.30045),(39 279.14334),(40 276.8293),(41 274.1877),(42 274.59048),(43 273.77832),(44 273.27356),(45 275.2409),(46 271.35904),(47 273.12646),(48 272.3595),(49 274.0552),(50 274.22693),(51 273.15002),(52 273.68353),(53 276.4981),(54 273.4772),(55 275.12534),(56 275.49863),(57 276.67175),(58 275.4103),(59 275.1477),(60 271.46204),(61 271.6377),(62 271.80167),(63 272.4859),(64 271.77017),(65 276.24127),(66 276.75943),(67 278.3895),(68 279.9935),(69 273.5983),(70 274.71637),(71 272.47427),(72 275.5231),(73 273.21545),(74 275.7456),(75 272.07413),(76 272.77994),(77 273.03906),(78 276.2731),(79 277.91968),
(1 151.28326),(2 189.40639),(3 210.83217),(4 222.90341),(5 230.82104),(6 239.91243),(7 243.81776),(8 244.52666),(9 248.39032),(10 248.78142),(11 252.66054),(12 257.50827),(13 259.48615),(14 258.91772),(15 258.3974),(16 257.74023),(17 258.32455),(18 257.50702),(19 255.83737),(20 257.71213),(21 257.98505),(22 258.33347),(23 259.2853),(24 260.79715),(25 261.74954),(26 262.227),(27 260.83005),(28 260.4639),(29 261.02847),(30 260.14435),(31 257.74362),(32 256.79395),(33 259.26025),(34 259.73093),(35 264.16876),(36 266.2633),(37 267.0532),(38 267.93164),(39 265.4221),(40 264.05313),(41 264.05643),(42 263.19507),(43 262.40503),(44 261.67038),(45 260.9191),(46 262.66812),(47 261.2452),(48 259.83755),(49 263.7217),(50 264.31378),(51 260.94913),(52 260.50336),(53 262.25568),(54 263.48138),(55 264.35678),(56 260.44962),(57 263.11838),(58 260.3844),(59 259.3097),(60 259.82593),(61 260.0714),(62 260.43158),(63 262.57172),(64 261.65274),(65 262.26184),(66 264.45227),(67 267.49857),(68 269.05252),(69 267.34494),(70 271.2697),(71 272.19052),(72 272.51846),(73 272.91956),(74 274.22113),(75 271.5341),(76 269.3264),(77 269.81424),(78 269.46274),(79 269.55923),
(1 151.81914),(2 191.07652),(3 210.22847),(4 221.24388),(5 227.72665),(6 234.90427),(7 243.83238),(8 248.10428),(9 250.08844),(10 249.16467),(11 251.70517),(12 258.38428),(13 258.062),(14 260.1078),(15 259.03644),(16 263.44394),(17 264.8076),(18 262.92294),(19 263.998),(20 259.83212),(21 260.03845),(22 264.51096),(23 265.81967),(24 266.93515),(25 265.72192),(26 266.6905),(27 268.1236),(28 268.46066),(29 267.27896),(30 268.18427),(31 266.31354),(32 265.95605),(33 267.7207),(34 269.69315),(35 269.96896),(36 272.45743),(37 272.44504),(38 271.86462),(39 268.28137),(40 265.96118),(41 262.80966),(42 260.9978),(43 258.97864),(44 258.9356),(45 259.1015),(46 257.33078),(47 258.9433),(48 255.8671),(49 258.68793),(50 256.4617),(51 257.44388),(52 258.4888),(53 257.78918),(54 258.43896),(55 261.20386),(56 260.9062),(57 262.5833),(58 259.84872),(59 262.4763),(60 264.78082),(61 262.9957),(62 262.59305),(63 260.9542),(64 262.06082),(65 262.98834),(66 265.93903),(67 266.37427),(68 266.41614),(69 263.96774),(70 262.2779),(71 259.53018),(72 258.02457),(73 262.91855),(74 264.1726),(75 263.43506),(76 262.59872),(77 263.0399),(78 267.1534),(79 264.77155),
(1 148.37949),(2 187.43593),(3 203.50154),(4 215.07268),(5 221.35112),(6 229.77649),(7 237.10176),(8 243.50911),(9 245.84872),(10 243.50072),(11 249.14688),(12 251.34418),(13 252.10196),(14 252.49632),(15 251.63284),(16 251.44914),(17 253.37097),(18 249.46722),(19 250.39973),(20 248.97903),(21 248.87476),(22 248.16422),(23 249.71564),(24 252.81491),(25 253.1127),(26 252.43196),(27 252.8121),(28 253.05719),(29 254.03404),(30 252.60081),(31 252.35374),(32 253.5501),(33 251.37537),(34 250.93016),(35 251.30571),(36 250.80788),(37 250.26056),(38 255.29265),(39 252.65967),(40 253.33278),(41 253.47096),(42 251.77821),(43 251.61179),(44 251.2799),(45 252.58885),(46 250.85172),(47 251.17914),(48 251.63062),(49 250.38153),(50 254.23233),(51 256.62482),(52 253.74074),(53 251.60785),(54 252.2458),(55 255.01793),(56 255.08656),(57 255.02243),(58 252.81177),(59 253.31961),(60 249.8032),(61 251.34114),(62 251.62865),(63 250.7736),(64 253.28227),(65 256.81668),(66 256.39752),(67 259.2371),(68 263.3893),(69 264.82617),(70 263.778),(71 263.5324),(72 264.68268),(73 266.5445),(74 265.3972),(75 263.69498),(76 262.9789),(77 260.91705),(78 260.1362),(79 260.7173),
(1 146.95015),(2 185.83815),(3 200.34344),(4 215.07993),(5 224.2618),(6 229.72786),(7 236.0856),(8 236.99167),(9 240.08054),(10 242.56898),(11 248.3687),(12 252.43944),(13 253.90771),(14 254.84383),(15 253.23164),(16 251.80417),(17 251.14383),(18 250.6712),(19 255.03714),(20 251.67032),(21 250.99425),(22 252.29478),(23 253.95822),(24 254.50034),(25 253.85385),(26 260.8624),(27 259.5133),(28 258.65955),(29 261.23868),(30 260.84998),(31 258.14484),(32 257.66455),(33 259.20197),(34 259.31952),(35 259.2629),(36 261.83612),(37 260.516),(38 261.03122),(39 260.3871),(40 256.89594),(41 255.28592),(42 257.82166),(43 253.84103),(44 254.349),(45 257.34427),(46 255.01357),(47 254.28029),(48 257.22278),(49 258.99997),(50 258.41614),(51 259.45218),(52 256.46582),(53 257.42496),(54 258.66776),(55 259.81705),(56 254.5513),(57 254.55214),(58 252.9664),(59 255.32513),(60 254.27443),(61 253.77188),(62 254.81674),(63 254.11674),(64 253.52809),(65 256.17532),(66 258.0125),(67 258.975),(68 260.3087),(69 258.0774),(70 257.3231),(71 256.37674),(72 256.30258),(73 255.74635),(74 258.54767),(75 256.4),(76 257.23444),(77 259.07562),(78 257.97058),(79 257.47177),
(1 142.9867),(2 179.22812),(3 196.91844),(4 207.86333),(5 219.07753),(6 225.40417),(7 232.96286),(8 234.27203),(9 236.6378),(10 238.00865),(11 241.50595),(12 246.45557),(13 247.83301),(14 246.5167),(15 246.0584),(16 246.40392),(17 250.27484),(18 246.47188),(19 249.34682),(20 249.32994),(21 249.56413),(22 252.26274),(23 251.33707),(24 253.62154),(25 252.82744),(26 254.5788),(27 254.90048),(28 255.6207),(29 251.20943),(30 251.40057),(31 253.07289),(32 254.99524),(33 255.03383),(34 255.78973),(35 255.51263),(36 257.5457),(37 256.69547),(38 259.44632),(39 252.85017),(40 255.18668),(41 253.23897),(42 250.6332),(43 250.84999),(44 250.32407),(45 253.53252),(46 254.92657),(47 255.99649),(48 252.32271),(49 253.58315),(50 254.09497),(51 254.06996),(52 250.1747),(53 250.98206),(54 250.52722),(55 253.71881),(56 255.77199),(57 256.7107),(58 254.51851),(59 252.60428),(60 253.4708),(61 254.1978),(62 254.47456),(63 253.68759),(64 253.35075),(65 253.49553),(66 255.63562),(67 256.05408),(68 256.10364),(69 256.8336),(70 255.97673),(71 256.35092),(72 257.42133),(73 256.94995),(74 260.786),(75 255.52245),(76 256.1293),(77 256.96747),(78 256.4059),(79 256.1372),
(1 143.83202),(2 178.97128),(3 194.83597),(4 205.4533),(5 216.78128),(6 220.84938),(7 225.20232),(8 231.02823),(9 232.03519),(10 235.5151),(11 241.46962),(12 243.0361),(13 242.65819),(14 244.62228),(15 244.1415),(16 242.11092),(17 241.49396),(18 237.1463),(19 237.9074),(20 239.42633),(21 239.832),(22 242.46799),(23 244.07501),(24 246.03235),(25 245.91086),(26 247.80405),(27 247.34677),(28 245.84723),(29 244.48822),(30 246.8583),(31 245.783),(32 244.80634),(33 244.28249),(34 245.82729),(35 246.3288),(36 245.03423),(37 246.84256),(38 249.35745),(39 246.84842),(40 247.72733),(41 246.32513),(42 246.98428),(43 246.03358),(44 244.63222),(45 245.5688),(46 245.07207),(47 243.38794),(48 242.0874),(49 244.91512),(50 247.35048),(51 246.73277),(52 245.71594),(53 246.5144),(54 246.50224),(55 248.62811),(56 248.62546),(57 247.82446),(58 246.01091),(59 245.23285),(60 246.31584),(61 248.49728),(62 248.36264),(63 247.23293),(64 246.00484),(65 248.14653),(66 248.98941),(67 250.12198),(68 250.86583),(69 252.8672),(70 254.7612),(71 255.02814),(72 255.19238),(73 254.23833),(74 251.70338),(75 253.13254),(76 254.03354),(77 250.39687),(78 251.09921),(79 251.29784),
(1 142.76154),(2 178.27959),(3 192.10088),(4 205.05676),(5 217.01231),(6 222.57884),(7 227.29797),(8 228.55772),(9 232.02397),(10 233.44441),(11 236.71008),(12 236.1312),(13 240.43471),(14 240.386),(15 238.21114),(16 239.96909),(17 239.31265),(18 240.88887),(19 243.49652),(20 241.93059),(21 241.61816),(22 241.5685),(23 240.04721),(24 244.20311),(25 244.84906),(26 248.00992),(27 247.84619),(28 250.8853),(29 246.8479),(30 248.3499),(31 249.09418),(32 247.57133),(33 246.73526),(34 249.69373),(35 253.767),(36 252.37039),(37 250.42926),(38 252.8427),(39 252.32089),(40 250.24608),(41 247.7224),(42 246.6713),(43 244.64983),(44 245.7331),(45 243.42413),(46 244.75887),(47 244.12233),(48 243.3985),(49 245.1528),(50 244.24852),(51 241.44798),(52 243.09921),(53 242.07225),(54 244.87343),(55 243.44109),(56 244.64995),(57 244.69928),(58 244.35313),(59 247.13116),(60 248.17743),(61 245.49165),(62 243.48154),(63 244.44441),(64 245.44305),(65 247.69844),(66 247.54951),(67 251.58545),(68 252.29253),(69 252.73895),(70 251.69374),(71 251.9825),(72 249.68454),(73 250.35757),(74 251.00775),(75 249.9127),(76 250.79962),(77 246.76634),(78 249.14279),(79 247.27994),
(1 137.84332),(2 171.83345),(3 186.2028),(4 198.4912),(5 210.13632),(6 214.67421),(7 219.63118),(8 223.33371),(9 228.91837),(10 232.07631),(11 233.52222),(12 234.89934),(13 236.47891),(14 235.48122),(15 237.44426),(16 237.65239),(17 239.02695),(18 238.88869),(19 239.59676),(20 238.6639),(21 238.48387),(22 239.85597),(23 241.13087),(24 243.06091),(25 241.43352),(26 242.30655),(27 238.94978),(28 240.2408),(29 237.515),(30 242.1812),(31 241.21443),(32 240.1338),(33 239.64009),(34 239.81601),(35 240.80507),(36 243.837),(37 243.83492),(38 247.54704),(39 243.41313),(40 242.63002),(41 240.33101),(42 240.68141),(43 239.81212),(44 244.01581),(45 242.69914),(46 241.14265),(47 241.79008),(48 240.88367),(49 239.34692),(50 238.0211),(51 238.84059),(52 239.06125),(53 236.90918),(54 235.81595),(55 237.63902),(56 239.27167),(57 238.54874),(58 238.45561),(59 238.07579),(60 238.69797),(61 237.29405),(62 237.97864),(63 236.32855),(64 237.1183),(65 237.27953),(66 241.04175),(67 244.26755),(68 245.77206),(69 241.92581),(70 244.39737),(71 243.7756),(72 245.26544),(73 241.98215),(74 244.0107),(75 243.82964),(76 243.26729),(77 242.2701),(78 243.3045),(79 243.1575),
(1 136.48152),(2 169.34067),(3 184.211),(4 195.50537),(5 203.49774),(6 207.65161),(7 211.50702),(8 214.8472),(9 216.75568),(10 217.47798),(11 220.66165),(12 225.57607),(13 226.54898),(14 225.15532),(15 223.63222),(16 228.60612),(17 230.74947),(18 226.42769),(19 226.21529),(20 224.4806),(21 222.2856),(22 223.07037),(23 226.27618),(24 228.54138),(25 229.96324),(26 232.02275),(27 232.74089),(28 234.35695),(29 233.60219),(30 234.98466),(31 232.48355),(32 231.65977),(33 230.48375),(34 230.85085),(35 231.0231),(36 235.3871),(37 233.50517),(38 240.7008),(39 235.22926),(40 235.79807),(41 233.3304),(42 236.09276),(43 232.96088),(44 232.99492),(45 232.86383),(46 234.26599),(47 229.43872),(48 230.97214),(49 228.96344),(50 230.68726),(51 231.77763),(52 230.37917),(53 232.36597),(54 232.31253),(55 236.09053),(56 237.02386),(57 237.18205),(58 234.60284),(59 236.4432),(60 236.24667),(61 235.92613),(62 236.49939),(63 235.03554),(64 233.74202),(65 237.26245),(66 235.47437),(67 238.213),(68 239.69301),(69 237.76926),(70 238.86823),(71 238.51595),(72 239.6972),(73 240.03928),(74 238.15883),(75 236.0693),(76 235.72594),(77 234.54187),(78 235.82121),(79 236.07793),
(1 134.91466),(2 170.08104),(3 185.2176),(4 196.75197),(5 203.2782),(6 210.65564),(7 212.33301),(8 216.15938),(9 220.94003),(10 221.60378),(11 225.96286),(12 225.83946),(13 228.51949),(14 231.76611),(15 229.60701),(16 231.31775),(17 233.41498),(18 231.31631),(19 233.82349),(20 231.3754),(21 230.37898),(22 233.33327),(23 235.46347),(24 237.18707),(25 237.4467),(26 240.1848),(27 235.45398),(28 238.08064),(29 237.19629),(30 235.9837),(31 237.95435),(32 238.52852),(33 236.32492),(34 237.0605),(35 234.80838),(36 235.28233),(37 234.75317),(38 235.95598),(39 233.46524),(40 231.8097),(41 230.85307),(42 230.74512),(43 229.6111),(44 231.41684),(45 231.95938),(46 231.6299),(47 230.61923),(48 231.58493),(49 232.7004),(50 233.38158),(51 231.66255),(52 233.09514),(53 235.14813),(54 234.00311),(55 235.35526),(56 235.41034),(57 233.80661),(58 232.8812),(59 232.54337),(60 232.85693),(61 233.82378),(62 235.3588),(63 233.503),(64 233.80458),(65 235.53734),(66 236.94725),(67 237.52861),(68 235.77159),(69 236.44511),(70 236.08504),(71 233.4459),(72 237.52074),(73 237.19421),(74 238.18234),(75 238.93108),(76 237.51857),(77 237.08945),(78 237.17134),(79 238.269),
(1 133.0294),(2 167.65607),(3 185.02763),(4 195.97502),(5 204.2417),(6 208.21353),(7 213.21652),(8 215.47212),(9 217.15785),(10 217.09149),(11 223.09775),(12 226.11815),(13 228.8548),(14 228.8242),(15 229.34183),(16 232.06985),(17 231.91309),(18 228.11182),(19 229.31023),(20 225.79507),(21 222.73543),(22 224.99355),(23 226.93253),(24 228.14204),(25 229.8573),(26 230.04729),(27 229.13895),(28 229.68123),(29 229.38321),(30 227.7236),(31 228.84831),(32 229.96648),(33 229.89316),(34 229.24197),(35 231.00238),(36 234.48393),(37 236.57642),(38 238.77597),(39 235.06795),(40 233.7695),(41 231.04498),(42 230.1829),(43 228.70274),(44 228.93597),(45 230.72311),(46 232.06258),(47 233.01859),(48 232.2194),(49 233.43436),(50 230.70995),(51 231.28699),(52 233.21198),(53 231.91081),(54 231.70668),(55 236.18533),(56 237.52551),(57 235.72696),(58 232.7637),(59 236.37996),(60 236.07281),(61 235.40788),(62 234.12375),(63 232.35573),(64 233.9014),(65 234.12082),(66 234.7869),(67 235.62411),(68 237.10683),(69 237.37865),(70 237.7244),(71 233.97237),(72 235.40205),(73 235.39262),(74 236.84763),(75 235.97458),(76 235.0339),(77 235.7637),(78 238.4738),(79 237.28412),
(1 129.18207),(2 162.99162),(3 178.94237),(4 189.25623),(5 198.34993),(6 202.38287),(7 206.91556),(8 210.63293),(9 216.06396),(10 216.29138),(11 219.73448),(12 224.14926),(13 225.21632),(14 225.99539),(15 227.54054),(16 227.03445),(17 226.46259),(18 225.23734),(19 223.85695),(20 220.99623),(21 221.27478),(22 225.72087),(23 224.52055),(24 227.57472),(25 224.96341),(26 228.15773),(27 223.96358),(28 228.07831),(29 229.45024),(30 226.8477),(31 225.30402),(32 227.2311),(33 225.6657),(34 229.30968),(35 226.57657),(36 230.60286),(37 230.83354),(38 233.8567),(39 229.42406),(40 229.87418),(41 228.5924),(42 229.01369),(43 226.70415),(44 224.30698),(45 223.96986),(46 225.35646),(47 228.02435),(48 227.4783),(49 228.0626),(50 228.394),(51 228.00592),(52 225.8265),(53 229.30571),(54 229.6928),(55 230.07893),(56 232.09999),(57 229.22592),(58 227.95435),(59 225.69156),(60 226.40373),(61 225.78813),(62 226.18878),(63 224.32039),(64 225.91776),(65 227.27895),(66 228.13881),(67 231.60564),(68 230.92805),(69 231.69438),(70 228.15163),(71 229.65643),(72 229.8967),(73 229.36177),(74 231.88683),(75 229.7208),(76 230.08067),(77 229.10925),(78 231.2349),(79 230.46574),
