1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 20630.164),(2 50097.137),(3 88533.75),(4 138460.23),(5 191955.92),(6 243801.5),(7 298845.16),(8 362205.16),(9 412094.75),(10 454166.5),(11 496147.5),(12 519008.13),(13 553230.56),(14 589945.2),(15 622017.3),(16 658751.94),(17 697811.44),(18 731449.25),(19 774774.25),(20 824590.2),(21 864361.2),(22 914693.25),(23 963769.44),(24 1002850.25),(25 1040553.75),(26 1068329.4),(27 1078258.5),(28 1091191.6),(29 1104389.6),(30 1150156),(31 1180339.5),(32 1227554.9),(33 1298320.9),(34 1355190.1),(35 1429105.1),(36 1494866.4),(37 1543892.4),(38 1619346),(39 1672921.6),(40 1689497.6),(41 1733111.4),(42 1762733.4),(43 1769389),(44 1799398),(45 1830022),(46 1846007.1),(47 1865655.1),(48 1882064.9),(49 1929153.6),(50 1990481.9),(51 2068547),(52 2145370),(53 2242240),(54 2317773.8),(55 2452234.3),(56 2554841.3),(57 2663873.8),(58 2772184.5),(59 2883696),(60 3002650.8),(61 3137946),(62 3292604),(63 3430741.8),(64 3553940.8),(65 3681838.8),(66 3793642.8),(67 3920637.8),(68 4073888.3),(69 4223992),(70 4372622.5),(71 4512168),(72 4638768),(73 4783180.5),(74 4882308.5),(75 4995324.5),(76 5102508.5),(77 5222523.5),(78 5313596),(79 5414284),
(1 2958.3757),(2 5496.9165),(3 7158.5947),(4 8473.323),(5 9647.315),(6 10441.028),(7 11179.992),(8 11940.773),(9 12356.741),(10 12744.622),(11 13243.84),(12 13480.247),(13 13762.14),(14 14082.109),(15 14017.146),(16 14087.534),(17 14321.768),(18 14293.024),(19 14468.746),(20 14656.25),(21 14685.693),(22 14685.804),(23 14625.466),(24 14423.874),(25 14386.583),(26 14503.399),(27 14280.606),(28 14245.528),(29 14472.04),(30 14546.084),(31 14737.44),(32 14796.188),(33 14638.538),(34 14729.661),(35 14706.054),(36 14720.386),(37 14944.186),(38 14765.759),(39 14558.207),(40 14566.648),(41 14464.717),(42 14482.873),(43 14729.122),(44 14653.768),(45 14587.3545),(46 14806.278),(47 14875.689),(48 15002.835),(49 15088.131),(50 15086.663),(51 15234.799),(52 15263.821),(53 15146.806),(54 15321.894),(55 15529.021),(56 15363.601),(57 15301.097),(58 15476.155),(59 15475.773),(60 15701.418),(61 15994.478),(62 15990.686),(63 16047.89),(64 16240.171),(65 16222.141),(66 16080.883),(67 16247.367),(68 16120.752),(69 16194.819),(70 16367.934),(71 16357.426),(72 16274.95),(73 16244.49),(74 15914.678),(75 15749.357),(76 15847.828),(77 15793.116),(78 15676.065),(79 15646.637),
(1 2944.0469),(2 5455.161),(3 7071.9995),(4 8365.342),(5 9861.642),(6 10652.275),(7 11380.957),(8 11935.287),(9 12348.65),(10 12698.062),(11 13097.955),(12 13162.379),(13 13458.929),(14 13818.222),(15 13776.508),(16 13826.391),(17 14077.222),(18 14097.527),(19 14206.965),(20 14475.27),(21 14531.718),(22 14530.686),(23 14546.667),(24 14330.091),(25 14328.738),(26 14410.056),(27 14283.988),(28 14179.889),(29 14449.248),(30 14566.853),(31 15075.771),(32 15321.917),(33 15230.994),(34 15231.896),(35 15203.505),(36 15247.887),(37 15339.393),(38 15169.398),(39 15117.535),(40 15336.621),(41 15228.861),(42 15131.584),(43 15234.028),(44 15306.205),(45 15416.852),(46 15673.735),(47 15527.881),(48 15470.767),(49 15530.055),(50 15333.491),(51 15481.575),(52 15583.7),(53 15471.909),(54 15437.397),(55 15446.018),(56 15261.241),(57 15320.599),(58 15495.35),(59 15553.714),(60 15657.727),(61 15780.838),(62 15686.769),(63 15705.064),(64 15857.771),(65 15687.517),(66 15603.592),(67 15632.568),(68 15625.93),(69 15798.642),(70 15982.712),(71 15891.689),(72 15959.915),(73 16200.57),(74 16022.792),(75 15858.237),(76 15942.366),(77 15709.001),(78 15641.597),(79 15926.722),
(1 2828.5613),(2 5380.1646),(3 6947.9253),(4 8080.3545),(5 9284.189),(6 9827.479),(7 10361.07),(8 10780.077),(9 11087.936),(10 11412.636),(11 11792.96),(12 11875.154),(13 12207.178),(14 12494.565),(15 12564.793),(16 12541.228),(17 12838.583),(18 12943.185),(19 12973.593),(20 13318.202),(21 13359.626),(22 13413.929),(23 13546.619),(24 13598.552),(25 13609.984),(26 13762.619),(27 13781.562),(28 13942.711),(29 14489.651),(30 14563.203),(31 14838.3955),(32 14832.227),(33 14628.215),(34 14597.445),(35 14555.385),(36 14512.337),(37 14610.586),(38 14557.717),(39 14604.732),(40 14863.98),(41 14626.05),(42 14639.564),(43 14556.358),(44 14569.355),(45 14618.687),(46 14611.5205),(47 14579.326),(48 14603.91),(49 14774.637),(50 14799.172),(51 14988.676),(52 15099.83),(53 14917.243),(54 14959.626),(55 15020.808),(56 14811.675),(57 14854.783),(58 14908.502),(59 14794.489),(60 14755.528),(61 14933.027),(62 14871.271),(63 14835.895),(64 14854.355),(65 14586.18),(66 14582.639),(67 14632.47),(68 14478.407),(69 14513.187),(70 14512.538),(71 14350.685),(72 14288.251),(73 14245.543),(74 14275.349),(75 14492.786),(76 14598.022),(77 14355.766),(78 14282.502),(79 14335.801),
(1 2781.72),(2 5143.2866),(3 6685.396),(4 7778.447),(5 8959.469),(6 9396.819),(7 9833.191),(8 10284.08),(9 10648.127),(10 10996.186),(11 11343.967),(12 11411.17),(13 11596.284),(14 11868.928),(15 11896.77),(16 11879.228),(17 12008.564),(18 11988.266),(19 12055.715),(20 12254.8955),(21 12237.139),(22 12305.455),(23 12457.165),(24 12418.206),(25 12589.33),(26 12927.34),(27 13009.215),(28 13208.896),(29 13615.728),(30 13894.696),(31 14092.028),(32 14048.469),(33 14054.108),(34 14179.926),(35 14200.076),(36 14107.706),(37 14187.7),(38 14022.799),(39 13966.234),(40 14094.937),(41 14073.14),(42 14163.635),(43 14152.426),(44 14158.439),(45 14213.314),(46 14375.826),(47 14337.573),(48 14506.85),(49 14559.499),(50 14379.641),(51 14228.081),(52 14231.111),(53 14224.182),(54 14220.293),(55 14241.935),(56 14064.857),(57 14105.792),(58 14274.825),(59 14212.199),(60 14128.15),(61 14220.896),(62 13980.196),(63 13846.801),(64 13900.882),(65 13773.112),(66 13606.178),(67 13700.96),(68 13367.477),(69 13356.217),(70 13472.01),(71 13396.12),(72 13412.388),(73 13552.045),(74 13458.717),(75 13557.424),(76 13853.798),(77 13811.662),(78 13775.242),(79 13744.786),
(1 2772.8435),(2 5121.9604),(3 6598.9526),(4 7691.7056),(5 8836.8125),(6 9179.9795),(7 9583.718),(8 10083.491),(9 10453.079),(10 10731.9),(11 11069.877),(12 11300.179),(13 11445.017),(14 11762.103),(15 11688.949),(16 11720.936),(17 11986.175),(18 11982.2295),(19 12114.764),(20 12293.693),(21 12360.461),(22 12355.599),(23 12572.034),(24 12424.259),(25 12593.257),(26 12567.684),(27 12595.095),(28 12596.993),(29 12885.593),(30 13012.729),(31 13126.026),(32 13223.056),(33 13278.671),(34 13424.85),(35 13283.18),(36 13265.629),(37 13485.505),(38 13342.799),(39 13277.33),(40 13572.171),(41 13430.736),(42 13496.4795),(43 13693.146),(44 13615.994),(45 13521.874),(46 13606.676),(47 13662.448),(48 13687.693),(49 13780.706),(50 13621.464),(51 13486.698),(52 13439.701),(53 13339.492),(54 13467.737),(55 13580.101),(56 13420.864),(57 13519.339),(58 13660.814),(59 13449.731),(60 13522.607),(61 13664.1875),(62 13529.536),(63 13560.099),(64 13777.343),(65 13620.591),(66 13461.085),(67 13451.965),(68 13306.274),(69 13300.803),(70 13448.634),(71 13406.259),(72 13443.012),(73 13562.928),(74 13446.8),(75 13423.003),(76 13355.93),(77 13292.08),(78 13350.276),(79 13439.869),
(1 2700.8906),(2 4968.9336),(3 6469.186),(4 7568.087),(5 8470.122),(6 8788.532),(7 9142.907),(8 9608.301),(9 10077.481),(10 10390.809),(11 10715.462),(12 10944.198),(13 11135.403),(14 11454.019),(15 11369.837),(16 11546.624),(17 11898.329),(18 11999.319),(19 12136.984),(20 12416.747),(21 12474.702),(22 12506.341),(23 12538.574),(24 12458.12),(25 12483.624),(26 12582.536),(27 12646.36),(28 12612.993),(29 12883.94),(30 13069.131),(31 13322.204),(32 13229.13),(33 13228.073),(34 13383.802),(35 13340.729),(36 13409.892),(37 13434.918),(38 13386.922),(39 13241.575),(40 13448.749),(41 13310.407),(42 13264.528),(43 13444.423),(44 13401.1875),(45 13270.705),(46 13467.686),(47 13470.889),(48 13411.951),(49 13288.776),(50 13107.579),(51 13032.702),(52 12957.897),(53 12754.978),(54 12813.28),(55 12852.054),(56 12844.093),(57 12862.25),(58 12876.555),(59 12851.531),(60 12937.005),(61 13176.404),(62 13033.677),(63 12970.786),(64 13098.7),(65 12833.805),(66 12817.098),(67 13075.587),(68 13010.637),(69 12931.061),(70 13010.814),(71 12737.066),(72 12636.46),(73 12657.255),(74 12595.363),(75 12476.577),(76 12586.457),(77 12626.816),(78 12791.631),(79 12955.531),
(1 2691.6611),(2 4946.647),(3 6463.4033),(4 7522.4067),(5 8476.988),(6 8812.022),(7 9099.578),(8 9581.679),(9 10019.401),(10 10357.664),(11 10836.07),(12 10993.549),(13 11182.8955),(14 11444.732),(15 11449.104),(16 11615.601),(17 11839.646),(18 11873.359),(19 11978.03),(20 12092.084),(21 12001.048),(22 11999.618),(23 12192.69),(24 12122.29),(25 12169.585),(26 12277.438),(27 12228.767),(28 12367.152),(29 12642.785),(30 12752.582),(31 12944.143),(32 12909.729),(33 13015.279),(34 13192.593),(35 13004.892),(36 13057.879),(37 13141.929),(38 13087.345),(39 13049.841),(40 13174.078),(41 12973.98),(42 12847.546),(43 12905.72),(44 12658.617),(45 12563.12),(46 12700.152),(47 12720.345),(48 12690.685),(49 12667.559),(50 12420.989),(51 12377.466),(52 12479.846),(53 12396.493),(54 12510.736),(55 12500.921),(56 12459.1875),(57 12588.354),(58 12815.339),(59 12624.067),(60 12610.828),(61 12770.706),(62 12683.24),(63 12702),(64 12805.518),(65 12695.613),(66 12640.588),(67 12766.54),(68 12694.602),(69 12624.264),(70 12612.382),(71 12409.547),(72 12357.973),(73 12405.225),(74 12416.866),(75 12531.151),(76 12654.07),(77 12725.774),(78 12804.763),(79 12947.34),
(1 2602.915),(2 4864.8745),(3 6316.869),(4 7315.3706),(5 8193.293),(6 8550.259),(7 9027.658),(8 9465.713),(9 9686.455),(10 9944.708),(11 10293.132),(12 10370.831),(13 10513.681),(14 10808.876),(15 10781.532),(16 10844.488),(17 11091.219),(18 11087.055),(19 11317.034),(20 11638.964),(21 11636.079),(22 11629.413),(23 11725.187),(24 11502.907),(25 11570.154),(26 11792.455),(27 11742.939),(28 11894.45),(29 12174.938),(30 12218.065),(31 12284.839),(32 12275.2705),(33 12538.375),(34 12742.214),(35 12757.239),(36 12717.505),(37 12745.427),(38 12631.037),(39 12551.623),(40 12525.952),(41 12230.125),(42 12223.704),(43 12285.948),(44 12180.118),(45 12041.692),(46 12086.79),(47 12021.075),(48 11971.586),(49 12048.988),(50 11965.171),(51 11906.97),(52 11950.877),(53 11923.391),(54 11894.407),(55 12152.05),(56 12261.219),(57 12392.914),(58 12466.768),(59 12276.1875),(60 12227.607),(61 12356.776),(62 12275.492),(63 12300.619),(64 12357.526),(65 12188.204),(66 12012.548),(67 12028.22),(68 11861.215),(69 11848.85),(70 11967.266),(71 11899.057),(72 11768.322),(73 11761.907),(74 11779.192),(75 11859.483),(76 12053.92),(77 12173.958),(78 12303.483),(79 12421.851),
(1 2561.0818),(2 4776.5664),(3 6239.789),(4 7376.699),(5 8431.503),(6 8848.812),(7 9276.669),(8 9735.197),(9 10054.403),(10 10294.285),(11 10634.689),(12 10771.711),(13 10923.414),(14 11012.414),(15 10931.73),(16 11077.1045),(17 11317.349),(18 11467.265),(19 11662.122),(20 12014.671),(21 12069.15),(22 12057.852),(23 12053.707),(24 11745.853),(25 11641.929),(26 11766.903),(27 11864.731),(28 11987.92),(29 12095.743),(30 12209.803),(31 12270.206),(32 12200.393),(33 12375.205),(34 12521.814),(35 12545.926),(36 12324.138),(37 12426.699),(38 12291.15),(39 12168.969),(40 12150.318),(41 11953.961),(42 11897.895),(43 11909.004),(44 11912.258),(45 12060.465),(46 12294.892),(47 12199.754),(48 12254.196),(49 12293.541),(50 12304.306),(51 12482.508),(52 12530.459),(53 12424.216),(54 12351.14),(55 12593.622),(56 12536.253),(57 12662.25),(58 12848),(59 12758.973),(60 12732.296),(61 12743.117),(62 12657.482),(63 12629.268),(64 12774.389),(65 12583.912),(66 12433.388),(67 12628.927),(68 12454.666),(69 12402.873),(70 12461.966),(71 12369.554),(72 12336.073),(73 12486.575),(74 12481.956),(75 12426.413),(76 12496.355),(77 12509.753),(78 12755.885),(79 12993.807),
(1 2475.061),(2 4661.117),(3 6074.7417),(4 6965.767),(5 7695.2856),(6 8052.914),(7 8514.743),(8 9018.43),(9 9380.396),(10 9666.026),(11 10105.913),(12 10230.51),(13 10388.786),(14 10592.25),(15 10553.543),(16 10799.921),(17 11110.078),(18 11161.109),(19 11273.574),(20 11366.81),(21 11219.338),(22 11262.097),(23 11312.609),(24 11241.115),(25 11166.918),(26 11315.411),(27 11396.636),(28 11574.2),(29 11858.005),(30 12019.092),(31 11976.169),(32 11785.247),(33 11889.512),(34 11951.292),(35 11932.035),(36 11809.085),(37 11915.141),(38 11781.571),(39 11627.853),(40 11674.007),(41 11557.73),(42 11537.14),(43 11614.005),(44 11683.885),(45 11805.232),(46 11875.179),(47 11760.143),(48 11753.878),(49 11792.434),(50 11586.276),(51 11611.779),(52 11634.177),(53 11588.134),(54 11625.345),(55 11807.242),(56 11807.849),(57 11994.581),(58 12245.672),(59 12163.474),(60 12220.885),(61 12371.384),(62 12183.427),(63 12084.2295),(64 12269.8125),(65 12137.019),(66 12006.204),(67 12132.883),(68 11890.71),(69 11884.965),(70 11999.397),(71 12000.545),(72 12001.4795),(73 12097.838),(74 12067.749),(75 11993.223),(76 12173.426),(77 12224.683),(78 12242.146),(79 12340.566),
(1 2460.5479),(2 4452.116),(3 5770.0596),(4 6668.0444),(5 7490.3027),(6 7888.1533),(7 8323),(8 8773.312),(9 9011.066),(10 9259.102),(11 9667.289),(12 9848.787),(13 10033.593),(14 10401.378),(15 10316.02),(16 10416.848),(17 10623.307),(18 10561.955),(19 10574.045),(20 10654.213),(21 10538.595),(22 10466.506),(23 10513.424),(24 10491.554),(25 10508.189),(26 10719.677),(27 10763.059),(28 10902.765),(29 11162.058),(30 11204.14),(31 11204.972),(32 11174.087),(33 11138.468),(34 11153.175),(35 11130.384),(36 11047.683),(37 11167.355),(38 11234.39),(39 11113.24),(40 11218.424),(41 11144.008),(42 11075.304),(43 11075.229),(44 10983.376),(45 11016.566),(46 11173.536),(47 11097.323),(48 11091.783),(49 11183.233),(50 11014.747),(51 10964.495),(52 10946.742),(53 10987.798),(54 11132.033),(55 11353.025),(56 11265.018),(57 11185.291),(58 11157.989),(59 11064.85),(60 11103.315),(61 11290.37),(62 11132.244),(63 11072.147),(64 11248.196),(65 11090.364),(66 11142.295),(67 11166.468),(68 10934.642),(69 10878.426),(70 11019.45),(71 10967.501),(72 10962.262),(73 11192.365),(74 11206.85),(75 11258.926),(76 11444.566),(77 11476.388),(78 11471.955),(79 11671.88),
(1 2411.8706),(2 4358.476),(3 5565.1987),(4 6420.237),(5 7263.895),(6 7654.7114),(7 8036.863),(8 8334.221),(9 8642.062),(10 8909.224),(11 9301.676),(12 9587.343),(13 9745.96),(14 10123.531),(15 10153.794),(16 10249.1045),(17 10320.7),(18 10235.269),(19 10250.495),(20 10331.67),(21 10294.671),(22 10301.283),(23 10396.413),(24 10423.36),(25 10412.822),(26 10530.642),(27 10638.485),(28 10697.482),(29 10864.699),(30 10821.73),(31 10859.996),(32 10806.957),(33 10729.6),(34 10878.35),(35 10777.111),(36 10650.019),(37 10833.905),(38 10791.508),(39 10760.761),(40 10959.581),(41 10908.341),(42 10727.897),(43 10891.499),(44 10830.247),(45 10802.948),(46 11054.659),(47 10997.375),(48 10980.945),(49 11137.854),(50 10994.09),(51 10953.304),(52 11004.174),(53 11024.721),(54 11029.413),(55 11167.189),(56 11150.052),(57 11062.589),(58 11110.6045),(59 10953.391),(60 11056.928),(61 11190.613),(62 10969.682),(63 10863.449),(64 10993.898),(65 10836.087),(66 10871.686),(67 10941.734),(68 10729.774),(69 10663.044),(70 10799.733),(71 10673.818),(72 10559.581),(73 10725.766),(74 10711.82),(75 10802.544),(76 10949.643),(77 10891.879),(78 11003.952),(79 11057.275),
(1 2276.7412),(2 4088.5103),(3 5346.611),(4 6181.7485),(5 7042.6147),(6 7487.8955),(7 7922.989),(8 8298.649),(9 8580.433),(10 8826.347),(11 9205.392),(12 9390.642),(13 9508.248),(14 9770.895),(15 9817.75),(16 9885.038),(17 10023.406),(18 9917.597),(19 9967.919),(20 10112.991),(21 10002.389),(22 10137.186),(23 10245.282),(24 10285.77),(25 10260.478),(26 10269.981),(27 10232.095),(28 10165.624),(29 10205.087),(30 10237.447),(31 10299.026),(32 10310.098),(33 10334.095),(34 10518.092),(35 10476.089),(36 10424.1875),(37 10576.114),(38 10541.368),(39 10608.141),(40 10743.188),(41 10675.321),(42 10673.799),(43 10839.093),(44 10828.309),(45 10992.212),(46 11210.427),(47 11246.654),(48 11286.724),(49 11273.772),(50 11120.871),(51 11074.472),(52 11094.483),(53 11064.381),(54 11024.777),(55 11088.148),(56 11063.322),(57 11114.004),(58 11277.012),(59 11114.942),(60 11084.25),(61 11225.672),(62 11062.745),(63 11014.092),(64 11150.114),(65 11025.723),(66 10939.972),(67 10962.739),(68 10838.598),(69 10888.864),(70 10931.883),(71 10763.438),(72 10695.4375),(73 10785.905),(74 10766.87),(75 10753.585),(76 10850.359),(77 10776.78),(78 10881.003),(79 11051.737),
(1 2269.862),(2 4170.123),(3 5397.205),(4 6149.4766),(5 6966.6475),(6 7371.6567),(7 7694.319),(8 7955.054),(9 8234.73),(10 8414.442),(11 8737.729),(12 8968.518),(13 9069.902),(14 9236.677),(15 9206.378),(16 9402.73),(17 9629.123),(18 9648.77),(19 9824.422),(20 9958.169),(21 9855.042),(22 9827.475),(23 9907.629),(24 9874.962),(25 9884.057),(26 10062.669),(27 10146.928),(28 10186.17),(29 10315.162),(30 10089.761),(31 10080.878),(32 10101.5),(33 10086.1875),(34 10277.773),(35 10369.379),(36 10378.661),(37 10419.41),(38 10470.703),(39 10523.983),(40 10713.976),(41 10590.169),(42 10577.703),(43 10732.758),(44 10813.039),(45 10750.526),(46 10836.6455),(47 10905.809),(48 10990.582),(49 11027.205),(50 10923.588),(51 10839.346),(52 10840.1455),(53 10829.518),(54 10903.764),(55 11073.249),(56 11051.016),(57 11167.512),(58 11230.746),(59 11104.98),(60 11079.29),(61 11249.228),(62 11028.28),(63 10940.375),(64 11073.676),(65 10898.501),(66 10723.608),(67 10785.72),(68 10706.083),(69 10750.214),(70 10773.0625),(71 10759.044),(72 10759.5205),(73 10832.505),(74 10747.045),(75 10812.296),(76 10952.392),(77 10929.016),(78 10949.069),(79 11048.325),
(1 2211.3994),(2 4049.7524),(3 5291.39),(4 6136.598),(5 6997.633),(6 7358.3296),(7 7767.8076),(8 8174.6147),(9 8435.977),(10 8676.95),(11 9032.982),(12 9078.779),(13 9103.349),(14 9292.283),(15 9280.481),(16 9333.717),(17 9639.507),(18 9645.329),(19 9808.227),(20 9996.593),(21 9904.968),(22 9904.583),(23 9776.341),(24 9733.521),(25 9674.665),(26 9835.92),(27 9866.204),(28 9862.258),(29 9851.918),(30 9821.226),(31 9854.044),(32 9790.585),(33 9768.498),(34 9947.519),(35 9929.721),(36 9899.445),(37 9952.725),(38 10027.935),(39 9951.555),(40 10093),(41 10053.36),(42 10038.444),(43 10084.023),(44 10034.713),(45 9914.263),(46 10025.553),(47 9938.86),(48 9951.723),(49 10095.825),(50 10034.919),(51 10153.884),(52 10083.269),(53 10133.841),(54 10231.774),(55 10362.206),(56 10325.891),(57 10349.718),(58 10604.047),(59 10526.627),(60 10460.831),(61 10621.592),(62 10482.689),(63 10468.657),(64 10476.669),(65 10357.821),(66 10259.528),(67 10310.626),(68 10111.836),(69 10138.157),(70 10093.347),(71 9918.425),(72 9959.469),(73 10074.594),(74 10097.425),(75 10162.474),(76 10336.489),(77 10418.755),(78 10487.996),(79 10691.362),
(1 2180.1343),(2 3956.0847),(3 5139.196),(4 6020.4287),(5 6856.7607),(6 7278.1504),(7 7672.882),(8 7987.8623),(9 8237.227),(10 8489.033),(11 8766.805),(12 8849.947),(13 8921.812),(14 9086.778),(15 9105.065),(16 9146.153),(17 9328.914),(18 9281.035),(19 9326.773),(20 9549.544),(21 9405.025),(22 9407.133),(23 9403.324),(24 9269.242),(25 9143.116),(26 9305.014),(27 9291.262),(28 9240.323),(29 9333.371),(30 9336.64),(31 9416.781),(32 9364.559),(33 9425.134),(34 9617.288),(35 9640.489),(36 9611.685),(37 9616.934),(38 9538.399),(39 9522.35),(40 9637.757),(41 9590.267),(42 9570.065),(43 9630.71),(44 9641.85),(45 9569.058),(46 9695.267),(47 9708.667),(48 9697.519),(49 9751.086),(50 9690.402),(51 9729.945),(52 9772.431),(53 9851.07),(54 9894.521),(55 9997.597),(56 10020.463),(57 9976.819),(58 10082.882),(59 9934.014),(60 10027.537),(61 10166.228),(62 10039.563),(63 10040.598),(64 10096.065),(65 10009.268),(66 10038.41),(67 10120.6),(68 9966.48),(69 9979.479),(70 10062.958),(71 9928.389),(72 9923.149),(73 9993.442),(74 10028.03),(75 10025.269),(76 10198.344),(77 10303.67),(78 10401.263),(79 10587.38),
(1 2150.772),(2 3884.6157),(3 4981.572),(4 5800.8),(5 6577.741),(6 7039.562),(7 7448.7065),(8 7887.977),(9 8171.751),(10 8423.94),(11 8656.965),(12 8666.651),(13 8828.616),(14 9011.027),(15 9014.222),(16 9144.223),(17 9311.835),(18 9260.431),(19 9247.819),(20 9416.276),(21 9300.879),(22 9239.546),(23 9259.849),(24 9191.163),(25 9211.348),(26 9330.217),(27 9198.039),(28 9165.638),(29 9220.872),(30 9244.141),(31 9378.949),(32 9406.716),(33 9365.498),(34 9487.636),(35 9538.096),(36 9604.878),(37 9750.676),(38 9725.122),(39 9663.695),(40 9828.1),(41 9808.604),(42 9812.221),(43 9956.041),(44 9903.323),(45 9933.183),(46 10071.93),(47 10162.49),(48 10096.882),(49 10180.402),(50 10115.072),(51 10093.199),(52 10196.143),(53 10158.073),(54 10049.136),(55 10141.779),(56 10055.552),(57 10051.844),(58 10180.586),(59 10084.262),(60 10047.359),(61 10172.171),(62 10037.453),(63 9953.715),(64 10058.767),(65 9978.444),(66 9945.538),(67 10018.483),(68 9907.509),(69 10042.759),(70 10147.438),(71 10119.192),(72 10098.915),(73 10212.479),(74 10117.3955),(75 10066.17),(76 10164.237),(77 10150.938),(78 10285.8955),(79 10333.303),
