1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.17884026),(2 0.17911701),(3 0.36534992),(4 0.59865075),(5 0.6150926),(6 0.6156604),(7 0.6748564),(8 0.7734811),(9 0.7521015),(10 0.75266254),(11 0.81389165),(12 0.8496399),(13 0.81501365),(14 0.8154015),(15 0.8497978),(16 0.87618935),(17 0.8531033),(18 0.8529478),(19 0.8943066),(20 0.9523946),(21 0.9303966),(22 0.93040425),(23 0.95002705),(24 0.9760878),(25 0.9305145),(26 0.9305206),(27 0.954684),(28 0.9699133),(29 0.93759745),(30 0.9272911),(31 0.9640355),(32 0.9496392),(33 1.0725996),(34 1.0716282),(35 1.0214736),(36 0.9887574),(37 1.0540147),(38 1.0518482),(39 1.0057238),(40 0.98330927),(41 1.0241185),(42 1.0213315),(43 0.99655455),(44 0.97869545),(45 1.0413276),(46 1.0411785),
(1 0.16269702),(2 0.16275418),(3 0.33418092),(4 0.54802233),(5 0.55697083),(6 0.5568336),(7 0.596839),(8 0.68344134),(9 0.6709176),(10 0.6711539),(11 0.7187517),(12 0.7652196),(13 0.74294144),(14 0.742742),(15 0.76007617),(16 0.7989099),(17 0.77071023),(18 0.7704848),(19 0.80850774),(20 0.84737206),(21 0.81705636),(22 0.8164311),(23 0.842774),(24 0.87167686),(25 0.82083344),(26 0.8207882),(27 0.8442636),(28 0.8671874),(29 0.83985376),(30 0.83399713),(31 0.8511286),(32 0.84237564),(33 0.96714437),(34 0.9663817),(35 0.9208941),(36 0.8796799),(37 0.9288381),(38 0.92685664),(39 0.8772026),(40 0.8627506),(41 0.91090745),(42 0.9076551),(43 0.8778103),(44 0.8582477),(45 0.9245533),(46 0.92429715),
(1 0.12435593),(2 0.12437002),(3 0.2557569),(4 0.40912953),(5 0.41551098),(6 0.41589156),(7 0.4469558),(8 0.5168166),(9 0.50398874),(10 0.5043865),(11 0.5418387),(12 0.56803155),(13 0.55478245),(14 0.55498284),(15 0.5746285),(16 0.5951749),(17 0.5734153),(18 0.57351345),(19 0.60690963),(20 0.6560459),(21 0.62717044),(22 0.6276627),(23 0.64307904),(24 0.6550681),(25 0.61709446),(26 0.6167273),(27 0.636544),(28 0.65148777),(29 0.62563753),(30 0.61846066),(31 0.6290978),(32 0.64073384),(33 0.734147),(34 0.7333203),(35 0.7028346),(36 0.6690643),(37 0.71398675),(38 0.71234125),(39 0.6746297),(40 0.66914064),(41 0.7193055),(42 0.7169184),(43 0.6834913),(44 0.66065675),(45 0.7068942),(46 0.7064532),
(1 0.09579105),(2 0.09597235),(3 0.19172306),(4 0.31385997),(5 0.31383923),(6 0.313852),(7 0.3361649),(8 0.38843587),(9 0.37932295),(10 0.37977424),(11 0.40484232),(12 0.4358619),(13 0.41789824),(14 0.41821286),(15 0.43352652),(16 0.45514575),(17 0.44417354),(18 0.4440347),(19 0.46589115),(20 0.4930769),(21 0.47474417),(22 0.4748209),(23 0.4810159),(24 0.48782486),(25 0.46659842),(26 0.46726188),(27 0.48089653),(28 0.49506176),(29 0.47971293),(30 0.47556773),(31 0.47833586),(32 0.4840568),(33 0.5565366),(34 0.55572575),(35 0.5314007),(36 0.49696022),(37 0.52902156),(38 0.52795285),(39 0.5134678),(40 0.50153667),(41 0.5356006),(42 0.5339757),(43 0.51724976),(44 0.50127274),(45 0.53066546),(46 0.5306797),
(1 0.076169804),(2 0.07637714),(3 0.15292832),(4 0.25072917),(5 0.25054306),(6 0.25079098),(7 0.2706009),(8 0.31209758),(9 0.3003251),(10 0.300727),(11 0.32299975),(12 0.33998924),(13 0.3256565),(14 0.32591248),(15 0.34023875),(16 0.35785913),(17 0.35292143),(18 0.35316828),(19 0.36857817),(20 0.39578342),(21 0.37832674),(22 0.3785111),(23 0.38968116),(24 0.39856523),(25 0.38080955),(26 0.38044786),(27 0.39028716),(28 0.39616573),(29 0.3855504),(30 0.38127822),(31 0.38657135),(32 0.3876599),(33 0.446284),(34 0.4455299),(35 0.43079665),(36 0.4029559),(37 0.4241094),(38 0.42301357),(39 0.40314606),(40 0.39410457),(41 0.42384538),(42 0.42254594),(43 0.41012073),(44 0.40761682),(45 0.43240157),(46 0.43205327),
(1 0.06439694),(2 0.064471185),(3 0.12712668),(4 0.20446208),(5 0.20699395),(6 0.20699799),(7 0.2207325),(8 0.2558276),(9 0.25125772),(10 0.2516507),(11 0.27192807),(12 0.28299344),(13 0.27443993),(14 0.27457866),(15 0.28474945),(16 0.30002344),(17 0.29870054),(18 0.29878953),(19 0.31112054),(20 0.3290531),(21 0.31529406),(22 0.31534266),(23 0.32045364),(24 0.32805055),(25 0.3137846),(26 0.3135628),(27 0.3214531),(28 0.32933205),(29 0.32334793),(30 0.3190289),(31 0.3209767),(32 0.32371697),(33 0.37149766),(34 0.3713229),(35 0.35673487),(36 0.3333974),(37 0.35292825),(38 0.35202023),(39 0.33633232),(40 0.32878345),(41 0.3477415),(42 0.34633425),(43 0.3394001),(44 0.34112012),(45 0.36518708),(46 0.36490068),
(1 0.055740424),(2 0.05581988),(3 0.10753856),(4 0.17549093),(5 0.17431052),(6 0.17438775),(7 0.18441476),(8 0.21477845),(9 0.21045509),(10 0.21072756),(11 0.22293732),(12 0.23857169),(13 0.22780983),(14 0.22775081),(15 0.23323123),(16 0.24820146),(17 0.24367243),(18 0.24380052),(19 0.25545827),(20 0.27593172),(21 0.2655765),(22 0.26573968),(23 0.27349004),(24 0.2824505),(25 0.26336282),(26 0.26326758),(27 0.26818722),(28 0.27383235),(29 0.2688667),(30 0.26550993),(31 0.26659292),(32 0.27323052),(33 0.31611893),(34 0.3154907),(35 0.29941526),(36 0.2809007),(37 0.29916972),(38 0.29809183),(39 0.28953043),(40 0.2802174),(41 0.29904312),(42 0.29754555),(43 0.2902546),(44 0.29057944),(45 0.30942518),(46 0.30912617),
(1 0.047243852),(2 0.047309503),(3 0.090370536),(4 0.14786145),(5 0.1511779),(6 0.15106681),(7 0.15830837),(8 0.18349558),(9 0.1812924),(10 0.18132992),(11 0.19510578),(12 0.20231494),(13 0.19180657),(14 0.19165073),(15 0.19917987),(16 0.21407656),(17 0.21138197),(18 0.2114069),(19 0.22311877),(20 0.23855717),(21 0.23049119),(22 0.2306608),(23 0.23330848),(24 0.24152139),(25 0.22571526),(26 0.2259938),(27 0.23216796),(28 0.23697782),(29 0.23218358),(30 0.23031741),(31 0.2309378),(32 0.23190708),(33 0.26681837),(34 0.26628363),(35 0.25473785),(36 0.24124582),(37 0.25690684),(38 0.25594464),(39 0.24515994),(40 0.2389936),(41 0.25646904),(42 0.25489628),(43 0.24757168),(44 0.24643673),(45 0.2667963),(46 0.2664923),
(1 0.03948),(2 0.03954331),(3 0.07374078),(4 0.12322123),(5 0.1241207),(6 0.124213144),(7 0.13400877),(8 0.1542443),(9 0.15309814),(10 0.15334249),(11 0.16256063),(12 0.17409143),(13 0.16416194),(14 0.1643776),(15 0.16775535),(16 0.1815267),(17 0.18076926),(18 0.18098792),(19 0.18671516),(20 0.20291434),(21 0.19479263),(22 0.19484355),(23 0.19883277),(24 0.20521924),(25 0.19103336),(26 0.19086026),(27 0.19444051),(28 0.19971809),(29 0.1954916),(30 0.19319347),(31 0.1943578),(32 0.19853343),(33 0.22597566),(34 0.22515877),(35 0.21526006),(36 0.20185341),(37 0.21463712),(38 0.21394496),(39 0.20400879),(40 0.2011878),(41 0.21437958),(42 0.21329042),(43 0.20744301),(44 0.20522574),(45 0.22079115),(46 0.2203712),
(1 0.034076955),(2 0.034122676),(3 0.06315786),(4 0.10382281),(5 0.10632455),(6 0.10629576),(7 0.11511134),(8 0.13351004),(9 0.1330837),(10 0.13304996),(11 0.14059183),(12 0.15044071),(13 0.14362116),(14 0.1438875),(15 0.14821446),(16 0.15795247),(17 0.15816058),(18 0.15823358),(19 0.16275954),(20 0.1764326),(21 0.17066003),(22 0.17083812),(23 0.17205779),(24 0.17608066),(25 0.1641746),(26 0.16423653),(27 0.16915947),(28 0.17737126),(29 0.1737881),(30 0.17082177),(31 0.1723703),(32 0.1747072),(33 0.19524993),(34 0.19460082),(35 0.18640785),(36 0.1774778),(37 0.18786593),(38 0.18721473),(39 0.17924954),(40 0.17771216),(41 0.19000453),(42 0.18902491),(43 0.18219955),(44 0.17945991),(45 0.19468568),(46 0.19449963),
(1 0.032203916),(2 0.03227106),(3 0.05900545),(4 0.09815019),(5 0.09845913),(6 0.09857723),(7 0.10590311),(8 0.124095306),(9 0.123058274),(10 0.12320692),(11 0.13189998),(12 0.14023285),(13 0.13237326),(14 0.13250227),(15 0.1357835),(16 0.14767954),(17 0.14577597),(18 0.14587255),(19 0.15002821),(20 0.1626514),(21 0.1545245),(22 0.15471765),(23 0.15698141),(24 0.1636396),(25 0.15325166),(26 0.1533123),(27 0.15691404),(28 0.16237482),(29 0.1583059),(30 0.15624827),(31 0.15651849),(32 0.15955634),(33 0.1831087),(34 0.18230292),(35 0.17319818),(36 0.16414453),(37 0.17430066),(38 0.17352167),(39 0.16554736),(40 0.1627076),(41 0.1750553),(42 0.17383198),(43 0.1681443),(44 0.16884021),(45 0.18214291),(46 0.18217383),
(1 0.027658153),(2 0.027733812),(3 0.05146597),(4 0.08595156),(5 0.08779196),(6 0.08790147),(7 0.09281568),(8 0.10815973),(9 0.10782281),(10 0.107888125),(11 0.11545011),(12 0.122191675),(13 0.11444763),(14 0.11462801),(15 0.119456),(16 0.13032754),(17 0.12878235),(18 0.12899661),(19 0.13406982),(20 0.14490622),(21 0.13742955),(22 0.13758335),(23 0.13935967),(24 0.14397109),(25 0.13593379),(26 0.13613497),(27 0.14009292),(28 0.14447258),(29 0.14142442),(30 0.138549),(31 0.13875125),(32 0.14266339),(33 0.16309224),(34 0.1624531),(35 0.1561808),(36 0.14630611),(37 0.15468568),(38 0.15377219),(39 0.14755002),(40 0.14425468),(41 0.1550275),(42 0.15397502),(43 0.15027942),(44 0.14905487),(45 0.16255759),(46 0.16244793),
(1 0.02542979),(2 0.025514342),(3 0.046265636),(4 0.07882855),(5 0.08020483),(6 0.08034408),(7 0.08462724),(8 0.1013613),(9 0.09957483),(10 0.099748805),(11 0.1067457),(12 0.11334119),(13 0.10653987),(14 0.10673118),(15 0.10882928),(16 0.11989612),(17 0.11758338),(18 0.117734894),(19 0.12120938),(20 0.1328018),(21 0.12738644),(22 0.12736493),(23 0.12689184),(24 0.13265909),(25 0.1254473),(26 0.1254817),(27 0.12917826),(28 0.13424799),(29 0.12990394),(30 0.12805326),(31 0.12947297),(32 0.13297258),(33 0.15081991),(34 0.15037404),(35 0.14404821),(36 0.13458858),(37 0.14228259),(38 0.14165388),(39 0.13594215),(40 0.13287894),(41 0.14273326),(42 0.14186844),(43 0.13778074),(44 0.13715562),(45 0.14836596),(46 0.14813788),
(1 0.02617653),(2 0.026193745),(3 0.046901215),(4 0.077205375),(5 0.07943961),(6 0.07949329),(7 0.08441041),(8 0.09887257),(9 0.0980479),(10 0.0981939),(11 0.105202705),(12 0.11317953),(13 0.10587589),(14 0.10591291),(15 0.10865868),(16 0.11777241),(17 0.11614473),(18 0.11636269),(19 0.12040885),(20 0.12981863),(21 0.12505664),(22 0.12506513),(23 0.12649998),(24 0.13012521),(25 0.12303524),(26 0.12298143),(27 0.12544705),(28 0.13225956),(29 0.12868355),(30 0.12640779),(31 0.12612833),(32 0.12887156),(33 0.14573878),(34 0.14523827),(35 0.13984826),(36 0.13263962),(37 0.14224142),(38 0.14157343),(39 0.13596408),(40 0.13196817),(41 0.14219786),(42 0.14109056),(43 0.13785577),(44 0.13712111),(45 0.14710698),(46 0.14672148),
(1 0.024709864),(2 0.024752991),(3 0.044358347),(4 0.07318246),(5 0.07385107),(6 0.07404939),(7 0.078263424),(8 0.09216929),(9 0.09133936),(10 0.091542445),(11 0.098521605),(12 0.10594512),(13 0.09973987),(14 0.09981738),(15 0.10152564),(16 0.11235299),(17 0.10980188),(18 0.1101173),(19 0.112962745),(20 0.12330243),(21 0.11771437),(22 0.11794279),(23 0.11899298),(24 0.12481474),(25 0.11601459),(26 0.11610657),(27 0.11940236),(28 0.12435247),(29 0.12077153),(30 0.11859553),(31 0.11864239),(32 0.12195204),(33 0.13821211),(34 0.13774459),(35 0.132867),(36 0.124924205),(37 0.13354515),(38 0.13269061),(39 0.12641911),(40 0.123807505),(41 0.13261797),(42 0.1315571),(43 0.12843622),(44 0.12796824),(45 0.1388406),(46 0.13863744),
(1 0.022638444),(2 0.02268746),(3 0.039919455),(4 0.06721051),(5 0.0683072),(6 0.06849479),(7 0.07226342),(8 0.08745978),(9 0.08491374),(10 0.085015565),(11 0.090682484),(12 0.09684669),(13 0.09050401),(14 0.090517916),(15 0.09336186),(16 0.103920296),(17 0.1012414),(18 0.10148117),(19 0.105629295),(20 0.11507756),(21 0.109327145),(22 0.10943631),(23 0.11042539),(24 0.11450803),(25 0.10710981),(26 0.107294),(27 0.109007604),(28 0.11460527),(29 0.11120398),(30 0.109193444),(31 0.11013773),(32 0.1124825),(33 0.13083923),(34 0.1300731),(35 0.1219971),(36 0.1156369),(37 0.124188855),(38 0.12336366),(39 0.11758134),(40 0.11586285),(41 0.12447858),(42 0.12336906),(43 0.1199795),(44 0.11942105),(45 0.12972268),(46 0.12954935),
(1 0.02050275),(2 0.020550855),(3 0.036226306),(4 0.06289028),(5 0.06291793),(6 0.06308423),(7 0.06685774),(8 0.08042588),(9 0.07958657),(10 0.07963744),(11 0.084619686),(12 0.089957014),(13 0.084995784),(14 0.0851161),(15 0.087372184),(16 0.09659429),(17 0.09481636),(18 0.09503162),(19 0.09874725),(20 0.10806285),(21 0.10226073),(22 0.10238851),(23 0.1030519),(24 0.1071059),(25 0.10045613),(26 0.10044627),(27 0.10318488),(28 0.108352326),(29 0.10334713),(30 0.101892896),(31 0.10349386),(32 0.10645397),(33 0.12197346),(34 0.12140096),(35 0.11477283),(36 0.10922437),(37 0.115606375),(38 0.11486325),(39 0.10951808),(40 0.106704235),(41 0.11483402),(42 0.11407251),(43 0.109611906),(44 0.11115448),(45 0.12092141),(46 0.12070485),
(1 0.019928293),(2 0.02000486),(3 0.03435095),(4 0.060685433),(5 0.060645245),(6 0.060820997),(7 0.06478511),(8 0.07799976),(9 0.07692715),(10 0.076981336),(11 0.08111576),(12 0.08650874),(13 0.08188645),(14 0.08199366),(15 0.08423236),(16 0.09347396),(17 0.09114925),(18 0.091294125),(19 0.09479969),(20 0.10395211),(21 0.09813109),(22 0.0981597),(23 0.098405376),(24 0.103578866),(25 0.09682006),(26 0.09688745),(27 0.1001737),(28 0.10407498),(29 0.099224344),(30 0.097817376),(31 0.09987869),(32 0.10214893),(33 0.11692846),(34 0.11612958),(35 0.11088614),(36 0.10571283),(37 0.11125178),(38 0.11056134),(39 0.10623371),(40 0.10409712),(41 0.11206769),(42 0.11113359),(43 0.10781911),(44 0.10762858),(45 0.116773866),(46 0.1165707),
(1 0.019439045),(2 0.019506643),(3 0.033537675),(4 0.058055412),(5 0.05876631),(6 0.058913413),(7 0.06263374),(8 0.074011885),(9 0.07324775),(10 0.07336575),(11 0.07862408),(12 0.08385407),(13 0.079377264),(14 0.079436034),(15 0.08081071),(16 0.09051818),(17 0.088327155),(18 0.088404186),(19 0.092269264),(20 0.10058509),(21 0.09501446),(22 0.0951377),(23 0.09549272),(24 0.10093423),(25 0.094295025),(26 0.094431765),(27 0.09676054),(28 0.10119302),(29 0.09708033),(30 0.09552677),(31 0.09774101),(32 0.09981828),(33 0.11442162),(34 0.113678455),(35 0.10669085),(36 0.101378076),(37 0.108119816),(38 0.107467234),(39 0.10207204),(40 0.09980612),(41 0.10774492),(42 0.10706664),(43 0.10324803),(44 0.10425471),(45 0.11327432),(46 0.11307991),
(1 0.018394347),(2 0.018454935),(3 0.031112144),(4 0.05389414),(5 0.05515665),(6 0.055227198),(7 0.05816085),(8 0.06974279),(9 0.06955012),(10 0.06970642),(11 0.07472242),(12 0.078901805),(13 0.07429276),(14 0.074308135),(15 0.07600932),(16 0.08462368),(17 0.084301874),(18 0.08452785),(19 0.087385364),(20 0.09372653),(21 0.090655275),(22 0.09088776),(23 0.08970792),(24 0.09399195),(25 0.088473946),(26 0.08867025),(27 0.09050266),(28 0.095726505),(29 0.09189469),(30 0.09032966),(31 0.09124049),(32 0.0937711),(33 0.10669191),(34 0.10621231),(35 0.10069841),(36 0.09532587),(37 0.101689674),(38 0.10111725),(39 0.09607144),(40 0.09475736),(41 0.10054366),(42 0.099766895),(43 0.09828881),(44 0.09896339),(45 0.10666458),(46 0.10647312),
(1 0.017067727),(2 0.017084045),(3 0.028586807),(4 0.048325237),(5 0.049277056),(6 0.049422994),(7 0.053191382),(8 0.063515306),(9 0.0625954),(10 0.06271978),(11 0.066900484),(12 0.07029518),(13 0.06678194),(14 0.066872105),(15 0.0681228),(16 0.07509646),(17 0.074090324),(18 0.07422755),(19 0.07652607),(20 0.082948476),(21 0.08044657),(22 0.080596834),(23 0.0808506),(24 0.083229505),(25 0.07922161),(26 0.07925667),(27 0.08110172),(28 0.08418039),(29 0.08165568),(30 0.08050939),(31 0.081068106),(32 0.08335274),(33 0.09430338),(34 0.09389617),(35 0.089859456),(36 0.085389316),(37 0.08992546),(38 0.08928615),(39 0.08617166),(40 0.08341745),(41 0.08898883),(42 0.08827043),(43 0.086370654),(44 0.08756877),(45 0.09421139),(46 0.094062656),
(1 0.00977357),(2 0.009797491),(3 0.0155719295),(4 0.026172109),(5 0.02601335),(6 0.026061619),(7 0.027786458),(8 0.0330554),(9 0.03221957),(10 0.032268368),(11 0.03384665),(12 0.03610919),(13 0.034367975),(14 0.034421593),(15 0.034952182),(16 0.038395498),(17 0.037476562),(18 0.037541576),(19 0.038577426),(20 0.04200111),(21 0.04008327),(22 0.040159672),(23 0.040843073),(24 0.04236029),(25 0.040175058),(26 0.04019941),(27 0.040620465),(28 0.042427935),(29 0.04083407),(30 0.039935503),(31 0.0404321),(32 0.041545063),(33 0.04774805),(34 0.04740199),(35 0.044647478),(36 0.042354986),(37 0.045092013),(38 0.04475938),(39 0.04256832),(40 0.041081563),(41 0.04500731),(42 0.044561826),(43 0.043378532),(44 0.042803485),(45 0.04607433),(46 0.0459328),
(1 0.003887111),(2 0.0038949605),(3 0.005487274),(4 0.008184363),(5 0.0073356275),(6 0.0073558018),(7 0.007365139),(8 0.009125903),(9 0.007913576),(10 0.007948317),(11 0.007952044),(12 0.009188111),(13 0.008007366),(14 0.008029619),(15 0.0079766475),(16 0.00931126),(17 0.008217432),(18 0.0082626995),(19 0.008154602),(20 0.009798391),(21 0.0086600855),(22 0.008667785),(23 0.008567038),(24 0.009798442),(25 0.008426349),(26 0.008449619),(27 0.008294003),(28 0.009802404),(29 0.008909157),(30 0.008578796),(31 0.008561594),(32 0.008493885),(33 0.010592147),(34 0.010423955),(35 0.009336665),(36 0.008728724),(37 0.010390821),(38 0.010224146),(39 0.008983215),(40 0.008686171),(41 0.010126794),(42 0.009926606),(43 0.008961188),(44 0.008491899),(45 0.010082905),(46 0.010024993),
