1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 58182.285),(2 171378.61),(3 350578.9),(4 560426.3),(5 804926.2),(6 1124304),(7 1494385.1),(8 1945382.5),(9 2449869.3),(10 3003528.8),(11 3653623.3),(12 4355476),(13 5074533),(14 5713577.5),(15 6347529.5),(16 6968638),(17 7636390.5),(18 8303604),(19 8890355),(20 9475255),(21 10162501),(22 10773461),(23 11394337),(24 12101005),(25 12888469),(26 13821485),(27 15180680),(28 16228136),(29 17510082),(30 18988170),(31 20677318),(32 22314720),(33 24175590),(34 26366502),(35 28621570),(36 31317352),(37 33387840),(38 36218704),(39 38546090),(40 41333080),(41 44370916),(42 47526624),(43 50658656),(44 53342612),(45 56272190),(46 58798476),(47 61720428),(48 63800800),(49 66125730),(50 68486350),(51 70628330),(52 73071810),(53 75132616),(54 77252696),(55 78684104),(56 79954020),(57 80703040),(58 81658070),(59 82156710),(60 83010760),(61 83704540),(62 84121730),(63 84469850),(64 84843140),(65 85890230),(66 86578790),(67 87662180),(68 89012580),(69 90792100),(70 92484360),(71 94224170),(72 95831870),(73 97333090),(74 98674590),(75 99956856),(76 101244710),(77 102681320),(78 104132570),(79 105434440),
(1 16865.248),(2 24999.408),(3 28022.379),(4 27901.057),(5 27698.92),(6 28264.69),(7 28208.967),(8 28727.783),(9 29079.398),(10 29969.383),(11 29643.354),(12 29651.26),(13 30149.445),(14 30972.098),(15 32421.182),(16 32979.13),(17 32544.371),(18 33381.94),(19 33817.27),(20 34913.348),(21 35862.2),(22 35173.992),(23 35706.15),(24 35515.89),(25 36126.332),(26 35702.414),(27 35742.188),(28 36492.543),(29 35053.203),(30 37548.152),(31 35729.93),(32 37879.82),(33 36243.38),(34 38005.84),(35 36086.234),(36 36253.605),(37 36081.88),(38 34749.117),(39 36429.605),(40 35329.582),(41 36838.008),(42 34824.105),(43 36490.684),(44 34342.47),(45 35309.18),(46 35222.168),(47 35049.4),(48 36712.105),(49 36077.418),(50 37154.605),(51 37316.508),(52 38626.22),(53 38834.32),(54 39718.633),(55 39362.71),(56 40590.297),(57 40935.22),(58 40423.12),(59 40279.86),(60 40365.313),(61 40695.754),(62 40039.008),(63 40498.836),(64 39503.324),(65 40241.793),(66 39222.32),(67 38410.2),(68 38200.395),(69 36879.55),(70 36425.234),(71 36106.266),(72 36158.355),(73 34910.23),(74 34451.258),(75 32952.613),(76 33022.805),(77 32829.285),(78 34182.855),(79 33105.113),
(1 16401.992),(2 23894.922),(3 27546.605),(4 27811.52),(5 27141.494),(6 27000.734),(7 27410.229),(8 28117.7),(9 28292.404),(10 28797.635),(11 28910.764),(12 29264.21),(13 29642.31),(14 30411.64),(15 31844.842),(16 32512.367),(17 31894.719),(18 33061.836),(19 33483.305),(20 33564.16),(21 34166.125),(22 34017.445),(23 34808.02),(24 34321.035),(25 35358.99),(26 34376.152),(27 34484.793),(28 35787.418),(29 35104.18),(30 37210.97),(31 34936.598),(32 36987.406),(33 35399.695),(34 37199.01),(35 35639.203),(36 35600.61),(37 35300.645),(38 34209.723),(39 35711.668),(40 34137.133),(41 36213.652),(42 33854.918),(43 36684.035),(44 34369.188),(45 35622.44),(46 35487.023),(47 36256.598),(48 37664.71),(49 35709.32),(50 37400.027),(51 36459.703),(52 38258.69),(53 37874.63),(54 39164.223),(55 38712.98),(56 38713.88),(57 39484.035),(58 39905.344),(59 40643.465),(60 39253.31),(61 39423.81),(62 39127.164),(63 39627.38),(64 39643.418),(65 39506.42),(66 38335.58),(67 38102.305),(68 37437.02),(69 36468.36),(70 36913.97),(71 36255.563),(72 35390.664),(73 34030.9),(74 34413.4),(75 33992.195),(76 34119.195),(77 32367.785),(78 33588.52),(79 32637.027),
(1 16474.117),(2 24771.506),(3 28168.73),(4 27962.47),(5 27454.633),(6 27906.832),(7 27444.246),(8 27133.422),(9 27178.709),(10 28206.828),(11 28671.82),(12 28552.412),(13 29233.314),(14 30016.906),(15 30755.6),(16 30884.66),(17 31112.45),(18 32011.668),(19 32300.547),(20 32974.03),(21 33598.54),(22 33650.984),(23 34308.453),(24 32678.139),(25 33901.402),(26 33733.035),(27 34304.707),(28 35264.766),(29 34305.715),(30 36258.125),(31 34517.23),(32 36488.777),(33 35195.63),(34 36484.996),(35 35336.26),(36 34931.836),(37 34776.117),(38 33247.527),(39 34309.887),(40 33350.375),(41 34809.55),(42 33515.543),(43 34759.76),(44 33477.527),(45 34465.297),(46 34446.496),(47 33753.58),(48 34678.1),(49 33774.406),(50 35051.7),(51 34185.68),(52 35414.125),(53 35504.83),(54 36295.133),(55 36552.594),(56 36969.082),(57 36925.44),(58 36996.043),(59 37208.77),(60 36537.418),(61 37507.15),(62 36669.633),(63 36988.32),(64 36836.617),(65 36493.875),(66 36094.754),(67 36408.81),(68 35960.367),(69 35178.133),(70 34787.57),(71 34370.887),(72 33852.387),(73 32686.209),(74 32683.004),(75 31975.844),(76 32075.805),(77 31694.758),(78 31802.775),(79 31751.973),
(1 16319.373),(2 24280.4),(3 27057.393),(4 27174.824),(5 26722.484),(6 27195.973),(7 26932.75),(8 27089.314),(9 27581.797),(10 28439.016),(11 29120.176),(12 28944.049),(13 28684.615),(14 29594.393),(15 30412.514),(16 31272.521),(17 31547.436),(18 31975.996),(19 32049.336),(20 32838.266),(21 33124.62),(22 32803.297),(23 33319.78),(24 32485.56),(25 33765.35),(26 33040.008),(27 33583.59),(28 34899.523),(29 33615.027),(30 35329.043),(31 33156.977),(32 35500.633),(33 34166.18),(34 35487.555),(35 34422.297),(36 33950.3),(37 33919.566),(38 32972.504),(39 34593.75),(40 32480.342),(41 33390.496),(42 31937.295),(43 33473.055),(44 32246.852),(45 32902.207),(46 32887.367),(47 33215.535),(48 34224.24),(49 33492.35),(50 34302.457),(51 33363.81),(52 34782.418),(53 35146.023),(54 35609.977),(55 35648.254),(56 36243.555),(57 36236.555),(58 35342.926),(59 35575.71),(60 35211.934),(61 35772.055),(62 36193.367),(63 36081.934),(64 36339.855),(65 36071.86),(66 35907.73),(67 35453),(68 35443.316),(69 34975.656),(70 34745.035),(71 33052.594),(72 32795.023),(73 32139.523),(74 32568.828),(75 32310.785),(76 32670.889),(77 32294.225),(78 31758.229),(79 31616.002),
(1 16229.66),(2 23487.873),(3 26282.1),(4 25918.38),(5 25701.959),(6 25225.998),(7 25709.58),(8 26116.465),(9 27182.555),(10 27583.29),(11 27829.635),(12 27950.049),(13 28018.383),(14 29295.64),(15 30709.908),(16 31597.854),(17 31873.658),(18 31436.432),(19 30836.955),(20 31396.578),(21 32800.3),(22 33289.254),(23 33701.51),(24 32632.014),(25 34275.926),(26 33877.72),(27 33648.355),(28 34472.64),(29 33523.07),(30 35401.49),(31 33092.957),(32 35696.035),(33 34389.37),(34 35540.93),(35 33879.387),(36 34127.004),(37 33646.39),(38 33526.74),(39 34510.105),(40 32459.322),(41 34541.938),(42 32833.746),(43 33985.543),(44 32698.008),(45 33744.45),(46 33339.305),(47 33983.402),(48 34810.547),(49 33546.195),(50 34686.508),(51 33984.387),(52 35599.152),(53 35053.97),(54 35261.63),(55 35643.563),(56 36136.55),(57 35753.098),(58 35822.24),(59 36123.125),(60 35737.793),(61 36012.656),(62 35609.434),(63 36372.973),(64 35783.383),(65 35881.902),(66 35187.08),(67 35476.55),(68 35183.734),(69 34603.43),(70 33648.55),(71 32339.184),(72 32497.094),(73 31519.662),(74 31340.334),(75 30095.928),(76 30678.031),(77 30632.174),(78 30520.809),(79 30249.258),
(1 15608.009),(2 22325.861),(3 25060.91),(4 24862.713),(5 25319.914),(6 25035.307),(7 25355.191),(8 25590.383),(9 26216.863),(10 26844.299),(11 26217.74),(12 27042.451),(13 27874.514),(14 28687.873),(15 28932.291),(16 29576.434),(17 30589.098),(18 31102.172),(19 31079.451),(20 31494.895),(21 31844.066),(22 31976.076),(23 33048.188),(24 31385.799),(25 32600.438),(26 32178.996),(27 32718.406),(28 34025.793),(29 32872.66),(30 34583.996),(31 32738.33),(32 34344.582),(33 33059.508),(34 34366.492),(35 33223.086),(36 33175.06),(37 33350.89),(38 31889.098),(39 32997.824),(40 31953.549),(41 34022.26),(42 32136.793),(43 33742.25),(44 32440.145),(45 32883.797),(46 32678.668),(47 32797.16),(48 33965.918),(49 33232.516),(50 34837.355),(51 33615.56),(52 34945.918),(53 34730.336),(54 35605.445),(55 36005.523),(56 36403.008),(57 35811.613),(58 35476.24),(59 35956.414),(60 36102.06),(61 36899.41),(62 36224.12),(63 35860.35),(64 35453.484),(65 35688.85),(66 35324.797),(67 35484.66),(68 34651.316),(69 34196.203),(70 33946.574),(71 32844.023),(72 32065.87),(73 31262.924),(74 31208.715),(75 30274.633),(76 30503.021),(77 29942.703),(78 30382.152),(79 30520.744),
(1 15639.376),(2 22653.68),(3 25067.459),(4 24670.195),(5 24735.863),(6 24400.19),(7 24888.564),(8 26135.273),(9 26031.799),(10 26288.152),(11 26394.352),(12 27320.617),(13 27200.764),(14 28409.361),(15 28506.117),(16 29555.51),(17 30145.563),(18 30666.553),(19 29930.805),(20 30740.564),(21 31243.885),(22 32159.99),(23 32901.023),(24 31484.547),(25 32462.6),(26 31952.871),(27 31964.143),(28 32726.428),(29 32369.143),(30 33371.566),(31 31923.416),(32 33634.07),(33 32148.361),(34 33704.223),(35 32922.098),(36 32685.236),(37 32960.7),(38 31740.06),(39 33069.207),(40 31400.314),(41 32654.588),(42 31718.379),(43 32452.635),(44 31475.43),(45 32015.227),(46 32365.893),(47 31897.893),(48 32003.133),(49 32031.521),(50 32575.203),(51 33238.375),(52 33606.277),(53 33734.047),(54 34113.965),(55 34412.633),(56 34561.242),(57 34682.746),(58 34695.3),(59 34358.273),(60 34515.27),(61 35093.008),(62 35297.113),(63 34321.02),(64 34284.39),(65 34422.805),(66 33435.645),(67 32965.977),(68 32260.81),(69 32171.086),(70 32225.209),(71 31857.246),(72 31468.277),(73 30335.861),(74 29700.264),(75 29225.604),(76 29461.43),(77 28545.424),(78 28500.783),(79 28565.625),
(1 15098.022),(2 21023.352),(3 22983.977),(4 22961.12),(5 23667.28),(6 23267.082),(7 23022.963),(8 23895.338),(9 23955.06),(10 24354.41),(11 24268.352),(12 25212.922),(13 25769.762),(14 26791.86),(15 26453.17),(16 27104.09),(17 27500.883),(18 27979.082),(19 28534.459),(20 28585.646),(21 28682.06),(22 28986.799),(23 30481.783),(24 29818.42),(25 30045.813),(26 29501.998),(27 30093.39),(28 31069.521),(29 30226.988),(30 31215.957),(31 30168.068),(32 32286.611),(33 31107.078),(34 31796.13),(35 30467.648),(36 30637.617),(37 30471.445),(38 29281.756),(39 31432.484),(40 29612.303),(41 30724.291),(42 28988.29),(43 30831.148),(44 30064.883),(45 30293.371),(46 30826.023),(47 30665.445),(48 31113.414),(49 30059.465),(50 30998.072),(51 30319.512),(52 31216.477),(53 31939.785),(54 32321.594),(55 31787.94),(56 31837.912),(57 32327.11),(58 32087.412),(59 31835.219),(60 31638.258),(61 32674.008),(62 32232.818),(63 31510.094),(64 31505.174),(65 31354.03),(66 30388.396),(67 30139.525),(68 30147.934),(69 29612.994),(70 29858.709),(71 29446.191),(72 29278.17),(73 28614.988),(74 28303.848),(75 27597.049),(76 27332.17),(77 27060.367),(78 26973.803),(79 27302.113),
(1 15234.464),(2 22219.72),(3 24641.219),(4 24468.342),(5 24711.541),(6 23878.941),(7 23116.63),(8 23974.41),(9 24541.38),(10 25315.809),(11 25164.49),(12 25701.158),(13 26039.82),(14 26472.766),(15 26708.457),(16 27728.23),(17 28215.977),(18 28380.367),(19 28566.326),(20 29032.77),(21 29255.3),(22 29599.79),(23 31030.69),(24 29479.045),(25 30343.133),(26 29240.104),(27 29425.379),(28 30722.703),(29 30000.46),(30 31303.232),(31 30754.447),(32 33087.742),(33 31172.697),(34 32057.04),(35 31016.518),(36 31402.887),(37 31516.139),(38 29630.652),(39 31460.7),(40 30859.883),(41 31915.594),(42 29816.623),(43 31124.225),(44 30151.445),(45 31525.95),(46 30803.582),(47 31056.713),(48 31976.355),(49 31361.676),(50 32922.58),(51 32385.125),(52 33266.82),(53 33288.305),(54 34034.324),(55 33338.863),(56 32871.125),(57 32921.668),(58 32844.223),(59 33384.043),(60 32739.865),(61 33252.957),(62 32612.363),(63 32688.646),(64 32567.625),(65 32527.33),(66 31662.14),(67 31425.727),(68 31058.762),(69 30454.5),(70 30191.51),(71 29354.127),(72 29519.77),(73 28986.191),(74 28542.488),(75 28007.594),(76 28255.969),(77 27766.803),(78 27523.707),(79 27196.85),
(1 13828.981),(2 20284.023),(3 22673.848),(4 22649.607),(5 22789.842),(6 22800.434),(7 22981.424),(8 22878.709),(9 22725.686),(10 23420.186),(11 24104.84),(12 24423.19),(13 25020.87),(14 25856.861),(15 25942.254),(16 25887.387),(17 25993.754),(18 26276.305),(19 27604.426),(20 27840.744),(21 28323.098),(22 28024.676),(23 29507.604),(24 28602.213),(25 29561.707),(26 28508.326),(27 28569.137),(28 29855.652),(29 29170.33),(30 29734.227),(31 29305.566),(32 31749.408),(33 29645.662),(34 30605.473),(35 29568.738),(36 29630.744),(37 29399.787),(38 28699.22),(39 30317.895),(40 28927),(41 30327.695),(42 28366.656),(43 29015.793),(44 28501.553),(45 29324.705),(46 29018.05),(47 28621.736),(48 29767.238),(49 29296.982),(50 30272.564),(51 30192.342),(52 31220.283),(53 30793.852),(54 31306.783),(55 30207.92),(56 30454.104),(57 30927.217),(58 31301.95),(59 31261.832),(60 31357.588),(61 32055.03),(62 31312.719),(63 31265.594),(64 30403.824),(65 30681.943),(66 30664.137),(67 30476.414),(68 29868.068),(69 29400.191),(70 29530.879),(71 28931.955),(72 28780.104),(73 27871.283),(74 27802.61),(75 27313.633),(76 27936.406),(77 27225.875),(78 26646.27),(79 26590.568),
(1 13875.153),(2 20790.26),(3 22912.563),(4 21792.635),(5 22432.826),(6 22420.496),(7 22712.977),(8 23038.273),(9 23133.697),(10 23310.08),(11 23276.115),(12 23647.252),(13 24281.762),(14 25163.307),(15 25410.766),(16 25916.703),(17 26325.133),(18 27095.367),(19 27087.799),(20 26940.84),(21 27318.277),(22 27641.455),(23 29019.193),(24 27638.799),(25 28874.479),(26 27829.916),(27 27861.64),(28 28761.887),(29 27856.695),(30 29191.43),(31 28439.576),(32 30590.379),(33 28427.662),(34 29685.77),(35 28918.93),(36 28678.238),(37 28282.04),(38 27414.19),(39 29441.164),(40 27893.906),(41 29542.482),(42 27864.5),(43 28722.27),(44 28070.502),(45 29067.723),(46 28440.678),(47 27841.852),(48 29190.838),(49 27864.57),(50 29370.945),(51 28071),(52 29278.682),(53 28587.264),(54 29601.148),(55 29667.098),(56 29389.111),(57 29347.428),(58 29121.21),(59 30728.648),(60 29258.254),(61 29550.047),(62 29079.799),(63 29105.348),(64 28593.256),(65 28427.906),(66 28848.947),(67 29238.713),(68 28893.182),(69 28741.127),(70 28180.762),(71 27456.182),(72 27884.814),(73 26900.227),(74 27170.521),(75 26808.477),(76 27334.451),(77 26773.594),(78 26956.002),(79 26440.354),
(1 13551.609),(2 19495.508),(3 21534.479),(4 21569.477),(5 21663.576),(6 21763.252),(7 22236.13),(8 22088.611),(9 21982.152),(10 22170.262),(11 22999.508),(12 23767.785),(13 24316.389),(14 25624.922),(15 25798.047),(16 26203.031),(17 26644.79),(18 26844.418),(19 27592.658),(20 28098.24),(21 27898.049),(22 27850.348),(23 28612.541),(24 28939.525),(25 30240.055),(26 29099.4),(27 28959.205),(28 29776.92),(29 28791.08),(30 30369.166),(31 29412.219),(32 30311.35),(33 28851.586),(34 30248.033),(35 29676.178),(36 28991.338),(37 28432.453),(38 27154.586),(39 28354.43),(40 27435.088),(41 28813.781),(42 27328.52),(43 28009.746),(44 27750.9),(45 27823.32),(46 27805.848),(47 27657.313),(48 28418.504),(49 27727.232),(50 28951.95),(51 28913.975),(52 29707.318),(53 29585.39),(54 29422.338),(55 29534.02),(56 29756.666),(57 30477.543),(58 30339.545),(59 30385.9),(60 29920.021),(61 30202.305),(62 30280.436),(63 30239.83),(64 29452),(65 29062.426),(66 29040.314),(67 29427.646),(68 29143.535),(69 28476.55),(70 28486.354),(71 27826.447),(72 27815.756),(73 26910.354),(74 26609.137),(75 26178.06),(76 26235.418),(77 25832.418),(78 25601.41),(79 25705.748),
(1 13244.747),(2 18943.945),(3 20933.463),(4 20396.576),(5 20479.393),(6 20381.012),(7 20820.502),(8 21117.465),(9 21350.453),(10 21822.715),(11 21962.877),(12 22857.76),(13 23276.025),(14 24099.965),(15 24402.836),(16 25237.1),(17 25528.27),(18 25724.887),(19 26552.678),(20 26758.844),(21 27282.521),(22 27340.691),(23 27935.129),(24 27846.896),(25 29079.494),(26 28543.844),(27 28410.13),(28 28997.512),(29 27839.982),(30 29594.16),(31 27922.77),(32 29678.342),(33 28297.348),(34 29876.01),(35 28381.025),(36 28087.422),(37 28152.383),(38 26693.395),(39 27797.795),(40 26797.125),(41 28691.545),(42 26709.064),(43 27468.688),(44 26266.678),(45 27058.098),(46 26861.992),(47 26455.955),(48 27721.475),(49 26769.053),(50 27779.123),(51 27616.375),(52 28320.027),(53 28209.537),(54 28723.44),(55 28458.57),(56 28263.207),(57 28914.736),(58 28848.283),(59 29313.479),(60 28501.105),(61 28894.484),(62 28865.834),(63 28789.166),(64 27928.16),(65 27919.85),(66 28054.373),(67 27564.059),(68 27669.084),(69 27297.963),(70 26940.463),(71 26615.154),(72 26755.742),(73 25722.352),(74 25489.256),(75 25341.81),(76 25771.48),(77 25245.512),(78 24841.557),(79 24388.064),
(1 13732.4795),(2 19826.064),(3 21252.613),(4 20528.986),(5 20858.016),(6 20918.457),(7 21323.055),(8 21713.215),(9 21783.34),(10 22509.936),(11 22731.707),(12 23874.293),(13 24389.654),(14 25105.654),(15 25082.814),(16 25315.676),(17 26175.482),(18 26354.445),(19 26272.361),(20 26963.457),(21 27410.672),(22 27883.307),(23 28638.934),(24 28747.883),(25 29453.396),(26 28466.371),(27 28051.764),(28 29120.857),(29 28167.959),(30 29754.6),(31 28408.992),(32 29687.275),(33 28110.37),(34 29812.488),(35 28036.537),(36 27833.373),(37 28770.936),(38 27445.031),(39 27530.555),(40 26930.992),(41 27971.059),(42 26328.748),(43 27536.576),(44 26619.742),(45 26737.633),(46 26671.074),(47 26703.482),(48 27982.932),(49 27191.809),(50 28436.736),(51 28213.658),(52 28670.342),(53 28389.07),(54 29199.424),(55 29358.568),(56 29389.465),(57 29476.434),(58 29747.816),(59 29734.256),(60 29248.715),(61 29503.213),(62 29206.193),(63 29133.803),(64 28100.22),(65 28246.18),(66 28190.998),(67 28024.46),(68 27371.344),(69 26947.984),(70 26813.078),(71 26625.176),(72 26456.807),(73 25696.254),(74 25745.643),(75 25390.701),(76 25485.324),(77 24960.121),(78 25492.193),(79 25158.889),
(1 13310.573),(2 18654.008),(3 20590.256),(4 20321.24),(5 20725.188),(6 20381.824),(7 20304.2),(8 20687.836),(9 20773.744),(10 21305.064),(11 21583.256),(12 22627.12),(13 23580.479),(14 23791.262),(15 23936.16),(16 24281.848),(17 25195.904),(18 26014.848),(19 25757.336),(20 26125.166),(21 26102.523),(22 26052.107),(23 27227.719),(24 27147.639),(25 27749.879),(26 27616.447),(27 26835.709),(28 27259.787),(29 26392.156),(30 27810.309),(31 26706.725),(32 28296.805),(33 26973.586),(34 28425.035),(35 26716.229),(36 26549.555),(37 26765.576),(38 25742.12),(39 26333.814),(40 25316.9),(41 26636.816),(42 25143.242),(43 26131.713),(44 25267.84),(45 25394.854),(46 25213.18),(47 25342.883),(48 26559.787),(49 25498.855),(50 26990.332),(51 26627.98),(52 27245.166),(53 27321.285),(54 27693.994),(55 27967.602),(56 28186.672),(57 27951.803),(58 27576.893),(59 28427.281),(60 28245.56),(61 28505.451),(62 27683.684),(63 27808.709),(64 27643.637),(65 27646.883),(66 26939.857),(67 26716.256),(68 26569.291),(69 25960.922),(70 25438.545),(71 25418.982),(72 25051.38),(73 24886.596),(74 25453.934),(75 25176.182),(76 24621.389),(77 24125.795),(78 24340.836),(79 24228.178),
(1 13846.255),(2 18980.453),(3 20664.156),(4 20142.46),(5 20504.082),(6 20592.434),(7 20583.754),(8 21222.063),(9 21057.406),(10 21296.557),(11 21136.793),(12 22373.582),(13 23517.174),(14 23582.266),(15 24115.863),(16 24865.594),(17 25611.674),(18 26181.715),(19 25858.066),(20 26469.732),(21 26760.688),(22 26401.568),(23 27451.389),(24 27638.742),(25 28304.354),(26 27911.266),(27 27601.682),(28 27427.232),(29 27010.254),(30 28498.664),(31 27234.23),(32 28870.668),(33 27623.047),(34 28734.93),(35 27381.68),(36 27311.547),(37 26991.496),(38 26380.79),(39 26996.414),(40 26048.555),(41 27054.207),(42 25439.459),(43 26874.182),(44 25224.865),(45 25988.164),(46 25810.219),(47 25864.586),(48 27188.121),(49 26498.67),(50 27445.287),(51 27176.373),(52 27487.256),(53 27684.04),(54 28561.434),(55 28696.879),(56 28495.68),(57 28452.793),(58 28364.629),(59 29320.043),(60 28566.37),(61 28706.453),(62 28417.902),(63 28469.951),(64 28218.803),(65 28100.46),(66 27471.139),(67 27221.592),(68 26872.867),(69 25934.453),(70 26125.348),(71 26038.32),(72 26045.457),(73 25429.98),(74 25674.725),(75 24939.121),(76 24931.844),(77 24287.615),(78 24712.867),(79 24737.662),
(1 12479.313),(2 17460.191),(3 18848.686),(4 18383.664),(5 19148.02),(6 18795.107),(7 18589.576),(8 18911.545),(9 19726.146),(10 20286.229),(11 19986.672),(12 20628.18),(13 21305.057),(14 21468.174),(15 21827.602),(16 22478.691),(17 23382.168),(18 23953.035),(19 24096.465),(20 24552.96),(21 24456.309),(22 24268.33),(23 25062.771),(24 24584.533),(25 25335.955),(26 24882.387),(27 24969.398),(28 25502.46),(29 24724.879),(30 25642.29),(31 24518.912),(32 26075.229),(33 25338.54),(34 26112.402),(35 25200.906),(36 25243.523),(37 25053.49),(38 24100.104),(39 25098.031),(40 24034.195),(41 25257.604),(42 23740.56),(43 24844.273),(44 23612.906),(45 24086.133),(46 24424.11),(47 24447.898),(48 25427.24),(49 24328.049),(50 25843.94),(51 25367.352),(52 25766.111),(53 25799.293),(54 25825.746),(55 26171.006),(56 26687.635),(57 26426.348),(58 25992.885),(59 26616.281),(60 26201.29),(61 26234.094),(62 25720.24),(63 25687.828),(64 25866.61),(65 25977.236),(66 25141.21),(67 25050.137),(68 24739.951),(69 24287.453),(70 24091.564),(71 24052.305),(72 24257.78),(73 23581.273),(74 23834.27),(75 23097.139),(76 23127.28),(77 22875.68),(78 23447.307),(79 22858.363),
(1 12131.875),(2 17318.854),(3 18310.967),(4 17528.762),(5 17989.262),(6 18307.373),(7 18988.602),(8 19051.639),(9 19118.248),(10 19774.39),(11 19707.994),(12 20659.416),(13 21378.992),(14 21606.072),(15 21828.229),(16 22628.418),(17 23437.607),(18 23863.084),(19 24085.248),(20 24052.898),(21 24521.88),(22 24569.707),(23 25586.715),(24 25463.56),(25 26252.744),(26 25612.047),(27 24731.697),(28 25224.178),(29 24181.207),(30 25724.008),(31 24691.016),(32 26189.717),(33 25196.229),(34 25769.176),(35 25039.414),(36 24648.37),(37 24445.533),(38 23529.568),(39 24353.367),(40 23062.844),(41 24104.838),(42 23029.355),(43 23727.594),(44 22486.828),(45 22894.365),(46 23043.783),(47 22857.824),(48 23793.479),(49 23143.824),(50 24206.557),(51 24472.457),(52 24378.434),(53 24850.473),(54 25221.404),(55 25376.883),(56 25639.707),(57 25266.275),(58 25440.252),(59 25757.053),(60 25680.059),(61 25934.246),(62 25549.314),(63 25424.31),(64 25067.445),(65 24677.412),(66 24474.156),(67 24370.168),(68 23699.943),(69 23798.074),(70 23584.059),(71 23124.863),(72 23150.912),(73 23010.293),(74 22964.947),(75 22340.469),(76 22808.639),(77 22504.62),(78 22525.701),(79 22967.754),
