(1 33716.957),(2 75444.23),(3 76534.23),(4 114265.35),(5 227278.11),(6 283626.03),(7 283937.22),(8 364329.53),(9 517334.28),(10 601565.25),(11 603173.25),(12 700444.3),(13 789499.3),(14 814824.4),(15 814512.56),(16 835369.9),(17 839115.44),(18 855019.06),(19 857599),(20 885562.3),(21 904977.25),(22 968606.6),(23 968714.75),(24 997694.4),(25 1114923.3),(26 1193624.5),(27 1195996.3),(28 1274547),(29 1404831.4),(30 1449144.6),(31 1448983.8),(32 1477031),(33 1520744.6),(34 1559335.4),(35 1560879.4),(36 1607986.5),(37 1736720),(38 1779954.4),(39 1782528.6),(40 1811580.6),(41 1865643.5),(42 1891549.4),(43 1885419.6),(44 1860056.4),(45 1825886.3),(46 1766130),
(1 24780.361),(2 58366.535),(3 58882.527),(4 87428.64),(5 176421.05),(6 210959.53),(7 212040.13),(8 260185.89),(9 369975.94),(10 418903.4),(11 418963.16),(12 487074.88),(13 618428.2),(14 678899.3),(15 678934.5),(16 730592.9),(17 862169.4),(18 928499.8),(19 930707.7),(20 1007706.7),(21 1100194),(22 1175716.4),(23 1175605.6),(24 1229900.6),(25 1304402),(26 1315622.1),(27 1316506.5),(28 1341756.8),(29 1422568.1),(30 1455445.3),(31 1454964.9),(32 1475051.4),(33 1552772.3),(34 1591649.6),(35 1592385.3),(36 1639846),(37 1768220.5),(38 1840859.6),(39 1843485.1),(40 1865106.5),(41 1908424.6),(42 1955061.8),(43 1959043.8),(44 1962818.9),(45 1968142.5),(46 1936491.4),
(1 24797.412),(2 55504.297),(3 56849.406),(4 83585.97),(5 156126.25),(6 178375.88),(7 178526.38),(8 211789.3),(9 307655.25),(10 356014.03),(11 356699.03),(12 423669.34),(13 551609),(14 627951),(15 627799.7),(16 690009.7),(17 781847.25),(18 817615.8),(19 817479.56),(20 849811.44),(21 907996.94),(22 984356.44),(23 984182.44),(24 1039377.1),(25 1172806),(26 1262520.5),(27 1263919.9),(28 1341301.6),(29 1472260.6),(30 1515560.9),(31 1515432.3),(32 1556846.4),(33 1618432.4),(34 1649388.1),(35 1645829.4),(36 1703636.1),(37 1812785.5),(38 1860590.8),(39 1862497.1),(40 1893995.9),(41 1943986.6),(42 1970357.3),(43 1970833.3),(44 1968458.6),(45 1982462),(46 2003319.9),
(1 23278.617),(2 51765.79),(3 52192.36),(4 82917.61),(5 168193.14),(6 202135.36),(7 202605.42),(8 271574.28),(9 405501.97),(10 457606.97),(11 457614.66),(12 520183.2),(13 634895.44),(14 707109.44),(15 706913.8),(16 771622.9),(17 920776.4),(18 992023.1),(19 994105.5),(20 1055272.1),(21 1163050.4),(22 1259592.8),(23 1259498.5),(24 1319958),(25 1420492.1),(26 1439832.5),(27 1435791.9),(28 1441365.4),(29 1474060.3),(30 1489800.5),(31 1489713.8),(32 1505807.3),(33 1579541.8),(34 1603513.8),(35 1603146.3),(36 1628575.6),(37 1657427.3),(38 1669521.6),(39 1670530.3),(40 1651206.4),(41 1680353.3),(42 1717834.6),(43 1718068.8),(44 1717517.8),(45 1754231.9),(46 1773539.8),
(1 22741.914),(2 48772.844),(3 49594),(4 82732.766),(5 160819.73),(6 194428.73),(7 195430.53),(8 253408.72),(9 391374.88),(10 451149.34),(11 451454.34),(12 508178.56),(13 597517.94),(14 663333.4),(15 663373.1),(16 722617.1),(17 851718.4),(18 911202.06),(19 911097.75),(20 966907.8),(21 1066962.1),(22 1142446.4),(23 1142397.1),(24 1183539.6),(25 1302331.9),(26 1325629.9),(27 1324074.9),(28 1340932.4),(29 1380443.6),(30 1401223.3),(31 1400994.6),(32 1419757.4),(33 1461621.9),(34 1476719.6),(35 1479228),(36 1514665.1),(37 1601151.1),(38 1658717.5),(39 1657254.9),(40 1709544.9),(41 1829954.6),(42 1897155),(43 1896677.5),(44 1928103.9),(45 1974145.4),(46 1986620.8),
(1 28533.824),(2 58972.19),(3 60180.816),(4 86778.9),(5 149002.08),(6 182599.67),(7 182828.78),(8 225559.22),(9 329692.5),(10 372466.28),(11 373744.9),(12 416837.47),(13 507202.84),(14 571519.9),(15 571709.6),(16 633263.5),(17 786641.8),(18 852420.56),(19 852024.1),(20 902549.9),(21 995755.44),(22 1090735.6),(23 1090592.4),(24 1116918.5),(25 1210134.3),(26 1222506.6),(27 1224471.5),(28 1239021.5),(29 1277454.3),(30 1278598.6),(31 1278633),(32 1265196.3),(33 1258212.3),(34 1256471),(35 1256707.8),(36 1270442.6),(37 1284972),(38 1308899.3),(39 1310961.8),(40 1342704),(41 1419902.3),(42 1478143.8),(43 1477441.1),(44 1523606.9),(45 1600994.6),(46 1630071.3),
(1 22118.074),(2 50883.07),(3 51803.527),(4 82473.82),(5 181441.73),(6 233732.58),(7 233222.47),(8 306679.97),(9 392024.44),(10 427281.13),(11 427696.2),(12 466562),(13 531765.6),(14 558592.9),(15 558480.7),(16 583593.6),(17 672511.7),(18 710401.44),(19 711044.6),(20 752947.56),(21 832120.7),(22 928300.4),(23 928110.25),(24 953095.8),(25 1011237.3),(26 1027078.4),(27 1030233.94),(28 1041908.8),(29 1076483.3),(30 1090162.8),(31 1089821.9),(32 1126505.6),(33 1214652.6),(34 1247974.8),(35 1247709.9),(36 1249176.9),(37 1301346),(38 1339901.9),(39 1338648.6),(40 1381073.4),(41 1461893.1),(42 1519783.5),(43 1516738.5),(44 1552631.3),(45 1615098),(46 1645477.4),
(1 25442.453),(2 56852.13),(3 58107.082),(4 92736.06),(5 181073.4),(6 215498.28),(7 215804.47),(8 277459.97),(9 382952.4),(10 421871.8),(11 421942.5),(12 466952.34),(13 553941.6),(14 595251.3),(15 595317.3),(16 622695.5),(17 683293.2),(18 710099.94),(19 710283.7),(20 736767.1),(21 768020.6),(22 812876.25),(23 812643.7),(24 837696.06),(25 894912),(26 926648.6),(27 925963),(28 958231.3),(29 1014070.56),(30 1010382.9),(31 1010487.75),(32 1020349.9),(33 1068373.8),(34 1079385.8),(35 1078810.6),(36 1090481.1),(37 1094996),(38 1105947.9),(39 1105317.6),(40 1124508.1),(41 1206317),(42 1237666.9),(43 1236989.6),(44 1258944.4),(45 1268254),(46 1273951.6),
(1 27246.742),(2 56994.17),(3 56940.902),(4 90260.97),(5 179230.56),(6 212421.13),(7 211511.25),(8 270778.28),(9 383399.03),(10 415989.25),(11 416367.5),(12 469514),(13 552630.25),(14 608181.7),(15 608296.06),(16 650785.8),(17 762619.7),(18 821052.06),(19 823494.3),(20 861493),(21 934323.8),(22 996564.56),(23 996575.56),(24 1047219.44),(25 1152902.1),(26 1152243.4),(27 1158125.1),(28 1160270.9),(29 1191773.4),(30 1220256),(31 1220349.6),(32 1236305.9),(33 1274664.1),(34 1302292),(35 1302170.4),(36 1341864.4),(37 1378317),(38 1396870.9),(39 1395844.4),(40 1432373),(41 1488820.6),(42 1512163.4),(43 1509752.1),(44 1528029.4),(45 1516138),(46 1500410.5),
(1 28513.531),(2 58832.12),(3 59342.05),(4 91169.13),(5 184288.02),(6 220499.39),(7 220686.45),(8 265166.3),(9 381779.13),(10 431736.03),(11 432728.72),(12 487935.44),(13 579885.94),(14 614181.1),(15 614399),(16 648271.4),(17 739024.3),(18 779323.94),(19 782239.75),(20 812028.44),(21 837214.5),(22 881094.06),(23 881100.7),(24 894955.1),(25 963757.9),(26 1010497.3),(27 1007886.25),(28 1031518.5),(29 1109100),(30 1138947.5),(31 1138830.9),(32 1154105.4),(33 1182832.3),(34 1201311.9),(35 1202558.9),(36 1211637.4),(37 1275898.4),(38 1307123.9),(39 1309122.3),(40 1344808.9),(41 1401804.9),(42 1416162.1),(43 1415847.5),(44 1416367.8),(45 1440456.6),(46 1457490.1),
