1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1522.0026),(2 2614.8984),(3 3451.994),(4 3801.9272),(5 4124.9097),(6 4465.0327),(7 4722.337),(8 4970.0723),(9 5183.981),(10 5369.655),(11 5470.672),(12 5523.792),(13 5684.6855),(14 5850.8887),(15 5897.7114),(16 5969.693),(17 5984.868),(18 5862.196),(19 5880.313),(20 5970.615),(21 5893.603),(22 5908.258),(23 6016.264),(24 6000.9155),(25 5985.668),(26 6077.705),(27 6105.721),(28 6259.501),(29 6189.6597),(30 6243.5996),(31 6271.4463),(32 6258.117),(33 6312.729),(34 6412.7554),(35 6435.675),(36 6460.4595),(37 6512.9185),(38 6439.2104),(39 6501.0464),(40 6560.2344),(41 6427.25),(42 6370.125),(43 6435.4653),(44 6362.2314),(45 6345.832),(46 6363.5684),(47 6337.552),(48 6413.5273),(49 6479.117),(50 6505.157),(51 6509.129),(52 6505.6724),(53 6540.866),(54 6556.99),(55 6583.92),(56 6575.4663),(57 6579.998),(58 6610.3423),(59 6539.956),(60 6535.465),(61 6541.173),(62 6550.369),(63 6660.976),(64 6791.3755),(65 6751.3784),(66 6840.0073),(67 6897.329),(68 6920.941),(69 6940.8354),(70 6949.4487),(71 6885.774),(72 6904.4976),(73 6969.668),(74 6888.7573),(75 6923.266),(76 6978.848),(77 6987.4097),(78 7027.734),(79 6964.861),
(1 1509.0272),(2 2591.8894),(3 3374.8472),(4 3759.7537),(5 4089.2988),(6 4480.524),(7 4748.876),(8 4936.368),(9 5119.44),(10 5322.406),(11 5404.188),(12 5484.312),(13 5638.875),(14 5792.8477),(15 5837.445),(16 5934.587),(17 5964.395),(18 5871.7446),(19 5895.406),(20 5931.5435),(21 5878.7017),(22 5886.1724),(23 5962.3774),(24 5870.666),(25 5793.82),(26 5891.255),(27 5967.656),(28 6110.461),(29 6120.2813),(30 6144.7173),(31 6230.4546),(32 6260.173),(33 6304.2344),(34 6357.1787),(35 6341.1777),(36 6329.034),(37 6344.5835),(38 6299.7637),(39 6360.0903),(40 6416.715),(41 6316.817),(42 6288.0796),(43 6351.3843),(44 6265.0864),(45 6226.0815),(46 6309.037),(47 6306.388),(48 6346.302),(49 6404.8535),(50 6460.717),(51 6519.8438),(52 6520.048),(53 6588.595),(54 6642.175),(55 6667.615),(56 6664.6216),(57 6688.3145),(58 6756.6436),(59 6713.9746),(60 6788.712),(61 6876.715),(62 6841.77),(63 6845.942),(64 6886.645),(65 6829.6055),(66 6853.608),(67 6875.241),(68 6822.723),(69 6847.2954),(70 6835.6294),(71 6808.1587),(72 6799.4014),(73 6846.9126),(74 6786.0586),(75 6769.2427),(76 6823.9097),(77 6825.7896),(78 6885.3105),(79 6806.104),
(1 1536.9292),(2 2657.5227),(3 3358.7285),(4 3717.8877),(5 4076.6135),(6 4469.7764),(7 4688.5977),(8 4841.5356),(9 5036.183),(10 5233.031),(11 5339.2905),(12 5422.8438),(13 5578.5244),(14 5704.866),(15 5755.217),(16 5789.078),(17 5838.128),(18 5792.354),(19 5793.386),(20 5861.5845),(21 5790.8174),(22 5842.434),(23 5862.022),(24 5878.937),(25 5823.0664),(26 5900.089),(27 5935.956),(28 5995.9355),(29 5943.592),(30 5954.226),(31 5999.078),(32 6035.577),(33 6100.8057),(34 6179.4937),(35 6185.5166),(36 6118.5186),(37 6173.9375),(38 6196.5522),(39 6291.3125),(40 6327.57),(41 6256.109),(42 6307.305),(43 6428.2363),(44 6313.363),(45 6249.1113),(46 6321.688),(47 6296.4883),(48 6257.4546),(49 6280.688),(50 6365.1636),(51 6407.0625),(52 6462.2124),(53 6594.0845),(54 6614.302),(55 6654.3174),(56 6635.0156),(57 6638.038),(58 6718.478),(59 6693.9507),(60 6767.377),(61 6812.239),(62 6787.1016),(63 6845.172),(64 6884.0205),(65 6842.3687),(66 6842.972),(67 6811.2305),(68 6793.634),(69 6869.884),(70 6943.337),(71 6852.6963),(72 6810.6196),(73 6803.6724),(74 6730.09),(75 6717.0537),(76 6722.2036),(77 6712.9106),(78 6708.3003),(79 6617.0947),
(1 1440.5763),(2 2513.0713),(3 3234.7307),(4 3555.7805),(5 3905.29),(6 4256.125),(7 4460.0303),(8 4583.587),(9 4727.2813),(10 4877.1855),(11 4921.144),(12 5013.9927),(13 5165.328),(14 5295.3013),(15 5321.527),(16 5349.803),(17 5406.034),(18 5370.7793),(19 5356.0005),(20 5361.2437),(21 5382.2705),(22 5424.453),(23 5494.0625),(24 5459.3936),(25 5462.367),(26 5575.962),(27 5606.649),(28 5633.497),(29 5585.1978),(30 5560.772),(31 5653.526),(32 5698.929),(33 5757.6284),(34 5838.8154),(35 5817.3926),(36 5793.094),(37 5882.492),(38 5905.757),(39 5946.69),(40 5982.3677),(41 5839.194),(42 5862.347),(43 5938.476),(44 5884.4805),(45 5875.2754),(46 5931.045),(47 5821.3467),(48 5828.7183),(49 5868.701),(50 5896.4565),(51 5911.876),(52 5873.739),(53 5970.276),(54 5977.5654),(55 6001.6636),(56 5992.2026),(57 5995.8696),(58 6016.1387),(59 6031.643),(60 5998.47),(61 6053.1865),(62 6024.3594),(63 6060.599),(64 6111.0605),(65 6076.015),(66 6088.4995),(67 6075.2183),(68 6060.2905),(69 6063.956),(70 6076.869),(71 6041.2813),(72 6017.998),(73 6074.8794),(74 6011.7817),(75 6065.0156),(76 6057.1025),(77 6074.556),(78 6101.9937),(79 6086.578),
(1 1435.51),(2 2487.2822),(3 3205.3135),(4 3512.9944),(5 3841.551),(6 4165.8955),(7 4384.7573),(8 4536.7905),(9 4678.34),(10 4826.6196),(11 4854.5537),(12 4958.9155),(13 5136.497),(14 5274.723),(15 5331.8745),(16 5318.9233),(17 5398.8877),(18 5408.97),(19 5410.3774),(20 5370.8706),(21 5336.96),(22 5395.6284),(23 5490.0396),(24 5407.9697),(25 5373.587),(26 5466.8696),(27 5466.734),(28 5491.203),(29 5483.1636),(30 5592.338),(31 5708.175),(32 5759.8784),(33 5831.501),(34 5886.2427),(35 5832.0083),(36 5790.645),(37 5900.7817),(38 5921.7314),(39 5983.601),(40 5975.1475),(41 5882.607),(42 5948.267),(43 6030.4395),(44 5886.9487),(45 5888.989),(46 5940.8916),(47 5881.4316),(48 5892.1846),(49 5941.194),(50 5966.1133),(51 5945.275),(52 5966.816),(53 5967.0776),(54 5962.102),(55 5993.4233),(56 5994.9585),(57 5959.731),(58 5948.6963),(59 5931.425),(60 5925.9873),(61 6039.137),(62 6080.971),(63 6155.5645),(64 6219.0757),(65 6133.8184),(66 6101.824),(67 6119.805),(68 6057.2173),(69 6092.0527),(70 6128.0625),(71 6043.2095),(72 6089.267),(73 6100.3657),(74 6048.3364),(75 6107.9917),(76 6186.3164),(77 6230.5215),(78 6287.1494),(79 6214.021),
(1 1410.7556),(2 2363.6035),(3 3071.8628),(4 3378.6162),(5 3732.288),(6 4070.923),(7 4266.7744),(8 4410.1367),(9 4660.6685),(10 4806.965),(11 4846.191),(12 4889.555),(13 5067.244),(14 5215.4478),(15 5225.013),(16 5219.5205),(17 5288.1313),(18 5295.4883),(19 5327.4736),(20 5341.475),(21 5292.0806),(22 5317.2407),(23 5327.905),(24 5264.1772),(25 5257.41),(26 5351.4263),(27 5376.7163),(28 5416.8174),(29 5402.5933),(30 5475.978),(31 5542.3447),(32 5514.49),(33 5576.8604),(34 5646.9644),(35 5585.7305),(36 5565.7026),(37 5669.3213),(38 5676.2075),(39 5712.799),(40 5750.4043),(41 5676.394),(42 5765.519),(43 5859.7583),(44 5755.2417),(45 5787.2964),(46 5853.8438),(47 5784.5015),(48 5767.933),(49 5785.6055),(50 5812.675),(51 5840.254),(52 5842.825),(53 5862.0464),(54 5889.508),(55 5948.1914),(56 5896.412),(57 5914.253),(58 5923.3555),(59 5931.3154),(60 5916.406),(61 5962.885),(62 5989.137),(63 6066.707),(64 6101.81),(65 6012.9683),(66 5983.0474),(67 6025.749),(68 5999.6636),(69 6055.6904),(70 6144.8647),(71 6041.1206),(72 6020.573),(73 6066.854),(74 6015.406),(75 6036.8306),(76 6083.1655),(77 6126.057),(78 6211.827),(79 6118.8765),
(1 1409.3077),(2 2313.644),(3 2991.3577),(4 3313.921),(5 3603.986),(6 3970.0232),(7 4154.8247),(8 4301.475),(9 4538.886),(10 4727.841),(11 4763.983),(12 4791.176),(13 4911.6523),(14 5022.4443),(15 5071.01),(16 5088.113),(17 5175.408),(18 5196.783),(19 5227.9985),(20 5308.978),(21 5313.4536),(22 5365.235),(23 5371.884),(24 5278.3486),(25 5277.7393),(26 5355.4463),(27 5381.891),(28 5506.6616),(29 5513.665),(30 5584.6777),(31 5655.6978),(32 5598.0615),(33 5681.4277),(34 5733.624),(35 5630.766),(36 5637.9844),(37 5741.2773),(38 5726.727),(39 5711.0537),(40 5719.1777),(41 5685.8687),(42 5731.9434),(43 5761.94),(44 5615.1753),(45 5588.8296),(46 5618.5127),(47 5519.027),(48 5534.207),(49 5604.301),(50 5576.039),(51 5556.0967),(52 5609.0337),(53 5567.7837),(54 5599.595),(55 5648.0103),(56 5676.2866),(57 5698.2993),(58 5779.114),(59 5816.0605),(60 5817.5234),(61 5877.2983),(62 5875.5703),(63 5857.9614),(64 5888.641),(65 5869.1147),(66 5854.1543),(67 5943.195),(68 5900.2275),(69 5900.452),(70 5909.553),(71 5882.099),(72 5928.113),(73 5986.141),(74 5905.776),(75 5930.7163),(76 6027.657),(77 6050.434),(78 6151.9097),(79 6070.807),
(1 1405.9937),(2 2330.9797),(3 2998.4797),(4 3344.9717),(5 3648.0828),(6 3994.6685),(7 4202.0503),(8 4359.387),(9 4554.6597),(10 4714.241),(11 4754.6416),(12 4789.2593),(13 4920.0093),(14 5041.702),(15 5092.255),(16 5082.0425),(17 5100.215),(18 5104.1567),(19 5123.1426),(20 5093.131),(21 5077.8994),(22 5103.255),(23 5087.029),(24 5101.4443),(25 5147.1504),(26 5247.8696),(27 5255.718),(28 5262.856),(29 5265.1855),(30 5275.507),(31 5364.2764),(32 5291.838),(33 5359.2583),(34 5386.4863),(35 5247.472),(36 5258.749),(37 5395.3525),(38 5386.4546),(39 5420.6377),(40 5439.3633),(41 5466.2974),(42 5528.0386),(43 5540.7563),(44 5437.2275),(45 5421.893),(46 5444.593),(47 5339.616),(48 5403.8545),(49 5506.439),(50 5472.427),(51 5460.1294),(52 5513.8813),(53 5523.411),(54 5532.205),(55 5595.735),(56 5546.6846),(57 5597.5293),(58 5614.888),(59 5635.8584),(60 5682.5176),(61 5715.3887),(62 5734.383),(63 5764.199),(64 5813.073),(65 5773.993),(66 5762.1724),(67 5816.896),(68 5800.7627),(69 5799.111),(70 5790.7725),(71 5749.8325),(72 5790.7573),(73 5831.912),(74 5767.2056),(75 5805.589),(76 5885.786),(77 5941.2593),(78 5993.3296),(79 5972.0195),
(1 1362.338),(2 2268.3965),(3 2909.93),(4 3226.6016),(5 3557.5396),(6 3808.3193),(7 3983.0022),(8 4143.709),(9 4276.306),(10 4424.993),(11 4474.1606),(12 4476.87),(13 4584.8716),(14 4724.8813),(15 4786.749),(16 4833.53),(17 4877.7427),(18 4915.3706),(19 4889.6016),(20 4906.1763),(21 4870.0703),(22 4883.086),(23 4903.814),(24 4872.572),(25 4916.8037),(26 4971.415),(27 4932.426),(28 4943.425),(29 4916.9595),(30 4927.0767),(31 4981.765),(32 5000.3687),(33 5039.1333),(34 5009.1694),(35 4931.101),(36 4991.9116),(37 5083.232),(38 5007.177),(39 5022.3823),(40 5096.7485),(41 5064.2905),(42 5140.9375),(43 5203.2676),(44 5121.242),(45 5130.4233),(46 5157.6914),(47 5087.6514),(48 5118.042),(49 5138.8833),(50 5116.0547),(51 5175.1035),(52 5259.751),(53 5283.8794),(54 5304.01),(55 5330.2373),(56 5293.511),(57 5349.303),(58 5396.514),(59 5413.511),(60 5431.8506),(61 5455.3843),(62 5466.4854),(63 5506.866),(64 5560.8447),(65 5548.006),(66 5589.252),(67 5618.436),(68 5566.866),(69 5553.0645),(70 5551.767),(71 5519.4634),(72 5540.3315),(73 5619.7856),(74 5522.0117),(75 5473.692),(76 5440.984),(77 5456.052),(78 5434.912),(79 5406.371),
(1 1359.7922),(2 2256.4773),(3 2951.5266),(4 3229.2607),(5 3582.2905),(6 3839.3013),(7 3989.7068),(8 4129.26),(9 4293.364),(10 4438.4307),(11 4486.332),(12 4516.9585),(13 4649.2065),(14 4816.9814),(15 4874.297),(16 4883.2686),(17 4905.2275),(18 4915.378),(19 4936.9063),(20 4957.5205),(21 4942.904),(22 4958.3403),(23 4981.9297),(24 4937.9917),(25 4969.6743),(26 5046.9985),(27 5018.7617),(28 5095.1885),(29 5069.7437),(30 5123.9375),(31 5219.9414),(32 5197.095),(33 5184.791),(34 5195.49),(35 5158.473),(36 5227.9595),(37 5286.867),(38 5207.167),(39 5183.622),(40 5246.6953),(41 5205.4824),(42 5229.648),(43 5263.65),(44 5210.8965),(45 5232.093),(46 5227.141),(47 5171.6323),(48 5183.5776),(49 5212.5225),(50 5141.1),(51 5156.8965),(52 5212.9795),(53 5180.5356),(54 5163.4126),(55 5160.77),(56 5165.569),(57 5151.2744),(58 5247.9316),(59 5246.647),(60 5236.9424),(61 5238.7363),(62 5228.1797),(63 5315.4307),(64 5385.141),(65 5388.401),(66 5470.765),(67 5516.743),(68 5495.096),(69 5505.713),(70 5540.296),(71 5532.147),(72 5546.5366),(73 5576.1294),(74 5514.679),(75 5472.565),(76 5492.2524),(77 5472.4434),(78 5510.5483),(79 5469.871),
(1 1301.2327),(2 2163.8228),(3 2860.348),(4 3149.5557),(5 3499.4702),(6 3775.0386),(7 3938.6567),(8 4109.4243),(9 4301.5376),(10 4414.978),(11 4496.462),(12 4546.104),(13 4702.7495),(14 4802.9253),(15 4835.5254),(16 4849.407),(17 4910.062),(18 4893.373),(19 4913.2163),(20 4958.0054),(21 4974.6),(22 4972.0557),(23 4965.864),(24 4917.543),(25 4913.3613),(26 5027.953),(27 5016.4326),(28 5110.434),(29 5092.004),(30 5119.4697),(31 5181.1763),(32 5098.2544),(33 5066.0796),(34 5076.746),(35 5004.8247),(36 5070.424),(37 5128.925),(38 5029.774),(39 5027.036),(40 5094.0923),(41 5030.8),(42 5013.317),(43 5042.113),(44 5061.226),(45 5080.017),(46 5088.345),(47 5010.044),(48 5061.446),(49 5032.971),(50 4952.822),(51 5001.9414),(52 5040.2373),(53 5001.316),(54 4961.8237),(55 4944.303),(56 4955.609),(57 5019.6),(58 5076.8057),(59 5063.3584),(60 5097.681),(61 5107.224),(62 5103.6855),(63 5194.843),(64 5285.3613),(65 5284.479),(66 5310.554),(67 5357.2295),(68 5359.6353),(69 5379.978),(70 5355.38),(71 5330.7935),(72 5317.677),(73 5335.5273),(74 5265.15),(75 5259.7725),(76 5271.8687),(77 5298.261),(78 5356.2314),(79 5286.8906),
(1 1282.3953),(2 2118.227),(3 2754.9646),(4 3000.896),(5 3288.257),(6 3537.537),(7 3709.8892),(8 3847.5308),(9 4034.2231),(10 4140.4336),(11 4250.251),(12 4286.612),(13 4453.802),(14 4623.713),(15 4605.075),(16 4614.693),(17 4691.5747),(18 4724.919),(19 4738.444),(20 4776.8315),(21 4778.394),(22 4809.525),(23 4864.8003),(24 4778.9697),(25 4750.209),(26 4822.685),(27 4807.6216),(28 4950.2695),(29 4954.6904),(30 4915.5986),(31 4914.993),(32 4895.6836),(33 4907.7314),(34 4913.5503),(35 4888.7065),(36 5003.0596),(37 5066.059),(38 4959.8174),(39 4999.806),(40 5044.59),(41 5029.3164),(42 5034.185),(43 5100.396),(44 5102.587),(45 5106.8574),(46 5161.321),(47 5093.3965),(48 5120.0703),(49 5122.1963),(50 5109.556),(51 5149.0264),(52 5159.335),(53 5141.4263),(54 5080.9727),(55 5062.3926),(56 5073.549),(57 5100.084),(58 5162.1646),(59 5174.2896),(60 5162.2715),(61 5198.8516),(62 5241.067),(63 5326.3394),(64 5377.131),(65 5324.829),(66 5302.0923),(67 5340.4644),(68 5327.684),(69 5335.599),(70 5346.2305),(71 5265.9185),(72 5227.59),(73 5241.13),(74 5171.997),(75 5188.028),(76 5223.1943),(77 5223.3203),(78 5250.537),(79 5200.913),
(1 1257.5918),(2 2075.0217),(3 2620.055),(4 2894.818),(5 3170.2222),(6 3412.7002),(7 3578.2869),(8 3723.8416),(9 3911.5403),(10 3982.1313),(11 4055.2341),(12 4083.2488),(13 4202.018),(14 4337.6914),(15 4344.2666),(16 4328.058),(17 4392.422),(18 4432.4565),(19 4431.0854),(20 4483.5557),(21 4487.2896),(22 4508.559),(23 4579.718),(24 4466.5815),(25 4427.3965),(26 4514.992),(27 4504.0386),(28 4591.2153),(29 4552.6147),(30 4522.664),(31 4558.7725),(32 4543.367),(33 4578.6396),(34 4600.76),(35 4612.544),(36 4684.718),(37 4738.4204),(38 4675.314),(39 4729.8853),(40 4820.691),(41 4775.65),(42 4775.448),(43 4821.074),(44 4765.715),(45 4784.1074),(46 4843.7734),(47 4836.4194),(48 4841.6377),(49 4826.437),(50 4829.775),(51 4874.855),(52 4933.8003),(53 4952.4424),(54 4950.5703),(55 4988.2017),(56 4969.8037),(57 5019.3096),(58 5050.9873),(59 5026.858),(60 5020.0713),(61 5064.1587),(62 5054.9453),(63 5115.184),(64 5137.7993),(65 5115.2827),(66 5070.9683),(67 5102.5913),(68 5033.8613),(69 5051.185),(70 5044.7373),(71 4935.0273),(72 4885.068),(73 4866.3394),(74 4797.8613),(75 4819.5063),(76 4838.0693),(77 4826.563),(78 4919.794),(79 4879.987),
(1 1229.232),(2 1982.5343),(3 2522.9194),(4 2803.2004),(5 3081.0012),(6 3344.7854),(7 3502.6401),(8 3648.2297),(9 3856.0466),(10 3944.043),(11 4015.0305),(12 4069.6277),(13 4215.1357),(14 4296.444),(15 4294.7847),(16 4270.0117),(17 4359.7017),(18 4335.274),(19 4349.785),(20 4400.7583),(21 4403.2266),(22 4407.1187),(23 4465.197),(24 4426.756),(25 4402.2153),(26 4473.5977),(27 4433.3364),(28 4479.108),(29 4428.65),(30 4400.116),(31 4501.8584),(32 4518.9663),(33 4495.4814),(34 4524.0845),(35 4505.7427),(36 4533.922),(37 4576.022),(38 4482.966),(39 4545.0923),(40 4616.384),(41 4547.3096),(42 4535.08),(43 4615.7993),(44 4572.1064),(45 4534.8604),(46 4587.305),(47 4586.8833),(48 4609.0454),(49 4619.8604),(50 4657.943),(51 4739.3525),(52 4748.5313),(53 4699.1836),(54 4695.742),(55 4723.6074),(56 4767.952),(57 4787.024),(58 4836.0454),(59 4811.257),(60 4840.0806),(61 4897.517),(62 4932.8433),(63 4978.9214),(64 4970.949),(65 4873.7554),(66 4875.751),(67 4929.1274),(68 4906.9414),(69 4903.5776),(70 4907.4546),(71 4840.5254),(72 4822.6587),(73 4836.5547),(74 4805.3374),(75 4827.2754),(76 4817.56),(77 4837.9517),(78 4902.432),(79 4854.837),
(1 1254.1532),(2 2056.2974),(3 2593.2456),(4 2798.9988),(5 3026.801),(6 3263.8347),(7 3405.4065),(8 3546.808),(9 3742.4912),(10 3827.5579),(11 3922.8906),(12 4012.9514),(13 4166.559),(14 4277.3916),(15 4301.197),(16 4235.732),(17 4305.8535),(18 4259.6865),(19 4261.947),(20 4300.126),(21 4296.8633),(22 4293.2236),(23 4332.442),(24 4342.549),(25 4422.388),(26 4512.773),(27 4463.9873),(28 4551.379),(29 4539.397),(30 4540.841),(31 4648.9707),(32 4625.9907),(33 4576.102),(34 4606.8047),(35 4629.202),(36 4625.959),(37 4647.999),(38 4613.4116),(39 4702.0737),(40 4750.594),(41 4662.6147),(42 4647.6104),(43 4726.883),(44 4688.647),(45 4641.384),(46 4664.5093),(47 4614.1396),(48 4572.5635),(49 4596.1694),(50 4656.766),(51 4671.456),(52 4676.398),(53 4638.941),(54 4667.0625),(55 4729.48),(56 4768.833),(57 4765.092),(58 4814.351),(59 4803.816),(60 4825.5283),(61 4884.9565),(62 4908.1343),(63 4948.0103),(64 5030.561),(65 4967.1943),(66 4950.949),(67 4961.3037),(68 4967.9863),(69 4970.455),(70 4965.9697),(71 4865.022),(72 4897.3413),(73 4948.057),(74 4859.367),(75 4837.682),(76 4831.8955),(77 4829.1753),(78 4894.3594),(79 4833.5415),
(1 1211.8447),(2 1999.0703),(3 2574.5059),(4 2762.5005),(5 3008.3164),(6 3267.776),(7 3377.765),(8 3570.8225),(9 3725.9666),(10 3803.2349),(11 3835.3738),(12 3860.901),(13 3947.7732),(14 4019.7651),(15 4024.873),(16 3978.9446),(17 4090.7651),(18 4050.435),(19 4064.4148),(20 4082.079),(21 4010.4138),(22 4013.8628),(23 4045.783),(24 3989.0984),(25 4032.3237),(26 4128.578),(27 4064.3408),(28 4148.623),(29 4098.805),(30 4127.7163),(31 4199.24),(32 4194.9077),(33 4147.675),(34 4187.059),(35 4202.566),(36 4244.0435),(37 4272.355),(38 4290.712),(39 4368.3706),(40 4425.242),(41 4319.641),(42 4322.126),(43 4371.029),(44 4327.6763),(45 4295.4385),(46 4304.674),(47 4253.1514),(48 4270.5337),(49 4322.535),(50 4338.0015),(51 4369.4),(52 4384.295),(53 4434.4),(54 4445.3335),(55 4489.9365),(56 4503.4673),(57 4510.571),(58 4528.633),(59 4509.648),(60 4540.643),(61 4530.2793),(62 4499.9497),(63 4542.5264),(64 4622.345),(65 4616.011),(66 4630.201),(67 4695.665),(68 4674.5747),(69 4635.167),(70 4629.9307),(71 4574.355),(72 4589.4355),(73 4630.6733),(74 4562.2188),(75 4536.7686),(76 4572.6323),(77 4560.953),(78 4637.393),(79 4597.585),
(1 1172.9548),(2 1899.5002),(3 2491.1587),(4 2736.6218),(5 2971.0845),(6 3251.4536),(7 3389.5413),(8 3533.3547),(9 3672.8464),(10 3729.9485),(11 3805.6758),(12 3847.1016),(13 3918.4949),(14 4010.6343),(15 4014.1157),(16 4011.939),(17 4127.8237),(18 4091.8054),(19 4108.933),(20 4140.8706),(21 4097.9033),(22 4106.943),(23 4140.3325),(24 4100.996),(25 4112.4966),(26 4158.017),(27 4117.674),(28 4172.07),(29 4145.7163),(30 4176.386),(31 4292.4116),(32 4274.7227),(33 4262.568),(34 4332.01),(35 4364.866),(36 4382.0664),(37 4436.088),(38 4425.6953),(39 4517.685),(40 4573.784),(41 4494.9756),(42 4480.4575),(43 4510.087),(44 4452.763),(45 4444.325),(46 4475.0933),(47 4385.0786),(48 4367.2207),(49 4394.5483),(50 4417.742),(51 4390.219),(52 4394.2803),(53 4435.0684),(54 4449.3457),(55 4455.897),(56 4442.1006),(57 4446.1445),(58 4448.7085),(59 4396.39),(60 4407.038),(61 4440.547),(62 4396.23),(63 4359.888),(64 4397.635),(65 4385.736),(66 4415.848),(67 4454.2417),(68 4406.27),(69 4386.3594),(70 4402.1006),(71 4374.1436),(72 4392.4443),(73 4425.756),(74 4400.9565),(75 4365.703),(76 4371.7344),(77 4375.3965),(78 4442.044),(79 4435.7583),
