1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 42310),(2 145035.33),(3 293235.03),(4 474195.4),(5 685841.1),(6 920195.56),(7 1180534.6),(8 1454106.1),(9 1738944),(10 2021669),(11 2325876.8),(12 2626483.3),(13 2945060.8),(14 3318008.8),(15 3662193.3),(16 4003091.8),(17 4354598),(18 4766065.5),(19 5180551),(20 5612792),(21 6035608.5),(22 6465682),(23 6814402.5),(24 7170707.5),(25 7507366),(26 7934040),(27 8296270.5),(28 8631531),(29 8975224),(30 9343967),(31 9778355),(32 10238506),(33 10677817),(34 11117845),(35 11550829),(36 11959395),(37 12336165),(38 12737316),(39 13132739),(40 13501283),(41 13849568),(42 14177684),(43 14406405),(44 14583483),(45 14778797),(46 14959700),(47 15089005),(48 15235477),(49 15404003),(50 15631077),(51 15817987),(52 16077040),(53 16136013),(54 16251912),(55 16361203),(56 16545389),(57 16845690),(58 17281406),(59 17642258),(60 18139006),(61 18541510),(62 18909680),(63 19239282),(64 19624306),(65 20030190),(66 20528198),(67 21075858),(68 21648238),(69 22198484),(70 22744256),(71 23213330),(72 23643686),(73 24043386),(74 24490032),(75 24948898),(76 25417360),(77 25886016),(78 26326064),(79 26714914),
(1 19776.137),(2 57704.543),(3 93014.01),(4 120788.86),(5 142243.8),(6 159265.11),(7 171670.75),(8 180697.8),(9 191027.55),(10 199192.52),(11 207083.27),(12 214207.67),(13 223744.38),(14 233359.61),(15 240185.64),(16 245137.28),(17 253888.02),(18 262441.8),(19 273375.16),(20 283240.94),(21 292367),(22 301624.38),(23 308874.03),(24 315098.44),(25 321053.97),(26 326422.84),(27 329261.22),(28 332576.3),(29 338956.44),(30 346710.03),(31 354524.6),(32 361647.78),(33 365314.53),(34 367031.13),(35 367683.06),(36 368513.97),(37 368753.28),(38 369308.84),(39 368912.9),(40 367869.7),(41 368026.6),(42 367730),(43 366595.78),(44 365018.5),(45 365092.44),(46 364664.5),(47 364966.56),(48 366263.44),(49 364891.34),(50 362941.97),(51 357553.13),(52 351627.75),(53 346370.9),(54 339279.5),(55 335817.5),(56 330455.1),(57 324596.66),(58 319014.66),(59 315104.72),(60 309712.03),(61 304116.7),(62 301512.4),(63 298198.06),(64 295647.34),(65 294193.44),(66 292386.88),(67 290648.03),(68 287105.4),(69 282553.28),(70 280914.88),(71 280944.66),(72 279527.78),(73 281401.97),(74 286937.44),(75 290611.3),(76 292971.56),(77 294506.44),(78 296739.44),(79 300156.56),
(1 18256.86),(2 53996.332),(3 87199.46),(4 114080.516),(5 134940.33),(6 151828.7),(7 165825.25),(8 177868.92),(9 190607.64),(10 199167.77),(11 207514.55),(12 215350.5),(13 226900.3),(14 237586.31),(15 243310.83),(16 246111.3),(17 253435.02),(18 261177.94),(19 268852.72),(20 275785.3),(21 282317.22),(22 288660.78),(23 292030.47),(24 296602.5),(25 300458.66),(26 305874.8),(27 311698.44),(28 318789.13),(29 327947.56),(30 337317.94),(31 346896.2),(32 357138.6),(33 364143.1),(34 369117.25),(35 371974.5),(36 373939.8),(37 374899.6),(38 375537.3),(39 374178.47),(40 373117.88),(41 373132.03),(42 374582.5),(43 376306.06),(44 377535.94),(45 378986.72),(46 379915.22),(47 381453.8),(48 379205.63),(49 373069.84),(50 369107.8),(51 363220.97),(52 358761.9),(53 354560.88),(54 346783.13),(55 341077.47),(56 334730.16),(57 329696.88),(58 326697.2),(59 323005.75),(60 319243.34),(61 315436.2),(62 314500.7),(63 310356.03),(64 307411.3),(65 304629.84),(66 303001.5),(67 298909),(68 294422.03),(69 289384.6),(70 286874.72),(71 285061.47),(72 283998.88),(73 284938.9),(74 287573.84),(75 287866.6),(76 286691.1),(77 286003.78),(78 287276.25),(79 288534.25),
(1 17260.795),(2 50448.37),(3 82568.234),(4 108325.99),(5 129456.875),(6 145702.73),(7 157157.8),(8 165878.92),(9 175502.88),(10 181914.81),(11 188201.48),(12 193848.05),(13 201509.66),(14 208713.42),(15 213180.75),(16 216812.6),(17 222360.08),(18 228205.45),(19 235136.75),(20 242406.36),(21 247837.27),(22 253356.95),(23 256084.8),(24 258599.86),(25 262054.52),(26 267076.5),(27 271580.72),(28 277120.22),(29 285766.84),(30 295521.7),(31 305172.75),(32 312872.88),(33 320498.13),(34 327326.4),(35 333665.97),(36 339425.03),(37 344082.25),(38 345634.7),(39 344330.53),(40 342803.72),(41 341178.66),(42 340443.66),(43 341823.25),(44 343748),(45 344378.9),(46 342861.28),(47 340732.9),(48 336200.44),(49 330284.72),(50 327369.97),(51 321565.16),(52 315286.9),(53 307895.66),(54 297879.75),(55 288808.75),(56 281395.75),(57 275618.84),(58 272746.84),(59 270298.4),(60 268709.7),(61 266334.7),(62 265262),(63 262057.06),(64 259766.9),(65 258805.03),(66 258713.5),(67 258193.53),(68 257272.67),(69 256495.5),(70 256103.66),(71 254251.39),(72 253895.63),(73 256008.95),(74 259560.77),(75 260609.03),(76 263023.66),(77 265457.4),(78 267102.88),(79 269622.3),
(1 17328.832),(2 51226.24),(3 83728.21),(4 109771.27),(5 130410.42),(6 144812.61),(7 154947.52),(8 162062.02),(9 170374.61),(10 176609.8),(11 183573.44),(12 190421.66),(13 198555.38),(14 208089.34),(15 213602.1),(16 218689.77),(17 227046.39),(18 232627.9),(19 238936.67),(20 245501.08),(21 251341.9),(22 256993.69),(23 259762.39),(24 263052.28),(25 266012.66),(26 270873.16),(27 276640.7),(28 282621.94),(29 290523.8),(30 297729.44),(31 304947.28),(32 311675.75),(33 317139.63),(34 320771.3),(35 320519.78),(36 320083.56),(37 319654.5),(38 321038.53),(39 320220.22),(40 317403.53),(41 315793.22),(42 315829.03),(43 316731.53),(44 316415.22),(45 314949.3),(46 312838.8),(47 310880.44),(48 307726.16),(49 304866.56),(50 302928.22),(51 298107.8),(52 295386.25),(53 291808.53),(54 285515.53),(55 278499.63),(56 273426.94),(57 268772.66),(58 264625.5),(59 260783.38),(60 258340.77),(61 256126.08),(62 254595.97),(63 251840.02),(64 250608.45),(65 251204.06),(66 251445.14),(67 251198.06),(68 249540.39),(69 248381.77),(70 249932.52),(71 253182.88),(72 258366.34),(73 262731.63),(74 267469.8),(75 269957.63),(76 272256.97),(77 272978.28),(78 273513.44),(79 276647.25),
(1 16891.639),(2 48828.836),(3 78808.83),(4 103529.78),(5 123524.4),(6 138657.27),(7 149483.42),(8 157165.75),(9 165323.13),(10 171628.2),(11 178617.23),(12 183427.11),(13 190199.44),(14 196456.58),(15 200303.7),(16 204790.38),(17 209717.3),(18 214865.27),(19 221389.05),(20 227308.63),(21 232764.63),(22 237914.3),(23 241845.42),(24 245249.61),(25 244493.55),(26 243872.55),(27 243969.23),(28 245765.97),(29 250005.1),(30 253428.45),(31 256963.13),(32 262179.5),(33 267678.63),(34 271492.03),(35 274814.7),(36 278136.1),(37 280723.13),(38 284916.6),(39 285938.9),(40 286028.25),(41 285067.2),(42 285682.4),(43 286919.25),(44 287764.2),(45 286512.38),(46 284055.97),(47 282743.75),(48 282038.28),(49 280216.34),(50 280511.63),(51 279958.78),(52 280828.38),(53 281777.2),(54 280008.47),(55 276239.88),(56 271984.2),(57 266761.34),(58 263158.97),(59 258868.89),(60 256989.05),(61 255611.48),(62 253809.02),(63 248388.27),(64 243699.75),(65 240688.39),(66 236723.42),(67 233260.14),(68 231584.89),(69 231473.28),(70 234147.2),(71 235095.58),(72 235833.63),(73 235760.2),(74 238561.16),(75 238442.69),(76 238483.23),(77 238610.84),(78 240559.16),(79 242994.7),
(1 17148.709),(2 49902.13),(3 79889.58),(4 102927.06),(5 120977.6),(6 133914.13),(7 142370.92),(8 148476.22),(9 155558.78),(10 160370.06),(11 165620.4),(12 168218.97),(13 173803.64),(14 179158.06),(15 182144.27),(16 185232.3),(17 192009.52),(18 199300.94),(19 205138.61),(20 208478.98),(21 210647.02),(22 213198.69),(23 214958.95),(24 215294.8),(25 215045.34),(26 216785.34),(27 219861.23),(28 224943.11),(29 231982.77),(30 239774.5),(31 246422.44),(32 251915.66),(33 257531.75),(34 264463.3),(35 267430.34),(36 269903.8),(37 271782.53),(38 274243.47),(39 274080.8),(40 273764.4),(41 273818.2),(42 273947.13),(43 276441.13),(44 277368.7),(45 277335.66),(46 274802.78),(47 271517.16),(48 269582.9),(49 266742.6),(50 266265.44),(51 264522.53),(52 264439.38),(53 263066.5),(54 258666.8),(55 253016.1),(56 247778.66),(57 242273.2),(58 238159.44),(59 233887.02),(60 232288.1),(61 231039.66),(62 233304.55),(63 232223.75),(64 230446.8),(65 228132.55),(66 224360.6),(67 221451.14),(68 221375.56),(69 222608.73),(70 223502.58),(71 222321.78),(72 220637.9),(73 220213.88),(74 222793.64),(75 223247.02),(76 224080.73),(77 224821.03),(78 227329.73),(79 230389.81),
(1 17694.28),(2 51361.227),(3 81585.56),(4 105832.984),(5 124197.59),(6 136856.4),(7 144210.72),(8 150691.95),(9 158336.55),(10 164020.94),(11 170391.28),(12 175798.17),(13 183419.05),(14 190614.05),(15 195342.8),(16 200099.75),(17 209012.58),(18 216424.34),(19 224168.45),(20 229657.36),(21 234165.06),(22 240149.38),(23 241598.02),(24 243489.42),(25 246264.45),(26 251666.38),(27 256448.05),(28 263048.5),(29 271220.22),(30 277837.22),(31 282791.94),(32 288883.56),(33 296301.13),(34 305502.66),(35 312482.25),(36 319548.34),(37 323877.88),(38 326289.22),(39 325395.72),(40 322559.16),(41 319929.22),(42 319328.84),(43 320990.16),(44 322822.16),(45 323484.1),(46 320812.34),(47 315839.5),(48 311275.94),(49 305638.72),(50 302149.03),(51 296887.06),(52 292129.13),(53 286219.97),(54 277384.53),(55 269934.3),(56 262652.38),(57 255092.9),(58 248438.77),(59 243389.48),(60 238489.28),(61 235246.17),(62 234413.31),(63 230686.36),(64 228614.9),(65 227669.06),(66 227394.31),(67 229457.73),(68 232241.56),(69 233727.39),(70 234410.95),(71 234086.1),(72 233816.39),(73 235795.77),(74 241316.81),(75 243993.2),(76 247207.63),(77 249639.31),(78 252802.98),(79 255269.7),
(1 16910.092),(2 48721.785),(3 77804.6),(4 100066.87),(5 117022.43),(6 128200.47),(7 135297.06),(8 138658.1),(9 142304.63),(10 145856.52),(11 150338.56),(12 155761.31),(13 164642.81),(14 173660.63),(15 181520.8),(16 188152.72),(17 196761.28),(18 203465.1),(19 210000.81),(20 213823.19),(21 216008.6),(22 218888.69),(23 220942.38),(24 223655.38),(25 227328.33),(26 233040.52),(27 237997.92),(28 243683.48),(29 250533.08),(30 256580.86),(31 261053.14),(32 265793.3),(33 270622.44),(34 274230.16),(35 275464.28),(36 277033.2),(37 277480.97),(38 278252.8),(39 279281.53),(40 279350.44),(41 279378.4),(42 279525.78),(43 277986.38),(44 276324.22),(45 272157.22),(46 268456.66),(47 265267.13),(48 261353.73),(49 256517.92),(50 251985.9),(51 246158.81),(52 240662.31),(53 234781.44),(54 228166.14),(55 224366.1),(56 221521),(57 217423.38),(58 214712.63),(59 212958.33),(60 211843.7),(61 211895.73),(62 214206.06),(63 214507.72),(64 215359.11),(65 215377.28),(66 215277.73),(67 214110.61),(68 210806.14),(69 206364.72),(70 204152.48),(71 203951.44),(72 204357.86),(73 206224.17),(74 210430.73),(75 214340.97),(76 216764.3),(77 218603.33),(78 219980.48),(79 221743.27),
(1 14982.438),(2 42516.16),(3 66984),(4 85929),(5 99707.18),(6 109066.195),(7 114352.12),(8 117467.88),(9 121839.766),(10 125966.38),(11 131813.53),(12 138918.14),(13 146443.34),(14 154380.58),(15 159962.92),(16 164778.45),(17 169983.1),(18 175517.25),(19 181202.77),(20 185799.81),(21 189126.61),(22 191897.5),(23 192548.88),(24 193002),(25 193845.73),(26 198112.16),(27 202320.06),(28 206727.34),(29 211343.14),(30 215361.02),(31 219214.69),(32 222903.45),(33 225519.56),(34 227992.19),(35 229980.61),(36 232573.73),(37 235339.3),(38 239195.86),(39 240105.53),(40 238948.5),(41 236534.92),(42 234667.47),(43 234157.55),(44 234463.48),(45 235743.39),(46 235995.05),(47 234929.08),(48 231715.44),(49 226999.66),(50 224451.6),(51 221265.22),(52 218839.48),(53 215041.48),(54 209819.27),(55 205458.75),(56 201698.17),(57 198588.58),(58 196179.19),(59 193548.3),(60 192124.92),(61 191043.77),(62 192301.6),(63 190367.31),(64 189066.67),(65 188181.7),(66 187620.81),(67 187325.45),(68 188330.1),(69 188708.06),(70 189308.78),(71 189112.73),(72 188982.7),(73 187757.48),(74 188104.7),(75 187732.23),(76 187474.25),(77 186373.34),(78 186078.08),(79 186365.16),
(1 14118.654),(2 39695.266),(3 61947.67),(4 78814.53),(5 91278.15),(6 100750.63),(7 107611.734),(8 114118.625),(9 120985.92),(10 127037.93),(11 133738.34),(12 139850.1),(13 146806.83),(14 152588.27),(15 157016.55),(16 162215.06),(17 168642.75),(18 173025.84),(19 176093.1),(20 179002.55),(21 180302.1),(22 181812.69),(23 181987.36),(24 182066.48),(25 182645.47),(26 185198),(27 187712.17),(28 189930.52),(29 192471.47),(30 195173.56),(31 196688.8),(32 198414.42),(33 200414.92),(34 201490.17),(35 202768.22),(36 204815.69),(37 206254.17),(38 206201.08),(39 205767.47),(40 204564.05),(41 203980.47),(42 203294.64),(43 203231.75),(44 203102.06),(45 202644.06),(46 201068.47),(47 200306.14),(48 197911.56),(49 194767.36),(50 194377.88),(51 193439.05),(52 192102.64),(53 189064.84),(54 184038.9),(55 180944.81),(56 180154.08),(57 180166.83),(58 180632.27),(59 180476.42),(60 180802.83),(61 179963.84),(62 182417.27),(63 183454.31),(64 184875.73),(65 186281.81),(66 185961.58),(67 186157.38),(68 185730.67),(69 183432.92),(70 181491.95),(71 179632.67),(72 178904.72),(73 178669.03),(74 179749.81),(75 179705.52),(76 179682.16),(77 180315.69),(78 180983.5),(79 181815.28),
(1 14411.568),(2 40249.984),(3 62470.78),(4 78896.13),(5 90834.734),(6 99748.78),(7 106274.055),(8 112562.19),(9 119674.32),(10 125514.17),(11 131604.69),(12 136614.19),(13 142702.1),(14 149650.31),(15 155603.83),(16 162933.06),(17 171896.53),(18 177602.95),(19 183775.63),(20 188510.4),(21 192197.02),(22 195381.78),(23 196952.69),(24 199349.11),(25 201637.42),(26 204819.39),(27 207913.06),(28 212038.47),(29 216815.81),(30 220770.39),(31 223765.06),(32 227262.3),(33 230015.97),(34 232902.58),(35 235295.97),(36 236807.14),(37 236513.4),(38 238121.45),(39 238299.4),(40 236883.22),(41 237170.02),(42 237423.77),(43 238423.77),(44 238304.56),(45 236180.23),(46 233630.84),(47 231209.89),(48 227498.73),(49 222768.3),(50 220106.97),(51 214626.33),(52 208334.16),(53 201448.33),(54 194616.13),(55 190850.67),(56 187052.66),(57 183859.95),(58 181935.27),(59 180347.88),(60 179463.25),(61 178384.92),(62 180734.7),(63 182361.23),(64 184623.38),(65 185206.73),(66 184644.81),(67 184643.31),(68 184145.75),(69 183894.36),(70 185749.39),(71 186631.81),(72 187506.97),(73 188841.42),(74 191620.56),(75 192549.2),(76 193166.13),(77 194333.44),(78 195611.7),(79 196497.52),
(1 14711.777),(2 41581.05),(3 65616.34),(4 84159.86),(5 98119.41),(6 108007.555),(7 115156.93),(8 122903.52),(9 131214.95),(10 139107.17),(11 146352.06),(12 153101.53),(13 160267.78),(14 167270.78),(15 173769.53),(16 180996.86),(17 190929.78),(18 199056.22),(19 206555.14),(20 213182.94),(21 217698.28),(22 222174.11),(23 224450.33),(24 228064.28),(25 232301.53),(26 238035.53),(27 244133.55),(28 250705.05),(29 257998.67),(30 264189.38),(31 268820.97),(32 272998.34),(33 277704.06),(34 283155.56),(35 288799.2),(36 293046.13),(37 296004.9),(38 299724.8),(39 300758.9),(40 300315.2),(41 301365.7),(42 302021.8),(43 302719.06),(44 301371.8),(45 296928.7),(46 291828.34),(47 287450.53),(48 281477.38),(49 273223.47),(50 266749.1),(51 257949.98),(52 249426.34),(53 242694.67),(54 234440.64),(55 228778.7),(56 222853.36),(57 217097.61),(58 213593.02),(59 209663.45),(60 205755.05),(61 202800.23),(62 202635.45),(63 200462.27),(64 198979.33),(65 196400.19),(66 193853.33),(67 192119.16),(68 191543.19),(69 192765.52),(70 195183.8),(71 197059.33),(72 198982.8),(73 200849.28),(74 203637.86),(75 202689.95),(76 201923.8),(77 199579.22),(78 197004.06),(79 194797.72),
(1 14373.767),(2 40073.23),(3 62101.547),(4 78560.97),(5 91233.305),(6 99915.01),(7 105208.125),(8 110608.234),(9 116697.27),(10 122914.83),(11 130128.56),(12 136778.34),(13 142621.67),(14 146931.6),(15 148744.13),(16 151048.73),(17 154554.67),(18 157539.11),(19 160878.22),(20 162952.95),(21 164735.44),(22 166094.3),(23 166422.27),(24 167067.48),(25 168631.73),(26 173957.69),(27 178327.77),(28 182801.7),(29 187870.1),(30 192463.69),(31 197349.97),(32 201575.33),(33 205500.22),(34 208103.48),(35 209167.14),(36 209394.38),(37 210011.94),(38 212669.13),(39 212922.56),(40 211863.89),(41 211377.36),(42 211245.81),(43 211235.64),(44 210151.06),(45 207972.7),(46 206043.8),(47 203394.81),(48 201730.25),(49 199543.25),(50 198692.97),(51 195488.47),(52 192410.45),(53 189126.75),(54 185411.69),(55 182120.06),(56 179932.03),(57 179164.44),(58 178798.53),(59 178360.1),(60 177665.22),(61 176192.61),(62 176908.28),(63 174416.69),(64 171507.34),(65 167374),(66 165259.23),(67 165395.48),(68 167137.11),(69 168871.33),(70 170872.69),(71 173092.06),(72 172317.61),(73 171144.6),(74 171694.55),(75 171505.16),(76 171481.88),(77 170349.36),(78 169110.73),(79 169146.05),
(1 13719.193),(2 37931.176),(3 58435.332),(4 74384.95),(5 87028.42),(6 96311.945),(7 102945.32),(8 107492.27),(9 113580.83),(10 118989.72),(11 123906.55),(12 127275.35),(13 131978.61),(14 137120.38),(15 139982.3),(16 143609.28),(17 148886.73),(18 152654.72),(19 156569.14),(20 161038.53),(21 164156.08),(22 167219.63),(23 168388.31),(24 170420.7),(25 174302.64),(26 179983.72),(27 183802.4),(28 187001.44),(29 190570.88),(30 193929.14),(31 198216.38),(32 202281.33),(33 205732.19),(34 208288.58),(35 209110.27),(36 209452.94),(37 208678.19),(38 208025.08),(39 207093.5),(40 205604.22),(41 204215.25),(42 204251.05),(43 203919.61),(44 204951.48),(45 204961.2),(46 203514.31),(47 202179.38),(48 199628.63),(49 196766.44),(50 194784.08),(51 191131.66),(52 188143.11),(53 184390.16),(54 178958.13),(55 174448.98),(56 170570.34),(57 169522.83),(58 170377.47),(59 170828.97),(60 170633.05),(61 170239.31),(62 170412.95),(63 168599.58),(64 167713.47),(65 166560.45),(66 165769.56),(67 165221.92),(68 165378.33),(69 165671.47),(70 167102.08),(71 167721.11),(72 167522.19),(73 168301.5),(74 170160.78),(75 169209.8),(76 168193.38),(77 166851.4),(78 167328.48),(79 168551.45),
(1 12724.775),(2 34733.39),(3 53112.79),(4 66639.67),(5 77560.18),(6 85550.24),(7 91101.38),(8 95677.734),(9 101435.125),(10 105633.97),(11 109713.336),(12 114237.914),(13 119546.22),(14 124175.484),(15 127378.016),(16 130810.88),(17 135357.84),(18 141027.05),(19 146388.2),(20 150907.58),(21 154055.14),(22 157285.16),(23 158782.14),(24 161251.16),(25 164746.66),(26 169418.3),(27 172544.47),(28 174618.64),(29 176792.86),(30 178969.22),(31 182426.1),(32 186031.86),(33 188372.94),(34 190723.2),(35 191275.64),(36 190992.53),(37 190682.14),(38 191354.78),(39 189030.47),(40 186804.36),(41 186045.86),(42 185135.52),(43 184843.58),(44 184625.11),(45 185434.9),(46 185341.11),(47 183876.44),(48 180580.25),(49 176750.44),(50 174675.23),(51 170049.33),(52 166270.4),(53 162728.69),(54 159009.22),(55 156291.53),(56 153814.03),(57 153035.16),(58 153100.95),(59 151952.67),(60 150169.83),(61 148014.77),(62 148403.81),(63 148376.83),(64 148371.77),(65 147390.86),(66 147445.8),(67 146520.2),(68 145591.86),(69 145641.1),(70 146286.73),(71 146761.67),(72 148044.97),(73 148790.9),(74 151514.78),(75 152468.4),(76 153459.81),(77 153814.64),(78 152872.1),(79 152994.56),
(1 12505.267),(2 34091.305),(3 51948.543),(4 65947.85),(5 77312.23),(6 85259.2),(7 90414.56),(8 94759.84),(9 100791.4),(10 106642.46),(11 111681.78),(12 113712.266),(13 117166.63),(14 122226.2),(15 127339.7),(16 133273.61),(17 140266.73),(18 145803.75),(19 149733.5),(20 153693.45),(21 156116.6),(22 158006.84),(23 160038.69),(24 162475.86),(25 165556.06),(26 169109.83),(27 170174.45),(28 172294.39),(29 176251.13),(30 180783.64),(31 184872.16),(32 189081.2),(33 192104.45),(34 194084.1),(35 193432.97),(36 192027.69),(37 190143.44),(38 189403.66),(39 188488.08),(40 187425.58),(41 187805.86),(42 188108.25),(43 189273.73),(44 189881.08),(45 189194.03),(46 187414.36),(47 184811.22),(48 181220.38),(49 176439.42),(50 173553.14),(51 169690.89),(52 165669.67),(53 161867.05),(54 157918.33),(55 155610.7),(56 153530.73),(57 152193.25),(58 152797.08),(59 152078.3),(60 151345.88),(61 151028.34),(62 151158.56),(63 149632.1),(64 148943.66),(65 149383.53),(66 149936.69),(67 148185.45),(68 146903.06),(69 146740.64),(70 148082.63),(71 149086.23),(72 150321.5),(73 150961.95),(74 151677.8),(75 150415.25),(76 149440.25),(77 148941.58),(78 148747.63),(79 148731.36),
(1 13066.23),(2 35655.348),(3 54256.61),(4 68852.8),(5 79992.05),(6 87359.49),(7 92179.44),(8 96791.35),(9 102447.94),(10 106513.375),(11 109569.23),(12 111379.11),(13 114662.15),(14 119983.07),(15 124654.836),(16 128718.78),(17 133019.16),(18 136704.64),(19 139574.84),(20 141487.75),(21 143023.86),(22 144618.73),(23 145515.72),(24 146825.64),(25 148484.06),(26 151933.81),(27 154810.52),(28 158393.05),(29 163171.23),(30 167226.38),(31 170720.44),(32 173734.84),(33 174690.61),(34 175207.69),(35 175053.42),(36 175397.31),(37 175507.7),(38 177329.98),(39 177393.52),(40 176949.42),(41 177244.27),(42 177239.9),(43 175884.88),(44 174202.23),(45 172955.56),(46 170959.84),(47 168451.73),(48 165121.78),(49 162020.88),(50 160513.33),(51 157655.61),(52 154623.25),(53 151935.98),(54 150108.1),(55 149157.53),(56 147610.22),(57 147056.31),(58 146615.23),(59 145750.36),(60 144599.69),(61 143744.17),(62 144853),(63 143885.72),(64 142618.69),(65 141793.4),(66 141831.14),(67 141286.56),(68 142347.55),(69 142744.34),(70 142617.86),(71 141271.28),(72 140412.66),(73 140805.6),(74 142083.1),(75 143192.67),(76 144600.56),(77 146390.97),(78 147263.08),(79 148754.33),
(1 12859.494),(2 35606.89),(3 54786.215),(4 68823.65),(5 79260.336),(6 86275.086),(7 90768.1),(8 95043.01),(9 100325.945),(10 104163.3),(11 108768.69),(12 112579.09),(13 117059),(14 123149.72),(15 127836.38),(16 131557.5),(17 134546.89),(18 136644.27),(19 138413.36),(20 140296.8),(21 142208.34),(22 143018.95),(23 142466.92),(24 141633.34),(25 141883.92),(26 143522),(27 145104.58),(28 148466.92),(29 151975.73),(30 155129.95),(31 158174.95),(32 160517.48),(33 162045.8),(34 162600.4),(35 163122.3),(36 163567.81),(37 163854.86),(38 165063.86),(39 165584.98),(40 166020.39),(41 166285.8),(42 165384.22),(43 163879.75),(44 162303.55),(45 160414.19),(46 157887.42),(47 155232.45),(48 152841.42),(49 149423.36),(50 147323.45),(51 144685.33),(52 142672.75),(53 140335.52),(54 137918.06),(55 136041.86),(56 135210.25),(57 136164.72),(58 137224.3),(59 138380.86),(60 139636.53),(61 140478.06),(62 140779.94),(63 138983.86),(64 137251.23),(65 135877.14),(66 134523.8),(67 133993.22),(68 133163.19),(69 133260.11),(70 134394.16),(71 135616.08),(72 137260.89),(73 139117.61),(74 140440.02),(75 140270.83),(76 141712.23),(77 144081.5),(78 145593.22),(79 145769.64),
