1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1189.7887),(2 1552.558),(3 1799.9923),(4 1997.1335),(5 2147.4783),(6 2269.901),(7 2377.782),(8 2469.7043),(9 2536.498),(10 2607.9558),(11 2659.9932),(12 2688.9324),(13 2737.795),(14 2750.3254),(15 2794.1448),(16 2789.4954),(17 2788.135),(18 2839.415),(19 2797.1),(20 2737.5583),(21 2736.0144),(22 2726.0042),(23 2745.8958),(24 2755.6548),(25 2755.2444),(26 2719.7551),(27 2766.0723),(28 2815.0977),(29 2786.836),(30 2803.3062),(31 2828.5237),(32 2805.4492),(33 2808.389),(34 2821.7385),(35 2848.0085),(36 2826.5496),(37 2835.0898),(38 2812.8848),(39 2824.983),(40 2813.2559),(41 2817.0002),(42 2819.5447),(43 2850.459),(44 2841.4646),(45 2822.2817),(46 2823.1465),(47 2825.308),(48 2843.5566),(49 2844.4111),(50 2819.6367),(51 2880.1704),(52 2874.142),(53 2887.483),(54 2858.9478),(55 2865.459),(56 2889.6357),(57 2892.9802),(58 2876.6375),(59 2878.5928),(60 2878.6846),(61 2872.4026),(62 2878.7844),(63 2884.3145),(64 2867.9094),(65 2883.696),(66 2874.4417),(67 2859.174),(68 2865.6775),(69 2859.2122),(70 2851.57),(71 2860.9985),(72 2825.736),(73 2838.8567),(74 2835.2153),(75 2857.5383),(76 2835.3035),(77 2822.5913),(78 2793.178),(79 2794.5693),
(1 1178.6028),(2 1529.3523),(3 1769.4475),(4 1970.501),(5 2098.1123),(6 2194.618),(7 2321.3645),(8 2413.2524),(9 2490.5347),(10 2574),(11 2582.748),(12 2639.1926),(13 2662.3042),(14 2653.6387),(15 2704.182),(16 2697.2542),(17 2695.7375),(18 2722.6116),(19 2704.567),(20 2683.4758),(21 2668.6367),(22 2627.8796),(23 2644.8086),(24 2671.7825),(25 2689.0215),(26 2668.2244),(27 2720.141),(28 2756.7888),(29 2736.7761),(30 2726.744),(31 2750.1191),(32 2761.4092),(33 2781.904),(34 2777.0317),(35 2792.6282),(36 2798.4111),(37 2804.726),(38 2767.2964),(39 2775.239),(40 2772.5532),(41 2739.7324),(42 2746.1243),(43 2726.808),(44 2723.3398),(45 2722.4683),(46 2694.481),(47 2711.0164),(48 2739.622),(49 2712.4612),(50 2737.45),(51 2768.7434),(52 2775.594),(53 2806.0825),(54 2777.185),(55 2772.1462),(56 2776.5012),(57 2755.9631),(58 2775.4255),(59 2761.6912),(60 2762.494),(61 2767.4785),(62 2755.5242),(63 2732.7485),(64 2722.228),(65 2710.1267),(66 2725.7148),(67 2723.42),(68 2726.8525),(69 2716.082),(70 2734.9563),(71 2727.39),(72 2712.716),(73 2711.3037),(74 2704.7095),(75 2730.2324),(76 2722.2532),(77 2720.8816),(78 2721.6628),(79 2734.887),
(1 1198.8749),(2 1535.1145),(3 1774.7672),(4 1962.0967),(5 2060.191),(6 2159.861),(7 2292.2998),(8 2412.2327),(9 2451.7534),(10 2563.4063),(11 2613.5852),(12 2665.523),(13 2662.564),(14 2659.4644),(15 2691.7705),(16 2675.319),(17 2689.5627),(18 2732.3127),(19 2721.9631),(20 2701.3174),(21 2696.3235),(22 2632.7375),(23 2625.5725),(24 2645.2085),(25 2628.417),(26 2608.9136),(27 2625.3044),(28 2630.2542),(29 2606.3755),(30 2604.8318),(31 2612.8943),(32 2625.2673),(33 2654.225),(34 2666.7146),(35 2702.5742),(36 2707.139),(37 2719.9297),(38 2709.1572),(39 2718.2317),(40 2713.8145),(41 2689.076),(42 2688.986),(43 2654.8572),(44 2661.8787),(45 2660.173),(46 2660.2405),(47 2711.6501),(48 2733.5144),(49 2704.9014),(50 2756.0767),(51 2831.095),(52 2818.945),(53 2842.1506),(54 2852.6206),(55 2839.1921),(56 2865.1594),(57 2823.264),(58 2811.715),(59 2803.32),(60 2769.8289),(61 2763.0408),(62 2770.3113),(63 2780.2068),(64 2792.9216),(65 2797.5488),(66 2818.0874),(67 2807.7224),(68 2784.9426),(69 2765.1013),(70 2759.4473),(71 2752.2017),(72 2727.7046),(73 2717.6145),(74 2727.2444),(75 2740.9177),(76 2763.2397),(77 2756.9673),(78 2770.6143),(79 2797.826),
(1 1177.8597),(2 1518.0767),(3 1752.1611),(4 1932.3104),(5 2062.2668),(6 2155.2605),(7 2283.6003),(8 2372.2163),(9 2404.9753),(10 2476.194),(11 2554.0251),(12 2585.3604),(13 2587.2854),(14 2568.1692),(15 2583.8374),(16 2589.2974),(17 2577.049),(18 2629.6257),(19 2628.6357),(20 2596.1812),(21 2602.8933),(22 2560.556),(23 2529.7563),(24 2565.7712),(25 2561.0146),(26 2546.0566),(27 2554.7122),(28 2549.0781),(29 2522.9302),(30 2533.6104),(31 2521.0215),(32 2509.48),(33 2545.8057),(34 2545.5107),(35 2579.5823),(36 2590.5637),(37 2623.6882),(38 2624.4038),(39 2653.759),(40 2638.6062),(41 2637.1858),(42 2630.5596),(43 2654.862),(44 2642.8042),(45 2650.047),(46 2627.0178),(47 2649.7534),(48 2669.6316),(49 2676.668),(50 2692.6267),(51 2713.939),(52 2738.0073),(53 2749.648),(54 2758.148),(55 2756.3408),(56 2787.7102),(57 2763.7197),(58 2779.4268),(59 2793.0093),(60 2783.0283),(61 2770.7908),(62 2779.4548),(63 2803.1238),(64 2805.6296),(65 2791.0986),(66 2776.5903),(67 2776.9463),(68 2786.339),(69 2768.5117),(70 2761.2363),(71 2737.6204),(72 2692.7737),(73 2698.1318),(74 2687.1892),(75 2673.6987),(76 2699.6328),(77 2680.4192),(78 2687.3596),(79 2704.29),
(1 1224.1195),(2 1570.0471),(3 1804.0403),(4 1997.3383),(5 2105.0945),(6 2236.9285),(7 2353.7063),(8 2431.8982),(9 2486.5981),(10 2552.632),(11 2601.8267),(12 2645.6467),(13 2662.2263),(14 2637.1628),(15 2661.1355),(16 2624.253),(17 2625.0986),(18 2673.1316),(19 2670.2322),(20 2625.9714),(21 2657.5374),(22 2609.962),(23 2609.918),(24 2622.188),(25 2623.2168),(26 2607.4587),(27 2636.7224),(28 2629.1704),(29 2593.7483),(30 2612.488),(31 2582.1235),(32 2570.57),(33 2594.054),(34 2589.8108),(35 2611.2869),(36 2595.4587),(37 2618.8428),(38 2632.7249),(39 2655.4285),(40 2660.9954),(41 2658.3867),(42 2670.1182),(43 2681.6694),(44 2681.8228),(45 2688.4338),(46 2680.5203),(47 2694.9033),(48 2727.1392),(49 2726.5247),(50 2729.2805),(51 2780.8342),(52 2791.204),(53 2779.07),(54 2772.73),(55 2755.4407),(56 2786.7021),(57 2789.3381),(58 2794.7961),(59 2811.0232),(60 2821.5713),(61 2765.5505),(62 2779.3447),(63 2793.3994),(64 2768.235),(65 2763.48),(66 2740.2095),(67 2768.8623),(68 2777.216),(69 2750.5093),(70 2764.605),(71 2751.7314),(72 2699.1965),(73 2683.03),(74 2684.6375),(75 2674.7893),(76 2671.0806),(77 2660.1724),(78 2666.263),(79 2685.0894),
(1 1201.2604),(2 1541.5205),(3 1741.9545),(4 1943.0625),(5 2055.7766),(6 2190.304),(7 2306.7668),(8 2349.46),(9 2373.328),(10 2443.3945),(11 2448.8845),(12 2498.1448),(13 2486.817),(14 2480.1814),(15 2526.1184),(16 2520.7227),(17 2521.7192),(18 2546.3357),(19 2516.9814),(20 2526.2546),(21 2550.4924),(22 2517.1245),(23 2521.9373),(24 2534.706),(25 2549.925),(26 2521.1863),(27 2536.817),(28 2588.0466),(29 2561.224),(30 2573.1824),(31 2530.8984),(32 2515.5996),(33 2518.756),(34 2494.4473),(35 2525.158),(36 2537.6033),(37 2546.3232),(38 2561.8433),(39 2595.336),(40 2584.96),(41 2568.3694),(42 2586.525),(43 2581.6648),(44 2607.6165),(45 2621.592),(46 2597.037),(47 2635.285),(48 2694.4497),(49 2670.231),(50 2669.5967),(51 2724.3176),(52 2720.8835),(53 2746.691),(54 2739.2766),(55 2738.0576),(56 2748.5056),(57 2755.1057),(58 2751.9482),(59 2751.7678),(60 2730.2847),(61 2708.0974),(62 2708.3218),(63 2710.5928),(64 2663.7935),(65 2664.9736),(66 2675.9524),(67 2673.8477),(68 2658.3752),(69 2648.976),(70 2660.0627),(71 2668.1877),(72 2662.1519),(73 2635.327),(74 2640.5464),(75 2603.257),(76 2625.296),(77 2621.4473),(78 2662.1025),(79 2672.4304),
(1 1220.6251),(2 1566.8866),(3 1795.9596),(4 1982.6583),(5 2081.2197),(6 2203.4321),(7 2313.158),(8 2371.7212),(9 2400.2769),(10 2464.165),(11 2474.1304),(12 2528.0771),(13 2529.3718),(14 2519.237),(15 2556.153),(16 2546.544),(17 2536.4),(18 2555.8174),(19 2532.6245),(20 2539.518),(21 2567.264),(22 2541.6985),(23 2549.133),(24 2553.808),(25 2557.97),(26 2535.7952),(27 2522.912),(28 2596.8838),(29 2557.0598),(30 2578.849),(31 2586.9292),(32 2570.291),(33 2594.983),(34 2600.6785),(35 2627.8572),(36 2634.7432),(37 2637.9968),(38 2647.9897),(39 2697.6313),(40 2694.5432),(41 2687.373),(42 2707.8274),(43 2703.0745),(44 2697.614),(45 2712.9438),(46 2686.428),(47 2729.0784),(48 2779.9043),(49 2766.51),(50 2747.85),(51 2801.997),(52 2770.2688),(53 2750.209),(54 2772.6423),(55 2781.154),(56 2791.6802),(57 2781.8857),(58 2780.2776),(59 2789.0847),(60 2765.377),(61 2743.617),(62 2727.3335),(63 2747.0276),(64 2718.2832),(65 2720.7957),(66 2711.8203),(67 2689.3748),(68 2676.8215),(69 2653.4897),(70 2680.6218),(71 2684.079),(72 2643.0737),(73 2656.509),(74 2680.1797),(75 2668.7559),(76 2686.4956),(77 2693.582),(78 2690.3516),(79 2701.0684),
(1 1186.6503),(2 1497.9777),(3 1706.4314),(4 1886.6523),(5 1995.9467),(6 2113.6882),(7 2231.5217),(8 2289.6692),(9 2348.358),(10 2420.4404),(11 2439.4692),(12 2496.7563),(13 2473.417),(14 2459.3672),(15 2485.5488),(16 2451.884),(17 2445.6597),(18 2468.3547),(19 2440.8264),(20 2439.1853),(21 2430.1768),(22 2419.355),(23 2405.554),(24 2423.186),(25 2438.399),(26 2419.229),(27 2435.5615),(28 2483.6094),(29 2440.0251),(30 2474.8284),(31 2512.3408),(32 2490.2878),(33 2514.058),(34 2503.6763),(35 2528.5552),(36 2528.9258),(37 2519.8901),(38 2525.3962),(39 2572.3042),(40 2576.3674),(41 2583.6804),(42 2599.3967),(43 2614.0637),(44 2614.9407),(45 2648.9478),(46 2637.5442),(47 2655.8447),(48 2697.7627),(49 2673.142),(50 2698.2283),(51 2719.318),(52 2682.0144),(53 2669.5916),(54 2682.8948),(55 2664.2117),(56 2675.5427),(57 2694.0728),(58 2667.3076),(59 2669.5203),(60 2652.0469),(61 2654.228),(62 2648.6248),(63 2648.253),(64 2642.5356),(65 2681.7158),(66 2654.8828),(67 2670.7505),(68 2672.3232),(69 2650.0308),(70 2664.5935),(71 2640.7112),(72 2592.5232),(73 2597.8828),(74 2611.4858),(75 2583.8518),(76 2587.3887),(77 2568.7966),(78 2564.78),(79 2584.4353),
(1 1189.5281),(2 1485.7737),(3 1706.8011),(4 1904.9017),(5 2007.206),(6 2121.787),(7 2247.557),(8 2303.8425),(9 2352.0378),(10 2422.7952),(11 2439.384),(12 2489.846),(13 2510.5564),(14 2487.0156),(15 2525.2734),(16 2512.4412),(17 2500.9104),(18 2521.8237),(19 2501.9128),(20 2485.9631),(21 2480.9766),(22 2474.4036),(23 2444.441),(24 2483.6094),(25 2511.074),(26 2496.6885),(27 2516.957),(28 2529.4585),(29 2496.5552),(30 2514.8818),(31 2529.5034),(32 2504.2224),(33 2500.4993),(34 2492.4636),(35 2521.9194),(36 2524.8992),(37 2528.5957),(38 2529.2915),(39 2548.365),(40 2542.478),(41 2531.0195),(42 2559.3474),(43 2561.1028),(44 2598.1604),(45 2618.915),(46 2582.0867),(47 2590.0923),(48 2627.0947),(49 2618.8186),(50 2609.69),(51 2641.1409),(52 2642.4211),(53 2623.7312),(54 2605.5767),(55 2600.1233),(56 2623.9575),(57 2625.4119),(58 2643.0647),(59 2665.465),(60 2662.2383),(61 2658.9844),(62 2656.1968),(63 2662.2896),(64 2679.5598),(65 2705.0566),(66 2677.7163),(67 2691.9211),(68 2687.5688),(69 2673.7422),(70 2649.528),(71 2624.3225),(72 2603.0344),(73 2588.6218),(74 2597.672),(75 2582.2249),(76 2575.1855),(77 2551.9019),(78 2564.823),(79 2598.2874),
(1 1207.6223),(2 1536.1915),(3 1747.1047),(4 1953.1371),(5 2029.2766),(6 2145.9785),(7 2260.637),(8 2304.9053),(9 2344.8005),(10 2429.3413),(11 2438.5444),(12 2462.185),(13 2482.321),(14 2467.9883),(15 2491.2346),(16 2483.5715),(17 2475.928),(18 2507.2104),(19 2470.1914),(20 2474.3643),(21 2478.426),(22 2449.7908),(23 2450.746),(24 2464.2043),(25 2447.48),(26 2433.118),(27 2431.0798),(28 2449.6697),(29 2436.4014),(30 2459.9114),(31 2453.0034),(32 2429.789),(33 2478.1587),(34 2469.6895),(35 2492.729),(36 2520.9832),(37 2540.1995),(38 2528.3462),(39 2576.4414),(40 2563.8035),(41 2573.7998),(42 2584.3628),(43 2576.9753),(44 2596.8271),(45 2617.1409),(46 2619.6003),(47 2646.8054),(48 2698.0688),(49 2657.9373),(50 2621.8882),(51 2629.125),(52 2643.2747),(53 2669.889),(54 2659.4204),(55 2663.236),(56 2722.027),(57 2698.5588),(58 2684.8833),(59 2675.2566),(60 2676.3213),(61 2665.4082),(62 2665.8486),(63 2693.797),(64 2675.7437),(65 2714.8809),(66 2708.801),(67 2687.1563),(68 2693.632),(69 2682.6086),(70 2662.5117),(71 2651.1382),(72 2618.0195),(73 2612.4385),(74 2607.5103),(75 2601.7314),(76 2603.337),(77 2588.9717),(78 2614.9563),(79 2644.145),
(1 1151.1681),(2 1479.9867),(3 1679.7617),(4 1863.4623),(5 1963.4618),(6 2051.3003),(7 2178.7927),(8 2242.2688),(9 2294.9414),(10 2341.0266),(11 2329.849),(12 2344.8516),(13 2383.149),(14 2366.0671),(15 2400.7544),(16 2380.0117),(17 2370.6238),(18 2423.8699),(19 2378.899),(20 2401.4688),(21 2390.5913),(22 2368.9294),(23 2366.4646),(24 2386.934),(25 2341.2944),(26 2321.1677),(27 2342.2634),(28 2379.132),(29 2355.56),(30 2375.0576),(31 2365.544),(32 2361.0938),(33 2390.0771),(34 2405.9382),(35 2423.4807),(36 2434.917),(37 2427.0532),(38 2404.802),(39 2423.1174),(40 2420.4104),(41 2418.995),(42 2445.9836),(43 2429.0024),(44 2448.8853),(45 2470.7886),(46 2476.9348),(47 2487.3635),(48 2515.3982),(49 2505.9448),(50 2513.8357),(51 2543.0862),(52 2525.749),(53 2530.6797),(54 2574.2332),(55 2545.5679),(56 2569.7642),(57 2553.3772),(58 2528.1367),(59 2517.8647),(60 2515.3037),(61 2503.374),(62 2497.4395),(63 2516.8638),(64 2498.5022),(65 2542.5037),(66 2543.4436),(67 2518.1628),(68 2541.0095),(69 2536.6511),(70 2528.3213),(71 2507.7961),(72 2470.348),(73 2455.7437),(74 2438.1277),(75 2428.8567),(76 2455.327),(77 2431.6199),(78 2449.915),(79 2477.167),
(1 1172.3456),(2 1509.0474),(3 1700.167),(4 1876.6552),(5 1982.5165),(6 2118.4683),(7 2265.7258),(8 2318.5984),(9 2403.8174),(10 2456.6553),(11 2463.8499),(12 2483.7249),(13 2492.3088),(14 2474.0498),(15 2516.9592),(16 2504.6711),(17 2484.2324),(18 2477.6338),(19 2481.113),(20 2466.7307),(21 2484.8818),(22 2473.0173),(23 2449.8342),(24 2473.8413),(25 2445.8896),(26 2432.9978),(27 2429.9207),(28 2465.73),(29 2414.9258),(30 2424.475),(31 2415.7493),(32 2398.41),(33 2398.521),(34 2447.232),(35 2459.7803),(36 2468.1484),(37 2469.5217),(38 2462.342),(39 2477.9417),(40 2460.2205),(41 2449.6013),(42 2455.6963),(43 2452.167),(44 2484.9304),(45 2503.3052),(46 2529.8088),(47 2559.8972),(48 2591.4727),(49 2587.17),(50 2646.9636),(51 2683.4565),(52 2653.9631),(53 2640.0913),(54 2650.9636),(55 2609.0837),(56 2636.2126),(57 2612.3704),(58 2596.1675),(59 2609.325),(60 2606.6548),(61 2580.2676),(62 2580.2678),(63 2606.544),(64 2594.7788),(65 2642.253),(66 2652.5337),(67 2650.7979),(68 2682.0427),(69 2660.4915),(70 2660.5298),(71 2660.8677),(72 2608.8389),(73 2579.5566),(74 2563.4038),(75 2521.3728),(76 2529.7568),(77 2494.6519),(78 2520.2612),(79 2510.5852),
(1 1168.4138),(2 1488.4739),(3 1689.9376),(4 1866.5585),(5 1987.0616),(6 2103.259),(7 2249.458),(8 2291.024),(9 2337.2856),(10 2410.318),(11 2408.1414),(12 2456.4993),(13 2471.9563),(14 2460.7039),(15 2506.1538),(16 2488.556),(17 2449.1501),(18 2449.703),(19 2442.2095),(20 2433.3625),(21 2440.3035),(22 2430.644),(23 2413.6663),(24 2442.428),(25 2464.2095),(26 2440.783),(27 2446.614),(28 2498.8208),(29 2448.0525),(30 2427.6252),(31 2407.3652),(32 2435.0227),(33 2413.5486),(34 2445.359),(35 2449.1099),(36 2454.77),(37 2466.4316),(38 2463.0957),(39 2489.0444),(40 2444.333),(41 2454.4802),(42 2481.8806),(43 2482.6042),(44 2504.301),(45 2475.3633),(46 2511.7432),(47 2534.1155),(48 2556.4944),(49 2567.1301),(50 2621.0632),(51 2674.6272),(52 2652.6924),(53 2660.3787),(54 2656.6855),(55 2643.0134),(56 2666.4426),(57 2627.868),(58 2611.9243),(59 2637.349),(60 2614.7349),(61 2565.4084),(62 2572.9653),(63 2578.644),(64 2566.8152),(65 2596.6558),(66 2609.7312),(67 2605.1047),(68 2623.3748),(69 2584.8423),(70 2586.0796),(71 2569.8374),(72 2520.8787),(73 2483.6372),(74 2468.3752),(75 2458.0488),(76 2467.3396),(77 2461.8367),(78 2476.6099),(79 2489.641),
(1 1132.9056),(2 1448.148),(3 1647.7407),(4 1821.4474),(5 1924.754),(6 2047.4135),(7 2155.3245),(8 2190.5222),(9 2221.2534),(10 2320.2283),(11 2311.917),(12 2365.3616),(13 2376.844),(14 2359.4377),(15 2381.558),(16 2382.2175),(17 2375.2275),(18 2390.5874),(19 2374.0781),(20 2364.7817),(21 2388.4666),(22 2363.9185),(23 2352.8726),(24 2378.0457),(25 2377.9092),(26 2357.3237),(27 2387.31),(28 2408.4497),(29 2373.852),(30 2378.7913),(31 2336.8477),(32 2356.8787),(33 2335.4966),(34 2350.042),(35 2377.032),(36 2426.401),(37 2444.0813),(38 2418.461),(39 2410.9758),(40 2398.7366),(41 2436.3267),(42 2465.2664),(43 2474.1843),(44 2461.3176),(45 2465.5999),(46 2469.3684),(47 2515.222),(48 2524.8997),(49 2523.573),(50 2528.9944),(51 2561.0645),(52 2554.7463),(53 2543.875),(54 2528.5771),(55 2542.6807),(56 2559.6511),(57 2535.875),(58 2513.6846),(59 2515.9346),(60 2506.1423),(61 2460.815),(62 2470.1724),(63 2497.9607),(64 2493.0107),(65 2533.627),(66 2511.3933),(67 2505.6848),(68 2515.024),(69 2488.4773),(70 2498.5896),(71 2491.0786),(72 2454.3374),(73 2453.489),(74 2443.8682),(75 2424.3916),(76 2432.202),(77 2408.0015),(78 2419.252),(79 2425.9756),
(1 1159.2003),(2 1469.5377),(3 1668.1748),(4 1857.8599),(5 1965.0406),(6 2062.6772),(7 2185.2808),(8 2220.6992),(9 2262.5642),(10 2332.8115),(11 2362.2793),(12 2415.5823),(13 2425.837),(14 2408.9104),(15 2430.6316),(16 2438.1704),(17 2442.4932),(18 2434.5774),(19 2415.9568),(20 2445.463),(21 2431.0173),(22 2384.5547),(23 2365.9568),(24 2401.5342),(25 2390.5623),(26 2371.197),(27 2413.814),(28 2440.0671),(29 2403.3958),(30 2429.8496),(31 2390.6396),(32 2415.6792),(33 2412.7507),(34 2395.1836),(35 2417.3005),(36 2439.6455),(37 2458.252),(38 2455.83),(39 2449.4966),(40 2446.379),(41 2457.9653),(42 2482.15),(43 2483.135),(44 2486.4595),(45 2505.4612),(46 2509.8704),(47 2538.1482),(48 2560.8928),(49 2546.3164),(50 2524.4287),(51 2570.2173),(52 2558.2405),(53 2545.1685),(54 2531.9177),(55 2551.23),(56 2555.0068),(57 2536.5613),(58 2531.2532),(59 2527.7544),(60 2508.8938),(61 2495.4407),(62 2478.9348),(63 2522.7925),(64 2491.1248),(65 2516.7827),(66 2515.3198),(67 2498.4163),(68 2511.0078),(69 2482.809),(70 2465.2036),(71 2467.4932),(72 2436.1467),(73 2408.5374),(74 2393.677),(75 2425.5515),(76 2404.7954),(77 2393.7876),(78 2399.5664),(79 2423.5156),
(1 1109.9934),(2 1419.0355),(3 1621.9431),(4 1818.6744),(5 1925.2626),(6 2013.5269),(7 2134.044),(8 2161.3604),(9 2180.5623),(10 2228.7988),(11 2277.7412),(12 2316.543),(13 2319.9004),(14 2314.351),(15 2354.3997),(16 2333.8274),(17 2337.4019),(18 2305.3284),(19 2292.006),(20 2313.4514),(21 2298.7817),(22 2278.0059),(23 2261.635),(24 2301.786),(25 2266.5217),(26 2226.5955),(27 2269.977),(28 2288.3027),(29 2256.7722),(30 2293.9348),(31 2291.796),(32 2292.0356),(33 2304.3523),(34 2306.8564),(35 2320.6687),(36 2319.913),(37 2336.3257),(38 2336.2034),(39 2356.155),(40 2335.626),(41 2310.805),(42 2309.8752),(43 2285.9783),(44 2305.0469),(45 2312.8928),(46 2336.6445),(47 2342.5193),(48 2395.03),(49 2390.2249),(50 2388.6187),(51 2448.0942),(52 2425.292),(53 2388.9187),(54 2375.5251),(55 2365.8809),(56 2373.4724),(57 2367.1726),(58 2356.286),(59 2372.5857),(60 2351.4963),(61 2322.7856),(62 2317.9282),(63 2341.8828),(64 2326.1655),(65 2347.4639),(66 2344.6196),(67 2362.5386),(68 2372.227),(69 2357.6174),(70 2347.234),(71 2334.7075),(72 2310.7268),(73 2289.6365),(74 2274.306),(75 2261.7773),(76 2231.8796),(77 2226.2566),(78 2243.686),(79 2261.8604),
(1 1146.7378),(2 1459.2032),(3 1674.4833),(4 1885.4961),(5 1979.1984),(6 2072.744),(7 2203.5793),(8 2255.0303),(9 2292.6296),(10 2332.2598),(11 2387.2625),(12 2412.4097),(13 2424.17),(14 2434.789),(15 2475.0403),(16 2452.0466),(17 2426.0344),(18 2412.3818),(19 2383.3494),(20 2388.2898),(21 2373.2058),(22 2354.8704),(23 2340.1191),(24 2347.818),(25 2347.3386),(26 2309.1182),(27 2325.1943),(28 2358.4333),(29 2327.1323),(30 2359.7266),(31 2396.4917),(32 2343.223),(33 2341.0093),(34 2362.6963),(35 2394.8293),(36 2434.2617),(37 2439.2725),(38 2440.6636),(39 2466.0315),(40 2448.8127),(41 2433.6335),(42 2430.3225),(43 2423.0623),(44 2423.2024),(45 2414.4272),(46 2414.827),(47 2441.906),(48 2479.321),(49 2463.2046),(50 2481.7793),(51 2537.0525),(52 2506.5854),(53 2522.4834),(54 2480.9033),(55 2467.1724),(56 2481.4534),(57 2467.315),(58 2440.9314),(59 2482.7869),(60 2479.2595),(61 2450.5137),(62 2421.355),(63 2452.8823),(64 2452.9094),(65 2471.5002),(66 2443.86),(67 2471.4368),(68 2478.9543),(69 2460.9375),(70 2466.9502),(71 2449.7322),(72 2432.6694),(73 2424.5264),(74 2410.8296),(75 2391.0105),(76 2370.5796),(77 2345.178),(78 2358.476),(79 2356.4355),
