1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 6967.228),(2 21284.514),(3 41102.426),(4 62297.996),(5 87935.87),(6 114725.98),(7 146909.3),(8 185690.83),(9 226868.56),(10 264261.6),(11 309582.9),(12 344216.5),(13 387104.9),(14 428389.6),(15 467112.84),(16 500926.16),(17 530822.94),(18 558611.44),(19 586856.7),(20 613279.06),(21 644316.2),(22 677955.25),(23 717637.06),(24 758156.25),(25 801213.7),(26 845846.8),(27 890859.2),(28 930265.5),(29 957707.5),(30 968688.06),(31 956655.5),(32 945010.7),(33 931677.25),(34 912336.2),(35 891344.06),(36 874056.5),(37 851808.2),(38 838397.56),(39 831717.3),(40 828576.3),(41 822635.5),(42 806594.44),(43 789813.8),(44 777670.8),(45 757982.94),(46 726951.8),(47 685575.8),(48 640506.94),(49 594135.5),(50 553156.44),(51 528198.1),(52 518221.84),(53 516259.22),(54 521007.63),(55 536281.25),(56 555392.2),(57 584535.9),(58 613458.7),(59 639591.7),(60 657969.56),(61 671063.9),(62 690126.25),(63 716814.5),(64 736666.3),(65 751467.2),(66 767178.5),(67 784997.06),(68 810844.44),(69 838007),(70 859333.2),(71 877100.2),(72 881766.3),(73 892458),(74 902456.3),(75 902128.2),(76 907858.06),(77 915013.56),(78 916135.8),(79 917635.5),
(1 5529.0654),(2 16305.823),(3 29604.494),(4 43704.227),(5 58705.97),(6 73246.14),(7 87167.06),(8 101013.23),(9 114870.7),(10 128660.79),(11 141846.27),(12 154675.45),(13 168052.61),(14 180248.67),(15 191062.47),(16 201416.14),(17 211742.81),(18 221211.19),(19 229217.06),(20 237122.67),(21 244251.16),(22 250456.6),(23 255357.84),(24 260606.84),(25 265282.7),(26 270040.28),(27 273476.03),(28 276847.5),(29 279397.3),(30 280951.56),(31 281392.8),(32 281817.6),(33 283000.38),(34 283626.2),(35 283887.44),(36 285123.88),(37 286699.3),(38 288334.78),(39 290518.3),(40 292583.4),(41 295715.4),(42 298194.03),(43 299256.84),(44 300954.2),(45 301930.5),(46 302947.75),(47 303379.06),(48 303955),(49 304870.22),(50 306094),(51 307533.28),(52 310347.16),(53 313038.9),(54 315884.03),(55 317016.7),(56 318638),(57 318988),(58 320109.16),(59 320674.22),(60 321552.6),(61 322130.25),(62 322725.8),(63 322604.44),(64 322732.34),(65 323007.75),(66 323144.56),(67 322670.94),(68 322611.06),(69 323752.53),(70 325380.7),(71 326489.44),(72 327951.53),(73 329722.78),(74 331365.1),(75 332205.6),(76 332671.28),(77 332882.78),(78 333157.22),(79 333142.03),
(1 5813.494),(2 17554.336),(3 32229.693),(4 47418.816),(5 63301.938),(6 78930.58),(7 93449.67),(8 107567.26),(9 121016.57),(10 134340.47),(11 147106.84),(12 159244.34),(13 171490.78),(14 181263.81),(15 190764.84),(16 199900.39),(17 208844.86),(18 217085.22),(19 224486.78),(20 232247.92),(21 239026.19),(22 246502.69),(23 252529.72),(24 258720.38),(25 265188.44),(26 271017),(27 275445.88),(28 279024.1),(29 282204.3),(30 283460.63),(31 284057.75),(32 285038.84),(33 286131.47),(34 286007.6),(35 286374.84),(36 286800.44),(37 287866.03),(38 288730.06),(39 289657.7),(40 290390.22),(41 292053.97),(42 294692.8),(43 296145.47),(44 297092.38),(45 298838.75),(46 301140.5),(47 303151.03),(48 304572.9),(49 305927.44),(50 307264.56),(51 309118.56),(52 311110.28),(53 312659.3),(54 313907.38),(55 315432.75),(56 315780.5),(57 315742.28),(58 316019.63),(59 316396.97),(60 316991.97),(61 317798.53),(62 318389.16),(63 317764.94),(64 317588.7),(65 317641.22),(66 316825.25),(67 317115.03),(68 316705.25),(69 316693.03),(70 316108.44),(71 315173.88),(72 315600.22),(73 316572.97),(74 316884.03),(75 316725.28),(76 317368.44),(77 317949.6),(78 317592.56),(79 317120.5),
(1 5343.4316),(2 15403.683),(3 27701.834),(4 40980.34),(5 55094.86),(6 69047.94),(7 81380.28),(8 92805.96),(9 103788.94),(10 114353.02),(11 124568.89),(12 133922.69),(13 143033.75),(14 151063.23),(15 158526.95),(16 165894.47),(17 173048.97),(18 180164.28),(19 186833.75),(20 194088.19),(21 200026.89),(22 206335.19),(23 210935.58),(24 216128.7),(25 220876.19),(26 225023.02),(27 228902.9),(28 232477.61),(29 236333.84),(30 239576.19),(31 243069.9),(32 246765.42),(33 250432.34),(34 253528.63),(35 256500.53),(36 258066.88),(37 259924.53),(38 262293.66),(39 263672.78),(40 264730.9),(41 267394.38),(42 270381),(43 272583.63),(44 275339.8),(45 278473.03),(46 281892.56),(47 284438.4),(48 287599.44),(49 291101.7),(50 294134),(51 295475.13),(52 297760.78),(53 299489.72),(54 300935.3),(55 301621.4),(56 301948.53),(57 302879.5),(58 302893.5),(59 302863.16),(60 303062.34),(61 304195.4),(62 304739.56),(63 304121.53),(64 303743.63),(65 302144.47),(66 299989.16),(67 298327.28),(68 296507.56),(69 294645.16),(70 292215.4),(71 290532.8),(72 289750.47),(73 289494.38),(74 289778.5),(75 289233.16),(76 288849.1),(77 289077.25),(78 290993.78),(79 291893.4),
(1 5660.5225),(2 16860.871),(3 30571.193),(4 44691.348),(5 58824.97),(6 72241.516),(7 84539.305),(8 96273.15),(9 107607.586),(10 119352.516),(11 129604.586),(12 138932.5),(13 148039.03),(14 155415.75),(15 162895.5),(16 169864.02),(17 176249.5),(18 182769.47),(19 188690.08),(20 194852.17),(21 199349.8),(22 203306.58),(23 206104.28),(24 208858.89),(25 211863.53),(26 215130.61),(27 219260.06),(28 223798.25),(29 227859.77),(30 232331.13),(31 235125.95),(32 237906.06),(33 239589.48),(34 241394.25),(35 243248.77),(36 245358.3),(37 246571.8),(38 246946.53),(39 247490.84),(40 247447.64),(41 249034.97),(42 251161.61),(43 253889.8),(44 256695.02),(45 258791.39),(46 261301.77),(47 263416.56),(48 265152.06),(49 266497.94),(50 267609.9),(51 268231.38),(52 269977.7),(53 270448.5),(54 270889.94),(55 270763.56),(56 271262.03),(57 272500.78),(58 272824.4),(59 273425.38),(60 274872.34),(61 277340.56),(62 280454.5),(63 282900.94),(64 284500.84),(65 286297.47),(66 287860.47),(67 288956.5),(68 289288.63),(69 289224.56),(70 288075.03),(71 286434.22),(72 285050.13),(73 283583.8),(74 283204.25),(75 282445),(76 282012.97),(77 283356.5),(78 284353.6),(79 285334.06),
(1 5341.4097),(2 15630.256),(3 28079.016),(4 41196.707),(5 54038.586),(6 66333.78),(7 77860.83),(8 88663.92),(9 99215.78),(10 109840.805),(11 119546.516),(12 129364.64),(13 139612.47),(14 148475.38),(15 156345.5),(16 162874.72),(17 169480.89),(18 175059.55),(19 179920.97),(20 184833.03),(21 188692.47),(22 191851.03),(23 195729.38),(24 200536.9),(25 204946.58),(26 209015.72),(27 213788.16),(28 217827.2),(29 220619.11),(30 223471.1),(31 226508.47),(32 229297.73),(33 231343.63),(34 232658.13),(35 233976.67),(36 235024.2),(37 235637.73),(38 236113.94),(39 236758.72),(40 237039.33),(41 238543.16),(42 238927.9),(43 240423.73),(44 241411.28),(45 241426.45),(46 241529.73),(47 241753.2),(48 242878.64),(49 243884.53),(50 244943.78),(51 245637.39),(52 247270.08),(53 248472.66),(54 250181.72),(55 251167.11),(56 252276.28),(57 253058.33),(58 253865.11),(59 254133.11),(60 255814.84),(61 258015.22),(62 259857.63),(63 261231.45),(64 262705.22),(65 264035.72),(66 265437.66),(67 266240.22),(68 267518.22),(69 268343.94),(70 268681.03),(71 268852.16),(72 268958.47),(73 269343.97),(74 269837.97),(75 269945.78),(76 270097.13),(77 271362.4),(78 273311.13),(79 275513.06),
(1 5357.623),(2 15713.855),(3 28158.088),(4 41075.348),(5 54290.12),(6 66938.68),(7 79301.875),(8 91081.67),(9 102899.1),(10 114700.15),(11 126024.14),(12 137519.77),(13 148128.52),(14 156662.64),(15 164320.78),(16 170514.97),(17 176647.02),(18 182507.05),(19 187208.81),(20 192325.64),(21 196186.13),(22 199857.03),(23 202619.22),(24 205905.48),(25 210120.67),(26 212293.47),(27 214573.14),(28 217322.39),(29 219698.23),(30 221755.38),(31 223301.52),(32 224471.6),(33 224381.69),(34 224001.19),(35 224783.1),(36 225452.63),(37 224504.72),(38 224001.7),(39 223947.06),(40 224307.3),(41 225472.6),(42 226362.86),(43 227098.94),(44 227735.72),(45 227138.17),(46 227260.39),(47 227758.75),(48 228163.92),(49 228935.44),(50 230267.69),(51 232064.28),(52 234247.1),(53 236630.66),(54 239104.34),(55 240546.75),(56 242228.81),(57 243255.19),(58 243335.27),(59 242810.94),(60 242672.19),(61 242948.55),(62 243026.31),(63 243186.36),(64 243838.45),(65 244377.72),(66 246004.22),(67 247681.25),(68 249195.4),(69 250058.63),(70 251137.25),(71 251798.08),(72 252383.3),(73 253683.28),(74 254663.78),(75 254606.78),(76 253986.17),(77 254660.53),(78 256714.08),(79 258336.11),
(1 5027.642),(2 14635.671),(3 26155.371),(4 37983.453),(5 50105.297),(6 62192.645),(7 73249.25),(8 83553.83),(9 94116.4),(10 104707.766),(11 114892.19),(12 125144.12),(13 134813.56),(14 143878.94),(15 152482.2),(16 160183.6),(17 167142.06),(18 173919.02),(19 179773.94),(20 184950.8),(21 189559.61),(22 193831.5),(23 197577.83),(24 201734.45),(25 206996.28),(26 211627.63),(27 215640.52),(28 219280.23),(29 222583.39),(30 225485.39),(31 226782.08),(32 228108.97),(33 229282.58),(34 230409.94),(35 230878.25),(36 230268.16),(37 229368.67),(38 228861.47),(39 228755.11),(40 228214.73),(41 228679.94),(42 228496.9),(43 229378.05),(44 229920.06),(45 230006.98),(46 230014),(47 230355.86),(48 230260.14),(49 230554.42),(50 230865.27),(51 231216.61),(52 231569.34),(53 232199.28),(54 232354.98),(55 232232.95),(56 232646.89),(57 233192.66),(58 234477.61),(59 235483.86),(60 237183.33),(61 239534.72),(62 242032.9),(63 245003.03),(64 247711.31),(65 251092.75),(66 255082.45),(67 259526.08),(68 263335.22),(69 267413.97),(70 270153.9),(71 273703.8),(72 276925.25),(73 278358.6),(74 280892.5),(75 283408.44),(76 285692.56),(77 289048.03),(78 292590.4),(79 293808.34),
(1 5119.754),(2 14774.531),(3 26047.299),(4 37460.68),(5 49366.176),(6 61074.715),(7 71813.445),(8 82125.74),(9 92735.61),(10 103124.36),(11 113301.24),(12 123401.45),(13 133720.53),(14 143025.89),(15 152581.3),(16 161129.77),(17 169030.83),(18 177147.77),(19 183483.69),(20 189657.1),(21 196319.13),(22 202172.95),(23 208006.19),(24 212459.4),(25 217367.92),(26 222290.19),(27 227314.28),(28 231118.55),(29 234656.44),(30 238144.67),(31 241173.27),(32 243880.6),(33 246528.5),(34 249007.9),(35 250863.28),(36 252500.52),(37 253874.23),(38 254337.45),(39 254918.83),(40 255861.8),(41 256627.33),(42 256744.95),(43 256508.1),(44 256473.19),(45 256010.55),(46 255475.56),(47 255630.45),(48 255185.58),(49 255158.84),(50 254916.55),(51 255416.61),(52 255941.28),(53 255270.17),(54 255096.94),(55 254706.86),(56 254893.5),(57 255285.66),(58 255268.06),(59 255840.7),(60 256770.19),(61 256855.81),(62 257278.34),(63 257653.47),(64 257792.88),(65 259282.9),(66 260262.83),(67 261644.3),(68 262551.3),(69 264299.7),(70 265266.75),(71 265443.03),(72 265203.2),(73 265533.8),(74 266231.3),(75 265785.88),(76 265646.78),(77 266472.8),(78 267647.44),(79 269048.5),
(1 5256.986),(2 15269.706),(3 27088.225),(4 39246.203),(5 52216.88),(6 65178.637),(7 77815.66),(8 89592.55),(9 100971.93),(10 111822.23),(11 122733.66),(12 132175.06),(13 141825.03),(14 149517.16),(15 156798.06),(16 163835.44),(17 171030.53),(18 178012.39),(19 184776.72),(20 190764.42),(21 196295.95),(22 201397.95),(23 206062.03),(24 209715.14),(25 213610.58),(26 217613.72),(27 221641.86),(28 224439.13),(29 226669.89),(30 228534.52),(31 231076.05),(32 233350.1),(33 234967.19),(34 236142.63),(35 236924.38),(36 237735.02),(37 238010.94),(38 237343.42),(39 236170.25),(40 235460.6),(41 234952.48),(42 234487.14),(43 233831.89),(44 234349.98),(45 233834.72),(46 233194.84),(47 233681.14),(48 234560.56),(49 236254.67),(50 237947.89),(51 239988.53),(52 242315.77),(53 243223.56),(54 244601.23),(55 245804.06),(56 246139.6),(57 246123.45),(58 245759.58),(59 245053.42),(60 244725.75),(61 244463.9),(62 244569.84),(63 244546.95),(64 244523.19),(65 244983.98),(66 245333.4),(67 245475.06),(68 245929.98),(69 247257.44),(70 248367.75),(71 249090.02),(72 249004.14),(73 249275.89),(74 249533.77),(75 250204.1),(76 251118.98),(77 253151.03),(78 254933.25),(79 256499.72),
(1 5357.2354),(2 15380.368),(3 27371.674),(4 39698.31),(5 52305.316),(6 65053.668),(7 77266.96),(8 88705.03),(9 99669.516),(10 110773.14),(11 121072.73),(12 130578.96),(13 139910.47),(14 147188.38),(15 153511.56),(16 159574.75),(17 165675.44),(18 171196.08),(19 176070.02),(20 180348.45),(21 184453.45),(22 187653.23),(23 190187.33),(24 192898.78),(25 195089.45),(26 197491.16),(27 200216.78),(28 202539.63),(29 205339.25),(30 207794.36),(31 209830.3),(32 210961.52),(33 212295.88),(34 213214.28),(35 214597.16),(36 217409.75),(37 219468.31),(38 221681.72),(39 224759.22),(40 227748.4),(41 231102.3),(42 233979.7),(43 236266.38),(44 239795.31),(45 242550.98),(46 244924.2),(47 247390.56),(48 249675.2),(49 252553.16),(50 255928.78),(51 258651.44),(52 261078.47),(53 262395.94),(54 262364.28),(55 261185.75),(56 259665.5),(57 257992.67),(58 255757.13),(59 253649.11),(60 252338.3),(61 250620.56),(62 249336.86),(63 247678.19),(64 247265.83),(65 246564.19),(66 246423.52),(67 246449.14),(68 246073.11),(69 245616.38),(70 245476.3),(71 245033.23),(72 244614.67),(73 243808.84),(74 243437.42),(75 243732.58),(76 244977.7),(77 246064.36),(78 246662.6),(79 247236.1),
(1 5259.5474),(2 15212.184),(3 27261.451),(4 39367.555),(5 51559.203),(6 64159.242),(7 76090.71),(8 86977.336),(9 96951.36),(10 106564.2),(11 114709.15),(12 122276.984),(13 130093.87),(14 136804.28),(15 143872.14),(16 150535.52),(17 156975.78),(18 163032.56),(19 168318.63),(20 173449.34),(21 177340.08),(22 180026.31),(23 182192.55),(24 185099.23),(25 187953.66),(26 190270.34),(27 193476.02),(28 196484.77),(29 198699.95),(30 201069.03),(31 202648.92),(32 203003.28),(33 203154.5),(34 204160.95),(35 205688.4),(36 207859.33),(37 208418.27),(38 208967.38),(39 211272.77),(40 213670.78),(41 215534.92),(42 217692.89),(43 219600.64),(44 222183.6),(45 223822.69),(46 225431.95),(47 228318.23),(48 230891.88),(49 233506.11),(50 235505.1),(51 237076.34),(52 238263.69),(53 239092),(54 239299.88),(55 238908.19),(56 237882.9),(57 237377.63),(58 236747.38),(59 236189.7),(60 235965.31),(61 236214.25),(62 235958.8),(63 235140.25),(64 234098.36),(65 233330.72),(66 233809.56),(67 234172.78),(68 235349.78),(69 237085.63),(70 238099.75),(71 238926.72),(72 239828.9),(73 240727.66),(74 242702.39),(75 244551.9),(76 246630.89),(77 248607.5),(78 251024.92),(79 252003.58),
(1 5138.4824),(2 14798.718),(3 26457.3),(4 38142.66),(5 50052.68),(6 61841.18),(7 72660.78),(8 83755.8),(9 94550.63),(10 105220.664),(11 115455.555),(12 124302.79),(13 132937.48),(14 140247.98),(15 148200.89),(16 155256.02),(17 161254.4),(18 166225.03),(19 170265.89),(20 174080.47),(21 176823.22),(22 178195.4),(23 179858.77),(24 181140),(25 182747.36),(26 183440.6),(27 184639.4),(28 185862.13),(29 186049.86),(30 185712.6),(31 186239.92),(32 185985.81),(33 185538.89),(34 185833.4),(35 186877.61),(36 189013.67),(37 190811.73),(38 193420.44),(39 196781.97),(40 199429.4),(41 202020.97),(42 205481.28),(43 208072.47),(44 211192.03),(45 213329.67),(46 214702.81),(47 216510.56),(48 218015.9),(49 219290.97),(50 220404.56),(51 221704.02),(52 222458.08),(53 223749.72),(54 224825.69),(55 225029.27),(56 224296.48),(57 224266.28),(58 224926.92),(59 225049.77),(60 224855.72),(61 224395.9),(62 223697.8),(63 222306.19),(64 220600.14),(65 219903.72),(66 219712.6),(67 219462.72),(68 219657.9),(69 219287.58),(70 220050.3),(71 220773.03),(72 221968.3),(73 224156.31),(74 226340.67),(75 228665.06),(76 231143.02),(77 233619.44),(78 235885.33),(79 237935.86),
(1 5156.401),(2 14836.005),(3 26527.967),(4 38280.703),(5 50592.004),(6 63284.457),(7 75187.91),(8 86877.234),(9 99090.12),(10 110400.99),(11 120829.164),(12 129347.61),(13 137864.72),(14 145164.88),(15 151741.03),(16 156748.98),(17 160890.25),(18 164416.84),(19 167211.19),(20 169874.03),(21 172136.36),(22 174062.66),(23 175896.9),(24 177453.22),(25 179205.33),(26 180558.48),(27 181081.31),(28 181808.63),(29 182432.19),(30 183058.73),(31 183988.92),(32 185093.45),(33 186675.33),(34 187996.72),(35 189718.81),(36 191468.66),(37 192513.98),(38 193732.92),(39 195711.25),(40 197510.9),(41 199719.23),(42 201861.2),(43 204098.28),(44 205991.3),(45 206582.27),(46 207158.84),(47 207975.06),(48 208333.25),(49 208598.94),(50 208664.95),(51 208220.7),(52 207650.95),(53 206685.88),(54 205729.67),(55 205090.88),(56 204297.63),(57 203744.06),(58 203768.97),(59 203647.22),(60 204209.67),(61 205092.28),(62 205747.47),(63 206038.83),(64 205518.1),(65 205852.44),(66 206476.48),(67 206545.11),(68 207108.13),(69 208526.42),(70 209821.44),(71 211651.03),(72 213508),(73 215700.52),(74 217338.7),(75 218251.89),(76 218741.67),(77 219006.5),(78 218499.23),(79 217709.7),
(1 5097.6265),(2 14610.193),(3 25991.771),(4 37890.02),(5 50514.22),(6 62882.285),(7 74690.266),(8 85319.37),(9 95855.29),(10 106231.46),(11 116088.8),(12 124960.97),(13 134216.88),(14 141989.45),(15 149379.4),(16 155040.25),(17 159849.14),(18 164194.66),(19 167514.66),(20 170695.28),(21 172852.77),(22 173642.31),(23 174702.75),(24 175650.42),(25 176825.23),(26 178228.2),(27 179943.94),(28 181743.69),(29 182764.84),(30 183679.63),(31 184590.95),(32 185529.3),(33 186346.63),(34 187356.73),(35 188544.81),(36 189692.06),(37 190820.88),(38 192002.52),(39 193586.42),(40 195108.1),(41 196921.78),(42 199056.47),(43 201221.02),(44 202394.42),(45 203999.39),(46 205232.44),(47 206123.75),(48 206853.38),(49 207119.42),(50 207040.42),(51 207204.19),(52 207427.94),(53 207211.39),(54 207094.64),(55 206250.89),(56 205544.9),(57 205009.45),(58 204628.47),(59 204106.86),(60 203488.17),(61 203667.17),(62 204154.06),(63 204643.95),(64 204863.13),(65 206038.22),(66 207612.89),(67 208485.83),(68 209118.44),(69 209805.06),(70 211089.61),(71 212703.8),(72 213705.5),(73 214603.73),(74 214718.92),(75 213802),(76 212738.47),(77 211884.6),(78 212055.61),(79 211810.28),
(1 5138.72),(2 14518.233),(3 25775.14),(4 37658.086),(5 50284.523),(6 62490.7),(7 73797.82),(8 83498.984),(9 92360.95),(10 100994.58),(11 108931.375),(12 116302.35),(13 123577.09),(14 129801.87),(15 136139.56),(16 141944.9),(17 147315.31),(18 152046.75),(19 156408.89),(20 160819.2),(21 164375.47),(22 167630.64),(23 170239.2),(24 173103.05),(25 175408.3),(26 177033.11),(27 178154.66),(28 180737.92),(29 183036.06),(30 185250.47),(31 186718.22),(32 187879.47),(33 188113.75),(34 188511.23),(35 189354.78),(36 190004.86),(37 190887.4),(38 192217.56),(39 194018.89),(40 195411.5),(41 196672.95),(42 197800.64),(43 199102.45),(44 199684.98),(45 200147.9),(46 200377.22),(47 200618.97),(48 200648.73),(49 200597.02),(50 200692.53),(51 201074.75),(52 201553.22),(53 202695.11),(54 204160.97),(55 205092.38),(56 206189.83),(57 207440.64),(58 209632.47),(59 211819.16),(60 213929.31),(61 215887.34),(62 218045.53),(63 219135.42),(64 220543.7),(65 222187.81),(66 223250.7),(67 223843.63),(68 223340.77),(69 223246.27),(70 222904.9),(71 222344.17),(72 222597.98),(73 223925.02),(74 224136.3),(75 224560.73),(76 225203.83),(77 224941.48),(78 223904.81),(79 223043.23),
(1 5042.9634),(2 14119.009),(3 24792.855),(4 35824.785),(5 47249.418),(6 58419.387),(7 68789.8),(8 78111.85),(9 86980.28),(10 95932.55),(11 104720.164),(12 112479.87),(13 119945.23),(14 126242.984),(15 131982.86),(16 137782.05),(17 143296.02),(18 148789.03),(19 153616.31),(20 158332.61),(21 162875.61),(22 167145.2),(23 170707.22),(24 174843.5),(25 178375.8),(26 182081.06),(27 185914.73),(28 190338.55),(29 194433.27),(30 198243.52),(31 201071.47),(32 203386),(33 205051.11),(34 206190.9),(35 206957.5),(36 206585.52),(37 205809.36),(38 204825.17),(39 204227.64),(40 203655.52),(41 203476.31),(42 202837.95),(43 201752.47),(44 201649.36),(45 200989.08),(46 201109.84),(47 201027.28),(48 200380.34),(49 200030.83),(50 200478.14),(51 200523.2),(52 201157.27),(53 202021.86),(54 202263.33),(55 202534.83),(56 202750.95),(57 202930.11),(58 203332.19),(59 204102.06),(60 204687.11),(61 205545.45),(62 206106.31),(63 206111.05),(64 206096.25),(65 205621.83),(66 205517.66),(67 204718.53),(68 203759.86),(69 203566.3),(70 203359.66),(71 203762.36),(72 204783.64),(73 206328.58),(74 207195.97),(75 208575.56),(76 209244.08),(77 210600.78),(78 212342.67),(79 213708.36),
(1 5011.3115),(2 13952.226),(3 24157.084),(4 34278.44),(5 44734.742),(6 55217.496),(7 64705.363),(8 73085.77),(9 81046.78),(10 89469.19),(11 97124.18),(12 104129.74),(13 111063.28),(14 117158.09),(15 123073.48),(16 129200.18),(17 134395.97),(18 139112.8),(19 142545.92),(20 146065.77),(21 148913.95),(22 152331.23),(23 155272.03),(24 158599.34),(25 161458.33),(26 164345.66),(27 166717.69),(28 168831.83),(29 171015.8),(30 173863.06),(31 175590.45),(32 177839.16),(33 179578.84),(34 181201.13),(35 182172.56),(36 182609.03),(37 182766.08),(38 183173.39),(39 183184.31),(40 182767.7),(41 183095.4),(42 183570.58),(43 184031.38),(44 185279.7),(45 187206.05),(46 188704.66),(47 190480.23),(48 192426.13),(49 195412.78),(50 198598.48),(51 201341.33),(52 204628.55),(53 207898.45),(54 209549.61),(55 210866.61),(56 212105.81),(57 213221.92),(58 213817.06),(59 213974.53),(60 213536.63),(61 213281.13),(62 213325.45),(63 212803.05),(64 212449.6),(65 211792.78),(66 210158.86),(67 208462.7),(68 207775.3),(69 207993.92),(70 208017.13),(71 208605.34),(72 209407.11),(73 210552.48),(74 210672.36),(75 210674.58),(76 211464.8),(77 212638.58),(78 213415.17),(79 213639.13),
