(1 0.00095697155),(2 2.219985),(3 9.661154),(4 11.703163),(5 11.717444),(6 14.180975),(7 19.880713),(8 22.672695),(9 22.677711),(10 23.453102),(11 27.545582),(12 29.307827),(13 29.297657),(14 30.053583),(15 32.93336),(16 35.299217),(17 35.320732),(18 36.029324),(19 37.150322),(20 38.898952),(21 38.884243),(22 40.888493),(23 41.176067),(24 41.589756),(25 41.599613),(26 44.909714),(27 48.857586),(28 48.438362),(29 48.573074),(30 47.417694),(31 49.04276),(32 50.53942),(33 50.539658),(34 50.133125),(35 52.96255),(36 54.489235),(37 54.51345),(38 54.32178),(39 53.788254),(40 54.804173),(41 54.835583),(42 52.850033),(43 51.66913),(44 50.39059),(45 50.384678),(46 50.92916),(47 51.33384),(48 51.341743),
(1 0.0009702779),(2 2.129484),(3 8.1772375),(4 10.918075),(5 10.939335),(6 13.675295),(7 18.486294),(8 21.51594),(9 21.521914),(10 23.5417),(11 26.226545),(12 28.210482),(13 28.210321),(14 29.853823),(15 32.861332),(16 33.87136),(17 33.865597),(18 35.837692),(19 37.727306),(20 39.330166),(21 39.32671),(22 40.48526),(23 41.285206),(24 41.500336),(25 41.519997),(26 43.15016),(27 45.79847),(28 46.19386),(29 46.170433),(30 45.291924),(31 46.11039),(32 46.45013),(33 46.506374),(34 46.40338),(35 48.338985),(36 49.045704),(37 49.104168),(38 49.888718),(39 51.849),(40 51.156036),(41 51.19481),(42 50.906826),(43 50.677444),(44 49.928753),(45 49.923183),(46 49.882618),(47 49.53887),(48 49.535305),
(1 0.0011368552),(2 2.362991),(3 9.626902),(4 11.800071),(5 11.820282),(6 14.682432),(7 19.903297),(8 22.531084),(9 22.559),(10 23.70048),(11 29.414598),(12 31.360119),(13 31.331482),(14 32.54103),(15 36.18533),(16 37.940437),(17 37.953053),(18 39.670135),(19 40.853466),(20 42.357998),(21 42.321423),(22 43.98176),(23 44.938934),(24 46.95221),(25 46.99318),(26 49.24574),(27 51.076588),(28 51.05945),(29 51.15689),(30 50.327553),(31 51.522785),(32 50.92921),(33 50.90466),(34 50.824657),(35 53.67881),(36 54.727215),(37 54.737206),(38 54.333855),(39 54.71805),(40 55.76355),(41 55.73054),(42 55.0853),(43 55.259365),(44 55.929253),(45 55.98757),(46 56.49593),(47 56.775948),(48 56.778267),
(1 0.0011381585),(2 2.4836667),(3 9.654086),(4 11.906242),(5 11.912401),(6 14.859324),(7 19.79566),(8 22.052353),(9 22.051224),(10 23.9664),(11 28.294785),(12 30.44581),(13 30.409206),(14 32.427555),(15 35.364017),(16 36.85336),(17 36.857185),(18 37.396732),(19 37.79116),(20 41.062313),(21 41.074688),(22 42.7357),(23 42.959896),(24 42.991627),(25 42.996796),(26 44.96899),(27 47.689438),(28 49.168835),(29 49.331753),(30 48.54532),(31 46.66387),(32 46.755013),(33 46.761894),(34 47.453724),(35 47.88024),(36 50.046467),(37 50.06259),(38 51.07284),(39 51.023216),(40 51.672062),(41 51.70449),(42 51.3833),(43 50.38012),(44 51.234142),(45 51.229034),(46 52.162495),(47 51.886753),(48 51.888382),
(1 0.0010411062),(2 2.4041991),(3 9.33389),(4 11.523326),(5 11.551002),(6 14.4243355),(7 18.935404),(8 21.26059),(9 21.294565),(10 23.375034),(11 27.433306),(12 28.980576),(13 28.965147),(14 30.43814),(15 32.537495),(16 33.863506),(17 33.873905),(18 35.18371),(19 35.701153),(20 37.597446),(21 37.593327),(22 38.55154),(23 39.00523),(24 40.09608),(25 40.122887),(26 41.331493),(27 42.975227),(28 44.897343),(29 44.895275),(30 44.79346),(31 45.78199),(32 45.744255),(33 45.780853),(34 45.8719),(35 44.97045),(36 45.79897),(37 45.80237),(38 47.483784),(39 48.785683),(40 49.853733),(41 49.844242),(42 49.883434),(43 50.789158),(44 51.267895),(45 51.243744),(46 51.819405),(47 52.983498),(48 52.972652),
(1 0.0010038017),(2 2.1964355),(3 8.875778),(4 10.50178),(5 10.500781),(6 12.582132),(7 16.995089),(8 18.529274),(9 18.54489),(10 20.268257),(11 24.441174),(12 25.457113),(13 25.44172),(14 25.123817),(15 29.857845),(16 31.477694),(17 31.468374),(18 33.290047),(19 32.955906),(20 35.736443),(21 35.73137),(22 36.908504),(23 36.04832),(24 37.18667),(25 37.16914),(26 38.02525),(27 39.965572),(28 41.34005),(29 41.48241),(30 40.76472),(31 41.56182),(32 41.588932),(33 41.583183),(34 41.26824),(35 42.569775),(36 44.248116),(37 44.24884),(38 44.85267),(39 45.795784),(40 46.112823),(41 46.08401),(42 45.157288),(43 43.88608),(44 43.74203),(45 43.709183),(46 43.43382),(47 43.80284),(48 43.814236),
(1 0.0010203769),(2 2.0790515),(3 7.7452965),(4 10.506215),(5 10.526124),(6 12.577052),(7 16.60421),(8 18.375963),(9 18.373375),(10 20.737864),(11 25.042383),(12 25.296036),(13 25.292606),(14 25.336864),(15 28.963387),(16 30.389593),(17 30.381893),(18 30.378641),(19 31.894371),(20 34.250397),(21 34.248684),(22 34.651638),(23 35.183376),(24 36.483646),(25 36.505882),(26 36.48616),(27 38.67356),(28 40.192623),(29 40.210983),(30 40.416023),(31 42.025436),(32 43.651062),(33 43.668903),(34 43.520164),(35 42.44886),(36 42.572067),(37 42.5972),(38 42.5161),(39 43.659817),(40 44.57749),(41 44.566975),(42 44.475307),(43 44.56855),(44 43.72808),(45 43.72826),(46 43.882927),(47 43.95256),(48 43.96391),
(1 0.0010764241),(2 2.434123),(3 8.984201),(4 11.474293),(5 11.472046),(6 13.714386),(7 18.215681),(8 18.866333),(9 18.895573),(10 20.84728),(11 25.837513),(12 27.360573),(13 27.35998),(14 28.02039),(15 31.69869),(16 32.963535),(17 32.978138),(18 34.283745),(19 33.755497),(20 35.031773),(21 35.02696),(22 35.684547),(23 37.714394),(24 40.132843),(25 40.140015),(26 41.3042),(27 44.57496),(28 44.25113),(29 44.309834),(30 44.401802),(31 46.216885),(32 46.26499),(33 46.266525),(34 46.385174),(35 46.703075),(36 47.587563),(37 47.58189),(38 47.076756),(39 47.008347),(40 48.037586),(41 48.066948),(42 48.2023),(43 49.843334),(44 50.13045),(45 50.111553),(46 50.173466),(47 48.865314),(48 48.869907),
(1 0.0010733644),(2 1.970204),(3 7.3277),(4 9.868283),(5 9.876048),(6 12.040214),(7 16.517584),(8 17.367107),(9 17.378616),(10 18.500977),(11 21.441618),(12 23.883657),(13 23.878548),(14 24.63),(15 27.332813),(16 29.442324),(17 29.483608),(18 29.70814),(19 30.941282),(20 32.693653),(21 32.714886),(22 32.997986),(23 33.921288),(24 35.656662),(25 35.668835),(26 36.114807),(27 38.173584),(28 38.98628),(29 39.03359),(30 39.88427),(31 39.59852),(32 41.13007),(33 41.13367),(34 41.145855),(35 41.24038),(36 42.241947),(37 42.238052),(38 41.049862),(39 42.84132),(40 43.5713),(41 43.56765),(42 44.421547),(43 44.068447),(44 43.369595),(45 43.375668),(46 43.351044),(47 42.87526),(48 42.878338),
(1 0.0010018195),(2 2.1863978),(3 8.210033),(4 10.993842),(5 11.003587),(6 13.152898),(7 17.238125),(8 19.23406),(9 19.252893),(10 20.995726),(11 24.08804),(12 25.559513),(13 25.554607),(14 26.911432),(15 30.226864),(16 31.876036),(17 31.88093),(18 30.972282),(19 31.069096),(20 32.948357),(21 32.93539),(22 32.8764),(23 33.441906),(24 34.804237),(25 34.806732),(26 36.245132),(27 38.01638),(28 38.809555),(29 38.853333),(30 38.82043),(31 41.476395),(32 42.451714),(33 42.442806),(34 41.191357),(35 41.17021),(36 42.528385),(37 42.52627),(38 42.31305),(39 43.653618),(40 44.68441),(41 44.678177),(42 45.198124),(43 47.2121),(44 45.472286),(45 45.50594),(46 45.235638),(47 43.62149),(48 43.61311),
(1 0.0009334772),(2 1.9430022),(3 7.9411526),(4 10.104403),(5 10.117017),(6 12.113439),(7 14.650554),(8 16.587193),(9 16.591558),(10 18.10291),(11 20.471144),(12 21.9497),(13 21.948822),(14 23.1296),(15 26.196749),(16 27.463533),(17 27.46781),(18 28.5474),(19 27.684864),(20 29.330505),(21 29.322466),(22 29.568417),(23 30.565842),(24 33.236294),(25 33.224483),(26 34.09458),(27 36.23833),(28 35.588745),(29 35.61739),(30 35.740364),(31 36.489277),(32 38.22271),(33 38.23964),(34 37.55439),(35 37.694878),(36 37.93674),(37 37.954105),(38 37.188168),(39 37.765907),(40 38.379997),(41 38.355904),(42 37.6354),(43 39.684216),(44 38.86957),(45 38.85869),(46 39.738377),(47 39.430637),(48 39.421074),
