(1 1.1585704),(2 419.42224),(3 1367.3722),(4 1835.973),(5 1839.0021),(6 2193.2236),(7 2549.6252),(8 2758.5305),(9 2765.4236),(10 3010.293),(11 3443.8918),(12 3701.4832),(13 3711.5142),(14 3706.0864),(15 4010.9927),(16 4450.501),(17 4450.0107),(18 4638.8594),(19 4573.2505),(20 5113.0874),(21 5097.361),(22 5174.287),(23 4665.904),(24 5250.493),(25 5234.889),(26 5518.6665),(27 5758.616),(28 6069.0186),(29 6064.537),(30 5750.3237),(31 5662.225),(32 5873.1367),(33 5836.4233),(34 5595.6616),(35 5786.579),(36 6345.288),(37 6344.7275),(38 6012.797),(39 6149.1836),(40 6145.3633),(41 6129.4604),(42 6107.5073),(43 6371.7114),(44 6266.24),(45 6265.6704),(46 6168.2603),(47 6149.3135),(48 6143.093),
(1 1.0455996),(2 412.3029),(3 1498.6788),(4 1891.8031),(5 1893.2552),(6 2081.7917),(7 2573.012),(8 2845.872),(9 2836.2563),(10 2976.6172),(11 3275.351),(12 3674.2673),(13 3673.9387),(14 3939.4626),(15 4109.385),(16 4511.853),(17 4503.7524),(18 4372.9404),(19 4291.7075),(20 4593.499),(21 4601.1025),(22 4713.6533),(23 4797.824),(24 5198.783),(25 5202.5464),(26 5359.747),(27 5622.0166),(28 5658.8486),(29 5711.2305),(30 5698.6704),(31 5522.683),(32 5735.5757),(33 5728.2456),(34 5437.078),(35 5389.6216),(36 5956.8066),(37 5950.987),(38 5922.5537),(39 5834.0674),(40 5952.5195),(41 5926.9653),(42 5919.3315),(43 5895.3286),(44 5760.392),(45 5758.298),(46 5735.5425),(47 6474.0757),(48 6477.8843),
(1 1.0871774),(2 378.11972),(3 1426.4937),(4 1723.1848),(5 1726.137),(6 1922.1589),(7 2377.7808),(8 2593.592),(9 2590.1218),(10 2773.7227),(11 3191.3337),(12 3687.411),(13 3676.695),(14 3865.1907),(15 4030.142),(16 4495.7964),(17 4493.7803),(18 4324.2715),(19 4307.588),(20 4552.333),(21 4544.313),(22 4602.0225),(23 4455.019),(24 4922.6445),(25 4903.438),(26 5063.3584),(27 5408.9893),(28 5308.514),(29 5243.879),(30 5212.962),(31 5313.6646),(32 5719.497),(33 5710.6914),(34 5461.038),(35 5175.404),(36 5551.052),(37 5547.9507),(38 5860.206),(39 5656.5884),(40 5574.706),(41 5545.0356),(42 5454.3267),(43 5928.471),(44 5755.297),(45 5722.458),(46 5673.88),(47 5861.421),(48 5866.184),
(1 1.1416981),(2 382.1038),(3 1310.654),(4 1713.2078),(5 1721.9335),(6 1874.0691),(7 2352.2644),(8 2355.4956),(9 2360.6326),(10 2549.5479),(11 2856.185),(12 3266.9377),(13 3266.9058),(14 3291.2202),(15 3474.9863),(16 4116.055),(17 4109.282),(18 4137.408),(19 4046.026),(20 4460.716),(21 4458.2544),(22 4498.1445),(23 4266.2666),(24 4518.668),(25 4509.7085),(26 4717.614),(27 4721.1606),(28 4969.158),(29 5095.2017),(30 5083.578),(31 5278.4775),(32 5082.366),(33 5092.3394),(34 4945.478),(35 4841.9287),(36 5426.7617),(37 5416.842),(38 5417.529),(39 5548.972),(40 5882.5757),(41 5871.575),(42 5623.3433),(43 5520.139),(44 5379.9014),(45 5357.628),(46 5542.7397),(47 5515.815),(48 5513.1826),
(1 1.0973328),(2 353.33536),(3 1430.1726),(4 1824.665),(5 1831.106),(6 2027.7881),(7 2477.247),(8 2669.911),(9 2666.528),(10 2905.812),(11 3083.4834),(12 3398.3513),(13 3385.783),(14 3552.2014),(15 3503.3923),(16 3679.3843),(17 3681.609),(18 3794.228),(19 3961.6702),(20 4275.9897),(21 4258.8364),(22 4247.629),(23 4190.511),(24 4497.286),(25 4502.3916),(26 4705.081),(27 4910.7188),(28 5482.304),(29 5498.14),(30 5395.1997),(31 5273.494),(32 5296.0396),(33 5276.245),(34 4841.5547),(35 4769.327),(36 5138.5),(37 5125.935),(38 5001.777),(39 5423.16),(40 5408.858),(41 5369.652),(42 5353.8535),(43 5388.2896),(44 5259.4297),(45 5241.166),(46 5301.737),(47 5446.032),(48 5446.72),
(1 1.0453987),(2 335.17355),(3 1303.0458),(4 1705.8074),(5 1708.3015),(6 1970.4396),(7 2340.0737),(8 2617.1724),(9 2617.449),(10 2861.2092),(11 3281.2913),(12 3443.5986),(13 3438.2495),(14 3405.671),(15 3664.9194),(16 3774.5437),(17 3760.2527),(18 3876.0015),(19 3791.2783),(20 4224.0073),(21 4209.735),(22 4301.799),(23 4362.238),(24 4537.8994),(25 4532.1533),(26 4674.6353),(27 4692.901),(28 4923.2783),(29 4988.7183),(30 5062.817),(31 4856.407),(32 5087.0005),(33 5084.843),(34 4771.1997),(35 4437.6953),(36 4910.9717),(37 4921.803),(38 4810.6904),(39 5022.0986),(40 5119.787),(41 5110.6387),(42 5010.3447),(43 4941.3237),(44 5060.2925),(45 5048.444),(46 5122.4043),(47 5052.3765),(48 5056.535),
(1 1.1227062),(2 344.64737),(3 1297.3242),(4 1606.3262),(5 1611.0068),(6 1883.0654),(7 2321.3809),(8 2683.0637),(9 2679.5276),(10 2764.792),(11 3253.2874),(12 3576.8042),(13 3567.7346),(14 3641.0154),(15 3608.1775),(16 3796.2314),(17 3795.8315),(18 3858.0774),(19 4041.7988),(20 4483.208),(21 4477.9424),(22 4471.216),(23 4361.6704),(24 4884.7925),(25 4871.2896),(26 4805.395),(27 4846.5146),(28 5148.5776),(29 5193.2046),(30 4991.019),(31 5110.431),(32 5250.181),(33 5252.6772),(34 4982.5415),(35 4964.2793),(36 5339.3027),(37 5333.346),(38 5391.2056),(39 5294.3105),(40 5364.3335),(41 5357.0186),(42 5306.4927),(43 5352.2954),(44 5245.5273),(45 5244.44),(46 5204.2563),(47 5319.7),(48 5317.8027),
(1 1.0552998),(2 347.02145),(3 1325.61),(4 1678.8905),(5 1678.8328),(6 1855.7632),(7 2340.0188),(8 2719.7302),(9 2723.7117),(10 2800.6072),(11 3313.9126),(12 3372.6863),(13 3368.3877),(14 3456.5369),(15 3593.1775),(16 3742.0122),(17 3748.471),(18 3755.2358),(19 3851.5745),(20 4206.3223),(21 4200.0747),(22 4225.871),(23 4064.9124),(24 4392.8335),(25 4392.2974),(26 4398.359),(27 4627.6),(28 4854.8755),(29 4918.5415),(30 4916.4697),(31 4982.7593),(32 4895.381),(33 4881.356),(34 4592.269),(35 4665.789),(36 5071.365),(37 5078.3535),(38 4889.86),(39 5041.0894),(40 5261.7275),(41 5260.4126),(42 4964.6323),(43 5091.0806),(44 5065.856),(45 5033.7236),(46 5145.856),(47 5035.0806),(48 5034.556),
(1 1.0161098),(2 338.48315),(3 1253.0836),(4 1601.8171),(5 1609.0944),(6 1935.1533),(7 2312.5132),(8 2596.8386),(9 2591.7502),(10 2750.125),(11 3184.4106),(12 3375.0063),(13 3370.6675),(14 3472.83),(15 3598.8245),(16 3942.0386),(17 3936.6523),(18 4098.13),(19 3978.1675),(20 4222.02),(21 4216.376),(22 4224.65),(23 4044.2332),(24 4342.86),(25 4355.801),(26 4553.402),(27 4809.03),(28 5099.9805),(29 5134.3374),(30 4936.9526),(31 5004.666),(32 5212.2783),(33 5182.3755),(34 4740.7),(35 4725.8203),(36 5019.879),(37 5018.4233),(38 4707.361),(39 4978.6514),(40 5477.5977),(41 5446.2954),(42 4964.337),(43 4886.17),(44 4812.499),(45 4801.7275),(46 5044.507),(47 4956.7925),(48 4955.476),
(1 1.033605),(2 335.81485),(3 1272.846),(4 1612.8301),(5 1610.4124),(6 1893.5315),(7 2241.3875),(8 2567.063),(9 2579.5574),(10 2954.4028),(11 3153.9692),(12 3441.2473),(13 3446.6743),(14 3628.77),(15 3703.73),(16 3876.0125),(17 3877.8975),(18 3981.8296),(19 4150.3125),(20 4580.6978),(21 4570.4375),(22 4482.811),(23 4349.119),(24 4633.0264),(25 4620.679),(26 4838.912),(27 4573.7485),(28 5125.789),(29 5114.3564),(30 5041.124),(31 4919.6113),(32 5092.3354),(33 5076.6895),(34 4786.6304),(35 4732.1133),(36 5147.6885),(37 5140.6294),(38 4862.4863),(39 4975.7593),(40 5130.2017),(41 5131.1797),(42 5139.097),(43 5112.6294),(44 5138.172),(45 5147.42),(46 5146.7046),(47 5301.9316),(48 5301.3174),
(1 1.0515951),(2 306.01013),(3 1255.1348),(4 1575.3938),(5 1571.8503),(6 1732.1158),(7 2200.2573),(8 2451.054),(9 2451.573),(10 2786.5913),(11 2986.6768),(12 3182.3357),(13 3178.6934),(14 3161.6763),(15 3211.3027),(16 3672.323),(17 3666.2156),(18 3751.7646),(19 3736.7607),(20 4045.8923),(21 4039.1743),(22 3989.158),(23 3949.338),(24 4148.585),(25 4145.453),(26 4549.7656),(27 4702.257),(28 4843.845),(29 4864.854),(30 4765.4004),(31 4859.7803),(32 5250.946),(33 5240.149),(34 4674.401),(35 4635.7437),(36 4929.7676),(37 4942.6016),(38 4591.1226),(39 4490.206),(40 4783.479),(41 4780.0537),(42 4735.35),(43 4577.192),(44 4579),(45 4574.289),(46 4651.966),(47 4565.9),(48 4562.1987),
(1 1.1001331),(2 328.22372),(3 1217.1718),(4 1503.3846),(5 1502.5697),(6 1616.316),(7 2033.5513),(8 2330.3145),(9 2335.3455),(10 2416.6028),(11 2791.1956),(12 3066.9807),(13 3053.293),(14 3208.9487),(15 3374.5105),(16 3487.851),(17 3483.0732),(18 3449.1157),(19 3501.9487),(20 3778.075),(21 3765.0945),(22 3749.2717),(23 3806.0867),(24 4207.9536),(25 4205.9063),(26 4270.862),(27 4601.6064),(28 4870.542),(29 4940.9443),(30 4676.4263),(31 4654.793),(32 4695.3457),(33 4680.975),(34 4638.97),(35 4540.227),(36 4969.4697),(37 4948.311),(38 4965.4),(39 4491.5063),(40 4727.011),(41 4712.2207),(42 4828.563),(43 4524.6606),(44 4317.395),(45 4305.4507),(46 4590.916),(47 4669.065),(48 4675.3247),
(1 1.0924233),(2 326.4424),(3 1099.3499),(4 1396.0851),(5 1392.1548),(6 1598.9562),(7 2194.4832),(8 2363.5015),(9 2353.0884),(10 2559.9597),(11 3097.0813),(12 3343.4678),(13 3343.5466),(14 3380.071),(15 3271.8027),(16 3386.5813),(17 3385.368),(18 3437.6033),(19 3368.3926),(20 3653.6326),(21 3647.6365),(22 3805.6394),(23 3493.84),(24 3837.12),(25 3835.1372),(26 4021.0344),(27 4398.176),(28 4504.024),(29 4596.1025),(30 4562.167),(31 4580.3936),(32 4414.8667),(33 4401.9272),(34 4414.9126),(35 4515.8203),(36 4846.7534),(37 4846.4136),(38 4846.087),(39 4715.015),(40 4974.648),(41 4948.5605),(42 4803.483),(43 4792.263),(44 4717.301),(45 4704.311),(46 4906.924),(47 4839.896),(48 4834.3555),
(1 1.0468061),(2 321.9843),(3 1210.6897),(4 1470.587),(5 1474.0033),(6 1783.0513),(7 2198.3171),(8 2404.561),(9 2402.3875),(10 2601.062),(11 3102.4878),(12 3515.9602),(13 3515.4136),(14 3423.7822),(15 3516.8264),(16 3677.5461),(17 3673.4868),(18 3877.7903),(19 3774.4534),(20 4091.0046),(21 4086.511),(22 4240.7666),(23 3995.3127),(24 4229.82),(25 4223.369),(26 4365.342),(27 4943.3784),(28 4877.8965),(29 4947.9204),(30 4687.794),(31 4635.4976),(32 4889.216),(33 4895.065),(34 4762.698),(35 4579.059),(36 4910.244),(37 4902.919),(38 5027.273),(39 4726.343),(40 4780.158),(41 4761.9175),(42 4729.215),(43 4764.8726),(44 4901.738),(45 4889.4243),(46 4941.0107),(47 5054.426),(48 5055.357),
(1 1.0011035),(2 312.97647),(3 1200.3424),(4 1537.484),(5 1535.351),(6 1707.9156),(7 2063.905),(8 2302.5762),(9 2299.8184),(10 2473.9282),(11 2770.8862),(12 2975.3413),(13 2964.3115),(14 2946.9585),(15 3188.1235),(16 3358.2676),(17 3364.7058),(18 3524.3013),(19 3407.4502),(20 3701.5662),(21 3689.4468),(22 3743.9592),(23 3771.8792),(24 4119.7983),(25 4113.778),(26 4206.1563),(27 4470.87),(28 4569.112),(29 4557.143),(30 4352.7407),(31 4513.174),(32 4797.021),(33 4790.674),(34 4421.8857),(35 4306.3257),(36 4663.6323),(37 4656.594),(38 4540.63),(39 4415.9746),(40 4448.6177),(41 4439.441),(42 4451.646),(43 4484.8906),(44 4500.6436),(45 4501.6377),(46 4458.9956),(47 4876.13),(48 4879.925),
(1 1.0433348),(2 302.1553),(3 1206.9911),(4 1505.414),(5 1508.1959),(6 1734.8209),(7 2117.196),(8 2398.908),(9 2405.6443),(10 2517.5017),(11 2618.8994),(12 2940.3237),(13 2947.8848),(14 2870.807),(15 2930.5215),(16 3155.6138),(17 3159.723),(18 3247.7695),(19 3275.356),(20 3714.8462),(21 3707.7146),(22 3672.9941),(23 3584.3926),(24 3789.6423),(25 3783.5286),(26 3860.118),(27 4196.8325),(28 4371.877),(29 4347.2056),(30 4279.6855),(31 4227.567),(32 4563.6436),(33 4554.4),(34 4508.162),(35 4350.498),(36 4832.3403),(37 4828.4526),(38 4592.6304),(39 4590.8193),(40 4713.81),(41 4702.965),(42 4685.263),(43 4513.872),(44 4488.2886),(45 4478.5303),(46 4230.4063),(47 4295.2393),(48 4294.611),
(1 1.0609735),(2 316.2955),(3 1125.1198),(4 1376.3073),(5 1365.0006),(6 1599.895),(7 2102.3044),(8 2405.9114),(9 2401.621),(10 2449.7952),(11 2679.1384),(12 3033.0093),(13 3027.6548),(14 3007.527),(15 3362.335),(16 3383.5393),(17 3385.6807),(18 3329.746),(19 3254.5903),(20 3621.163),(21 3628.1843),(22 3721.512),(23 3733.569),(24 3978.9211),(25 3971.3518),(26 4092.9375),(27 4203.386),(28 4400.136),(29 4458.3013),(30 4314.9106),(31 4056.452),(32 4290.6997),(33 4282.279),(34 4074.7498),(35 4106.645),(36 4347.1445),(37 4337.05),(38 4237.1),(39 4040.1719),(40 4156.436),(41 4148.2227),(42 4063.5415),(43 4119.818),(44 4165.6934),(45 4163.574),(46 4161.3613),(47 4307.3477),(48 4307.997),
(1 1.0474975),(2 280.49384),(3 1017.4807),(4 1341.3944),(5 1340.0006),(6 1550.92),(7 2074.3464),(8 2316.1782),(9 2312.195),(10 2364.9055),(11 2653.0735),(12 2894.4548),(13 2889.8726),(14 2905.2646),(15 3260.9866),(16 3351.8662),(17 3355.3816),(18 3388.9854),(19 3196.6726),(20 3408.8335),(21 3401.7007),(22 3387.0881),(23 3319.291),(24 3726.9404),(25 3735.8113),(26 3752.9785),(27 3822.4507),(28 4098.99),(29 4142.086),(30 4049.178),(31 3709.309),(32 3885.1233),(33 3874.2756),(34 3966.909),(35 3966.7417),(36 4226.959),(37 4213.5933),(38 4030.8906),(39 4244.13),(40 4287.2007),(41 4281.781),(42 4117.7437),(43 4198.1157),(44 4107.398),(45 4097.0933),(46 4107.8936),(47 4230.2495),(48 4233.3286),
(1 0.985588),(2 299.26477),(3 1113.1207),(4 1345.213),(5 1348.7091),(6 1501.2941),(7 1920.991),(8 2161.4915),(9 2151.6262),(10 2221.0872),(11 2521.6685),(12 2685.488),(13 2669.965),(14 2801.6714),(15 3091.4663),(16 3394.7454),(17 3393.8916),(18 3533.8833),(19 3567.7944),(20 4038.1946),(21 4046.2056),(22 4006.8516),(23 3667.935),(24 3935.4307),(25 3932.2734),(26 4025.6038),(27 4163.3657),(28 4253.816),(29 4272.3457),(30 3932.3862),(31 4069.0422),(32 4333.756),(33 4331.606),(34 3979.238),(35 3919.2673),(36 4295.3975),(37 4301.517),(38 4127.196),(39 4151.0957),(40 4235.92),(41 4209.0947),(42 4063.4297),(43 4173.5503),(44 4076.3513),(45 4063.1672),(46 4124.5547),(47 4167.563),(48 4165.14),
(1 0.9563524),(2 309.64337),(3 998.2074),(4 1267.3236),(5 1271.3818),(6 1415.9545),(7 1972.0315),(8 2319.5833),(9 2317.802),(10 2355.238),(11 2440.6313),(12 2671.786),(13 2679.1938),(14 2844.8599),(15 2915.2625),(16 3175.1177),(17 3175.1245),(18 3124.4902),(19 3180.7332),(20 3542.687),(21 3544.5315),(22 3580.2776),(23 3476.571),(24 3727.5205),(25 3718.3118),(26 3565.038),(27 4016.3003),(28 4153.433),(29 4193.3604),(30 4237.049),(31 4075.3784),(32 4108.0254),(33 4100.0664),(34 3941.7703),(35 3860.159),(36 4294.81),(37 4291.309),(38 4398.6016),(39 4254.665),(40 4361.8926),(41 4337.795),(42 4171.6724),(43 3998.4084),(44 3923.4883),(45 3917.3262),(46 3934.203),(47 4094.2073),(48 4091.3171),
(1 1.0437634),(2 288.56293),(3 1025.5648),(4 1365.4331),(5 1360.3842),(6 1565.933),(7 1901.6992),(8 2043.0334),(9 2032.9291),(10 2176.2312),(11 2429.9375),(12 2737.544),(13 2735.8967),(14 2654.9968),(15 2779.9724),(16 2935.9001),(17 2932.8696),(18 2869.7456),(19 2867.3),(20 3255.2456),(21 3260.1477),(22 3371.9556),(23 3235.152),(24 3358.9575),(25 3354.2534),(26 3624.1716),(27 3915.845),(28 4047.4116),(29 4042.755),(30 4067.533),(31 3931.7815),(32 3975.9595),(33 3957.9565),(34 3589.1282),(35 3669.9646),(36 3915.8162),(37 3911.5918),(38 3824.7727),(39 3846.651),(40 3778.343),(41 3766.919),(42 3701.8823),(43 3890.1155),(44 3887.7659),(45 3870.3582),(46 3853.7996),(47 3825.5215),(48 3821.2622),
(1 0.9823063),(2 297.31396),(3 946.53516),(4 1191.3088),(5 1192.2856),(6 1444.6212),(7 1787.0236),(8 1997.116),(9 2001.3467),(10 1985.2468),(11 2423.465),(12 2707.6506),(13 2704.1636),(14 2729.808),(15 2693.4438),(16 3140.8564),(17 3129.132),(18 3222.8914),(19 2958.5305),(20 3185.3206),(21 3185.4973),(22 3399.0542),(23 3165.1748),(24 3445.5552),(25 3446.1592),(26 3495.4631),(27 3580.7822),(28 3859.7505),(29 3807.1885),(30 3689.3508),(31 3870.4558),(32 3854.2637),(33 3846.8901),(34 3639.6143),(35 3547.5452),(36 3931.8276),(37 3921.4827),(38 3783.3816),(39 4196.3145),(40 4151.439),(41 4125.653),(42 3929.7249),(43 3767.2214),(44 3900.4248),(45 3896.599),(46 3713.0027),(47 3807.94),(48 3805.97),
(1 0.9207395),(2 286.37137),(3 992.6979),(4 1273.3483),(5 1273.1713),(6 1548.3994),(7 1968.7572),(8 2112.5625),(9 2107.1487),(10 2136.4263),(11 2570.3489),(12 2737.7683),(13 2727.7961),(14 2772.5767),(15 2966.656),(16 3218.498),(17 3221.6614),(18 3121.862),(19 2996.9067),(20 3369.3748),(21 3375.2356),(22 3413.1301),(23 3201.57),(24 3495.7947),(25 3492.0928),(26 3462.3323),(27 3786.5261),(28 4040.0254),(29 4070.428),(30 3818.313),(31 3958.1965),(32 3938.3098),(33 3928.458),(34 3837.5813),(35 3927.6184),(36 4231.773),(37 4234.527),(38 3933.5378),(39 3950.1519),(40 4030.255),(41 4024.1787),(42 3813.461),(43 3828.512),(44 3986.689),(45 3975.0405),(46 3897.8542),(47 3802.6582),(48 3799.725),
(1 0.93025327),(2 287.3833),(3 931.8864),(4 1219.6359),(5 1225.0134),(6 1499.8407),(7 1790.9423),(8 2035.984),(9 2036.0918),(10 2108.61),(11 2413.5361),(12 2516.881),(13 2508.5198),(14 2732.7874),(15 2914.9724),(16 3162.7554),(17 3169.9084),(18 3312.75),(19 2974.9705),(20 3212.9968),(21 3206.7976),(22 3423.5583),(23 3266.219),(24 3494.7783),(25 3494.968),(26 3489.7358),(27 3751.6016),(28 4038.7495),(29 4104.9185),(30 3759.23),(31 3939.527),(32 4108.7183),(33 4114.2085),(34 3963.0815),(35 3864.6914),(36 4181.737),(37 4175.1846),(38 4146.582),(39 3782.5967),(40 4001.77),(41 3992.032),(42 3871.1711),(43 3843.8794),(44 3834.0366),(45 3833.4246),(46 3876.8672),(47 3721.298),(48 3718.1948),
(1 0.9829299),(2 257.20523),(3 922.4062),(4 1214.1487),(5 1216.0723),(6 1405.0183),(7 1722.195),(8 1933.1039),(9 1932.546),(10 2105.1328),(11 2292.5679),(12 2523.3616),(13 2518.6707),(14 2506.6895),(15 2724.7483),(16 3002.787),(17 2990.2607),(18 2977.119),(19 2775.359),(20 3071.438),(21 3062.6418),(22 3050.6753),(23 3094.6345),(24 3397.43),(25 3393.962),(26 3388.3997),(27 3641.424),(28 3832.2766),(29 3862.9138),(30 3718.5261),(31 3610.6616),(32 3753.1597),(33 3748.1306),(34 3653.572),(35 3554.9614),(36 3817.9436),(37 3813.9697),(38 3777.2996),(39 3803.8809),(40 3874.509),(41 3861.557),(42 3899.4236),(43 3767.1316),(44 3759.753),(45 3748.2075),(46 3683.8096),(47 3863.6672),(48 3864.4114),
(1 0.94903344),(2 275.49463),(3 884.74567),(4 1173.3302),(5 1175.1726),(6 1344.1583),(7 1704.7732),(8 1873.7083),(9 1879.8606),(10 2129.186),(11 2282.9084),(12 2575.9644),(13 2561.4905),(14 2584.0684),(15 2579.0151),(16 2796.5977),(17 2795.4524),(18 2798.3608),(19 2635.5186),(20 2830.8777),(21 2823.312),(22 2991.457),(23 3040.0493),(24 3303.9592),(25 3313.1372),(26 3232.6797),(27 3463.635),(28 3711.7292),(29 3718.9438),(30 3471.7363),(31 3506.034),(32 3693.4695),(33 3674.0522),(34 3443.305),(35 3359.204),(36 3707.288),(37 3693.109),(38 3707.7417),(39 3694.7268),(40 3924.8687),(41 3918.681),(42 3807.8938),(43 3834.189),(44 3911.9392),(45 3896.3865),(46 3963.8333),(47 3875.4316),(48 3873.8289),
(1 0.9079029),(2 273.32974),(3 938.04694),(4 1241.1019),(5 1240.5015),(6 1569.073),(7 1862.969),(8 2160.8289),(9 2159.0247),(10 2211.0728),(11 2382.6477),(12 2715.0896),(13 2697.9517),(14 2558.4941),(15 2615.1304),(16 2916.9963),(17 2912.713),(18 2929.7249),(19 2828.3425),(20 2972.4036),(21 2967.5833),(22 2989.4426),(23 3143.8323),(24 3376.8477),(25 3369.7102),(26 3501.898),(27 3379.831),(28 3738.7058),(29 3713.8738),(30 3515.133),(31 3450.0608),(32 3635.0303),(33 3620.2573),(34 3527.8582),(35 3615.7966),(36 3976.7585),(37 3960.2104),(38 3908),(39 3703.849),(40 3879.7769),(41 3868.4502),(42 3772.8298),(43 3794.1953),(44 3869.9092),(45 3860.1094),(46 3859.1655),(47 3965.0745),(48 3965.8867),
(1 0.9395934),(2 244.21194),(3 960.0153),(4 1225.1366),(5 1220.3254),(6 1412.8102),(7 1645.4814),(8 1880.5953),(9 1887.034),(10 2095.3406),(11 2285.6943),(12 2512.3247),(13 2515.2922),(14 2535.08),(15 2576.9727),(16 2788.8093),(17 2787.3843),(18 2858.1743),(19 2734.3818),(20 2898.4763),(21 2906.588),(22 2826.401),(23 2961.6602),(24 3213.2073),(25 3210.1257),(26 3341.2388),(27 3244.2217),(28 3389.3633),(29 3386.459),(30 3319.2837),(31 3332.4792),(32 3544.112),(33 3541.7979),(34 3249.0898),(35 3132.7751),(36 3360.163),(37 3346.514),(38 3528.8938),(39 3508.8005),(40 3600.1108),(41 3576.1787),(42 3710.3186),(43 3614.8823),(44 3659.9097),(45 3653.2666),(46 3702.1465),(47 3942.2646),(48 3946.565),
(1 0.95297414),(2 268.0122),(3 925.3738),(4 1287.0608),(5 1291.7004),(6 1418.7604),(7 1634.8025),(8 1830.0698),(9 1827.8221),(10 2015.8092),(11 2314.9517),(12 2540.697),(13 2538.4949),(14 2555.039),(15 2554.0757),(16 2919.6936),(17 2922.9458),(18 2954.6428),(19 2830.915),(20 3059.5437),(21 3059.5205),(22 3239.4048),(23 3132.5881),(24 3183.188),(25 3180.9854),(26 3314.8022),(27 3143.5796),(28 3221.2874),(29 3264.7947),(30 3209.172),(31 3354.9343),(32 3432.712),(33 3408.3809),(34 3176.138),(35 3171.5974),(36 3446.0793),(37 3449.5615),(38 3392.4714),(39 3468.1467),(40 3570.8694),(41 3557.9658),(42 3532.6313),(43 3502.6462),(44 3589.475),(45 3569.7),(46 3527.4487),(47 3656.7542),(48 3653.9),
(1 0.9389865),(2 234.27032),(3 918.101),(4 1217.3364),(5 1219.255),(6 1328.2341),(7 1656.4054),(8 1795.0795),(9 1799.4496),(10 1936.416),(11 2167.8013),(12 2277.0576),(13 2266.9436),(14 2218.3403),(15 2487.3435),(16 2544.3884),(17 2543.8198),(18 2616.9927),(19 2533.7222),(20 2803.3015),(21 2797.4575),(22 2847.9963),(23 2690.1707),(24 2902.8623),(25 2904.8687),(26 3069.965),(27 3139.2686),(28 3277.4595),(29 3321.5803),(30 3279.597),(31 3182.057),(32 3130.9978),(33 3129.6272),(34 3070.479),(35 3070.5088),(36 3372.5652),(37 3377.8027),(38 3210.3284),(39 3269.5593),(40 3318.8992),(41 3306.992),(42 3233.8083),(43 3273.74),(44 3291.6553),(45 3272.6565),(46 3243.1797),(47 3293.0654),(48 3286.4585),
(1 0.95062137),(2 238.3366),(3 864.501),(4 1135.1176),(5 1133.262),(6 1290.9736),(7 1628.4568),(8 1718.5227),(9 1713.1792),(10 1833.8383),(11 1908.0696),(12 2094.7996),(13 2084.4011),(14 2188.4075),(15 2340.7004),(16 2557.344),(17 2559.1677),(18 2573.677),(19 2489.5776),(20 2758.931),(21 2750.6123),(22 2799.969),(23 2738.3616),(24 2921.4133),(25 2914.587),(26 2987.8872),(27 2943.9094),(28 3190.6963),(29 3212.2087),(30 3170.0024),(31 3185.8298),(32 3282.4453),(33 3275.8816),(34 3159.2852),(35 3230.9258),(36 3508.4563),(37 3512.5981),(38 3233.1663),(39 3198.7021),(40 3342.5452),(41 3333.605),(42 3277.8914),(43 3388.8381),(44 3418.8218),(45 3397.724),(46 3272.8691),(47 3208.664),(48 3206.7424),
(1 0.9242002),(2 230.79002),(3 787.4685),(4 1046.0887),(5 1052.4401),(6 1233.7692),(7 1524.9304),(8 1706.8833),(9 1710.7139),(10 1848.2372),(11 1966.8688),(12 2186.9587),(13 2182.346),(14 2209.3914),(15 2272.7788),(16 2443.3352),(17 2440.556),(18 2510.3538),(19 2326.7546),(20 2509.7803),(21 2501.0771),(22 2679.4436),(23 2635.7632),(24 2867.9622),(25 2870.6),(26 2924.91),(27 3094.2212),(28 3281.8352),(29 3302.8413),(30 3393.8452),(31 3279.5967),(32 3335.772),(33 3329.556),(34 3097.741),(35 3168.0654),(36 3403.0366),(37 3393.6997),(38 3313.404),(39 3135.586),(40 3313.5583),(41 3297.3335),(42 3346.5613),(43 3273.8984),(44 3252.1533),(45 3234.2732),(46 3174.8682),(47 3158.4932),(48 3156.0303),
(1 0.91108114),(2 237.55191),(3 851.45154),(4 1102.0076),(5 1104.0199),(6 1245.8142),(7 1597.4714),(8 1789.8733),(9 1787.8932),(10 1898.3583),(11 2042.8313),(12 2205.9092),(13 2200.4272),(14 2195.738),(15 2373.7805),(16 2621.9456),(17 2621.2273),(18 2651.4624),(19 2466.6204),(20 2659.9302),(21 2658.614),(22 2604.096),(23 2704.8848),(24 2991.3853),(25 2994.4438),(26 3021.601),(27 2895.9253),(28 3044.8105),(29 3043.4014),(30 3084.853),(31 3026.396),(32 3061.4194),(33 3056.2324),(34 2809.1814),(35 2795.0264),(36 3118.424),(37 3118.1582),(38 3101.0984),(39 3048.7368),(40 3201.4438),(41 3198.563),(42 2956.2478),(43 2936.7239),(44 3063.931),(45 3050.6973),(46 3123.9785),(47 3093.2634),(48 3094.1592),
