(1 0.00067514926),(2 0.89396507),(3 5.205151),(4 6.849409),(5 6.845646),(6 9.784499),(7 15.325591),(8 16.586332),(9 16.593212),(10 18.310577),(11 19.567617),(12 20.681036),(13 20.68692),(14 20.778053),(15 22.575026),(16 23.518682),(17 23.474316),(18 23.960386),(19 25.921764),(20 27.611843),(21 27.583506),(22 27.500277),(23 27.466846),(24 29.370295),(25 29.378605),(26 29.933739),(27 29.338219),(28 29.41296),(29 29.473495),(30 29.68586),(31 29.85524),(32 31.5841),(33 31.63266),(34 33.145203),(35 36.336735),(36 37.72383),(37 37.763092),(38 36.522278),(39 34.255054),(40 35.149746),(41 35.176094),(42 33.50421),(43 33.819183),(44 32.704494),(45 32.68379),(46 32.110344),(47 30.642271),(48 30.680197),
(1 0.00057821616),(2 1.2199552),(3 7.321653),(4 9.879089),(5 9.876913),(6 13.356363),(7 17.656012),(8 19.37625),(9 19.383255),(10 19.920605),(11 24.780184),(12 24.761957),(13 24.786707),(14 24.028181),(15 27.241972),(16 31.273682),(17 31.246805),(18 33.828),(19 35.61093),(20 36.751442),(21 36.683136),(22 35.927666),(23 34.44295),(24 36.16917),(25 36.15647),(26 37.531765),(27 37.50335),(28 37.952404),(29 38.122555),(30 40.35448),(31 40.62645),(32 41.667973),(33 41.750366),(34 41.679016),(35 40.47386),(36 39.794308),(37 39.786774),(38 37.784992),(39 43.154408),(40 43.129982),(41 43.0886),(42 40.465103),(43 38.87121),(44 38.662994),(45 38.6986),(46 39.143547),(47 40.01891),(48 40.001537),
(1 0.0006227861),(2 1.027927),(3 7.2827315),(4 9.950494),(5 9.951295),(6 13.607531),(7 17.913038),(8 19.867008),(9 19.899496),(10 20.824722),(11 22.317074),(12 23.944698),(13 23.989796),(14 25.86035),(15 27.880741),(16 31.804522),(17 31.809664),(18 31.322712),(19 26.445482),(20 28.940535),(21 28.988047),(22 30.093546),(23 32.27354),(24 35.0547),(25 35.04297),(26 35.835884),(27 36.77896),(28 38.968433),(29 39.390045),(30 41.019665),(31 43.92245),(32 42.078735),(33 42.095276),(34 42.766525),(35 46.632847),(36 48.549927),(37 48.59951),(38 48.586105),(39 48.387077),(40 47.63949),(41 47.716503),(42 45.62447),(43 40.29024),(44 43.275883),(45 43.30157),(46 45.485363),(47 45.450054),(48 45.461483),
(1 0.0006988524),(2 1.1886338),(3 6.7340703),(4 9.333709),(5 9.298852),(6 11.939116),(7 17.025724),(8 17.534634),(9 17.5522),(10 18.444435),(11 19.735737),(12 21.912527),(13 21.919273),(14 23.502926),(15 27.671854),(16 29.190027),(17 29.21525),(18 28.91609),(19 28.31933),(20 30.050755),(21 30.071402),(22 30.209667),(23 33.81495),(24 37.360806),(25 37.411015),(26 37.634518),(27 35.13231),(28 35.188313),(29 35.47233),(30 37.322205),(31 40.31345),(32 40.846878),(33 40.859737),(34 42.66765),(35 43.881367),(36 45.595917),(37 45.62016),(38 45.155563),(39 45.108593),(40 43.24696),(41 43.225895),(42 44.069958),(43 45.61897),(44 43.32354),(45 43.310085),(46 45.389065),(47 47.252865),(48 47.23073),
(1 0.00073083537),(2 1.3258733),(3 5.5992317),(4 7.505854),(5 7.539994),(6 8.564637),(7 14.980703),(8 16.432613),(9 16.414927),(10 18.0509),(11 21.135653),(12 21.413197),(13 21.438616),(14 22.250303),(15 27.38738),(16 25.067648),(17 25.07417),(18 24.401394),(19 24.254364),(20 25.294037),(21 25.29074),(22 26.362906),(23 25.896612),(24 26.389189),(25 26.409739),(26 27.296144),(27 27.011204),(28 29.73433),(29 29.80713),(30 31.78667),(31 33.621693),(32 32.364407),(33 32.364765),(34 34.82212),(35 39.472157),(36 40.715267),(37 40.69339),(38 38.704845),(39 37.182674),(40 37.55883),(41 37.496387),(42 39.81223),(43 45.053864),(44 44.87714),(45 44.873592),(46 47.234837),(47 43.93907),(48 43.97441),
(1 0.0005681469),(2 1.2861642),(3 7.7772393),(4 9.513984),(5 9.507061),(6 11.057726),(7 13.535699),(8 16.470636),(9 16.477293),(10 18.709173),(11 20.037264),(12 20.883642),(13 20.879038),(14 22.473894),(15 24.819784),(16 26.473911),(17 26.457031),(18 25.443624),(19 27.213013),(20 29.450079),(21 29.417017),(22 30.531458),(23 34.384964),(24 36.668526),(25 36.65624),(26 36.527447),(27 39.5309),(28 38.176113),(29 37.992527),(30 39.725903),(31 39.947315),(32 40.45089),(33 40.482193),(34 38.975655),(35 37.958992),(36 37.923042),(37 37.91418),(38 37.68836),(39 42.121986),(40 42.37309),(41 42.40095),(42 40.54071),(43 39.415634),(44 40.116722),(45 40.21075),(46 41.96262),(47 45.22405),(48 45.241554),
(1 0.00061412377),(2 1.4063828),(3 7.7194686),(4 9.781943),(5 9.816614),(6 10.853746),(7 14.538432),(8 17.547358),(9 17.553211),(10 18.250782),(11 20.73631),(12 20.667425),(13 20.701036),(14 23.232212),(15 24.249147),(16 25.815422),(17 25.814585),(18 26.489117),(19 26.366035),(20 28.315586),(21 28.317602),(22 27.64903),(23 30.050838),(24 32.58747),(25 32.60829),(26 33.10801),(27 30.585184),(28 31.31751),(29 31.392761),(30 33.517536),(31 39.990158),(32 39.629787),(33 39.61673),(34 39.5374),(35 40.757736),(36 41.682808),(37 41.662495),(38 41.514294),(39 44.292698),(40 43.853462),(41 43.844376),(42 40.751614),(43 37.763203),(44 37.173218),(45 37.218403),(46 37.92545),(47 41.048172),(48 41.07704),
(1 0.0007847331),(2 1.3640711),(3 6.3224645),(4 8.716651),(5 8.72965),(6 11.5052),(7 16.052254),(8 17.046366),(9 17.060474),(10 17.73301),(11 21.705402),(12 23.962582),(13 23.964294),(14 26.232504),(15 27.521334),(16 29.944635),(17 29.960485),(18 34.719143),(19 38.153236),(20 39.28314),(21 39.329613),(22 40.694572),(23 38.01064),(24 37.180958),(25 37.134167),(26 38.060993),(27 43.051506),(28 44.631607),(29 44.659435),(30 45.373394),(31 48.853016),(32 46.012913),(33 46.016537),(34 48.712364),(35 53.202446),(36 54.87979),(37 54.96063),(38 55.190895),(39 56.31115),(40 54.8018),(41 54.8188),(42 52.668488),(43 54.307636),(44 52.40475),(45 52.27222),(46 53.198208),(47 47.189392),(48 47.204742),
(1 0.00072678435),(2 1.2513918),(3 5.8894053),(4 7.2407417),(5 7.236501),(6 9.249207),(7 13.3912945),(8 15.378571),(9 15.359716),(10 15.838799),(11 18.108957),(12 19.251553),(13 19.255404),(14 18.843296),(15 21.362965),(16 23.90548),(17 23.938099),(18 25.020058),(19 25.165281),(20 27.98261),(21 27.958302),(22 30.418331),(23 31.163435),(24 31.085297),(25 31.08421),(26 35.29118),(27 35.26882),(28 36.01923),(29 36.12041),(30 36.035187),(31 37.421577),(32 37.834984),(33 37.802673),(34 36.715046),(35 37.242325),(36 38.400677),(37 38.39925),(38 40.10913),(39 37.22189),(40 36.300507),(41 36.25757),(42 37.47677),(43 35.786263),(44 33.287304),(45 33.34679),(46 35.03964),(47 32.838158),(48 32.82171),
(1 0.0007046709),(2 1.2147843),(3 6.4856467),(4 7.8422613),(5 7.8590612),(6 10.812495),(7 16.849276),(8 19.12865),(9 19.12722),(10 21.282991),(11 27.472408),(12 28.359962),(13 28.3266),(14 25.300478),(15 24.710611),(16 25.932026),(17 25.998451),(18 28.753557),(19 32.509415),(20 31.984322),(21 32.009193),(22 29.834837),(23 31.366938),(24 32.079388),(25 32.14178),(26 33.288536),(27 37.70082),(28 35.391613),(29 35.230423),(30 33.264732),(31 32.68451),(32 33.482613),(33 33.435238),(34 34.627316),(35 36.321186),(36 36.575054),(37 36.62428),(38 36.11906),(39 36.743584),(40 39.04014),(41 39.036503),(42 38.582527),(43 36.84963),(44 35.985783),(45 36.01658),(46 35.900608),(47 36.39877),(48 36.430298),
