1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,
(1 0.00026439893),(2 0.27275437),(3 0.95761687),(4 1.2120465),(5 1.2127446),(6 1.4660012),(7 1.823257),(8 2.0455468),(9 2.0460024),(10 2.1924055),(11 2.5934205),(12 2.8177128),(13 2.8167179),(14 2.9169402),(15 2.9275198),(16 3.1976118),(17 3.1975),(18 3.3326902),(19 3.2750616),(20 3.553771),(21 3.550562),(22 3.6154037),(23 3.6192698),(24 3.9289696),(25 3.930037),(26 4.1532316),(27 4.3747435),(28 4.5107384),(29 4.5207286),(30 4.5006747),(31 4.4464393),(32 4.5249996),(33 4.525474),(34 4.3572454),(35 4.50091),(36 4.800157),(37 4.7994833),(38 4.8265376),(39 4.8083477),(40 4.839433),(41 4.8372087),(42 4.7652116),(43 4.752967),(44 4.680345),(45 4.672353),(46 4.6800776),(47 4.803619),(48 4.803067),
(1 0.00025382626),(2 0.24918851),(3 0.87483376),(4 1.1207908),(5 1.1228505),(6 1.3193853),(7 1.6740421),(8 1.8659782),(9 1.8661112),(10 2.0094373),(11 2.3253264),(12 2.5014648),(13 2.5001755),(14 2.6119235),(15 2.7202585),(16 2.9061575),(17 2.9055328),(18 2.9943385),(19 2.957135),(20 3.2406638),(21 3.2396307),(22 3.3038647),(23 3.2997625),(24 3.6302264),(25 3.629913),(26 3.7851884),(27 3.980176),(28 4.0668592),(29 4.084193),(30 3.9866834),(31 4.017088),(32 4.1013055),(33 4.0973577),(34 3.9483683),(35 3.990627),(36 4.1698756),(37 4.167381),(38 4.177101),(39 4.181537),(40 4.2352724),(41 4.2321773),(42 4.2184615),(43 4.2176976),(44 4.1633496),(45 4.1596637),(46 4.195102),(47 4.200266),(48 4.200006),
(1 0.00026741225),(2 0.2502719),(3 0.90197754),(4 1.1499859),(5 1.15017),(6 1.3579421),(7 1.7152078),(8 1.8710585),(9 1.8729413),(10 1.9927669),(11 2.3454516),(12 2.54497),(13 2.544294),(14 2.6327848),(15 2.7047694),(16 2.8881814),(17 2.8858674),(18 3.0102303),(19 2.9978762),(20 3.2885485),(21 3.2871296),(22 3.3262546),(23 3.3391519),(24 3.6184087),(25 3.617532),(26 3.7640712),(27 3.895324),(28 4.1020384),(29 4.1081634),(30 4.0586767),(31 3.9989908),(32 4.110363),(33 4.10887),(34 3.9274645),(35 3.9885685),(36 4.271223),(37 4.270838),(38 4.2160134),(39 4.1803923),(40 4.1988893),(41 4.197681),(42 4.157889),(43 4.2443466),(44 4.1291),(45 4.1258354),(46 4.1905823),(47 4.210886),(48 4.2112),
(1 0.0002746544),(2 0.23699667),(3 0.84014285),(4 1.0620779),(5 1.0630469),(6 1.260273),(7 1.6038514),(8 1.7565093),(9 1.7568234),(10 1.8649322),(11 2.2183633),(12 2.3788748),(13 2.377172),(14 2.5014036),(15 2.5899765),(16 2.798613),(17 2.7978494),(18 2.8790655),(19 2.808608),(20 3.0881093),(21 3.086927),(22 3.1595914),(23 3.110469),(24 3.4210246),(25 3.4197288),(26 3.5401912),(27 3.7123153),(28 3.8374698),(29 3.8438385),(30 3.7779207),(31 3.7937515),(32 3.95044),(33 3.9488153),(34 3.789736),(35 3.828499),(36 4.0106235),(37 4.008556),(38 3.9758902),(39 3.9068244),(40 4.035577),(41 4.032662),(42 3.9912279),(43 3.9682395),(44 3.8637004),(45 3.860734),(46 3.88931),(47 3.92967),(48 3.9302852),
(1 0.0002545529),(2 0.20481828),(3 0.73070014),(4 0.9300441),(5 0.9300713),(6 1.0725311),(7 1.3829405),(8 1.5249199),(9 1.5254923),(10 1.6041772),(11 1.8778043),(12 1.9925662),(13 1.9903805),(14 2.0271764),(15 2.1396866),(16 2.2938666),(17 2.2919703),(18 2.3775654),(19 2.409064),(20 2.6237702),(21 2.6232955),(22 2.6183016),(23 2.5646904),(24 2.7922046),(25 2.7936003),(26 2.9219222),(27 3.0784645),(28 3.2175567),(29 3.227874),(30 3.1290164),(31 3.1908064),(32 3.3285367),(33 3.326664),(34 3.2247021),(35 3.2235918),(36 3.423077),(37 3.4210641),(38 3.3610554),(39 3.296556),(40 3.376829),(41 3.3736925),(42 3.4263756),(43 3.411143),(44 3.3038208),(45 3.3001113),(46 3.334109),(47 3.3997982),(48 3.399122),
(1 0.00022784094),(2 0.16879393),(3 0.61281055),(4 0.783181),(5 0.78321284),(6 0.9093618),(7 1.1465951),(8 1.2461429),(9 1.245326),(10 1.3656878),(11 1.5911946),(12 1.7111621),(13 1.7105424),(14 1.7617),(15 1.8523211),(16 1.989556),(17 1.9887732),(18 2.0287879),(19 1.9920319),(20 2.197722),(21 2.1952875),(22 2.2280333),(23 2.2009928),(24 2.38365),(25 2.38398),(26 2.5147114),(27 2.6324432),(28 2.734341),(29 2.742451),(30 2.687572),(31 2.6701908),(32 2.7537663),(33 2.7512963),(34 2.6400664),(35 2.6402664),(36 2.8073807),(37 2.8057463),(38 2.7894924),(39 2.7386677),(40 2.7674277),(41 2.7667048),(42 2.794949),(43 2.7771502),(44 2.634576),(45 2.6290588),(46 2.6926763),(47 2.814344),(48 2.8139055),
(1 0.00023020933),(2 0.16131364),(3 0.561519),(4 0.7076144),(5 0.7077873),(6 0.82286125),(7 1.0587496),(8 1.1909846),(9 1.1893482),(10 1.2577622),(11 1.445551),(12 1.5526743),(13 1.5520244),(14 1.6104542),(15 1.7069297),(16 1.8135294),(17 1.8135033),(18 1.9077489),(19 1.871966),(20 2.038494),(21 2.0356977),(22 2.0752006),(23 2.072045),(24 2.234396),(25 2.2348113),(26 2.31835),(27 2.4305875),(28 2.5104685),(29 2.5185313),(30 2.432787),(31 2.4260442),(32 2.5096016),(33 2.5075524),(34 2.4077854),(35 2.4236479),(36 2.6043625),(37 2.6023073),(38 2.566783),(39 2.5545473),(40 2.600927),(41 2.5981677),(42 2.596922),(43 2.5646784),(44 2.5077152),(45 2.5036232),(46 2.5156257),(47 2.6496377),(48 2.6497386),
(1 0.000235742),(2 0.15455168),(3 0.5402356),(4 0.7020168),(5 0.7027456),(6 0.79802555),(7 1.0089391),(8 1.1098186),(9 1.1094434),(10 1.2136542),(11 1.3760979),(12 1.4862106),(13 1.485651),(14 1.5172567),(15 1.6312078),(16 1.78128),(17 1.7810544),(18 1.8112016),(19 1.7970637),(20 1.9850351),(21 1.983252),(22 1.9989556),(23 1.9433628),(24 2.118879),(25 2.1183925),(26 2.2320416),(27 2.2659447),(28 2.3871021),(29 2.398797),(30 2.337655),(31 2.35555),(32 2.4504383),(33 2.4475272),(34 2.350188),(35 2.3393867),(36 2.5523477),(37 2.5512187),(38 2.538664),(39 2.502867),(40 2.5544703),(41 2.550777),(42 2.507579),(43 2.5261576),(44 2.4778976),(45 2.4738333),(46 2.5037405),(47 2.5562139),(48 2.555538),
(1 0.00022134325),(2 0.13327006),(3 0.46540403),(4 0.59329057),(5 0.5933261),(6 0.68028396),(7 0.8694853),(8 0.9663524),(9 0.9659043),(10 1.0301485),(11 1.1798248),(12 1.2677416),(13 1.2676653),(14 1.3181276),(15 1.3793445),(16 1.4849702),(17 1.4838893),(18 1.5247365),(19 1.5193372),(20 1.6695915),(21 1.6662791),(22 1.6924908),(23 1.665794),(24 1.7916418),(25 1.7905688),(26 1.8045278),(27 1.8841648),(28 1.950527),(29 1.9562807),(30 1.9434148),(31 1.9492791),(32 2.0010884),(33 1.9984908),(34 1.9196866),(35 1.9242831),(36 2.0698624),(37 2.068358),(38 2.0403154),(39 1.9967365),(40 2.0675454),(41 2.0645862),(42 2.0827749),(43 2.0263343),(44 1.999308),(45 1.9948553),(46 2.0339136),(47 2.0746613),(48 2.0750215),
(1 0.00021739631),(2 0.12912251),(3 0.4555672),(4 0.5817845),(5 0.58238935),(6 0.6550934),(7 0.82773775),(8 0.8924429),(9 0.8923855),(10 0.9756624),(11 1.1047498),(12 1.2084241),(13 1.2073663),(14 1.2419897),(15 1.2936027),(16 1.3871773),(17 1.3862127),(18 1.4183612),(19 1.3870195),(20 1.5334662),(21 1.5314434),(22 1.5358598),(23 1.534207),(24 1.6470313),(25 1.6464112),(26 1.7156554),(27 1.8057429),(28 1.9085478),(29 1.919315),(30 1.8941108),(31 1.8795213),(32 1.9453384),(33 1.9428027),(34 1.858651),(35 1.8429422),(36 1.9917942),(37 1.9908427),(38 1.9903711),(39 1.9838163),(40 2.0376306),(41 2.0341651),(42 1.9902663),(43 2.0066576),(44 1.9851127),(45 1.9800843),(46 1.98831),(47 1.9996028),(48 1.9993556),
