1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,
(1 0.000117919415),(2 0.04289373),(3 0.15516165),(4 0.19676779),(5 0.19686064),(6 0.22946106),(7 0.28415778),(8 0.31491965),(9 0.31498432),(10 0.3384562),(11 0.37943032),(12 0.4146173),(13 0.41411543),(14 0.42332762),(15 0.44283518),(16 0.47376186),(17 0.47365382),(18 0.47897458),(19 0.47758636),(20 0.5225164),(21 0.5219642),(22 0.5255651),(23 0.5211806),(24 0.5635799),(25 0.5633694),(26 0.57186764),(27 0.5945253),(28 0.6240023),(29 0.627588),(30 0.6120474),(31 0.61402625),(32 0.6372739),(33 0.63573354),(34 0.60653496),(35 0.59445554),(36 0.6448112),(37 0.64419866),(38 0.63813174),(39 0.63909346),(40 0.65018004),(41 0.64835936),(42 0.6377054),(43 0.63665104),(44 0.633373),(45 0.6321502),(46 0.63067245),(47 0.6439449),(48 0.6439308),
(1 0.00011546552),(2 0.037566952),(3 0.13175505),(4 0.16764279),(5 0.16781135),(6 0.19424523),(7 0.2463275),(8 0.2735045),(9 0.2731193),(10 0.28934658),(11 0.32262528),(12 0.35460687),(13 0.3540117),(14 0.35776892),(15 0.37903982),(16 0.40853617),(17 0.40811646),(18 0.41869155),(19 0.4097885),(20 0.4467998),(21 0.44587412),(22 0.4525987),(23 0.44328004),(24 0.47613004),(25 0.47567627),(26 0.48915142),(27 0.5018902),(28 0.52928126),(29 0.5321524),(30 0.5172975),(31 0.5168613),(32 0.5310143),(33 0.5300069),(34 0.51167554),(35 0.5040955),(36 0.5462767),(37 0.54558045),(38 0.53077674),(39 0.5232177),(40 0.54048836),(41 0.5390591),(42 0.5288031),(43 0.52582175),(44 0.521815),(45 0.52063936),(46 0.5266591),(47 0.53872025),(48 0.5386064),
(1 0.00012423756),(2 0.03651405),(3 0.126533),(4 0.16104911),(5 0.16100232),(6 0.18476987),(7 0.23019621),(8 0.25669315),(9 0.25630972),(10 0.27577323),(11 0.3018725),(12 0.3305295),(13 0.32973656),(14 0.3383671),(15 0.35494545),(16 0.38508913),(17 0.38486904),(18 0.39195165),(19 0.38232103),(20 0.41600546),(21 0.4152307),(22 0.4169247),(23 0.41426516),(24 0.44399124),(25 0.4434964),(26 0.45277095),(27 0.4619823),(28 0.48533323),(29 0.48763767),(30 0.477507),(31 0.47648025),(32 0.49538276),(33 0.49437958),(34 0.46878952),(35 0.46712542),(36 0.5077768),(37 0.50726175),(38 0.498249),(39 0.4899514),(40 0.5060224),(41 0.50427425),(42 0.49348378),(43 0.49049118),(44 0.4962941),(45 0.494393),(46 0.49479714),(47 0.5052594),(48 0.5050872),
(1 0.00012521807),(2 0.033504505),(3 0.11341015),(4 0.14484373),(5 0.14505172),(6 0.16421704),(7 0.20383716),(8 0.22648261),(9 0.22594698),(10 0.24063133),(11 0.26387924),(12 0.29026973),(13 0.28979814),(14 0.2960821),(15 0.3052138),(16 0.33314997),(17 0.33288926),(18 0.33899787),(19 0.3346752),(20 0.36764026),(21 0.3670242),(22 0.36899546),(23 0.36086294),(24 0.38956597),(25 0.3890539),(26 0.39631474),(27 0.40606052),(28 0.42842624),(29 0.42875075),(30 0.42051587),(31 0.41509026),(32 0.43462327),(33 0.43356255),(34 0.41367298),(35 0.41192383),(36 0.44550425),(37 0.44482198),(38 0.4335046),(39 0.4209662),(40 0.4357271),(41 0.43446323),(42 0.42899),(43 0.42947364),(44 0.4279124),(45 0.42654136),(46 0.42931536),(47 0.44343838),(48 0.44342104),
(1 0.000118382595),(2 0.029009419),(3 0.09744874),(4 0.12115541),(5 0.12106528),(6 0.1384729),(7 0.16934563),(8 0.18675405),(9 0.18661194),(10 0.19997634),(11 0.22129789),(12 0.24225548),(13 0.24197178),(14 0.25009143),(15 0.25808764),(16 0.28343248),(17 0.28325987),(18 0.28655952),(19 0.28466985),(20 0.30946127),(21 0.30854562),(22 0.30825624),(23 0.30113205),(24 0.3250011),(25 0.32447553),(26 0.32574847),(27 0.326321),(28 0.3469994),(29 0.34803864),(30 0.3418488),(31 0.34010884),(32 0.35445297),(33 0.35335243),(34 0.33548918),(35 0.33437562),(36 0.3636282),(37 0.36318156),(38 0.3564546),(39 0.3500208),(40 0.3615588),(41 0.36042136),(42 0.35192096),(43 0.34843266),(44 0.35113263),(45 0.3497826),(46 0.3514976),(47 0.36175218),(48 0.36159992),
(1 0.00010788206),(2 0.024666818),(3 0.07992376),(4 0.100425765),(5 0.10053092),(6 0.1142296),(7 0.13915071),(8 0.1543537),(9 0.15406267),(10 0.16503003),(11 0.18075861),(12 0.19420151),(13 0.19385555),(14 0.19919698),(15 0.20543064),(16 0.22470216),(17 0.2243931),(18 0.22762324),(19 0.2262266),(20 0.24929284),(21 0.24883114),(22 0.25001755),(23 0.24296048),(24 0.26077765),(25 0.26031086),(26 0.26332355),(27 0.26633734),(28 0.28236774),(29 0.2828277),(30 0.27881837),(31 0.27487755),(32 0.28848895),(33 0.28752849),(34 0.27387717),(35 0.27105007),(36 0.29412332),(37 0.29328874),(38 0.28731522),(39 0.28123823),(40 0.29273665),(41 0.29182354),(42 0.28779393),(43 0.28272057),(44 0.28434768),(45 0.28332323),(46 0.28087434),(47 0.29210946),(48 0.29211843),
(1 0.00011200938),(2 0.023474239),(3 0.07461565),(4 0.0931181),(5 0.09309107),(6 0.10471421),(7 0.13002399),(8 0.14204815),(9 0.1416364),(10 0.14937401),(11 0.16279982),(12 0.17602432),(13 0.17570509),(14 0.18329208),(15 0.18964413),(16 0.20816128),(17 0.20781763),(18 0.20912881),(19 0.2080684),(20 0.22643499),(21 0.22573437),(22 0.22634213),(23 0.21924472),(24 0.23770854),(25 0.23712043),(26 0.23845166),(27 0.23651774),(28 0.25226057),(29 0.2524099),(30 0.24873076),(31 0.24770007),(32 0.26001424),(33 0.25903976),(34 0.24827845),(35 0.24407484),(36 0.26390138),(37 0.26339528),(38 0.25862804),(39 0.25480556),(40 0.26435518),(41 0.2633133),(42 0.26029602),(43 0.2541254),(44 0.2568511),(45 0.25593922),(46 0.25462306),(47 0.26681653),(48 0.2667642),
(1 0.000114151786),(2 0.022586955),(3 0.07058908),(4 0.08732364),(5 0.08736574),(6 0.099385984),(7 0.122704506),(8 0.13349283),(9 0.13317086),(10 0.14177594),(11 0.1547585),(12 0.16733652),(13 0.16690417),(14 0.1730223),(15 0.17858317),(16 0.19444636),(17 0.19413613),(18 0.1962852),(19 0.19416724),(20 0.21444237),(21 0.21393177),(22 0.2117958),(23 0.20582084),(24 0.22212715),(25 0.22170202),(26 0.22455773),(27 0.22623502),(28 0.24007295),(29 0.23992515),(30 0.23476069),(31 0.23427348),(32 0.24570604),(33 0.24493968),(34 0.23338525),(35 0.23143184),(36 0.25084352),(37 0.25021777),(38 0.24559277),(39 0.24270631),(40 0.25318184),(41 0.25244522),(42 0.24785271),(43 0.24052005),(44 0.2423872),(45 0.24154988),(46 0.24070321),(47 0.25088346),(48 0.25081095),
(1 0.000109536864),(2 0.020146951),(3 0.06158031),(4 0.07645377),(5 0.076494314),(6 0.08602157),(7 0.106774256),(8 0.116760164),(9 0.116444066),(10 0.123272195),(11 0.13325247),(12 0.14525035),(13 0.14490245),(14 0.14915586),(15 0.15564083),(16 0.17022358),(17 0.16988032),(18 0.17082761),(19 0.16916141),(20 0.18699564),(21 0.1864934),(22 0.18279842),(23 0.1785272),(24 0.19237977),(25 0.19199926),(26 0.19251929),(27 0.19328131),(28 0.20373061),(29 0.2037325),(30 0.20254058),(31 0.2011062),(32 0.21128418),(33 0.21058463),(34 0.20082265),(35 0.19684027),(36 0.21246587),(37 0.21185528),(38 0.20963804),(39 0.20748462),(40 0.21456744),(41 0.21367437),(42 0.2097608),(43 0.2078864),(44 0.20934722),(45 0.20842409),(46 0.20716362),(47 0.21694101),(48 0.21690296),
(1 0.00011220359),(2 0.019627849),(3 0.05919964),(4 0.073037446),(5 0.07300374),(6 0.08296981),(7 0.102764286),(8 0.11113985),(9 0.1107656),(10 0.11700198),(11 0.1277382),(12 0.13806325),(13 0.13761164),(14 0.14243338),(15 0.14726819),(16 0.1605813),(17 0.16032137),(18 0.16191176),(19 0.16075799),(20 0.17675741),(21 0.17626046),(22 0.17261401),(23 0.16935317),(24 0.184832),(25 0.18445034),(26 0.18321526),(27 0.18589331),(28 0.19541217),(29 0.19521813),(30 0.19203618),(31 0.19114268),(32 0.19905229),(33 0.19827391),(34 0.1895645),(35 0.18708527),(36 0.20400761),(37 0.20350924),(38 0.20003986),(39 0.19753356),(40 0.20568456),(41 0.20500241),(42 0.20281877),(43 0.19775347),(44 0.20027497),(45 0.19942394),(46 0.19895935),(47 0.20710507),(48 0.20701164),
