1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,
(1 7.6012044),(2 8.288423),(3 8.31087),(4 9.7272415),(5 8.6325035),(6 9.18244),(7 9.184493),(8 8.521478),(9 8.832995),(10 9.0961485),(11 9.097428),(12 7.817215),(13 8.606916),(14 9.7087755),(15 9.71497),(16 8.9227495),(17 9.060735),(18 8.779623),(19 8.780047),(20 9.488757),(21 8.765041),(22 10.195464),(23 10.202344),(24 8.826772),(25 8.8840065),(26 12.606784),(27 12.6010475),(28 9.12137),(29 9.374871),(30 9.441806),(31 9.4372425),(32 9.546785),(33 9.979809),(34 10.515612),(35 10.507266),(36 10.29316),(37 10.527763),(38 9.1285715),(39 9.131643),(40 12.0808325),(41 8.81867),(42 9.613632),(43 9.619918),(44 8.863775),(45 10.34212),(46 10.341422),
(1 6.1550922),(2 6.9818234),(3 6.993418),(4 8.344316),(5 7.4747024),(6 7.760226),(7 7.7709),(8 7.9636297),(9 8.094459),(10 8.400772),(11 8.389877),(12 7.2085743),(13 7.366317),(14 8.61457),(15 8.617631),(16 7.3640666),(17 8.017469),(18 7.4301214),(19 7.432896),(20 8.386832),(21 7.778986),(22 9.382018),(23 9.39024),(24 8.311956),(25 7.900923),(26 10.493242),(27 10.492305),(28 8.002484),(29 8.535532),(30 8.547385),(31 8.545389),(32 8.22273),(33 9.263659),(34 8.873832),(35 8.875681),(36 8.833486),(37 8.5662),(38 7.7045093),(39 7.7060704),(40 9.812857),(41 7.6864657),(42 8.300377),(43 8.308429),(44 7.37507),(45 8.279705),(46 8.2740135),
(1 6.307967),(2 6.9589586),(3 6.965642),(4 8.867335),(5 7.338795),(6 8.038805),(7 8.038956),(8 7.8006954),(9 8.337734),(10 8.037124),(11 8.034642),(12 7.270043),(13 7.6023784),(14 8.500411),(15 8.5081415),(16 7.8505607),(17 8.034221),(18 7.759564),(19 7.754206),(20 8.315998),(21 7.799018),(22 9.11563),(23 9.125676),(24 8.390129),(25 7.922832),(26 10.781608),(27 10.7799635),(28 7.753303),(29 8.4845915),(30 8.347901),(31 8.34506),(32 8.681213),(33 9.333681),(34 9.3449135),(35 9.339895),(36 9.102022),(37 8.995312),(38 7.984264),(39 7.9855323),(40 10.289218),(41 7.8648024),(42 8.562536),(43 8.559865),(44 7.442185),(45 8.599155),(46 8.599031),
(1 5.659751),(2 6.636568),(3 6.637521),(4 7.971329),(5 7.0367236),(6 7.363408),(7 7.3658266),(8 7.254709),(9 7.640354),(10 7.674668),(11 7.671147),(12 6.7668056),(13 7.1446447),(14 7.861161),(15 7.861042),(16 7.351598),(17 7.4963264),(18 6.9974437),(19 7.003974),(20 7.729694),(21 7.3402605),(22 8.501874),(23 8.509145),(24 7.7394986),(25 7.3347077),(26 9.054519),(27 9.055331),(28 7.3182364),(29 8.018271),(30 7.720754),(31 7.713088),(32 7.897254),(33 8.453244),(34 8.793691),(35 8.791154),(36 8.42785),(37 8.41246),(38 7.400753),(39 7.401053),(40 9.12927),(41 7.276459),(42 7.5628514),(43 7.564837),(44 7.4787035),(45 8.013757),(46 8.015976),
(1 5.4103045),(2 5.9447355),(3 5.942114),(4 6.9694567),(5 6.241962),(6 6.5664253),(7 6.566269),(8 6.5505643),(9 7.038388),(10 6.861196),(11 6.8636193),(12 5.988774),(13 6.5595627),(14 7.2519517),(15 7.2564535),(16 6.7158394),(17 6.514709),(18 6.309502),(19 6.307357),(20 6.550668),(21 6.1568203),(22 7.3672957),(23 7.3642287),(24 6.614063),(25 6.4247494),(26 8.366135),(27 8.372408),(28 6.2512813),(29 6.9387183),(30 7.1443315),(31 7.1409106),(32 7.0818977),(33 7.440994),(34 7.607166),(35 7.609522),(36 7.4334526),(37 7.3981857),(38 6.606245),(39 6.6033654),(40 8.310685),(41 6.4898567),(42 6.8038545),(43 6.7999616),(44 6.3739324),(45 7.095587),(46 7.098857),
(1 4.545327),(2 5.217915),(3 5.2227592),(4 5.9806056),(5 5.206317),(6 5.471133),(7 5.469929),(8 5.3208284),(9 5.605733),(10 5.589563),(11 5.591352),(12 5.09484),(13 5.4798794),(14 6.1685033),(15 6.165061),(16 5.7810526),(17 5.4206433),(18 5.188926),(19 5.193231),(20 5.63615),(21 5.063154),(22 6.303943),(23 6.2980886),(24 5.649034),(25 5.446878),(26 7.0866613),(27 7.084685),(28 5.5102053),(29 6.0831738),(30 5.9254956),(31 5.920801),(32 5.8947816),(33 6.2514596),(34 6.814963),(35 6.817811),(36 6.605383),(37 6.6273575),(38 5.788735),(39 5.7881565),(40 7.3364587),(41 5.404677),(42 5.629718),(43 5.6286464),(44 5.6563983),(45 5.978563),(46 5.979461),
(1 4.284719),(2 4.720613),(3 4.7289248),(4 5.6615868),(5 5.105529),(6 5.39009),(7 5.3869224),(8 5.29042),(9 5.5650334),(10 5.436202),(11 5.438581),(12 4.9571686),(13 5.1228523),(14 5.9477587),(15 5.9476867),(16 5.370711),(17 5.1733694),(18 4.898822),(19 4.9021716),(20 5.354345),(21 4.7186947),(22 5.8782935),(23 5.88162),(24 5.2579975),(25 5.0056286),(26 6.9203253),(27 6.920472),(28 4.895594),(29 5.473404),(30 5.625984),(31 5.6241517),(32 5.46993),(33 6.0746803),(34 6.2055492),(35 6.207908),(36 6.48267),(37 6.269934),(38 5.364361),(39 5.3662753),(40 7.172363),(41 5.288137),(42 5.9522896),(43 5.9439263),(44 5.671626),(45 5.6432343),(46 5.645047),
(1 4.1287456),(2 4.850585),(3 4.861343),(4 5.7402525),(5 5.0516777),(6 4.99458),(7 4.993814),(8 4.9980125),(9 5.1228247),(10 5.0364594),(11 5.038731),(12 4.516201),(13 4.8094177),(14 5.641236),(15 5.6397057),(16 5.0255494),(17 5.1461535),(18 4.784366),(19 4.7795386),(20 5.1905947),(21 4.490586),(22 5.766551),(23 5.7759986),(24 5.0638123),(25 4.9004664),(26 6.8240848),(27 6.8207965),(28 5.044373),(29 5.3567886),(30 5.346651),(31 5.340299),(32 5.2624235),(33 5.7455916),(34 6.063842),(35 6.066396),(36 6.037122),(37 6.2773285),(38 5.1728377),(39 5.1705904),(40 6.7609158),(41 4.958609),(42 5.4777884),(43 5.479516),(44 5.2224617),(45 5.4714327),(46 5.46443),
(1 3.6685314),(2 4.2203407),(3 4.231343),(4 5.050638),(5 4.5320835),(6 4.6456065),(7 4.6469874),(8 4.545087),(9 4.8052797),(10 4.6223383),(11 4.6226287),(12 4.268202),(13 4.327021),(14 5.0921507),(15 5.0920367),(16 4.507792),(17 4.676228),(18 4.1802),(19 4.1758337),(20 4.756865),(21 4.1436024),(22 5.1716385),(23 5.1812525),(24 4.490142),(25 4.342301),(26 6.1894126),(27 6.1860433),(28 4.278349),(29 4.693644),(30 4.6607647),(31 4.656031),(32 4.6860824),(33 5.1511464),(34 5.1972623),(35 5.192231),(36 5.425786),(37 5.630609),(38 4.5845437),(39 4.5827494),(40 6.4346375),(41 4.547922),(42 5.2734494),(43 5.270622),(44 4.7878323),(45 4.966217),(46 4.9637375),
(1 3.3704114),(2 4.040061),(3 4.047817),(4 4.768381),(5 4.4084735),(6 4.396121),(7 4.4003572),(8 4.3705416),(9 4.529569),(10 4.4051623),(11 4.4062777),(12 3.9197783),(13 4.256881),(14 4.6559925),(15 4.6566925),(16 4.285808),(17 4.3431225),(18 4.132346),(19 4.1297073),(20 4.6884265),(21 4.140549),(22 5.1159177),(23 5.1289425),(24 4.479791),(25 4.3613772),(26 5.9212484),(27 5.9178762),(28 4.2138424),(29 4.7129893),(30 4.6544857),(31 4.649554),(32 4.638234),(33 4.825045),(34 4.8823338),(35 4.8806014),(36 5.17725),(37 5.405144),(38 4.488491),(39 4.4880285),(40 6.0365963),(41 4.3152666),(42 4.9764977),(43 4.9779162),(44 4.724789),(45 4.760165),(46 4.754661),
