1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.4781079),(2 0.5589601),(3 0.55940557),(4 0.69119775),(5 0.60092807),(6 0.6297884),(7 0.6300228),(8 0.6216389),(9 0.60219467),(10 0.59389806),(11 0.5939459),(12 0.5561067),(13 0.60705984),(14 0.6823841),(15 0.6825572),(16 0.6061597),(17 0.6422569),(18 0.6051479),(19 0.6046406),(20 0.6496156),(21 0.5614317),(22 0.6908389),(23 0.69128215),(24 0.6128476),(25 0.5950582),(26 0.75751615),(27 0.7575125),(28 0.6013562),(29 0.67570484),(30 0.6767718),(31 0.6766371),(32 0.6729848),(33 0.75632846),(34 0.70500875),(35 0.7051386),(36 0.7441947),(37 0.74281305),(38 0.6167472),(39 0.6165671),(40 0.79679286),(41 0.61202556),(42 0.670437),(43 0.66984653),(44 0.635599),(45 0.7100999),(46 0.7099653),
(1 0.42419192),(2 0.5074242),(3 0.50884765),(4 0.64431715),(5 0.53269875),(6 0.57841486),(7 0.5780605),(8 0.5570698),(9 0.5482344),(10 0.53300685),(11 0.5329333),(12 0.4868214),(13 0.51756686),(14 0.62352145),(15 0.6237635),(16 0.54046214),(17 0.56654114),(18 0.5468443),(19 0.54690784),(20 0.601991),(21 0.4925622),(22 0.62875897),(23 0.63013315),(24 0.53304356),(25 0.5216582),(26 0.6894883),(27 0.69003284),(28 0.5279036),(29 0.62859),(30 0.63349366),(31 0.63280225),(32 0.59327066),(33 0.65424144),(34 0.638924),(35 0.63852054),(36 0.6755521),(37 0.6750084),(38 0.55507976),(39 0.5549686),(40 0.732802),(41 0.55084497),(42 0.62804216),(43 0.62766546),(44 0.5731415),(45 0.6309087),(46 0.6304128),
(1 0.34025204),(2 0.42247483),(3 0.42352694),(4 0.5181779),(5 0.43757066),(6 0.46744967),(7 0.46746174),(8 0.45765725),(9 0.45558766),(10 0.44726035),(11 0.44744194),(12 0.39467967),(13 0.41639575),(14 0.508472),(15 0.5084919),(16 0.4379793),(17 0.47153074),(18 0.46240887),(19 0.4621901),(20 0.49786317),(21 0.4064833),(22 0.50872535),(23 0.5090609),(24 0.42298073),(25 0.42715016),(26 0.5413082),(27 0.54148203),(28 0.40904245),(29 0.50606024),(30 0.5002116),(31 0.49929142),(32 0.47975856),(33 0.5373886),(34 0.5111397),(35 0.5112226),(36 0.5389244),(37 0.54513115),(38 0.43870717),(39 0.4386337),(40 0.57484514),(41 0.44599706),(42 0.5167459),(43 0.51639813),(44 0.4798635),(45 0.52555114),(46 0.52560073),
(1 0.2599228),(2 0.324047),(3 0.32489634),(4 0.39571476),(5 0.33778474),(6 0.36386836),(7 0.36367077),(8 0.3536043),(9 0.34441608),(10 0.33725855),(11 0.3372655),(12 0.29815271),(13 0.32568803),(14 0.3821153),(15 0.38213724),(16 0.33240005),(17 0.36459324),(18 0.35456383),(19 0.35419947),(20 0.37445343),(21 0.30014557),(22 0.3721948),(23 0.37222782),(24 0.32271835),(25 0.33353654),(26 0.39901194),(27 0.3988697),(28 0.32271236),(29 0.38669962),(30 0.3770692),(31 0.37660906),(32 0.36791018),(33 0.4080656),(34 0.38241106),(35 0.38239866),(36 0.41067073),(37 0.4176282),(38 0.33682305),(39 0.3366326),(40 0.41359013),(41 0.3427238),(42 0.3810188),(43 0.38086247),(44 0.37028494),(45 0.38734487),(46 0.38703912),
(1 0.21309766),(2 0.26679012),(3 0.267375),(4 0.32643217),(5 0.274573),(6 0.29599664),(7 0.29589447),(8 0.2937089),(9 0.27802545),(10 0.27702475),(11 0.27716303),(12 0.24362804),(13 0.27942324),(14 0.318812),(15 0.31880897),(16 0.28012493),(17 0.294168),(18 0.29906455),(19 0.29908508),(20 0.30767703),(21 0.24617963),(22 0.30007064),(23 0.300195),(24 0.26291198),(25 0.27620083),(26 0.3122364),(27 0.31225416),(28 0.2679245),(29 0.32158655),(30 0.3191046),(31 0.31839734),(32 0.29933167),(33 0.3445425),(34 0.32745546),(35 0.32732505),(36 0.34708768),(37 0.3439012),(38 0.27925625),(39 0.27918366),(40 0.34095186),(41 0.28659627),(42 0.31806532),(43 0.31790885),(44 0.29934084),(45 0.3198251),(46 0.32000646),
(1 0.1768104),(2 0.21282157),(3 0.21285185),(4 0.24779435),(5 0.2189028),(6 0.23351443),(7 0.23328334),(8 0.23704994),(9 0.21727043),(10 0.21515776),(11 0.2152365),(12 0.19799261),(13 0.22187895),(14 0.24739498),(15 0.24732685),(16 0.22655231),(17 0.23921421),(18 0.2362327),(19 0.2360387),(20 0.23865294),(21 0.20533438),(22 0.23168817),(23 0.23126017),(24 0.21163318),(25 0.22621007),(26 0.23754813),(27 0.23764373),(28 0.22720015),(29 0.2658113),(30 0.2538754),(31 0.25352055),(32 0.2490496),(33 0.27754378),(34 0.27489173),(35 0.27465567),(36 0.2736486),(37 0.26629904),(38 0.23358428),(39 0.23342952),(40 0.2534347),(41 0.23187687),(42 0.24603365),(43 0.24600376),(44 0.23656031),(45 0.25082538),(46 0.25092945),
(1 0.14602616),(2 0.18404894),(3 0.18399267),(4 0.20837373),(5 0.19302182),(6 0.20356263),(7 0.20332555),(8 0.20261118),(9 0.18739499),(10 0.17969319),(11 0.17944987),(12 0.16812164),(13 0.19030079),(14 0.20758463),(15 0.2074092),(16 0.19612949),(17 0.20559849),(18 0.20346852),(19 0.2032571),(20 0.20117286),(21 0.17806964),(22 0.19374302),(23 0.19365491),(24 0.18139929),(25 0.19383825),(26 0.19731936),(27 0.19727224),(28 0.19236335),(29 0.22923678),(30 0.21763569),(31 0.2172436),(32 0.21329594),(33 0.23259753),(34 0.22761542),(35 0.22753736),(36 0.22659557),(37 0.22077566),(38 0.19961107),(39 0.19946572),(40 0.2016957),(41 0.19852868),(42 0.20401745),(43 0.20396076),(44 0.19094841),(45 0.21043439),(46 0.2103943),
(1 0.12062916),(2 0.1489995),(3 0.14891039),(4 0.16875607),(5 0.16188937),(6 0.1650705),(7 0.1649225),(8 0.16608009),(9 0.14420958),(10 0.14240555),(11 0.14220022),(12 0.13999848),(13 0.15942799),(14 0.16855775),(15 0.1686072),(16 0.16088746),(17 0.16924597),(18 0.16887441),(19 0.16858338),(20 0.15897764),(21 0.14293383),(22 0.15322547),(23 0.1528592),(24 0.14718108),(25 0.15798365),(26 0.15958077),(27 0.15961325),(28 0.15910278),(29 0.18309249),(30 0.17479014),(31 0.17462464),(32 0.17248839),(33 0.18632677),(34 0.18579471),(35 0.18577614),(36 0.18195692),(37 0.1786588),(38 0.16746557),(39 0.16741431),(40 0.17228685),(41 0.16405742),(42 0.16807008),(43 0.16788898),(44 0.160761),(45 0.16888896),(46 0.16885673),
(1 0.10426709),(2 0.1290337),(3 0.12892447),(4 0.14343582),(5 0.13463975),(6 0.13910852),(7 0.13899672),(8 0.13766573),(9 0.12459597),(10 0.12266172),(11 0.12253607),(12 0.12013512),(13 0.13289467),(14 0.14494431),(15 0.14494081),(16 0.13789313),(17 0.14622924),(18 0.14298493),(19 0.142806),(20 0.13732332),(21 0.12387176),(22 0.13014649),(23 0.12982205),(24 0.12738109),(25 0.13666454),(26 0.13412128),(27 0.13417482),(28 0.1356814),(29 0.1527205),(30 0.14901327),(31 0.1488845),(32 0.14725854),(33 0.1613051),(34 0.15992089),(35 0.15979931),(36 0.15913114),(37 0.15451236),(38 0.14520687),(39 0.14523989),(40 0.14680357),(41 0.14060707),(42 0.14593412),(43 0.14588387),(44 0.13865705),(45 0.14513202),(46 0.14532831),
(1 0.089629635),(2 0.112269014),(3 0.112133086),(4 0.123395704),(5 0.12023183),(6 0.12160397),(7 0.12153001),(8 0.12083175),(9 0.10595347),(10 0.10476989),(11 0.10471015),(12 0.10370266),(13 0.11837124),(14 0.12737769),(15 0.12736115),(16 0.11913596),(17 0.12494548),(18 0.12342776),(19 0.12336615),(20 0.120090485),(21 0.10720045),(22 0.11260059),(23 0.11247682),(24 0.10958585),(25 0.121552095),(26 0.118244015),(27 0.118256725),(28 0.12025273),(29 0.13697924),(30 0.13100848),(31 0.1308155),(32 0.13084196),(33 0.14481935),(34 0.14214486),(35 0.14203234),(36 0.13860275),(37 0.13332106),(38 0.12969926),(39 0.12971964),(40 0.1253926),(41 0.1237296),(42 0.124444194),(43 0.12440741),(44 0.11862247),(45 0.12543935),(46 0.1253654),
(1 0.08231822),(2 0.10002609),(3 0.09969167),(4 0.110014156),(5 0.10949525),(6 0.108323656),(7 0.10812067),(8 0.10976829),(9 0.095864475),(10 0.0928204),(11 0.092794694),(12 0.09375035),(13 0.105828226),(14 0.1124335),(15 0.11225858),(16 0.10886365),(17 0.11562961),(18 0.11389107),(19 0.113921896),(20 0.109684125),(21 0.0990766),(22 0.09957907),(23 0.0993878),(24 0.101767026),(25 0.11011447),(26 0.105889),(27 0.10591117),(28 0.11221731),(29 0.12383018),(30 0.12160837),(31 0.12156263),(32 0.11989144),(33 0.12579697),(34 0.12664779),(35 0.12665585),(36 0.12391697),(37 0.12002791),(38 0.11741786),(39 0.11739129),(40 0.11277216),(41 0.11170732),(42 0.112203255),(43 0.112187445),(44 0.10895028),(45 0.11479904),(46 0.114782944),
(1 0.07162789),(2 0.08814364),(3 0.087897025),(4 0.09695545),(5 0.098146155),(6 0.096540086),(7 0.09644958),(8 0.09508638),(9 0.08259938),(10 0.07947609),(11 0.07950898),(12 0.08430583),(13 0.091942996),(14 0.0968736),(15 0.0968487),(16 0.09536541),(17 0.10128678),(18 0.10069653),(19 0.10059925),(20 0.09264805),(21 0.08515624),(22 0.085853055),(23 0.08578032),(24 0.087607935),(25 0.09813168),(26 0.09463381),(27 0.0945847),(28 0.09882493),(29 0.10861139),(30 0.105635464),(31 0.1055347),(32 0.10393404),(33 0.108364925),(34 0.11105277),(35 0.11115222),(36 0.10716792),(37 0.105212666),(38 0.10188764),(39 0.101913966),(40 0.098687954),(41 0.096701734),(42 0.09548567),(43 0.09534068),(44 0.09242518),(45 0.10000729),(46 0.10009351),
(1 0.06509566),(2 0.07862026),(3 0.07828529),(4 0.08753592),(5 0.08915806),(6 0.086644426),(7 0.086594515),(8 0.0862949),(9 0.07332405),(10 0.07255952),(11 0.072550744),(12 0.0762421),(13 0.085108876),(14 0.089149125),(15 0.08918169),(16 0.0877771),(17 0.09356313),(18 0.0918295),(19 0.09180002),(20 0.084521525),(21 0.079514764),(22 0.078358285),(23 0.07827674),(24 0.08093044),(25 0.09038018),(26 0.087611616),(27 0.08763131),(28 0.09149846),(29 0.09830833),(30 0.09677379),(31 0.09670391),(32 0.09499672),(33 0.09860514),(34 0.10188994),(35 0.10188827),(36 0.098380774),(37 0.09682503),(38 0.09617826),(39 0.09622804),(40 0.0929045),(41 0.08936952),(42 0.0878443),(43 0.08777176),(44 0.085539915),(45 0.09101687),(46 0.09110124),
(1 0.062413),(2 0.076084),(3 0.075833544),(4 0.083462745),(5 0.084461935),(6 0.08370251),(7 0.08354747),(8 0.08250299),(9 0.0699222),(10 0.0687126),(11 0.068726584),(12 0.0715866),(13 0.08017741),(14 0.08390848),(15 0.08389159),(16 0.08330329),(17 0.08936203),(18 0.087945364),(19 0.08779596),(20 0.08146609),(21 0.074777626),(22 0.075315185),(23 0.07530579),(24 0.07708442),(25 0.08858277),(26 0.08521736),(27 0.085126884),(28 0.089714594),(29 0.093192235),(30 0.09238515),(31 0.09231417),(32 0.092528395),(33 0.094733134),(34 0.09746784),(35 0.09744309),(36 0.09449514),(37 0.09244274),(38 0.09225927),(39 0.09237685),(40 0.08999157),(41 0.08574849),(42 0.08408036),(43 0.08400384),(44 0.081714794),(45 0.08706314),(46 0.0872162),
(1 0.059994694),(2 0.0733555),(3 0.0731403),(4 0.07994303),(5 0.081415),(6 0.07966888),(7 0.079514205),(8 0.078450166),(9 0.067619726),(10 0.065892525),(11 0.06581323),(12 0.068928525),(13 0.07723688),(14 0.08131995),(15 0.08120098),(16 0.08032519),(17 0.08562593),(18 0.0843277),(19 0.08421018),(20 0.0789893),(21 0.07137446),(22 0.070577405),(23 0.07050337),(24 0.073466145),(25 0.08432443),(26 0.08199697),(27 0.08196932),(28 0.084703244),(29 0.08949248),(30 0.08893131),(31 0.0888609),(32 0.08776245),(33 0.090539426),(34 0.09342988),(35 0.09339964),(36 0.08937658),(37 0.0875883),(38 0.087658286),(39 0.087668456),(40 0.08426829),(41 0.08181931),(42 0.0809326),(43 0.08077886),(44 0.077994674),(45 0.08375392),(46 0.08392123),
(1 0.057177268),(2 0.06880712),(3 0.068668246),(4 0.07433246),(5 0.07630782),(6 0.075205766),(7 0.07513816),(8 0.073728815),(9 0.06287523),(10 0.061646283),(11 0.06153978),(12 0.06604666),(13 0.072619304),(14 0.07498169),(15 0.07482577),(16 0.074123465),(17 0.080972),(18 0.08060729),(19 0.08044502),(20 0.0730193),(21 0.06717505),(22 0.06750707),(23 0.06737557),(24 0.07007799),(25 0.07878928),(26 0.076432236),(27 0.076440185),(28 0.079431),(29 0.084142864),(30 0.08351916),(31 0.08345125),(32 0.08195876),(33 0.08525909),(34 0.08855477),(35 0.0885868),(36 0.08442401),(37 0.08238264),(38 0.082131445),(39 0.082113735),(40 0.079599395),(41 0.07708913),(42 0.07458539),(43 0.07440457),(44 0.07197413),(45 0.077912815),(46 0.077983804),
(1 0.05263801),(2 0.06378568),(3 0.06355545),(4 0.06909799),(5 0.071002856),(6 0.07026108),(7 0.070211075),(8 0.068443686),(9 0.058044538),(10 0.058477517),(11 0.058257848),(12 0.060713384),(13 0.06834455),(14 0.07067233),(15 0.070507295),(16 0.06904104),(17 0.07561378),(18 0.073279455),(19 0.073098674),(20 0.06797288),(21 0.062088765),(22 0.062211536),(23 0.062125452),(24 0.063991725),(25 0.072751455),(26 0.0720426),(27 0.07203068),(28 0.07429361),(29 0.07838665),(30 0.077683374),(31 0.07762083),(32 0.07611189),(33 0.0802441),(34 0.082949325),(35 0.08287448),(36 0.07866902),(37 0.076847926),(38 0.077729374),(39 0.07776332),(40 0.07523237),(41 0.070701025),(42 0.070186764),(43 0.07006512),(44 0.067427404),(45 0.0733208),(46 0.07349382),
(1 0.051177092),(2 0.0626022),(3 0.062314387),(4 0.06699856),(5 0.069258064),(6 0.06772203),(7 0.06769092),(8 0.06726132),(9 0.056197055),(10 0.05603013),(11 0.055776197),(12 0.058611173),(13 0.065563925),(14 0.0687658),(15 0.068621986),(16 0.06710866),(17 0.07254462),(18 0.07111405),(19 0.07102724),(20 0.06629127),(21 0.060986992),(22 0.06057061),(23 0.060531486),(24 0.06215322),(25 0.071631595),(26 0.07116434),(27 0.07116413),(28 0.072922185),(29 0.07538231),(30 0.07527818),(31 0.07521992),(32 0.07440729),(33 0.07804102),(34 0.07975729),(35 0.079710335),(36 0.07602223),(37 0.074833766),(38 0.07518765),(39 0.075218454),(40 0.07268597),(41 0.06903931),(42 0.06800617),(43 0.06789014),(44 0.06548702),(45 0.07101693),(46 0.07109267),
(1 0.04945912),(2 0.060974818),(3 0.060643755),(4 0.066394016),(5 0.06799238),(6 0.066822216),(7 0.06668736),(8 0.06558165),(9 0.055530205),(10 0.05555588),(11 0.05536059),(12 0.05768938),(13 0.06520615),(14 0.067924),(15 0.06777878),(16 0.067312874),(17 0.07204139),(18 0.07127761),(19 0.071159735),(20 0.06487574),(21 0.06027604),(22 0.059374053),(23 0.059261788),(24 0.060634907),(25 0.07021418),(26 0.06961732),(27 0.069598824),(28 0.0717514),(29 0.07472989),(30 0.074833006),(31 0.07475329),(32 0.072472125),(33 0.07651711),(34 0.07932158),(35 0.07930173),(36 0.07551975),(37 0.07310263),(38 0.075116694),(39 0.075068764),(40 0.07165954),(41 0.06799582),(42 0.0667434),(43 0.06660347),(44 0.06486791),(45 0.069567285),(46 0.069665246),
(1 0.047046214),(2 0.057956662),(3 0.057710987),(4 0.063649684),(5 0.06529872),(6 0.06514316),(7 0.06493234),(8 0.06282755),(9 0.05194722),(10 0.052274875),(11 0.05211592),(12 0.05439225),(13 0.062372226),(14 0.064450644),(15 0.06434048),(16 0.064288534),(17 0.06894701),(18 0.06797207),(19 0.067841254),(20 0.06153798),(21 0.056836948),(22 0.05632243),(23 0.056284342),(24 0.05828578),(25 0.06686912),(26 0.066669665),(27 0.06664698),(28 0.06863456),(29 0.07212822),(30 0.07190201),(31 0.07184544),(32 0.06942398),(33 0.073567495),(34 0.076497465),(35 0.076553404),(36 0.07270216),(37 0.07086826),(38 0.07224053),(39 0.07220583),(40 0.06906103),(41 0.065743804),(42 0.06304284),(43 0.06295672),(44 0.061647244),(45 0.06675796),(46 0.06682803),
(1 0.042267732),(2 0.051378954),(3 0.051155962),(4 0.0554905),(5 0.056448974),(6 0.055822153),(7 0.055728823),(8 0.054373164),(9 0.04615217),(10 0.046187676),(11 0.046063732),(12 0.048211623),(13 0.055341672),(14 0.056880593),(15 0.056845456),(16 0.056519438),(17 0.060085066),(18 0.058968555),(19 0.058849312),(20 0.054708518),(21 0.04994946),(22 0.049409345),(23 0.049390145),(24 0.051431146),(25 0.05873218),(26 0.058658108),(27 0.058643773),(28 0.06030959),(29 0.06263143),(30 0.06213),(31 0.062082108),(32 0.060558267),(33 0.065228395),(34 0.066970475),(35 0.0669174),(36 0.06390864),(37 0.06276802),(38 0.061969627),(39 0.061910536),(40 0.06021861),(41 0.057682592),(42 0.05663678),(43 0.056575544),(44 0.05399523),(45 0.05894924),(46 0.05905065),
(1 0.020878023),(2 0.024128446),(3 0.024053225),(4 0.026378691),(5 0.026231326),(6 0.026032642),(7 0.025972778),(8 0.025841359),(9 0.023291592),(10 0.023238363),(11 0.023155486),(12 0.02440658),(13 0.02646123),(14 0.026946155),(15 0.026920523),(16 0.02655617),(17 0.028398905),(18 0.027716007),(19 0.027598761),(20 0.026214933),(21 0.025167795),(22 0.024860285),(23 0.024864124),(24 0.025693383),(25 0.02779584),(26 0.027345283),(27 0.02733446),(28 0.02876656),(29 0.02986929),(30 0.029574426),(31 0.029534476),(32 0.028803643),(33 0.030481841),(34 0.031584963),(35 0.031557363),(36 0.02978779),(37 0.02963423),(38 0.02893294),(39 0.028957507),(40 0.028769054),(41 0.02776474),(42 0.02717533),(43 0.027113076),(44 0.025968364),(45 0.027788442),(46 0.02787279),
(1 0.0044992883),(2 0.004765731),(3 0.004722277),(4 0.004763879),(5 0.0046133595),(6 0.0047453353),(7 0.0046992693),(8 0.004691759),(9 0.0045985505),(10 0.0048057963),(11 0.0047690566),(12 0.0046744626),(13 0.0044684177),(14 0.004720297),(15 0.004682655),(16 0.0046677594),(17 0.004634439),(18 0.004550824),(19 0.004514318),(20 0.00456221),(21 0.00454701),(22 0.0047210534),(23 0.004692081),(24 0.004666003),(25 0.0046881107),(26 0.0046960856),(27 0.004669575),(28 0.0047311154),(29 0.004846109),(30 0.004853633),(31 0.004841416),(32 0.004815037),(33 0.0049702735),(34 0.0053012664),(35 0.0052685854),(36 0.0049822596),(37 0.0048410925),(38 0.0048928065),(39 0.004875525),(40 0.0047847824),(41 0.004747818),(42 0.004762777),(43 0.004720894),(44 0.0045574093),(45 0.0048195594),(46 0.004862688),
