1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 758.40533),(2 1042.8639),(3 1206.2435),(4 1324.067),(5 1372.8638),(6 1417.2996),(7 1442.4803),(8 1485.4476),(9 1533.0165),(10 1546.6885),(11 1600.0308),(12 1641.5774),(13 1720.0253),(14 1741.2764),(15 1747.5591),(16 1742.3776),(17 1758.0824),(18 1787.5128),(19 1776.1493),(20 1787.8917),(21 1798.5441),(22 1800.6194),(23 1796.7644),(24 1769.9523),(25 1763.121),(26 1786.3226),(27 1783.4968),(28 1808.16),(29 1789.316),(30 1764.4093),(31 1746.2338),(32 1734.5691),(33 1731.4751),(34 1738.696),(35 1757.4464),(36 1764.9924),(37 1764.9021),(38 1743.2673),(39 1736.7343),(40 1745.1234),(41 1756.957),(42 1784.1511),(43 1863.2847),(44 1880.1069),(45 1892.3136),(46 1912.448),(47 1928.3231),(48 1970.0618),(49 1981.0479),(50 2013.564),(51 2057.109),(52 2088.28),(53 2089.4915),(54 2098.4744),(55 2101.855),(56 2113.8752),(57 2125.8687),(58 2140.7131),(59 2124.6348),(60 2107.361),(61 2104.3813),(62 2121.348),(63 2151.2104),(64 2162.1406),(65 2151.7874),(66 2143.3726),(67 2132.3696),(68 2119.179),(69 2104.3425),(70 2078.5242),(71 2072.2708),(72 2065.7964),(73 2099.6714),(74 2108.8477),(75 2148.3533),(76 2185.9944),(77 2188.0405),(78 2249.4834),(79 2287.336),
(1 748.3504),(2 1051.5673),(3 1244.9252),(4 1359.0732),(5 1417.5021),(6 1451.8766),(7 1462.8613),(8 1502.2593),(9 1546.2925),(10 1588.8496),(11 1663.8972),(12 1716.5194),(13 1793.9915),(14 1769.9785),(15 1793.6493),(16 1785.7719),(17 1795.1177),(18 1809.3257),(19 1825.8346),(20 1833.8383),(21 1811.9749),(22 1812.7067),(23 1784.5316),(24 1767.9987),(25 1764.0079),(26 1795.7324),(27 1807.3345),(28 1825.5016),(29 1786.2246),(30 1754.0105),(31 1726.1206),(32 1710.7367),(33 1714.6366),(34 1736.5591),(35 1758.8174),(36 1763.8723),(37 1737.8223),(38 1723.7803),(39 1718.8712),(40 1742.5052),(41 1773.5532),(42 1812.5796),(43 1863.1206),(44 1899.4525),(45 1905.1458),(46 1925.1489),(47 1937.6378),(48 1989.8678),(49 2004.4),(50 2047.9999),(51 2093.6826),(52 2119.1433),(53 2125.1292),(54 2114.4316),(55 2120.171),(56 2132.0713),(57 2139.257),(58 2146.5938),(59 2143.5684),(60 2135.8005),(61 2149.7751),(62 2132.4895),(63 2145.0754),(64 2162.5483),(65 2177.816),(66 2172.8428),(67 2151.2966),(68 2147.5798),(69 2116.6396),(70 2092.1553),(71 2105.6765),(72 2117.0952),(73 2167.7166),(74 2164.2024),(75 2184.056),(76 2221.887),(77 2221.7131),(78 2261.9922),(79 2308.1729),
(1 749.86774),(2 1053.0516),(3 1264.9989),(4 1381.4749),(5 1431.2106),(6 1462.6537),(7 1454.8174),(8 1482.0071),(9 1541.8252),(10 1584.0946),(11 1665.5751),(12 1702.3562),(13 1762.5669),(14 1754.5901),(15 1770.6514),(16 1775.9601),(17 1789.473),(18 1813.5126),(19 1829.4276),(20 1824.1808),(21 1768.0442),(22 1760.3448),(23 1750.0264),(24 1735.6451),(25 1736.4685),(26 1748.239),(27 1770.4767),(28 1781.53),(29 1749.8911),(30 1737.7181),(31 1721.3663),(32 1701.1001),(33 1690.3773),(34 1717.3868),(35 1725.3298),(36 1758.7659),(37 1750.9609),(38 1741.8745),(39 1737.0952),(40 1760.7178),(41 1784.2858),(42 1828.7928),(43 1877.3823),(44 1915.9204),(45 1935.8757),(46 1946.1586),(47 1937.5304),(48 1955.0123),(49 1983.212),(50 2012.249),(51 2044.059),(52 2078.3452),(53 2075.3987),(54 2072.9197),(55 2058.4),(56 2070.823),(57 2067.7837),(58 2103.5693),(59 2114.527),(60 2118.8208),(61 2121.4363),(62 2117.002),(63 2102.6506),(64 2101.551),(65 2103.3003),(66 2109.78),(67 2066.177),(68 2060.2944),(69 2037.7084),(70 2028.4131),(71 2040.7952),(72 2051.6323),(73 2078.0579),(74 2081.0552),(75 2111.183),(76 2151.8684),(77 2167.1108),(78 2201.2285),(79 2243.632),
(1 722.60333),(2 998.8749),(3 1171.0624),(4 1282.9546),(5 1330.1615),(6 1348.0516),(7 1380.9275),(8 1405.0292),(9 1471.3087),(10 1519.2118),(11 1567.1282),(12 1593.4463),(13 1658.4839),(14 1664.7714),(15 1694.5505),(16 1700.0245),(17 1684.8525),(18 1688.6499),(19 1694.7101),(20 1702.5652),(21 1693.0809),(22 1691.6448),(23 1701.0436),(24 1693.1401),(25 1695.511),(26 1716.4337),(27 1730.6371),(28 1756.8069),(29 1746.4012),(30 1732.0452),(31 1720.863),(32 1711.4916),(33 1702.738),(34 1705.3494),(35 1716.2664),(36 1756.7267),(37 1756.6709),(38 1756.5856),(39 1764.9048),(40 1755.0378),(41 1767.7385),(42 1807.1683),(43 1845.3722),(44 1876.366),(45 1893.9149),(46 1902.148),(47 1893.762),(48 1913.4746),(49 1930.8986),(50 1948.2032),(51 1978.1371),(52 1985.9177),(53 1986.9891),(54 1982.6006),(55 1961.7288),(56 1960.5399),(57 1949.2594),(58 1982.6683),(59 1984.4208),(60 1970.8835),(61 1975.7888),(62 1976.7319),(63 1984.5682),(64 1989.487),(65 1980.0154),(66 1996.5144),(67 1986.7566),(68 1986.1959),(69 1974.7649),(70 1955.2906),(71 1953.3059),(72 1965.3348),(73 1990.4313),(74 1975.087),(75 2006.2662),(76 2045.0728),(77 2057.3794),(78 2093.1997),(79 2118.3882),
(1 727.4579),(2 1009.4587),(3 1180.8761),(4 1308.3064),(5 1367.4167),(6 1400.5024),(7 1430.8397),(8 1462.0908),(9 1500.6998),(10 1533.9187),(11 1582.3002),(12 1617.9603),(13 1694.6234),(14 1706.9989),(15 1707.0259),(16 1705.7804),(17 1706.9617),(18 1724.2455),(19 1746.859),(20 1753.7571),(21 1744.5009),(22 1742.6217),(23 1741.132),(24 1734.8276),(25 1736.8967),(26 1748.3452),(27 1773.4241),(28 1798.7341),(29 1769.6299),(30 1748.5463),(31 1734.2264),(32 1719.891),(33 1721.3365),(34 1724.7611),(35 1752.0051),(36 1765.8473),(37 1756.8317),(38 1734.188),(39 1743.5675),(40 1763.31),(41 1796.6141),(42 1844.8792),(43 1871.5052),(44 1880.8778),(45 1904.2382),(46 1907.933),(47 1922.2036),(48 1918.1732),(49 1936.0404),(50 1934.274),(51 1963.1473),(52 1993.6649),(53 1976.3899),(54 1982.1324),(55 1984.1168),(56 1967.0872),(57 1964.2882),(58 1973.6633),(59 1958.95),(60 1952.3912),(61 1943.8268),(62 1954.0133),(63 1938.6925),(64 1959.7682),(65 1955.6748),(66 1972.3344),(67 1971.2036),(68 1974.7736),(69 1963.077),(70 1941.939),(71 1944.7538),(72 1955.0515),(73 1989.2589),(74 1995.5885),(75 2029.4794),(76 2055.8345),(77 2063.8254),(78 2105.3594),(79 2139.217),
(1 706.59),(2 971.7788),(3 1141.0502),(4 1265.6173),(5 1323.5233),(6 1359.1864),(7 1372.745),(8 1414.0045),(9 1442.0251),(10 1471.6064),(11 1521.4962),(12 1559.0193),(13 1637.1997),(14 1646.7963),(15 1653.7225),(16 1650.0718),(17 1660.0507),(18 1684.3096),(19 1694.0924),(20 1709.9633),(21 1703.1587),(22 1707.1373),(23 1711.279),(24 1694.0492),(25 1699.3259),(26 1732.7051),(27 1739.4438),(28 1740.1989),(29 1717.561),(30 1689.972),(31 1681.1775),(32 1669.6572),(33 1677.3142),(34 1673.8258),(35 1672.5902),(36 1680.9214),(37 1644.4266),(38 1648.3008),(39 1655.6876),(40 1656.7133),(41 1681.3483),(42 1714.768),(43 1733.8757),(44 1757.0474),(45 1781.7411),(46 1800.8108),(47 1808.7146),(48 1827.1091),(49 1847.1729),(50 1841.7362),(51 1855.96),(52 1883.1473),(53 1880.7532),(54 1893.8157),(55 1899.406),(56 1889.325),(57 1881.229),(58 1888.7726),(59 1887.204),(60 1889.3308),(61 1884.8339),(62 1900.2198),(63 1906.6708),(64 1916.2537),(65 1910.4333),(66 1914.5771),(67 1903.9565),(68 1907.4729),(69 1885.8052),(70 1866.5026),(71 1870.4229),(72 1890.5361),(73 1916.0978),(74 1913.5803),(75 1961.694),(76 1985.4058),(77 1994.3604),(78 2039.7372),(79 2080.5178),
(1 693.52405),(2 959.5052),(3 1133.528),(4 1238.6809),(5 1309.7983),(6 1335.306),(7 1352.101),(8 1385.2816),(9 1421.4325),(10 1458.5302),(11 1526.685),(12 1562.8301),(13 1645.5671),(14 1657.045),(15 1680.9662),(16 1656.1178),(17 1672.3302),(18 1678.6642),(19 1686.9343),(20 1716.8154),(21 1698.5448),(22 1701.296),(23 1708.8032),(24 1705.0428),(25 1693.3375),(26 1712.4895),(27 1719.0455),(28 1717.9209),(29 1707.9268),(30 1703.9932),(31 1689.0708),(32 1672.2062),(33 1679.8322),(34 1661.8602),(35 1664.6298),(36 1674.2657),(37 1659.1592),(38 1666.8066),(39 1662.5006),(40 1673.0859),(41 1677.9307),(42 1690.1863),(43 1727.4891),(44 1754.9293),(45 1778.2666),(46 1799.4823),(47 1824.1857),(48 1841.4208),(49 1832.1226),(50 1823.3529),(51 1844.3813),(52 1893.392),(53 1895.4559),(54 1899.688),(55 1897.7595),(56 1902.2269),(57 1896.7501),(58 1926.0072),(59 1913.7255),(60 1914.7776),(61 1915.3721),(62 1910.2203),(63 1909.745),(64 1915.6661),(65 1924.7048),(66 1930.4716),(67 1917.3153),(68 1932.5612),(69 1920.9767),(70 1904.4644),(71 1900.1012),(72 1914.8885),(73 1966.4525),(74 1983.5685),(75 2023.3218),(76 2052.7573),(77 2065.896),(78 2103.583),(79 2131.2944),
(1 676.87415),(2 941.1041),(3 1115.8287),(4 1225.3022),(5 1282.7242),(6 1324.4677),(7 1374.3027),(8 1416.1007),(9 1439.7103),(10 1495.1565),(11 1531.218),(12 1579.6656),(13 1662.4983),(14 1692.2272),(15 1708.108),(16 1695.0444),(17 1689.2286),(18 1701.3143),(19 1691.0039),(20 1701.3411),(21 1703.8989),(22 1718.8074),(23 1728.4794),(24 1692.3508),(25 1671.6967),(26 1666.3467),(27 1664.291),(28 1666.8394),(29 1660.8351),(30 1663.4373),(31 1640.7906),(32 1618.0339),(33 1622.611),(34 1617.9619),(35 1614.5579),(36 1627.2915),(37 1626.9965),(38 1622.7894),(39 1621.333),(40 1628.7084),(41 1631.8323),(42 1643.9128),(43 1694.0189),(44 1706.1471),(45 1733.3264),(46 1746.2178),(47 1753.2335),(48 1754.7244),(49 1762.5833),(50 1778.5042),(51 1802.1965),(52 1831.4397),(53 1825.8196),(54 1831.1744),(55 1825.8159),(56 1820.7435),(57 1808.7415),(58 1840.0677),(59 1818.8843),(60 1831.4017),(61 1833.2627),(62 1828.229),(63 1832.9421),(64 1855.5392),(65 1850.5808),(66 1849.772),(67 1846.4093),(68 1858.8557),(69 1851.9745),(70 1819.2522),(71 1812.9822),(72 1820.4413),(73 1868.2451),(74 1883.7175),(75 1911.6609),(76 1937.3757),(77 1941.1638),(78 1971.8793),(79 1988.4777),
(1 662.34204),(2 911.1323),(3 1069.988),(4 1170.2965),(5 1222.2582),(6 1276.5139),(7 1326.755),(8 1358.4845),(9 1390.3829),(10 1436.119),(11 1472.841),(12 1517.8053),(13 1579.6318),(14 1627.0726),(15 1640.988),(16 1621.8638),(17 1619.0099),(18 1616.2161),(19 1600.8285),(20 1613.2064),(21 1600.84),(22 1606.0354),(23 1630.6274),(24 1616.4327),(25 1608.9567),(26 1605.1888),(27 1611.2642),(28 1621.3922),(29 1606.0659),(30 1599.4498),(31 1594.0629),(32 1593.6058),(33 1588.8553),(34 1578.8004),(35 1590.1788),(36 1606.2245),(37 1592.4791),(38 1597.226),(39 1598.9155),(40 1611.7618),(41 1616.5587),(42 1621.2427),(43 1664.7751),(44 1686.2809),(45 1712.7411),(46 1733.6938),(47 1760.7388),(48 1771.3145),(49 1771.7356),(50 1790.7644),(51 1825.6816),(52 1861.9498),(53 1849.4275),(54 1846.7869),(55 1851.3483),(56 1843.3218),(57 1833.4169),(58 1855.7478),(59 1845.3474),(60 1855.4796),(61 1867.7677),(62 1866.1189),(63 1882.6921),(64 1891.4348),(65 1874.4653),(66 1866.1459),(67 1860.7296),(68 1867.7552),(69 1857.446),(70 1841.5017),(71 1841.9757),(72 1831.2),(73 1869.3073),(74 1870.4993),(75 1892.7833),(76 1926.9921),(77 1939.201),(78 1993.4966),(79 2033.5795),
(1 673.72345),(2 908.56506),(3 1062.1007),(4 1164.4884),(5 1235.4672),(6 1293.9207),(7 1349.7904),(8 1393.0664),(9 1433.4634),(10 1450.0574),(11 1497.987),(12 1532.332),(13 1602.1093),(14 1628.6376),(15 1652.1984),(16 1630.6763),(17 1627.1538),(18 1618.034),(19 1606.4775),(20 1615.8541),(21 1610.9674),(22 1628.1757),(23 1638.4458),(24 1633.5338),(25 1623.8608),(26 1622.0068),(27 1619.2821),(28 1621.841),(29 1607.0596),(30 1595.0126),(31 1592.7399),(32 1584.1002),(33 1564.589),(34 1571.8337),(35 1574.787),(36 1578.8688),(37 1577.2616),(38 1582.9321),(39 1575.2318),(40 1587.8074),(41 1593.026),(42 1589.4785),(43 1645.5656),(44 1666.694),(45 1706.1976),(46 1722.2618),(47 1745.6249),(48 1753.8662),(49 1765.5764),(50 1773.9423),(51 1811.2789),(52 1835.8137),(53 1850.1898),(54 1870.362),(55 1858.4443),(56 1846.9089),(57 1836.6666),(58 1846.8171),(59 1844.1162),(60 1832.588),(61 1847.838),(62 1860.732),(63 1886.2451),(64 1874.2927),(65 1844.6443),(66 1838.194),(67 1826.2035),(68 1819.1727),(69 1810.8896),(70 1793.8098),(71 1787.8651),(72 1796.0726),(73 1842.4323),(74 1833.5),(75 1864.1246),(76 1888.1792),(77 1900.055),(78 1947.08),(79 1990.692),
(1 655.5584),(2 889.01685),(3 1047.8324),(4 1155.4972),(5 1210.5604),(6 1257.3651),(7 1311.8256),(8 1345.2587),(9 1377.1141),(10 1400.4463),(11 1444.5193),(12 1484.0103),(13 1545.7986),(14 1572.5402),(15 1585.3662),(16 1591.911),(17 1603.9557),(18 1598.089),(19 1596.0726),(20 1589.3899),(21 1594.521),(22 1606.4819),(23 1618.9366),(24 1605.2262),(25 1613.6305),(26 1614.709),(27 1628.2402),(28 1624.1575),(29 1591.4996),(30 1587.3135),(31 1570.3134),(32 1571.3054),(33 1560.0922),(34 1558.4575),(35 1557.7454),(36 1565.765),(37 1578.78),(38 1558.9485),(39 1561.4767),(40 1557.185),(41 1558.872),(42 1565.8146),(43 1589.0518),(44 1605.8773),(45 1633.494),(46 1653.3579),(47 1679.9486),(48 1699.9016),(49 1722.2681),(50 1740.122),(51 1753.3978),(52 1787.3678),(53 1794.3429),(54 1793.5372),(55 1802.6317),(56 1801.718),(57 1783.422),(58 1793.43),(59 1783.1901),(60 1785.7645),(61 1798.9551),(62 1822.367),(63 1832.4103),(64 1843.1544),(65 1834.2914),(66 1827.8441),(67 1795.7454),(68 1784.5763),(69 1761.2356),(70 1757.0621),(71 1749.6871),(72 1757.2926),(73 1798.9236),(74 1792.1595),(75 1827.2024),(76 1836.3184),(77 1840.8862),(78 1896.987),(79 1952.8876),
(1 639.3697),(2 861.319),(3 1027.8243),(4 1138.5342),(5 1216.8452),(6 1255.375),(7 1310.3446),(8 1343.8937),(9 1369.2589),(10 1389.3204),(11 1435.5631),(12 1470.6318),(13 1527.6337),(14 1535.5842),(15 1561.3246),(16 1578.6147),(17 1592.576),(18 1586.2607),(19 1590.4893),(20 1584.7671),(21 1571.8119),(22 1577.21),(23 1580.8091),(24 1570.6575),(25 1596.2108),(26 1588.7723),(27 1587.3042),(28 1599.1707),(29 1595.1202),(30 1583.7787),(31 1563.4089),(32 1543.9845),(33 1530.7782),(34 1527.7794),(35 1523.3804),(36 1527.4355),(37 1545.4021),(38 1537.8771),(39 1539.4524),(40 1541.9456),(41 1561.0044),(42 1576.5548),(43 1598.5499),(44 1599.8861),(45 1628.0966),(46 1652.162),(47 1666.4794),(48 1687.9166),(49 1703.3093),(50 1714.3596),(51 1745.7186),(52 1765.5588),(53 1769.45),(54 1768.5846),(55 1787.6992),(56 1787.5829),(57 1784.8035),(58 1794.5627),(59 1774.2954),(60 1777.8022),(61 1781.0034),(62 1802.3224),(63 1822.2001),(64 1819.9285),(65 1808.1533),(66 1803.1028),(67 1778.9698),(68 1775.1096),(69 1751.7087),(70 1743.3821),(71 1736.0697),(72 1736.5985),(73 1782.2561),(74 1781.2131),(75 1820.8214),(76 1849.9943),(77 1850.52),(78 1905.8505),(79 1959.7712),
(1 630.2237),(2 841.71655),(3 998.059),(4 1108.4038),(5 1177.9454),(6 1230.9615),(7 1278.0695),(8 1319.4221),(9 1346.6448),(10 1353.2723),(11 1398.9489),(12 1429.2504),(13 1483.1476),(14 1500.6792),(15 1530.5021),(16 1521.9884),(17 1528.5449),(18 1524.9961),(19 1516.1487),(20 1530.1819),(21 1522.2428),(22 1523.7582),(23 1524.1903),(24 1520.0164),(25 1508.83),(26 1499.5095),(27 1506.9751),(28 1527.7826),(29 1516.9601),(30 1518.6978),(31 1495.5948),(32 1491.3213),(33 1489.46),(34 1494.7542),(35 1499.4956),(36 1490.7764),(37 1486.6735),(38 1482.5801),(39 1499.0695),(40 1502.8722),(41 1517.6937),(42 1532.8379),(43 1545.6447),(44 1568.3234),(45 1593.3644),(46 1615.1644),(47 1640.1411),(48 1661.0084),(49 1663.3083),(50 1692.8131),(51 1726.3854),(52 1741.3949),(53 1741.9691),(54 1748.4852),(55 1751.7521),(56 1738.6428),(57 1730.6038),(58 1731.8217),(59 1736.6202),(60 1736.2068),(61 1731.3595),(62 1747.4927),(63 1752.8076),(64 1737.1766),(65 1729.576),(66 1727.3544),(67 1717.0934),(68 1706.3682),(69 1689.7816),(70 1704.3989),(71 1717.2727),(72 1708.818),(73 1758.5367),(74 1756.6274),(75 1772.9119),(76 1807.7731),(77 1826.9397),(78 1864.249),(79 1894.597),
(1 632.5729),(2 851.4719),(3 1006.03394),(4 1109.1764),(5 1190.37),(6 1230.406),(7 1269.7683),(8 1308.7432),(9 1320.6458),(10 1346.6342),(11 1394.3702),(12 1429.2693),(13 1511.782),(14 1520.4563),(15 1548.4487),(16 1532.6531),(17 1521.9331),(18 1518.063),(19 1514.5763),(20 1538.8048),(21 1548.8789),(22 1558.7181),(23 1564.124),(24 1552.7653),(25 1551.9935),(26 1541.7367),(27 1555.9799),(28 1562.1155),(29 1562.5151),(30 1541.6409),(31 1532.8499),(32 1518.7394),(33 1517.1016),(34 1505.666),(35 1495.0929),(36 1493.559),(37 1475.9857),(38 1478.134),(39 1474.6049),(40 1478.054),(41 1486.0382),(42 1509.6782),(43 1526.4082),(44 1531.6908),(45 1550.5857),(46 1568.8129),(47 1593.4768),(48 1606.5629),(49 1616.3354),(50 1636.271),(51 1676.4149),(52 1716.8704),(53 1716.4948),(54 1729.9023),(55 1732.606),(56 1731.2117),(57 1721.559),(58 1743.7689),(59 1732.0944),(60 1735.495),(61 1753.754),(62 1771.5422),(63 1770.8904),(64 1768.8743),(65 1748.6598),(66 1741.8441),(67 1761.4154),(68 1770.8896),(69 1760.1356),(70 1754.5837),(71 1764.1626),(72 1776.2565),(73 1831.2708),(74 1824.3438),(75 1849.7424),(76 1870.4663),(77 1873.4033),(78 1917.948),(79 1954.134),
(1 631.6596),(2 843.22406),(3 1004.54065),(4 1103.7947),(5 1177.624),(6 1210.7363),(7 1245.3909),(8 1257.107),(9 1272.2388),(10 1301.76),(11 1353.2598),(12 1386.9073),(13 1465.9763),(14 1492.9534),(15 1530.5137),(16 1523.8737),(17 1507.9573),(18 1497.6179),(19 1492.543),(20 1513.3735),(21 1507.5242),(22 1514.8503),(23 1517.8306),(24 1505.1584),(25 1508.9546),(26 1500.9946),(27 1509.5974),(28 1518.1147),(29 1513.379),(30 1486.5255),(31 1491.2672),(32 1472.4899),(33 1458.2334),(34 1457.433),(35 1462.0917),(36 1457.0677),(37 1452.3813),(38 1433.6345),(39 1447.9183),(40 1453.6113),(41 1467.3834),(42 1475.8566),(43 1502.1576),(44 1524.456),(45 1540.2896),(46 1555.4308),(47 1576.9319),(48 1594.8492),(49 1596.2816),(50 1625.9314),(51 1660.628),(52 1693.6705),(53 1698.2402),(54 1721.7115),(55 1736.6783),(56 1735.3618),(57 1724.6409),(58 1739.151),(59 1713.721),(60 1707.3889),(61 1715.4333),(62 1721.0409),(63 1711.3113),(64 1713.8163),(65 1699.4496),(66 1696.5328),(67 1719.6514),(68 1702.1418),(69 1686.4839),(70 1680.0013),(71 1687.9994),(72 1674.7533),(73 1741.8519),(74 1748.2074),(75 1777.8011),(76 1799.2158),(77 1803.4379),(78 1845.426),(79 1868.0471),
(1 614.505),(2 828.28876),(3 967.1012),(4 1070.8988),(5 1123.9841),(6 1164.8602),(7 1198.5942),(8 1236.0321),(9 1245.9396),(10 1278.2294),(11 1310.1906),(12 1340.0205),(13 1422.4498),(14 1448.3099),(15 1471.0695),(16 1472.4275),(17 1447.3937),(18 1452.9701),(19 1455.3777),(20 1459.41),(21 1453.8407),(22 1458.3428),(23 1462.3407),(24 1457.145),(25 1465.8466),(26 1462.5973),(27 1476.344),(28 1477.8484),(29 1467.8804),(30 1453.7502),(31 1443.0034),(32 1435.8634),(33 1427.4224),(34 1415.6154),(35 1423.6741),(36 1421.3533),(37 1416.9323),(38 1416.6636),(39 1404.4921),(40 1397.0029),(41 1409.6279),(42 1423.2479),(43 1461.4056),(44 1483.2986),(45 1502.7211),(46 1516.5709),(47 1537.5027),(48 1557.8898),(49 1562.4393),(50 1583.0944),(51 1603.4928),(52 1640.7397),(53 1640.1521),(54 1647.6334),(55 1644.445),(56 1646.6953),(57 1639.5211),(58 1661.6521),(59 1649.707),(60 1644.063),(61 1647.0553),(62 1646.7446),(63 1651.7925),(64 1656.2874),(65 1630.3813),(66 1628.671),(67 1630.6082),(68 1639.9313),(69 1638.3456),(70 1614.5638),(71 1628.4464),(72 1624.7103),(73 1653.1517),(74 1674.7458),(75 1708.0627),(76 1726.0978),(77 1739.0222),(78 1796.1338),(79 1825.0192),
(1 607.45447),(2 804.38104),(3 946.1445),(4 1058.1741),(5 1119.0646),(6 1173.9235),(7 1215.6647),(8 1234.819),(9 1253.8148),(10 1272.6725),(11 1312.9777),(12 1350.9929),(13 1422.764),(14 1459.9493),(15 1484.1981),(16 1485.8682),(17 1465.3386),(18 1479.8756),(19 1466.9851),(20 1471.6183),(21 1478.8965),(22 1486.2911),(23 1480.7003),(24 1480.0492),(25 1490.0779),(26 1482.7383),(27 1495.0172),(28 1509.729),(29 1502.96),(30 1497.8164),(31 1480.7487),(32 1472.6503),(33 1467.3663),(34 1455.7091),(35 1451.8037),(36 1455.3337),(37 1431.3013),(38 1415.2896),(39 1410.2151),(40 1405.8711),(41 1409.1017),(42 1406.5366),(43 1450.9414),(44 1472.5396),(45 1493.2715),(46 1509.9055),(47 1534.5935),(48 1555.2201),(49 1562.8188),(50 1585.6937),(51 1609.56),(52 1626.7863),(53 1639.8463),(54 1654.0397),(55 1656.8647),(56 1655.0896),(57 1653.1095),(58 1682.4703),(59 1675.9752),(60 1668.7982),(61 1663.671),(62 1659.8075),(63 1654.5994),(64 1653.125),(65 1628.2295),(66 1628.6418),(67 1618.5759),(68 1605.0665),(69 1610.5924),(70 1582.3002),(71 1589.4783),(72 1587.7687),(73 1616.1825),(74 1625.4346),(75 1656.93),(76 1678.2617),(77 1681.6998),(78 1723.6691),(79 1752.1617),
