1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1669.6953),(2 1686.3705),(3 1750.692),(4 1776.5906),(5 1825.9601),(6 1824.5212),(7 1908.6145),(8 1908.5121),(9 1958.7129),(10 1993.217),(11 1991.6918),(12 2009.894),(13 2025.5852),(14 2065.2615),(15 2085.8704),(16 2119.0754),(17 2131.222),(18 2162.2085),(19 2226.758),(20 2219.3008),(21 2290.1235),(22 2280.944),(23 2304.6238),(24 2381.363),(25 2382.7705),(26 2412.6982),(27 2445.4136),(28 2438.1497),(29 2451.635),(30 2471.4238),(31 2494.9531),(32 2501.8164),(33 2507.0715),(34 2539.99),(35 2547.4307),(36 2582.2156),(37 2537.3008),(38 2552.368),(39 2578.448),(40 2559.6091),(41 2558.0613),(42 2554.9941),(43 2565.849),(44 2555.8215),(45 2591.1462),(46 2550.0986),(47 2564.7034),(48 2531.52),(49 2533.6821),(50 2545.1697),(51 2567.3303),(52 2537.5674),(53 2557.4001),(54 2549.3276),(55 2572.9612),(56 2584.435),(57 2550.1826),(58 2553.684),(59 2548.1206),(60 2577.0374),(61 2527.087),(62 2571.3577),(63 2568.96),(64 2569.8252),(65 2575.5017),(66 2572.0173),(67 2573.274),(68 2585.5974),(69 2594.2983),(70 2607.9421),(71 2608.0854),(72 2586.8691),(73 2586.1248),(74 2612.6487),(75 2597.1868),(76 2581.0835),(77 2568.891),(78 2551.7744),(79 2567.1426),
(1 1612.4569),(2 1669.858),(3 1736.5217),(4 1724.6665),(5 1797.6251),(6 1807.1371),(7 1878.764),(8 1892.6825),(9 1948.8374),(10 1958.427),(11 1976.4525),(12 2013.438),(13 2051.096),(14 2064.0544),(15 2100.4495),(16 2156.0176),(17 2164.2483),(18 2178.2712),(19 2251.7952),(20 2271.2026),(21 2314.06),(22 2328.8123),(23 2339.4695),(24 2386.7405),(25 2399.806),(26 2426.0398),(27 2458.1724),(28 2432.841),(29 2481.8228),(30 2481.699),(31 2494.499),(32 2499.7576),(33 2513.3254),(34 2547.8738),(35 2549.3948),(36 2540.817),(37 2505.1958),(38 2542.3826),(39 2531.212),(40 2531.146),(41 2506.0496),(42 2504.5872),(43 2504.3857),(44 2491.6848),(45 2487.4556),(46 2505.9014),(47 2465.1233),(48 2486.7122),(49 2452.5164),(50 2473.3228),(51 2450.367),(52 2504.4446),(53 2467.387),(54 2455.375),(55 2505.6372),(56 2493.2327),(57 2490.6729),(58 2486.291),(59 2528.0964),(60 2498.4143),(61 2485.427),(62 2524.8005),(63 2571.9697),(64 2549.6443),(65 2558.811),(66 2560.7188),(67 2549.5002),(68 2546.8198),(69 2571.638),(70 2570.716),(71 2518.255),(72 2555.563),(73 2559.5042),(74 2551.3625),(75 2550.6614),(76 2557.2634),(77 2540.0452),(78 2499.272),(79 2524.6462),
(1 1613.6729),(2 1639.3335),(3 1695.6006),(4 1728.1327),(5 1766.4143),(6 1785.8943),(7 1834.2507),(8 1845.8191),(9 1900.4362),(10 1897.893),(11 1935.0385),(12 1975.7681),(13 1985.4429),(14 1983.781),(15 2032.1807),(16 2068.9133),(17 2083.433),(18 2126.701),(19 2162.9382),(20 2176.0095),(21 2226.918),(22 2237.8115),(23 2254.594),(24 2278.487),(25 2302.5278),(26 2334.3076),(27 2369.5798),(28 2332.725),(29 2362.006),(30 2428.3765),(31 2389.171),(32 2438.8103),(33 2452.7732),(34 2492.6187),(35 2460.4731),(36 2470.157),(37 2480.7603),(38 2475.1875),(39 2509.1743),(40 2498.2517),(41 2490.2947),(42 2498.9722),(43 2466.366),(44 2500.7349),(45 2426.9607),(46 2496.4692),(47 2432.4456),(48 2472.5942),(49 2421.1052),(50 2430.168),(51 2440.0173),(52 2471.1477),(53 2450.4475),(54 2454.9067),(55 2469.3308),(56 2446.2356),(57 2441.2788),(58 2454.7783),(59 2452.6672),(60 2424.8328),(61 2427.878),(62 2445.4624),(63 2459.0347),(64 2455.3306),(65 2473.0557),(66 2474.5293),(67 2472.9453),(68 2453.9565),(69 2488.158),(70 2479.819),(71 2448.0774),(72 2483.3823),(73 2471.2441),(74 2502.9463),(75 2495.4792),(76 2479.9885),(77 2466.2222),(78 2464.0027),(79 2481.354),
(1 1562.6865),(2 1607.9785),(3 1649.5343),(4 1721.3779),(5 1754.4015),(6 1763.3828),(7 1813.8832),(8 1845.124),(9 1858.515),(10 1888.0331),(11 1941.1661),(12 1928.723),(13 2000.0398),(14 1985.9379),(15 2051.5474),(16 2061.7488),(17 2075.3032),(18 2088.088),(19 2144.7773),(20 2132.92),(21 2191.6506),(22 2199.5325),(23 2226.7004),(24 2253.2944),(25 2280.1904),(26 2288.321),(27 2347.7917),(28 2335.1228),(29 2342.228),(30 2391.2566),(31 2391.6062),(32 2402.6472),(33 2430.299),(34 2463.885),(35 2465.8796),(36 2462.8743),(37 2480.4238),(38 2487.9832),(39 2468.887),(40 2468.9258),(41 2506.9856),(42 2508.9036),(43 2486.82),(44 2482.7263),(45 2462.7422),(46 2467.9468),(47 2418.7356),(48 2472.9656),(49 2455.4146),(50 2453.6387),(51 2470.79),(52 2455.816),(53 2477.4954),(54 2466.2053),(55 2479.7854),(56 2459.605),(57 2468.562),(58 2463.4688),(59 2473.7502),(60 2483.003),(61 2493.7817),(62 2456.3333),(63 2523.382),(64 2491.993),(65 2485.6404),(66 2484.7732),(67 2504.4941),(68 2468.8005),(69 2474.3047),(70 2467.2507),(71 2462.9753),(72 2471.4668),(73 2507.24),(74 2492.4443),(75 2481.089),(76 2494.0356),(77 2462.0356),(78 2467.415),(79 2464.1128),
(1 1541.9305),(2 1581.2592),(3 1624.0675),(4 1681.6764),(5 1722.3658),(6 1757.1472),(7 1786.7656),(8 1810.0323),(9 1804.1508),(10 1864.0591),(11 1875.8363),(12 1872.781),(13 1955.5491),(14 1947.7097),(15 1998.9738),(16 2012.6302),(17 2020.2548),(18 2024.6517),(19 2080.2954),(20 2084.753),(21 2154.8594),(22 2165.9775),(23 2182.547),(24 2203.4492),(25 2244.7522),(26 2274.9902),(27 2314.7014),(28 2317.0789),(29 2317.2827),(30 2357.409),(31 2391.4976),(32 2385.0781),(33 2406.5334),(34 2435.0635),(35 2431.1348),(36 2456.8672),(37 2454.7112),(38 2464.1655),(39 2465.4497),(40 2446.5605),(41 2470.891),(42 2440.487),(43 2472.807),(44 2421.3965),(45 2413.69),(46 2426.1284),(47 2419.5037),(48 2418.6394),(49 2400.3677),(50 2418.1833),(51 2437.0034),(52 2391.2227),(53 2439.3132),(54 2421.414),(55 2421.589),(56 2409.6592),(57 2415.0342),(58 2406.9915),(59 2434.283),(60 2410.663),(61 2426.5042),(62 2427.657),(63 2452.2585),(64 2455.3105),(65 2434.4277),(66 2437.5703),(67 2478.747),(68 2438.8835),(69 2453.849),(70 2437.9612),(71 2485.7942),(72 2456.0989),(73 2499.4165),(74 2499.9387),(75 2489.9648),(76 2492.7124),(77 2506.1257),(78 2482.9353),(79 2475.4458),
(1 1509.6093),(2 1548.6489),(3 1588.5505),(4 1659.0016),(5 1693.2638),(6 1712.0776),(7 1764.7443),(8 1779.8774),(9 1806.7079),(10 1855.4076),(11 1841.9424),(12 1855.4952),(13 1909.6847),(14 1959.5912),(15 1972.2222),(16 2026.1719),(17 1997.0916),(18 2063.366),(19 2105.1028),(20 2139.9521),(21 2183.767),(22 2186.06),(23 2225.6147),(24 2216.7234),(25 2270.762),(26 2286.0603),(27 2331.9263),(28 2349.3376),(29 2367.2273),(30 2353.8232),(31 2437.5083),(32 2412.1914),(33 2429.7554),(34 2442.5686),(35 2459.3618),(36 2466.977),(37 2502.4675),(38 2452.1948),(39 2484.2886),(40 2480.5813),(41 2483.194),(42 2495.9482),(43 2463.679),(44 2457.5798),(45 2430.6938),(46 2417.2632),(47 2421.1262),(48 2397.214),(49 2393.7688),(50 2388.818),(51 2394.8008),(52 2371.8645),(53 2382.9211),(54 2345.5293),(55 2357.9966),(56 2352.7974),(57 2322.9487),(58 2332.0244),(59 2318.3987),(60 2321.653),(61 2336.3813),(62 2352.0127),(63 2358.0117),(64 2377.8967),(65 2364.0852),(66 2370.6536),(67 2365.418),(68 2357.1038),(69 2363.3105),(70 2374.6777),(71 2403.0823),(72 2410.2817),(73 2411.5037),(74 2423.0225),(75 2448.497),(76 2435.9243),(77 2443.8752),(78 2430.4263),(79 2441.4907),
(1 1451.7743),(2 1497.7559),(3 1531.3372),(4 1601.3595),(5 1628.1805),(6 1632.322),(7 1699.9849),(8 1702.2908),(9 1736.6075),(10 1759.825),(11 1777.6858),(12 1823.0613),(13 1837.991),(14 1876.1162),(15 1902.5254),(16 1931.7012),(17 1920.3958),(18 1969.4385),(19 2023.5635),(20 2061.4697),(21 2051.839),(22 2100.6565),(23 2127.3738),(24 2124.5261),(25 2157.2568),(26 2193.4539),(27 2236.1868),(28 2240.3765),(29 2236.4197),(30 2244.8855),(31 2285.8464),(32 2279.419),(33 2266.071),(34 2287.6392),(35 2331.6956),(36 2312.127),(37 2334.6448),(38 2344.1003),(39 2333.8079),(40 2335.9941),(41 2310.4143),(42 2367.9636),(43 2339.9272),(44 2327.9468),(45 2307.9348),(46 2292.2864),(47 2314.5928),(48 2286.7996),(49 2283.7314),(50 2294.7075),(51 2283.2383),(52 2269.742),(53 2288.0674),(54 2269.9888),(55 2281.4937),(56 2303.3936),(57 2284.8462),(58 2273.2893),(59 2269.781),(60 2251.3818),(61 2250.979),(62 2300.2266),(63 2308.9458),(64 2284.2043),(65 2259.0903),(66 2246.6653),(67 2271.3323),(68 2272.4802),(69 2292.9873),(70 2319.616),(71 2302.6711),(72 2306.8757),(73 2342.9263),(74 2367.6753),(75 2346.4136),(76 2388.712),(77 2367.77),(78 2350.1118),(79 2383.7798),
(1 1407.7876),(2 1485.8558),(3 1496.2407),(4 1581.7518),(5 1596.547),(6 1629.9183),(7 1686.0027),(8 1685.5753),(9 1733.9336),(10 1744.0537),(11 1767.4768),(12 1814.2969),(13 1856.1685),(14 1875.2324),(15 1925.4459),(16 1920.1959),(17 1952.0386),(18 1964.4697),(19 2021.55),(20 2060.6782),(21 2084.1726),(22 2100.3054),(23 2148.5144),(24 2150.9824),(25 2199.0857),(26 2230.7297),(27 2280.432),(28 2283.6506),(29 2295.3557),(30 2314.5366),(31 2294.8132),(32 2343.0916),(33 2340.4775),(34 2345.8853),(35 2391.4644),(36 2363.5344),(37 2398.3447),(38 2366.3381),(39 2385.342),(40 2357.6064),(41 2356.195),(42 2385.6997),(43 2381.5725),(44 2372.2632),(45 2351.988),(46 2359.5154),(47 2330.2915),(48 2322.3594),(49 2327.9512),(50 2317.0488),(51 2291.0295),(52 2278.6528),(53 2305.0425),(54 2289.0415),(55 2257.5908),(56 2263.4016),(57 2254.6204),(58 2225.5247),(59 2228.1992),(60 2214.264),(61 2195.602),(62 2225.362),(63 2239.3538),(64 2222.8687),(65 2212.9985),(66 2219.3755),(67 2239.9775),(68 2223.9116),(69 2255.627),(70 2264.9727),(71 2247.3987),(72 2265.9858),(73 2289.7412),(74 2300.7432),(75 2304.5269),(76 2299.7524),(77 2338.5476),(78 2362.3926),(79 2352.0947),
(1 1411.609),(2 1459.1328),(3 1499.4196),(4 1557.0151),(5 1586.3507),(6 1627.2198),(7 1677.6051),(8 1662.5636),(9 1714.756),(10 1732.0447),(11 1746.597),(12 1749.9315),(13 1792.9802),(14 1826.7356),(15 1865.4448),(16 1876.3391),(17 1925.5905),(18 1958.8252),(19 1970.8112),(20 1974.06),(21 1999.9607),(22 2023.406),(23 2088.9648),(24 2094.7986),(25 2101.2776),(26 2140.5913),(27 2154.2607),(28 2167.574),(29 2204.6514),(30 2186.0544),(31 2216.1719),(32 2236.604),(33 2266.8213),(34 2287.1365),(35 2271.5598),(36 2285.168),(37 2292.7705),(38 2261.5774),(39 2297.6394),(40 2269.0042),(41 2280.915),(42 2284.7683),(43 2272.44),(44 2288.4712),(45 2269.6086),(46 2276.6433),(47 2266.9736),(48 2276.8142),(49 2267.4106),(50 2291.6785),(51 2274.5903),(52 2267.1096),(53 2295.665),(54 2275.3257),(55 2270.6548),(56 2259.0188),(57 2261.571),(58 2254.6416),(59 2264.4634),(60 2266.4963),(61 2236.5454),(62 2238.2813),(63 2250.236),(64 2233.026),(65 2224.1782),(66 2239.7295),(67 2233.8848),(68 2237.0422),(69 2232.166),(70 2220.385),(71 2235.835),(72 2248.637),(73 2264.9712),(74 2287.258),(75 2260.509),(76 2250.364),(77 2269.306),(78 2263.2124),(79 2261.2944),
(1 1390.0219),(2 1413.676),(3 1497.9194),(4 1508.8975),(5 1566.397),(6 1602.2263),(7 1614.949),(8 1626.1085),(9 1655.7512),(10 1679.8805),(11 1704.2936),(12 1710.0161),(13 1732.6703),(14 1757.2399),(15 1793.5785),(16 1789.3619),(17 1839.7192),(18 1858.2499),(19 1862.5566),(20 1869.6627),(21 1922.3679),(22 1966.179),(23 2016.5258),(24 2012.8881),(25 2009.8142),(26 2039.9952),(27 2069.496),(28 2064.7114),(29 2097.8347),(30 2096.922),(31 2138.487),(32 2172.228),(33 2159.3958),(34 2198.964),(35 2188.9424),(36 2224.1104),(37 2242.5303),(38 2231.6775),(39 2238.9326),(40 2205.6526),(41 2240.7446),(42 2264.1523),(43 2228.969),(44 2223.833),(45 2217.8113),(46 2207.1494),(47 2202.8794),(48 2191.061),(49 2188.2327),(50 2232.9836),(51 2233.0125),(52 2193.2734),(53 2230.4812),(54 2205.9517),(55 2243.9292),(56 2202.2566),(57 2209.876),(58 2206.363),(59 2205.9143),(60 2206.0166),(61 2201.5852),(62 2198.312),(63 2189.2815),(64 2174.488),(65 2182.3896),(66 2177.9136),(67 2167.9663),(68 2164.9749),(69 2207.0276),(70 2152.947),(71 2157.8608),(72 2183.75),(73 2164.1646),(74 2197.5825),(75 2201.6538),(76 2196.1877),(77 2168.3325),(78 2161.2813),(79 2141.1484),
(1 1330.2898),(2 1377.0315),(3 1442.649),(4 1488.144),(5 1532.857),(6 1561.5125),(7 1575.807),(8 1604.1589),(9 1627.721),(10 1646.1646),(11 1670.3768),(12 1682.0586),(13 1700.8915),(14 1727.1154),(15 1740.6277),(16 1774.5184),(17 1791.6528),(18 1816.7592),(19 1801.3195),(20 1850.3705),(21 1877.4171),(22 1887.3475),(23 1917.4131),(24 1906.1294),(25 1934.175),(26 1946.4529),(27 1992.3761),(28 1977.2921),(29 2033.4426),(30 2029.9735),(31 2042.8274),(32 2076.7773),(33 2070.9565),(34 2089.481),(35 2074.8613),(36 2096.5503),(37 2140.9944),(38 2137.0571),(39 2126.804),(40 2138.2192),(41 2141.459),(42 2164.302),(43 2130.5908),(44 2126.1692),(45 2128.3938),(46 2120.7273),(47 2134.9902),(48 2145.322),(49 2134.9417),(50 2136.2275),(51 2154.2224),(52 2136.2278),(53 2152.5828),(54 2140.1563),(55 2147.7637),(56 2136.2737),(57 2144.3638),(58 2135.9812),(59 2099.257),(60 2112.4663),(61 2119.9814),(62 2110.2827),(63 2126.576),(64 2134.9207),(65 2091.1204),(66 2111.9407),(67 2118.1018),(68 2120.1438),(69 2119.0251),(70 2119.445),(71 2105.8196),(72 2135.3035),(73 2125.4988),(74 2149.756),(75 2156.8877),(76 2136.8557),(77 2144.7087),(78 2122.7063),(79 2117.5427),
(1 1305.0776),(2 1354.8881),(3 1420.797),(4 1460.9175),(5 1484.9852),(6 1526.9451),(7 1548.5183),(8 1556.0309),(9 1589.6559),(10 1581.2748),(11 1605.8274),(12 1630.5106),(13 1670.6696),(14 1668.0917),(15 1714.0542),(16 1720.7767),(17 1738.4514),(18 1757.813),(19 1792.0555),(20 1812.83),(21 1852.4047),(22 1841.1858),(23 1854.6697),(24 1870.5109),(25 1886.4479),(26 1914.2543),(27 1948.7443),(28 1985.3169),(29 1985.527),(30 2005.6832),(31 2015.327),(32 2051.6724),(33 2039.0264),(34 2049.9895),(35 2057.6357),(36 2073.6929),(37 2121.0295),(38 2116.5798),(39 2091.2996),(40 2123.167),(41 2096.3118),(42 2121.6091),(43 2085.8936),(44 2112.2737),(45 2129.23),(46 2113.0273),(47 2167.085),(48 2121.5635),(49 2120.4216),(50 2106.9966),(51 2135.4282),(52 2128.519),(53 2120.6394),(54 2145.0525),(55 2148.731),(56 2166.8262),(57 2155.383),(58 2148.1047),(59 2159.2637),(60 2138.1453),(61 2145.914),(62 2129.7476),(63 2140.9746),(64 2129.1323),(65 2122.7483),(66 2083.6563),(67 2087.069),(68 2110.9497),(69 2096.9832),(70 2064.9175),(71 2091.0308),(72 2099.2195),(73 2120.6863),(74 2104.932),(75 2103.5957),(76 2082.8586),(77 2112.2969),(78 2080.2908),(79 2058.4312),
(1 1338.7589),(2 1361.3477),(3 1402.7891),(4 1470.9923),(5 1475.2963),(6 1532.16),(7 1545.5587),(8 1559.3318),(9 1597.774),(10 1583.5443),(11 1614.0706),(12 1648.9957),(13 1663.0891),(14 1700.0089),(15 1722.0492),(16 1725.7412),(17 1762.2416),(18 1783.8899),(19 1791.8965),(20 1821.8394),(21 1857.9479),(22 1854.6018),(23 1866.329),(24 1910.5609),(25 1891.8735),(26 1922.6486),(27 1969.4198),(28 1978.4733),(29 1979.9177),(30 2003.8171),(31 2003.3491),(32 2019.0421),(33 2054.9163),(34 2045.2694),(35 2039.393),(36 2061.1982),(37 2073.0798),(38 2124.5078),(39 2071.3557),(40 2106.6),(41 2076.329),(42 2084.547),(43 2068.2239),(44 2080.9473),(45 2077.158),(46 2064.0156),(47 2064.608),(48 2051.3474),(49 2047.3967),(50 2042.1049),(51 2056.021),(52 2048.701),(53 2034.473),(54 2034.195),(55 2050.9397),(56 2063.4104),(57 2061.4934),(58 2031.992),(59 2053.329),(60 2053.6824),(61 2039.8246),(62 2054.0332),(63 2058.3545),(64 2046.8019),(65 2065.5781),(66 2059.7878),(67 2047.0665),(68 2032.0073),(69 2033.09),(70 2042.0663),(71 2070.193),(72 2071.784),(73 2074.912),(74 2092.062),(75 2053.34),(76 2071.5269),(77 2095.7283),(78 2069.7456),(79 2072.0825),
(1 1266.4475),(2 1319.4374),(3 1354.759),(4 1406.9344),(5 1425.3438),(6 1477.1381),(7 1483.8003),(8 1514.7292),(9 1545.7555),(10 1570.9272),(11 1583.4298),(12 1607.8457),(13 1617.7933),(14 1675.9001),(15 1683.4939),(16 1698.945),(17 1728.4329),(18 1735.3557),(19 1771.7949),(20 1793.2756),(21 1824.0264),(22 1837.137),(23 1851.2446),(24 1865.9712),(25 1876.5006),(26 1895.93),(27 1940.6099),(28 1929.9994),(29 1969.2091),(30 1989.5374),(31 2002.6846),(32 2004.0367),(33 2028.8265),(34 2056.8416),(35 2059.4985),(36 2062.644),(37 2075.128),(38 2114.886),(39 2076.46),(40 2091.9727),(41 2096.309),(42 2090.8113),(43 2081.6826),(44 2075.965),(45 2083.975),(46 2086.1772),(47 2078.3743),(48 2046.3574),(49 2049.462),(50 2048.9912),(51 2046.9116),(52 2056.5068),(53 2050.4673),(54 2066.8428),(55 2058.7295),(56 2021.6488),(57 2050.899),(58 2041.6508),(59 2041.1282),(60 2058.799),(61 2048.9226),(62 2054.0676),(63 2055.889),(64 2025.3407),(65 2021.0848),(66 2028.3809),(67 2036.3357),(68 2020.942),(69 2034.2924),(70 2007.5776),(71 2043.3392),(72 2048.8855),(73 2022.0193),(74 2039.4781),(75 2034.4219),(76 2029.9807),(77 2049.141),(78 2034.2408),(79 2001.8965),
(1 1250.3563),(2 1307.6224),(3 1358.7281),(4 1405.6837),(5 1454.1833),(6 1471.9323),(7 1504.9355),(8 1512.4054),(9 1526.9376),(10 1535.1089),(11 1582.6913),(12 1589.4285),(13 1606.6168),(14 1641.0266),(15 1640.626),(16 1676.2162),(17 1717.8214),(18 1704.002),(19 1742.5316),(20 1783.4342),(21 1814.4421),(22 1809.5226),(23 1837.4822),(24 1861.8868),(25 1883.749),(26 1915.8303),(27 1943.4684),(28 1936.7815),(29 2000.0504),(30 1979.5464),(31 1994.574),(32 2005.8629),(33 1997.2723),(34 2042.7572),(35 2067.8179),(36 2063.3455),(37 2067.6677),(38 2099.4338),(39 2064.0603),(40 2078.7397),(41 2071.1382),(42 2061.0615),(43 2092.3357),(44 2061.8623),(45 2055.2454),(46 2063.054),(47 2065.4502),(48 2029.1356),(49 2034.4985),(50 2032.3613),(51 2018.603),(52 2023.6221),(53 2004.7781),(54 2013.0237),(55 2024.6217),(56 1982.5803),(57 2001.8344),(58 2009.7072),(59 1979.1273),(60 1987.4696),(61 1992.5305),(62 1996.8674),(63 2000.1594),(64 1996.2886),(65 1992.7633),(66 1944.8707),(67 1959.3053),(68 1968.2332),(69 1979.2948),(70 1994.5712),(71 1998.4327),(72 2017.6198),(73 1993.8611),(74 1997.4951),(75 2025.5586),(76 1989.227),(77 2006.7048),(78 2007.5581),(79 1992.4448),
(1 1212.2566),(2 1295.5247),(3 1331.1892),(4 1396.8497),(5 1419.1636),(6 1446.9689),(7 1482.3662),(8 1487.6316),(9 1522.6396),(10 1528.7592),(11 1566.5259),(12 1608.1958),(13 1617.4559),(14 1639.0802),(15 1660.3202),(16 1667.216),(17 1693.8342),(18 1718.7593),(19 1727.5004),(20 1771.8656),(21 1807.4874),(22 1832.3228),(23 1848.7551),(24 1897.9741),(25 1889.8693),(26 1927.0967),(27 1964.745),(28 1983.8302),(29 2007.3682),(30 2005.7129),(31 2017.3616),(32 2028.9567),(33 2042.4232),(34 2072.7234),(35 2079.3604),(36 2089.1501),(37 2101.3071),(38 2123.6545),(39 2116.2354),(40 2120.779),(41 2110.6233),(42 2143.012),(43 2106.9219),(44 2105.2256),(45 2113.1052),(46 2096.4124),(47 2076.4966),(48 2087.6438),(49 2073.7388),(50 2042.1984),(51 2058.822),(52 2032.9216),(53 2031.2147),(54 1993.3657),(55 2017.651),(56 1989.2284),(57 1997.7131),(58 1983.0691),(59 1984.1932),(60 1962.3846),(61 1947.0311),(62 1951.72),(63 1943.4475),(64 1939.2675),(65 1930.6844),(66 1919.5651),(67 1923.3813),(68 1913.6443),(69 1918.8196),(70 1913.1753),(71 1935.5352),(72 1933.1073),(73 1931.8909),(74 1929.5809),(75 1954.1556),(76 1942.7506),(77 1962.6213),(78 1954.6461),(79 1943.3777),
(1 1183.8933),(2 1288.2838),(3 1328.2161),(4 1385.6666),(5 1413.2794),(6 1420.2537),(7 1456.9501),(8 1471.7859),(9 1511.5331),(10 1505.914),(11 1539.1215),(12 1571.1792),(13 1601.2681),(14 1618.0299),(15 1660.7609),(16 1674.0072),(17 1665.4337),(18 1712.6006),(19 1743.7106),(20 1769.1705),(21 1781.7028),(22 1831.8053),(23 1839.9503),(24 1872.2872),(25 1856.4026),(26 1906.1433),(27 1939.5741),(28 1962.0212),(29 1974.4009),(30 1977.3087),(31 2012.0096),(32 2016.001),(33 2045.374),(34 2034.5819),(35 2063.459),(36 2076.224),(37 2064.499),(38 2083.477),(39 2098.2576),(40 2104.5605),(41 2085.4739),(42 2128.4895),(43 2089.7993),(44 2093.708),(45 2111.2063),(46 2076.8733),(47 2056.9524),(48 2075.7273),(49 2076.9377),(50 2048.4712),(51 2045.6663),(52 2027.9762),(53 2025.7178),(54 2029.3318),(55 2020.783),(56 2011.9999),(57 2018.4233),(58 2005.4222),(59 1993.317),(60 1977.8629),(61 1979.3787),(62 1987.4044),(63 1982.289),(64 1972.9551),(65 1927.3165),(66 1958.6056),(67 1962.2012),(68 1956.4136),(69 1956.1426),(70 1952.4232),(71 1970.5801),(72 1974.5895),(73 1986.7166),(74 1985.0814),(75 2003.7397),(76 1988.7313),(77 2013.2377),(78 2000.2749),(79 1989.0962),
