1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1920.516),(2 2968.0356),(3 3662.575),(4 4083.4556),(5 4316.6646),(6 4451.9063),(7 4524.5234),(8 4703.361),(9 4707.415),(10 4662.9688),(11 4524.5225),(12 4476.412),(13 4427.8896),(14 4317.974),(15 4256.5767),(16 4265.241),(17 4271.265),(18 4329.5903),(19 4344.8433),(20 4374.3467),(21 4439.1367),(22 4484.2964),(23 4589.4253),(24 4577.4424),(25 4599.1177),(26 4577.3604),(27 4565.78),(28 4585.4116),(29 4583.8867),(30 4606.4395),(31 4624.058),(32 4656.7236),(33 4719.2617),(34 4748.0493),(35 4780.671),(36 4801.3857),(37 4823.7),(38 4840.251),(39 4808.6465),(40 4749.452),(41 4731.068),(42 4674.902),(43 4634.7827),(44 4608.1606),(45 4622.5522),(46 4638.113),(47 4643.4053),(48 4645.8564),(49 4601.4),(50 4626.2485),(51 4626.9307),(52 4596.161),(53 4691.0854),(54 4680.65),(55 4680.6147),(56 4683.994),(57 4683.554),(58 4670.708),(59 4596.7734),(60 4568.1167),(61 4600.4478),(62 4607.5547),(63 4614.8403),(64 4632.53),(65 4660.8257),(66 4632.752),(67 4657.6655),(68 4688.8354),(69 4677.01),(70 4681.546),(71 4661.9854),(72 4681.6064),(73 4677.0117),(74 4670.855),(75 4678.3843),(76 4640.0806),(77 4631.5303),(78 4621.3374),(79 4661.2876),
(1 1868.5876),(2 2861.3938),(3 3575.8074),(4 4031.589),(5 4266.404),(6 4399.8887),(7 4494.6094),(8 4673.9927),(9 4687.854),(10 4654.798),(11 4533.6904),(12 4450.2007),(13 4405.5493),(14 4297.415),(15 4228.129),(16 4222.6304),(17 4221.784),(18 4235.02),(19 4296.1753),(20 4340.2427),(21 4431.0933),(22 4480.071),(23 4613.103),(24 4614.3535),(25 4585.9536),(26 4603.8257),(27 4589.3027),(28 4568.3184),(29 4542.9863),(30 4557.2935),(31 4573.0503),(32 4651.707),(33 4717.0093),(34 4792.8105),(35 4823.7983),(36 4884.854),(37 4912.38),(38 4946.51),(39 4874.358),(40 4746.68),(41 4691.2754),(42 4600.525),(43 4572.1206),(44 4565.0283),(45 4612.9316),(46 4642.58),(47 4692.9165),(48 4722.207),(49 4719.798),(50 4732.382),(51 4727.21),(52 4709.139),(53 4750.5547),(54 4689.17),(55 4688.817),(56 4670.546),(57 4642.6274),(58 4651.707),(59 4570.683),(60 4566.9253),(61 4574.8),(62 4626.217),(63 4658.5156),(64 4673.1035),(65 4719.918),(66 4682.349),(67 4688.492),(68 4763.359),(69 4759.248),(70 4744.6772),(71 4751.6074),(72 4749.4214),(73 4740.867),(74 4713.3906),(75 4759.2266),(76 4713.873),(77 4728.4956),(78 4724.7705),(79 4721.087),
(1 1860.7925),(2 2827.255),(3 3469.825),(4 3854.5261),(5 4090.2305),(6 4208.263),(7 4392.5684),(8 4609.585),(9 4615.0024),(10 4604.5415),(11 4525.843),(12 4499.739),(13 4429.768),(14 4325.658),(15 4248.999),(16 4251.4473),(17 4205.547),(18 4219.321),(19 4210.379),(20 4249.6655),(21 4329.5327),(22 4387.3896),(23 4478.896),(24 4485.501),(25 4493.5083),(26 4468.582),(27 4460.9507),(28 4483.262),(29 4463.14),(30 4481.2817),(31 4469.8022),(32 4546.4727),(33 4593.9385),(34 4636.936),(35 4655.8833),(36 4696.673),(37 4694.8667),(38 4779.5747),(39 4779.957),(40 4724.607),(41 4720.191),(42 4645),(43 4637.107),(44 4599.2046),(45 4595.5313),(46 4607.348),(47 4653.506),(48 4653.067),(49 4622.6016),(50 4617.7),(51 4643.4795),(52 4656.518),(53 4727.0493),(54 4670.641),(55 4647.155),(56 4587.478),(57 4585.7354),(58 4545.332),(59 4453.985),(60 4443.711),(61 4439.208),(62 4490.877),(63 4535.443),(64 4613.136),(65 4655.9004),(66 4653.7427),(67 4622.5293),(68 4744.7734),(69 4745.0723),(70 4766.647),(71 4764.275),(72 4762.2344),(73 4760.3555),(74 4744.379),(75 4766.463),(76 4756.1553),(77 4766.1973),(78 4723.8774),(79 4732.696),
(1 1780.01),(2 2712.7114),(3 3294.415),(4 3749.0393),(5 3971.0842),(6 4115.9346),(7 4255.214),(8 4407.05),(9 4415.7197),(10 4376.977),(11 4252.585),(12 4157.8125),(13 4087.5132),(14 4005.35),(15 3997.983),(16 4027.0247),(17 4029.887),(18 4073.1365),(19 4111.479),(20 4151.7607),(21 4221.932),(22 4247.2666),(23 4316.7773),(24 4353.4727),(25 4322.314),(26 4312.4785),(27 4315.4614),(28 4343.478),(29 4311.0615),(30 4331.856),(31 4358.9136),(32 4412.346),(33 4482.1265),(34 4542.71),(35 4584.4297),(36 4623.0967),(37 4629.2236),(38 4730.5303),(39 4712.546),(40 4634.5845),(41 4588.5977),(42 4585.447),(43 4587.7827),(44 4551.843),(45 4549.729),(46 4526.051),(47 4521.2856),(48 4556.427),(49 4498.705),(50 4506.7534),(51 4525.3833),(52 4496.865),(53 4571.223),(54 4547.52),(55 4548.492),(56 4481.547),(57 4461.8486),(58 4447.9126),(59 4345.0093),(60 4338.2656),(61 4295.418),(62 4300.314),(63 4325.558),(64 4351.184),(65 4371.9653),(66 4414.431),(67 4434.508),(68 4524.775),(69 4582.515),(70 4574.799),(71 4601.148),(72 4612.2993),(73 4574.054),(74 4495.223),(75 4520.6553),(76 4532.764),(77 4563.8154),(78 4580.025),(79 4595.2065),
(1 1752.3743),(2 2676.098),(3 3215.5293),(4 3629.9036),(5 3806.5398),(6 3925.584),(7 4007.6814),(8 4217.565),(9 4248.152),(10 4279.217),(11 4155.977),(12 4094.658),(13 4011.9026),(14 3927.1191),(15 3894.561),(16 3892.07),(17 3905.5225),(18 3896.9548),(19 3945.1787),(20 4008.5151),(21 4085.7683),(22 4134.2314),(23 4245.173),(24 4228.277),(25 4202.412),(26 4229.495),(27 4230.552),(28 4262.217),(29 4260.8013),(30 4289.2354),(31 4290.8057),(32 4353.5464),(33 4382.929),(34 4412.345),(35 4484.7827),(36 4526.06),(37 4501.25),(38 4535.306),(39 4500.903),(40 4474.988),(41 4441.8267),(42 4413.0005),(43 4425.167),(44 4401.4395),(45 4346.8994),(46 4356.309),(47 4338.1772),(48 4388.6733),(49 4373.459),(50 4357.389),(51 4347.068),(52 4347.8213),(53 4445.2036),(54 4404.1523),(55 4385.0283),(56 4335.505),(57 4329.452),(58 4307.559),(59 4280.595),(60 4298.8),(61 4264.7446),(62 4304.6924),(63 4328.7847),(64 4325.561),(65 4358.2036),(66 4376.323),(67 4415.6367),(68 4481.014),(69 4484.2817),(70 4441.667),(71 4402.2285),(72 4417.599),(73 4407.467),(74 4390.0825),(75 4436.977),(76 4449.402),(77 4456.735),(78 4458.0166),(79 4494.878),
(1 1754.4342),(2 2613.837),(3 3169.4546),(4 3519.2625),(5 3707.4458),(6 3778.7969),(7 3916.4746),(8 4081.393),(9 4092.4116),(10 4115.3677),(11 4044.9878),(12 3997.873),(13 3954.1172),(14 3861.252),(15 3834.5686),(16 3817.8547),(17 3839.9326),(18 3815.1877),(19 3856.513),(20 3908.072),(21 3950.993),(22 4006.3298),(23 4115.822),(24 4124.1724),(25 4129.2017),(26 4173.1494),(27 4172.926),(28 4213.8955),(29 4205.2144),(30 4232.553),(31 4232.4717),(32 4236.4077),(33 4272.2256),(34 4300.4766),(35 4365.4907),(36 4398.0205),(37 4441.2827),(38 4547.957),(39 4505.512),(40 4437.5474),(41 4386.6016),(42 4342.2427),(43 4336.873),(44 4274.065),(45 4246.24),(46 4222.6914),(47 4191.071),(48 4188.1216),(49 4196.4917),(50 4203.4966),(51 4198.079),(52 4200.1997),(53 4293.492),(54 4262.146),(55 4245.0967),(56 4230.1816),(57 4210.988),(58 4227.707),(59 4151.8213),(60 4115.345),(61 4064.2903),(62 4062.5823),(63 4121.27),(64 4103.289),(65 4136.552),(66 4153.648),(67 4166.456),(68 4256.2383),(69 4299.139),(70 4333.2075),(71 4302.8735),(72 4305.2744),(73 4282.169),(74 4249.7217),(75 4291.8228),(76 4295.166),(77 4286.838),(78 4318.4946),(79 4340.0874),
(1 1732.3652),(2 2595.7554),(3 3152.349),(4 3519.992),(5 3704.0283),(6 3841.253),(7 3948.422),(8 4164.7646),(9 4188.1353),(10 4143.9595),(11 4083.9502),(12 4039.1943),(13 3956.04),(14 3905.7302),(15 3876.8894),(16 3862.4907),(17 3854.592),(18 3848.8298),(19 3839.2202),(20 3848.4937),(21 3930.2886),(22 4011.0786),(23 4155.218),(24 4161.585),(25 4191.585),(26 4193.418),(27 4216.484),(28 4213.6763),(29 4189.5947),(30 4192.38),(31 4174.1895),(32 4229.15),(33 4254.8647),(34 4300.721),(35 4377.782),(36 4356.478),(37 4334.143),(38 4393.3677),(39 4361.312),(40 4321.886),(41 4297.4653),(42 4253.5835),(43 4213.2173),(44 4187.2827),(45 4172.1104),(46 4174.1895),(47 4205.3335),(48 4215.518),(49 4168.271),(50 4167.106),(51 4168.0854),(52 4158.0176),(53 4241.447),(54 4198.841),(55 4195.445),(56 4172.7056),(57 4187.165),(58 4177.278),(59 4117.5693),(60 4103.96),(61 4101.63),(62 4149.6387),(63 4148.104),(64 4137.7036),(65 4161.175),(66 4190.677),(67 4173.383),(68 4233.6113),(69 4278.283),(70 4280.057),(71 4262.1147),(72 4258.4844),(73 4263.2534),(74 4218.282),(75 4241.5293),(76 4240.1904),(77 4249.234),(78 4218.994),(79 4238.0996),
(1 1712.3524),(2 2571.1958),(3 3143.7744),(4 3543.9854),(5 3754.3748),(6 3875.8281),(7 3990.2466),(8 4202.879),(9 4259.8413),(10 4268.394),(11 4171.204),(12 4085.5051),(13 4003.5115),(14 3927.1104),(15 3888.1936),(16 3862.5488),(17 3795.5454),(18 3809.915),(19 3797.1072),(20 3852.6553),(21 3930.2793),(22 3997.0977),(23 4117.4824),(24 4094.371),(25 4083.868),(26 4120.8125),(27 4166.8765),(28 4167.117),(29 4153.855),(30 4151.837),(31 4152.2363),(32 4182.8984),(33 4250.2764),(34 4273.57),(35 4319.804),(36 4325.7563),(37 4316.349),(38 4392.2573),(39 4365.9883),(40 4322.502),(41 4256.6875),(42 4219.5317),(43 4185.839),(44 4161.633),(45 4203.001),(46 4241.269),(47 4262.5923),(48 4270.1987),(49 4252.175),(50 4281.679),(51 4305.3027),(52 4237.7764),(53 4332.403),(54 4266.0283),(55 4206.8516),(56 4158.5938),(57 4141.0415),(58 4128.8154),(59 4077.725),(60 4027.4832),(61 4036.5505),(62 4041.1094),(63 4035.9548),(64 4037.9177),(65 4071.807),(66 4098.252),(67 4103.0205),(68 4197.1455),(69 4229.824),(70 4255.839),(71 4253.8813),(72 4233.322),(73 4238.1943),(74 4167.78),(75 4208.861),(76 4203.5747),(77 4187.899),(78 4151.157),(79 4138.6343),
(1 1673.9373),(2 2544.3572),(3 3096.5447),(4 3498.2754),(5 3671.5684),(6 3790.1023),(7 3923.652),(8 4148.9917),(9 4198.425),(10 4155.2065),(11 4050.2573),(12 3954.8423),(13 3884.0083),(14 3800.8289),(15 3777.6309),(16 3801.545),(17 3774.3289),(18 3805.8445),(19 3832.6619),(20 3893.6743),(21 3952.6877),(22 4021.3743),(23 4126.8813),(24 4091.717),(25 4084.4211),(26 4070.5732),(27 4060.0803),(28 4099.88),(29 4070.719),(30 4080.622),(31 4094.771),(32 4111.0693),(33 4145.992),(34 4172.464),(35 4220.027),(36 4244.115),(37 4217.833),(38 4272.7603),(39 4231.858),(40 4199.336),(41 4170.708),(42 4132.038),(43 4103.639),(44 4072.528),(45 4042.9456),(46 4040.4375),(47 4041.324),(48 4036.775),(49 4029.4805),(50 4060.9102),(51 4036.0117),(52 4006.1846),(53 4095.5762),(54 4024.74),(55 4008.0308),(56 3999.497),(57 3974.241),(58 3988.6028),(59 3947.7795),(60 3945.8215),(61 3958.913),(62 3968.727),(63 3982.846),(64 4011.0334),(65 4079.924),(66 4092.0208),(67 4104.7734),(68 4184.242),(69 4177.4893),(70 4164.5337),(71 4111.8096),(72 4132.7783),(73 4118.094),(74 4077.7988),(75 4105.459),(76 4084.4683),(77 4085.2603),(78 4075.3977),(79 4056.0151),
(1 1623.9106),(2 2391.169),(3 2915.098),(4 3223.3445),(5 3403.4453),(6 3555.3315),(7 3665.2122),(8 3889.4412),(9 3953.5266),(10 3939.1204),(11 3874.452),(12 3831.0078),(13 3765.7937),(14 3706.7578),(15 3647.2505),(16 3658.913),(17 3609.7341),(18 3618.0679),(19 3656.9285),(20 3691.284),(21 3770.852),(22 3817.662),(23 3971.3633),(24 3955.729),(25 3927.4956),(26 3950.3154),(27 3919.6711),(28 3918.7869),(29 3895.8875),(30 3898.4033),(31 3903.0088),(32 3913.5762),(33 3949.6885),(34 3968.7952),(35 3978.718),(36 4006.369),(37 3984.7957),(38 4040.3933),(39 3981.3875),(40 3892.476),(41 3851.0527),(42 3839.3188),(43 3809.289),(44 3788.5835),(45 3766.8223),(46 3769.7598),(47 3811.698),(48 3827.2473),(49 3812.5986),(50 3821.2),(51 3808.5547),(52 3761.3083),(53 3826.7869),(54 3749.3572),(55 3789.4846),(56 3811.4622),(57 3805.1035),(58 3783.8118),(59 3752.594),(60 3754.6504),(61 3776.3638),(62 3809.0774),(63 3862.1245),(64 3854.652),(65 3870.766),(66 3878.4407),(67 3900.7952),(68 3933.288),(69 3949.671),(70 3965.1758),(71 3971.7864),(72 3964.1482),(73 3921.7302),(74 3908.9739),(75 3952.8586),(76 3933.8372),(77 3940.9048),(78 3937.3208),(79 3979.6355),
(1 1596.5192),(2 2361.1465),(3 2860.7822),(4 3211.1),(5 3379.203),(6 3550.5222),(7 3661.3157),(8 3898.0334),(9 3936.9978),(10 3941.9978),(11 3882.7646),(12 3845.985),(13 3763.4407),(14 3726.3384),(15 3674.6594),(16 3625.9944),(17 3556.0938),(18 3551.7498),(19 3578.06),(20 3618.2568),(21 3680.82),(22 3769.57),(23 3884.5273),(24 3906.1956),(25 3959.3848),(26 3984.0212),(27 3993.505),(28 4008.9521),(29 3956.562),(30 3939.855),(31 3969.5056),(32 3996.7744),(33 4024.0417),(34 4070.8682),(35 4116.698),(36 4162.002),(37 4139.8223),(38 4213.8125),(39 4128.151),(40 4092.508),(41 4070.1829),(42 4056.3362),(43 4057.0347),(44 4036.6206),(45 4003.7156),(46 3988.6497),(47 3978.8513),(48 3967.078),(49 3947.4277),(50 3965.1162),(51 3967.8535),(52 3939.8445),(53 3978.117),(54 3943.762),(55 3961.5034),(56 3936.041),(57 3921.0535),(58 3925.1467),(59 3892.4207),(60 3860.018),(61 3857.8867),(62 3900.7366),(63 3948.3435),(64 3954.356),(65 3961.9822),(66 3981.1365),(67 4000.6155),(68 4046.8357),(69 4043.0469),(70 4025.58),(71 3982.4429),(72 3997.1987),(73 3986.241),(74 3970.6804),(75 3993.2266),(76 3981.8132),(77 4008.2695),(78 4008.7197),(79 4027.992),
(1 1549.6947),(2 2320.898),(3 2779.8904),(4 3055.1785),(5 3213.8174),(6 3355.5928),(7 3490.035),(8 3723.2253),(9 3764.6714),(10 3731.3323),(11 3679.3298),(12 3652.0173),(13 3619.6008),(14 3574.7268),(15 3543.3706),(16 3543.7766),(17 3486.9705),(18 3447.5334),(19 3494.4158),(20 3533.642),(21 3580.985),(22 3631.2007),(23 3739.9465),(24 3777.0017),(25 3787.5144),(26 3847.612),(27 3823.2961),(28 3847.021),(29 3797.398),(30 3770.5186),(31 3799.0957),(32 3859.978),(33 3895.797),(34 3952.6929),(35 3988.6863),(36 4022.8008),(37 4021.3035),(38 4067.8801),(39 4013.5618),(40 3972.2),(41 3949.7947),(42 3963.1729),(43 3957.9788),(44 3930.8325),(45 3897.2893),(46 3878.031),(47 3881.5837),(48 3862.589),(49 3877.1753),(50 3880.9802),(51 3922.1877),(52 3932.232),(53 4008.612),(54 3953.5244),(55 3937.231),(56 3874.3691),(57 3840.1643),(58 3820.39),(59 3784.4165),(60 3731.949),(61 3715.2446),(62 3757.6743),(63 3818.4233),(64 3815.2795),(65 3843.0579),(66 3823.7139),(67 3831.786),(68 3870.5935),(69 3894.0369),(70 3863.769),(71 3864.7769),(72 3882.9),(73 3890.0276),(74 3858.3545),(75 3831.0864),(76 3845.0703),(77 3844.5857),(78 3836.1807),(79 3865.5752),
(1 1574.1),(2 2304.289),(3 2775.4849),(4 3094.3423),(5 3331.3853),(6 3516.9387),(7 3662.1533),(8 3888.5293),(9 3922.9548),(10 3929.1558),(11 3871.064),(12 3852.9377),(13 3773.9194),(14 3662.0884),(15 3597.434),(16 3544.875),(17 3475.6282),(18 3413.3896),(19 3428.1726),(20 3484.0867),(21 3541.8904),(22 3577.2776),(23 3704.441),(24 3764.5154),(25 3832.791),(26 3875.506),(27 3885.5867),(28 3897.1982),(29 3881.4749),(30 3892.3206),(31 3914.062),(32 3943.3035),(33 3968.504),(34 4000.0989),(35 4073.553),(36 4083.3315),(37 4036.6372),(38 4106.6855),(39 4084.4814),(40 4042.9858),(41 4029.5632),(42 4002.7983),(43 4004.4087),(44 3985.3157),(45 3991.14),(46 4027.59),(47 4005.8198),(48 4014.56),(49 4005.0913),(50 4000.265),(51 4009.3127),(52 3974.571),(53 4061.4448),(54 3993.7524),(55 3965.4563),(56 3907.6326),(57 3887.5552),(58 3844.5361),(59 3804.7212),(60 3752.5388),(61 3760.694),(62 3735.1216),(63 3751.7751),(64 3784.011),(65 3801.382),(66 3801.143),(67 3763.9272),(68 3806.9983),(69 3834.399),(70 3842.8618),(71 3862.3552),(72 3891.3567),(73 3893.6272),(74 3900.3086),(75 3891.7053),(76 3919.8496),(77 3917.323),(78 3919.2375),(79 3920.6582),
(1 1525.2644),(2 2249.7625),(3 2714.6355),(4 3012.7583),(5 3182.9084),(6 3311.468),(7 3434.916),(8 3643.05),(9 3688.7935),(10 3707.177),(11 3629.1514),(12 3552.4185),(13 3479.7778),(14 3384.3865),(15 3300.7346),(16 3290.9294),(17 3238.97),(18 3223.8877),(19 3261.9636),(20 3346.8665),(21 3410.4326),(22 3469.3472),(23 3596.3367),(24 3598.106),(25 3622.7278),(26 3650.8032),(27 3649.085),(28 3653.4207),(29 3665.6768),(30 3684.5947),(31 3693.5974),(32 3725.645),(33 3758.3435),(34 3802.6177),(35 3849.7578),(36 3873.2212),(37 3863.0186),(38 3906.46),(39 3862.4587),(40 3817.785),(41 3810.7927),(42 3803.116),(43 3803.8257),(44 3786.2927),(45 3792.5154),(46 3775.1882),(47 3800.2126),(48 3802.6794),(49 3774.4827),(50 3775.747),(51 3748.424),(52 3700.5532),(53 3767.5498),(54 3716.8218),(55 3687.4338),(56 3670.1777),(57 3651.9392),(58 3623.9832),(59 3623.8228),(60 3592.1775),(61 3568.5405),(62 3537.0508),(63 3545.5732),(64 3558.6646),(65 3592.683),(66 3593.9507),(67 3613.1008),(68 3656.862),(69 3646.7349),(70 3663.4688),(71 3662.007),(72 3668.2803),(73 3646.1855),(74 3635.3523),(75 3654.9233),(76 3700.84),(77 3738.5837),(78 3745.43),(79 3774.2651),
(1 1486.7032),(2 2212.7346),(3 2646.6582),(4 2953.0276),(5 3120.3225),(6 3226.3237),(7 3394.4885),(8 3611.623),(9 3672.2283),(10 3682.7896),(11 3649.774),(12 3581.7666),(13 3485.5295),(14 3382.2673),(15 3321.3308),(16 3331.0154),(17 3277.167),(18 3250.191),(19 3276.2253),(20 3299.2644),(21 3356.2114),(22 3421.6033),(23 3521.1038),(24 3548.172),(25 3553.1895),(26 3583.065),(27 3601.2249),(28 3599.422),(29 3596.309),(30 3612.5635),(31 3647.3032),(32 3655.8547),(33 3668.4658),(34 3718.0156),(35 3732.6619),(36 3703.5237),(37 3677.2869),(38 3784.5217),(39 3716.002),(40 3721.0693),(41 3702.3025),(42 3686.8054),(43 3696.1843),(44 3662.9817),(45 3667.5654),(46 3689.439),(47 3681.1611),(48 3679.182),(49 3674.4336),(50 3707.7988),(51 3705.0183),(52 3717.0342),(53 3752.5522),(54 3733.2622),(55 3718.4626),(56 3702.9465),(57 3662.9585),(58 3662.9915),(59 3619.8499),(60 3589.9128),(61 3607.184),(62 3605.1755),(63 3593.6877),(64 3610.3914),(65 3586.2327),(66 3577.3186),(67 3596.4385),(68 3673.8042),(69 3691.8965),(70 3702.087),(71 3684.8708),(72 3649.7332),(73 3613.4485),(74 3595.3894),(75 3625.5972),(76 3641.589),(77 3655.2114),(78 3667.8638),(79 3668.7607),
(1 1478.5679),(2 2203.4915),(3 2651.8652),(4 2987.056),(5 3177.9346),(6 3347.0515),(7 3507.0544),(8 3712.289),(9 3758.5134),(10 3767.3472),(11 3679.854),(12 3618.472),(13 3545.0881),(14 3399.046),(15 3331.87),(16 3308.441),(17 3263.8176),(18 3248.9893),(19 3287.6597),(20 3338.3508),(21 3396.0583),(22 3423.834),(23 3518.632),(24 3541.0735),(25 3543.5513),(26 3565.2717),(27 3567.6777),(28 3561.57),(29 3541.9841),(30 3537.5337),(31 3575.803),(32 3589.0698),(33 3585.8474),(34 3633.026),(35 3684.279),(36 3700.9507),(37 3645.7102),(38 3749.8972),(39 3708.206),(40 3680.8357),(41 3673.7751),(42 3659.121),(43 3632.6467),(44 3608.4277),(45 3604.2764),(46 3631.198),(47 3621.4407),(48 3624.1353),(49 3616.18),(50 3637.252),(51 3653.418),(52 3659.1567),(53 3729.1763),(54 3682.4133),(55 3658.16),(56 3634.9832),(57 3581.6248),(58 3605.3108),(59 3565.1423),(60 3539.6606),(61 3543.7212),(62 3568.101),(63 3581.2734),(64 3621.4963),(65 3664.897),(66 3652.8677),(67 3660.3699),(68 3732.9487),(69 3720.287),(70 3763.1396),(71 3721.1555),(72 3692.081),(73 3667.298),(74 3636.292),(75 3645.5742),(76 3676.9253),(77 3684.3765),(78 3686.6826),(79 3697.1895),
(1 1434.638),(2 2110.0237),(3 2484.0461),(4 2761.5725),(5 2897.9963),(6 3012.1885),(7 3150.4905),(8 3350.7632),(9 3377.6003),(10 3400.818),(11 3355.9084),(12 3326.4033),(13 3291.008),(14 3222.3547),(15 3197.5388),(16 3194.509),(17 3146.1504),(18 3130.24),(19 3100.5803),(20 3116.6372),(21 3168.0144),(22 3223.3894),(23 3297.3171),(24 3334.182),(25 3321.469),(26 3332.5166),(27 3337.4072),(28 3346.2158),(29 3307.0552),(30 3314.6023),(31 3353.5789),(32 3364.9673),(33 3387.4556),(34 3426.1401),(35 3465.0967),(36 3514.062),(37 3511.32),(38 3608.1873),(39 3535.3174),(40 3475.6768),(41 3467.6472),(42 3454.4631),(43 3461.8704),(44 3412.4097),(45 3436.435),(46 3455.8352),(47 3451.0771),(48 3440.6492),(49 3437.4587),(50 3442.5562),(51 3411.7805),(52 3398.4983),(53 3450.4324),(54 3382.3054),(55 3360.732),(56 3339.8462),(57 3287.3687),(58 3280.6692),(59 3282.379),(60 3270.35),(61 3280.7268),(62 3335.9712),(63 3348.6372),(64 3336.6584),(65 3395.9724),(66 3367.6406),(67 3398.6013),(68 3507.0923),(69 3521.174),(70 3539.029),(71 3541.2778),(72 3586.9338),(73 3532.6396),(74 3494.1563),(75 3469.7705),(76 3494.6262),(77 3494.2542),(78 3482.294),(79 3497.4548),
