1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11139.376),(2 27110.111),(3 55895.656),(4 81839.77),(5 115388.875),(6 150645.05),(7 190865.3),(8 227958.19),(9 266554.6),(10 302640.5),(11 343358.72),(12 380398),(13 416017.5),(14 449194.34),(15 479863.9),(16 506864.6),(17 535514.3),(18 562090.8),(19 592003.06),(20 623467.94),(21 659142.8),(22 703912.25),(23 749317.94),(24 794359.2),(25 846421.94),(26 891227.5),(27 950136.8),(28 1005395.8),(29 1065594.4),(30 1126107),(31 1194268.5),(32 1267982.3),(33 1332741.3),(34 1407257.9),(35 1490369.5),(36 1575377.6),(37 1651979.5),(38 1733344.6),(39 1822423),(40 1899700.1),(41 1980113),(42 2064823.4),(43 2144068),(44 2211537.3),(45 2282131),(46 2359014.8),(47 2435886),(48 2514311.8),(49 2593484.8),(50 2675003),(51 2760443.3),(52 2841105),(53 2932487),(54 3040526.8),(55 3156727.8),(56 3278333.3),(57 3399166),(58 3511707.3),(59 3629594),(60 3744050.8),(61 3884397),(62 4019796),(63 4168191.3),(64 4309481.5),(65 4459714.5),(66 4598952),(67 4708656.5),(68 4822058.5),(69 4938188),(70 5089210.5),(71 5234998.5),(72 5380228.5),(73 5544486.5),(74 5703176),(75 5850222),(76 5978340),(77 6124754.5),(78 6266593.5),(79 6400180),
(1 9323.415),(2 29447.738),(3 51409.477),(4 69129.18),(5 80225.9),(6 84647.21),(7 84885.49),(8 83795.07),(9 83444.63),(10 85281.48),(11 87866.85),(12 90869.3),(13 94029.88),(14 96606.75),(15 97092.305),(16 96313.64),(17 94683.234),(18 92933.22),(19 92263.82),(20 92558.695),(21 93608.555),(22 95480.63),(23 96021.64),(24 94408.99),(25 92231.29),(26 90689.805),(27 89684.555),(28 89095),(29 89198.03),(30 90182.11),(31 91379.664),(32 91854.1),(33 91632.805),(34 91875.33),(35 92746.81),(36 92936.66),(37 92461.25),(38 91760.71),(39 90545.63),(40 89316.77),(41 89795.62),(42 90950.98),(43 92037.88),(44 93902.83),(45 95477.15),(46 95685.94),(47 95448.81),(48 95601.25),(49 95751.83),(50 95638.96),(51 95787.766),(52 94995.96),(53 94884.14),(54 95419.125),(55 96402.18),(56 97176.516),(57 97863.86),(58 98022.96),(59 97818.336),(60 97273.22),(61 96650.7),(62 96189.95),(63 96813.68),(64 97915.81),(65 99230.914),(66 99440.75),(67 99085.66),(68 97598.414),(69 96162.77),(70 95717.52),(71 96227.1),(72 96699.9),(73 97005.11),(74 98015.84),(75 98749.125),(76 99438.49),(77 99682.97),(78 99386.195),(79 99318.71),
(1 8913.069),(2 27779.219),(3 47574.145),(4 62859.094),(5 71947.79),(6 75176.625),(7 74457.13),(8 73008.07),(9 73618.63),(10 75757.9),(11 78531.29),(12 81429.99),(13 83829.234),(14 86195.1),(15 87202.375),(16 87307.13),(17 86265.23),(18 85042.33),(19 84966.45),(20 85355.61),(21 86496.09),(22 86970.58),(23 86218.27),(24 84980.17),(25 83398.79),(26 81121.23),(27 79714.99),(28 79841.44),(29 81003.32),(30 82737.61),(31 84371.37),(32 84931.805),(33 85411.15),(34 86388.29),(35 86847.96),(36 86297.375),(37 84918.83),(38 83442.67),(39 82896.69),(40 83322.31),(41 83518.6),(42 82765.65),(43 81999.32),(44 82725.51),(45 84529.51),(46 86862.29),(47 89106.984),(48 90959.08),(49 91660.41),(50 91014.79),(51 89946.125),(52 89125.51),(53 88856.83),(54 89086.375),(55 89600.96),(56 89421.51),(57 88942.625),(58 89484.164),(59 90970.125),(60 92121.586),(61 93800.72),(62 95373.695),(63 96498.09),(64 97143.36),(65 96951.44),(66 95687.266),(67 94311.56),(68 93824.445),(69 93135.82),(70 92793.5),(71 92767.67),(72 92895.81),(73 92811.125),(74 93343.5),(75 94395.79),(76 94565.11),(77 94174.91),(78 93306.87),(79 92392.47),
(1 8929.292),(2 27613.291),(3 47372.78),(4 62038.504),(5 69842.484),(6 72139.03),(7 71340.87),(8 69806.664),(9 69304.305),(10 70752.336),(11 73554.05),(12 77004.625),(13 79727.59),(14 82165.88),(15 83646.984),(16 84237.17),(17 83545.91),(18 81880.64),(19 81058.62),(20 81594.85),(21 82682.63),(22 83845.59),(23 84120.56),(24 83539.06),(25 82319.05),(26 81702.58),(27 81164.61),(28 80791.97),(29 81274.586),(30 82232.72),(31 82750.31),(32 83404.91),(33 83772.375),(34 83571.48),(35 82129.15),(36 80161.49),(37 78034.21),(38 76295.04),(39 76599.04),(40 77327.8),(41 77136.51),(42 76960.53),(43 77669.1),(44 78572.37),(45 80122.82),(46 82069.49),(47 83727.37),(48 85535.77),(49 86372.01),(50 86053.336),(51 85631.21),(52 85528.97),(53 85515.53),(54 85297.84),(55 85063.11),(56 84556.24),(57 84095.25),(58 84724.7),(59 86141.18),(60 87301.53),(61 87169.86),(62 87031.62),(63 86432.86),(64 84977.58),(65 84004.31),(66 83497.664),(67 83528.625),(68 84479.76),(69 85302.82),(70 85342.805),(71 84392.88),(72 83852.9),(73 84261.97),(74 85160.22),(75 86799.195),(76 88292.21),(77 89151.836),(78 88752.85),(79 87830.836),
(1 9154.222),(2 28533.281),(3 48852.53),(4 63724.836),(5 70804.81),(6 72003.664),(7 69653.11),(8 67032.68),(9 65592.27),(10 66651.4),(11 69893.1),(12 73719.664),(13 76580.97),(14 78808.23),(15 80421.6),(16 80945.38),(17 80024.875),(18 79364.54),(19 79784.02),(20 81345),(21 82245.734),(22 82731.35),(23 82612.34),(24 82419.44),(25 81932.44),(26 81544.94),(27 81559.484),(28 81935.25),(29 81749.47),(30 81621.29),(31 81109.766),(32 80274.336),(33 80229.63),(34 81123.71),(35 81756.586),(36 81802.16),(37 80826.95),(38 80358.78),(39 80433.305),(40 79647.08),(41 78670.164),(42 79115.555),(43 81153.15),(44 83818.58),(45 85912.375),(46 87080.27),(47 86751.04),(48 85786.97),(49 84581.414),(50 84192.79),(51 84487.01),(52 85369.805),(53 86102.875),(54 86395.7),(55 85854.4),(56 84603.47),(57 83334.44),(58 82958.445),(59 83779.38),(60 84643.484),(61 84294.36),(62 83214.414),(63 82062.95),(64 80907.94),(65 80138.266),(66 80050.53),(67 79896.47),(68 79857.82),(69 79642.234),(70 80132.14),(71 80831.74),(72 82553.195),(73 83655.086),(74 84212.73),(75 84520.81),(76 84164.71),(77 83724.375),(78 83804.914),(79 84611.64),
(1 8585.792),(2 26595.242),(3 44985.523),(4 58796.875),(5 66582.26),(6 69368.39),(7 68961.92),(8 67736.05),(9 66962.37),(10 67553.24),(11 69346.49),(12 72044.94),(13 74494.73),(14 77380.97),(15 80222.94),(16 81002.11),(17 80227.8),(18 79552.55),(19 79029.32),(20 78096.42),(21 77239.875),(22 76893.85),(23 76617.74),(24 77307.195),(25 78883.67),(26 80792.3),(27 81992.41),(28 82555.76),(29 82283.945),(30 81291.38),(31 79964.43),(32 78832.41),(33 78508.2),(34 77970.89),(35 77282.15),(36 76830.62),(37 77228.805),(38 78303.64),(39 78573.46),(40 77248.22),(41 77233.516),(42 78194.266),(43 79459.01),(44 80518.96),(45 80701.2),(46 80550.516),(47 79714.85),(48 78987.7),(49 78392.18),(50 79151.875),(51 80894.09),(52 82570.49),(53 84294.086),(54 85049.09),(55 85298.055),(56 85523.7),(57 85760.77),(58 86438.24),(59 86516.53),(60 85920.04),(61 84580.38),(62 82640.016),(63 81802.664),(64 81393.82),(65 81582.16),(66 82318.33),(67 81861.086),(68 80994.17),(69 80523.01),(70 81206.09),(71 82154.16),(72 83205.78),(73 83553.62),(74 83896.734),(75 84497.28),(76 84673.55),(77 84807.8),(78 84371.52),(79 83636.664),
(1 8328.927),(2 25854.025),(3 43661.37),(4 56303.38),(5 62604.133),(6 64047.895),(7 63069.24),(8 61653.38),(9 61808.99),(10 63709.152),(11 66585.06),(12 69510.41),(13 71907.1),(14 74079.2),(15 74578.08),(16 73723.086),(17 71882.98),(18 69834.91),(19 68575.88),(20 68934.805),(21 70272.13),(22 71813.9),(23 72289.45),(24 72242.64),(25 72659.91),(26 72888.15),(27 72771.09),(28 73095.8),(29 73094.805),(30 72597.31),(31 72074.3),(32 72209.1),(33 72425.234),(34 72284.164),(35 71902.66),(36 71945.55),(37 72241.266),(38 72837.56),(39 72959.86),(40 72704.195),(41 72150.27),(42 71694.45),(43 72183.03),(44 73204.914),(45 74155.49),(46 74174.016),(47 74087.664),(48 74927.37),(49 76053.73),(50 78250.484),(51 80686.08),(52 81035.42),(53 79990.19),(54 78118.48),(55 75836.586),(56 74463.52),(57 74398.14),(58 76232.27),(59 78247.74),(60 79560.836),(61 79450.03),(62 79219.58),(63 78841.02),(64 78343.95),(65 77473.06),(66 76103.84),(67 75144.305),(68 74822.945),(69 74829.98),(70 75334.07),(71 75948.086),(72 75593.21),(73 75374.48),(74 75500.48),(75 75585.51),(76 76405.055),(77 77305.055),(78 78235.16),(79 78878.69),
(1 8173.4673),(2 24676.2),(3 41548.594),(4 54401.676),(5 61205.39),(6 63555.22),(7 64540.887),(8 65665.34),(9 67321.305),(10 69219.85),(11 71048.914),(12 72419.92),(13 72612.53),(14 71964.67),(15 71275.07),(16 70900.414),(17 71203.016),(18 71717.46),(19 72641.44),(20 73839.32),(21 74873.51),(22 75002.305),(23 74729.836),(24 74032.34),(25 72500.4),(26 71594.914),(27 71500.63),(28 72069.445),(29 72651.78),(30 72822.38),(31 72283.555),(32 71672.79),(33 70626.61),(34 69042.516),(35 68313.69),(36 68669.5),(37 68984),(38 69597.195),(39 69772.74),(40 69732.5),(41 69493.26),(42 69780.01),(43 70696.72),(44 71523.836),(45 72135.24),(46 72372.945),(47 72354.39),(48 72779.92),(49 73729.58),(50 75424.2),(51 77306.27),(52 77756.66),(53 77456.33),(54 77186.83),(55 77978.805),(56 79571.96),(57 80765.57),(58 81547.055),(59 80816.42),(60 80165.73),(61 79659.414),(62 79144.75),(63 78867.61),(64 79030.72),(65 78932.83),(66 78609.16),(67 78177.54),(68 77929.01),(69 77149.484),(70 76925.586),(71 77555.54),(72 77729.58),(73 77732.17),(74 77560.9),(75 77435.984),(76 77421.32),(77 77051.66),(78 76666.805),(79 75754.35),
(1 8287.371),(2 25340.447),(3 42366.38),(4 54277.83),(5 60161.84),(6 61810.43),(7 61894.848),(8 62274.37),(9 63930.766),(10 66299.586),(11 67969.71),(12 68913.22),(13 68117.11),(14 67721.95),(15 66633.01),(16 65593.414),(17 65618.27),(18 66449.89),(19 67804.336),(20 69427.85),(21 70716.21),(22 71281.91),(23 70591.125),(24 69259.08),(25 68165),(26 68083.66),(27 68319.58),(28 69028.69),(29 70145.67),(30 70681.375),(31 70362.125),(32 70163.59),(33 69840.055),(34 69760.91),(35 69956.28),(36 70939.01),(37 72105.61),(38 72909.39),(39 72081.15),(40 71054.79),(41 70535.62),(42 70291.805),(43 70070.695),(44 69905.53),(45 70561.125),(46 71425.33),(47 72947.86),(48 74495.4),(49 75226),(50 75315.44),(51 75245.984),(52 74635.76),(53 74756.625),(54 75482.4),(55 76598.48),(56 77017.45),(57 76774.66),(58 76360.336),(59 75773.95),(60 75218.78),(61 74780.95),(62 75001.33),(63 75738.66),(64 75755.875),(65 75648.625),(66 74781.68),(67 73434.94),(68 72262.375),(69 71271.21),(70 70922.555),(71 70894.21),(72 71983.27),(73 72868.875),(74 72525.58),(75 71447.71),(76 70456.695),(77 69987.77),(78 69477.73),(79 69091.59),
(1 8187.0854),(2 24958.86),(3 41838.277),(4 53780.035),(5 59939.93),(6 62359.44),(7 62793.72),(8 62968.684),(9 64279.934),(10 66200.016),(11 67202.49),(12 67579.336),(13 66326.21),(14 64650.156),(15 63087.746),(16 61902.703),(17 60854.844),(18 60443.535),(19 61395.11),(20 63643.258),(21 65861.984),(22 67532.97),(23 68061.805),(24 67773.3),(25 66490.11),(26 65899.41),(27 65435.492),(28 65501.89),(29 66588.88),(30 67074.984),(31 66742.96),(32 66629.97),(33 66772.87),(34 67123.38),(35 67215.61),(36 67605.88),(37 67740.12),(38 67849.06),(39 68391.336),(40 69575.07),(41 70140.07),(42 70320.32),(43 69447.945),(44 68100.57),(45 67303.67),(46 67817.945),(47 69308.49),(48 71394.555),(49 73290.664),(50 74122.664),(51 73690.38),(52 73002.9),(53 72679.586),(54 72609.266),(55 72626.234),(56 72691.055),(57 72376.59),(58 71364.96),(59 70292.766),(60 69786.3),(61 69697.88),(62 70173.95),(63 71461.51),(64 71937.96),(65 72047.914),(66 70963.56),(67 69155.63),(68 67246.945),(69 65963.195),(70 65221.785),(71 65211.434),(72 66085.1),(73 66698.88),(74 67205.22),(75 66852),(76 65683.13),(77 64146.645),(78 63295.08),(79 63578.125),
(1 8356.701),(2 25511.1),(3 42190.31),(4 52974.914),(5 57624.44),(6 58356.336),(7 57866.8),(8 57916.2),(9 58783.066),(10 60013.51),(11 61147.09),(12 62462.57),(13 63532.645),(14 63911.984),(15 63748.477),(16 62861.445),(17 61909.56),(18 62178.992),(19 63217.863),(20 64753.938),(21 65965.28),(22 66409.06),(23 65931.71),(24 64832.598),(25 63773.16),(26 64111.883),(27 64930.48),(28 65663.18),(29 66337.09),(30 66013.33),(31 65947.99),(32 65996.73),(33 65798.984),(34 66222.836),(35 66839.95),(36 67214.55),(37 67003.9),(38 66375.97),(39 65849.31),(40 66067.54),(41 66434.59),(42 66778.516),(43 67337.46),(44 67790.984),(45 68262.66),(46 68987.055),(47 69627.41),(48 70501.51),(49 70959.58),(50 70944.41),(51 70996.55),(52 71894.91),(53 72813.945),(54 73122.25),(55 72842.586),(56 71535.49),(57 69711.234),(58 68505.26),(59 68252.21),(60 68713.75),(61 69550.89),(62 69734.61),(63 69281.62),(64 68174.664),(65 66693.055),(66 65156.11),(67 64358.16),(68 64280.887),(69 64465.043),(70 64578.383),(71 64639.03),(72 65322.945),(73 66395.06),(74 67564.47),(75 68631.19),(76 68703.73),(77 67503.92),(78 66320.82),(79 65285.145),
(1 8438.258),(2 25820.818),(3 43039.535),(4 54118.836),(5 59088.832),(6 60357.133),(7 60150.184),(8 60581.33),(9 62031.85),(10 63441.535),(11 64390.492),(12 65021.945),(13 65461.52),(14 65459.895),(15 65598.56),(16 65040.836),(17 63651.477),(18 62333.043),(19 61516.91),(20 61490.83),(21 61811.89),(22 62961.59),(23 63396.52),(24 62860.125),(25 61572.063),(26 60333.043),(27 59677.883),(28 60037.01),(29 60588.613),(30 60678.074),(31 61018.254),(32 60833.668),(33 60930.63),(34 61465.355),(35 62054.89),(36 62963.54),(37 63907.652),(38 65120.21),(39 66666.63),(40 68123.29),(41 69204.56),(42 70093.21),(43 70402.42),(44 69852.08),(45 69302.56),(46 69759.75),(47 69870.98),(48 69348.88),(49 68452.69),(50 67835.85),(51 68160.9),(52 69102.97),(53 70026.59),(54 70000.125),(55 69619.14),(56 69231.625),(57 68656.7),(58 69012.63),(59 69518.7),(60 70052.5),(61 70552.54),(62 71005.89),(63 70399.57),(64 69325.86),(65 67783.78),(66 67258.54),(67 67864.85),(68 68794.19),(69 69345.1),(70 69351.195),(71 68738.48),(72 68267.984),(73 68200.67),(74 68725.2),(75 69635.74),(76 70066.31),(77 69690.625),(78 68735.36),(79 67687.69),
(1 7841.9307),(2 23555.201),(3 38909.984),(4 50174.51),(5 57033.61),(6 59881.89),(7 60637.06),(8 60804.684),(9 61213.62),(10 61710.773),(11 62558.63),(12 63840.74),(13 64980.496),(14 65549.125),(15 65262.754),(16 64103.52),(17 63512.19),(18 63507.99),(19 64069.586),(20 64667.69),(21 64964.414),(22 65280.016),(23 64983.67),(24 64720.223),(25 64490.125),(26 63654.367),(27 62567.63),(28 62179.61),(29 62366.184),(30 63179.684),(31 64425.37),(32 64975.6),(33 65404.625),(34 65187.523),(35 64383.492),(36 63494.504),(37 62807.867),(38 62864.992),(39 64306.637),(40 66005.38),(41 67878.74),(42 69311.805),(43 69143.76),(44 67730.08),(45 66423.85),(46 65937.516),(47 65630.41),(48 65571.125),(49 65940.46),(50 66210.664),(51 66865.49),(52 67461.44),(53 68757.97),(54 69896.35),(55 70266.59),(56 70173.65),(57 69233.71),(58 68220.91),(59 68184.68),(60 68957.52),(61 69783.13),(62 70351.9),(63 69832.56),(64 69152.53),(65 68552.836),(66 68303.82),(67 68457.42),(68 69468.65),(69 70816.52),(70 71507.48),(71 72103.29),(72 71547.29),(73 70213.09),(74 69010.43),(75 68449.92),(76 68692.99),(77 69059.8),(78 69457.09),(79 69491.48),
(1 7682.6934),(2 23218.025),(3 37854.91),(4 47716.77),(5 52988.867),(6 54737.707),(7 55948.188),(8 57491.117),(9 58867.15),(10 59572.66),(11 60381.25),(12 60967.254),(13 60566.63),(14 59507.816),(15 58341.234),(16 57415.324),(17 57489.227),(18 58294.25),(19 58834.33),(20 58249.867),(21 56938.367),(22 56416.324),(23 56235.617),(24 57188.742),(25 58671.95),(26 59335.875),(27 59483.38),(28 59415.2),(29 59197.617),(30 58723.65),(31 58896.168),(32 59617.06),(33 59817.777),(34 59934.96),(35 59890.082),(36 60222.19),(37 60057.496),(38 60137.234),(39 60565.676),(40 60975.734),(41 61573.86),(42 61775.535),(43 61307.875),(44 61485.645),(45 62005.19),(46 62749.14),(47 63024.88),(48 62912.73),(49 62541.06),(50 61193.277),(51 60085.695),(52 59785.977),(53 59877.887),(54 59704.56),(55 59939.3),(56 60351.73),(57 60873.25),(58 62252.477),(59 63965.203),(60 65633.99),(61 65834.64),(62 65039.02),(63 63675.758),(64 61922.91),(65 61122.293),(66 61181.957),(67 61558.645),(68 62509.64),(69 63136.65),(70 63603.133),(71 63841.477),(72 63279.234),(73 62832.8),(74 62896.363),(75 62882.15),(76 62556.574),(77 61741.934),(78 60660.965),(79 60293.5),
(1 7793.006),(2 23757.623),(3 39173.28),(4 48448.66),(5 52019.336),(6 52338.582),(7 52389.23),(8 52744.176),(9 53046.77),(10 54490.41),(11 55990.89),(12 57051.754),(13 57181.414),(14 56577.12),(15 55925.33),(16 55622.938),(17 55834.813),(18 55618.855),(19 54905.906),(20 54150.023),(21 53738.176),(22 53718.17),(23 54041.332),(24 54451.42),(25 54816.363),(26 55021.387),(27 55060.613),(28 55304.03),(29 55773.668),(30 56437.063),(31 57463.7),(32 58870.008),(33 59833.09),(34 60086.992),(35 60208.563),(36 60083.496),(37 59708.555),(38 58631.85),(39 57481.55),(40 57220.727),(41 57530.883),(42 57862.88),(43 58466.3),(44 59046.582),(45 58871.008),(46 58196.746),(47 57558.297),(48 57404.97),(49 57330.316),(50 57182.11),(51 57915.984),(52 58342.35),(53 58190.96),(54 57477.49),(55 57858.89),(56 58519.406),(57 58893.52),(58 58937.46),(59 59175.414),(60 59942.547),(61 60630.953),(62 61314.227),(63 61983.81),(64 62546.484),(65 63171.336),(66 62873.58),(67 62730.21),(68 62927.99),(69 63596.24),(70 64182.594),(71 63830.35),(72 62422.555),(73 61384.984),(74 60891.39),(75 60247.77),(76 59743.844),(77 59070.508),(78 58348.58),(79 57800.098),
(1 7681.9443),(2 23459.043),(3 38284.516),(4 46969.906),(5 50030.406),(6 50113.133),(7 49953.863),(8 49816.094),(9 50719.543),(10 52528.324),(11 53862.402),(12 53842.1),(13 53092.36),(14 52642.805),(15 52380.07),(16 52623.87),(17 53130.21),(18 53261.223),(19 52593.734),(20 52438.797),(21 52743.684),(22 53402.605),(23 53926.727),(24 54261.99),(25 53762.37),(26 53252.598),(27 52814.047),(28 53168.08),(29 54011.984),(30 54513.29),(31 54885.023),(32 55169.23),(33 55378.203),(34 55643.973),(35 55780.133),(36 55991.535),(37 56062.055),(38 56142.82),(39 56078.496),(40 56398.125),(41 56079.22),(42 55481.832),(43 55840),(44 56450.19),(45 56761.246),(46 57175.37),(47 57704.5),(48 58684.664),(49 58950.3),(50 58844.668),(51 58947.44),(52 58507.152),(53 57626.258),(54 56920.457),(55 56987.523),(56 57029.504),(57 57000.473),(58 57689.42),(59 57818.03),(60 57829.547),(61 57700.97),(62 57357.69),(63 57175.93),(64 57323.82),(65 57239.742),(66 57872.41),(67 59080.83),(68 60603.254),(69 61417.41),(70 61518.402),(71 61043.758),(72 60329.184),(73 59281.684),(74 58825.39),(75 59189.543),(76 59853.535),(77 60342.406),(78 60207.133),(79 59524.293),
(1 7579.5894),(2 22683.898),(3 37250.195),(4 46323.29),(5 49660.848),(6 49750.918),(7 49579.418),(8 50232.01),(9 51622.05),(10 53135.574),(11 54544.11),(12 54951.39),(13 54524.066),(14 54221.39),(15 54399.043),(16 54963.125),(17 55701.508),(18 55956.383),(19 56015.77),(20 55694.793),(21 55234.125),(22 55035.457),(23 55004.363),(24 54759.89),(25 54313.293),(26 53968.81),(27 53616.926),(28 53589.773),(29 53670.617),(30 54088.203),(31 54828.066),(32 55194.3),(33 54845.84),(34 54413.883),(35 53875.125),(36 53825.805),(37 53911.21),(38 53617.19),(39 53385.434),(40 53105.29),(41 52635.65),(42 51996.1),(43 52423.527),(44 53632.695),(45 54633.457),(46 54932.457),(47 54668.777),(48 54245.035),(49 53654.58),(50 53304.258),(51 52746.434),(52 51843.61),(53 51651.8),(54 52531.92),(55 53781.64),(56 55117.258),(57 56732.082),(58 57925.434),(59 57985.875),(60 57675.336),(61 56930.01),(62 55956.98),(63 55254.152),(64 54838.074),(65 54209.664),(66 53687.31),(67 53699.516),(68 54518.008),(69 55043.293),(70 55378.965),(71 54936.582),(72 54172.45),(73 53590.484),(74 53799.582),(75 54276.81),(76 54887.563),(77 55916.332),(78 57172.805),(79 58300.707),
(1 7435.467),(2 22322.602),(3 36553.363),(4 44767.1),(5 47428.047),(6 47070.207),(7 46319.535),(8 46176.09),(9 46695.605),(10 48119.656),(11 49895.746),(12 50994.27),(13 51193.82),(14 50755.875),(15 50581.97),(16 50547.51),(17 50819.04),(18 50857.055),(19 49879.844),(20 48894.56),(21 48835.086),(22 49337.06),(23 50202.72),(24 51321.07),(25 52158.023),(26 52372.902),(27 52558.37),(28 52313.008),(29 52197.22),(30 53081.27),(31 54740.316),(32 55838.977),(33 56072.598),(34 55638.83),(35 54655.992),(36 53720.734),(37 53305.86),(38 53052.72),(39 52285.37),(40 51360.445),(41 50349.1),(42 49941.477),(43 50816.63),(44 51649.582),(45 51770.195),(46 51172.17),(47 50572.914),(48 50244.004),(49 50567.668),(50 51021.48),(51 51114.77),(52 50880.527),(53 50518.367),(54 50449.99),(55 51188.203),(56 52749.94),(57 54136.133),(58 55600.656),(59 56015.098),(60 55725.402),(61 55143.664),(62 55008.113),(63 55510.945),(64 55557.71),(65 55512.535),(66 55329.55),(67 55168.426),(68 54985.88),(69 55110.59),(70 56083.83),(71 56910.203),(72 56968.34),(73 56845.527),(74 56764.508),(75 56862.625),(76 57316.723),(77 56974.215),(78 56416.668),(79 56116.86),
