1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 2099562.5),(2 3934906.3),(3 4135792),(4 4615686.5),(5 4934707.5),(6 5257469.5),(7 5818194.5),(8 6296613.5),(9 6634298),(10 6858849.5),(11 7015951.5),(12 7083268),(13 7183506.5),(14 7257176),(15 7370362.5),(16 7706874.5),(17 7757478),(18 7556949.5),(19 7558800),(20 7908662.5),(21 7842208.5),(22 8077409.5),(23 8308986.5),(24 7978826),(25 7629736),(26 7604262),(27 7973329.5),(28 8320749.5),(29 8571243),(30 8918161),(31 9392435),(32 9471265),(33 9407168),(34 9369650),(35 9657333),(36 9874188),(37 9997038),(38 10282920),(39 10713539),(40 11399413),(41 11908584),(42 11849557),(43 11957349),(44 12551593),(45 12580376),(46 12632459),(47 12774907),(48 12407261),(49 12120243),(50 11663152),(51 10742972),(52 10571957),(53 10485858),(54 10576433),(55 10515439),(56 10937867),(57 11396472),(58 12048293),(59 12636532),(60 12934048),(61 35161104),(62 45162748),(63 32456400),(64 32323986),(65 32362826),(66 31810890),(67 31837032),(68 32133008),(69 32258104),(70 33187258),(71 34310290),(72 34956908),(73 35760124),(74 37382340),(75 35380790),(76 32206702),(77 22393142),(78 12623224),(79 12285957),
(1 84517.27),(2 158040.84),(3 226412.38),(4 281102.38),(5 314844.9),(6 337574.9),(7 362386.53),(8 375846.28),(9 395848.5),(10 412710.78),(11 425973.63),(12 442220.5),(13 458075.25),(14 468026.53),(15 481463.25),(16 489591.88),(17 494484.75),(18 504894.63),(19 510654.13),(20 525006.3),(21 539853.8),(22 550316.75),(23 553068.25),(24 565639.2),(25 571373.8),(26 573410.3),(27 578774.06),(28 579057.4),(29 578142.44),(30 576022.44),(31 576010.9),(32 575516.94),(33 576611.56),(34 577170.9),(35 582176.5),(36 584323.5),(37 580774.2),(38 578586.1),(39 576650.3),(40 571293),(41 567570.8),(42 562730.5),(43 558098.4),(44 557780.44),(45 561588.6),(46 562461.4),(47 562947.94),(48 560862.06),(49 555969.94),(50 555019.8),(51 555311.56),(52 558078.1),(53 564718.7),(54 569411.94),(55 572689.1),(56 572718.6),(57 576624.7),(58 578817),(59 579382.1),(60 572125.7),(61 564524),(62 558445.94),(63 564705.06),(64 566021),(65 562267.1),(66 556698.06),(67 552845.56),(68 553846.9),(69 551008.3),(70 550490.4),(71 547683.56),(72 548334.2),(73 550265.44),(74 554641.5),(75 558399.06),(76 560701.6),(77 571419.7),(78 580808),(79 586687.9),
(1 84570.02),(2 156884.03),(3 221860.33),(4 271697.5),(5 301411.63),(6 322885.28),(7 343151.63),(8 360443.8),(9 371698.9),(10 382613.47),(11 392384.53),(12 407606.6),(13 423599.34),(14 435865),(15 450343.75),(16 458093.38),(17 465209.7),(18 470615.84),(19 474158.47),(20 478943.97),(21 483017.66),(22 485654.16),(23 483227.3),(24 491130.34),(25 496044.13),(26 502253.16),(27 511366.22),(28 516468.66),(29 520955.88),(30 523432.97),(31 522338.88),(32 526619.1),(33 528457.06),(34 530135.8),(35 524956.06),(36 519498.2),(37 518998.9),(38 516596.6),(39 519959.9),(40 524083.16),(41 526811.7),(42 528250.7),(43 532401.56),(44 535345.9),(45 534412.4),(46 534498.25),(47 535467.4),(48 533037.5),(49 532900.94),(50 533655.1),(51 532564.6),(52 534207),(53 537014.56),(54 539426.6),(55 539013.5),(56 538764.4),(57 545098.94),(58 551716.1),(59 554115.7),(60 557382.25),(61 551579.06),(62 547526.3),(63 547591.25),(64 541743.75),(65 534996.75),(66 531996.2),(67 533971.06),(68 543076.9),(69 546856.6),(70 547679.8),(71 552854.6),(72 550516.2),(73 542028.6),(74 535303.75),(75 533025.7),(76 527053.56),(77 528581.44),(78 529271.56),(79 527111),
(1 77256.01),(2 143965.28),(3 203237.8),(4 247604.3),(5 271299.16),(6 289463.5),(7 303519.06),(8 317323.1),(9 333156.5),(10 344932.13),(11 354880.56),(12 367010.3),(13 374801.9),(14 376221.22),(15 381581.78),(16 387519.44),(17 398351.4),(18 405038.2),(19 410964.94),(20 420278.34),(21 430440.13),(22 441793.1),(23 452513.3),(24 461832.75),(25 469533.16),(26 472689.7),(27 475646.13),(28 473259.38),(29 472942.1),(30 474818.9),(31 482183.66),(32 488021),(33 493827.13),(34 496508.7),(35 503334.34),(36 502591.9),(37 497498.94),(38 493376.16),(39 488616.72),(40 487013.97),(41 486979.88),(42 484602.3),(43 485042.84),(44 493186.7),(45 494768.78),(46 494764.84),(47 489422.2),(48 487002.78),(49 496747.84),(50 505667.75),(51 510795),(52 514482.3),(53 518070.34),(54 521244.94),(55 522725.22),(56 525923.44),(57 529640.3),(58 529863.3),(59 529296.94),(60 530318.94),(61 528050.6),(62 526711.3),(63 525782.25),(64 529566.8),(65 528263.8),(66 529645.56),(67 527083.3),(68 529547.44),(69 529891.8),(70 529107.9),(71 530896.6),(72 530904.75),(73 522514.72),(74 514849.66),(75 509983.6),(76 502085.88),(77 497187.75),(78 493122.56),(79 488916.78),
(1 72209.52),(2 133899.38),(3 190827.89),(4 237378.16),(5 261532.16),(6 279028.13),(7 294878.97),(8 304935.78),(9 325989.25),(10 340282.03),(11 357261.94),(12 380043.34),(13 392852.9),(14 405838.6),(15 415794.56),(16 429519.8),(17 438635.94),(18 444667.56),(19 449008.16),(20 454115.1),(21 459060.3),(22 462483.6),(23 468033.28),(24 477573.66),(25 487322.5),(26 496831.56),(27 507704.78),(28 512468.84),(29 515223.44),(30 515624.22),(31 513880.5),(32 505123.94),(33 498692.06),(34 493526.78),(35 491170.53),(36 491617.78),(37 491685.5),(38 489453.5),(39 485348.03),(40 474629.75),(41 468940.97),(42 461027.97),(43 454728.2),(44 456120.75),(45 461764.03),(46 466271.03),(47 471370.88),(48 475275.4),(49 477504.53),(50 481219.56),(51 480093.06),(52 476883.03),(53 479854.56),(54 481352.88),(55 484741.47),(56 488865.66),(57 494176.38),(58 496083.16),(59 488134.84),(60 485972.7),(61 485684.94),(62 483037.66),(63 485853.97),(64 482492.9),(65 474264.94),(66 470181.5),(67 469608.78),(68 473699.47),(69 472156.78),(70 474560.72),(71 477428.5),(72 482248.38),(73 481500.56),(74 477722.5),(75 480272.06),(76 480876.13),(77 486099.3),(78 487511.8),(79 487756.2),
(1 72303.67),(2 130939.48),(3 181742.75),(4 224923.13),(5 249234.25),(6 266297.16),(7 280614.47),(8 291667.13),(9 303721.8),(10 315049.56),(11 329006.3),(12 349979.84),(13 361667.6),(14 369826.03),(15 376769.72),(16 386348.34),(17 396052.44),(18 399856.22),(19 400545.84),(20 404675.88),(21 409056.88),(22 411488.47),(23 410275.3),(24 411074.34),(25 416493.5),(26 420409.5),(27 421635.88),(28 422367.34),(29 423162.06),(30 423360.84),(31 422313.34),(32 426844.34),(33 425944.72),(34 424517.13),(35 423323.22),(36 417929.63),(37 416058.38),(38 413850.44),(39 411523.28),(40 409785.25),(41 410177.1),(42 407925.2),(43 406364.38),(44 411325.4),(45 419653.84),(46 425534.38),(47 430790.38),(48 434458.78),(49 435892.44),(50 436630.16),(51 434362.13),(52 432488.6),(53 432856.8),(54 433861.28),(55 435454.5),(56 438150.1),(57 441843.88),(58 440731.63),(59 438035.6),(60 434227.44),(61 431779.4),(62 428123.56),(63 432529.97),(64 431631.4),(65 433044),(66 434557.4),(67 442603.84),(68 448704.7),(69 449607.3),(70 454368.56),(71 462357),(72 465842.88),(73 463438.8),(74 460031.34),(75 459773.63),(76 457733.28),(77 460716.6),(78 462408.72),(79 461352.4),
(1 69193.12),(2 127837.766),(3 180556.88),(4 219468.23),(5 241226.53),(6 256072.75),(7 275508.1),(8 286646.75),(9 297763.22),(10 306470.25),(11 317583.34),(12 334210.5),(13 348265.9),(14 359600.78),(15 368601.16),(16 382480.7),(17 392708.2),(18 401093.78),(19 403938.06),(20 411772.47),(21 414530.66),(22 416973),(23 418851.06),(24 420212.2),(25 420985.97),(26 426768.56),(27 429442.63),(28 433257.53),(29 429539.88),(30 426745.34),(31 427292.25),(32 430307.66),(33 429401.28),(34 427117.1),(35 427395.28),(36 427805.78),(37 429968.13),(38 432478.1),(39 434927.75),(40 437255.13),(41 441231.5),(42 441396.03),(43 440205.1),(44 442347.06),(45 442623.66),(46 445303.3),(47 446083.5),(48 447721.44),(49 443312.72),(50 441807.56),(51 434380.5),(52 430459),(53 429454.1),(54 426682.84),(55 421706.03),(56 418891.13),(57 420752.6),(58 420671.6),(59 420777.28),(60 423597.8),(61 419136.9),(62 417394.72),(63 418592.47),(64 415830.94),(65 413063.84),(66 411966.9),(67 417877.63),(68 416146.34),(69 413550.8),(70 413631.6),(71 413418.47),(72 414202.78),(73 411518.3),(74 409888.13),(75 412919.7),(76 414711.5),(77 419001.2),(78 424606.4),(79 427627.84),
(1 66382.88),(2 122707.7),(3 176603.45),(4 217884.84),(5 242612.67),(6 259635.13),(7 273990.13),(8 285860.84),(9 301922.16),(10 314150.03),(11 324096.97),(12 343037.7),(13 353662.56),(14 360271.63),(15 366207.78),(16 377441.97),(17 378228.38),(18 382314.38),(19 383607.2),(20 386316.63),(21 384599.8),(22 385480.03),(23 386699.3),(24 396408.88),(25 403531.88),(26 410090.2),(27 415576.4),(28 422358.7),(29 426295.94),(30 431057.56),(31 435567.3),(32 433128.6),(33 433592.66),(34 432815.13),(35 431457.84),(36 432420.6),(37 434246.7),(38 436513.94),(39 437750.9),(40 436928.47),(41 431911),(42 425100.03),(43 422150.56),(44 412428.13),(45 405871.78),(46 401102.78),(47 399020.84),(48 397206.34),(49 399640.38),(50 402623.34),(51 397377.56),(52 399072.72),(53 400070.97),(54 402648.13),(55 405650.78),(56 406414.16),(57 407573.94),(58 406279.13),(59 403582.28),(60 401032.88),(61 399427.4),(62 400033.88),(63 405544.6),(64 408966.88),(65 406756.28),(66 406637.06),(67 405940.84),(68 406625.4),(69 407106.16),(70 405015.63),(71 406596.6),(72 407739.03),(73 406438.53),(74 408789.5),(75 414803.6),(76 414556.9),(77 414417.75),(78 416277.22),(79 416696.5),
(1 65421.797),(2 117580.76),(3 164206.81),(4 199761.05),(5 224501.72),(6 241833.33),(7 259425.86),(8 273382.34),(9 287664),(10 297598.3),(11 307290.34),(12 324430.47),(13 339869.13),(14 350969.66),(15 358644.84),(16 366762.3),(17 373292.22),(18 380269.2),(19 385586.9),(20 394576.8),(21 401607.6),(22 407500.28),(23 413721.13),(24 415605.13),(25 420273.2),(26 419572.66),(27 419788.13),(28 417532.22),(29 417487.25),(30 417800.84),(31 419512.78),(32 422893.13),(33 422774.4),(34 420732.9),(35 419585.53),(36 418820.25),(37 418406.53),(38 415762.2),(39 416194.3),(40 416958.38),(41 415426.6),(42 412549.78),(43 407844.97),(44 408499.7),(45 410965.72),(46 412717.7),(47 411094.94),(48 408882.38),(49 408598.22),(50 408860.88),(51 411739.6),(52 413718.97),(53 412443.63),(54 412994.3),(55 414462.34),(56 411890.13),(57 409814.66),(58 407544.34),(59 404445.97),(60 402219.03),(61 400833.3),(62 398783.03),(63 398272.34),(64 398296.22),(65 396920.28),(66 394740.38),(67 394672.9),(68 393587.03),(69 393585.25),(70 392484.5),(71 396688.88),(72 402356.7),(73 403590.56),(74 404294.66),(75 406044.9),(76 403161.97),(77 408809.06),(78 412311.66),(79 416726.28),
(1 63924.336),(2 116276.33),(3 163311.13),(4 200830.69),(5 224971.73),(6 240229.05),(7 253111.97),(8 262119.4),(9 273605.06),(10 280761.1),(11 287775.47),(12 299077.84),(13 311220.84),(14 317043.03),(15 320986.1),(16 330533.13),(17 338051.22),(18 345583.03),(19 352063.94),(20 354963.75),(21 359509.78),(22 360961.78),(23 362683.75),(24 369811.56),(25 376094.06),(26 381872.2),(27 385585.22),(28 385286.88),(29 387648.9),(30 389771.78),(31 387880.7),(32 383700.97),(33 382674.66),(34 378159.44),(35 371693.9),(36 372516.8),(37 375810.28),(38 377616.53),(39 380449.22),(40 377963.13),(41 380061.53),(42 379946.88),(43 378133.56),(44 380326.4),(45 381887.1),(46 384378.7),(47 384765.2),(48 386069.84),(49 389773.75),(50 389416.78),(51 388092.5),(52 385970.4),(53 382748.63),(54 378956.7),(55 376334.97),(56 375247.44),(57 375825.78),(58 376909.38),(59 378010.78),(60 376580.03),(61 373518.78),(62 370230.66),(63 372279.3),(64 373303.88),(65 367803.38),(66 365117.6),(67 362877.1),(68 363321.78),(69 364501.34),(70 365282.13),(71 369035.66),(72 372721.4),(73 374571.5),(74 376549.84),(75 382845.66),(76 381935.94),(77 384392.78),(78 386073.72),(79 386612.88),
(1 59767.01),(2 111865.34),(3 161681.9),(4 201145.06),(5 224994.44),(6 242089.42),(7 256638.48),(8 267739.53),(9 276886.72),(10 283356.47),(11 294434.38),(12 308408.78),(13 322300.44),(14 331613.4),(15 340208.63),(16 349295.16),(17 354374.5),(18 357576.84),(19 359482.44),(20 367894.97),(21 374367.7),(22 378746.84),(23 381555.5),(24 384397.97),(25 385768.9),(26 385542.9),(27 383790.25),(28 375793.38),(29 372297.38),(30 371759.97),(31 369899.5),(32 366448.03),(33 362804.22),(34 358059.7),(35 358114.5),(36 355356.38),(37 357577.4),(38 358358.7),(39 356481.84),(40 356518.78),(41 359024.8),(42 362447.44),(43 363407.84),(44 365256.97),(45 364078.44),(46 363569.38),(47 364662.97),(48 365390.47),(49 367190.56),(50 368628.3),(51 366017.84),(52 363585.13),(53 362231.7),(54 359922.47),(55 357511.66),(56 357742.4),(57 359644.2),(58 362232.78),(59 364448.28),(60 361977.7),(61 359708.3),(62 358463.44),(63 357200.28),(64 360162.44),(65 363631.53),(66 363484.03),(67 365385.94),(68 363879.3),(69 363944.1),(70 364933.16),(71 367266.9),(72 365822.66),(73 363864.8),(74 361417),(75 361682.38),(76 363196.1),(77 367590.7),(78 372216.22),(79 377447.44),
(1 59466.043),(2 109730.64),(3 154331.78),(4 189828.02),(5 209787.28),(6 222408.98),(7 232854.36),(8 245610.97),(9 253979.64),(10 260856.83),(11 271663.5),(12 278791.22),(13 288912.22),(14 294053.66),(15 301625.84),(16 312406.66),(17 323017.2),(18 332156.44),(19 339990.56),(20 346639.56),(21 346611.56),(22 347099.53),(23 347416.8),(24 346479.06),(25 343118.34),(26 343654.28),(27 345147.03),(28 348814.16),(29 351476.28),(30 354251.72),(31 355596.13),(32 354705.22),(33 355354.78),(34 355150.22),(35 352834.66),(36 350104.47),(37 349702.63),(38 348312.94),(39 346235.47),(40 346925.25),(41 346872.47),(42 345225.34),(43 344100.6),(44 342519.94),(45 342001.94),(46 340101.78),(47 338246.6),(48 339622.56),(49 341735.66),(50 343032),(51 342270.78),(52 338785.13),(53 337461.38),(54 338536.53),(55 338896.56),(56 340761.72),(57 342958.34),(58 342791.28),(59 338855.2),(60 338302.8),(61 337210.06),(62 336228),(63 341786.2),(64 338108.13),(65 338477.84),(66 336847.78),(67 338327.66),(68 339013.8),(69 342721.66),(70 344328.66),(71 350466.56),(72 352134.44),(73 352666.94),(74 356106),(75 361421.44),(76 358482.34),(77 358527),(78 357439.56),(79 353644.84),
(1 56688.74),(2 103967.94),(3 148297.22),(4 184082.34),(5 207535.38),(6 223627.81),(7 236379.08),(8 246213.45),(9 254347.7),(10 259811.03),(11 264008.9),(12 274786.84),(13 285954.66),(14 293702.16),(15 302751.5),(16 311983.75),(17 317502.3),(18 321854.56),(19 324672.13),(20 329831.03),(21 335493.3),(22 339735.1),(23 344192.16),(24 348013.84),(25 348989.4),(26 348195.44),(27 346718.06),(28 341406.1),(29 336755.72),(30 333212.2),(31 330405.22),(32 325902.97),(33 325429),(34 323531.25),(35 320782.22),(36 319527.5),(37 320989.28),(38 324202.38),(39 324929.1),(40 327744.7),(41 328999.38),(42 329485.72),(43 324906.44),(44 329695.22),(45 333847.38),(46 337584),(47 337077.38),(48 335285.38),(49 333567.44),(50 330038.06),(51 327697.34),(52 323867),(53 326178.2),(54 326975.38),(55 327490.97),(56 331079.78),(57 331915.47),(58 330539.25),(59 330304.84),(60 326472.8),(61 328028.03),(62 327592.3),(63 328254.03),(64 325464.13),(65 326533.38),(66 326958.9),(67 331229.34),(68 334039.7),(69 332706.4),(70 332139.22),(71 336238.6),(72 339590.97),(73 343594.94),(74 346269.84),(75 345784.97),(76 345661.84),(77 348143.94),(78 350179.44),(79 351291.66),
(1 55010.96),(2 100778.42),(3 142187.34),(4 174034.97),(5 193982.69),(6 209390.22),(7 223967.27),(8 233897.7),(9 243488.97),(10 249995.92),(11 255665.28),(12 263655.66),(13 272245.1),(14 275779.6),(15 280581.84),(16 285961.3),(17 293984.34),(18 300353.94),(19 305212.2),(20 308764.9),(21 314022.5),(22 318684.84),(23 324212.63),(24 328617.2),(25 327971.16),(26 329579.5),(27 330378.9),(28 330714.9),(29 327253.16),(30 323068.2),(31 315689.75),(32 312796.44),(33 311397.63),(34 309097.97),(35 309956.4),(36 313438.72),(37 313133.28),(38 311972.78),(39 311185.97),(40 312040.9),(41 316109.22),(42 320126.8),(43 322563.88),(44 327305.2),(45 327201.7),(46 326735.84),(47 326854.72),(48 325095.3),(49 324576.25),(50 323605.25),(51 323771.84),(52 322526.06),(53 321858.9),(54 321077.2),(55 319620.53),(56 320578.63),(57 323746.16),(58 324131.5),(59 321702.8),(60 317180.88),(61 316755.66),(62 316037.25),(63 315847.6),(64 314639.63),(65 311643.47),(66 309957.78),(67 311329.88),(68 311915.13),(69 311110.97),(70 312439.72),(71 316564.03),(72 319998.78),(73 320047.47),(74 320664.53),(75 325833.94),(76 326282.78),(77 329747.1),(78 332662.9),(79 333869.5),
(1 50312.297),(2 95371.96),(3 137460.45),(4 169336.88),(5 189730.1),(6 202712.98),(7 213213.89),(8 222915.63),(9 233224.86),(10 240679.78),(11 247771.11),(12 255390.25),(13 261285.16),(14 265379.78),(15 268497.75),(16 278345.75),(17 288590.94),(18 296065.28),(19 299640.66),(20 300443.56),(21 304633.34),(22 307129.06),(23 310928.63),(24 315291.9),(25 317130.22),(26 316727.03),(27 310680.22),(28 304759.06),(29 304792.88),(30 305694.53),(31 308930.84),(32 307875.06),(33 306831.66),(34 304894.44),(35 303496.06),(36 302463.03),(37 304321.84),(38 305274.6),(39 306091.1),(40 305393.88),(41 302721.84),(42 300495.8),(43 299565.1),(44 302424.06),(45 302846.63),(46 304738.78),(47 307048.5),(48 307869.88),(49 307198.78),(50 307325.47),(51 307164.06),(52 306981.5),(53 309801.03),(54 311238.75),(55 312105.38),(56 310631.88),(57 311979.5),(58 311906.4),(59 310324.6),(60 308973.56),(61 306901.66),(62 305874.78),(63 307945.5),(64 307558.5),(65 305489.4),(66 305685.1),(67 308951.8),(68 309888.9),(69 308065.9),(70 304323.88),(71 303728.94),(72 304956.5),(73 302056.7),(74 299801.47),(75 299656.38),(76 298066.84),(77 301525.88),(78 303219.9),(79 303938.7),
(1 49428.547),(2 92439.28),(3 131854.02),(4 161788.44),(5 179866.95),(6 193018.03),(7 205419.56),(8 213569.75),(9 222498.8),(10 230530.23),(11 239023.17),(12 250060.52),(13 258969.66),(14 265516.28),(15 272606.22),(16 279171.38),(17 282383.34),(18 283072.16),(19 283726.5),(20 285411.47),(21 287504.16),(22 289427.8),(23 289345.6),(24 292735.4),(25 295052.66),(26 297068.84),(27 297007.06),(28 297012.53),(29 297845.53),(30 295772.6),(31 294194.7),(32 294754.34),(33 297380.34),(34 299470.2),(35 301203.13),(36 298697.53),(37 299976.7),(38 298948.78),(39 297246.5),(40 294718.3),(41 294077.38),(42 292524.34),(43 290700.72),(44 295580.22),(45 297562),(46 299276.7),(47 298690.06),(48 296060.88),(49 294835.53),(50 292525.06),(51 290438.88),(52 291019.4),(53 293564.72),(54 295511.88),(55 294202.47),(56 295039.88),(57 293631.53),(58 292416.94),(59 290580),(60 289586.34),(61 287831.88),(62 285999.13),(63 288939.72),(64 290381.53),(65 289865.47),(66 290928.84),(67 294572.34),(68 298264.22),(69 297233.5),(70 298013.13),(71 298934.2),(72 301975.4),(73 301268.4),(74 302450.4),(75 305269.03),(76 305660.28),(77 305048.1),(78 305180),(79 304019.06),
(1 47518.902),(2 86399.81),(3 122281.87),(4 151545.98),(5 169875.44),(6 184101.95),(7 197860.64),(8 208758.23),(9 218580.3),(10 225047.2),(11 230608.8),(12 236236.1),(13 243305.02),(14 249293.3),(15 258624.66),(16 265147.56),(17 271930.44),(18 276788.63),(19 279904.88),(20 284227.8),(21 289690.53),(22 293211.47),(23 297441.53),(24 300292.44),(25 301280.66),(26 302563.4),(27 304798.94),(28 305658.9),(29 308132.97),(30 309022.16),(31 303822.88),(32 302813.72),(33 303497.13),(34 302229.63),(35 297478.06),(36 294395.06),(37 295212.5),(38 293201.06),(39 292004.47),(40 291139.34),(41 289213.78),(42 285222.44),(43 280237.34),(44 277659.94),(45 277290.53),(46 276820.3),(47 275289.9),(48 273979.47),(49 272720.53),(50 271934.47),(51 271631.84),(52 275399.56),(53 279828.78),(54 282398.34),(55 284958.13),(56 285414.53),(57 284086.44),(58 283276.34),(59 282310.1),(60 280362.78),(61 277973.88),(62 275741.22),(63 277077.88),(64 281255.34),(65 284036.3),(66 286001.25),(67 288212.63),(68 285748.34),(69 288374.66),(70 291120.53),(71 293805.03),(72 295437.38),(73 296645.38),(74 298361.38),(75 298726.97),(76 299226.72),(77 302408.44),(78 304160.06),(79 303889.7),
(1 45229.95),(2 84681.8),(3 121452.68),(4 149695.45),(5 165508.33),(6 177043.97),(7 185752.45),(8 193699.66),(9 205315.58),(10 212062.55),(11 218052.81),(12 228290.3),(13 236195.67),(14 242923.31),(15 247108.69),(16 250883.75),(17 255881.02),(18 259825.7),(19 261485.66),(20 266390.13),(21 267561.56),(22 267656.75),(23 265329.3),(24 266226.6),(25 269401.44),(26 270815.72),(27 274284.53),(28 274671.53),(29 277365),(30 278202.25),(31 278180.66),(32 279948.94),(33 281874.72),(34 284632.38),(35 286757.6),(36 289336.44),(37 285612.4),(38 283322.03),(39 281380.75),(40 279907.22),(41 276959.25),(42 276100.56),(43 273952.44),(44 274377.38),(45 271707.6),(46 267680.2),(47 264497),(48 263843.72),(49 267015.44),(50 268730.03),(51 270078.6),(52 268538.97),(53 268529.66),(54 267167.03),(55 267263.5),(56 268940.66),(57 269110.97),(58 269741.25),(59 269891.9),(60 271854.16),(61 272235.2),(62 273054.53),(63 272677.06),(64 272345.7),(65 270020.53),(66 267725.6),(67 266272.84),(68 266041.72),(69 265933.22),(70 265844.78),(71 269500.9),(72 271822.6),(73 271625.13),(74 271839.06),(75 273280.72),(76 265646.2),(77 267054.22),(78 268542.13),(79 269461.53),
(1 45917.813),(2 83943.375),(3 119976.37),(4 150361),(5 167527.66),(6 180287.25),(7 191201.1),(8 200423.28),(9 207452.64),(10 213765.36),(11 220344.69),(12 228079.47),(13 233079.73),(14 236639.95),(15 241615.61),(16 245436.31),(17 250220.61),(18 251892.73),(19 250518.86),(20 246982.95),(21 249830.6),(22 250954.97),(23 250553.5),(24 251107.7),(25 253597.94),(26 256382.48),(27 257859.14),(28 260199.25),(29 265614),(30 268459.44),(31 270870.72),(32 271240.34),(33 273382.16),(34 274481.97),(35 275815.47),(36 279937.4),(37 279936.16),(38 279191.34),(39 280238),(40 280479.72),(41 283677.03),(42 285656.97),(43 287254.47),(44 289826.5),(45 288510.7),(46 287142.4),(47 286749.13),(48 286377.13),(49 287238.4),(50 289749.1),(51 290978.13),(52 289791.03),(53 290252.88),(54 289897.1),(55 287701.03),(56 286558.16),(57 285786.84),(58 285251.03),(59 280824.8),(60 277838.34),(61 275792.7),(62 272662.8),(63 271770.34),(64 268485.34),(65 264857.56),(66 261744.84),(67 260538.33),(68 261659.9),(69 263094.44),(70 265066.94),(71 269970.97),(72 273088.47),(73 275224.94),(74 276380.16),(75 278487.13),(76 278448.2),(77 279884.03),(78 281236.13),(79 280204.3),
