1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 339.99216),(2 456.74863),(3 508.2286),(4 542.05566),(5 563.74005),(6 581.6033),(7 594.6722),(8 629.0233),(9 643.74164),(10 647.3467),(11 663.16876),(12 672.3978),(13 680.38873),(14 686.4824),(15 687.0565),(16 695.51385),(17 701.41473),(18 707.8061),(19 716.9521),(20 728.5688),(21 736.6478),(22 733.25244),(23 746.1629),(24 756.9196),(25 760.6101),(26 764.8529),(27 766.6988),(28 768.84467),(29 774.17255),(30 775.62415),(31 779.864),(32 777.98474),(33 765.8804),(34 762.89246),(35 764.4732),(36 761.3882),(37 758.1695),(38 763.828),(39 750.5093),(40 748.3604),(41 751.36316),(42 754.28076),(43 752.8041),(44 742.3012),(45 739.19415),(46 737.55597),(47 753.93085),(48 756.64764),(49 760.2401),(50 764.99097),(51 777.973),(52 783.05066),(53 788.95764),(54 791.0996),(55 795.08246),(56 795.55286),(57 799.0078),(58 801.5199),(59 807.26807),(60 810.5247),(61 812.1366),(62 816.4817),(63 824.3255),(64 835.16705),(65 839.2405),(66 829.4967),(67 828.24744),(68 831.0138),(69 834.4411),(70 835.87933),(71 840.0344),(72 838.3933),(73 840.42316),(74 825.4578),(75 823.86475),(76 821.86365),(77 820.6536),(78 822.1772),(79 821.85),
(1 322.66718),(2 428.31918),(3 473.7898),(4 502.19534),(5 528.20276),(6 541.7759),(7 549.5135),(8 577.4285),(9 595.9323),(10 600.7902),(11 611.0048),(12 622.6725),(13 636.1904),(14 639.3452),(15 640.22437),(16 672.3728),(17 678.81195),(18 677.88885),(19 679.2774),(20 692.72723),(21 701.17163),(22 695.0258),(23 710.32117),(24 712.44965),(25 714.6898),(26 714.07947),(27 719.1811),(28 726.1693),(29 728.3563),(30 730.8316),(31 733.96136),(32 730.48505),(33 722.38214),(34 725.7124),(35 731.6716),(36 736.1405),(37 724.33057),(38 727.36865),(39 724.6697),(40 715.5062),(41 707.2513),(42 698.82983),(43 699.9697),(44 704.04254),(45 706.65393),(46 699.9177),(47 709.1653),(48 713.5799),(49 712.36786),(50 721.9921),(51 729.62225),(52 738.20667),(53 752.39557),(54 751.38446),(55 763.4472),(56 773.5655),(57 784.17914),(58 789.4938),(59 786.95703),(60 786.45526),(61 781.57825),(62 781.9316),(63 795.9911),(64 795.62787),(65 798.79065),(66 784.22095),(67 787.2447),(68 799.15173),(69 801.8538),(70 806.65594),(71 805.51227),(72 801.63104),(73 797.2899),(74 788.73895),(75 786.4911),(76 779.521),(77 785.9236),(78 788.64325),(79 782.6074),
(1 328.151),(2 435.59177),(3 471.03085),(4 497.3688),(5 517.25287),(6 533.5566),(7 551.7361),(8 581.3643),(9 596.9376),(10 604.5962),(11 611.6743),(12 631.37506),(13 641.7455),(14 643.65106),(15 647.03906),(16 661.1008),(17 675.68646),(18 683.46954),(19 682.98987),(20 692.3899),(21 688.6308),(22 675.9025),(23 688.14276),(24 685.3408),(25 694.0842),(26 691.57294),(27 699.75586),(28 706.3941),(29 707.2124),(30 716.2171),(31 718.1795),(32 712.9783),(33 704.65424),(34 705.85626),(35 708.1727),(36 707.92267),(37 702.4517),(38 701.7863),(39 698.3318),(40 687.347),(41 677.5954),(42 682.9094),(43 681.6024),(44 677.6118),(45 680.98004),(46 682.06665),(47 693.8878),(48 695.43195),(49 700.88),(50 708.10944),(51 721.98956),(52 723.73914),(53 725.9702),(54 732.50073),(55 736.0961),(56 738.0036),(57 745.0339),(58 757.9191),(59 759.87274),(60 761.1844),(61 764.80194),(62 765.02893),(63 770.0245),(64 765.93097),(65 763.49615),(66 753.31555),(67 750.8218),(68 761.3208),(69 762.01166),(70 761.252),(71 769.3259),(72 768.56934),(73 782.66327),(74 779.8049),(75 778.6174),(76 772.6916),(77 773.07477),(78 768.47675),(79 769.63666),
(1 313.81348),(2 415.0262),(3 462.0506),(4 485.49966),(5 501.76157),(6 522.50397),(7 533.68195),(8 554.4901),(9 566.20306),(10 574.71594),(11 582.9183),(12 604.9021),(13 610.6902),(14 614.5979),(15 618.8296),(16 628.1882),(17 642.12885),(18 652.05096),(19 655.02203),(20 662.24506),(21 662.6363),(22 662.9978),(23 679.2832),(24 683.38086),(25 693.1343),(26 698.4851),(27 708.4336),(28 706.915),(29 702.90283),(30 705.771),(31 699.2527),(32 698.6005),(33 690.5817),(34 688.73114),(35 691.2248),(36 689.8349),(37 677.3114),(38 674.7991),(39 667.4198),(40 665.7272),(41 659.2277),(42 655.53937),(43 661.13116),(44 657.7831),(45 658.6504),(46 651.3968),(47 654.4477),(48 657.62006),(49 665.7663),(50 673.8766),(51 684.906),(52 691.8481),(53 697.3802),(54 703.8227),(55 712.47906),(56 724.5643),(57 731.82336),(58 737.4762),(59 741.3516),(60 751.624),(61 757.07196),(62 751.8917),(63 759.1816),(64 757.8865),(65 751.526),(66 746.3754),(67 743.93396),(68 758.9126),(69 757.9694),(70 761.3765),(71 765.7063),(72 763.3583),(73 770.81305),(74 769.0935),(75 762.68805),(76 757.45886),(77 756.63293),(78 761.49805),(79 756.6867),
(1 307.73434),(2 412.12958),(3 444.8154),(4 476.21442),(5 500.07123),(6 510.71588),(7 520.94293),(8 548.096),(9 554.3491),(10 566.7412),(11 580.01355),(12 594.111),(13 604.36523),(14 602.59045),(15 604.8754),(16 613.84906),(17 621.88916),(18 629.61536),(19 623.7816),(20 637.5312),(21 644.1946),(22 636.6257),(23 646.42255),(24 653.4977),(25 656.79553),(26 663.5618),(27 669.07605),(28 668.7528),(29 669.8645),(30 671.1285),(31 673.12384),(32 674.4384),(33 674.50916),(34 672.4055),(35 670.5298),(36 665.8724),(37 658.13464),(38 657.1156),(39 658.3146),(40 650.9366),(41 642.72125),(42 635.427),(43 634.03406),(44 632.7987),(45 632.1557),(46 631.0036),(47 639.88794),(48 646.9788),(49 663.9222),(50 674.26996),(51 679.43225),(52 678.2226),(53 689.84576),(54 692.1684),(55 696.2864),(56 701.4919),(57 706.80365),(58 714.6449),(59 721.3208),(60 726.5228),(61 732.3144),(62 725.76886),(63 732.9072),(64 733.7245),(65 735.4517),(66 734.0159),(67 732.7357),(68 738.8373),(69 741.91595),(70 741.8252),(71 740.4789),(72 741.043),(73 744.29535),(74 739.32855),(75 728.6186),(76 718.81415),(77 712.59753),(78 714.2314),(79 711.0157),
(1 306.27972),(2 410.2536),(3 443.76428),(4 468.71732),(5 483.48727),(6 504.66132),(7 513.73816),(8 538.0225),(9 550.50946),(10 556.0612),(11 570.2749),(12 581.13727),(13 579.5004),(14 580.644),(15 581.5545),(16 595.1415),(17 598.9753),(18 605.04645),(19 614.58954),(20 624.2568),(21 631.67),(22 631.17896),(23 648.4982),(24 651.7961),(25 654.532),(26 663.1231),(27 666.7146),(28 671.55896),(29 672.4642),(30 669.4526),(31 666.2053),(32 661.2891),(33 663.8354),(34 659.7021),(35 657.95874),(36 652.2644),(37 650.6876),(38 639.4168),(39 632.2992),(40 633.4418),(41 637.04877),(42 631.52814),(43 631.02527),(44 628.6397),(45 624.2228),(46 628.8806),(47 638.4691),(48 647.6756),(49 658.3555),(50 666.7926),(51 672.20734),(52 671.0311),(53 680.48816),(54 693.80255),(55 698.75226),(56 700.8781),(57 711.25745),(58 710.0966),(59 715.90894),(60 721.66626),(61 727.49615),(62 728.63495),(63 739.2093),(64 742.5763),(65 749.56805),(66 748.5774),(67 751.2379),(68 749.4994),(69 748.2068),(70 753.4408),(71 751.1857),(72 751.40656),(73 746.8447),(74 742.5472),(75 745.0999),(76 736.1759),(77 731.95074),(78 729.0272),(79 726.33246),
(1 299.1821),(2 400.85748),(3 431.98306),(4 455.43283),(5 473.28064),(6 490.2639),(7 501.02527),(8 524.2068),(9 543.3494),(10 552.81085),(11 564.6244),(12 578.1294),(13 576.01044),(14 580.7335),(15 582.06506),(16 591.6689),(17 601.09283),(18 617.8477),(19 625.64636),(20 633.01263),(21 645.9176),(22 639.83105),(23 646.2087),(24 651.27673),(25 651.3836),(26 654.0786),(27 654.12805),(28 648.978),(29 650.49786),(30 649.1343),(31 643.47675),(32 644.41724),(33 641.8443),(34 636.7482),(35 634.6711),(36 631.3414),(37 628.2918),(38 620.9704),(39 618.2475),(40 617.88995),(41 615.60425),(42 617.05164),(43 612.04376),(44 608.26733),(45 610.2668),(46 616.7057),(47 627.8625),(48 636.49115),(49 646.3019),(50 658.08386),(51 667.86444),(52 672.3071),(53 678.52966),(54 682.509),(55 690.31366),(56 693.69965),(57 705.13715),(58 706.5796),(59 713.08887),(60 710.17194),(61 710.8116),(62 704.85913),(63 708.215),(64 713.8586),(65 705.9319),(66 703.6068),(67 708.4998),(68 714.04645),(69 712.3307),(70 717.0207),(71 720.3914),(72 716.5713),(73 718.68115),(74 707.4162),(75 708.4403),(76 703.6847),(77 697.5837),(78 697.1843),(79 697.83844),
(1 286.6823),(2 383.41232),(3 418.13174),(4 442.2413),(5 461.0163),(6 476.4944),(7 488.38455),(8 513.6955),(9 525.48596),(10 539.5596),(11 553.66425),(12 559.9273),(13 565.0841),(14 571.1622),(15 572.9331),(16 587.6663),(17 591.3658),(18 602.6091),(19 605.52203),(20 609.52844),(21 622.28564),(22 626.18134),(23 631.4364),(24 636.5551),(25 635.0315),(26 642.14056),(27 645.6881),(28 644.39624),(29 640.92957),(30 640.5427),(31 640.6058),(32 638.05493),(33 637.03253),(34 638.92285),(35 639.874),(36 644.1461),(37 651.6142),(38 653.64624),(39 652.94946),(40 649.08453),(41 648.0789),(42 644.2401),(43 641.5451),(44 634.4982),(45 628.43744),(46 626.1746),(47 628.2077),(48 632.4578),(49 637.2186),(50 643.0027),(51 652.47864),(52 656.8829),(53 657.5892),(54 655.09674),(55 666.14703),(56 672.8448),(57 683.66974),(58 683.0373),(59 679.00415),(60 682.92773),(61 685.6829),(62 685.21265),(63 690.99634),(64 700.00366),(65 695.1072),(66 697.1047),(67 700.5115),(68 711.28503),(69 708.31714),(70 709.5494),(71 716.69507),(72 714.52545),(73 712.30774),(74 710.9517),(75 707.51587),(76 705.76794),(77 704.0535),(78 701.06976),(79 710.20636),
(1 279.68048),(2 372.9018),(3 406.64093),(4 434.89267),(5 461.9294),(6 476.2226),(7 482.1433),(8 502.3406),(9 510.69257),(10 522.3087),(11 530.86395),(12 539.4638),(13 542.6779),(14 544.33984),(15 549.35645),(16 565.19403),(17 572.6049),(18 575.5721),(19 580.1532),(20 593.7145),(21 598.3847),(22 592.6422),(23 597.28705),(24 604.53284),(25 604.015),(26 611.89905),(27 611.2657),(28 616.8489),(29 615.34424),(30 616.16315),(31 613.99567),(32 610.889),(33 602.88),(34 606.6107),(35 612.7095),(36 608.74744),(37 605.9254),(38 606.70667),(39 602.07184),(40 601.381),(41 596.8778),(42 593.51807),(43 593.9242),(44 587.3861),(45 586.55975),(46 583.7778),(47 580.2833),(48 587.9681),(49 597.48126),(50 607.5635),(51 611.784),(52 616.59485),(53 622.6915),(54 627.9937),(55 637.0607),(56 640.3715),(57 646.65704),(58 646.49097),(59 645.47125),(60 650.2616),(61 657.2099),(62 656.3487),(63 660.55084),(64 657.14526),(65 655.05023),(66 650.19885),(67 661.5254),(68 668.8185),(69 669.14325),(70 668.5906),(71 671.02374),(72 676.59674),(73 683.4062),(74 676.61176),(75 678.5669),(76 673.2693),(77 665.19855),(78 660.5436),(79 662.52655),
(1 277.41986),(2 372.04044),(3 405.399),(4 431.2926),(5 447.31863),(6 460.08658),(7 470.84088),(8 493.66238),(9 511.488),(10 518.075),(11 531.49176),(12 542.90643),(13 544.2821),(14 546.12317),(15 549.7983),(16 561.69775),(17 569.672),(18 572.6071),(19 578.85254),(20 585.03033),(21 591.29205),(22 584.7291),(23 590.6138),(24 598.6161),(25 605.5149),(26 613.75555),(27 613.549),(28 613.7934),(29 617.86456),(30 619.3989),(31 616.12274),(32 613.8281),(33 605.71216),(34 608.89935),(35 609.69727),(36 607.0776),(37 606.3206),(38 607.4557),(39 596.1968),(40 591.79095),(41 591.39355),(42 590.84375),(43 586.4949),(44 589.7942),(45 585.9158),(46 580.80023),(47 588.98627),(48 590.9049),(49 600.76154),(50 608.79047),(51 617.6328),(52 625.92944),(53 634.4239),(54 636.37305),(55 639.0826),(56 641.2675),(57 643.99927),(58 651.7018),(59 647.8936),(60 645.2827),(61 650.9392),(62 651.1248),(63 654.90027),(64 656.01447),(65 651.4168),(66 654.5426),(67 657.91986),(68 663.659),(69 660.5458),(70 661.68243),(71 667.3292),(72 674.1309),(73 679.22516),(74 674.2303),(75 672.12787),(76 670.53925),(77 666.6016),(78 669.25653),(79 671.0294),
(1 273.35162),(2 360.25854),(3 392.26215),(4 414.3802),(5 437.8832),(6 453.94965),(7 467.63388),(8 483.55142),(9 499.29373),(10 512.31586),(11 521.3803),(12 527.31976),(13 529.85236),(14 533.57654),(15 542.20404),(16 549.32935),(17 559.06415),(18 566.94965),(19 564.54626),(20 572.3861),(21 580.2287),(22 574.0482),(23 583.2156),(24 594.55255),(25 597.2916),(26 603.19244),(27 603.049),(28 607.2337),(29 605.63367),(30 606.0676),(31 599.2454),(32 598.3807),(33 588.8687),(34 586.0166),(35 590.4618),(36 587.08856),(37 588.5784),(38 593.4629),(39 592.75336),(40 584.6652),(41 584.80756),(42 587.3093),(43 588.0279),(44 586.9272),(45 583.5764),(46 585.7407),(47 592.555),(48 599.7362),(49 605.95056),(50 612.5195),(51 614.2528),(52 614.26),(53 615.26074),(54 618.1801),(55 624.00836),(56 620.2659),(57 619.96387),(58 627.83923),(59 634.91425),(60 643.4917),(61 643.2336),(62 637.7434),(63 644.9374),(64 642.02277),(65 638.6758),(66 632.3056),(67 625.9472),(68 636.62115),(69 638.53906),(70 643.5846),(71 648.4579),(72 647.3364),(73 650.50354),(74 649.7518),(75 647.51196),(76 643.78644),(77 639.55493),(78 641.9698),(79 644.6786),
(1 261.35736),(2 340.2207),(3 372.52994),(4 398.2149),(5 417.17725),(6 430.56662),(7 440.5376),(8 459.66656),(9 468.29373),(10 478.02332),(11 485.52435),(12 490.1838),(13 493.5493),(14 498.57233),(15 496.65707),(16 505.72565),(17 513.88617),(18 520.0869),(19 527.198),(20 534.40686),(21 533.44415),(22 526.5746),(23 532.5263),(24 539.8896),(25 548.3122),(26 553.4609),(27 559.989),(28 557.09576),(29 555.0359),(30 557.16205),(31 552.92096),(32 550.3138),(33 546.3138),(34 543.33673),(35 546.38477),(36 548.39526),(37 550.10266),(38 544.54456),(39 540.33777),(40 539.4291),(41 536.88885),(42 530.9914),(43 535.1267),(44 532.5495),(45 535.0249),(46 535.7816),(47 541.26154),(48 540.60455),(49 548.0144),(50 552.14343),(51 557.0603),(52 564.8629),(53 567.9276),(54 569.0968),(55 570.60144),(56 574.0814),(57 578.2502),(58 586.1579),(59 587.1646),(60 583.7792),(61 589.3315),(62 587.3737),(63 588.11945),(64 585.8974),(65 585.25415),(66 589.97156),(67 586.6189),(68 593.159),(69 592.9868),(70 595.07697),(71 595.3194),(72 597.4738),(73 601.37177),(74 593.9453),(75 586.5317),(76 582.1445),(77 583.42444),(78 582.9437),(79 585.56525),
(1 258.8899),(2 342.71442),(3 370.75293),(4 393.27405),(5 411.414),(6 422.51147),(7 433.10666),(8 451.9057),(9 463.25275),(10 467.71655),(11 480.84674),(12 491.68088),(13 494.75687),(14 500.11877),(15 503.5557),(16 515.62537),(17 521.7291),(18 528.7195),(19 536.1874),(20 540.7042),(21 542.85864),(22 548.0034),(23 554.3169),(24 563.77374),(25 561.5057),(26 570.0362),(27 568.8357),(28 574.29626),(29 572.5428),(30 576.5416),(31 573.395),(32 570.6766),(33 566.20087),(34 562.7933),(35 563.2349),(36 557.874),(37 552.67896),(38 551.9495),(39 545.37036),(40 539.54486),(41 537.4105),(42 541.2815),(43 532.5397),(44 534.5388),(45 532.7697),(46 529.4595),(47 536.6281),(48 542.03424),(49 557.47766),(50 560.7618),(51 566.2263),(52 566.79645),(53 574.14557),(54 577.00586),(55 577.6273),(56 579.495),(57 583.70483),(58 588.7215),(59 587.17664),(60 582.36),(61 584.0619),(62 585.93475),(63 589.3539),(64 587.7631),(65 589.5456),(66 585.40704),(67 590.1012),(68 599.13367),(69 600.8671),(70 602.6948),(71 608.0731),(72 609.6652),(73 606.01154),(74 601.5058),(75 599.7838),(76 594.0647),(77 598.3376),(78 598.2787),(79 596.27747),
(1 252.8125),(2 332.26178),(3 354.91595),(4 374.04587),(5 393.1642),(6 405.7046),(7 420.3141),(8 438.54416),(9 442.92456),(10 455.28833),(11 462.22455),(12 475.79828),(13 477.9248),(14 481.53555),(15 481.51),(16 491.24478),(17 498.8291),(18 505.75534),(19 510.4429),(20 514.0827),(21 521.4175),(22 523.39886),(23 528.6226),(24 529.5895),(25 530.80597),(26 534.1898),(27 537.2948),(28 539.23285),(29 538.9786),(30 536.0906),(31 531.50684),(32 530.1432),(33 527.55023),(34 523.89923),(35 529.2821),(36 530.1898),(37 530.13354),(38 527.0478),(39 526.0661),(40 523.21564),(41 518.45917),(42 515.94446),(43 519.17365),(44 520.85944),(45 516.31085),(46 510.0426),(47 525.451),(48 529.8138),(49 537.1196),(50 546.6171),(51 549.01807),(52 548.25934),(53 558.11523),(54 559.8806),(55 564.0209),(56 567.2953),(57 573.4517),(58 571.6621),(59 578.5012),(60 578.2853),(61 584.75055),(62 589.32367),(63 588.6112),(64 590.4566),(65 584.6387),(66 587.08154),(67 589.85266),(68 598.5097),(69 595.0986),(70 601.3084),(71 602.1069),(72 602.99615),(73 605.70734),(74 594.9741),(75 591.19653),(76 581.5233),(77 583.1215),(78 578.0444),(79 578.13556),
(1 249.1435),(2 330.74557),(3 354.92847),(4 376.73703),(5 396.7261),(6 406.17667),(7 412.3791),(8 431.2319),(9 441.11804),(10 450.10532),(11 462.75894),(12 471.17856),(13 469.83746),(14 468.73682),(15 473.29172),(16 487.27206),(17 488.29794),(18 488.32333),(19 492.4672),(20 499.49344),(21 507.1687),(22 505.6168),(23 515.6273),(24 515.13696),(25 520.5072),(26 526.86743),(27 527.6207),(28 527.37286),(29 526.3167),(30 530.7406),(31 530.8059),(32 529.1146),(33 524.10004),(34 517.709),(35 519.14124),(36 515.8566),(37 515.69446),(38 518.58545),(39 513.97437),(40 506.2739),(41 506.48035),(42 509.89264),(43 512.20276),(44 509.9828),(45 507.49582),(46 507.19458),(47 509.12494),(48 513.48816),(49 520.38794),(50 534.3322),(51 537.54865),(52 541.09393),(53 545.4577),(54 548.66254),(55 554.3991),(56 562.0892),(57 564.3434),(58 563.91895),(59 564.641),(60 565.44885),(61 567.4256),(62 565.7185),(63 569.2515),(64 569.6066),(65 564.4435),(66 558.0537),(67 557.6713),(68 561.8978),(69 560.1273),(70 565.22125),(71 569.981),(72 569.58453),(73 565.1665),(74 559.8272),(75 558.6981),(76 552.12866),(77 547.8787),(78 544.9155),(79 545.9068),
(1 237.16988),(2 313.83453),(3 337.75766),(4 355.87393),(5 375.3506),(6 386.33807),(7 398.10715),(8 410.04602),(9 420.56897),(10 423.60425),(11 432.00833),(12 435.74887),(13 435.2188),(14 437.31006),(15 441.82962),(16 441.04843),(17 445.05722),(18 450.88504),(19 459.5293),(20 466.46472),(21 473.02615),(22 471.31033),(23 472.25476),(24 479.3455),(25 481.5443),(26 483.9311),(27 483.50647),(28 484.7681),(29 489.35922),(30 487.6281),(31 484.38678),(32 482.8059),(33 478.7617),(34 474.54327),(35 475.01053),(36 471.44397),(37 475.9747),(38 479.05975),(39 478.21408),(40 474.01593),(41 468.5556),(42 467.64395),(43 469.9035),(44 474.92654),(45 474.62796),(46 472.95004),(47 470.71564),(48 475.02185),(49 485.93222),(50 497.3482),(51 502.186),(52 505.00385),(53 508.40692),(54 510.17508),(55 512.72595),(56 514.23016),(57 514.6599),(58 522.7767),(59 523.65204),(60 527.2052),(61 525.80554),(62 522.9551),(63 523.6962),(64 526.39136),(65 527.4763),(66 529.07135),(67 529.45685),(68 530.7629),(69 528.3803),(70 526.12573),(71 524.7906),(72 526.91034),(73 530.39343),(74 523.7145),(75 517.426),(76 518.9286),(77 518.74054),(78 521.15656),(79 520.9252),
(1 233.35635),(2 307.06192),(3 328.00583),(4 344.4472),(5 356.31177),(6 363.75583),(7 367.03546),(8 379.57504),(9 392.76276),(10 398.72864),(11 407.15192),(12 412.62216),(13 409.27814),(14 410.81158),(15 409.3754),(16 413.99393),(17 419.2263),(18 421.01352),(19 425.45605),(20 431.7291),(21 437.0275),(22 432.74042),(23 442.56454),(24 449.22598),(25 450.05258),(26 448.57452),(27 452.31113),(28 455.03384),(29 456.7805),(30 460.04596),(31 454.33676),(32 452.65424),(33 449.38892),(34 449.6788),(35 453.9211),(36 454.88852),(37 452.57028),(38 451.6715),(39 449.3013),(40 450.5343),(41 444.173),(42 444.1986),(43 442.12408),(44 441.73438),(45 444.46454),(46 442.77005),(47 447.98074),(48 451.5118),(49 457.08286),(50 462.72925),(51 465.30792),(52 467.1133),(53 478.2298),(54 476.24954),(55 480.68246),(56 481.79056),(57 482.02283),(58 488.1717),(59 484.09454),(60 491.66675),(61 493.4158),(62 492.10522),(63 494.33017),(64 494.3966),(65 493.804),(66 495.76093),(67 496.5483),(68 504.8933),(69 502.07755),(70 504.40814),(71 504.44632),(72 498.48206),(73 498.5374),(74 497.09198),(75 493.86905),(76 492.94855),(77 489.4333),(78 491.15475),(79 494.0904),
(1 229.1322),(2 300.82666),(3 326.70117),(4 345.63605),(5 360.95523),(6 374.32108),(7 383.61746),(8 395.9909),(9 404.46448),(10 414.4614),(11 420.52963),(12 426.7651),(13 431.75928),(14 435.60452),(15 433.7543),(16 440.9966),(17 445.81094),(18 447.09967),(19 454.20303),(20 455.10773),(21 456.258),(22 458.11786),(23 460.99957),(24 464.5848),(25 471.9504),(26 473.73413),(27 474.56644),(28 478.11615),(29 482.88702),(30 482.5394),(31 479.2258),(32 479.4301),(33 478.5425),(34 476.0384),(35 476.12888),(36 476.57126),(37 474.369),(38 475.1591),(39 467.9209),(40 465.29227),(41 468.154),(42 472.22623),(43 471.42966),(44 469.93365),(45 466.06293),(46 462.39102),(47 469.78088),(48 467.65103),(49 467.30942),(50 473.68912),(51 482.79828),(52 483.35263),(53 486.0221),(54 486.8259),(55 490.3146),(56 492.4047),(57 491.2374),(58 499.1528),(59 495.07965),(60 491.9052),(61 493.67075),(62 493.16934),(63 498.78973),(64 501.219),(65 502.37244),(66 506.68677),(67 509.25763),(68 509.32404),(69 512.24524),(70 513.73114),(71 514.2648),(72 513.1285),(73 514.6565),(74 510.49725),(75 509.34692),(76 508.5331),(77 509.41144),(78 509.4314),(79 513.42975),
(1 222.71674),(2 292.9023),(3 317.3405),(4 333.53918),(5 343.73328),(6 349.83792),(7 361.31833),(8 377.23483),(9 385.35385),(10 390.18735),(11 397.90936),(12 404.40375),(13 409.09784),(14 410.58124),(15 406.05667),(16 412.46283),(17 415.77588),(18 419.39496),(19 427.68265),(20 431.97516),(21 432.6938),(22 430.8242),(23 431.077),(24 435.75226),(25 437.949),(26 436.98196),(27 436.0721),(28 443.50473),(29 442.11765),(30 448.13925),(31 448.62292),(32 445.3783),(33 445.38254),(34 443.6394),(35 444.37357),(36 440.4689),(37 443.41348),(38 445.56323),(39 439.9264),(40 435.44882),(41 432.1139),(42 435.324),(43 431.59174),(44 433.16425),(45 433.09845),(46 435.43784),(47 445.56516),(48 450.40378),(49 457.69336),(50 462.27722),(51 468.87015),(52 469.06665),(53 474.0566),(54 471.94037),(55 476.94797),(56 476.07617),(57 474.0914),(58 475.448),(59 475.56128),(60 471.5993),(61 472.0785),(62 473.06256),(63 479.25644),(64 477.2202),(65 474.73868),(66 469.73962),(67 474.10416),(68 473.4359),(69 473.30582),(70 475.82886),(71 478.43417),(72 476.9574),(73 479.0132),(74 477.9451),(75 471.46164),(76 467.45624),(77 472.2192),(78 474.27408),(79 472.87473),
