1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 29807.273),(2 46726.996),(3 56420.457),(4 108486.6),(5 152124.1),(6 182224.58),(7 256431.83),(8 322961.38),(9 376313),(10 463311),(11 545706.2),(12 618210.25),(13 725891.8),(14 823888.8),(15 937183.56),(16 1081217.6),(17 1230891.4),(18 1385386.9),(19 1579262),(20 1777710.1),(21 1986709.4),(22 2222920.8),(23 2459717.3),(24 2698800.8),(25 2954277.3),(26 3212776),(27 3502232.8),(28 3764550.3),(29 4054100.8),(30 4315052.5),(31 4616947),(32 4931991.5),(33 5236949),(34 5547777),(35 5898172.5),(36 6221600),(37 6573413.5),(38 6915813.5),(39 7268889.5),(40 7587429.5),(41 7909030.5),(42 8232209.5),(43 8525872),(44 8867799),(45 9229535),(46 9631581),(47 10066707),(48 10512878),(49 10986741),(50 11461861),(51 11920425),(52 12392380),(53 12889636),(54 13322811),(55 13778089),(56 14220213),(57 14651901),(58 15123619),(59 15583837),(60 15972109),(61 16432396),(62 16888360),(63 17316284),(64 17718810),(65 18100826),(66 18446224),(67 18748710),(68 19020088),(69 19241400),(70 19442426),(71 19663610),(72 19850286),(73 20100926),(74 20323368),(75 20571586),(76 20835710),(77 21143750),(78 21442932),(79 21708304),
(1 2663.9294),(2 6378.3486),(3 8119.5747),(4 8286.084),(5 8186.6914),(6 8674.793),(7 9334.049),(8 9510.735),(9 9401.145),(10 9495.522),(11 9800.425),(12 10208.329),(13 10502.942),(14 10413.619),(15 10371.132),(16 10495.123),(17 10788.335),(18 11028.835),(19 10874.027),(20 10658.622),(21 10717.129),(22 10788.039),(23 10716.564),(24 10717.23),(25 10752.696),(26 11080.673),(27 11381.263),(28 11497.457),(29 11584.221),(30 11603.487),(31 11674.821),(32 11706.737),(33 11909.907),(34 12415.61),(35 12847.198),(36 13215.749),(37 13404.579),(38 13501.864),(39 13903.884),(40 14291.416),(41 14420.923),(42 14595.849),(43 14810.768),(44 15157.851),(45 15482.176),(46 15637.225),(47 16015.819),(48 16284.871),(49 16187.388),(50 16266.137),(51 16464.166),(52 16566.96),(53 16828.51),(54 17113.25),(55 17033.566),(56 16823.262),(57 16865.848),(58 17012.816),(59 17403.732),(60 17653.2),(61 17705.502),(62 17737.162),(63 18002.115),(64 18281.572),(65 18518.133),(66 18606.447),(67 18746.455),(68 18935.877),(69 18897.055),(70 18713.262),(71 18596.713),(72 18631.455),(73 18837.234),(74 19090.402),(75 19370.201),(76 19316.346),(77 19413.275),(78 19325.85),(79 19220.943),
(1 2493.3674),(2 5980.1245),(3 7848.964),(4 8053.3843),(5 7944.611),(6 8180.131),(7 8678.88),(8 8943.756),(9 9056.121),(10 9039.179),(11 9113.878),(12 9277.382),(13 9590.133),(14 9766.754),(15 10031.495),(16 10292.801),(17 10468.404),(18 10540.795),(19 10352.312),(20 10268.639),(21 10394.599),(22 10573.361),(23 10639.901),(24 10593.487),(25 10581.532),(26 10869.381),(27 11190.327),(28 11388.901),(29 11500.18),(30 11544.701),(31 11700.974),(32 11859.0625),(33 11919.775),(34 12161.342),(35 12502.46),(36 12675.122),(37 12802.832),(38 12736.254),(39 12901.636),(40 13163.84),(41 13420.357),(42 13662.712),(43 13908.127),(44 14189.036),(45 14459.096),(46 14752.852),(47 15071.027),(48 15467.242),(49 15659.881),(50 15712.813),(51 16064.166),(52 16210.461),(53 16445.035),(54 16701.895),(55 16714.826),(56 16722.895),(57 16885.018),(58 16998.125),(59 17114.375),(60 17212.479),(61 17134.8),(62 17067.49),(63 17094.465),(64 17294.078),(65 17557.787),(66 17693.45),(67 17686.875),(68 17677.748),(69 17506.674),(70 17366.693),(71 17239.11),(72 17363.434),(73 17548.389),(74 17596.107),(75 17479.828),(76 17089.484),(77 17016.648),(78 17113.164),(79 17080.215),
(1 2547.7175),(2 5966.341),(3 7687.84),(4 7858.949),(5 7713.7617),(6 7975.7275),(7 8396.402),(8 8706.057),(9 8814.357),(10 8819.309),(11 8958.757),(12 9298.477),(13 9684.87),(14 9761.336),(15 9895.721),(16 10196.921),(17 10441.392),(18 10451.441),(19 10217.922),(20 10158.04),(21 10404.022),(22 10469.371),(23 10490.033),(24 10487.467),(25 10539.633),(26 10765.901),(27 10946.574),(28 11104.951),(29 11302.714),(30 11382.294),(31 11517.063),(32 11812.808),(33 12011.563),(34 12161.427),(35 12435.603),(36 12514.566),(37 12669.284),(38 12912.562),(39 13276.849),(40 13506.139),(41 13587.181),(42 13755.557),(43 13796.613),(44 13911.386),(45 14023.847),(46 14238.487),(47 14396.992),(48 14611.908),(49 14802.845),(50 14807.472),(51 14963.348),(52 15150.481),(53 15336.692),(54 15487.468),(55 15268.57),(56 15063.333),(57 15217.953),(58 15286.852),(59 15433.466),(60 15504.419),(61 15497.601),(62 15588.578),(63 15634.205),(64 15955.701),(65 16140.368),(66 16095.97),(67 16054.998),(68 16191.794),(69 16258.965),(70 16178.555),(71 16088.363),(72 16100.766),(73 16313.492),(74 16511.684),(75 16382.41),(76 16249.695),(77 16213.847),(78 16213.396),(79 16609.408),
(1 2533.22),(2 5971.478),(3 7737.283),(4 7918.5356),(5 7709.38),(6 7892.0527),(7 8158.194),(8 8446.393),(9 8742.759),(10 8923.67),(11 9084.951),(12 9310.509),(13 9607.481),(14 9596.314),(15 9581.211),(16 9871.112),(17 10278.054),(18 10316.746),(19 10188.519),(20 10145.277),(21 10141.527),(22 10145.315),(23 10137.5625),(24 10127.819),(25 10215.953),(26 10645.896),(27 10861.514),(28 10993.369),(29 11100.89),(30 11260.882),(31 11478.396),(32 11682.184),(33 11746.43),(34 11688.156),(35 11770.499),(36 11929.1875),(37 12181.3125),(38 12391.199),(39 12617.896),(40 12918.511),(41 13112.541),(42 13294.866),(43 13436.456),(44 13509.321),(45 13721.655),(46 14093.286),(47 14560.234),(48 14794.829),(49 14833.984),(50 14779.619),(51 14791.722),(52 14769.804),(53 14837.239),(54 14930.763),(55 15092.82),(56 15074.4795),(57 15151.396),(58 15120.508),(59 15275.011),(60 15395.633),(61 15356.426),(62 15204.2295),(63 15188.878),(64 15443.02),(65 15706.3545),(66 15786.683),(67 15764.954),(68 15895.386),(69 15829.357),(70 15821.522),(71 15917.766),(72 16023.76),(73 16131.338),(74 16005.201),(75 15850.415),(76 15856.105),(77 16055.976),(78 16051.297),(79 16350.431),
(1 2548.3586),(2 5986.9546),(3 7713.901),(4 7690.5425),(5 7300.09),(6 7461.4385),(7 7899.9736),(8 8214.439),(9 8414.399),(10 8603.596),(11 8939.585),(12 9247.331),(13 9318.267),(14 9243.365),(15 9477.036),(16 9903.263),(17 10189.861),(18 10042.898),(19 9743.508),(20 9832.181),(21 9916.585),(22 9896.522),(23 9879.344),(24 9853.502),(25 9880.255),(26 10044.486),(27 10250.657),(28 10471.159),(29 10642.618),(30 10776.555),(31 10974.801),(32 11073.327),(33 11223.197),(34 11291.1875),(35 11335.462),(36 11350.682),(37 11635.703),(38 11916.032),(39 12216.895),(40 12329.244),(41 12402.855),(42 12724.331),(43 12930.2705),(44 13137.433),(45 13498.507),(46 13835.766),(47 14157.04),(48 14256.699),(49 14254.235),(50 14332.126),(51 14512.571),(52 14589.516),(53 14835.78),(54 15045.82),(55 15060.352),(56 14991.3545),(57 15040.699),(58 15082.833),(59 15113.476),(60 15206.685),(61 15232.508),(62 15348.748),(63 15529.438),(64 15653.4375),(65 15644.565),(66 15692.343),(67 15855.099),(68 15921.852),(69 15867.233),(70 15697.48),(71 15666.258),(72 15945.635),(73 16061.123),(74 15984.924),(75 15741.233),(76 15540.628),(77 15454.765),(78 15347.456),(79 15566.115),
(1 2488.9358),(2 5822.962),(3 7577.4395),(4 7693.317),(5 7323.9272),(6 7252.2256),(7 7628.922),(8 8083.86),(9 8299.521),(10 8341.249),(11 8397.676),(12 8562.519),(13 8626.688),(14 8684.342),(15 9056.157),(16 9590.441),(17 9881.571),(18 9844.013),(19 9689.527),(20 9702.23),(21 9808.384),(22 9903.826),(23 9903.557),(24 9815.901),(25 9805.33),(26 10015.881),(27 10212.275),(28 10405.148),(29 10602.313),(30 10683.9),(31 10868.198),(32 11164.009),(33 11337.525),(34 11327.476),(35 11491.674),(36 11733.7295),(37 11981.605),(38 12188.333),(39 12483.507),(40 12726.634),(41 12921.843),(42 13222.045),(43 13189.816),(44 13320.299),(45 13718.401),(46 14122.66),(47 14306.518),(48 14300.655),(49 14188.634),(50 14265.954),(51 14472.702),(52 14372.585),(53 14334.292),(54 14512.594),(55 14705.211),(56 14815.843),(57 14898.179),(58 15094.457),(59 15132.512),(60 15222.777),(61 15043.273),(62 14983.742),(63 15087.748),(64 15195.796),(65 15144.801),(66 15096.948),(67 15072.561),(68 15062.304),(69 15001.816),(70 15059.324),(71 15169.35),(72 15361.981),(73 15328.465),(74 15331.939),(75 15225.836),(76 15176.184),(77 15190.665),(78 15269.587),(79 15512.199),
(1 2311.0037),(2 5387.6284),(3 6887.575),(4 6963.246),(5 6773.4385),(6 6907.842),(7 7143.761),(8 7397.553),(9 7623.373),(10 7859.0527),(11 8105.462),(12 8378.981),(13 8620.434),(14 8602.04),(15 8742.211),(16 9030.748),(17 9093.756),(18 8914.286),(19 8883.964),(20 9077.521),(21 9164.909),(22 9026.575),(23 8997.676),(24 8886.925),(25 8836.176),(26 8939.481),(27 9198.855),(28 9511.231),(29 9801.744),(30 9823.461),(31 9846.025),(32 10047.992),(33 10285.932),(34 10571.669),(35 10844.96),(36 11190.395),(37 11459.816),(38 11531.577),(39 11737.225),(40 11924.778),(41 12160.249),(42 12284.105),(43 12422.486),(44 12595.062),(45 12883.962),(46 13131.432),(47 13349.9375),(48 13367.799),(49 13350.788),(50 13525.59),(51 13706.324),(52 13922.915),(53 14154.833),(54 14454.365),(55 14670.169),(56 14601.581),(57 14551.043),(58 14602.183),(59 14650.664),(60 14582.621),(61 14264.188),(62 14082.304),(63 14268.336),(64 14563.952),(65 14597.612),(66 14703.226),(67 14730.624),(68 14737.025),(69 14750.443),(70 14825.319),(71 15144.36),(72 15429.057),(73 15382.006),(74 15380.423),(75 15422.991),(76 15323.156),(77 15294.696),(78 15472.013),(79 15690.891),
(1 2274.4836),(2 5088.1533),(3 6405.018),(4 6475.275),(5 6459.5093),(6 6826.9775),(7 7353.1807),(8 7664.4404),(9 7848.033),(10 8063.026),(11 8251.801),(12 8510.741),(13 8738.029),(14 8692.546),(15 8762.384),(16 8967.112),(17 9019.943),(18 8839.345),(19 8611.758),(20 8672.567),(21 8760.908),(22 8834.543),(23 8811.134),(24 8682.977),(25 8667.769),(26 8945.209),(27 9248.297),(28 9484.829),(29 9611.949),(30 9690.308),(31 9736.122),(32 9865.662),(33 10011.948),(34 10028.558),(35 10155.662),(36 10304.656),(37 10621.524),(38 10889.339),(39 11222.815),(40 11504.403),(41 11793.69),(42 12028.916),(43 12101.254),(44 12389.089),(45 12788.176),(46 13002.639),(47 13148.402),(48 13163.929),(49 13363.432),(50 13628.244),(51 13692.863),(52 13661.668),(53 13730.722),(54 13836.749),(55 13971.262),(56 13763.847),(57 13832.34),(58 13749.839),(59 13778.492),(60 13817.028),(61 13816.511),(62 13947.544),(63 14072.496),(64 14164.277),(65 14351.039),(66 14464.666),(67 14384.699),(68 14203.613),(69 14371.156),(70 14636.979),(71 14955.3955),(72 15123.979),(73 14978.714),(74 14852.526),(75 14825.459),(76 14894.082),(77 14891.959),(78 14969.495),(79 15180.3),
(1 2224.148),(2 5014.0586),(3 6370.3535),(4 6510.9224),(5 6365.473),(6 6549.17),(7 6917.396),(8 7158.1504),(9 7348.4253),(10 7542.674),(11 7831.6216),(12 8072.9277),(13 8203.935),(14 8180.718),(15 8396.623),(16 8637.752),(17 8514.476),(18 8372.29),(19 8354.201),(20 8411.793),(21 8426.204),(22 8503.308),(23 8564.201),(24 8512.258),(25 8576.951),(26 8811.277),(27 9131.783),(28 9366.116),(29 9554.367),(30 9650.028),(31 9772.157),(32 10029.058),(33 10346.223),(34 10572.829),(35 10843.032),(36 11018.563),(37 11231.89),(38 11559.427),(39 11979.566),(40 12368.807),(41 12534.884),(42 12713.364),(43 12785.55),(44 12966.478),(45 13181.735),(46 13391.296),(47 13683.642),(48 13796.217),(49 13841.6045),(50 13864.864),(51 13953.301),(52 14098.402),(53 14210.012),(54 14235.611),(55 14355.015),(56 14344.758),(57 14581.855),(58 14615.987),(59 14493.724),(60 14140.9375),(61 14140.724),(62 14408.915),(63 14480.468),(64 14397.412),(65 14523.5625),(66 14611.069),(67 14401.294),(68 14163.963),(69 14216.577),(70 14291.23),(71 14446.864),(72 14565.09),(73 14442.4375),(74 14320.131),(75 14179.819),(76 13971.821),(77 13893.695),(78 13869.915),(79 13791.804),
(1 2258.2756),(2 5084.963),(3 6402.3267),(4 6501.1934),(5 6358.5205),(6 6495.9326),(7 6745.62),(8 6982.339),(9 7223.755),(10 7448.5576),(11 7588.069),(12 7812.345),(13 7943.7295),(14 7868.212),(15 7968.589),(16 8160.1455),(17 8187.7217),(18 8136.3057),(19 8195.109),(20 8316.275),(21 8396.203),(22 8328.402),(23 8412.414),(24 8510.749),(25 8673.786),(26 8914.029),(27 8995.941),(28 9065.47),(29 9124.81),(30 9145.944),(31 9253.232),(32 9457.214),(33 9478.465),(34 9476.956),(35 9621.871),(36 9811.463),(37 10082.816),(38 10245.525),(39 10662.974),(40 11022.929),(41 11296.863),(42 11428.72),(43 11356.007),(44 11456.18),(45 11700.13),(46 11893.253),(47 12180.891),(48 12354.86),(49 12419.101),(50 12380.395),(51 12368.17),(52 12504.462),(53 12633.928),(54 12876.797),(55 12906.101),(56 12845.711),(57 13085.028),(58 13166.491),(59 13053.975),(60 12859.919),(61 12853.691),(62 13173.728),(63 13302.427),(64 13271.818),(65 13251.631),(66 13174.871),(67 13077.278),(68 13097.259),(69 13187.47),(70 13339.118),(71 13323.178),(72 13280.735),(73 13344.184),(74 13286.974),(75 13110.831),(76 12970.294),(77 13007.749),(78 13206.335),(79 13330.113),
(1 2222.8784),(2 5140.4756),(3 6552.0986),(4 6682.175),(5 6632.571),(6 6725.976),(7 6917.256),(8 7107.9717),(9 7351.9424),(10 7544.27),(11 7629.256),(12 7780.432),(13 7759.679),(14 7669.6597),(15 7816.2007),(16 8051.48),(17 8062.9155),(18 8038.453),(19 8038.0205),(20 8029.844),(21 7973.071),(22 7876.744),(23 7916.1997),(24 7972.572),(25 8205.256),(26 8587.837),(27 8866.74),(28 9050.619),(29 9108.707),(30 9263.504),(31 9520.542),(32 9774.323),(33 9941.858),(34 10088.493),(35 10288.239),(36 10544.529),(37 10754.033),(38 10913.612),(39 11107.34),(40 11260.151),(41 11321.345),(42 11369.177),(43 11401.995),(44 11506.574),(45 11812.288),(46 12084.364),(47 12202.126),(48 12266.381),(49 12400.664),(50 12390.128),(51 12121.927),(52 12197.906),(53 12441.332),(54 12614.993),(55 12522.6),(56 12582.545),(57 12690.15),(58 12598.616),(59 12486.191),(60 12395.016),(61 12487.582),(62 12668.881),(63 12823.739),(64 12810.245),(65 12825.235),(66 12874.559),(67 12665.059),(68 12584.934),(69 12733.306),(70 12761.744),(71 12721.507),(72 12756.12),(73 12808.039),(74 12642.575),(75 12663.613),(76 12756.696),(77 13004.895),(78 13075.7705),(79 13168.712),
(1 2206.4258),(2 4943.929),(3 6311.8794),(4 6468.3105),(5 6458.2847),(6 6666.5874),(7 6871.8203),(8 7002.717),(9 7165.178),(10 7237.7114),(11 7327.9487),(12 7483.8877),(13 7588.5615),(14 7575.0435),(15 7646.862),(16 7816.263),(17 7747.538),(18 7659.1772),(19 7671.8667),(20 7756.0337),(21 7758.609),(22 7745.092),(23 7929.679),(24 8073.9077),(25 8178.4624),(26 8347.902),(27 8442.295),(28 8510.297),(29 8636.19),(30 8740.359),(31 8838.787),(32 8910.946),(33 8927.833),(34 8917.739),(35 9197.901),(36 9389.0625),(37 9580.633),(38 9612.325),(39 9796.563),(40 10037.417),(41 10225.526),(42 10346.235),(43 10413.79),(44 10525.7705),(45 10879.877),(46 11102.222),(47 11324.693),(48 11492.156),(49 11623.742),(50 11509.645),(51 11382.081),(52 11552.562),(53 11971.313),(54 12242.451),(55 12260.8545),(56 12254.785),(57 12441.284),(58 12425.016),(59 12274.045),(60 12139.45),(61 12240.059),(62 12316.73),(63 12380.04),(64 12286.908),(65 12314.723),(66 12384.299),(67 12433.079),(68 12535.954),(69 12452.922),(70 12397.775),(71 12377.483),(72 12432.707),(73 12578.534),(74 12621.816),(75 12582.112),(76 12547.671),(77 12697.259),(78 12770.735),(79 12714.191),
(1 2180.2756),(2 4840.8496),(3 6193.1797),(4 6302.055),(5 6201.17),(6 6352.987),(7 6484.1934),(8 6648.801),(9 6811.443),(10 6989.7393),(11 7023.9136),(12 7135.779),(13 7217.46),(14 7279.7124),(15 7386.146),(16 7470.1816),(17 7371.1553),(18 7212.885),(19 7138.966),(20 7208.007),(21 7289.159),(22 7349.6675),(23 7467.299),(24 7587.6616),(25 7639.6816),(26 7725.9634),(27 7726.7173),(28 7797.575),(29 8056.177),(30 8221.584),(31 8221.056),(32 8368.182),(33 8611.96),(34 8623.619),(35 8839.976),(36 8911.368),(37 9014.149),(38 9139.165),(39 9393.098),(40 9628.659),(41 9873.923),(42 10175.847),(43 10325.957),(44 10346.743),(45 10495.414),(46 10852.098),(47 11180.835),(48 11294.837),(49 11270.863),(50 11336.718),(51 11422.667),(52 11827.734),(53 12027.783),(54 12019.581),(55 12045.663),(56 11987.915),(57 12113.242),(58 12117.348),(59 12029.49),(60 12173.389),(61 12286.064),(62 12354.881),(63 12415.822),(64 12451.708),(65 12428.349),(66 12361.956),(67 12367.885),(68 12406.18),(69 12362.986),(70 12377.877),(71 12333.387),(72 12277.907),(73 12254.989),(74 12069.889),(75 11957.74),(76 11945.59),(77 12132.617),(78 12239.106),(79 12478.085),
(1 2223.848),(2 4956.054),(3 6115.4824),(4 6075.5103),(5 5915.183),(6 6173.7734),(7 6321.947),(8 6461.6987),(9 6603.82),(10 6712.0483),(11 6768.1157),(12 6923.264),(13 6955.4),(14 6926.6504),(15 7154.2744),(16 7197.085),(17 7261.599),(18 7319.356),(19 7341.201),(20 7331.826),(21 7252.326),(22 7273.7417),(23 7353.6406),(24 7340.3545),(25 7369.743),(26 7436.1665),(27 7481.913),(28 7584.9595),(29 7805.9844),(30 8045.0273),(31 8242.907),(32 8361.065),(33 8419.964),(34 8586.989),(35 8779.628),(36 8689.37),(37 8612.332),(38 8714.2),(39 9026.705),(40 9318.158),(41 9386.9),(42 9438.776),(43 9491.304),(44 9591.652),(45 9931.358),(46 10289.398),(47 10567.3),(48 10575.402),(49 10539.597),(50 10573.72),(51 10747.273),(52 11085.315),(53 11243.825),(54 11210.004),(55 11095.772),(56 11128.597),(57 11126.784),(58 11196.593),(59 11401.094),(60 11481.152),(61 11509.058),(62 11378.203),(63 11394.761),(64 11595.667),(65 11557.833),(66 11406.353),(67 11435.858),(68 11430.594),(69 11388.78),(70 11480.107),(71 11536.196),(72 11438.945),(73 11360.882),(74 11237.885),(75 11291.122),(76 11319.753),(77 11387.418),(78 11415.515),(79 11455.103),
(1 2136.6106),(2 4714.0117),(3 5728.79),(4 5765.15),(5 5782.546),(6 6097.94),(7 6394.097),(8 6549.593),(9 6749.196),(10 6746.769),(11 6803.0054),(12 6924.9473),(13 7047.5635),(14 7043.3174),(15 7041.6445),(16 7108.1953),(17 7016.563),(18 7026.4663),(19 7274.4854),(20 7422.2065),(21 7374.147),(22 7352.9785),(23 7359.868),(24 7261.096),(25 7214.2563),(26 7336.3936),(27 7539.9917),(28 7711.5386),(29 7857.2437),(30 8048.016),(31 8311.631),(32 8603.136),(33 8777.931),(34 8968.365),(35 9123.649),(36 9165.818),(37 9172.506),(38 9404.556),(39 9808.128),(40 10073.521),(41 10172.782),(42 10258.3545),(43 10327.238),(44 10402.133),(45 10654.687),(46 10829.559),(47 10870.577),(48 10949.867),(49 11108.716),(50 11152.104),(51 11327.142),(52 11470.122),(53 11487.262),(54 11277.661),(55 11173.131),(56 11277.964),(57 11428.013),(58 11405.939),(59 11579.883),(60 11745.956),(61 11801.629),(62 11608.447),(63 11604.918),(64 11737.371),(65 11740.464),(66 11818.061),(67 11779.331),(68 11714.006),(69 11647.391),(70 11531.34),(71 11695.184),(72 11807.903),(73 11686.215),(74 11689.351),(75 11891.924),(76 12016.245),(77 11908.318),(78 11948.249),(79 11997.318),
(1 2159.366),(2 4703.763),(3 5732.9253),(4 5645.525),(5 5597.219),(6 5857.1606),(7 6106.3374),(8 6264.554),(9 6428.642),(10 6576.4565),(11 6735.372),(12 6904.2563),(13 6976.33),(14 7086.7266),(15 7065.5327),(16 7056.602),(17 7072.8936),(18 7152.7427),(19 7331.6836),(20 7356.1265),(21 7160.5493),(22 7156.6875),(23 7310.341),(24 7390.412),(25 7408.1953),(26 7524.2617),(27 7622.598),(28 7691.2944),(29 7708.408),(30 7839.6704),(31 8085.7817),(32 8170.8525),(33 8202.654),(34 8218.203),(35 8236.235),(36 8306.005),(37 8539.898),(38 8745.737),(39 8872.528),(40 8871.394),(41 8934.758),(42 9048.023),(43 9162.818),(44 9270.721),(45 9446.027),(46 9642.011),(47 9822.622),(48 9854.266),(49 9979.791),(50 10276.937),(51 10428.895),(52 10363.518),(53 10357.247),(54 10418.702),(55 10577.876),(56 10722.475),(57 10933.498),(58 11067.856),(59 11186.168),(60 11110.596),(61 11035.47),(62 11156.919),(63 11166.78),(64 11242.945),(65 11284.084),(66 11330.758),(67 11399.154),(68 11339.459),(69 11286.627),(70 11180.197),(71 11125.402),(72 11202.557),(73 11188.775),(74 11333.34),(75 11550.295),(76 11556.496),(77 11619.096),(78 11559.874),(79 11584.411),
(1 2120.907),(2 4589.3867),(3 5612.0396),(4 5556.781),(5 5492.792),(6 5807.0903),(7 6042.2085),(8 6369.714),(9 6561.356),(10 6684.149),(11 6811.581),(12 7016.7134),(13 7181.607),(14 7189.5156),(15 7216.2314),(16 7247.9985),(17 7138.7666),(18 7104.3013),(19 7176.098),(20 7177.342),(21 7087.361),(22 7053.0415),(23 7120.944),(24 7149.443),(25 7226.9443),(26 7317.8657),(27 7375.302),(28 7539.7197),(29 7763.02),(30 7949.406),(31 8073.942),(32 8115.9844),(33 8206.649),(34 8279.933),(35 8496.386),(36 8626.344),(37 8886.871),(38 9071.181),(39 9246.543),(40 9306.557),(41 9378.374),(42 9505.503),(43 9598.604),(44 9660.383),(45 9675.074),(46 9774.362),(47 9972.102),(48 10163.507),(49 10354.139),(50 10664.291),(51 10915.887),(52 10918.453),(53 10853.38),(54 10970.779),(55 11052.56),(56 11029.049),(57 11114.548),(58 11256.927),(59 11405.17),(60 11362.809),(61 11245.144),(62 11257.508),(63 11423.25),(64 11625.664),(65 11617.94),(66 11718.344),(67 11829.786),(68 11934.699),(69 11993.139),(70 11953.436),(71 11832.188),(72 11745.25),(73 11672.763),(74 11794.1455),(75 11802.826),(76 11750.357),(77 11665.304),(78 11625.989),(79 11714.361),
