1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1235.8961),(2 2218.0847),(3 2669.615),(4 2915.5034),(5 3100.822),(6 3224.6438),(7 3343.1926),(8 3430.3425),(9 3511.1775),(10 3602.787),(11 3665.811),(12 3640.1025),(13 3640.6917),(14 3691.8787),(15 3768.2356),(16 3790.0881),(17 3842.8726),(18 3882.8757),(19 3879.474),(20 3880.5793),(21 3901.5298),(22 3912.244),(23 3927.0686),(24 3939.4402),(25 3989.6533),(26 4022.2424),(27 4052.2224),(28 4012.1367),(29 4039.2202),(30 4093.8765),(31 4145.9233),(32 4183.7373),(33 4210.404),(34 4196.5464),(35 4192.503),(36 4193.9873),(37 4214.3647),(38 4212.652),(39 4257.7896),(40 4262.419),(41 4232.376),(42 4157.943),(43 4185.1167),(44 4189.5933),(45 4184.007),(46 4162.212),(47 4156.4175),(48 4153.002),(49 4168.7295),(50 4192.0024),(51 4257.033),(52 4304.3413),(53 4327.6606),(54 4284.912),(55 4222.461),(56 4216.3403),(57 4218.734),(58 4247.537),(59 4225.263),(60 4161.529),(61 4175.4907),(62 4182.9053),(63 4206.669),(64 4191.5835),(65 4195.3745),(66 4199.0244),(67 4217.412),(68 4205.5454),(69 4157.507),(70 4118.146),(71 4110.73),(72 4081.0676),(73 4069.1584),(74 4055.1824),(75 4054.6758),(76 4025.1707),(77 4007.768),(78 4001.267),(79 4019.7212),
(1 1232.2192),(2 2197.092),(3 2662.3435),(4 2883.8577),(5 3050.9575),(6 3179.2104),(7 3288.1191),(8 3329.1414),(9 3421.8586),(10 3536.4465),(11 3625.5369),(12 3633.8164),(13 3614.0063),(14 3651.4712),(15 3695.6326),(16 3706.1206),(17 3724.1401),(18 3773.128),(19 3761.8066),(20 3775.3665),(21 3807.4243),(22 3862.7617),(23 3887.784),(24 3920.4905),(25 3935.8518),(26 3918.1704),(27 3971.5798),(28 3988.2908),(29 4001.2507),(30 4004.3296),(31 4026.688),(32 4011.0215),(33 4012.1997),(34 4026.1914),(35 4050.0757),(36 4051.898),(37 4089.167),(38 4129.975),(39 4166.518),(40 4186.3105),(41 4186.7153),(42 4184.6567),(43 4246.1636),(44 4288.9736),(45 4328.494),(46 4321.234),(47 4339.266),(48 4319.859),(49 4312.641),(50 4295.468),(51 4302.3384),(52 4290.478),(53 4291.702),(54 4269.7124),(55 4209.239),(56 4184.0693),(57 4195.8813),(58 4285.39),(59 4272.8867),(60 4270.381),(61 4245.2725),(62 4250.828),(63 4315.515),(64 4296.0806),(65 4299.3613),(66 4325.197),(67 4311.7646),(68 4299.9927),(69 4252.0107),(70 4177.6353),(71 4150.111),(72 4095.35),(73 4096.08),(74 4102.415),(75 4078.652),(76 4049.367),(77 4066.3862),(78 4073.573),(79 4062.1433),
(1 1212.3326),(2 2171.0642),(3 2635.5076),(4 2885.535),(5 3085.0264),(6 3226.0432),(7 3324.5007),(8 3367.6995),(9 3422.493),(10 3501.3325),(11 3560.2446),(12 3554.8162),(13 3588.4768),(14 3606.9907),(15 3690.5996),(16 3724.8088),(17 3755.7273),(18 3773.6763),(19 3765.9077),(20 3819.601),(21 3868.02),(22 3908.6772),(23 3919.4734),(24 3939.542),(25 3949.0342),(26 3944.9812),(27 3959.709),(28 3935.506),(29 3944.958),(30 3975.9714),(31 3974.593),(32 3988.0037),(33 3997.5513),(34 4014.208),(35 4010.2173),(36 4053.4858),(37 4123.3096),(38 4172.6006),(39 4202.8154),(40 4264.0127),(41 4274.224),(42 4254.7314),(43 4278.6543),(44 4328.3877),(45 4354.241),(46 4413.5156),(47 4510.444),(48 4520.6646),(49 4512.897),(50 4478.671),(51 4497.8706),(52 4497.765),(53 4442.8335),(54 4426.9775),(55 4455.019),(56 4470.866),(57 4497.5283),(58 4512.691),(59 4504.759),(60 4517.369),(61 4464.426),(62 4463.8584),(63 4513.5967),(64 4508.6),(65 4468.1284),(66 4434.517),(67 4419.318),(68 4402.7817),(69 4343.779),(70 4300.7),(71 4297.974),(72 4228.815),(73 4208.2476),(74 4159.4624),(75 4146.1455),(76 4152.874),(77 4189.9595),(78 4176.792),(79 4182.748),
(1 1189.543),(2 2129.5474),(3 2562.531),(4 2772.1213),(5 2982.8958),(6 3134.5261),(7 3236.3474),(8 3283.5405),(9 3346.3384),(10 3454.7466),(11 3515.985),(12 3525.9016),(13 3561.3018),(14 3600.4565),(15 3666.969),(16 3682.4104),(17 3708.699),(18 3748.0688),(19 3752.1165),(20 3777.4731),(21 3800.6096),(22 3814.6677),(23 3823.7593),(24 3813.141),(25 3851.1853),(26 3862.0864),(27 3934.0493),(28 3964.6345),(29 3988.0251),(30 4009.8994),(31 3992.2603),(32 3990.3875),(33 4024.7314),(34 4028.835),(35 4031.4011),(36 4069.4404),(37 4109.3203),(38 4158.7285),(39 4171.5635),(40 4225.5103),(41 4223.4443),(42 4221.94),(43 4265.0547),(44 4289.415),(45 4269.509),(46 4335.309),(47 4393.1973),(48 4378.5347),(49 4363.5845),(50 4354.689),(51 4396.133),(52 4435.297),(53 4414.471),(54 4423.008),(55 4388.776),(56 4374.116),(57 4357.213),(58 4372.5884),(59 4369.073),(60 4382.5493),(61 4379.0483),(62 4384.8975),(63 4419.55),(64 4385.6016),(65 4347.7974),(66 4342.789),(67 4310.5693),(68 4278.7607),(69 4194.1436),(70 4150.754),(71 4121.1396),(72 4105.0063),(73 4095.2334),(74 4061.7695),(75 4031.3052),(76 3992.3022),(77 3965.936),(78 3997.098),(79 4011.098),
(1 1189.3373),(2 2106.8992),(3 2553.6257),(4 2751.8042),(5 2912.2585),(6 3066.2913),(7 3161.8105),(8 3227.0076),(9 3345.864),(10 3439.942),(11 3471.0264),(12 3499.2842),(13 3539.912),(14 3549.5977),(15 3587.1147),(16 3542.7302),(17 3564.501),(18 3626.0417),(19 3604.6975),(20 3600.0205),(21 3651.6814),(22 3695.0645),(23 3711.5488),(24 3701.9573),(25 3747.7383),(26 3773.4666),(27 3797.4639),(28 3833.75),(29 3878.9087),(30 3915.2903),(31 3943.8657),(32 3972.8445),(33 3970.3115),(34 3963.7446),(35 3969.9883),(36 3944.8552),(37 4030.7078),(38 4092.4382),(39 4123.797),(40 4137.24),(41 4142.1855),(42 4135.1826),(43 4159.013),(44 4155.164),(45 4151.146),(46 4212.097),(47 4234.4834),(48 4231.5283),(49 4235.039),(50 4249.1426),(51 4358.7075),(52 4385.2227),(53 4345.3213),(54 4296.876),(55 4247.7256),(56 4231.502),(57 4193.0737),(58 4193.7856),(59 4237.0527),(60 4225.8833),(61 4221.0176),(62 4203.344),(63 4183.9185),(64 4141.0913),(65 4129.776),(66 4154.0684),(67 4128.72),(68 4098.9316),(69 4099.4526),(70 4101.4775),(71 4072.6594),(72 4038.387),(73 4014.1746),(74 3990.042),(75 3975.804),(76 3958.4639),(77 3933.1865),(78 3920.7378),(79 3870.5283),
(1 1166.728),(2 2110.2595),(3 2595.922),(4 2805.6296),(5 2980.1584),(6 3109.1382),(7 3198.6702),(8 3227.3591),(9 3298.318),(10 3369.115),(11 3419.2217),(12 3432.8545),(13 3473.867),(14 3502.155),(15 3538.3198),(16 3525.593),(17 3534.3218),(18 3557.334),(19 3501.2688),(20 3529.4622),(21 3586.8806),(22 3625.747),(23 3691.5024),(24 3687.3376),(25 3735.3503),(26 3780.1604),(27 3864.9253),(28 3856.6597),(29 3867.2813),(30 3890.282),(31 3913.375),(32 3915.9954),(33 3907.1953),(34 3910.003),(35 3912.2964),(36 3912.702),(37 3937.0867),(38 3990.547),(39 4027.1404),(40 4053.9707),(41 4079.2678),(42 4094.971),(43 4114.9414),(44 4113.668),(45 4096.091),(46 4110.216),(47 4139.44),(48 4170.3125),(49 4170.044),(50 4180.0815),(51 4200.8975),(52 4223.0654),(53 4199.6973),(54 4165.317),(55 4130.3115),(56 4086.3828),(57 4076.0142),(58 4106.49),(59 4113.2373),(60 4136.691),(61 4170.778),(62 4153.2837),(63 4114.899),(64 4083.722),(65 4042.8706),(66 4053.2964),(67 4021.3723),(68 3971.0264),(69 3912.0786),(70 3893.914),(71 3839.8987),(72 3794.7827),(73 3806.7827),(74 3768.5344),(75 3771.461),(76 3730.07),(77 3722.132),(78 3726.2402),(79 3742.9873),
(1 1160.7478),(2 2056.5457),(3 2485.2878),(4 2704.5054),(5 2908.6228),(6 3043.8347),(7 3117.3826),(8 3192.5986),(9 3292.2354),(10 3345.2498),(11 3376.2783),(12 3350.4045),(13 3335.2869),(14 3352.7253),(15 3402.6155),(16 3372.8123),(17 3352.3176),(18 3376.7273),(19 3360.7297),(20 3391.5986),(21 3444.3167),(22 3478.019),(23 3479.3928),(24 3468.7002),(25 3515.7507),(26 3590.5286),(27 3661.9875),(28 3674.0356),(29 3698.6033),(30 3698.7385),(31 3763.8428),(32 3756.463),(33 3720.0535),(34 3726.8604),(35 3736.3518),(36 3768.082),(37 3805.692),(38 3843.1228),(39 3863.4587),(40 3894.498),(41 3912.3577),(42 3906.045),(43 3940.3857),(44 3948.1523),(45 3973.6448),(46 4015.9426),(47 4051.3232),(48 4107.83),(49 4119.5435),(50 4102.059),(51 4108.545),(52 4113.269),(53 4113.936),(54 4124.1035),(55 4093.0808),(56 4066.8257),(57 4055.4587),(58 4069.9485),(59 4048.9807),(60 4053.9119),(61 4057.2102),(62 4013.1863),(63 4008.9646),(64 3978.2507),(65 3923.5986),(66 3906.026),(67 3899.7432),(68 3861.3477),(69 3845.691),(70 3822.579),(71 3817.164),(72 3776.9592),(73 3759.5027),(74 3743.7483),(75 3713.4077),(76 3719.7327),(77 3728.2822),(78 3721.5535),(79 3716.817),
(1 1145.9814),(2 2030.7963),(3 2444.8145),(4 2691.6602),(5 2872.65),(6 3011.6318),(7 3113.3306),(8 3208.8774),(9 3296.3264),(10 3350.1484),(11 3362.215),(12 3312.3308),(13 3340.9253),(14 3360.7458),(15 3374.9739),(16 3359.068),(17 3344.567),(18 3378.1484),(19 3351.335),(20 3376.2583),(21 3428.0708),(22 3492.2085),(23 3490.6),(24 3491.0166),(25 3491.2666),(26 3513.755),(27 3514.8894),(28 3536.4084),(29 3511.2283),(30 3527.4026),(31 3536.834),(32 3569.134),(33 3605.6077),(34 3639.4766),(35 3644.758),(36 3666.5718),(37 3710.567),(38 3769.6501),(39 3819.913),(40 3870.1316),(41 3903.6353),(42 3914.92),(43 3947.2334),(44 3972.7075),(45 4029.624),(46 4083.6877),(47 4122.6987),(48 4149.8564),(49 4137.313),(50 4120.372),(51 4157.3013),(52 4192.6494),(53 4205.298),(54 4209.287),(55 4211.4478),(56 4245.738),(57 4268.9595),(58 4256.3696),(59 4227.4595),(60 4208.562),(61 4161.4434),(62 4157.779),(63 4154.236),(64 4120.5664),(65 4041.9858),(66 4010.9268),(67 3968.3777),(68 3916.915),(69 3895.3008),(70 3888.384),(71 3889.1265),(72 3884.4902),(73 3886.6982),(74 3879.4011),(75 3870.6533),(76 3874.009),(77 3854.8228),(78 3861.1035),(79 3865.96),
(1 1144.7295),(2 2012.0675),(3 2416.3384),(4 2605.2563),(5 2802.8643),(6 2962.937),(7 3021.3513),(8 3069.6995),(9 3110.108),(10 3170.1594),(11 3218.0752),(12 3239.823),(13 3291.4033),(14 3271.903),(15 3283.6067),(16 3234.1394),(17 3218.616),(18 3240.1287),(19 3250.9888),(20 3315.4653),(21 3364.8574),(22 3396.5986),(23 3402.6248),(24 3390.0728),(25 3384.4114),(26 3394.8513),(27 3410.9143),(28 3394.628),(29 3408.2224),(30 3427.2346),(31 3438.5295),(32 3438.4072),(33 3476.8572),(34 3518.33),(35 3556.0415),(36 3585.1243),(37 3650.1392),(38 3687.1643),(39 3746.8242),(40 3792.9602),(41 3802.093),(42 3790.0378),(43 3800.7493),(44 3804.8682),(45 3817.4824),(46 3830.6182),(47 3884.9558),(48 3908.5122),(49 3918.4187),(50 3937.2502),(51 4019.5735),(52 4047.5745),(53 4043.5222),(54 4073.6028),(55 4061.7773),(56 4033.3264),(57 4012.3567),(58 4004.1196),(59 4021.8464),(60 3957.853),(61 3916.0322),(62 3873.5432),(63 3870.1165),(64 3884.1143),(65 3839.3757),(66 3795.2012),(67 3768.9707),(68 3801.3823),(69 3831.969),(70 3821.2383),(71 3838.8198),(72 3841.7207),(73 3826.2563),(74 3820.9014),(75 3824.0151),(76 3851.0378),(77 3842.4814),(78 3836.6028),(79 3840.927),
(1 1125.3195),(2 1947.3055),(3 2339.7666),(4 2531.9973),(5 2693.95),(6 2851.3574),(7 2911.8635),(8 2917.9028),(9 2986.616),(10 3071.3792),(11 3113.3613),(12 3101.277),(13 3159.7346),(14 3157.851),(15 3209.793),(16 3238.3506),(17 3241.043),(18 3254.7183),(19 3288.3838),(20 3335.5127),(21 3330.144),(22 3341.2585),(23 3349.569),(24 3334.035),(25 3353.347),(26 3353.7915),(27 3374.4087),(28 3350.657),(29 3349.9197),(30 3364.9321),(31 3371.3022),(32 3357.1838),(33 3403.797),(34 3410.6978),(35 3396.9333),(36 3389.5642),(37 3406.937),(38 3462.5398),(39 3508.5366),(40 3544.5027),(41 3586.743),(42 3610.974),(43 3609.1814),(44 3625.2026),(45 3639.0715),(46 3647.1145),(47 3692.288),(48 3698.5608),(49 3734.4866),(50 3785.5903),(51 3877.607),(52 3905.4756),(53 3885.587),(54 3860.5164),(55 3859.7268),(56 3833.5193),(57 3847.645),(58 3827.6812),(59 3838.8313),(60 3840.2249),(61 3804.7463),(62 3769.8577),(63 3752.2007),(64 3781.4495),(65 3768.4988),(66 3750.3691),(67 3731.6406),(68 3708.853),(69 3725.0757),(70 3699.763),(71 3703.0676),(72 3681.8137),(73 3675.2705),(74 3694.8838),(75 3715.6582),(76 3728.7075),(77 3722.7083),(78 3707.665),(79 3691.715),
(1 1095.2695),(2 1900.3901),(3 2311.3748),(4 2534.7468),(5 2719.2358),(6 2867.097),(7 2939.252),(8 2982.2278),(9 2995.0085),(10 3028.2786),(11 3059.7827),(12 3035.88),(13 3100.6865),(14 3131.0305),(15 3142.1157),(16 3180.6477),(17 3205.1624),(18 3236.1628),(19 3192.0313),(20 3189.9475),(21 3195.0876),(22 3186.445),(23 3196.4077),(24 3213.8354),(25 3260.6665),(26 3283.9297),(27 3331.039),(28 3352.17),(29 3354.7644),(30 3355.484),(31 3351.2637),(32 3322.592),(33 3354.9087),(34 3342.2827),(35 3335.9697),(36 3351.774),(37 3366.0928),(38 3415.0745),(39 3486.5522),(40 3525.3892),(41 3559.2898),(42 3573.167),(43 3596.556),(44 3624.0344),(45 3663.6038),(46 3688.0364),(47 3709.4004),(48 3697.1755),(49 3691.0356),(50 3668.5327),(51 3731.7544),(52 3732.2156),(53 3725.2556),(54 3736.5032),(55 3738.2297),(56 3745.8125),(57 3722.5425),(58 3707.2954),(59 3719.0947),(60 3697.7122),(61 3669.4543),(62 3667.0447),(63 3724.8567),(64 3737.3606),(65 3700.7493),(66 3679.9297),(67 3648.1646),(68 3600.8877),(69 3568.0623),(70 3577.32),(71 3603.136),(72 3608.0483),(73 3601.7314),(74 3611.4612),(75 3633.9749),(76 3594.5276),(77 3593.556),(78 3562.545),(79 3545.5388),
(1 1077.8302),(2 1836.0287),(3 2223.989),(4 2434.4387),(5 2607.0706),(6 2725.6633),(7 2799.6672),(8 2837.2659),(9 2893.7778),(10 2949.9644),(11 2953.0923),(12 2908.7832),(13 2962.8381),(14 2972.6282),(15 2994.199),(16 3009.4978),(17 3024.3083),(18 3048.9421),(19 3041.6296),(20 3085.9473),(21 3105.6802),(22 3117.271),(23 3144.5356),(24 3135.0527),(25 3166.0981),(26 3210.4983),(27 3268.126),(28 3304.6897),(29 3304.133),(30 3299.6748),(31 3287.0881),(32 3268.7048),(33 3260.2622),(34 3270.501),(35 3284.9368),(36 3326.0122),(37 3346.7607),(38 3378.8289),(39 3438.5579),(40 3498.5857),(41 3528.7908),(42 3601.3772),(43 3660.237),(44 3671.122),(45 3698.438),(46 3714.5461),(47 3756.1611),(48 3771.526),(49 3773.264),(50 3753.0322),(51 3733.7742),(52 3709.213),(53 3669.9539),(54 3625.385),(55 3633.785),(56 3616.2983),(57 3569.9487),(58 3563.0898),(59 3560.4),(60 3556.045),(61 3540.122),(62 3571.9568),(63 3601.3738),(64 3593.8552),(65 3577.6033),(66 3557.397),(67 3517.7449),(68 3471.5938),(69 3451.0632),(70 3434.0938),(71 3464.003),(72 3479.3027),(73 3490.7607),(74 3514.3347),(75 3521.0652),(76 3473.703),(77 3459.426),(78 3443.15),(79 3465.0867),
(1 1089.9896),(2 1875.4827),(3 2287.003),(4 2494.2952),(5 2648.9063),(6 2762.405),(7 2814.1292),(8 2866.2988),(9 2944.471),(10 3023.2012),(11 3095.8906),(12 3035.2134),(13 3067.2422),(14 3085.167),(15 3085.9526),(16 3091.6528),(17 3078.815),(18 3075.311),(19 3064.633),(20 3092.2183),(21 3117.6504),(22 3130.5742),(23 3163.0698),(24 3156.332),(25 3150.6172),(26 3166.576),(27 3204.411),(28 3261.7751),(29 3264.5264),(30 3291.9185),(31 3316.22),(32 3347.2195),(33 3351.8022),(34 3387.9424),(35 3424.2124),(36 3433.605),(37 3449.5596),(38 3449.8503),(39 3475.7954),(40 3511.6382),(41 3563.5566),(42 3614.9058),(43 3663.709),(44 3630.1729),(45 3617.8926),(46 3644.7063),(47 3687.119),(48 3669.3909),(49 3673.5867),(50 3704.5298),(51 3739.1257),(52 3692.6782),(53 3682.675),(54 3657.9438),(55 3626.2212),(56 3587.8445),(57 3544.4277),(58 3519.8499),(59 3521.9265),(60 3547.971),(61 3565.874),(62 3601.8237),(63 3585.9248),(64 3544.3245),(65 3519.6077),(66 3508.595),(67 3520.4407),(68 3483.1453),(69 3463.9346),(70 3413.7256),(71 3398.405),(72 3398.188),(73 3425.2205),(74 3440.3635),(75 3444.981),(76 3421.856),(77 3384.4468),(78 3400.0989),(79 3427.6514),
(1 1061.8567),(2 1823.5089),(3 2208.525),(4 2448.6853),(5 2601.131),(6 2683.401),(7 2762.069),(8 2823.4202),(9 2887.6047),(10 2955.231),(11 2979.9958),(12 2982.818),(13 3008.2876),(14 3022.0461),(15 3036.3022),(16 3070.7507),(17 3113.6782),(18 3131.9758),(19 3112.647),(20 3110.371),(21 3109.3848),(22 3110.1025),(23 3134.9631),(24 3132.9739),(25 3140.481),(26 3152.2512),(27 3167.4255),(28 3197.9636),(29 3195.2722),(30 3210.3486),(31 3222.71),(32 3259.692),(33 3319.9727),(34 3339.2014),(35 3343.0935),(36 3361.6057),(37 3396.722),(38 3399.789),(39 3425.9517),(40 3419.0125),(41 3472.7888),(42 3511.368),(43 3517.9937),(44 3498.5),(45 3503.3132),(46 3522.7554),(47 3561.434),(48 3584.33),(49 3655.6667),(50 3699.972),(51 3734.109),(52 3742.2913),(53 3734.2227),(54 3696.9893),(55 3629.812),(56 3609.626),(57 3577.795),(58 3565.334),(59 3573.3838),(60 3613.4812),(61 3624.9912),(62 3617.7188),(63 3596.9966),(64 3565.8467),(65 3543.1619),(66 3484.2175),(67 3451.3794),(68 3394.3677),(69 3379.2844),(70 3377.0461),(71 3334.8384),(72 3315.7913),(73 3298.9678),(74 3274.3416),(75 3267.1406),(76 3302.2524),(77 3295.712),(78 3318.0044),(79 3347.6956),
(1 1038.2622),(2 1804.3104),(3 2191.9998),(4 2407.3591),(5 2574.088),(6 2697.9436),(7 2761.3127),(8 2818.8242),(9 2850.851),(10 2930.2327),(11 2934.9272),(12 2912.3203),(13 2929.6526),(14 2943.6853),(15 2954.1926),(16 2963.53),(17 3007.7944),(18 3025.4395),(19 3042.0894),(20 3067.9917),(21 3083.4277),(22 3107.7168),(23 3154.5586),(24 3172.0884),(25 3168.4155),(26 3179.0503),(27 3205.4678),(28 3256.5608),(29 3271.266),(30 3279.8113),(31 3273.4277),(32 3290.3093),(33 3296.3213),(34 3322.3042),(35 3318.3054),(36 3315.1252),(37 3304.9402),(38 3288.9963),(39 3289.6733),(40 3293.1455),(41 3335.2886),(42 3366.5354),(43 3404.158),(44 3414.396),(45 3442.8801),(46 3459.1287),(47 3503.462),(48 3512.4941),(49 3572.5667),(50 3603.3152),(51 3626.84),(52 3647.6191),(53 3638.522),(54 3624.84),(55 3604.7532),(56 3604.3628),(57 3638.534),(58 3682.094),(59 3698.4656),(60 3710.4941),(61 3722.401),(62 3737.787),(63 3768.3193),(64 3766.6343),(65 3735.3406),(66 3709.837),(67 3677.41),(68 3604.1108),(69 3550.635),(70 3520.5996),(71 3480.523),(72 3442.1892),(73 3406.5251),(74 3385.0007),(75 3358.991),(76 3345.0718),(77 3366.647),(78 3342.4382),(79 3329.091),
(1 1024.4288),(2 1770.4656),(3 2128.0107),(4 2310.1897),(5 2474.7668),(6 2594.8066),(7 2663.2737),(8 2712.7678),(9 2734.6956),(10 2772.4841),(11 2765.6753),(12 2755.3237),(13 2752.8857),(14 2763.5073),(15 2807.6575),(16 2815.833),(17 2841.6611),(18 2883.2195),(19 2926.9587),(20 2947.9915),(21 2955.2952),(22 2962.6592),(23 2990.8281),(24 3049.1653),(25 3114.8047),(26 3139.8586),(27 3167.7952),(28 3159.8933),(29 3204.288),(30 3215.7625),(31 3185.8267),(32 3217.94),(33 3203.584),(34 3214.4128),(35 3206.9353),(36 3213.6338),(37 3218.2493),(38 3247.8728),(39 3249.1523),(40 3261.727),(41 3256.7424),(42 3242.854),(43 3285.021),(44 3304.5168),(45 3297.83),(46 3310.1711),(47 3310.4512),(48 3318.958),(49 3354.0327),(50 3363.8196),(51 3395.4475),(52 3398.892),(53 3394.0842),(54 3406.6345),(55 3380.0728),(56 3395.6155),(57 3425.0933),(58 3453.0383),(59 3469.0342),(60 3490.7014),(61 3506.0127),(62 3514.8188),(63 3549.5083),(64 3564.7598),(65 3565.4275),(66 3566.3818),(67 3553.4521),(68 3502.1565),(69 3456.4858),(70 3402.9417),(71 3369.7388),(72 3339.3416),(73 3334.2341),(74 3299.1938),(75 3277.045),(76 3274.0657),(77 3273.2197),(78 3236.7173),(79 3234.6),
(1 1013.69574),(2 1714.7806),(3 2044.8615),(4 2219.7527),(5 2362.4536),(6 2509.5342),(7 2597.821),(8 2645.446),(9 2697.778),(10 2750.6873),(11 2752.6094),(12 2723.407),(13 2734.4512),(14 2743.9636),(15 2757.1938),(16 2774.5579),(17 2805.821),(18 2834.503),(19 2866.6853),(20 2897.6726),(21 2920.506),(22 2924.033),(23 2962.0479),(24 3018.9263),(25 3059.9521),(26 3092.2036),(27 3138.6702),(28 3125.6045),(29 3134.5962),(30 3142.5127),(31 3150.3381),(32 3168.4795),(33 3173.1228),(34 3157.003),(35 3134.5627),(36 3131.114),(37 3107.7813),(38 3122.8901),(39 3122.6902),(40 3140.53),(41 3145.4504),(42 3157.6428),(43 3210.1418),(44 3227.3318),(45 3266.7366),(46 3312.3335),(47 3332.8215),(48 3316.741),(49 3332.5923),(50 3372.8562),(51 3384.5322),(52 3378.6953),(53 3377.1353),(54 3357.3162),(55 3354.7024),(56 3350.1377),(57 3363.7292),(58 3385.154),(59 3358.2822),(60 3344.7146),(61 3369.684),(62 3368.9473),(63 3381.9531),(64 3384.1584),(65 3366.189),(66 3374.1467),(67 3385.479),(68 3399.099),(69 3400.1902),(70 3378.1445),(71 3344.9053),(72 3276.5059),(73 3276.4246),(74 3257.7117),(75 3261.4905),(76 3269.1216),(77 3276.5618),(78 3249.7998),(79 3247.4182),
