1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 100687.85),(2 131465.45),(3 95789.445),(4 228915.83),(5 313052.84),(6 324600.38),(7 497386.1),(8 631722.06),(9 715243.5),(10 950114.8),(11 1184754.1),(12 1334037.6),(13 1640226.4),(14 1920303.5),(15 2169283.8),(16 2536861.8),(17 2933882),(18 3283977),(19 3726480.8),(20 4206470.5),(21 4616132.5),(22 5092887),(23 5588816.5),(24 6002262),(25 6532320.5),(26 7094035.5),(27 7532278),(28 8076054.5),(29 8670920),(30 9174019),(31 9767766),(32 10414768),(33 10918873),(34 11520785),(35 12195677),(36 12754812),(37 13454769),(38 14245815),(39 14829723),(40 15563764),(41 16397627),(42 17050094),(43 17872462),(44 18851964),(45 19654786),(46 20613582),(47 21692378),(48 22568416),(49 23506102),(50 24553798),(51 25385378),(52 26270818),(53 27273978),(54 28052606),(55 28900106),(56 29893216),(57 30630312),(58 31322026),(59 32196774),(60 32839194),(61 33395312),(62 34225964),(63 34762612),(64 35331820),(65 35955344),(66 36367660),(67 36811236),(68 37361156),(69 37709984),(70 38093190),(71 38643340),(72 39003000),(73 39272268),(74 39856596),(75 40365750),(76 40940096),(77 41748776),(78 42389332),(79 43185564),
(1 10043.158),(2 26186.285),(3 36910.9),(4 41073.492),(5 43463.594),(6 45853.164),(7 49047.727),(8 52069.96),(9 55280.83),(10 59639.957),(11 63911.516),(12 66282.305),(13 68563.016),(14 71019.805),(15 73356.164),(16 75057.48),(17 75862.09),(18 75836.164),(19 75675.97),(20 76091.59),(21 76885.96),(22 76723.03),(23 75402.75),(24 74078),(25 73231.51),(26 73019.7),(27 73029.83),(28 72217.58),(29 70921.12),(30 69773.89),(31 68798.25),(32 67369.65),(33 65936.35),(34 65303.207),(35 65586.67),(36 65299.273),(37 65150.234),(38 63631.375),(39 62043.6),(40 60657.26),(41 59723.63),(42 58945.438),(43 58676.17),(44 58188),(45 57971.152),(46 57242.805),(47 56743.617),(48 56514.07),(49 56195.816),(50 55518.57),(51 55195.902),(52 55848.43),(53 57608.29),(54 59088.5),(55 59328.39),(56 58545.74),(57 57980.547),(58 57692.83),(59 58298.22),(60 59013.445),(61 59269.28),(62 59052.184),(63 59557.37),(64 60138.637),(65 60193.93),(66 59920.2),(67 59995.7),(68 59947.18),(69 59867.754),(70 59475.984),(71 59647.207),(72 59800.5),(73 60100.63),(74 59917.902),(75 59478.438),(76 59769.11),(77 60657.39),(78 61127.574),(79 61454.438),
(1 9793.701),(2 25190.5),(3 35218.57),(4 39708.223),(5 42572.31),(6 45744.17),(7 49046.88),(8 52644.426),(9 56530.098),(10 60410.496),(11 64275.027),(12 67632.13),(13 70879.555),(14 72887.625),(15 73841.11),(16 73973.05),(17 74278.17),(18 74500.02),(19 74585.98),(20 74994.8),(21 75464.19),(22 75109.19),(23 74557.36),(24 74014.18),(25 73152.98),(26 72674.51),(27 72138.68),(28 71270.055),(29 70212.56),(30 68986.87),(31 67067.07),(32 65156.05),(33 64239.797),(34 64444.668),(35 63888.67),(36 62626.477),(37 62528.027),(38 62809.543),(39 61951.332),(40 61217.387),(41 60362.66),(42 59971.7),(43 59743),(44 59751.836),(45 59586.613),(46 58798.34),(47 58256.223),(48 58111.027),(49 57675.727),(50 57276.95),(51 57784.563),(52 58906.914),(53 59647.164),(54 60138.418),(55 59773.203),(56 59171.348),(57 58847.406),(58 58368.26),(59 58255.43),(60 57756.61),(61 57347.98),(62 57721.047),(63 58405.77),(64 58780.63),(65 59716.28),(66 60264.273),(67 60075.594),(68 60017.242),(69 59304.457),(70 58302.68),(71 57835.688),(72 57968.105),(73 58246.863),(74 58744.4),(75 59165.06),(76 59410.875),(77 59800.223),(78 59701.914),(79 59162.02),
(1 9385.678),(2 24356.762),(3 34409.25),(4 38671.316),(5 40768.66),(6 42893.17),(7 45317.574),(8 47837.473),(9 50821.875),(10 53891.33),(11 57803.58),(12 61209.62),(13 64332.07),(14 66120.98),(15 66899.36),(16 67879.22),(17 68259.98),(18 67807.41),(19 67804.086),(20 67891.016),(21 67750.34),(22 67118.53),(23 66058.664),(24 65612.15),(25 65490.03),(26 65115.773),(27 64097.67),(28 63211.59),(29 63217.24),(30 63238.125),(31 61994.496),(32 60401.926),(33 59969.195),(34 59842.926),(35 59308.992),(36 58797.145),(37 58945.64),(38 58994.54),(39 57846.58),(40 56672.58),(41 55925.39),(42 55767.895),(43 55483.3),(44 55204.887),(45 54667.56),(46 54296.59),(47 54177.31),(48 54106.637),(49 54249.383),(50 55139.62),(51 56016.36),(52 56511.37),(53 56767.008),(54 57099.234),(55 56585.176),(56 55675.32),(57 55455.61),(58 55663.09),(59 56264.363),(60 56110.477),(61 56285.99),(62 56417.836),(63 56291.945),(64 56607.566),(65 56802.184),(66 56678.133),(67 56976.414),(68 56971.566),(69 56913.957),(70 56873.926),(71 56322.797),(72 55902.64),(73 56076.793),(74 56705.168),(75 57129.73),(76 57519.37),(77 57850.723),(78 58260.547),(79 58101.54),
(1 9109.951),(2 23714.355),(3 33936.06),(4 38277.777),(5 41199.33),(6 44598.33),(7 47943.883),(8 51519.25),(9 54927.992),(10 58311.855),(11 61282.83),(12 64629.6),(13 67926.61),(14 69625.69),(15 71264.64),(16 72988.5),(17 74135.7),(18 73813.74),(19 73508.54),(20 73010.586),(21 72195.45),(22 70908.13),(23 70026.35),(24 69607.74),(25 69357.17),(26 68883.38),(27 68039.32),(28 67296.89),(29 66745.55),(30 65503.234),(31 63366.836),(32 61844.11),(33 61219.71),(34 60659.293),(35 60011.59),(36 60001.785),(37 59739.37),(38 59134.418),(39 57908.04),(40 57180.875),(41 57045.313),(42 57031.137),(43 56491),(44 55823.215),(45 55576.49),(46 55292.785),(47 55233.47),(48 54548.13),(49 54317.656),(50 54916.855),(51 55635.65),(52 56017.31),(53 56539.746),(54 56698.387),(55 56819.445),(56 57214.62),(57 56888.53),(58 55318.77),(59 54856.49),(60 54849.7),(61 55109.707),(62 54854.89),(63 54484.582),(64 54266.992),(65 54479.203),(66 54862.49),(67 54351.707),(68 54217.047),(69 54606.613),(70 54697.45),(71 54541.086),(72 54660.25),(73 54921.465),(74 55218.21),(75 55387.17),(76 55630.4),(77 55651.195),(78 55375.68),(79 55098.39),
(1 8943.943),(2 22678.16),(3 31375.867),(4 35157.72),(5 38222.78),(6 41759.5),(7 45334.625),(8 49298.51),(9 52988.62),(10 55827.77),(11 59596.074),(12 63699.734),(13 67341.33),(14 68763.38),(15 69158.57),(16 68901.22),(17 68644.336),(18 68601.95),(19 68847.62),(20 68585.56),(21 67863.55),(22 66948.75),(23 65099.203),(24 64042.156),(25 63179.11),(26 62388.69),(27 61441.598),(28 60908.066),(29 59918.4),(30 58620.09),(31 57525.44),(32 56943.89),(33 56450.926),(34 55979.3),(35 55558.508),(36 55113.363),(37 54307.832),(38 52490.266),(39 51099.09),(40 50431.797),(41 50360.87),(42 50071.008),(43 48922.848),(44 48547.434),(45 48695.77),(46 48603.387),(47 48513.055),(48 48563.57),(49 48948.605),(50 49773.94),(51 50533.926),(52 50768.88),(53 50245.277),(54 50494.508),(55 51066.055),(56 51686.633),(57 52335),(58 52095.723),(59 52299.62),(60 52884.445),(61 53601.79),(62 53633.48),(63 53447.89),(64 53208.086),(65 52922.137),(66 52539.465),(67 52256.28),(68 52922.1),(69 52866.92),(70 52512.29),(71 52391.625),(72 51784.953),(73 51251.58),(74 50749.844),(75 50804.023),(76 50799.637),(77 50861.664),(78 50912.832),(79 51147.06),
(1 9130.684),(2 23173.277),(3 32029.69),(4 36057.496),(5 39163.734),(6 42333.62),(7 45610.67),(8 49338.75),(9 52957.902),(10 56133.375),(11 58958.844),(12 62271.03),(13 65328.2),(14 66914.19),(15 67560.29),(16 67781.29),(17 67557.23),(18 66900.21),(19 66321.76),(20 65603.72),(21 64848.355),(22 63402.934),(23 62266.355),(24 62047.695),(25 62060.066),(26 61843.684),(27 61270.953),(28 60582.207),(29 60260.285),(30 58787.96),(31 57220.27),(32 56013.395),(33 55233.703),(34 54401.457),(35 53823.098),(36 53654.64),(37 53741.785),(38 53208.098),(39 52295.188),(40 51771.23),(41 51207.793),(42 50330.4),(43 49744.62),(44 49001.266),(45 48753.95),(46 48572.965),(47 48062.582),(48 48072.605),(49 48520.97),(50 49160.77),(51 49642.082),(52 50423.973),(53 51069.313),(54 50965.91),(55 50656.22),(56 50314.01),(57 49475.05),(58 48179.082),(59 48277.184),(60 49318.4),(61 50206.355),(62 51135.867),(63 51907.69),(64 52027.453),(65 51902.152),(66 52139.594),(67 52173.242),(68 51818.12),(69 51659.598),(70 51671.88),(71 51973.934),(72 52007.027),(73 51441.75),(74 51306.742),(75 51013.06),(76 50653.9),(77 50815.973),(78 50757.242),(79 50668.26),
(1 9161.565),(2 23035.18),(3 31554.04),(4 35158.92),(5 38054.434),(6 40964.254),(7 43865.69),(8 46893.63),(9 49908.805),(10 53103.23),(11 56833.563),(12 59629.508),(13 61559.055),(14 63170.367),(15 64612.445),(16 65100.01),(17 65253.066),(18 66077.7),(19 66815.875),(20 67264.16),(21 67049.66),(22 65677.08),(23 63851.887),(24 62666.59),(25 61626.01),(26 60556.26),(27 59674.527),(28 58797.164),(29 58101.78),(30 57287.805),(31 56364.152),(32 55549.53),(33 54647.992),(34 53958.688),(35 53837.07),(36 53279.62),(37 52561.727),(38 51348.52),(39 50730.758),(40 50477.383),(41 50288.332),(42 48995.152),(43 48040.633),(44 48137.945),(45 48512.195),(46 48186.723),(47 47650.668),(48 47800.81),(49 48791.676),(50 49386.098),(51 49522.47),(52 49852.668),(53 49848.934),(54 49634.508),(55 49433.7),(56 49069.86),(57 48684.11),(58 48184.188),(59 48578.797),(60 48910.07),(61 49171.254),(62 49548.242),(63 49711.64),(64 49717.395),(65 49469.48),(66 49672.85),(67 49815.58),(68 50666.13),(69 51538.723),(70 51931.09),(71 51678.566),(72 51341.26),(73 51332.906),(74 51382.438),(75 51118.62),(76 51351.195),(77 51682.492),(78 51477.23),(79 51438.043),
(1 8538.352),(2 21299.299),(3 29509.9),(4 32880.85),(5 36081.418),(6 39258.13),(7 42096.574),(8 44832.426),(9 47455.938),(10 50020.703),(11 53263.383),(12 56266.85),(13 59312.64),(14 61400.055),(15 62773.273),(16 63202.617),(17 63046.773),(18 62705.754),(19 62325.914),(20 62194.766),(21 61552.637),(22 60056.656),(23 58844.797),(24 57955.605),(25 57295.594),(26 56336.51),(27 55751.47),(28 55112.586),(29 54100.36),(30 53731.15),(31 53330.203),(32 52464.11),(33 51169.773),(34 50664.766),(35 50815.242),(36 50847.043),(37 50440.82),(38 49520.355),(39 49214.67),(40 49165.965),(41 48716.79),(42 47590.504),(43 46736.543),(44 46477.45),(45 46400.41),(46 46179.05),(47 46433.676),(48 46534.51),(49 46723.55),(50 47538.05),(51 48151.637),(52 48279.992),(53 48398.773),(54 48257.637),(55 47791.066),(56 47534.777),(57 47428.715),(58 47074.28),(59 47536.23),(60 47490.49),(61 47106.18),(62 47316.277),(63 47279.418),(64 46429.76),(65 45705.43),(66 45450.207),(67 45149.18),(68 44929.938),(69 45522.727),(70 46236.3),(71 46178.285),(72 45941.434),(73 45856.68),(74 45857.598),(75 45803),(76 45585.594),(77 45859.664),(78 46098.387),(79 46417.016),
(1 8924.917),(2 22256.455),(3 30435.658),(4 33741.676),(5 36867.945),(6 40421.6),(7 43951.465),(8 46631.957),(9 48439.465),(10 50074.125),(11 52096.355),(12 53670.156),(13 55178.184),(14 55914.535),(15 56444.566),(16 56640.9),(17 56744.668),(18 56746.816),(19 57362.164),(20 57486.074),(21 56418.203),(22 55516.9),(23 55467.465),(24 55660.496),(25 54840.023),(26 53656.38),(27 53247.95),(28 53420.63),(29 53172.063),(30 52243.316),(31 51838.96),(32 51683.152),(33 51405.91),(34 51053.355),(35 50001.266),(36 49340.35),(37 49340.918),(38 49395.5),(39 49070.613),(40 48567.895),(41 48367.12),(42 47653.008),(43 46878.188),(44 46561.91),(45 46052.668),(46 45242.363),(47 45082.074),(48 45842.668),(49 46975.95),(50 47423.3),(51 47719.266),(52 47561.082),(53 47659.254),(54 48068.605),(55 48032.38),(56 47626.074),(57 47118.117),(58 46216.863),(59 46145.176),(60 46123.04),(61 45835.652),(62 45745.65),(63 45404.414),(64 45380.293),(65 45337.145),(66 45448.59),(67 45650.41),(68 45782.418),(69 45678.848),(70 45760.977),(71 46118.27),(72 46435.086),(73 46952.836),(74 46899.1),(75 46847.816),(76 46377.316),(77 45902.453),(78 45727.28),(79 45582.24),
(1 8335.83),(2 20574.025),(3 28146.264),(4 31060.248),(5 33806.547),(6 36871.016),(7 40099.6),(8 42390.273),(9 44509.684),(10 46645.004),(11 48327.95),(12 49942.164),(13 51548.016),(14 53174.99),(15 53879.156),(16 53695.637),(17 53676.656),(18 53685.79),(19 53732.508),(20 53062.656),(21 51896.14),(22 50708.707),(23 50054.27),(24 49260.598),(25 48467.926),(26 47933.773),(27 47447.477),(28 47150.563),(29 46671.31),(30 45825.707),(31 45284.39),(32 44982.766),(33 44758.13),(34 44466.438),(35 44311.797),(36 44003.61),(37 43960.902),(38 44271.74),(39 44069.43),(40 43663.125),(41 43477.77),(42 43232.91),(43 42880.367),(44 42413.48),(45 42039.266),(46 42129.973),(47 42268.758),(48 42574.566),(49 43196.223),(50 43458.99),(51 43558.816),(52 44098.76),(53 44526.766),(54 44751.67),(55 44717.285),(56 44714.656),(57 44853.47),(58 44427.2),(59 44482.684),(60 44740.75),(61 44645.05),(62 44788.445),(63 44638.793),(64 44270.773),(65 44027.086),(66 44022.473),(67 44272.797),(68 44364.637),(69 44196.918),(70 44487.844),(71 45095.95),(72 44949.973),(73 44611.074),(74 44432.348),(75 44219.004),(76 43748.73),(77 43808.008),(78 44340.36),(79 44941.76),
(1 8496.049),(2 21164.455),(3 28667.14),(4 31887.479),(5 34870.59),(6 38489.813),(7 42189.22),(8 44899.023),(9 47284.313),(10 49520.965),(11 52519.414),(12 54851.11),(13 56360.297),(14 57252.152),(15 57986.36),(16 58205.14),(17 58135.434),(18 58010.67),(19 57542.64),(20 56566.066),(21 55860.074),(22 55811.38),(23 54777.99),(24 53573.258),(25 52659.28),(26 51959.324),(27 50988.477),(28 49872.465),(29 49062.344),(30 48562.207),(31 48080.57),(32 47349.25),(33 46626.367),(34 46249.285),(35 46508.02),(36 46178.465),(37 45799.313),(38 45793.992),(39 45444.594),(40 44963.168),(41 44079.613),(42 43612.117),(43 42993.582),(44 42481.12),(45 42316.285),(46 42123.67),(47 42118.953),(48 42379.836),(49 42804.79),(50 42876.594),(51 42970.668),(52 43327.715),(53 43598.438),(54 43662.22),(55 44098.203),(56 44341.246),(57 44437.625),(58 44445.32),(59 44735.53),(60 44185.74),(61 43399.004),(62 43093.395),(63 42721.363),(64 42761.05),(65 42701.86),(66 42196.516),(67 41863.445),(68 42262.83),(69 43094.89),(70 43262.418),(71 43310.16),(72 43593.137),(73 44029.707),(74 44139.277),(75 43481.91),(76 42966.656),(77 43099.88),(78 42954.777),(79 42896.355),
(1 8374.749),(2 20558.79),(3 27484.264),(4 30038.354),(5 32924.063),(6 36537.566),(7 39726.707),(8 42340.086),(9 45008.33),(10 47284.42),(11 49542.07),(12 51910.367),(13 53950.38),(14 54914.89),(15 55138.305),(16 54785.707),(17 54505.754),(18 54561.176),(19 55158.086),(20 54766.133),(21 53949.145),(22 53487.09),(23 52714.305),(24 51577.58),(25 50440.31),(26 49257.617),(27 48346.07),(28 47873.598),(29 47272.438),(30 46856.04),(31 46119.246),(32 45054.566),(33 44763.273),(34 44796.254),(35 44793.688),(36 44814.176),(37 44953.844),(38 44309.383),(39 44210.547),(40 43914.88),(41 43399.855),(42 42541.88),(43 41302.676),(44 40634.42),(45 40263.35),(46 39494.13),(47 39206.91),(48 39497.16),(49 39725.594),(50 40041.133),(51 40381.703),(52 40459.12),(53 40958.594),(54 40913.793),(55 41196.184),(56 41658.254),(57 42036.863),(58 42100.28),(59 42354.31),(60 42169.816),(61 41751.31),(62 41070.094),(63 40720.93),(64 40745.793),(65 40582.05),(66 40276.848),(67 40523.758),(68 40917.16),(69 40528.76),(70 40160.027),(71 40592.04),(72 40892.16),(73 40837.613),(74 40540.707),(75 40354.92),(76 40389.23),(77 40835.133),(78 40923.813),(79 41456.36),
(1 8333.604),(2 20519.527),(3 27581.99),(4 30312.01),(5 33158.65),(6 36412.05),(7 39467.883),(8 41804.75),(9 44117.105),(10 46325.816),(11 48704.59),(12 50993.797),(13 52668.496),(14 53328.38),(15 53627.945),(16 54004.836),(17 54106.043),(18 53952.53),(19 53665.277),(20 53160.3),(21 52408.137),(22 51090.496),(23 50035.336),(24 49390.652),(25 47963.313),(26 46776.383),(27 46719.09),(28 46431.426),(29 45842.992),(30 45334.176),(31 44679.83),(32 44022.707),(33 44144.38),(34 44181.348),(35 43768.91),(36 42933.227),(37 42690.91),(38 42231.824),(39 41460.125),(40 41165.38),(41 41191.703),(42 40945.637),(43 40878.58),(44 40304.043),(45 39926.47),(46 39866.46),(47 40013.063),(48 39944.86),(49 39787.23),(50 39586.99),(51 39963.023),(52 40612.668),(53 40707.402),(54 40463.707),(55 40282.563),(56 40085.605),(57 40643.85),(58 40762.434),(59 40790.668),(60 40817.535),(61 40763.473),(62 40438.707),(63 40409.71),(64 40603.71),(65 40713.797),(66 40631.41),(67 40780.625),(68 40671.105),(69 40347.383),(70 40449.305),(71 40606.348),(72 40457.164),(73 40111.55),(74 39640.85),(75 39581.41),(76 39644.363),(77 39978.152),(78 40202.39),(79 40493.12),
(1 8005.319),(2 19248.28),(3 24859.893),(4 27133.844),(5 30379.672),(6 34291.48),(7 37019.41),(8 38724.72),(9 40782.43),(10 42779.676),(11 44582.676),(12 46174.11),(13 47228.688),(14 47943.566),(15 48268.84),(16 47824.508),(17 47847.27),(18 48236.01),(19 47909.605),(20 47403.395),(21 46896.25),(22 46707.39),(23 46317.324),(24 45366.37),(25 43908.723),(26 42684.29),(27 41877.94),(28 40575),(29 40178.555),(30 40797.914),(31 40434.98),(32 40045.4),(33 40063.734),(34 40014.53),(35 39389.535),(36 38698.883),(37 38749.566),(38 38721.816),(39 38489.31),(40 38639.14),(41 38873.473),(42 39030.82),(43 38346.324),(44 37751.664),(45 37823.914),(46 37897.125),(47 38238.77),(48 38618.21),(49 38632.137),(50 38725.945),(51 39109.246),(52 39208.54),(53 38823.62),(54 38507.41),(55 38392.324),(56 38125.547),(57 37960.527),(58 37355.617),(59 37215.85),(60 37214.773),(61 37269.664),(62 37543.008),(63 37965.316),(64 38403.72),(65 39249.227),(66 39658.164),(67 39767.645),(68 39939.44),(69 40115.3),(70 39636.523),(71 39350.945),(72 38980.234),(73 38490.773),(74 38031.406),(75 37989.902),(76 37666.895),(77 37324.57),(78 37203.043),(79 37107.23),
(1 7775.9453),(2 18759.02),(3 24608.781),(4 26943.701),(5 29625.988),(6 32744.709),(7 35503.254),(8 37872.76),(9 40243.402),(10 42474.156),(11 44881.367),(12 46730.043),(13 47920.086),(14 49285.477),(15 50209.223),(16 50186.94),(17 50301.33),(18 50884.15),(19 50831.17),(20 49530.81),(21 47945.027),(22 46713.746),(23 46007.11),(24 45033.04),(25 43781.99),(26 42709.78),(27 42037.598),(28 41127.49),(29 40679.184),(30 40636.1),(31 40311.32),(32 40023.504),(33 39934.87),(34 40046.336),(35 39509.59),(36 38757.793),(37 38250.242),(38 38061.99),(39 38021.55),(40 37886.773),(41 37535.242),(42 36983.25),(43 36443.55),(44 35959.918),(45 35938.86),(46 35977.574),(47 36372.4),(48 36638.234),(49 37018.527),(50 37326.707),(51 37729.6),(52 38033.332),(53 38066.33),(54 38271.504),(55 38388.645),(56 38133.99),(57 38022.84),(58 37563.285),(59 37516.46),(60 37118.938),(61 36713.766),(62 36425.594),(63 35930.9),(64 35777.707),(65 36073.89),(66 36236.773),(67 36632.17),(68 36991.973),(69 37598.973),(70 38015.367),(71 37695),(72 37532.375),(73 37403.293),(74 37022.465),(75 36821.566),(76 36595.57),(77 36876.26),(78 36926.35),(79 37494.2),
(1 7806.867),(2 18498.05),(3 23853.563),(4 25878.863),(5 28255.951),(6 31103.848),(7 33410.688),(8 34784.613),(9 36149.01),(10 38027.023),(11 40168.12),(12 41610.11),(13 43106.055),(14 44433.297),(15 44689.76),(16 44176.88),(17 43913.26),(18 44275.414),(19 44105.777),(20 43099.676),(21 42164.707),(22 41871.684),(23 41348.21),(24 40209.84),(25 39214.914),(26 38853.79),(27 38341.88),(28 37634.39),(29 36814.97),(30 36258.957),(31 35975.855),(32 36143.113),(33 36320.58),(34 35845.69),(35 35039.805),(36 34225.484),(37 33760.15),(38 33829.57),(39 34125.18),(40 34423.496),(41 34710.348),(42 34481.664),(43 33845.273),(44 33696.875),(45 34041.875),(46 33930.145),(47 33927.4),(48 34205.13),(49 34416.207),(50 34406.484),(51 34689.6),(52 34635.305),(53 34503.79),(54 34928.26),(55 35492.22),(56 35534.473),(57 35163.06),(58 34524.914),(59 33934.844),(60 33674.953),(61 33724.563),(62 33612.86),(63 33793.824),(64 34411.766),(65 34827.547),(66 35136.62),(67 35369.68),(68 35832.24),(69 35976.88),(70 35597.77),(71 35517.324),(72 35329.348),(73 34958.56),(74 34501.605),(75 34320.316),(76 33992.1),(77 33695.145),(78 33352.02),(79 33444.65),
(1 7730.7485),(2 18061.469),(3 22901.178),(4 24694.191),(5 27410.02),(6 30105.227),(7 31952.021),(8 33492.535),(9 35694.44),(10 37920.457),(11 39647.574),(12 40543.25),(13 41818.152),(14 42868.637),(15 42977.83),(16 42444.133),(17 42038.008),(18 42195.176),(19 42621.49),(20 41870.723),(21 40879.25),(22 40036.61),(23 39163.453),(24 38331.32),(25 37376.99),(26 36397.37),(27 35472.43),(28 35102.418),(29 35161.68),(30 34557.79),(31 34129.508),(32 34379.52),(33 34763.53),(34 34598.19),(35 34150.434),(36 33641.207),(37 33838.805),(38 33680.03),(39 33137.297),(40 32823.56),(41 32943.24),(42 32531.885),(43 31802.928),(44 31839.04),(45 32191.094),(46 32048.506),(47 31764.605),(48 32107.195),(49 32318.227),(50 32456.678),(51 32853.215),(52 33019.63),(53 33073.87),(54 33437.992),(55 33713.477),(56 33876.527),(57 34170.703),(58 33961.582),(59 33859.547),(60 33508.05),(61 33143.883),(62 33150.508),(63 33314.855),(64 33191.8),(65 32801.094),(66 32668.828),(67 32981.14),(68 33281.543),(69 33248.695),(70 33071.56),(71 32700.74),(72 32595.799),(73 32560.066),(74 32454.535),(75 32596.201),(76 32968.94),(77 33083.945),(78 32948.043),(79 33015.813),
(1 7597.085),(2 18106.527),(3 23388.268),(4 25163.635),(5 27800.402),(6 30971.193),(7 32822.63),(8 34107.27),(9 36222.594),(10 38998.176),(11 41507.336),(12 43004.734),(13 44484.645),(14 45710.24),(15 45949.164),(16 45732.152),(17 45944.35),(18 45957.453),(19 45354.63),(20 44411.16),(21 43998.305),(22 43437.438),(23 41817.305),(24 40352.094),(25 39641.08),(26 38984.492),(27 38122.555),(28 37511.523),(29 36994.094),(30 36639.297),(31 36209.664),(32 35976.883),(33 36014.566),(34 35818.95),(35 34883.28),(36 34211.918),(37 34224.273),(38 33913.652),(39 33851.066),(40 33940.234),(41 33971.535),(42 33742.074),(43 33243.35),(44 32896.063),(45 32872.984),(46 32962.074),(47 32922.92),(48 32892.023),(49 33242.465),(50 33649.836),(51 33772.89),(52 33688.535),(53 33629.656),(54 33679.19),(55 33562.063),(56 33411),(57 33547.445),(58 33356.51),(59 33625),(60 33616.527),(61 32932.74),(62 32582.502),(63 32868.348),(64 33188.875),(65 33540.695),(66 33774.445),(67 33864.71),(68 34105.945),(69 34289.406),(70 34386.496),(71 33966.273),(72 33590.094),(73 33528.434),(74 33439.316),(75 33566.383),(76 33775.734),(77 33831.824),(78 33904.215),(79 34002.72),
