1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 45635.285),(2 113727.32),(3 207159.63),(4 323876.6),(5 480619.9),(6 636355.7),(7 813324.3),(8 1014061.3),(9 1236606.4),(10 1490604.4),(11 1771330),(12 2083447.1),(13 2436845.3),(14 2802542.3),(15 3188242.3),(16 3671094),(17 4160760.8),(18 4628206.5),(19 5115086.5),(20 5625548),(21 6194334.5),(22 6834994.5),(23 7693808),(24 8549741),(25 9574401),(26 10611498),(27 11747685),(28 13004507),(29 14316044),(30 15749399),(31 17150090),(32 18790168),(33 20373200),(34 21959330),(35 23652568),(36 25310872),(37 26956042),(38 28534502),(39 30412058),(40 32011338),(41 33593024),(42 35016348),(43 36491600),(44 37816496),(45 39125916),(46 40411868),(47 41787676),(48 43065956),(49 44337996),(50 45534252),(51 46835820),(52 48002404),(53 49229204),(54 50289716),(55 51347200),(56 52390668),(57 53376510),(58 54248268),(59 55119664),(60 56285516),(61 57322260),(62 58328256),(63 59424576),(64 60516000),(65 61589532),(66 62618476),(67 63814076),(68 64807364),(69 65703732),(70 66608940),(71 67517990),(72 68227144),(73 69065860),(74 69803490),(75 70595610),(76 71549240),(77 72601640),(78 73652590),(79 75068200),
(1 29337.373),(2 76777.695),(3 120487.625),(4 156953.19),(5 182694.5),(6 194413.1),(7 200308.78),(8 207666.39),(9 215595.1),(10 221389.14),(11 224396.64),(12 226403.88),(13 228692.44),(14 229918.5),(15 232134.11),(16 233022.27),(17 233786.53),(18 236983.56),(19 234883.13),(20 230553.39),(21 230367.48),(22 234037.98),(23 239530.98),(24 243288.9),(25 245304.34),(26 246307.02),(27 248529.33),(28 249093.83),(29 247578.33),(30 249096.64),(31 251623.16),(32 251767.94),(33 254073.55),(34 256708.05),(35 256370.02),(36 255020.1),(37 256808.33),(38 258960.61),(39 257982.53),(40 257110.11),(41 257202.78),(42 262668.1),(43 263950.53),(44 260222.64),(45 257482.7),(46 253884.53),(47 250651.9),(48 251847.05),(49 255908.33),(50 259198.52),(51 261401.55),(52 262517.88),(53 262941.25),(54 264028),(55 264202.97),(56 260128.13),(57 257357.7),(58 256787.16),(59 257873.3),(60 259540.13),(61 262320.97),(62 265162.75),(63 266202.88),(64 266789.63),(65 268904.97),(66 270183.9),(67 266049.22),(68 263660.22),(69 265897.6),(70 264172.53),(71 263159.22),(72 263960.06),(73 265513.84),(74 264692.38),(75 265255.38),(76 266566.53),(77 267525.22),(78 269607.4),(79 268241.47),
(1 28790.748),(2 76111.62),(3 118019.69),(4 148248.9),(5 168857.52),(6 181645.78),(7 190679.3),(8 196397),(9 201172.44),(10 206815.78),(11 212279.7),(12 215954.3),(13 217602.95),(14 216867.7),(15 221045.22),(16 225981.94),(17 223260.89),(18 223589.44),(19 221213.27),(20 218440.27),(21 217295.61),(22 219707.2),(23 223941),(24 226502.44),(25 230772.77),(26 231651.44),(27 230036.22),(28 229322.34),(29 230582.1),(30 233229.13),(31 232705.05),(32 230926.22),(33 229394.52),(34 228801.67),(35 229473.7),(36 230276.06),(37 231667.77),(38 233062.17),(39 236196.55),(40 238922.05),(41 243014.8),(42 247431.89),(43 245890.34),(44 244029),(45 243001.52),(46 239735.13),(47 239898.13),(48 243380.88),(49 248111.73),(50 252252.56),(51 254997.9),(52 257593.45),(53 258164.7),(54 256190.89),(55 252757.63),(56 248676.06),(57 246136.6),(58 246569.84),(59 249998.39),(60 253513.98),(61 255690.06),(62 255454.4),(63 253449.17),(64 252266.83),(65 253891.83),(66 253181.78),(67 252787.27),(68 253510.22),(69 254137),(70 252602.95),(71 252251.13),(72 251999.2),(73 251095.23),(74 249925.38),(75 247239.4),(76 243317.22),(77 239763.78),(78 238157),(79 239211.77),
(1 25753.846),(2 67204.945),(3 103998.1),(4 130923.19),(5 152560.77),(6 165589.98),(7 173898.48),(8 178171.14),(9 182882.08),(10 185993.58),(11 188918.72),(12 191274.38),(13 192886.73),(14 197275.5),(15 203282.44),(16 207660.69),(17 210841.52),(18 212528.9),(19 209557.86),(20 206106.73),(21 203776.05),(22 203849.1),(23 207020.11),(24 209311.16),(25 211923.88),(26 213858.5),(27 216693.05),(28 218517.08),(29 220052.36),(30 220843.03),(31 221159.11),(32 221213.39),(33 223248.6),(34 226921.38),(35 229196.86),(36 231178.28),(37 230469.7),(38 228585.39),(39 225753.23),(40 224301.58),(41 224832.08),(42 224622.73),(43 224714.08),(44 224505.44),(45 221921.53),(46 216260.55),(47 210670.34),(48 207919.92),(49 206837.28),(50 207964.42),(51 210314),(52 213676.4),(53 216646.63),(54 217582.61),(55 217859.7),(56 217673.7),(57 218793.47),(58 221076),(59 223619.38),(60 221767.28),(61 221731.69),(62 221531.33),(63 222371.66),(64 224101.69),(65 226610.8),(66 230065.27),(67 233257.64),(68 233035.66),(69 231042.14),(70 230434.8),(71 232294.08),(72 234576.08),(73 234511.38),(74 234297.53),(75 233706.67),(76 232176.92),(77 231093.2),(78 231161.11),(79 230077.34),
(1 26029.592),(2 67051.77),(3 105149.68),(4 133289.92),(5 155922.77),(6 168108.83),(7 174452.83),(8 179805.92),(9 184520.25),(10 189137.78),(11 191902.69),(12 193102.22),(13 195341.34),(14 199718.5),(15 204386.89),(16 209922.47),(17 214870.39),(18 217421.48),(19 217243.06),(20 215781.78),(21 214864.73),(22 217802.36),(23 221012.34),(24 222029.28),(25 222806.39),(26 224000.05),(27 226990.31),(28 230689.75),(29 231254.08),(30 232260.97),(31 235076.36),(32 236669.36),(33 242199.05),(34 247928.5),(35 251050.72),(36 252390.58),(37 252250.72),(38 250372.66),(39 247768.23),(40 246213.31),(41 245018.17),(42 241657.7),(43 239020.83),(44 238596.08),(45 236286.55),(46 232670.73),(47 228421.11),(48 225702.08),(49 224564.77),(50 224874.1),(51 225964.02),(52 228497.17),(53 230235.55),(54 230728.52),(55 230362.84),(56 230162.3),(57 231454.73),(58 230005.75),(59 228335.1),(60 227619.61),(61 227627.25),(62 228374.16),(63 229403.55),(64 228763.17),(65 227760.53),(66 227954.38),(67 229388.52),(68 229746.34),(69 228361.5),(70 228115.17),(71 229731.4),(72 231125.84),(73 231160.17),(74 233473.64),(75 234145.58),(76 233645.88),(77 233166.9),(78 233338.66),(79 232787.42),
(1 25849.19),(2 66387.61),(3 104292.44),(4 132344.86),(5 152212.2),(6 162276.28),(7 166055.8),(8 170040.78),(9 174600.48),(10 180547.63),(11 185063.28),(12 186902.28),(13 188728.58),(14 189402.81),(15 190595.63),(16 195050.58),(17 199328.31),(18 200397.48),(19 199460.98),(20 198716.22),(21 198770.66),(22 200430),(23 201931.88),(24 202923.48),(25 204643.61),(26 206809.22),(27 211081.06),(28 215266.81),(29 217336.78),(30 219193.61),(31 218861),(32 217290.02),(33 219101.61),(34 221087.8),(35 221137.16),(36 220796.73),(37 219310.4),(38 218111.38),(39 219611.14),(40 218691.42),(41 218367.11),(42 218596.28),(43 221168.11),(44 222870.13),(45 222068.78),(46 220138.39),(47 218978.75),(48 219878.78),(49 223081.14),(50 226940.92),(51 229430.92),(52 229299.52),(53 228543.19),(54 226139.42),(55 225483.42),(56 224045.94),(57 221255.19),(58 218815.92),(59 217550.94),(60 217904.58),(61 218056.14),(62 217364.47),(63 217517.11),(64 218835.84),(65 220554.72),(66 222461.95),(67 222342.6),(68 221038.45),(69 223255.86),(70 223032.05),(71 222278.86),(72 221601.34),(73 221708.25),(74 221663.66),(75 222977.27),(76 221379.88),(77 217201.45),(78 216240.14),(79 218331.48),
(1 23370.379),(2 59774.793),(3 92696.625),(4 118334.89),(5 136251.86),(6 144454.88),(7 147660.72),(8 151315.56),(9 153159.64),(10 154145.05),(11 153962.5),(12 153409.44),(13 155493.08),(14 159189.38),(15 164888.75),(16 170002.44),(17 172342.75),(18 171862.1),(19 173214.84),(20 176691.81),(21 179902.28),(22 181415.16),(23 183601.42),(24 186735.86),(25 189552.56),(26 192990.67),(27 195363.52),(28 196062.58),(29 194187.9),(30 192950.02),(31 193923.27),(32 195958.22),(33 198593.36),(34 202508.16),(35 205941.36),(36 207318.77),(37 206040.58),(38 204825.72),(39 205399.13),(40 204480.53),(41 202926.78),(42 204910.08),(43 206278.42),(44 204032.61),(45 200998.42),(46 198715.6),(47 198388.63),(48 199607.81),(49 201111.13),(50 203547.17),(51 205842.61),(52 206689.23),(53 206810.14),(54 206382.92),(55 204553.98),(56 202742.77),(57 201566.5),(58 200776.2),(59 200752.97),(60 202956.48),(61 206190.97),(62 208927.61),(63 211034.4),(64 212492),(65 212358.36),(66 210147.53),(67 207109.84),(68 206697.39),(69 207943.92),(70 208183.81),(71 207176.42),(72 206482.95),(73 205862.84),(74 204681.44),(75 202340.28),(76 201332.08),(77 202630.13),(78 203924.53),(79 204497.92),
(1 23185.428),(2 60976.563),(3 94276.1),(4 118494.02),(5 136192.08),(6 144651.33),(7 149569.2),(8 152702.55),(9 153919.25),(10 153658.44),(11 150661.9),(12 148408.92),(13 149779.42),(14 155819.11),(15 164644.25),(16 164757.94),(17 169356.88),(18 168433.63),(19 166721.53),(20 167538.61),(21 168760.72),(22 168416.52),(23 171445.33),(24 172312.36),(25 173227.58),(26 175239.13),(27 177282.67),(28 180526.14),(29 183220.31),(30 185159.23),(31 185666.67),(32 185741.47),(33 187077.23),(34 190510.1),(35 193220.72),(36 192198.83),(37 189847.4),(38 189224.66),(39 192739.45),(40 197169.55),(41 200911.05),(42 203061.77),(43 204554.69),(44 203609.33),(45 201664),(46 199160.16),(47 199895.2),(48 202642.5),(49 202820.38),(50 201363.28),(51 198504.73),(52 199141.03),(53 200807.34),(54 202709.64),(55 201865.5),(56 200531.77),(57 199379.02),(58 199056.67),(59 200686.73),(60 199648.69),(61 200793.47),(62 201368.36),(63 201444.44),(64 198410.2),(65 196669.42),(66 195201.27),(67 194545.9),(68 193314.42),(69 193608.72),(70 193566.1),(71 194201.64),(72 194058.28),(73 193480.06),(74 191908.08),(75 190102.5),(76 188504.89),(77 187887.2),(78 188746.44),(79 191172.8),
(1 23367.021),(2 61886.75),(3 95655.1),(4 118177.695),(5 131201.03),(6 139188.61),(7 146031.56),(8 152175.67),(9 155161.1),(10 156660.94),(11 155922.97),(12 155795.75),(13 158045.19),(14 161044.16),(15 164946.75),(16 166181.56),(17 167194.42),(18 166479.25),(19 168085.03),(20 171086.48),(21 172970.8),(22 173265.16),(23 175145.2),(24 176608.13),(25 178245.61),(26 179866.16),(27 180997.27),(28 181435.55),(29 181275.1),(30 181185.28),(31 179414.72),(32 177684.7),(33 178470.22),(34 182015.36),(35 185517.47),(36 185867.33),(37 186488.2),(38 189288.16),(39 193037.48),(40 194888.78),(41 194252),(42 194202.17),(43 192674.36),(44 190752.56),(45 190202.83),(46 190370.48),(47 190807.94),(48 190206.73),(49 189415.1),(50 189760.61),(51 192900),(52 195591.56),(53 199268.36),(54 202032.17),(55 201864.92),(56 197294.92),(57 193673.53),(58 192308.78),(59 193232.44),(60 193004.61),(61 191620.42),(62 190454.53),(63 189020.75),(64 186652.72),(65 184623.36),(66 184287.88),(67 184909.2),(68 184854.75),(69 184977.75),(70 184209.63),(71 185776.55),(72 186176.17),(73 184259.53),(74 182087),(75 181655.13),(76 181392.8),(77 183153.48),(78 185435.13),(79 185523.45),
(1 22739.982),(2 59400.59),(3 90964.25),(4 112905.89),(5 123224.44),(6 129157.82),(7 133967.75),(8 138257.6),(9 140397.88),(10 141480.4),(11 143573.06),(12 147842.64),(13 153391.42),(14 158184.28),(15 161334.67),(16 158813.6),(17 155870.78),(18 156077.58),(19 157814.67),(20 160757.39),(21 162249.13),(22 163284.94),(23 165892.52),(24 170552.84),(25 176400.2),(26 179471.45),(27 178954.77),(28 178534.02),(29 178329.83),(30 178839.88),(31 178247.38),(32 178165.02),(33 179561.08),(34 183278.7),(35 186499.86),(36 189551.7),(37 192099.72),(38 194336.86),(39 194364.14),(40 193033.13),(41 190439.27),(42 186877.44),(43 184669.5),(44 183587.77),(45 182498.42),(46 182586.81),(47 183318.7),(48 185024.67),(49 186859.06),(50 185583.66),(51 185317.75),(52 186780.14),(53 188455.28),(54 190099.69),(55 191089.97),(56 191012.73),(57 191647.5),(58 191863.56),(59 192306.5),(60 191277.19),(61 190658.34),(62 190069.66),(63 190100.36),(64 189359.16),(65 187792.02),(66 184972.34),(67 182596.77),(68 181289.08),(69 181412),(70 181213.34),(71 181753.48),(72 181632.02),(73 181024.95),(74 181024.19),(75 180550.33),(76 179710.48),(77 179653.64),(78 180201.83),(79 179502.5),
(1 23569.4),(2 59860.355),(3 90300.21),(4 110346.664),(5 123024.12),(6 129012.83),(7 133216.52),(8 138553.47),(9 142373.56),(10 142998.5),(11 145283.69),(12 149577.66),(13 154503.11),(14 158189.58),(15 159149.45),(16 157621.97),(17 155288.06),(18 155107.13),(19 156049.52),(20 158626.67),(21 159978.53),(22 160154.47),(23 161972.81),(24 164091.48),(25 167322.55),(26 171272.66),(27 174841.55),(28 177522.06),(29 178540.5),(30 179559.47),(31 180154.83),(32 180228.2),(33 179722.94),(34 180641.34),(35 181434.61),(36 181717.84),(37 182486.94),(38 184325.83),(39 186344.61),(40 185796.58),(41 182992.02),(42 179818.89),(43 179298.02),(44 177308.45),(45 178133.84),(46 180371.48),(47 183603.45),(48 186041.78),(49 185193.58),(50 184259.47),(51 184039.75),(52 184513.4),(53 185149.34),(54 186868.1),(55 188035.1),(56 189107.13),(57 189766.2),(58 190506.1),(59 189465.63),(60 190328.77),(61 189026.02),(62 187748.97),(63 186798.66),(64 184992.69),(65 184780.9),(66 185276),(67 184997.63),(68 185535.2),(69 186282.17),(70 186620.17),(71 187590.47),(72 187200.64),(73 185502.6),(74 184919.23),(75 185556.2),(76 185463.42),(77 184296.55),(78 184138.83),(79 184092.9),
(1 22376.76),(2 57681.36),(3 88537.97),(4 109559.79),(5 121752.93),(6 126606.664),(7 130149.305),(8 133815.56),(9 136467.25),(10 138192.34),(11 141128.19),(12 145069.22),(13 150061.05),(14 153505.98),(15 155231.78),(16 155536.1),(17 155471.39),(18 157455.81),(19 160666.73),(20 163137.92),(21 163605.33),(22 163600.78),(23 164011.02),(24 165805.5),(25 168450.33),(26 169813.6),(27 169016.86),(28 168602.17),(29 170544.17),(30 173361.05),(31 175486.36),(32 173425.56),(33 171506.52),(34 170714.13),(35 169974.78),(36 170140.39),(37 169674.28),(38 169987.16),(39 169352.28),(40 169201.36),(41 168668.33),(42 169058.64),(43 170493.1),(44 171308.6),(45 172759.27),(46 173208.02),(47 174622.3),(48 175235.94),(49 175499.56),(50 175245.55),(51 174800.9),(52 173411.23),(53 172898.72),(54 173350.97),(55 174413.75),(56 174411.6),(57 176182.66),(58 179197.81),(59 180916.3),(60 178076.45),(61 176979.23),(62 177904.11),(63 180343.97),(64 181617.55),(65 179763.72),(66 178917.55),(67 178415.64),(68 176582.72),(69 173649.75),(70 170494.02),(71 169466.67),(72 168288.52),(73 167263.47),(74 165739.4),(75 164886.78),(76 166096.97),(77 167196.66),(78 168076.42),(79 167502.63),
(1 22479.996),(2 57756.633),(3 86543.586),(4 104640.336),(5 114131.6),(6 116929.336),(7 118706.88),(8 120696.65),(9 122697.94),(10 124448.055),(11 127630.76),(12 131791.69),(13 136154.36),(14 140074.94),(15 143651.75),(16 145835.86),(17 143967.1),(18 144061.05),(19 146470.28),(20 149080.39),(21 149426.2),(22 150243.13),(23 152987.88),(24 157207.61),(25 160394.97),(26 159513.38),(27 156931.1),(28 155842.94),(29 155616.45),(30 158260.83),(31 161687.47),(32 162672.28),(33 162039.16),(34 161787.58),(35 162640.53),(36 164697.39),(37 167008.44),(38 169972.31),(39 173615.77),(40 172740.28),(41 170646.42),(42 170632.94),(43 171227.25),(44 170551.55),(45 169239.45),(46 168669.11),(47 168908.34),(48 168682.95),(49 167077.17),(50 165456.95),(51 161962.69),(52 161389.8),(53 162952.31),(54 166224.14),(55 168792.63),(56 169883.52),(57 171530.33),(58 173165.33),(59 174513.58),(60 173454.63),(61 171959.19),(62 170384.3),(63 169650.98),(64 169984.45),(65 171208.75),(66 171119.27),(67 168771.33),(68 164404.44),(69 162849.27),(70 162490.6),(71 160959.97),(72 159513.13),(73 158392.9),(74 158943.7),(75 160278.06),(76 161441.89),(77 161862.73),(78 163449.13),(79 164552.11),
(1 20753.107),(2 52819.15),(3 78744.58),(4 95194.805),(5 107022.4),(6 112136.19),(7 113615.65),(8 114222.664),(9 114533.78),(10 117048.24),(11 121932.914),(12 126951.39),(13 131850.56),(14 134877.94),(15 135843.16),(16 136447.64),(17 136331.61),(18 138514.08),(19 141993.14),(20 144118.11),(21 143541.03),(22 141390.11),(23 144095.53),(24 146560.67),(25 149387.61),(26 150151.7),(27 150221.08),(28 150596.45),(29 150665.4),(30 152285.48),(31 154071.16),(32 154750.98),(33 153676.25),(34 152320.39),(35 150117.4),(36 149444.11),(37 151216.88),(38 153677.89),(39 153388.25),(40 153941.88),(41 155098.66),(42 158417.55),(43 160656.25),(44 160592.27),(45 160628.16),(46 161139.73),(47 162211.83),(48 163251.05),(49 161844.75),(50 158393.2),(51 155867.63),(52 154936.1),(53 157602.92),(54 160474.13),(55 159875.52),(56 160003.56),(57 160819.22),(58 162631.66),(59 165181.6),(60 167849.9),(61 167705.27),(62 167492.3),(63 168272.88),(64 167660.19),(65 165545.27),(66 162324.25),(67 160020.19),(68 160118.44),(69 159982.83),(70 159454.2),(71 158532.44),(72 157920.34),(73 159777.02),(74 162651.9),(75 164699.31),(76 165943.4),(77 165983.3),(78 166587.64),(79 166766),
(1 19772.133),(2 49645.81),(3 73882.66),(4 88842.42),(5 98530.79),(6 103499.484),(7 107362.02),(8 111059.336),(9 113910.14),(10 117179.12),(11 120513.54),(12 123114.055),(13 125371.04),(14 127492.18),(15 129007.17),(16 130400.19),(17 131962.25),(18 133847.5),(19 135682.48),(20 136778.7),(21 136865.7),(22 136560.55),(23 138687.14),(24 141449.75),(25 144357.86),(26 145493.61),(27 145338.89),(28 145700.31),(29 145582.75),(30 146374.19),(31 147813.92),(32 149429.44),(33 149819.47),(34 149588.11),(35 148313.2),(36 147539.9),(37 147861.89),(38 149925.16),(39 152035.5),(40 154364.77),(41 154450.17),(42 155426.77),(43 157422.53),(44 157327.1),(45 157463.36),(46 158203.3),(47 159604.4),(48 159778.39),(49 158714.14),(50 156833.38),(51 156462.56),(52 157164.64),(53 158297.63),(54 160379.47),(55 161996.16),(56 161994.88),(57 161436.64),(58 160583.39),(59 162066.63),(60 165357.2),(61 165358.81),(62 164972.92),(63 164389.17),(64 164055.75),(65 162838.4),(66 160598.63),(67 158154.64),(68 156976.95),(69 159101.13),(70 159406.4),(71 159158.53),(72 159851.78),(73 160862.05),(74 162129.34),(75 162736.92),(76 161540.72),(77 159984.27),(78 160071.19),(79 160756.8),
(1 19535.002),(2 49398.742),(3 73826.98),(4 89660.664),(5 98840.46),(6 103334.19),(7 106973.87),(8 110345.74),(9 112880.2),(10 116036.086),(11 119036.09),(12 121649.234),(13 123509.5),(14 126222.66),(15 129127.72),(16 131073.97),(17 130539.07),(18 130650.164),(19 130511.14),(20 130839.37),(21 131450.94),(22 133074.31),(23 136234.9),(24 139281.72),(25 141375.28),(26 141955.34),(27 141000.81),(28 141654.63),(29 142978.86),(30 146072.66),(31 150444.88),(32 152362.63),(33 154757.19),(34 156184.44),(35 155224.56),(36 154648.58),(37 155291.31),(38 155966.48),(39 156000.19),(40 155658.2),(41 157013.38),(42 159521.6),(43 157788.17),(44 155296.77),(45 153749.58),(46 152900.08),(47 154198.88),(48 156765.81),(49 157423.31),(50 157229.86),(51 158265.3),(52 158975.22),(53 160179.36),(54 161651.92),(55 162214.6),(56 162764.72),(57 163493.44),(58 164817.14),(59 165050.67),(60 163532.4),(61 161704.14),(62 159691.47),(63 158629.36),(64 157877.81),(65 156503.17),(66 154882.03),(67 154361.61),(68 155157.39),(69 154811.78),(70 153707.48),(71 153566.39),(72 153524.66),(73 152578.42),(74 153357.69),(75 154290.73),(76 153885.22),(77 153878.98),(78 153905.56),(79 153520.53),
(1 19202.648),(2 48937.73),(3 73109.81),(4 88808.15),(5 97488.37),(6 101610.29),(7 104089.11),(8 106333.06),(9 109323.89),(10 112566.61),(11 115795.78),(12 119057.03),(13 122911.79),(14 125907.266),(15 126817.4),(16 128090.44),(17 129948.13),(18 131981.02),(19 132904.14),(20 134332.28),(21 133998.63),(22 134169.27),(23 138035.14),(24 141857.95),(25 145044.77),(26 146582.69),(27 146945.83),(28 147969.89),(29 148922.98),(30 150499.95),(31 152443.25),(32 154874.02),(33 156369.83),(34 157567.6),(35 157096.61),(36 156731.02),(37 155474.75),(38 154480.55),(39 156406.25),(40 156886.28),(41 158013.25),(42 159924.81),(43 160590.06),(44 161318.17),(45 160601.73),(46 159554.05),(47 160665.88),(48 161663.64),(49 162044.17),(50 161169.89),(51 161153.56),(52 161188.06),(53 160221.28),(54 159358.45),(55 158882.95),(56 159588.89),(57 160388.34),(58 160681.53),(59 159972.67),(60 157824.94),(61 156419.13),(62 155785.64),(63 155151.45),(64 152753.97),(65 150427.14),(66 148263.19),(67 146242.8),(68 145987.69),(69 146204.72),(70 146140.8),(71 146326.69),(72 145956.48),(73 144557.16),(74 144187.9),(75 143625.86),(76 143557.14),(77 143359.53),(78 143599.52),(79 143330.58),
(1 19896.623),(2 50652.56),(3 75947.89),(4 90747.64),(5 98680.62),(6 103101),(7 106343.23),(8 110003.55),(9 112740.2),(10 113722.805),(11 115344.03),(12 118566.09),(13 121007.914),(14 122528.984),(15 124332.35),(16 126562.14),(17 127734.52),(18 129567.445),(19 131096.67),(20 131852.69),(21 131213.84),(22 131977.5),(23 136217.56),(24 139854.27),(25 142356.03),(26 142609.86),(27 142310.3),(28 143231.3),(29 144063.75),(30 145184.95),(31 147208.88),(32 148328.63),(33 149965.77),(34 151030.95),(35 150560.67),(36 150333.13),(37 149753.11),(38 149149.94),(39 148166.8),(40 149098.19),(41 149554.9),(42 148587.33),(43 149527.42),(44 151091.66),(45 151803.4),(46 151526.34),(47 151952.58),(48 152858),(49 153364.17),(50 153955.78),(51 154108.75),(52 154225.94),(53 154322.08),(54 155512.16),(55 156703.4),(56 156498.4),(57 157058.13),(58 157571.88),(59 156909.33),(60 153956.58),(61 152834.92),(62 152525.58),(63 154219.88),(64 154278.19),(65 152651.5),(66 150234.8),(67 148141.92),(68 147166.75),(69 146740.5),(70 145916.16),(71 145133.61),(72 145687.39),(73 145226.1),(74 144174.61),(75 144525.86),(76 145003.23),(77 145645.05),(78 145493.53),(79 144284.77),
(1 19591.742),(2 49784.95),(3 73595.03),(4 87273.625),(5 96354.8),(6 100828.32),(7 104281.336),(8 107888.77),(9 110722.73),(10 114122.31),(11 117656.35),(12 120187.76),(13 122087.06),(14 123526.26),(15 124528.055),(16 125111.016),(17 126020.445),(18 126786.72),(19 128017.44),(20 128828.91),(21 130242.86),(22 132420.84),(23 136669.69),(24 139258.67),(25 140930.7),(26 140739.78),(27 138882.03),(28 139790.45),(29 142099.88),(30 144054.28),(31 144647.27),(32 145151.83),(33 145889.5),(34 145756.06),(35 144499.14),(36 142476.48),(37 141367.36),(38 139760.92),(39 138418.2),(40 137263.88),(41 137574.61),(42 138377.5),(43 139781.92),(44 139433.9),(45 139391.1),(46 140512.94),(47 141796.47),(48 142331.67),(49 142967.2),(50 141985.88),(51 141486.73),(52 141583.42),(53 140810.9),(54 140513.56),(55 141299.5),(56 141421.63),(57 141201.16),(58 140318),(59 139279.97),(60 140023.61),(61 141080.97),(62 140395.3),(63 138643.94),(64 137205.83),(65 135212.5),(66 133477.55),(67 132118.47),(68 132558.3),(69 134948.73),(70 135522.16),(71 135711.56),(72 136201.88),(73 135964.75),(74 135774.64),(75 136950.22),(76 138166.25),(77 139955.94),(78 140356.94),(79 139716.38),
