1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 40173.285),(2 59327.168),(3 63209.395),(4 129802),(5 178342.8),(6 200947),(7 278958.1),(8 339069.1),(9 341649.78),(10 404024.34),(11 440746.4),(12 421515.84),(13 472070.4),(14 500362.84),(15 484845.5),(16 548007.44),(17 593204.9),(18 597602.4),(19 680620.7),(20 722281.3),(21 745746.7),(22 842088.56),(23 892628),(24 887842.8),(25 956123.75),(26 980622.5),(27 951084.2),(28 1000072),(29 1005537.2),(30 957209.3),(31 999473.8),(32 1016367.3),(33 982875.8),(34 1035682.56),(35 1061630),(36 1030776.25),(37 1087084.5),(38 1121037.4),(39 1093235.9),(40 1147317.6),(41 1176437.6),(42 1140313.9),(43 1179016.4),(44 1247983.8),(45 1237205.9),(46 1299208.9),(47 1368103.1),(48 1359788.5),(49 1418699.4),(50 1479724),(51 1481471),(52 1562784.5),(53 1661780.6),(54 1696170.6),(55 1810062.9),(56 1942017.5),(57 2020565.1),(58 2162971.3),(59 2310451),(60 2392991),(61 2552730),(62 2731805.8),(63 2824690),(64 2996769.3),(65 3146773.3),(66 3244013.3),(67 3400432),(68 3558014.8),(69 3615504.8),(70 3761264.8),(71 3901540),(72 3991144),(73 4139342.8),(74 4293979),(75 4390830.5),(76 4545927.5),(77 4696364),(78 4771223.5),(79 4893865),
(1 6463.6733),(2 19297.084),(3 33018.6),(4 43882.58),(5 51520.426),(6 56183.633),(7 59077.56),(8 61021.305),(9 63050.094),(10 65324.598),(11 67778.95),(12 69937.14),(13 71356.93),(14 72670.4),(15 74161.234),(16 75393.73),(17 76121.63),(18 76014.95),(19 75449.695),(20 74829.984),(21 74288.58),(22 74214.34),(23 74867.58),(24 75583.78),(25 77004.82),(26 78689.84),(27 80245.555),(28 81235.89),(29 81771.195),(30 81918.46),(31 81881.75),(32 81592.664),(33 81409.84),(34 81636.99),(35 81902.52),(36 82043.086),(37 82013.2),(38 82336.12),(39 82636.85),(40 83217.31),(41 84298.305),(42 85766.14),(43 86920.45),(44 88068.19),(45 88881.87),(46 89141.766),(47 89270.32),(48 90200.17),(49 91560.81),(50 92488.28),(51 93633.875),(52 94641.33),(53 95233.98),(54 95741.71),(55 95651.78),(56 95069.45),(57 94440.375),(58 93730.47),(59 92870.55),(60 92396.055),(61 92632.016),(62 92749.23),(63 92363.65),(64 92312.82),(65 91954.305),(66 91217.42),(67 90417.86),(68 90447.88),(69 90140.78),(70 89432.695),(71 88949.86),(72 88573.01),(73 88126.766),(74 86817.2),(75 84914.29),(76 83334.31),(77 82239.42),(78 81452.805),(79 80815.43),
(1 6346.4897),(2 18858.71),(3 31871.1),(4 42575.83),(5 50520.668),(6 55378.63),(7 58504.42),(8 61310.434),(9 63705.45),(10 65727.81),(11 68039.43),(12 70191.19),(13 71744.375),(14 72788.53),(15 73627.48),(16 74828.56),(17 75916.97),(18 76544.195),(19 76519.68),(20 76246.1),(21 76551.93),(22 77544.38),(23 78308.79),(24 78796.34),(25 79238.57),(26 79355.2),(27 79578.766),(28 80156.77),(29 80569.484),(30 80681.55),(31 80639.55),(32 80799.266),(33 81514.49),(34 82578.34),(35 83820.97),(36 84691.91),(37 85193.74),(38 85729.1),(39 86696.38),(40 87587.15),(41 88678.99),(42 89692.984),(43 90282.586),(44 90937.375),(45 91014.73),(46 90977.81),(47 91040.43),(48 91639.48),(49 92519.77),(50 92913.06),(51 93081.95),(52 93282.43),(53 93463.48),(54 92773.03),(55 92218.305),(56 91893.51),(57 91474.2),(58 91109.414),(59 90945.336),(60 90296.84),(61 90122.61),(62 89412.234),(63 88400.28),(64 87759.21),(65 86877.03),(66 85933.37),(67 85393.3),(68 85039.13),(69 84496.61),(70 83723.49),(71 83404),(72 83200.54),(73 82719.62),(74 81852.91),(75 81223.97),(76 81029.875),(77 81069.56),(78 81706.32),(79 82722.12),
(1 6422.934),(2 19297.092),(3 32740.951),(4 43045.37),(5 50204.195),(6 54886.438),(7 58793.863),(8 62226.734),(9 65248.293),(10 67774.55),(11 69618.14),(12 70441.21),(13 70585.805),(14 70909.75),(15 72310.625),(16 73792.81),(17 75081.66),(18 75701.82),(19 75996.37),(20 76611.95),(21 77837.164),(22 79097.586),(23 79852.14),(24 80361.21),(25 80896.62),(26 80946.98),(27 80697.69),(28 79902.25),(29 78601.695),(30 77328.54),(31 75956.71),(32 74784.55),(33 74689.52),(34 75699.67),(35 76989.39),(36 77832.03),(37 78609.53),(38 79763.805),(39 81581.96),(40 83812.36),(41 85929.5),(42 86747.19),(43 87078.41),(44 87683.266),(45 87514.86),(46 87588.805),(47 87564.86),(48 87530.09),(49 87465.305),(50 87476.766),(51 87497.11),(52 87382.55),(53 87550.8),(54 87234.42),(55 86822.4),(56 86466.02),(57 86253.65),(58 85624.75),(59 85054.6),(60 84352.26),(61 83691.83),(62 83201.125),(63 82876.984),(64 82254.29),(65 81367.6),(66 80889.64),(67 80489.164),(68 79650.19),(69 79339.83),(70 79215.4),(71 79162.88),(72 79242.15),(73 78978.66),(74 78892.836),(75 79429.266),(76 79838.01),(77 79856.625),(78 80217.69),(79 80608.2),
(1 6227.755),(2 18847.756),(3 31962.715),(4 42019.34),(5 48766.24),(6 53198.734),(7 56223.453),(8 58483.46),(9 60336.75),(10 62416.715),(11 64588.723),(12 65994.63),(13 67022.54),(14 68206.02),(15 69131.71),(16 69465.27),(17 69754.11),(18 69694.27),(19 69634.94),(20 70395.086),(21 71685.21),(22 72903.78),(23 73738.11),(24 74422.95),(25 74944.18),(26 75544.99),(27 75869.67),(28 76555.19),(29 77254.7),(30 77361.336),(31 77056.08),(32 76611.76),(33 76511.945),(34 76889.14),(35 77644.23),(36 78093.5),(37 78946.42),(38 79582.195),(39 80063.555),(40 80088.46),(41 80068.76),(42 79512.47),(43 79716.586),(44 79901.56),(45 79834.43),(46 79860.6),(47 79971.64),(48 80190.23),(49 80649.18),(50 80984.35),(51 80708.58),(52 80177.88),(53 80010.08),(54 80234.7),(55 79855.75),(56 78959.445),(57 78427.81),(58 78234.61),(59 78390.87),(60 78751.31),(61 78902.625),(62 78616.38),(63 78230.66),(64 78197.66),(65 78059.3),(66 78005.16),(67 78059.07),(68 77496.31),(69 76825.87),(70 76264.83),(71 75946.75),(72 76017.69),(73 76273.73),(74 77073.89),(75 78520.43),(76 79946.234),(77 81178.66),(78 82488.98),(79 83692.85),
(1 6021.0317),(2 17733.258),(3 29558.607),(4 38836.27),(5 45483.695),(6 49590.08),(7 52375.066),(8 54166.613),(9 55545.92),(10 56976.863),(11 58568.973),(12 59867.418),(13 61057.38),(14 62203.03),(15 64113.008),(16 65614.89),(17 66521.086),(18 66429.984),(19 65810.35),(20 65635.266),(21 65939.73),(22 66463.234),(23 66886.375),(24 67198.42),(25 67426.61),(26 67677.92),(27 67731.64),(28 67740.02),(29 67814.914),(30 67421.055),(31 66644.1),(32 65983.54),(33 65828.24),(34 66092.88),(35 66807.516),(36 66960.32),(37 67377.7),(38 67516.31),(39 67941.13),(40 68211.76),(41 68396.95),(42 68504.016),(43 68580.57),(44 68048.65),(45 67396.945),(46 66951.31),(47 67178.2),(48 68196.25),(49 69484.516),(50 70406.18),(51 71264.76),(52 71972.01),(53 72465.31),(54 72571.03),(55 72302.81),(56 72009.805),(57 72249.875),(58 72241.48),(59 72226.26),(60 72245.54),(61 72296.43),(62 72080.99),(63 71890.98),(64 72010.89),(65 71882.945),(66 71872.26),(67 72417.164),(68 73039.6),(69 73451.86),(70 73298.99),(71 73230.164),(72 73196.78),(73 73175.8),(74 73503.11),(75 74399.47),(76 74686.56),(77 74533.96),(78 74126.42),(79 73649.78),
(1 6029.558),(2 18107.021),(3 30155.37),(4 39139.17),(5 44791.207),(6 47641.27),(7 48957.613),(8 49980.05),(9 51254.168),(10 52516.39),(11 53623.44),(12 54976.18),(13 56639.11),(14 58416.67),(15 60847.836),(16 62767.508),(17 63885.465),(18 64377.047),(19 64725.78),(20 65007.156),(21 65283.37),(22 65148.938),(23 64373.773),(24 63533.48),(25 62636.26),(26 62100.26),(27 61713.17),(28 61193.965),(29 61078.684),(30 61238.465),(31 61177.793),(32 61368.9),(33 62328.61),(34 63178.26),(35 64437.74),(36 64997.33),(37 64929.438),(38 64390.535),(39 64360.402),(40 64327.773),(41 64089.453),(42 63822.527),(43 63636.793),(44 63081.117),(45 62993.047),(46 63384.69),(47 64001.863),(48 65074.535),(49 66274.08),(50 66849.164),(51 66553.984),(52 66276.836),(53 66266.52),(54 65949.07),(55 65483.11),(56 64944.027),(57 64790.492),(58 64639.137),(59 65065.74),(60 65806.14),(61 66776.85),(62 67441.96),(63 68014.36),(64 68534.78),(65 68850.53),(66 69496.445),(67 70291.125),(68 70720.92),(69 71027.805),(70 71053.555),(71 70937.58),(72 70885.17),(73 70820.86),(74 70551.83),(75 70206.25),(76 69536.4),(77 69280.55),(78 69133.375),(79 69110.08),
(1 6014.234),(2 17575.848),(3 28874.8),(4 36923.836),(5 42084.117),(6 44825.902),(7 46459.4),(8 47889.477),(9 49346.668),(10 51018.81),(11 52704),(12 54404.785),(13 56207.02),(14 58160.195),(15 60209.98),(16 61505.805),(17 62226.195),(18 62726.06),(19 63911.098),(20 65298.758),(21 66445.7),(22 66652.95),(23 66224.16),(24 65470.98),(25 64559.6),(26 63737.438),(27 63377.758),(28 63487.844),(29 63298.613),(30 63195.914),(31 63179.008),(32 63091.49),(33 62931.51),(34 62872.438),(35 63048.234),(36 63402.99),(37 64218.01),(38 64617.92),(39 65252.652),(40 66005.82),(41 66366.234),(42 66245.22),(43 66178.72),(44 66309.58),(45 66440.06),(46 66781.38),(47 67085.4),(48 67152.86),(49 66861),(50 66435.12),(51 65707.36),(52 65319.62),(53 64859.387),(54 64467.855),(55 63982.066),(56 63713.348),(57 63843.445),(58 63891.574),(59 64138.883),(60 64509.688),(61 65512.836),(62 66293.13),(63 66762.87),(64 66970.805),(65 67705.234),(66 68246.66),(67 68529.414),(68 68769.14),(69 69191.31),(70 70046.31),(71 71408.125),(72 72352.06),(73 72807.36),(74 72803.07),(75 72225.26),(76 71420.06),(77 70690.836),(78 70064.234),(79 69503.1),
(1 6201.553),(2 18337.81),(3 30375.516),(4 39157.586),(5 44708.043),(6 48007.9),(7 50280.297),(8 52254.438),(9 54126.66),(10 55782.992),(11 56981.277),(12 58079.36),(13 59199.215),(14 60812.742),(15 62811.72),(16 63322.99),(17 62582.12),(18 61496.73),(19 61437.082),(20 62298.074),(21 63254.703),(22 63835.793),(23 63983.918),(24 63836.555),(25 63529.297),(26 63470.258),(27 63808.22),(28 63958.426),(29 63634.35),(30 62598.203),(31 61809.24),(32 61499.01),(33 61343.504),(34 62245.504),(35 63281.9),(36 64084.813),(37 64528.496),(38 64685.42),(39 64805.152),(40 64393.59),(41 63704.137),(42 62675.46),(43 61969.66),(44 61653.234),(45 61620.574),(46 62098.24),(47 62483.414),(48 62901.773),(49 63355.195),(50 63850.848),(51 64546.12),(52 64765.332),(53 64984.95),(54 65298.63),(55 65588.11),(56 66249.85),(57 67065.984),(58 67827.1),(59 68418.625),(60 68816.47),(61 69012.26),(62 69283.9),(63 70077.73),(64 71248.28),(65 72384.47),(66 73425.85),(67 74170.77),(68 73951.57),(69 73626.51),(70 73649.48),(71 73557.63),(72 73283.77),(73 72914.05),(74 72831.984),(75 72877.98),(76 72791.336),(77 72665.05),(78 72180.07),(79 71302.85),
(1 5842.7197),(2 17060.617),(3 27821.266),(4 35646.2),(5 41019.29),(6 44779.19),(7 47611.043),(8 50416.13),(9 53206.656),(10 55684.94),(11 57747.707),(12 59602.7),(13 61268.59),(14 62640.59),(15 63976.68),(16 64514.105),(17 64242.445),(18 63402.45),(19 63598.32),(20 64517.008),(21 65709.5),(22 66354.02),(23 66748.34),(24 66813.88),(25 67430.25),(26 67990.266),(27 68215.49),(28 68090.89),(29 67545.35),(30 66283.58),(31 64904.45),(32 63924.87),(33 63857.348),(34 64819.844),(35 65664.22),(36 66431.98),(37 66739.945),(38 66515.836),(39 66319.1),(40 66113.64),(41 65716.35),(42 64751.098),(43 63980.535),(44 63666.53),(45 63656.504),(46 63710.21),(47 63579.086),(48 63477.293),(49 63647.387),(50 64093.117),(51 64619.406),(52 65686.46),(53 67285.086),(54 68527.73),(55 69040.92),(56 69315.664),(57 69314.72),(58 69287.19),(59 69094.984),(60 68916.875),(61 68765.375),(62 68480.52),(63 68594.86),(64 68815.18),(65 69299.9),(66 69713.484),(67 69984.25),(68 70182.5),(69 69890.58),(70 69606.69),(71 69498.23),(72 69773.7),(73 70737.34),(74 71957.73),(75 73379.66),(76 74519.54),(77 75158.11),(78 75164.695),(79 74610.41),
(1 5739.6885),(2 16859.188),(3 27586.338),(4 35446.67),(5 40607.305),(6 43647.72),(7 45996.355),(8 48395.707),(9 50411.426),(10 52219.934),(11 53455.754),(12 54505.645),(13 55672.824),(14 56928.168),(15 58158.344),(16 58648.1),(17 58405.734),(18 58151.94),(19 58516.668),(20 59122.8),(21 59596.42),(22 59514.965),(23 59383.758),(24 59402.94),(25 59964.555),(26 60531.22),(27 61115.77),(28 62036.22),(29 62480.47),(30 62354.52),(31 62457.656),(32 62468.688),(33 62781.06),(34 63287.324),(35 63526.336),(36 63386.18),(37 63517.035),(38 63543.508),(39 63512.168),(40 63785.203),(41 64225.977),(42 64371.844),(43 64730.32),(44 65456.637),(45 66156.12),(46 66930.96),(47 67199.695),(48 67375.516),(49 67440.04),(50 67549.01),(51 67667.72),(52 67971.03),(53 68242.945),(54 68310.15),(55 68342.42),(56 68239.21),(57 68309.03),(58 68373.016),(59 68344.53),(60 68096.72),(61 67919.984),(62 67597.59),(63 68222.94),(64 68986.84),(65 69658.5),(66 69964.59),(67 70070.62),(68 70044.06),(69 69993.86),(70 69972.38),(71 70205.52),(72 70430.36),(73 70725.14),(74 70947.77),(75 71381.35),(76 71933.96),(77 71932.96),(78 72040.67),(79 72402.25),
(1 5550.446),(2 16158.8545),(3 26514.371),(4 33879.434),(5 38504.105),(6 41285.527),(7 43570.98),(8 45917.93),(9 48019.523),(10 50189.465),(11 52023.508),(12 53691.504),(13 55046.387),(14 56048.375),(15 56868.492),(16 56946.082),(17 56643.93),(18 56425.15),(19 56871.426),(20 58034.24),(21 58819.973),(22 59482.547),(23 59858.336),(24 59861.266),(25 60164.77),(26 60715.652),(27 60952.99),(28 61402.168),(29 61692.117),(30 61807.793),(31 61778.723),(32 61732.566),(33 61631.348),(34 61555.15),(35 61516.01),(36 61321.73),(37 61493.695),(38 61500.88),(39 61545.066),(40 61088.813),(41 60783.76),(42 60420.445),(43 60448.336),(44 60448.67),(45 60579.258),(46 60760.31),(47 60726.14),(48 60637.297),(49 60776.566),(50 61233.918),(51 61660.64),(52 61850.87),(53 62092.27),(54 61721.344),(55 61063.785),(56 60909.15),(57 61206.918),(58 61556.94),(59 61665.9),(60 61373.496),(61 61344.344),(62 61581.82),(63 61861.883),(64 62138.047),(65 62860.16),(66 63234.453),(67 63252.484),(68 62727.438),(69 62098.656),(70 62017.098),(71 62327.027),(72 62495.645),(73 62623.902),(74 62696.305),(75 62731.05),(76 62865.754),(77 63066.734),(78 63266.98),(79 63812.05),
(1 5435.1743),(2 15900.334),(3 25943.557),(4 32755.887),(5 36778.16),(6 39414.85),(7 41825.496),(8 44373.336),(9 46728.754),(10 48704.094),(11 49982.758),(12 51104.37),(13 52418.848),(14 53996.137),(15 55856.484),(16 56775.105),(17 56780.31),(18 56472.414),(19 56549.457),(20 57065.63),(21 57449.68),(22 57551.9),(23 57502.36),(24 57518.082),(25 57942.746),(26 58577.254),(27 59115.184),(28 59395.01),(29 59542.75),(30 59635.516),(31 59611.574),(32 60027.563),(33 60421.54),(34 60730.676),(35 61184.41),(36 61630.383),(37 62302.31),(38 63283.55),(39 64090.008),(40 64402.848),(41 64090.633),(42 63420.848),(43 62343.586),(44 61571.32),(45 61229.207),(46 60780.45),(47 60097.527),(48 59256.07),(49 58268.69),(50 57507.22),(51 56833.805),(52 56157.457),(53 55427.3),(54 55265.86),(55 55763.207),(56 56340.105),(57 57111.46),(58 57468.473),(59 57804.906),(60 57847.09),(61 57766.22),(62 58119.395),(63 58271.25),(64 58503.69),(65 58918.164),(66 59332.586),(67 59593.863),(68 59559.285),(69 59533.87),(70 59509.563),(71 60086.414),(72 60872.047),(73 61325.473),(74 61448.38),(75 61577.574),(76 61720.215),(77 61967.91),(78 62250.484),(79 62522.727),
(1 5376.0728),(2 15585.418),(3 25295.271),(4 31928.203),(5 35850.254),(6 37895.254),(7 39636.816),(8 41385.574),(9 42845.36),(10 44524.68),(11 45926.242),(12 46999.758),(13 48220.67),(14 49687.168),(15 51166.203),(16 52032.37),(17 52445.902),(18 52811.16),(19 52816.15),(20 52860.918),(21 52962.3),(22 53176.773),(23 53497.184),(24 53464.965),(25 53895.434),(26 54577.668),(27 55097.21),(28 55373.5),(29 54826.723),(30 54075.402),(31 53557.03),(32 53403.14),(33 53722.816),(34 54101.605),(35 54530.105),(36 55027.914),(37 54867.99),(38 54642.902),(39 54270.49),(40 54227.914),(41 54686.594),(42 54991.965),(43 55310.977),(44 55915.83),(45 56170.555),(46 55836.11),(47 55164.95),(48 54438.258),(49 53604.97),(50 52615.863),(51 51998.66),(52 52205.223),(53 52901.89),(54 53742.977),(55 54231.035),(56 54485.137),(57 54123.816),(58 53464.45),(59 53116.734),(60 53287.035),(61 53891.832),(62 54978.934),(63 56014.656),(64 56460.258),(65 56708.79),(66 57025.414),(67 57423.414),(68 57626.816),(69 57394.29),(70 57184.902),(71 57502.5),(72 57928.555),(73 58506.48),(74 58725.684),(75 58386.617),(76 57979.18),(77 57574.816),(78 57486.285),(79 57625.742),
(1 5322.372),(2 15503.176),(3 25265.193),(4 32352.047),(5 36939.46),(6 39655.754),(7 41464.453),(8 42940.88),(9 44199.383),(10 45403.98),(11 46761.164),(12 48370.73),(13 50090.875),(14 51837.06),(15 53209.863),(16 53173.56),(17 52796.27),(18 52733),(19 53228.188),(20 53390.477),(21 52960.766),(22 52565.605),(23 52113.64),(24 51740.3),(25 51961.113),(26 51948.082),(27 52370.316),(28 52696.67),(29 52243.047),(30 51483.156),(31 51134.62),(32 51151.41),(33 51294.223),(34 51423.766),(35 51699.875),(36 51621.21),(37 50841.76),(38 50129.176),(39 49667.71),(40 49583.76),(41 49639.113),(42 49905.684),(43 50016.383),(44 50134.75),(45 50386.63),(46 50315.91),(47 50197.617),(48 50492.39),(49 50901.11),(50 51130.242),(51 51095.605),(52 51150.234),(53 51209.65),(54 51123.16),(55 51283.207),(56 51833.906),(57 52183.27),(58 52696.016),(59 53249.02),(60 53731.32),(61 54630.29),(62 55509.363),(63 55999.184),(64 56344.668),(65 56827.496),(66 57331.67),(67 57447.496),(68 57385.023),(69 57471.93),(70 57797.67),(71 57830.535),(72 57714.516),(73 57562.01),(74 57477.547),(75 57450.426),(76 57653.54),(77 57625.75),(78 57494.203),(79 57332.008),
(1 5360.7007),(2 15386.702),(3 24613.064),(4 31359.17),(5 35883.87),(6 38756.832),(7 40549.785),(8 41900.832),(9 43275.88),(10 44713.16),(11 45688.223),(12 46619.586),(13 47632.855),(14 48701.445),(15 49747.35),(16 49946.445),(17 49817.316),(18 49716.832),(19 49684.65),(20 49456.473),(21 49089.516),(22 48616.36),(23 48110.74),(24 47717.46),(25 47741.64),(26 47951.223),(27 47981),(28 48134.387),(29 48644.39),(30 49192.367),(31 49170.2),(32 49341.246),(33 49484.855),(34 49690.6),(35 50097.4),(36 50706.613),(37 51132.8),(38 51487.027),(39 51315.38),(40 50846.797),(41 50443.93),(42 50372.69),(43 50601.496),(44 51098.555),(45 51076.977),(46 50674.316),(47 50060.867),(48 50026.55),(49 50584.62),(50 51032.613),(51 51672.55),(52 52305.6),(53 52602.14),(54 52924.973),(55 53052.402),(56 53283.133),(57 53498.01),(58 53460.246),(59 53462.715),(60 53705.53),(61 54061.777),(62 54517.984),(63 55196.87),(64 55734.28),(65 56022.45),(66 56469.563),(67 57235.94),(68 58179.707),(69 59338.074),(70 59583.496),(71 58977.883),(72 58223.457),(73 57180.434),(74 56550.754),(75 56292.06),(76 55865.19),(77 55557.965),(78 55376.76),(79 55426.598),
(1 5310.893),(2 15068.282),(3 24101.115),(4 30761.984),(5 35245.42),(6 37955.664),(7 39558),(8 40722.566),(9 41674.13),(10 42643.1),(11 43554.98),(12 44340.938),(13 45242.758),(14 46530.367),(15 47335.3),(16 47233.445),(17 46625.01),(18 46357.453),(19 46654.953),(20 46712.17),(21 46251.742),(22 45631.496),(23 45152.7),(24 45087.254),(25 45069.285),(26 45224.16),(27 44970.188),(28 44759.305),(29 44865.203),(30 45023.973),(31 45498.125),(32 46404.18),(33 46750.434),(34 47213.867),(35 47798.965),(36 47625.793),(37 47177.27),(38 46596.574),(39 46337.953),(40 46499.52),(41 46713.44),(42 47100.746),(43 47292.09),(44 47683.5),(45 48000.64),(46 47903.418),(47 47181.594),(48 47164.688),(49 47577.715),(50 47955.31),(51 48394.63),(52 49035.434),(53 49490.41),(54 50060.13),(55 50153.73),(56 49734.17),(57 49409.918),(58 49510.094),(59 49879.11),(60 50475.32),(61 51112.965),(62 51944.992),(63 52629.188),(64 52968.457),(65 53299.914),(66 53647.566),(67 54215.715),(68 54568.953),(69 54940.707),(70 54574.297),(71 53840.203),(72 52909.598),(73 51915.92),(74 51160.645),(75 50810.29),(76 50460.8),(77 50460.98),(78 50679.105),(79 51298.434),
(1 5195.7095),(2 14829.353),(3 23627.605),(4 29651.662),(5 33420.02),(6 35689.832),(7 37233.37),(8 38422.324),(9 39077.055),(10 39659.793),(11 40500.223),(12 41388.453),(13 42505.53),(14 43410.688),(15 43575.883),(16 43227.305),(17 42795.836),(18 43018.69),(19 43818.06),(20 44237.566),(21 44097.53),(22 44040.29),(23 44496.766),(24 45052.48),(25 45654.844),(26 46136.73),(27 46303.3),(28 46366.664),(29 46695.473),(30 47017.39),(31 47330.164),(32 47503.832),(33 47421.836),(34 47280.027),(35 46932.07),(36 46392.438),(37 45589.68),(38 45363.95),(39 44789.08),(40 44288.92),(41 44040.676),(42 44155.836),(43 44311.434),(44 44270.617),(45 44496.1),(46 44724.125),(47 45068.25),(48 45326.824),(49 45876.777),(50 46354.984),(51 46816.938),(52 47403.45),(53 47699.35),(54 47987.54),(55 48158.707),(56 48379.164),(57 48710.07),(58 49020.92),(59 49567.656),(60 50527.766),(61 51178.77),(62 51341.473),(63 51391.074),(64 51150.973),(65 50736.617),(66 50327.695),(67 49991.336),(68 50007.99),(69 50417.27),(70 50710.62),(71 50759.94),(72 50822.863),(73 50961.582),(74 51114.01),(75 51248.313),(76 51306.58),(77 51669.133),(78 51808.83),(79 52031.133),
