1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 47693.88),(2 141478.5),(3 269680),(4 409453.47),(5 549559.44),(6 704620.8),(7 858526.44),(8 1016330.3),(9 1178977.3),(10 1298552.6),(11 1421897),(12 1547745.4),(13 1679927.9),(14 1832995.5),(15 2009994),(16 2191165.5),(17 2375563.8),(18 2594225.8),(19 2792058.3),(20 2970968.8),(21 3154965.8),(22 3354606),(23 3551340),(24 3799103.8),(25 4004179.8),(26 4242181),(27 4480794.5),(28 4713793.5),(29 5021627.5),(30 5347252),(31 5690096),(32 6048704.5),(33 6352188.5),(34 6612949.5),(35 6834186.5),(36 7044068),(37 7222724.5),(38 7375629.5),(39 7549180),(40 7742970.5),(41 7900038.5),(42 8003388),(43 8081390.5),(44 8082346.5),(45 7986646),(46 7856226.5),(47 7743100.5),(48 7649967.5),(49 7532644.5),(50 7425095.5),(51 7333355.5),(52 7310210.5),(53 7287327.5),(54 7353583.5),(55 7430749.5),(56 7526961.5),(57 7569826),(58 7612549.5),(59 7692142),(60 7723306.5),(61 7876788.5),(62 8042872),(63 8178599.5),(64 8432006),(65 8634553),(66 8863755),(67 9127219),(68 9467304),(69 9669472),(70 10035317),(71 10527551),(72 10958767),(73 11314825),(74 11657471),(75 12126867),(76 12565509),(77 12982941),(78 13465099),(79 13792127),
(1 6035.6563),(2 10359.877),(3 13525.183),(4 14876.3545),(5 15488.16),(6 15971.732),(7 16359.324),(8 16547.535),(9 16829.965),(10 16908.432),(11 17359.86),(12 18017.953),(13 18138.635),(14 18475.814),(15 18391.166),(16 18402.49),(17 18332.27),(18 18152.26),(19 17689.314),(20 17826.87),(21 18058.334),(22 17732.52),(23 17603.49),(24 17475.014),(25 17414.215),(26 17571.953),(27 17835.113),(28 17663.477),(29 17845.334),(30 17541.6),(31 17826.715),(32 17740.543),(33 17991.47),(34 18063.895),(35 18017.922),(36 17797.246),(37 17929.207),(38 17863.717),(39 18013.146),(40 17902.82),(41 17692.654),(42 17777.059),(43 17745.424),(44 17756.35),(45 17788.871),(46 17963.742),(47 18112.004),(48 17975.758),(49 17674.924),(50 17801.37),(51 17915.896),(52 18312.31),(53 18698.047),(54 18615.684),(55 18508.182),(56 18779.213),(57 19132.055),(58 19281.354),(59 19056.838),(60 18881.611),(61 18958.938),(62 18967.18),(63 19095.1),(64 18964.53),(65 18663.14),(66 18193.646),(67 17945.27),(68 17817.344),(69 18006.107),(70 18133.53),(71 18474.008),(72 18540.795),(73 18694.395),(74 18635.162),(75 18571.281),(76 18833.178),(77 19159.973),(78 19465.8),(79 19372.313),
(1 6263.4927),(2 10736.461),(3 13986.5),(4 15666.054),(5 15980.6875),(6 16426.42),(7 16945.324),(8 16937),(9 17226.043),(10 17833.863),(11 18215.828),(12 18785.553),(13 18768.424),(14 19078.148),(15 19246.734),(16 19409.97),(17 19349.518),(18 19325.033),(19 18449.092),(20 18136.21),(21 18322.879),(22 18178.486),(23 18068.873),(24 18265.338),(25 18278.928),(26 18133.813),(27 17944.736),(28 17772.225),(29 17450.873),(30 17438.234),(31 17662.264),(32 17748.16),(33 18195.838),(34 18230.941),(35 18259.146),(36 18473.164),(37 18146.781),(38 17981.002),(39 17796.87),(40 18032.574),(41 18247.488),(42 18549.941),(43 18490.041),(44 18566.014),(45 18457.395),(46 18249.807),(47 18050.781),(48 18001.307),(49 17892.68),(50 17939.676),(51 18042.328),(52 18327.664),(53 18429.752),(54 18653.559),(55 18757.123),(56 18841.738),(57 19053.586),(58 19227.367),(59 19417.756),(60 19001.158),(61 18792.799),(62 18716.781),(63 19024.826),(64 19108.664),(65 18997.186),(66 18413.55),(67 18092.096),(68 17859.25),(69 17871.535),(70 18108.414),(71 18482.576),(72 18637.34),(73 18364.367),(74 18092.242),(75 18567.979),(76 19091.805),(77 18956.078),(78 19326.71),(79 19362.912),
(1 5933.7285),(2 10294.368),(3 12997.171),(4 14266.619),(5 14790.086),(6 15303.658),(7 15543.311),(8 15574.33),(9 15632.433),(10 16077.801),(11 16278.809),(12 16650.258),(13 16850.889),(14 17172.809),(15 17219.68),(16 17067.834),(17 16882.008),(18 16874.758),(19 16551.102),(20 16689.139),(21 16655.305),(22 16406.654),(23 16512.125),(24 16469.963),(25 16470.252),(26 16266.392),(27 16456.822),(28 16725.227),(29 16922.271),(30 16780.102),(31 16910.754),(32 16772.791),(33 17077.336),(34 16977.895),(35 17120.568),(36 17061.074),(37 16983.105),(38 16554.303),(39 16615.781),(40 16615.889),(41 16385.254),(42 16272.536),(43 16300.941),(44 16585.885),(45 16790.998),(46 16832.129),(47 16660.707),(48 16721.037),(49 16620.115),(50 16716.639),(51 16876.652),(52 17169.559),(53 17346.197),(54 17415.41),(55 17495.918),(56 17913.129),(57 17888.283),(58 18135.158),(59 18317.516),(60 17953.514),(61 18083.256),(62 18139.248),(63 18306.943),(64 17970.375),(65 17655.484),(66 17292.545),(67 17212.658),(68 16893.406),(69 16741.875),(70 16809.121),(71 16844.309),(72 16860.258),(73 17071.475),(74 17078.027),(75 17568.988),(76 17903.25),(77 17788.416),(78 17993.344),(79 17791.445),
(1 5700.295),(2 9740.206),(3 12273.845),(4 13320.04),(5 13974.805),(6 14154.315),(7 14306.262),(8 14608.81),(9 14738.124),(10 15235.123),(11 15518.266),(12 16148.189),(13 16114.828),(14 16469.113),(15 16423.57),(16 16541.012),(17 16325.772),(18 16182.563),(19 15829.388),(20 15737.1875),(21 15885.061),(22 15606.345),(23 15629.535),(24 15576.114),(25 15773.895),(26 15673.806),(27 16088.083),(28 15975.862),(29 16084.778),(30 16038.744),(31 16271.019),(32 16265.714),(33 16349.547),(34 16283.002),(35 16356.391),(36 16388.748),(37 16382.339),(38 16331.351),(39 16583.035),(40 16401.266),(41 16225.073),(42 16096.278),(43 15901.486),(44 15897.649),(45 15936.799),(46 15915.099),(47 15829.057),(48 15978.618),(49 15653.78),(50 15616.836),(51 15546.511),(52 15805.652),(53 16102.147),(54 16504.822),(55 16490.922),(56 16780.29),(57 16974.943),(58 17212.01),(59 17309.572),(60 16943.686),(61 16803.715),(62 16824.51),(63 16831.896),(64 16888.395),(65 16963.29),(66 16839.963),(67 16732.436),(68 16462.094),(69 16190.651),(70 16288.647),(71 16638.793),(72 16787.52),(73 16770.605),(74 16689.756),(75 16906.723),(76 17077.945),(77 16977.846),(78 17166.908),(79 17137.4),
(1 5468.9106),(2 9223.649),(3 11633.5205),(4 12741.394),(5 13216.849),(6 13676.94),(7 13873.17),(8 14014.817),(9 14127.365),(10 14555.508),(11 14861.379),(12 15372.897),(13 15349.154),(14 15659.017),(15 15860.035),(16 15785.299),(17 15533.232),(18 15457.536),(19 15519.779),(20 15491.75),(21 15353.417),(22 15273.594),(23 15147.444),(24 15023.312),(25 15164.355),(26 15107.622),(27 15385.248),(28 15354.607),(29 15482.823),(30 15277.683),(31 15487.6875),(32 15518.561),(33 15734.609),(34 15774.527),(35 15881.03),(36 15764.62),(37 15765.685),(38 15561.944),(39 15726.205),(40 15564.616),(41 15531.257),(42 15625.83),(43 15444.548),(44 15563.144),(45 15756.705),(46 15879.505),(47 15805.95),(48 15980.4),(49 15767.115),(50 15774.0625),(51 15531.888),(52 15469.304),(53 15440.004),(54 15477.433),(55 15610.835),(56 15792.019),(57 15878.582),(58 16011.579),(59 16225.063),(60 16002.336),(61 16194),(62 16079.119),(63 15965.548),(64 16022.055),(65 15933.444),(66 15889.992),(67 15839.814),(68 15744.374),(69 15578.044),(70 15482.836),(71 15719.246),(72 15862.964),(73 15823.74),(74 15734.747),(75 15876.789),(76 15908.554),(77 16087.712),(78 16481.078),(79 16387.879),
(1 5309.531),(2 8999.796),(3 11341.514),(4 12341.433),(5 12789.181),(6 13218.458),(7 13481.139),(8 13665.65),(9 13857.304),(10 14324.626),(11 14604.282),(12 15225.126),(13 15299.684),(14 15606.861),(15 15700.141),(16 15733.069),(17 15699.04),(18 15641.111),(19 15353.756),(20 15188.829),(21 15267.057),(22 15272.136),(23 15109.343),(24 15085.255),(25 15207.61),(26 15271.638),(27 15262.249),(28 15214.915),(29 15086.872),(30 15077.264),(31 15171.4),(32 15260.173),(33 15395.345),(34 15507.948),(35 15486.489),(36 15401.666),(37 15361.415),(38 15216.718),(39 15320.075),(40 15169.042),(41 14926.844),(42 14887.246),(43 14741.646),(44 14783.133),(45 14705.99),(46 14638.654),(47 14575.87),(48 14768.776),(49 14608.941),(50 14664.225),(51 14656.111),(52 14746.73),(53 14793.597),(54 15104.777),(55 15089.22),(56 15326.913),(57 15490.387),(58 15843.464),(59 15744.244),(60 15637.786),(61 15980.746),(62 16065.805),(63 16155.154),(64 15939.226),(65 15799.775),(66 15470.278),(67 15313.694),(68 15160.752),(69 15079.343),(70 15087.435),(71 15387.548),(72 15382.479),(73 15318.365),(74 15504.069),(75 15637.768),(76 15853.271),(77 15918.032),(78 16263.836),(79 16149.652),
(1 5268.5444),(2 8651.203),(3 10898.428),(4 11799.728),(5 12365.471),(6 12799.361),(7 13092.359),(8 13278.816),(9 13525.378),(10 13565.473),(11 13828.816),(12 14318.446),(13 14394.628),(14 14616.498),(15 14744.1),(16 14812.203),(17 14839.56),(18 14602.844),(19 14449.264),(20 14287.797),(21 14357.073),(22 14406.888),(23 14438.139),(24 14267.713),(25 14454.874),(26 14526.4375),(27 14340.223),(28 14373.552),(29 14681.261),(30 14524.92),(31 14664.03),(32 14608.25),(33 14631.104),(34 14658.662),(35 14657.53),(36 14831.701),(37 14837.106),(38 14801.747),(39 15000.619),(40 14850.762),(41 14690.407),(42 14526.741),(43 14322.788),(44 14269.596),(45 14094.149),(46 14043.952),(47 14062.189),(48 14426.271),(49 14368),(50 14428.269),(51 14688.312),(52 14723.194),(53 14786.946),(54 14789.976),(55 14783.684),(56 14875.482),(57 14649.981),(58 14814.914),(59 14885.598),(60 14660.883),(61 14844.493),(62 14908.048),(63 15079.549),(64 15283.922),(65 15304.916),(66 15030.138),(67 14747.69),(68 14667.119),(69 14617.792),(70 14757.994),(71 15214.477),(72 15368.343),(73 15466.813),(74 15370.961),(75 15505.717),(76 15739.959),(77 15758.319),(78 16124.682),(79 16068.249),
(1 5147.6416),(2 8591.715),(3 10883.087),(4 11616.311),(5 11946.471),(6 12099.283),(7 12185.455),(8 12505.496),(9 12896.336),(10 13330.557),(11 13579.967),(12 13854.531),(13 13833.234),(14 13930.0205),(15 13702.787),(16 13615.156),(17 13771.826),(18 13638.847),(19 13608.085),(20 13736.13),(21 14045.491),(22 14017.689),(23 14036.059),(24 13978.946),(25 13832.302),(26 13585.438),(27 13714.14),(28 13882.15),(29 14124.137),(30 13960.976),(31 13976.844),(32 13820.334),(33 14086.468),(34 14285.249),(35 14359.187),(36 14405.396),(37 14285.899),(38 14080.69),(39 14335.572),(40 14524.383),(41 14126.5205),(42 13942.157),(43 13822.044),(44 13955.382),(45 13841.139),(46 13986.405),(47 13772.144),(48 13733.74),(49 13652.962),(50 13898.346),(51 13841.321),(52 13725.642),(53 13678.004),(54 13695.885),(55 13775.71),(56 14099.123),(57 14427.082),(58 14508.053),(59 14556.381),(60 14414.383),(61 14428.81),(62 14507.791),(63 14609.849),(64 14684.111),(65 14536.822),(66 14297.186),(67 14055.761),(68 13997.927),(69 14117.897),(70 14261.241),(71 14539.354),(72 14577.174),(73 14475.079),(74 14372.466),(75 14534.13),(76 14766.761),(77 14677.69),(78 14815.281),(79 14820.815),
(1 4973.4385),(2 8250.796),(3 10299.282),(4 11142.5),(5 11564.48),(6 12001.765),(7 12343.202),(8 12666.581),(9 12722.878),(10 13259.714),(11 13386.236),(12 13540.527),(13 13396.385),(14 13611.985),(15 13466.956),(16 13592.179),(17 13515.088),(18 13373.851),(19 13187.854),(20 13088.681),(21 13134.406),(22 13088.348),(23 13268.058),(24 13327.337),(25 13440.786),(26 13373.739),(27 13581.927),(28 13448.633),(29 13435.548),(30 13209.938),(31 13320.168),(32 13241.586),(33 13329.609),(34 13513.811),(35 13720.721),(36 13584.177),(37 13358.288),(38 13298.719),(39 13451.217),(40 13497.024),(41 13497.475),(42 13620.336),(43 13371.735),(44 13430.773),(45 13485.893),(46 13538.677),(47 13510.969),(48 13573.606),(49 13344.178),(50 13382.283),(51 13419.893),(52 13608.891),(53 13604.256),(54 13713.551),(55 13699.251),(56 13827.235),(57 13935.071),(58 14261.74),(59 14349.984),(60 14113.778),(61 14022.559),(62 14117.667),(63 14281.213),(64 14497.563),(65 14450.648),(66 14296.462),(67 13983.223),(68 13581.941),(69 13510.037),(70 13582.376),(71 13953.949),(72 14038.464),(73 14155.997),(74 14135.601),(75 14225.987),(76 14201.341),(77 14162.865),(78 14430.873),(79 14253.417),
(1 4678.0767),(2 7757.5244),(3 9686.594),(4 10682.639),(5 11276.269),(6 11568.065),(7 11718.483),(8 11974.84),(9 12074.976),(10 12528.395),(11 12594.814),(12 12901.407),(13 12971.007),(14 13217.906),(15 13069.316),(16 13175.982),(17 13229.869),(18 13241.536),(19 13069.897),(20 12963.116),(21 13096.671),(22 12845.714),(23 12480.405),(24 12391.238),(25 12776.3),(26 12821.149),(27 12838.729),(28 13046.286),(29 13098.765),(30 13042.099),(31 13072.766),(32 12989.237),(33 13239.954),(34 13380.018),(35 13479.169),(36 13175.229),(37 13023.391),(38 12962.782),(39 12948.697),(40 12932.755),(41 12820.197),(42 12820.915),(43 12740.162),(44 12720.82),(45 12773.066),(46 12737.246),(47 12704.384),(48 12821.689),(49 12680.398),(50 12746.192),(51 13001.076),(52 13076.758),(53 13058.582),(54 13147.036),(55 12955.7705),(56 12997.168),(57 12969.909),(58 13213.787),(59 13496.145),(60 13269.165),(61 13507.643),(62 13416.772),(63 13382.848),(64 13330.331),(65 13154.134),(66 13260.4),(67 13322.283),(68 13207.976),(69 13213.027),(70 13199.932),(71 13310.151),(72 13507.019),(73 13802.94),(74 13970.757),(75 14040.709),(76 14087.106),(77 14183.715),(78 14297.683),(79 14157.638),
(1 4677.131),(2 7878.783),(3 9652.863),(4 10298.947),(5 10613.372),(6 10996.642),(7 11336.305),(8 11621.538),(9 11752.005),(10 11969.058),(11 12112.617),(12 12645.274),(13 12624.302),(14 12784.318),(15 12835.2705),(16 12893.262),(17 12878.075),(18 12815.842),(19 12430.006),(20 12281.734),(21 12381.389),(22 12107.932),(23 12019.905),(24 12391.845),(25 12642.939),(26 12610.352),(27 12644.867),(28 12766.41),(29 12806.484),(30 12640.536),(31 12825.396),(32 12872.669),(33 12961.193),(34 13019.308),(35 12870.631),(36 12690.155),(37 12633.118),(38 12945.361),(39 13059.159),(40 13031.511),(41 12953.061),(42 12749.458),(43 12565.95),(44 12805.813),(45 12665.137),(46 12645.932),(47 12442.4375),(48 12400.746),(49 12273.247),(50 12353.359),(51 12372.94),(52 12596.544),(53 12636.617),(54 12946.319),(55 12945.712),(56 13208.426),(57 13046.255),(58 13257.32),(59 13235.158),(60 13040.862),(61 12945.0625),(62 12897.486),(63 13005.623),(64 13108.787),(65 12753.65),(66 12558.223),(67 12488.147),(68 12344.866),(69 12092.614),(70 12165.52),(71 12529.722),(72 12640.358),(73 12948.374),(74 13102.242),(75 13205.675),(76 13216.878),(77 13269.477),(78 13405.261),(79 13232.45),
(1 4476.59),(2 7456.7075),(3 9399.671),(4 10300.83),(5 10937.412),(6 11336.943),(7 11549.241),(8 11535.629),(9 11648.201),(10 11960.873),(11 12141.707),(12 12667.226),(13 12576.924),(14 12863.918),(15 12907.092),(16 12903.711),(17 12721.229),(18 12788.052),(19 12244.663),(20 12081.241),(21 12225.15),(22 12102.851),(23 12165.183),(24 12341.709),(25 12261.933),(26 12136.515),(27 12374.297),(28 12263.674),(29 12267.485),(30 12277.936),(31 12517.753),(32 12416.122),(33 12391.344),(34 12236.054),(35 12149.536),(36 12015.109),(37 12040.557),(38 11873.706),(39 11830.326),(40 11765.532),(41 11829.606),(42 11886.113),(43 11778.339),(44 11886.03),(45 12015.858),(46 12174.758),(47 12278.079),(48 12377.064),(49 12221.817),(50 12197.738),(51 12318.047),(52 12371.257),(53 12409.262),(54 12593.729),(55 12493.907),(56 12611.813),(57 12724.245),(58 12906.008),(59 12899.512),(60 12762.581),(61 12718.701),(62 12614.056),(63 12585.276),(64 12634.973),(65 12636.669),(66 12586.595),(67 12381.285),(68 12085.951),(69 11948.62),(70 12128.892),(71 12351.481),(72 12370.828),(73 12575.745),(74 12647.845),(75 12803.729),(76 12715.504),(77 12582.289),(78 12790.055),(79 12610.245),
(1 4295.741),(2 7012.6855),(3 8721.169),(4 9595.631),(5 10033.4375),(6 10439.181),(7 10599.4375),(8 10707.379),(9 10771.891),(10 11045.985),(11 11161.905),(12 11483.125),(13 11467.145),(14 11624.025),(15 11504.011),(16 11683.8545),(17 11665.955),(18 11671.33),(19 11612.753),(20 11603.899),(21 11717.027),(22 11489.421),(23 11248.69),(24 11389.509),(25 11331.705),(26 11428.65),(27 11430.758),(28 11463.868),(29 11654.241),(30 11680.445),(31 12051.045),(32 11928.451),(33 12067.597),(34 11994.263),(35 12051.652),(36 11841.893),(37 11670.828),(38 11539.228),(39 11483.935),(40 11467.015),(41 11313.207),(42 11261.733),(43 11282.534),(44 11409.448),(45 11265.384),(46 11374.858),(47 11488.874),(48 11546.235),(49 11216.907),(50 11139.224),(51 11046.242),(52 11067.175),(53 10962.829),(54 10875.627),(55 10878.017),(56 11091.717),(57 11211.397),(58 11543.109),(59 11479.787),(60 11399.615),(61 11501.203),(62 11578.892),(63 11636.284),(64 11645.228),(65 11692.445),(66 11600.023),(67 11499.771),(68 11230.159),(69 11136.021),(70 11154.814),(71 11494.761),(72 11589.494),(73 11682.688),(74 11785.892),(75 11824.165),(76 11759.188),(77 11600.885),(78 11848.248),(79 12027.56),
(1 4360.639),(2 7030.7993),(3 8818.435),(4 9527.852),(5 9814.099),(6 10101.728),(7 10161.89),(8 10225.033),(9 10337.794),(10 10720.749),(11 10989.87),(12 11511.255),(13 11435.453),(14 11600.112),(15 11481.533),(16 11601.217),(17 11660.642),(18 11295.649),(19 11009.803),(20 11007.771),(21 11209.55),(22 11082.526),(23 11028.424),(24 10828.869),(25 10681.568),(26 10724.267),(27 10797.739),(28 10792.463),(29 10811.467),(30 10712.662),(31 11228.351),(32 11343.818),(33 11513.133),(34 11469.21),(35 11414.445),(36 11291.866),(37 11074.092),(38 10752.035),(39 10904.581),(40 11030.588),(41 10993.092),(42 11015.065),(43 11008.401),(44 11096.393),(45 11009.751),(46 10948.677),(47 11113.283),(48 11352.245),(49 11265.546),(50 11485.46),(51 11648.976),(52 11532.073),(53 11419.381),(54 11344.232),(55 11306.28),(56 11374.311),(57 11414.773),(58 11706.168),(59 11731.329),(60 11598.823),(61 11657.701),(62 11701.652),(63 11642.45),(64 11491.483),(65 11453.955),(66 11490.937),(67 11420.841),(68 11270.498),(69 11181.544),(70 11160.934),(71 11482.252),(72 11637.213),(73 11533.056),(74 11640.669),(75 12010.301),(76 11991.965),(77 11918.975),(78 12096.223),(79 12117.353),
(1 4117.7944),(2 6762.557),(3 8466.351),(4 9100.643),(5 9406.079),(6 9856.977),(7 9860.699),(8 10119.911),(9 10335.017),(10 10648.941),(11 10904.88),(12 11290.624),(13 11373.557),(14 11560.569),(15 11511.306),(16 11390.923),(17 11424.313),(18 11358.862),(19 11054.533),(20 10771.684),(21 10911.055),(22 10898.788),(23 10860.759),(24 10811.935),(25 10601.434),(26 10375.908),(27 10557.999),(28 10697.232),(29 10839.927),(30 10683.874),(31 10982.099),(32 10899.871),(33 11011.302),(34 11058.489),(35 11032.19),(36 11060.45),(37 10949.135),(38 10962.765),(39 11102.535),(40 10908.71),(41 10869.782),(42 11004.818),(43 10907.4375),(44 10996.905),(45 11013.597),(46 11059.662),(47 11019.186),(48 11091.463),(49 10883.041),(50 11054.801),(51 10981.151),(52 10961.0205),(53 11069.046),(54 11150.241),(55 11037.124),(56 11085.474),(57 11283.939),(58 11482.888),(59 11719.252),(60 11766.818),(61 11701.327),(62 11600.916),(63 11340.261),(64 11334.411),(65 11320.95),(66 11098.895),(67 11028.655),(68 10865.96),(69 10773.408),(70 10914.955),(71 11161.904),(72 11229.434),(73 11252.337),(74 11227.016),(75 11473.841),(76 11520.551),(77 11526.04),(78 11711.275),(79 11748.171),
(1 4057.0771),(2 6746.4795),(3 8451.161),(4 9311.148),(5 9530.109),(6 9841.858),(7 9888.877),(8 9971.19),(9 10070.33),(10 10414.586),(11 10691.528),(12 11008.843),(13 10998.977),(14 11234.57),(15 11111.473),(16 11034.024),(17 11105.57),(18 11011.384),(19 10774.484),(20 10686.036),(21 10884.481),(22 10728.107),(23 10620.277),(24 10624.465),(25 10448.679),(26 10449.54),(27 10746.822),(28 11016.734),(29 11126.589),(30 10909.518),(31 11052.553),(32 11030.895),(33 11147.34),(34 11137.093),(35 11086.215),(36 11002.975),(37 11088.145),(38 11065.388),(39 10916.669),(40 10818.841),(41 10688.663),(42 10741.648),(43 10826.375),(44 10907.101),(45 10928.974),(46 10991.261),(47 10972.092),(48 10891.77),(49 10621.722),(50 10696.346),(51 10812.619),(52 10822.196),(53 10764.26),(54 10866.746),(55 10888.381),(56 10961.752),(57 10942.632),(58 10962.665),(59 11012.762),(60 10826.878),(61 10900.749),(62 10917.465),(63 11049.375),(64 11096.824),(65 11132.911),(66 11012.565),(67 10865.943),(68 10497.931),(69 10388.06),(70 10515.849),(71 10703.966),(72 10611.078),(73 10722.056),(74 10847.791),(75 10976.172),(76 11089.376),(77 11182.565),(78 11493.07),(79 11405.9795),
(1 3848.9932),(2 6436.574),(3 8047.985),(4 8670.634),(5 8877.309),(6 8990.717),(7 8994.622),(8 9232.879),(9 9567.664),(10 9967.029),(11 10200.568),(12 10610.681),(13 10506.097),(14 10699.295),(15 10649.452),(16 10628.451),(17 10522.236),(18 10424.245),(19 10337.694),(20 10428.984),(21 10388.786),(22 10204.976),(23 10082.155),(24 10039.204),(25 10047.024),(26 9987.543),(27 10150.564),(28 10223.629),(29 10308.363),(30 10180.82),(31 10281.408),(32 10255.845),(33 10361.569),(34 10333.444),(35 10356.455),(36 10373.393),(37 10450.274),(38 10421.037),(39 10415.258),(40 10217.688),(41 10158.015),(42 10281.509),(43 10339.092),(44 10424.769),(45 10316.469),(46 10291.263),(47 10138.125),(48 9961.48),(49 9739.852),(50 9793.687),(51 10067.895),(52 10227.934),(53 10162.632),(54 10234.792),(55 10145.448),(56 10098.313),(57 10105.199),(58 10193.647),(59 10391.66),(60 10331.419),(61 10399.011),(62 10299.75),(63 10300.495),(64 10385.859),(65 10321.672),(66 10292.01),(67 10237.346),(68 10129.07),(69 10031.627),(70 9953.392),(71 10182.549),(72 10252.429),(73 10214.947),(74 10450.313),(75 10692.198),(76 10780.99),(77 10550.906),(78 10593.29),(79 10637.472),
