1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1161.9498),(2 1249.146),(3 1270.7384),(4 1346.7855),(5 1372.1134),(6 1366.9457),(7 1394.0132),(8 1431.0961),(9 1467.8497),(10 1479.3746),(11 1497.5925),(12 1490.1869),(13 1503.9557),(14 1534.8159),(15 1554.6931),(16 1564.0801),(17 1574.3207),(18 1581.221),(19 1593.3507),(20 1606.552),(21 1609.7919),(22 1583.1259),(23 1622.9052),(24 1664.7899),(25 1646.3755),(26 1635.7972),(27 1657.3157),(28 1675.0153),(29 1670.9061),(30 1697.937),(31 1705.3544),(32 1708.0963),(33 1720.0969),(34 1735.0859),(35 1748.8551),(36 1746.137),(37 1754.0184),(38 1748.834),(39 1759.8909),(40 1761.6246),(41 1771.3997),(42 1809.1283),(43 1797.9056),(44 1800.9557),(45 1781.2441),(46 1752.218),(47 1789.0989),(48 1768.4137),(49 1759.7244),(50 1762.2816),(51 1762.7646),(52 1758.6312),(53 1743.8666),(54 1723.7986),(55 1723.5472),(56 1723.7242),(57 1705.73),(58 1681.3911),(59 1695.7319),(60 1669.1091),(61 1673.2566),(62 1657.7935),(63 1660.5659),(64 1640.3778),(65 1637.2506),(66 1634.6952),(67 1623.7017),(68 1638.1428),(69 1631.5953),(70 1643.3708),(71 1627.2747),(72 1602.0343),(73 1603.9089),(74 1579.8282),(75 1605.6936),(76 1612.0764),(77 1607.1647),(78 1622.3696),(79 1593.1163),
(1 1158.582),(2 1222.7953),(3 1226.1934),(4 1322.7646),(5 1337.2157),(6 1352.839),(7 1361.942),(8 1390.9497),(9 1409.8651),(10 1438.2412),(11 1436.2268),(12 1447.722),(13 1481.6871),(14 1483.3328),(15 1513.6957),(16 1506.814),(17 1513.7561),(18 1538.6871),(19 1532.5792),(20 1553.099),(21 1563.3163),(22 1554.857),(23 1577.6982),(24 1600.7054),(25 1617.4557),(26 1625.2433),(27 1639.9324),(28 1636.7604),(29 1654.6848),(30 1662.7974),(31 1674.894),(32 1664.9327),(33 1656.8552),(34 1670.0646),(35 1668.6492),(36 1688.5378),(37 1677.2764),(38 1701.1006),(39 1699.2598),(40 1689.4524),(41 1709.6346),(42 1744.7996),(43 1729.3997),(44 1740.3464),(45 1734.7887),(46 1708.4106),(47 1727.5432),(48 1705.3977),(49 1708.1849),(50 1691.875),(51 1689.8922),(52 1680.9185),(53 1679.9779),(54 1667.5831),(55 1668.4082),(56 1660.9788),(57 1651.4711),(58 1643.6128),(59 1620.1381),(60 1606.4974),(61 1598.6492),(62 1602.6271),(63 1584.7644),(64 1573.5814),(65 1577.6854),(66 1554.4912),(67 1574.2404),(68 1583.3379),(69 1602.6466),(70 1606.9634),(71 1566.778),(72 1572.0024),(73 1566.393),(74 1540.5667),(75 1568.7277),(76 1582.5397),(77 1588.9106),(78 1584.2915),(79 1562.0703),
(1 1144.4738),(2 1215.5956),(3 1224.6205),(4 1303.0153),(5 1330.5077),(6 1332.6771),(7 1362.1499),(8 1385.9882),(9 1397.8326),(10 1420.2394),(11 1447.069),(12 1440.5911),(13 1446.6364),(14 1477.8312),(15 1492.3483),(16 1492.6095),(17 1521.2913),(18 1522.897),(19 1546.3572),(20 1547.3868),(21 1559.7543),(22 1573.6205),(23 1581.8907),(24 1581.2261),(25 1591.4558),(26 1604.847),(27 1610.5796),(28 1611.5795),(29 1612.7556),(30 1620.351),(31 1625.4797),(32 1635.4574),(33 1648.7339),(34 1648.9465),(35 1660.8372),(36 1680.2253),(37 1666.9668),(38 1682.4976),(39 1710.1936),(40 1710.8989),(41 1698.5272),(42 1708.8726),(43 1728.1798),(44 1720.671),(45 1724.0964),(46 1707.7819),(47 1714.9816),(48 1702.928),(49 1692.4075),(50 1700.4109),(51 1712.7272),(52 1691.6049),(53 1688.2794),(54 1644.2606),(55 1668.9714),(56 1665.0902),(57 1644.5873),(58 1643.7775),(59 1614.1842),(60 1602.53),(61 1590.0426),(62 1612.7767),(63 1605.0488),(64 1591.6384),(65 1569.3579),(66 1560.0851),(67 1574.8763),(68 1572.3236),(69 1585.7736),(70 1566.0156),(71 1544.3728),(72 1560.8514),(73 1537.3926),(74 1515.5032),(75 1556.3347),(76 1534.3916),(77 1545.7023),(78 1550.7634),(79 1546.8934),
(1 1113.5981),(2 1186.2877),(3 1201.605),(4 1268.2728),(5 1294.2327),(6 1301.2091),(7 1324.9651),(8 1355.1809),(9 1351.323),(10 1364.1661),(11 1391.2633),(12 1388.396),(13 1405.3981),(14 1438.2137),(15 1445.494),(16 1427.83),(17 1465.1855),(18 1468.4501),(19 1482.876),(20 1496.3615),(21 1500.2496),(22 1510.9948),(23 1529.9617),(24 1534.4668),(25 1528.3987),(26 1567.1632),(27 1550.199),(28 1556.1108),(29 1556.748),(30 1580.8173),(31 1581.254),(32 1588.0345),(33 1592.543),(34 1601.321),(35 1619.7592),(36 1602.772),(37 1594.4155),(38 1602.1201),(39 1633.1763),(40 1649.4679),(41 1628.2603),(42 1632.5101),(43 1649.925),(44 1637.0316),(45 1616.1213),(46 1635.1095),(47 1628.0537),(48 1624.3025),(49 1612.2607),(50 1631.3386),(51 1630.3281),(52 1623.6769),(53 1602.5552),(54 1595.9296),(55 1596.6061),(56 1585.731),(57 1581.323),(58 1581.3698),(59 1574.6477),(60 1565.3445),(61 1531.1035),(62 1556.9147),(63 1553.9257),(64 1533.3851),(65 1524.0879),(66 1519.9159),(67 1518.2786),(68 1536.1821),(69 1539.3867),(70 1516.791),(71 1518.9589),(72 1513.2787),(73 1489.2333),(74 1477.4126),(75 1505.1697),(76 1482.9037),(77 1516.6064),(78 1500.1818),(79 1505.0356),
(1 1095.9144),(2 1181.6799),(3 1186.7056),(4 1238.3662),(5 1259.3484),(6 1292.6356),(7 1308.9115),(8 1334.3997),(9 1341.1484),(10 1369.9641),(11 1397.7806),(12 1371.912),(13 1393.9832),(14 1398.4696),(15 1431.2726),(16 1398.745),(17 1423.5612),(18 1439.0116),(19 1473.7045),(20 1490.1456),(21 1485.8176),(22 1481.4135),(23 1512.6719),(24 1509.3986),(25 1499.8909),(26 1522.87),(27 1525.321),(28 1549.3159),(29 1563.727),(30 1579.4984),(31 1544.8513),(32 1586.3794),(33 1577.4829),(34 1569.6965),(35 1600.6724),(36 1580.377),(37 1579.4375),(38 1600.2341),(39 1612.2682),(40 1635.4984),(41 1617.2456),(42 1614.9269),(43 1645.9106),(44 1633.492),(45 1623.0405),(46 1629.9119),(47 1639.0571),(48 1636.519),(49 1628.3152),(50 1618.8649),(51 1639.8763),(52 1623.0149),(53 1602.7682),(54 1578.2319),(55 1576.372),(56 1583.7606),(57 1565.4291),(58 1557.7716),(59 1558.4625),(60 1559.5836),(61 1533.0819),(62 1525.6172),(63 1528.736),(64 1513.8508),(65 1504.3391),(66 1516.2676),(67 1497.2444),(68 1517.1072),(69 1522.6346),(70 1513.6704),(71 1492.6096),(72 1496.5796),(73 1485.1602),(74 1460.3925),(75 1482.4204),(76 1493.2976),(77 1497.3606),(78 1492.1998),(79 1473.9412),
(1 1062.1742),(2 1151.2137),(3 1161.4374),(4 1206.4478),(5 1220.8472),(6 1248.7198),(7 1278.1837),(8 1295.135),(9 1283.8643),(10 1317.9845),(11 1333.1521),(12 1339.6495),(13 1343.2777),(14 1371.3348),(15 1378.9788),(16 1362.2513),(17 1379.0449),(18 1404.7574),(19 1438.2394),(20 1451.699),(21 1446.9633),(22 1438.2117),(23 1484.3623),(24 1467.1366),(25 1457.185),(26 1470.6216),(27 1471.6381),(28 1480.6328),(29 1501.3545),(30 1515.9113),(31 1508.3827),(32 1534.773),(33 1520.3281),(34 1527.3838),(35 1540.0276),(36 1524.1263),(37 1537.0382),(38 1556.3572),(39 1555.5062),(40 1580.8906),(41 1585.3425),(42 1568.4745),(43 1577.0289),(44 1583.708),(45 1591.0514),(46 1588.7457),(47 1582.862),(48 1577.2467),(49 1575.7544),(50 1584.9987),(51 1596.0619),(52 1580.66),(53 1553.2405),(54 1562.962),(55 1546.0325),(56 1543.0372),(57 1543.5504),(58 1541.1177),(59 1536.8604),(60 1515.0796),(61 1517.8761),(62 1505.3508),(63 1497.9772),(64 1478.6871),(65 1466.4778),(66 1475.3662),(67 1472.0999),(68 1465.6831),(69 1482.1279),(70 1489.602),(71 1455.6552),(72 1451.4519),(73 1436.4448),(74 1413.5038),(75 1431.486),(76 1446.9626),(77 1433.6409),(78 1434.8875),(79 1427.971),
(1 1042.9023),(2 1130.6967),(3 1150.3749),(4 1194.064),(5 1231.8894),(6 1219.7864),(7 1237.0231),(8 1259.6377),(9 1276.6937),(10 1292.9249),(11 1317.9149),(12 1312.4385),(13 1331.9518),(14 1348.2238),(15 1347.1058),(16 1330.3838),(17 1358.1387),(18 1378.775),(19 1414.015),(20 1429.2261),(21 1416.2616),(22 1420.2329),(23 1439.8086),(24 1447.144),(25 1446.6624),(26 1440.957),(27 1454.385),(28 1466.544),(29 1479.907),(30 1472.2584),(31 1487.5327),(32 1493.6027),(33 1501.904),(34 1524.5325),(35 1508.7961),(36 1498.3771),(37 1510.8894),(38 1532.0654),(39 1521.4636),(40 1522.3346),(41 1534.2368),(42 1541.1495),(43 1540.6786),(44 1544.5173),(45 1560.0197),(46 1562.4144),(47 1543.9766),(48 1543.4623),(49 1550.947),(50 1545.4078),(51 1546.3278),(52 1547.0598),(53 1524.4824),(54 1524.8247),(55 1504.7614),(56 1493.9001),(57 1501.3579),(58 1498.9138),(59 1500.66),(60 1484.1655),(61 1482.0094),(62 1480.2578),(63 1465.7374),(64 1440.37),(65 1423.5245),(66 1442.7959),(67 1437.5497),(68 1457.9474),(69 1439.9332),(70 1456.079),(71 1442.7614),(72 1427.9563),(73 1409.5487),(74 1407.9634),(75 1436.383),(76 1435.9576),(77 1425.2538),(78 1443.9777),(79 1437.6051),
(1 1014.043),(2 1111.7932),(3 1155.3923),(4 1205.627),(5 1231.1998),(6 1237.1917),(7 1252.0026),(8 1275.6462),(9 1285.7981),(10 1310.2637),(11 1340.5156),(12 1337.6967),(13 1371.4705),(14 1363.8647),(15 1373.9939),(16 1365.1631),(17 1384.2778),(18 1408.0962),(19 1424.2107),(20 1438.2019),(21 1430.4801),(22 1432.629),(23 1449.2054),(24 1450.8302),(25 1453.567),(26 1459.7264),(27 1463.8286),(28 1483.4078),(29 1475.1282),(30 1490.6115),(31 1492.5316),(32 1497.9689),(33 1522.7943),(34 1536.9922),(35 1540.8146),(36 1502.2129),(37 1520.1128),(38 1508.6118),(39 1522.7181),(40 1540.8947),(41 1528.5879),(42 1534.6455),(43 1552.8577),(44 1551.3925),(45 1548.9153),(46 1544.7556),(47 1533.7227),(48 1537.9492),(49 1546.7893),(50 1545.6858),(51 1543.777),(52 1561.8389),(53 1524.317),(54 1518.5509),(55 1507.4427),(56 1488.6632),(57 1488.1221),(58 1480.0485),(59 1492.8427),(60 1474.8776),(61 1463.4539),(62 1476.5659),(63 1469.4442),(64 1450.0751),(65 1450.3903),(66 1438.4163),(67 1430.4537),(68 1436.8365),(69 1455.4788),(70 1444.9152),(71 1432.0245),(72 1410.9425),(73 1390.1956),(74 1392.9839),(75 1416.8579),(76 1413.8856),(77 1404.0514),(78 1425.0192),(79 1413.2637),
(1 1025.5398),(2 1111.5741),(3 1135.3125),(4 1181.6254),(5 1196.0942),(6 1223.0526),(7 1243.4327),(8 1258.4641),(9 1256.4148),(10 1277.4282),(11 1295.334),(12 1299.9421),(13 1315.7045),(14 1325.1525),(15 1330.1229),(16 1324.3586),(17 1359.3348),(18 1352.3558),(19 1371.3265),(20 1379.9285),(21 1374.6935),(22 1390.4572),(23 1397.7539),(24 1381.1813),(25 1397.6837),(26 1406.7151),(27 1421.2618),(28 1438.7102),(29 1410.3708),(30 1435.9712),(31 1448.5856),(32 1462.7517),(33 1484.4086),(34 1502.7917),(35 1486.7112),(36 1480.3962),(37 1491.3848),(38 1491.9026),(39 1495.9583),(40 1516.831),(41 1509.7249),(42 1512.2203),(43 1532.707),(44 1523.9779),(45 1517.7917),(46 1512.4921),(47 1500.456),(48 1500.2881),(49 1507.4866),(50 1514.8363),(51 1498.7657),(52 1510.7996),(53 1499.9515),(54 1483.772),(55 1481.5072),(56 1491.2803),(57 1461.7313),(58 1458.8014),(59 1455.4644),(60 1452.2063),(61 1437.5083),(62 1442.1859),(63 1447.3513),(64 1444.5502),(65 1437.5692),(66 1427.9891),(67 1422.2358),(68 1419.331),(69 1447.5602),(70 1431.7501),(71 1410.558),(72 1412.2167),(73 1398.6837),(74 1387.2994),(75 1416.0621),(76 1409.1875),(77 1414.0759),(78 1405.8014),(79 1399.108),
(1 997.2045),(2 1093.8657),(3 1107.0115),(4 1151.5209),(5 1176.9546),(6 1210.8195),(7 1237.6692),(8 1245.6405),(9 1271.075),(10 1286.2587),(11 1291.6155),(12 1299.1044),(13 1304.6776),(14 1318.5394),(15 1337.391),(16 1337.4678),(17 1353.3131),(18 1368.2974),(19 1375.1981),(20 1375.6049),(21 1377.6647),(22 1385.6675),(23 1391.6799),(24 1386.2485),(25 1393.8102),(26 1397.5609),(27 1430.5269),(28 1420.7251),(29 1406.8121),(30 1440.771),(31 1431.2333),(32 1459.6572),(33 1462.7385),(34 1481.5887),(35 1486.8105),(36 1467.4664),(37 1495.6287),(38 1487.7053),(39 1499.708),(40 1495.8326),(41 1497.2047),(42 1506.8251),(43 1520.4498),(44 1535.0807),(45 1538.8497),(46 1543.696),(47 1524.173),(48 1535.737),(49 1535.3525),(50 1557.7113),(51 1537.1063),(52 1562.7711),(53 1559.9359),(54 1509.7477),(55 1536.3182),(56 1541.3563),(57 1517.6039),(58 1496.4401),(59 1497.513),(60 1489.5895),(61 1499.0382),(62 1475.7705),(63 1476.7754),(64 1461.8427),(65 1449.3577),(66 1451.3522),(67 1421.0808),(68 1444.1229),(69 1449.9642),(70 1454.0306),(71 1431.2334),(72 1423.6566),(73 1399.702),(74 1398.8826),(75 1409.939),(76 1402.8374),(77 1415.482),(78 1429.9182),(79 1419.2958),
(1 983.58466),(2 1064.0137),(3 1093.4386),(4 1140.3635),(5 1161.5109),(6 1181.8059),(7 1198.6558),(8 1226.0466),(9 1248.0852),(10 1275.2949),(11 1280.4358),(12 1281.8928),(13 1285.7542),(14 1320.1267),(15 1334.4177),(16 1330.5228),(17 1326.9136),(18 1344.1576),(19 1358.8336),(20 1384.4725),(21 1363.1145),(22 1379.7374),(23 1396.9883),(24 1388.8452),(25 1377.6558),(26 1398.0299),(27 1412.8788),(28 1414.647),(29 1411.8041),(30 1424.8678),(31 1419.9408),(32 1440.7743),(33 1417.371),(34 1443.9017),(35 1437.6578),(36 1419.4506),(37 1444.7493),(38 1438.516),(39 1462.7651),(40 1473.5582),(41 1471.297),(42 1477.3779),(43 1480.8766),(44 1504.547),(45 1492.0707),(46 1481.7521),(47 1478.4701),(48 1489.7516),(49 1491.156),(50 1490.9044),(51 1484.5593),(52 1488.099),(53 1482.0818),(54 1474.6704),(55 1479.7131),(56 1475.4025),(57 1465.8124),(58 1443.7008),(59 1452.8773),(60 1439.8877),(61 1454.2394),(62 1440.1566),(63 1431.6472),(64 1412.8113),(65 1407.4913),(66 1394.745),(67 1394.928),(68 1405.712),(69 1411.0487),(70 1402.0925),(71 1390.7463),(72 1390.2219),(73 1364.4927),(74 1361.0922),(75 1377.1716),(76 1382.865),(77 1386.3323),(78 1383.6621),(79 1359.9906),
(1 984.8727),(2 1053.8646),(3 1092.8964),(4 1135.7479),(5 1158.6104),(6 1159.0083),(7 1184.8049),(8 1223.3123),(9 1250.3069),(10 1231.4181),(11 1264.2573),(12 1266.5353),(13 1278.0507),(14 1302.654),(15 1325.3541),(16 1309.8942),(17 1313.6653),(18 1331.2898),(19 1342.7634),(20 1359.6793),(21 1349.9299),(22 1358.3057),(23 1366.425),(24 1357.8456),(25 1369.0192),(26 1377.3396),(27 1405.0443),(28 1400.323),(29 1379.3502),(30 1396.7804),(31 1402.4641),(32 1390.5726),(33 1378.7728),(34 1406.6721),(35 1397.1094),(36 1411.7441),(37 1417.7784),(38 1421.1462),(39 1439.3157),(40 1468.2538),(41 1444.8561),(42 1460.7139),(43 1457.4717),(44 1468.7706),(45 1469.1239),(46 1457.7584),(47 1469.5775),(48 1466.5573),(49 1466.3813),(50 1468.731),(51 1476.1259),(52 1471.6193),(53 1485.7847),(54 1476.2821),(55 1464.9204),(56 1461.4629),(57 1446.0732),(58 1431.3044),(59 1440.1824),(60 1435.2722),(61 1430.1174),(62 1423.3297),(63 1418.0872),(64 1385.1797),(65 1404.2347),(66 1365.5009),(67 1373.9884),(68 1392.937),(69 1404.1592),(70 1395.1965),(71 1398.164),(72 1381.7703),(73 1347.8984),(74 1350.4855),(75 1367.955),(76 1361.4194),(77 1362.0175),(78 1359.2272),(79 1349.6067),
(1 947.1678),(2 1046.3004),(3 1070.4072),(4 1113.837),(5 1132.7284),(6 1146.1001),(7 1162.0552),(8 1190.5212),(9 1203.79),(10 1211.0437),(11 1242.779),(12 1248.6005),(13 1254.3105),(14 1266.8964),(15 1295.5905),(16 1291.5166),(17 1290.807),(18 1296.9827),(19 1309.153),(20 1330.1875),(21 1309.5044),(22 1315.4641),(23 1329.979),(24 1332.1641),(25 1332.0713),(26 1339.3345),(27 1353.5125),(28 1343.4401),(29 1347.1571),(30 1375.3073),(31 1367.6945),(32 1375.1287),(33 1379.8721),(34 1385.7125),(35 1387.4369),(36 1394.34),(37 1406.4751),(38 1405.1864),(39 1413.5256),(40 1438.3143),(41 1429.1067),(42 1447.2548),(43 1448.7626),(44 1463.1124),(45 1458.5243),(46 1470.9697),(47 1470.5905),(48 1468.8732),(49 1470.3617),(50 1469.5258),(51 1474.9302),(52 1475.8352),(53 1484.4799),(54 1453.8506),(55 1454.3892),(56 1452.1627),(57 1447.472),(58 1428.6898),(59 1433.3262),(60 1425.138),(61 1410.3302),(62 1409.7316),(63 1399.306),(64 1385.2563),(65 1374.2388),(66 1361.4788),(67 1352.3248),(68 1375.1328),(69 1370.6012),(70 1392.307),(71 1379.7576),(72 1363.809),(73 1347.2979),(74 1339.1179),(75 1348.4613),(76 1354.5834),(77 1358.0446),(78 1350.3964),(79 1336.3308),
(1 919.4025),(2 1033.8052),(3 1043.6388),(4 1081.235),(5 1105.6208),(6 1136.1661),(7 1142.8059),(8 1163.2654),(9 1176.6694),(10 1163.4958),(11 1202.8143),(12 1210.7078),(13 1218.585),(14 1234.168),(15 1249.4414),(16 1236.3926),(17 1255.6635),(18 1266.2208),(19 1266.0953),(20 1286.8738),(21 1275.084),(22 1295.5288),(23 1297.8308),(24 1295.9291),(25 1302.7527),(26 1309.0956),(27 1301.3695),(28 1321.5453),(29 1325.4197),(30 1332.1206),(31 1332.2439),(32 1334.7784),(33 1355.667),(34 1361.0153),(35 1363.995),(36 1358.8818),(37 1355.2312),(38 1374.9421),(39 1378.8956),(40 1387.7596),(41 1391.3712),(42 1393.2788),(43 1408.838),(44 1416.2887),(45 1420.1239),(46 1430.2715),(47 1423.465),(48 1426.8441),(49 1428.4922),(50 1422.455),(51 1440.8606),(52 1450.4948),(53 1427.276),(54 1413.1564),(55 1407.3761),(56 1396.451),(57 1388.5591),(58 1377.8556),(59 1379.0199),(60 1377.7357),(61 1367.937),(62 1354.4896),(63 1363.8805),(64 1355.0391),(65 1332.943),(66 1311.7495),(67 1321.2366),(68 1334.4104),(69 1318.3538),(70 1322.6136),(71 1313.9142),(72 1313.8177),(73 1290.8914),(74 1278.3225),(75 1288.8152),(76 1308.7351),(77 1325.331),(78 1305.8754),(79 1304.5669),
(1 907.53357),(2 1008.5429),(3 1021.1518),(4 1066.6339),(5 1095.755),(6 1122.8857),(7 1146.6305),(8 1149.9182),(9 1172.1859),(10 1172.5835),(11 1198.0925),(12 1198.3489),(13 1202.3536),(14 1207.915),(15 1229.5884),(16 1230.3527),(17 1254.253),(18 1266.0717),(19 1276.7706),(20 1277.0552),(21 1270.244),(22 1281.2444),(23 1273.2024),(24 1290.2318),(25 1304.5895),(26 1295.2521),(27 1294.9907),(28 1296.5074),(29 1318.2196),(30 1330.2202),(31 1322.156),(32 1340.6583),(33 1363.2063),(34 1371.458),(35 1378.6676),(36 1365.145),(37 1369.0853),(38 1369.9552),(39 1388.2322),(40 1389.5543),(41 1395.1113),(42 1391.5582),(43 1409.0233),(44 1415.6083),(45 1427.2656),(46 1423.7799),(47 1418.2284),(48 1419.5968),(49 1427.2792),(50 1405.7576),(51 1443.442),(52 1428.7056),(53 1425.6011),(54 1421.0342),(55 1416.1549),(56 1391.0209),(57 1398.8562),(58 1386.7844),(59 1381.688),(60 1370.5017),(61 1376.3091),(62 1351.1279),(63 1369.1577),(64 1343.9979),(65 1334.639),(66 1335.9723),(67 1351.7141),(68 1341.864),(69 1331.7195),(70 1345.4288),(71 1322.6692),(72 1338.1825),(73 1309.3253),(74 1292.1149),(75 1294.9584),(76 1293.4609),(77 1318.2832),(78 1319.6438),(79 1321.7522),
(1 883.6417),(2 979.54395),(3 1011.88885),(4 1052.0619),(5 1054.403),(6 1084.8617),(7 1099.3822),(8 1115.4791),(9 1141.1782),(10 1127.6324),(11 1162.1604),(12 1164.2811),(13 1167.6901),(14 1182.0674),(15 1196.4893),(16 1206.7563),(17 1214.8489),(18 1234.2947),(19 1229.3235),(20 1238.3745),(21 1232.1097),(22 1256.042),(23 1242.3226),(24 1254.0035),(25 1265.6245),(26 1274.7985),(27 1282.0331),(28 1306.4199),(29 1298.9824),(30 1304.6979),(31 1298.7764),(32 1302.7849),(33 1309.8682),(34 1323.2994),(35 1328.0712),(36 1332.1836),(37 1327.15),(38 1321.3066),(39 1352.1996),(40 1350.6151),(41 1353.9592),(42 1357.9318),(43 1368.0432),(44 1368.2687),(45 1384.0186),(46 1380.2777),(47 1398.6724),(48 1375.412),(49 1403.3613),(50 1384.2256),(51 1393.6586),(52 1386.8093),(53 1398.2683),(54 1386.2189),(55 1395.836),(56 1374.9392),(57 1374.3615),(58 1360.393),(59 1357.0955),(60 1372.8943),(61 1365.7191),(62 1342.8588),(63 1343.8854),(64 1329.6394),(65 1300.5507),(66 1294.7012),(67 1316.6731),(68 1319.2289),(69 1313.0889),(70 1319.334),(71 1288.6217),(72 1302.5195),(73 1290.8065),(74 1279.484),(75 1295.1886),(76 1296.3419),(77 1308.1272),(78 1302.5073),(79 1301.2427),
(1 894.6028),(2 976.6941),(3 1016.28784),(4 1060.2815),(5 1074.8503),(6 1103.8336),(7 1115.5662),(8 1139.7421),(9 1160.5671),(10 1149.5294),(11 1187.4333),(12 1188.4906),(13 1190.7533),(14 1193.8563),(15 1224.5946),(16 1224.9387),(17 1221.2344),(18 1240.9933),(19 1234.2118),(20 1241.6713),(21 1230.2958),(22 1249.521),(23 1242.4336),(24 1253.2948),(25 1289.7046),(26 1280.9594),(27 1291.1671),(28 1309.5911),(29 1295.0632),(30 1316.4376),(31 1329.1919),(32 1319.646),(33 1336.8068),(34 1343.7354),(35 1352.0482),(36 1353.7782),(37 1354.0007),(38 1348.3098),(39 1373.4935),(40 1364.3546),(41 1369.6807),(42 1383.8296),(43 1390.104),(44 1379.354),(45 1388.776),(46 1389.0485),(47 1391.0653),(48 1381.5933),(49 1405.2697),(50 1382.0857),(51 1386.3489),(52 1379.4464),(53 1400.4221),(54 1368.9618),(55 1376.8156),(56 1359.0669),(57 1354.502),(58 1351.1783),(59 1343.0426),(60 1335.6255),(61 1333.8994),(62 1328.3174),(63 1331.273),(64 1312.5691),(65 1303.9805),(66 1311.4148),(67 1319.0028),(68 1327.4496),(69 1328.569),(70 1318.5802),(71 1316.6475),(72 1302.4873),(73 1277.0464),(74 1262.0197),(75 1274.7635),(76 1283.9347),(77 1300.7792),(78 1280.2592),(79 1277.3438),
