1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 26606.576),(2 78131.766),(3 158913.77),(4 247314.8),(5 349207.6),(6 460992.66),(7 593721.8),(8 741978.5),(9 894128.7),(10 1061905.5),(11 1205806.8),(12 1391864.6),(13 1595438),(14 1838996.9),(15 2092199),(16 2372341.5),(17 2646730.8),(18 2878844.8),(19 3106013.3),(20 3341068.8),(21 3527405.8),(22 3718152.8),(23 3869973.8),(24 4016132.3),(25 4158960.8),(26 4315258.5),(27 4511376),(28 4718798),(29 4872248.5),(30 5004516.5),(31 5118376.5),(32 5221199.5),(33 5295673.5),(34 5334362.5),(35 5368952.5),(36 5367208),(37 5387543.5),(38 5369758.5),(39 5391203.5),(40 5392561),(41 5413556.5),(42 5390667.5),(43 5406772),(44 5405175.5),(45 5433193.5),(46 5458619.5),(47 5441473.5),(48 5415427.5),(49 5335831),(50 5319256.5),(51 5263508.5),(52 5254880),(53 5249698),(54 5306402.5),(55 5369416),(56 5502581.5),(57 5578189.5),(58 5678048),(59 5707999.5),(60 5752565.5),(61 5737264.5),(62 5751069.5),(63 5761493.5),(64 5796759.5),(65 5831612),(66 5923702),(67 5973850.5),(68 6079577.5),(69 6157234.5),(70 6225910),(71 6288409.5),(72 6332626.5),(73 6383984.5),(74 6426257.5),(75 6472273.5),(76 6487452.5),(77 6480052),(78 6459164),(79 6446189.5),
(1 8485.101),(2 17145.7),(3 21696.658),(4 23297.758),(5 24413.1),(6 24781.654),(7 24945.006),(8 25127.22),(9 25094.688),(10 25580.373),(11 26480.059),(12 26939.496),(13 27807.525),(14 27922.242),(15 27529.092),(16 27267.283),(17 27239.914),(18 26873.33),(19 26598.586),(20 26665.334),(21 26499.309),(22 26566.96),(23 26312.625),(24 26064.729),(25 26160.105),(26 26568.44),(27 26543.22),(28 26273.813),(29 26514.273),(30 26491.225),(31 25993.533),(32 26207.803),(33 26465.023),(34 26655.486),(35 26817.385),(36 27460.133),(37 27640.918),(38 27739.967),(39 27209.184),(40 26755.492),(41 27018.52),(42 28024.334),(43 28567.229),(44 28581.023),(45 28875.188),(46 29065.857),(47 29285.217),(48 29085.89),(49 29024.348),(50 28990.742),(51 29289.588),(52 29662.404),(53 30296.83),(54 30921.959),(55 31612.955),(56 31703.225),(57 31533.316),(58 31443.326),(59 31168.94),(60 30870.693),(61 30478.56),(62 30617.701),(63 30473.482),(64 30030.258),(65 30257.574),(66 30393.055),(67 29855.455),(68 28721.027),(69 28567.031),(70 29148.756),(71 30193.66),(72 30537.217),(73 30081.639),(74 29656.889),(75 29227.559),(76 29559.266),(77 29481.688),(78 29206.299),(79 29250.748),
(1 7981.6895),(2 15632.203),(3 20291.49),(4 22147.412),(5 23352.46),(6 24029.26),(7 24052.523),(8 24670.797),(9 24885.402),(10 25094.04),(11 25452.506),(12 25635.906),(13 26440.008),(14 26834.795),(15 26845.273),(16 26744.467),(17 26947.047),(18 27124.045),(19 27103.113),(20 27116.865),(21 26894.633),(22 26571.145),(23 26264.188),(24 26115.535),(25 26433.256),(26 26916.004),(27 27071),(28 26725.639),(29 26524.89),(30 25964.576),(31 25639.035),(32 25836.506),(33 25813.406),(34 26414.254),(35 26663.924),(36 27015.578),(37 26842.574),(38 27041.326),(39 26915.791),(40 26942.84),(41 27440.258),(42 28206.55),(43 28243.615),(44 27929.91),(45 27315.703),(46 27201.902),(47 27704.049),(48 27722.148),(49 27886.848),(50 28111.445),(51 28686.885),(52 28825.748),(53 29175.506),(54 29837.31),(55 29713.951),(56 29627.88),(57 29872.777),(58 30341.658),(59 30086.541),(60 29365.104),(61 28867.2),(62 28543.633),(63 28752.738),(64 28863.58),(65 29308.729),(66 29154.025),(67 28496.922),(68 27442.342),(69 27599.291),(70 28179.984),(71 28776.184),(72 28730.945),(73 28339.822),(74 28236.441),(75 27935.262),(76 28182.727),(77 28164.504),(78 28246.258),(79 28366.791),
(1 7887.268),(2 15302.591),(3 19973.8),(4 22148.305),(5 23683.36),(6 24251.758),(7 24266.76),(8 24715.996),(9 25069.861),(10 25183.271),(11 25087.15),(12 25261.482),(13 25727.217),(14 26070.451),(15 26167.764),(16 25952.633),(17 26071.256),(18 26162.049),(19 26124.395),(20 25817.953),(21 25370.285),(22 25245.666),(23 24976.87),(24 25028.75),(25 25357.523),(26 25657.027),(27 25658.713),(28 25696.627),(29 25664.549),(30 24971.523),(31 24604.742),(32 25044.014),(33 25365.941),(34 25691.414),(35 25782.035),(36 25986.361),(37 25776.139),(38 25969.215),(39 26334.299),(40 26509.895),(41 26947.027),(42 27381.523),(43 27362.424),(44 27440.154),(45 26726.924),(46 26233.16),(47 27057.986),(48 27542.072),(49 27549.824),(50 27535.807),(51 27972.729),(52 27903.848),(53 28299.277),(54 29063.223),(55 28994.12),(56 29063.674),(57 29196.168),(58 29460.164),(59 28955.25),(60 28367.023),(61 27635.992),(62 27424.84),(63 28028.74),(64 28779.045),(65 28884.805),(66 28182.525),(67 27786.451),(68 27476.97),(69 27730.896),(70 27974.37),(71 28460.766),(72 28195.32),(73 27632.941),(74 27680.467),(75 27583.078),(76 27965.936),(77 28553.598),(78 28435.814),(79 28075.383),
(1 7697.5146),(2 15395.891),(3 19984.855),(4 22008.84),(5 22953.885),(6 23245.57),(7 23405.7),(8 23683.193),(9 24001.213),(10 23766.78),(11 23711.219),(12 23819.918),(13 23853.457),(14 24073.305),(15 23809.787),(16 23714.502),(17 23540.238),(18 23473.598),(19 23433.688),(20 23116.111),(21 22645.162),(22 22646.346),(23 22577.627),(24 22446.504),(25 22774.514),(26 22930.38),(27 22921.373),(28 23343.035),(29 23846.324),(30 23704.814),(31 23334.686),(32 23500.713),(33 23640.621),(34 23851.326),(35 24037.865),(36 24224.168),(37 24011.258),(38 24148.777),(39 24571.04),(40 24960.674),(41 25618.8),(42 26063.275),(43 26127.902),(44 25979.006),(45 25375.637),(46 25039.727),(47 25671.064),(48 26096.379),(49 26366.271),(50 26155.646),(51 26314.525),(52 26807.182),(53 27034.746),(54 26750.363),(55 26615.355),(56 27309.33),(57 28046.607),(58 28278.215),(59 28008.17),(60 27325.834),(61 26432.197),(62 25874.883),(63 26275.063),(64 26660.549),(65 26337.855),(66 25185.764),(67 24452.316),(68 24293.709),(69 24271.195),(70 24631.068),(71 25320.451),(72 25578.213),(73 25704.852),(74 25637.299),(75 25732.186),(76 26058.385),(77 26436.713),(78 26025.67),(79 25447.953),
(1 7563.2734),(2 15478.899),(3 19871.887),(4 21837.047),(5 22291.201),(6 22427.102),(7 22797.059),(8 22944.94),(9 22669.758),(10 22774.023),(11 23318.588),(12 23685.248),(13 23997.156),(14 23941.748),(15 23710.336),(16 23424.633),(17 23038.035),(18 22585.72),(19 22403.602),(20 22188.793),(21 22153.928),(22 22506.277),(23 22298.203),(24 21767.371),(25 21727.39),(26 21831.303),(27 22029.873),(28 22457.256),(29 22632.512),(30 22449.11),(31 22219.328),(32 22459.959),(33 22648.057),(34 23130.75),(35 23707.367),(36 23819.092),(37 23334.504),(38 23351.344),(39 23810.844),(40 24315.723),(41 24659.406),(42 24792.36),(43 24520.854),(44 23980.516),(45 23698.875),(46 23753.545),(47 24428.768),(48 25089.732),(49 25345.23),(50 25186.506),(51 25064.303),(52 25408.219),(53 25308.193),(54 24856.705),(55 24523.574),(56 25389.348),(57 26555.916),(58 27131.484),(59 27051.88),(60 26823.34),(61 26294.012),(62 25997.553),(63 26203.396),(64 25893.69),(65 25391.246),(66 24266.787),(67 23857.11),(68 23591.867),(69 23435.277),(70 23802.424),(71 24229.799),(72 24704.207),(73 24581.762),(74 24594.11),(75 24695.133),(76 24918.75),(77 25106.338),(78 24997.898),(79 24641.604),
(1 7283.6685),(2 14764.085),(3 19076.846),(4 21102.266),(5 21347.074),(6 21420.965),(7 21896.29),(8 22278.262),(9 22272.693),(10 22468.955),(11 23211.02),(12 23751.773),(13 24212.912),(14 24097.238),(15 24000.48),(16 23481.486),(17 22829.285),(18 22465.846),(19 22657.455),(20 22716.373),(21 22790.762),(22 22884.504),(23 22624.38),(24 22269.732),(25 22005.762),(26 22106.072),(27 21984.914),(28 21719.594),(29 21302.115),(30 20792.574),(31 20767.285),(32 21177.523),(33 21625.617),(34 22164.293),(35 22762.963),(36 22928.51),(37 22686.615),(38 22643.955),(39 22602.379),(40 22949.277),(41 23400.71),(42 23902.117),(43 23727.422),(44 23416.295),(45 23475.06),(46 23460.205),(47 23898.225),(48 24159.38),(49 24236.752),(50 24653.672),(51 24675.908),(52 24866.666),(53 24766.97),(54 24094.965),(55 23830.746),(56 24804.85),(57 25718.268),(58 25950.281),(59 25718.957),(60 25091.768),(61 25105.375),(62 25259.643),(63 25320.559),(64 24917.432),(65 24572.92),(66 23775.586),(67 23694.223),(68 24029.176),(69 24275.926),(70 24445.275),(71 24299.125),(72 24403.846),(73 24476.508),(74 24827.709),(75 24824.344),(76 24854.328),(77 25345.102),(78 25703.975),(79 25552.816),
(1 6905.7803),(2 13764.327),(3 17865.168),(4 19996.668),(5 20456.293),(6 20354.213),(7 20817.535),(8 21112.055),(9 21375.068),(10 21045.371),(11 21535.588),(12 21772.695),(13 21576.195),(14 20904.063),(15 20994.18),(16 21099.8),(17 20858.748),(18 20666.195),(19 20618.727),(20 20451.451),(21 20367.102),(22 20624.908),(23 20814.947),(24 20619.404),(25 20464.658),(26 20602.164),(27 20762.584),(28 20542.305),(29 20316.617),(30 19919.162),(31 19907.83),(32 20230.453),(33 20461.12),(34 20540.205),(35 20840.45),(36 20866.96),(37 20931.104),(38 20877.22),(39 20677.883),(40 20919.674),(41 21436.844),(42 21780.482),(43 21773.754),(44 21687.65),(45 22073.646),(46 22141.223),(47 22229.707),(48 22528.729),(49 22846.205),(50 23083.148),(51 23154.766),(52 23584.47),(53 23815.994),(54 23424.11),(55 23242.492),(56 23810.955),(57 24230.746),(58 24449.799),(59 24455.666),(60 23925.188),(61 23897.549),(62 24143.682),(63 23862.727),(64 23099.03),(65 23013.111),(66 22862.746),(67 23197.656),(68 23636.668),(69 23661.668),(70 23241.424),(71 22636.967),(72 22440.61),(73 22627.193),(74 23191.18),(75 23259.123),(76 23676.912),(77 23676.928),(78 23700.54),(79 23522.59),
(1 6863.8726),(2 13596.429),(3 17886.594),(4 20000.332),(5 20680.314),(6 21031.238),(7 21863.477),(8 22038.713),(9 21935.55),(10 21345.914),(11 21216.03),(12 20821.223),(13 20424.23),(14 20023.818),(15 20205.07),(16 20543.203),(17 20399.69),(18 20183.342),(19 20080.781),(20 20041.96),(21 20003.99),(22 20180.115),(23 20103.662),(24 19876.355),(25 19916.742),(26 20267.15),(27 20607.441),(28 20638.871),(29 20719.475),(30 20513.885),(31 20469.174),(32 20883.98),(33 20934.58),(34 20918.791),(35 21325.348),(36 21258.578),(37 21232.115),(38 21398.791),(39 21169.842),(40 21435.916),(41 21719.018),(42 21880.793),(43 21941.578),(44 22304.07),(45 22611.535),(46 22322.275),(47 22030.813),(48 21922.697),(49 21770.553),(50 22056.498),(51 22093.52),(52 22476.123),(53 22725.541),(54 22786.248),(55 23046.195),(56 23305.227),(57 23252.084),(58 23583.291),(59 23482.46),(60 22994.45),(61 22902.09),(62 23235.686),(63 23237.496),(64 22771.438),(65 23038.357),(66 23127.922),(67 23262.926),(68 23329.281),(69 23399.367),(70 23129.895),(71 22771.793),(72 22265.11),(73 22058.209),(74 22316.936),(75 22483.648),(76 23124.104),(77 22898.912),(78 22726.53),(79 22597.203),
(1 6781.2153),(2 13108.977),(3 16674.854),(4 18445.734),(5 18985.639),(6 19603.732),(7 20085.744),(8 20230.424),(9 20349.996),(10 20088.002),(11 20083.555),(12 19606.99),(13 19128.033),(14 18980.96),(15 19004.154),(16 19381.53),(17 19299.814),(18 19093.275),(19 18953.754),(20 18988.314),(21 19180.045),(22 19567.717),(23 19551.535),(24 19563.482),(25 19257),(26 19203.525),(27 19518.686),(28 19751.229),(29 20096.83),(30 19770.537),(31 19391.266),(32 19638.482),(33 19773.344),(34 19987.102),(35 20450.953),(36 20526.309),(37 20453.076),(38 20773.912),(39 20766.758),(40 21043.896),(41 21182.523),(42 21185.982),(43 21052.844),(44 21231.96),(45 21346.916),(46 20742.428),(47 20324.363),(48 19916.525),(49 19735.178),(50 20247.557),(51 20370.045),(52 20447.96),(53 20770.17),(54 20965.924),(55 21386.643),(56 21539.236),(57 21807.996),(58 22213.363),(59 21937.715),(60 21488.645),(61 21157.898),(62 21409.217),(63 21557.303),(64 21459.295),(65 21668.156),(66 21610.607),(67 21336.533),(68 21474.996),(69 21786.316),(70 21916.543),(71 21781.918),(72 21431.168),(73 21409.059),(74 21209.654),(75 21203.527),(76 21576.838),(77 21303.846),(78 21030.334),(79 20892.34),
(1 6519.6846),(2 12567.066),(3 15949.266),(4 17315.89),(5 17862.504),(6 18388.912),(7 18562.805),(8 18902.027),(9 19386.758),(10 19531.646),(11 19450.086),(12 18714.432),(13 18511.451),(14 18526.03),(15 18647.762),(16 18716.81),(17 18485.793),(18 18206.521),(19 18163.227),(20 18300.988),(21 18494.93),(22 18494.352),(23 18356.951),(24 18520.846),(25 18248.846),(26 18420.967),(27 19020.568),(28 19592.938),(29 19877.729),(30 19572.771),(31 19247.066),(32 19547.107),(33 19628.777),(34 19863.658),(35 20135.549),(36 20228.34),(37 20168.021),(38 20291.867),(39 20389.932),(40 20613.15),(41 20659.096),(42 20616.615),(43 20318.164),(44 20211.436),(45 20269.9),(46 19819.037),(47 19758.334),(48 19826.016),(49 20107.32),(50 20617.58),(51 20459.855),(52 20129.281),(53 20414.377),(54 20569.861),(55 20678.242),(56 20550.885),(57 20747.045),(58 21091.105),(59 20818.672),(60 20315.695),(61 20054.213),(62 20398.158),(63 20444.586),(64 20051.879),(65 20181.58),(66 20133.781),(67 19995.475),(68 20164.33),(69 20560.021),(70 20799.523),(71 20517.576),(72 20080.994),(73 20168.47),(74 20068.342),(75 19986.541),(76 20064.695),(77 19899.973),(78 19877.732),(79 19757.729),
(1 6206.9805),(2 11806.878),(3 14886.693),(4 16343.642),(5 16789.879),(6 16942.959),(7 17015.867),(8 17624.674),(9 18324.408),(10 18521.088),(11 18391.246),(12 17903.129),(13 17761.705),(14 17469.238),(15 17497.031),(16 17387.818),(17 17405.322),(18 17428.666),(19 17394.088),(20 17647.918),(21 18023.045),(22 18043.84),(23 17917.246),(24 17989.664),(25 17637.295),(26 17829.44),(27 18316.496),(28 18975.729),(29 19224.682),(30 19169.623),(31 19232.873),(32 19767.229),(33 19814.938),(34 19805.496),(35 19421.111),(36 19336.297),(37 19190.393),(38 19242.658),(39 19335.215),(40 19569.986),(41 19570.615),(42 19522.805),(43 19305.047),(44 19174.191),(45 19093.484),(46 18988.852),(47 19211.738),(48 19310.48),(49 19523.98),(50 19866.15),(51 19602.945),(52 19219.793),(53 19331.844),(54 19360.393),(55 19604.236),(56 19928.87),(57 20318.826),(58 20308.453),(59 20078.691),(60 19726.188),(61 19422.219),(62 19512.928),(63 19314.32),(64 18926.73),(65 19192.994),(66 19373.305),(67 19070.916),(68 18934.79),(69 19114.604),(70 19241.71),(71 19051.025),(72 18794.434),(73 18811.35),(74 18609.447),(75 18180.967),(76 18096.75),(77 18022.158),(78 18025.678),(79 18097.514),
(1 5828.2793),(2 10835.481),(3 13731.013),(4 15270.202),(5 15746.562),(6 15790.473),(7 15843.696),(8 16418.04),(9 17017.885),(10 17193.29),(11 17217.607),(12 16890.549),(13 16610.754),(14 16238.257),(15 16331.494),(16 16514.648),(17 16535.314),(18 16696.41),(19 16615.24),(20 16799.38),(21 17110.13),(22 17392.16),(23 17544.14),(24 17471.305),(25 17122.531),(26 16961.248),(27 16938.63),(28 17181.045),(29 17191.248),(30 17298.738),(31 17534.828),(32 17760.957),(33 17854.344),(34 18147.879),(35 17680.645),(36 17611.516),(37 17733.516),(38 18098.049),(39 18332.393),(40 18435.975),(41 18032.045),(42 17973.629),(43 17602.729),(44 17365.135),(45 17384.813),(46 17316.582),(47 17310.283),(48 17215.03),(49 17337.81),(50 17697.473),(51 17696.69),(52 17770.38),(53 18047.889),(54 18017.729),(55 18061.45),(56 18482.498),(57 18813.684),(58 18649.88),(59 18535.764),(60 18406.775),(61 18161.375),(62 17832.557),(63 17597.252),(64 17715.707),(65 17873.549),(66 18063.393),(67 18148.1),(68 18068.61),(69 18079.95),(70 18236.65),(71 18316.836),(72 17924.352),(73 17677.86),(74 17547.895),(75 17348.13),(76 17176.383),(77 16852.643),(78 16653.994),(79 16565.129),
(1 5570.5405),(2 10428.172),(3 13233.02),(4 14838.729),(5 15728.136),(6 16050.824),(7 16151.332),(8 16624.197),(9 17237.55),(10 17242.25),(11 17236.855),(12 17121.484),(13 16925.213),(14 16911.781),(15 17120.838),(16 17278.855),(17 17380.23),(18 17557.482),(19 17523.555),(20 17572.168),(21 17402.893),(22 17533.223),(23 17644.518),(24 17613.494),(25 17510.686),(26 17462.592),(27 17003.92),(28 17017.232),(29 17076.236),(30 17195.275),(31 17442.002),(32 17583.973),(33 17584.436),(34 17948.88),(35 17598.656),(36 17364.71),(37 17418.754),(38 17845.365),(39 18245.559),(40 17846.566),(41 17212.54),(42 17282.676),(43 17271.852),(44 17112.818),(45 17267.045),(46 17530.607),(47 17516.75),(48 17556.67),(49 17910.285),(50 18255.771),(51 18570.09),(52 18852.398),(53 19064.951),(54 18934.486),(55 18995.803),(56 19113.732),(57 19269.842),(58 19134.271),(59 19221.227),(60 19240.219),(61 18914.477),(62 18343.053),(63 18401.951),(64 18499.19),(65 18444.912),(66 18231.293),(67 18147.174),(68 18189.31),(69 18129.531),(70 18121.766),(71 18016.598),(72 17743.953),(73 17583.223),(74 17476.803),(75 17011.01),(76 16890.914),(77 16626.316),(78 16747.203),(79 16636.47),
(1 5285.4053),(2 9922.992),(3 12481.052),(4 13682.097),(5 14579.847),(6 14971.299),(7 15140.759),(8 15587.826),(9 16173.368),(10 16118.98),(11 15903.414),(12 15937.52),(13 15889.581),(14 16154.842),(15 16412.79),(16 16649.484),(17 16697.705),(18 16695.434),(19 16867.514),(20 16746.42),(21 16607.46),(22 16791.463),(23 16984.146),(24 16875.572),(25 16846.322),(26 16613.566),(27 15917.654),(28 15998.036),(29 15899.626),(30 16094.964),(31 16413.979),(32 16824.922),(33 16935.643),(34 16882.377),(35 16654.95),(36 16470.42),(37 16436.904),(38 16650.256),(39 16708.863),(40 16136.762),(41 15550.47),(42 15743.259),(43 15996.558),(44 16239.637),(45 16674.477),(46 17019.59),(47 16889.354),(48 16913.352),(49 17110.148),(50 16869.41),(51 16703.424),(52 16651.287),(53 16975.838),(54 16920.928),(55 16954.62),(56 16915.266),(57 17168.193),(58 17240.652),(59 17131.086),(60 17168.492),(61 17147.998),(62 16972.396),(63 17136.934),(64 17070.844),(65 17000.348),(66 16968.39),(67 17040.273),(68 16897.006),(69 16451.479),(70 16133.06),(71 16195.24),(72 16382.383),(73 16569.477),(74 16446.94),(75 16104.417),(76 16189.7),(77 16312.167),(78 16565.107),(79 16307.47),
(1 5291.289),(2 10263.3125),(3 12613.968),(4 13680.584),(5 14438.408),(6 14750.389),(7 15000.571),(8 15260.986),(9 15439.46),(10 15217.587),(11 15040.736),(12 15089.658),(13 15239.361),(14 15413.328),(15 15835.337),(16 16273.178),(17 16093.386),(18 16150.482),(19 16346.152),(20 16314.724),(21 16234.846),(22 16525.502),(23 16578.871),(24 16616.832),(25 16661.969),(26 16499.176),(27 15882.419),(28 15642.92),(29 15507.861),(30 15920.808),(31 16223.509),(32 16514.75),(33 16678.363),(34 16607.172),(35 16172.894),(36 15842.753),(37 16051.041),(38 16112.739),(39 15885.422),(40 15400.37),(41 15169.248),(42 15698.264),(43 16184.733),(44 16514.662),(45 16970.61),(46 17271.389),(47 17398.018),(48 17604.97),(49 17571.777),(50 16898.338),(51 16405.914),(52 16477.502),(53 16791.697),(54 16900.77),(55 16888.283),(56 16708.926),(57 16975.344),(58 17030.004),(59 17078.102),(60 17036.709),(61 17011.068),(62 17051.553),(63 16989.846),(64 16716.852),(65 16870.783),(66 16777.574),(67 17003.854),(68 16763.842),(69 16354.411),(70 16060.361),(71 15958.074),(72 16284.278),(73 16854.52),(74 16831.053),(75 16430.465),(76 16564.97),(77 16778.8),(78 16538.826),(79 16149.71),
(1 5260.626),(2 10261.57),(3 12634.124),(4 13556.684),(5 14375.018),(6 14692.349),(7 15102.419),(8 15238.222),(9 15428.093),(10 15073.454),(11 14963.221),(12 14966.706),(13 14984.422),(14 14902.997),(15 15119.54),(16 15407.566),(17 15371.752),(18 15144.248),(19 15166.654),(20 15096.453),(21 15101.626),(22 15302.624),(23 15329.885),(24 15581.261),(25 15740.288),(26 15761.658),(27 15423.462),(28 15245.3125),(29 15236.105),(30 15472.348),(31 15610.638),(32 15753.44),(33 15844.649),(34 15667),(35 15368.051),(36 15454.337),(37 15524.876),(38 15510.549),(39 15124.44),(40 14710.609),(41 14923.929),(42 15647.692),(43 15772.242),(44 15772.2705),(45 15919.342),(46 16240.389),(47 16553.088),(48 16845.33),(49 16875.78),(50 16569.076),(51 16306.864),(52 16206.411),(53 16481.846),(54 16396.055),(55 16365.365),(56 16635.26),(57 16715.352),(58 16420.11),(59 16512.844),(60 16426.363),(61 16163.474),(62 16253.923),(63 15945.699),(64 15728.785),(65 15695.799),(66 15559.136),(67 15690.574),(68 15723.311),(69 15719.557),(70 15656.478),(71 15639.279),(72 15747.491),(73 16306.868),(74 16725.719),(75 16682.363),(76 16774.553),(77 16808.11),(78 16727.01),(79 16416.441),
(1 5078.238),(2 9671.501),(3 12022.517),(4 13075.839),(5 13910.144),(6 14083.29),(7 14501.424),(8 14911.342),(9 15157.871),(10 15010.937),(11 15046.049),(12 15101.164),(13 15086.063),(14 14911.582),(15 14939.848),(16 14986.365),(17 14869.8545),(18 14758.994),(19 14964.083),(20 14939.345),(21 15082.293),(22 15096.049),(23 15028.646),(24 15089.618),(25 14903.428),(26 14758.213),(27 14461.043),(28 14354.137),(29 14342.793),(30 14510.275),(31 14683.04),(32 14947.634),(33 15040.925),(34 15044.382),(35 15196.903),(36 15298.216),(37 15480.319),(38 15359.36),(39 14862.006),(40 14676.378),(41 14904.244),(42 15372.08),(43 15413.57),(44 15145.923),(45 15104.93),(46 15276.118),(47 15620.96),(48 15927.536),(49 16165.865),(50 16143.888),(51 16114.58),(52 16083.653),(53 16171.473),(54 15853.668),(55 15998.207),(56 16213.525),(57 16163.398),(58 15895.205),(59 15803.727),(60 15672.302),(61 15590.447),(62 15983.631),(63 15649.181),(64 15328.914),(65 15157.263),(66 15200.7705),(67 15576.1),(68 15628.137),(69 15722.723),(70 15801.125),(71 15924.841),(72 15992.796),(73 16203.819),(74 16598.385),(75 16893.895),(76 16988.943),(77 16906.527),(78 16626.215),(79 16274.077),
