1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 78.10651),(2 100.87058),(3 110.65894),(4 112.80603),(5 113.56285),(6 117.847786),(7 119.34783),(8 121.156136),(9 122.547874),(10 123.59783),(11 123.255875),(12 121.21476),(13 121.60358),(14 118.438095),(15 121.987),(16 123.34819),(17 125.276245),(18 127.17485),(19 126.49223),(20 127.4851),(21 128.3173),(22 127.02598),(23 127.11361),(24 126.76713),(25 123.74472),(26 124.859726),(27 126.52346),(28 126.821785),(29 126.61964),(30 126.8939),(31 126.518875),(32 127.761406),(33 128.52156),(34 128.91745),(35 129.34808),(36 130.37392),(37 130.18259),(38 129.62906),(39 131.26666),(40 131.39455),(41 129.92197),(42 131.22368),(43 129.44395),(44 128.96611),(45 128.63951),(46 130.49165),(47 129.78316),(48 128.16173),(49 127.10968),(50 127.98793),(51 130.65825),(52 129.11928),(53 128.24146),(54 126.54299),(55 127.99936),(56 128.15198),(57 127.35983),(58 125.96511),(59 127.04726),(60 125.4072),(61 124.686195),(62 124.855995),(63 126.4387),(64 126.126785),(65 124.84874),(66 126.23525),(67 125.45005),(68 124.02549),(69 124.85318),(70 125.32025),(71 124.834305),(72 124.712746),(73 123.617805),(74 123.62667),(75 127.10132),(76 128.02174),(77 125.59971),(78 125.340675),(79 126.158264),
(1 75.83805),(2 98.914734),(3 108.139465),(4 110.88076),(5 112.90755),(6 113.32291),(7 114.78192),(8 117.30498),(9 117.10812),(10 118.323814),(11 118.120804),(12 118.511894),(13 117.718475),(14 115.97697),(15 119.63819),(16 119.90026),(17 121.247856),(18 123.99529),(19 125.522835),(20 125.84665),(21 124.46266),(22 124.245766),(23 124.04199),(24 124.373566),(25 121.368484),(26 123.06497),(27 125.203926),(28 126.86596),(29 127.11292),(30 127.21384),(31 126.00047),(32 128.66568),(33 127.3775),(34 127.85514),(35 127.80538),(36 126.59897),(37 125.68589),(38 124.62381),(39 126.84346),(40 127.03732),(41 125.233864),(42 125.76933),(43 127.32415),(44 126.77292),(45 125.862785),(46 125.99331),(47 127.14511),(48 125.86699),(49 125.331696),(50 124.47877),(51 124.561295),(52 125.41229),(53 125.62723),(54 125.811226),(55 125.46337),(56 125.15477),(57 125.10228),(58 125.199554),(59 126.378235),(60 125.932526),(61 125.531876),(62 125.86966),(63 126.7621),(64 124.86591),(65 124.3793),(66 123.17833),(67 125.11486),(68 123.29356),(69 122.850494),(70 122.31437),(71 122.46596),(72 122.274216),(73 120.797386),(74 121.55536),(75 123.305046),(76 123.272766),(77 122.507965),(78 123.216354),(79 123.27406),
(1 74.86185),(2 95.29304),(3 104.40643),(4 107.615425),(5 108.37681),(6 111.34601),(7 114.61698),(8 115.95311),(9 115.579185),(10 116.4566),(11 115.58668),(12 114.73415),(13 114.05769),(14 114.01),(15 117.23133),(16 118.132675),(17 118.3554),(18 119.578285),(19 120.33433),(20 121.9126),(21 122.34588),(22 121.574234),(23 123.77208),(24 121.44075),(25 122.4462),(26 123.08892),(27 123.76291),(28 124.68714),(29 124.43264),(30 125.344406),(31 125.489586),(32 125.24758),(33 124.720604),(34 124.29162),(35 125.114),(36 125.96247),(37 124.37764),(38 124.38297),(39 125.63694),(40 123.70272),(41 124.75671),(42 125.702675),(43 124.97218),(44 123.42223),(45 124.822975),(46 124.65565),(47 124.980286),(48 125.68867),(49 123.81467),(50 122.1838),(51 124.26614),(52 123.30209),(53 123.35689),(54 122.66709),(55 121.95953),(56 121.53065),(57 120.962524),(58 119.70778),(59 121.00747),(60 120.41592),(61 119.5732),(62 120.615295),(63 121.374275),(64 121.759575),(65 123.02289),(66 122.11091),(67 122.63656),(68 123.507454),(69 121.28777),(70 120.724144),(71 120.94125),(72 120.422165),(73 119.22817),(74 120.401794),(75 122.548325),(76 121.64073),(77 120.74252),(78 119.70603),(79 120.674545),
(1 73.81413),(2 93.83665),(3 103.95495),(4 106.93075),(5 105.6688),(6 110.20863),(7 114.11486),(8 116.516846),(9 116.48914),(10 116.49026),(11 116.79784),(12 116.28789),(13 115.57821),(14 114.510765),(15 117.44887),(16 117.53164),(17 116.62945),(18 119.46493),(19 119.2382),(20 119.8423),(21 118.79399),(22 120.24434),(23 122.886284),(24 120.13018),(25 119.11022),(26 118.25358),(27 121.609955),(28 120.87832),(29 121.3788),(30 123.294525),(31 124.02216),(32 122.62712),(33 123.94955),(34 125.58939),(35 125.85337),(36 125.36268),(37 123.40465),(38 123.90542),(39 124.30297),(40 124.43363),(41 123.46144),(42 123.52272),(43 123.18956),(44 123.57619),(45 124.110504),(46 124.640175),(47 125.98967),(48 123.22797),(49 122.99685),(50 121.82323),(51 122.1548),(52 122.57934),(53 121.875626),(54 122.37073),(55 122.96329),(56 121.54437),(57 122.30089),(58 120.22992),(59 121.91189),(60 122.30177),(61 120.4298),(62 119.6059),(63 122.87743),(64 122.16988),(65 120.48347),(66 120.45658),(67 119.26459),(68 120.85681),(69 119.70681),(70 118.987885),(71 119.7753),(72 118.22611),(73 117.88973),(74 118.66279),(75 121.88659),(76 122.47455),(77 121.3249),(78 121.72699),(79 121.2504),
(1 72.05071),(2 91.7475),(3 101.755615),(4 103.88804),(5 103.24174),(6 107.71139),(7 110.74268),(8 110.00184),(9 112.03206),(10 112.82311),(11 111.9394),(12 113.028175),(13 112.9858),(14 113.80379),(15 114.91208),(16 114.31473),(17 113.67666),(18 116.94161),(19 115.68133),(20 115.93914),(21 115.77256),(22 116.622826),(23 119.48407),(24 118.9008),(25 119.19361),(26 120.45891),(27 120.59685),(28 120.55459),(29 120.92176),(30 121.38336),(31 120.76172),(32 118.436264),(33 117.88504),(34 118.76302),(35 119.941315),(36 120.16624),(37 119.47947),(38 119.054855),(39 120.989914),(40 120.204506),(41 118.91252),(42 119.7722),(43 120.26818),(44 120.39761),(45 121.22071),(46 119.79899),(47 120.80355),(48 118.69288),(49 118.61901),(50 117.87079),(51 118.83892),(52 119.11328),(53 119.46181),(54 118.79652),(55 118.11568),(56 118.451744),(57 118.8197),(58 117.92801),(59 116.7439),(60 114.69659),(61 111.89417),(62 112.94803),(63 114.76714),(64 115.08864),(65 115.9318),(66 116.17585),(67 115.0018),(68 114.20781),(69 114.469055),(70 114.97323),(71 115.51503),(72 115.830414),(73 114.43525),(74 115.19266),(75 119.5641),(76 116.965126),(77 118.101585),(78 117.13615),(79 117.8312),
(1 72.95197),(2 91.313065),(3 100.52801),(4 102.9966),(5 104.15478),(6 107.40454),(7 110.914795),(8 111.770454),(9 110.26458),(10 109.16946),(11 109.562744),(12 109.28645),(13 110.84195),(14 109.944595),(15 111.72797),(16 112.52632),(17 112.23566),(18 114.69127),(19 113.585915),(20 113.70878),(21 112.94877),(22 114.90348),(23 115.651306),(24 114.68964),(25 115.7),(26 115.55994),(27 116.46279),(28 116.37995),(29 115.714294),(30 116.22453),(31 118.67405),(32 117.89957),(33 117.434204),(34 117.44146),(35 116.353096),(36 116.49342),(37 116.2974),(38 116.61456),(39 116.84358),(40 118.30812),(41 117.56268),(42 118.93195),(43 118.57124),(44 118.99155),(45 118.661026),(46 118.550514),(47 119.66994),(48 117.49529),(49 116.22652),(50 114.87713),(51 118.01567),(52 117.40036),(53 115.46629),(54 115.87162),(55 116.1225),(56 115.37268),(57 114.94179),(58 113.45504),(59 114.07238),(60 113.67335),(61 112.8741),(62 114.92043),(63 116.71572),(64 115.265625),(65 114.28601),(66 112.93973),(67 113.58076),(68 113.69115),(69 112.6542),(70 114.337074),(71 114.78563),(72 113.42219),(73 114.6825),(74 112.82721),(75 112.89017),(76 114.10719),(77 112.96453),(78 112.46324),(79 113.15994),
(1 71.18091),(2 88.78449),(3 96.57641),(4 99.07964),(5 100.4821),(6 103.26985),(7 104.64132),(8 107.070885),(9 106.72909),(10 106.23143),(11 109.27022),(12 108.761536),(13 107.60216),(14 109.05276),(15 110.10685),(16 109.49147),(17 109.92929),(18 111.567986),(19 110.91414),(20 110.19826),(21 111.138435),(22 112.71272),(23 113.14811),(24 113.254776),(25 112.80942),(26 113.63513),(27 114.284256),(28 115.534195),(29 114.345825),(30 113.864174),(31 115.39136),(32 114.857704),(33 114.25165),(34 115.78044),(35 115.54417),(36 115.42265),(37 115.22857),(38 115.51076),(39 117.446),(40 116.492905),(41 115.39663),(42 116.173874),(43 116.23964),(44 116.6842),(45 116.027),(46 115.03848),(47 114.61703),(48 115.50871),(49 114.87153),(50 114.975685),(51 118.12231),(52 115.351585),(53 114.43693),(54 114.464134),(55 113.69216),(56 113.82879),(57 114.54977),(58 112.49193),(59 114.57078),(60 113.327896),(61 111.02538),(62 111.20894),(63 112.73289),(64 112.41919),(65 110.97872),(66 109.681),(67 110.70893),(68 111.70082),(69 110.73915),(70 110.47629),(71 110.74255),(72 110.55181),(73 110.23484),(74 110.455444),(75 110.65785),(76 108.151726),(77 108.026955),(78 109.26411),(79 109.83979),
(1 68.25478),(2 85.349724),(3 93.67798),(4 94.93882),(5 96.52498),(6 101.0036),(7 102.14848),(8 103.47285),(9 103.21075),(10 105.130875),(11 104.10511),(12 104.62131),(13 106.130486),(14 105.18995),(15 107.25194),(16 106.48162),(17 107.037704),(18 107.90788),(19 106.91969),(20 108.48415),(21 107.58181),(22 108.45099),(23 107.871086),(24 109.21767),(25 107.95336),(26 109.25748),(27 112.900475),(28 111.72936),(29 110.47676),(30 108.6868),(31 110.856),(32 111.31259),(33 110.782906),(34 110.71968),(35 109.970116),(36 109.579895),(37 109.34272),(38 109.840546),(39 111.4439),(40 110.14175),(41 109.730774),(42 110.53501),(43 110.929184),(44 110.53691),(45 110.53142),(46 110.12402),(47 112.07118),(48 111.21763),(49 109.8241),(50 110.47181),(51 113.46181),(52 111.81571),(53 111.85233),(54 110.47429),(55 111.182655),(56 110.39849),(57 110.1265),(58 108.86335),(59 111.50263),(60 110.805695),(61 110.0793),(62 109.79317),(63 110.23384),(64 110.731766),(65 110.56343),(66 109.61954),(67 110.71734),(68 109.08466),(69 109.002464),(70 109.17729),(71 108.81053),(72 107.636856),(73 107.29124),(74 108.477905),(75 110.80433),(76 110.04134),(77 109.00703),(78 108.50318),(79 109.06674),
(1 66.70511),(2 83.98761),(3 92.57763),(4 93.25132),(5 93.68477),(6 96.71569),(7 98.931595),(8 100.76538),(9 100.676926),(10 101.54265),(11 103.127594),(12 102.65358),(13 103.090225),(14 103.8145),(15 105.309395),(16 105.96036),(17 104.85625),(18 106.3787),(19 105.81924),(20 105.79804),(21 105.86699),(22 105.70867),(23 106.426796),(24 105.97758),(25 106.46474),(26 107.10275),(27 109.41043),(28 108.18814),(29 108.96412),(30 110.306496),(31 110.56793),(32 109.479996),(33 111.5313),(34 110.93108),(35 109.62259),(36 109.527885),(37 108.67494),(38 110.2025),(39 110.232956),(40 109.80305),(41 109.98893),(42 111.40581),(43 110.369156),(44 111.29075),(45 110.73953),(46 110.37396),(47 110.72761),(48 108.98522),(49 109.30805),(50 109.02984),(51 111.87495),(52 110.52476),(53 109.133095),(54 108.14001),(55 109.927),(56 109.01503),(57 108.5457),(58 108.999054),(59 108.88779),(60 108.68982),(61 106.80018),(62 106.36986),(63 108.482155),(64 106.96046),(65 107.561485),(66 107.72392),(67 106.95758),(68 106.300476),(69 107.479416),(70 106.28564),(71 106.069176),(72 104.54631),(73 103.64848),(74 104.433525),(75 108.38107),(76 107.993835),(77 107.41737),(78 106.30535),(79 106.126884),
(1 64.49629),(2 79.3652),(3 88.31416),(4 89.700264),(5 91.386185),(6 93.699905),(7 94.91433),(8 95.68043),(9 96.71419),(10 97.4634),(11 98.00733),(12 98.52004),(13 98.86398),(14 99.03418),(15 100.33017),(16 100.180305),(17 101.0096),(18 102.02402),(19 101.97717),(20 101.24629),(21 100.63815),(22 101.86997),(23 103.91555),(24 103.97232),(25 104.002266),(26 104.37326),(27 106.32632),(28 105.28702),(29 106.50457),(30 106.99541),(31 107.9347),(32 107.08495),(33 106.83404),(34 107.95744),(35 106.646065),(36 108.329414),(37 107.01423),(38 108.49973),(39 110.177826),(40 109.471306),(41 108.68567),(42 109.70975),(43 109.034035),(44 109.6964),(45 109.25988),(46 108.612114),(47 108.38077),(48 107.607),(49 106.02683),(50 105.22974),(51 108.571014),(52 107.8024),(53 108.318474),(54 106.48404),(55 107.36164),(56 108.271576),(57 108.24232),(58 107.15246),(59 108.013306),(60 105.741066),(61 104.35257),(62 104.12016),(63 106.51716),(64 106.82148),(65 105.52259),(66 105.07191),(67 104.89729),(68 106.709785),(69 106.35996),(70 106.450325),(71 107.06895),(72 105.58494),(73 104.01423),(74 104.824394),(75 106.181244),(76 106.10386),(77 104.64018),(78 103.0939),(79 104.67344),
(1 65.25945),(2 79.61987),(3 87.306625),(4 90.01047),(5 92.42339),(6 92.732956),(7 94.02188),(8 94.28391),(9 95.22195),(10 96.95327),(11 95.72543),(12 95.50144),(13 95.90371),(14 97.16257),(15 98.59823),(16 99.7106),(17 99.15788),(18 99.62754),(19 100.26954),(20 99.33974),(21 99.66065),(22 99.88936),(23 100.34025),(24 101.53857),(25 101.35705),(26 101.07608),(27 105.11971),(28 103.26157),(29 103.26563),(30 104.31204),(31 104.63544),(32 103.58717),(33 103.73291),(34 103.23901),(35 104.096596),(36 103.77314),(37 103.679756),(38 103.12752),(39 105.426605),(40 104.745415),(41 103.813416),(42 104.305855),(43 105.28231),(44 105.103),(45 103.851105),(46 106.24292),(47 106.71019),(48 105.35741),(49 106.11454),(50 104.89512),(51 105.417465),(52 105.07664),(53 104.846115),(54 104.91819),(55 104.816734),(56 104.79786),(57 105.34248),(58 105.46352),(59 103.60141),(60 103.79577),(61 103.23317),(62 101.73771),(63 103.60227),(64 103.97439),(65 102.09848),(66 101.32762),(67 103.30025),(68 104.18483),(69 103.08152),(70 102.83703),(71 104.12457),(72 102.37465),(73 100.934395),(74 99.930244),(75 101.553604),(76 101.51396),(77 101.116905),(78 101.3723),(79 100.45854),
(1 65.02538),(2 79.03295),(3 87.1218),(4 88.53012),(5 90.38038),(6 93.88637),(7 95.22616),(8 96.17513),(9 97.70445),(10 100.58194),(11 99.289154),(12 99.24632),(13 98.660515),(14 98.68448),(15 101.262726),(16 103.30514),(17 101.855705),(18 103.99761),(19 103.858154),(20 103.353615),(21 104.54781),(22 103.626945),(23 102.8884),(24 103.09705),(25 102.726425),(26 103.56814),(27 106.36344),(28 105.28918),(29 104.72174),(30 105.93615),(31 104.879),(32 103.76467),(33 104.61558),(34 105.24546),(35 105.00146),(36 105.96986),(37 106.136856),(38 107.24141),(39 108.63884),(40 107.52087),(41 106.02843),(42 105.834366),(43 106.33373),(44 106.682396),(45 106.341995),(46 108.28445),(47 106.26621),(48 105.240906),(49 104.28315),(50 104.21693),(51 107.53528),(52 105.58171),(53 106.29033),(54 105.68968),(55 104.708015),(56 105.35657),(57 104.512726),(58 104.00103),(59 102.72249),(60 102.55644),(61 102.70102),(62 101.45722),(63 104.12987),(64 102.16526),(65 101.89252),(66 100.68091),(67 101.53211),(68 101.61181),(69 100.615875),(70 101.36703),(71 100.23192),(72 99.36533),(73 98.58222),(74 99.15552),(75 100.49563),(76 100.46508),(77 100.95774),(78 100.350296),(79 100.57407),
(1 63.49322),(2 79.34104),(3 85.06278),(4 87.989204),(5 88.44322),(6 90.45406),(7 91.90607),(8 92.41555),(9 94.17815),(10 94.081276),(11 93.918365),(12 93.7785),(13 94.643265),(14 96.20881),(15 97.09348),(16 99.060196),(17 97.282486),(18 97.74093),(19 98.0973),(20 98.394196),(21 98.381325),(22 98.26989),(23 98.529366),(24 99.06331),(25 98.83912),(26 98.76359),(27 101.68973),(28 100.974945),(29 102.07965),(30 102.645676),(31 103.379135),(32 103.35014),(33 103.0732),(34 101.75589),(35 101.465256),(36 102.11197),(37 102.41393),(38 103.043594),(39 103.47237),(40 104.82441),(41 103.77364),(42 103.19755),(43 104.030876),(44 104.04391),(45 104.49072),(46 103.76219),(47 104.22471),(48 103.508415),(49 101.59769),(50 101.97184),(51 104.95052),(52 102.599945),(53 102.46482),(54 102.21465),(55 103.66758),(56 103.03338),(57 103.098175),(58 103.39555),(59 102.316666),(60 100.68086),(61 101.0221),(62 100.023834),(63 101.937256),(64 101.2004),(65 99.63636),(66 98.64922),(67 99.15292),(68 100.590744),(69 99.212555),(70 99.26447),(71 100.04212),(72 98.669464),(73 97.8001),(74 98.77304),(75 100.26482),(76 99.35081),(77 97.62728),(78 97.761345),(79 97.737854),
(1 63.2785),(2 78.172485),(3 83.970245),(4 87.48735),(5 88.5659),(6 90.72117),(7 91.06501),(8 92.701775),(9 95.04345),(10 93.79278),(11 94.1479),(12 94.76197),(13 95.36506),(14 96.26079),(15 97.67041),(16 98.7513),(17 97.494865),(18 100.39255),(19 99.297775),(20 99.97859),(21 99.20937),(22 100.912865),(23 100.0189),(24 100.486305),(25 99.9437),(26 101.82459),(27 103.360085),(28 101.85054),(29 102.03645),(30 104.352875),(31 104.74309),(32 103.46162),(33 102.42687),(34 101.23807),(35 101.58782),(36 101.28596),(37 101.90584),(38 102.48046),(39 102.88692),(40 103.24232),(41 102.49168),(42 102.42978),(43 102.26211),(44 102.02503),(45 101.2147),(46 102.24473),(47 101.535645),(48 100.66413),(49 100.31299),(50 99.641716),(51 100.20106),(52 100.31878),(53 100.42819),(54 101.18277),(55 100.76572),(56 100.73797),(57 101.96213),(58 101.73293),(59 100.30169),(60 97.569756),(61 98.52459),(62 98.50135),(63 98.86087),(64 99.194626),(65 98.57372),(66 96.57852),(67 97.113525),(68 98.27568),(69 97.90532),(70 97.72029),(71 97.99192),(72 96.88193),(73 97.555664),(74 97.14473),(75 98.31045),(76 97.880684),(77 97.41174),(78 97.051926),(79 96.82471),
(1 61.973057),(2 76.740204),(3 81.512955),(4 84.488525),(5 85.71955),(6 87.047516),(7 88.14052),(8 88.75211),(9 90.27797),(10 91.633644),(11 92.604126),(12 93.15021),(13 92.5448),(14 91.420616),(15 94.204025),(16 95.10478),(17 94.115166),(18 96.503),(19 96.512825),(20 96.04895),(21 95.67064),(22 96.61759),(23 96.292015),(24 96.25582),(25 96.93359),(26 96.306145),(27 98.653824),(28 97.83808),(29 97.38218),(30 98.36875),(31 100.11409),(32 98.96748),(33 97.53243),(34 98.39005),(35 98.78846),(36 97.51658),(37 96.68552),(38 97.4505),(39 99.84515),(40 99.61338),(41 98.507126),(42 97.96731),(43 98.45986),(44 98.72455),(45 99.53309),(46 99.17181),(47 100.06419),(48 97.16016),(49 97.234055),(50 96.63198),(51 97.47813),(52 97.16848),(53 96.7101),(54 97.8322),(55 96.42836),(56 97.31714),(57 98.858765),(58 97.49516),(59 97.83238),(60 97.393776),(61 96.23357),(62 96.30914),(63 96.38657),(64 96.038025),(65 96.88712),(66 95.25358),(67 95.73307),(68 96.438156),(69 95.048004),(70 97.77856),(71 96.786766),(72 95.98864),(73 93.941666),(74 95.002625),(75 94.53646),(76 96.47225),(77 95.20946),(78 95.09121),(79 95.33344),
(1 60.598625),(2 74.50723),(3 79.98829),(4 82.24424),(5 82.9778),(6 86.19568),(7 87.0324),(8 88.14343),(9 88.24667),(10 89.8489),(11 90.7148),(12 90.29015),(13 90.438545),(14 90.978004),(15 91.71202),(16 93.40729),(17 92.813545),(18 92.98788),(19 93.33642),(20 94.8327),(21 94.53366),(22 95.276276),(23 93.94997),(24 94.078224),(25 93.356094),(26 94.159904),(27 95.83006),(28 95.17892),(29 95.790306),(30 95.52954),(31 96.82496),(32 96.29749),(33 95.32278),(34 96.85726),(35 96.644226),(36 96.15846),(37 96.08603),(38 95.612915),(39 98.20989),(40 98.694496),(41 97.54227),(42 99.20856),(43 97.948265),(44 99.29747),(45 98.90583),(46 98.23749),(47 99.24331),(48 97.94103),(49 95.38115),(50 96.52412),(51 97.88761),(52 98.53489),(53 96.956985),(54 97.85895),(55 97.466194),(56 96.81456),(57 97.864395),(58 97.499504),(59 96.7251),(60 96.60057),(61 97.05178),(62 95.617935),(63 95.65936),(64 95.80735),(65 94.66948),(66 93.932945),(67 95.29078),(68 96.4684),(69 94.1611),(70 95.2203),(71 94.18437),(72 93.135956),(73 92.76505),(74 93.63828),(75 94.17972),(76 96.453476),(77 95.76961),(78 93.93369),(79 94.38408),
(1 60.377827),(2 74.77141),(3 79.68382),(4 82.68664),(5 84.16146),(6 84.8227),(7 86.91017),(8 86.617584),(9 87.44619),(10 87.92747),(11 87.24808),(12 86.69831),(13 87.67211),(14 87.703094),(15 90.89676),(16 90.75754),(17 89.990616),(18 93.24978),(19 92.64723),(20 93.86762),(21 92.51538),(22 90.9622),(23 90.87423),(24 90.792465),(25 92.10531),(26 92.97561),(27 93.49668),(28 94.690575),(29 95.04979),(30 95.93284),(31 95.12874),(32 96.31664),(33 95.276535),(34 96.314964),(35 95.28143),(36 94.29106),(37 93.94957),(38 94.06105),(39 96.22801),(40 96.01068),(41 94.44782),(42 95.80582),(43 96.05803),(44 95.88559),(45 94.983795),(46 95.03556),(47 95.74729),(48 96.318085),(49 94.575966),(50 95.107445),(51 95.19718),(52 95.663376),(53 92.954765),(54 93.05948),(55 92.26199),(56 93.69689),(57 93.07306),(58 94.14585),(59 94.27328),(60 94.22656),(61 93.60675),(62 93.692535),(63 92.28186),(64 94.05734),(65 92.09326),(66 91.65353),(67 92.06236),(68 92.659355),(69 91.06178),(70 92.446175),(71 92.76908),(72 92.14806),(73 91.81771),(74 92.11486),(75 92.57973),(76 94.274155),(77 93.05474),(78 91.89092),(79 92.076965),
(1 60.17516),(2 73.00681),(3 79.18889),(4 79.66781),(5 81.12448),(6 82.28567),(7 83.2824),(8 83.33744),(9 83.43757),(10 84.87812),(11 85.8493),(12 85.50328),(13 85.47181),(14 86.19079),(15 87.956795),(16 88.274536),(17 88.69028),(18 88.94575),(19 88.869156),(20 89.8926),(21 89.55874),(22 89.75879),(23 89.26008),(24 88.25709),(25 89.75118),(26 90.78729),(27 91.64147),(28 91.30312),(29 91.763214),(30 92.047424),(31 92.80219),(32 93.34486),(33 93.22075),(34 92.45597),(35 92.417564),(36 90.94288),(37 92.750984),(38 91.956795),(39 94.75335),(40 95.560974),(41 94.42443),(42 94.40558),(43 95.11996),(44 95.87654),(45 95.774124),(46 96.265854),(47 95.70388),(48 95.355034),(49 94.13332),(50 94.77181),(51 96.01644),(52 94.68289),(53 92.496895),(54 93.28761),(55 93.02038),(56 92.44043),(57 92.9367),(58 93.56896),(59 92.70136),(60 91.88074),(61 91.27225),(62 90.306),(63 92.45003),(64 90.49852),(65 88.407616),(66 89.12732),(67 88.35822),(68 89.30281),(69 88.54959),(70 89.574036),(71 88.85831),(72 89.54264),(73 88.49468),(74 89.15519),(75 90.03625),(76 89.38822),(77 90.42255),(78 89.95559),(79 89.95128),
