1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 17659.686),(2 46870.813),(3 79923.93),(4 120837.22),(5 171979.58),(6 224080.77),(7 293979.16),(8 384323.16),(9 449568),(10 525092.8),(11 625627.56),(12 708068.5),(13 756629.25),(14 842475.7),(15 892961.56),(16 936597.5),(17 981804.44),(18 1047788.5),(19 1099057.6),(20 1198151.1),(21 1264354.6),(22 1327111.6),(23 1386123.8),(24 1456935.6),(25 1552306.4),(26 1639484),(27 1711579.1),(28 1838862.1),(29 1957042.4),(30 2069921.4),(31 2163977),(32 2271586.3),(33 2350756),(34 2442115),(35 2531897.5),(36 2632389.8),(37 2726735.8),(38 2812483),(39 2893768.8),(40 2970374.8),(41 3141488.8),(42 3235669.3),(43 3318097.8),(44 3419276.8),(45 3521837),(46 3621210.3),(47 3772822.8),(48 3892543),(49 4001789.8),(50 4101929.3),(51 4135121.3),(52 4152084),(53 4194371.5),(54 4214916.5),(55 4236594.5),(56 4319355),(57 4415134.5),(58 4530093.5),(59 4660266),(60 4841679.5),(61 4987553.5),(62 5128271.5),(63 5298339.5),(64 5451492.5),(65 5575262),(66 5737514.5),(67 5872354),(68 5958241.5),(69 6050374.5),(70 6140809.5),(71 6206655.5),(72 6321668),(73 6549212),(74 6806024),(75 7026505.5),(76 7275563.5),(77 7541754.5),(78 7756119.5),(79 7941409.5),
(1 5519.218),(2 12617.984),(3 16689.264),(4 18939.469),(5 20902.324),(6 22631.37),(7 23568.188),(8 24131.578),(9 24143.512),(10 24539.85),(11 24812.084),(12 24913.836),(13 25082.355),(14 25163.54),(15 25277.385),(16 25436.764),(17 25672.936),(18 25587.195),(19 25714.744),(20 26380.01),(21 26438.64),(22 26306.879),(23 26581.207),(24 26585.799),(25 26585.395),(26 26743.432),(27 26995.81),(28 26985.875),(29 27305.05),(30 27606.506),(31 27627.443),(32 27705.998),(33 27590.045),(34 27638.88),(35 27709.072),(36 27614.451),(37 27465.148),(38 27353.055),(39 27346.225),(40 27634.338),(41 27926.615),(42 28019.701),(43 28206.705),(44 28372.518),(45 28768.002),(46 28824.705),(47 28370.756),(48 28071.371),(49 27881.502),(50 27945.244),(51 28118.592),(52 28400.445),(53 28581.625),(54 28298.178),(55 28248.625),(56 28106.781),(57 27868.51),(58 27459.404),(59 27038.982),(60 26905.898),(61 27296.547),(62 27486.725),(63 27869.527),(64 27698.45),(65 27707.365),(66 27790.172),(67 28086.818),(68 28211.508),(69 28526.574),(70 28857.865),(71 28972.508),(72 28982.908),(73 29030.51),(74 28980.188),(75 29201.51),(76 29342.342),(77 29352.34),(78 29376.139),(79 29516.658),
(1 5619.064),(2 12776.761),(3 16768.414),(4 18960.977),(5 20724.75),(6 22298.955),(7 23667.498),(8 24432.38),(9 24654.742),(10 24967.684),(11 25395.885),(12 25194.256),(13 25327.559),(14 25456.986),(15 25543.377),(16 25529.756),(17 25631.172),(18 25837.893),(19 25884.047),(20 26095.88),(21 26256.4),(22 26374.705),(23 26677.545),(24 26650.063),(25 26701.045),(26 26863.9),(27 26914.934),(28 26935.006),(29 27417.346),(30 27741.111),(31 27759.639),(32 27578.145),(33 27553.13),(34 27642.316),(35 27821.57),(36 27715.682),(37 27514.492),(38 27361.674),(39 27326.621),(40 27563.97),(41 27883.121),(42 27979.37),(43 28172.59),(44 28148.047),(45 28355.023),(46 28831.955),(47 28355.31),(48 28068.135),(49 28246.82),(50 28632.303),(51 28724.46),(52 28559.336),(53 28602.129),(54 28563.092),(55 28385.914),(56 27921.297),(57 27485.707),(58 27309.32),(59 27519.492),(60 27719.719),(61 27927.295),(62 28114.785),(63 28085.492),(64 28177.766),(65 28254.787),(66 28384.408),(67 28737.734),(68 28914.2),(69 29093.857),(70 29085.506),(71 29201.646),(72 29004.47),(73 29009.635),(74 29159.361),(75 29071.393),(76 29164.758),(77 29271.422),(78 29219.543),(79 29536.93),
(1 5351.9956),(2 12240.382),(3 15783.941),(4 17617.006),(5 19227.893),(6 20628.371),(7 21520.256),(8 21918.38),(9 22138.512),(10 22563.105),(11 23002.826),(12 22884.781),(13 22799.432),(14 22704.697),(15 22737.262),(16 23018.734),(17 23373.05),(18 23838.547),(19 24023.508),(20 23999.617),(21 23851.36),(22 23742.768),(23 24094.557),(24 24024.592),(25 23951.957),(26 24191.479),(27 24459.219),(28 24434.326),(29 24717.785),(30 24783.09),(31 24950.36),(32 25232.512),(33 25301.982),(34 25414.814),(35 25491.48),(36 25351.824),(37 25080.293),(38 25128.355),(39 25261.262),(40 25501.234),(41 25690.447),(42 25813.252),(43 25891.414),(44 25634.326),(45 25313.244),(46 25339.246),(47 25429.805),(48 25358.293),(49 25709.05),(50 26130.45),(51 26272.732),(52 26376.363),(53 26362.36),(54 26143.273),(55 26055.213),(56 25975.67),(57 25991.303),(58 26333.924),(59 26413.479),(60 26224.258),(61 26319),(62 26299.148),(63 26093.441),(64 26340.646),(65 26339.89),(66 26434.467),(67 26741.736),(68 26799.729),(69 27028.693),(70 26972.951),(71 26896.928),(72 26824.557),(73 27103.174),(74 27114.58),(75 27013.45),(76 27133.893),(77 27199.83),(78 27267.219),(79 27336.316),
(1 5188.503),(2 11933.919),(3 15337.081),(4 17185.473),(5 18656.682),(6 19849.12),(7 20670.174),(8 21252.521),(9 21609.691),(10 21878.816),(11 22091.023),(12 21739.36),(13 21558.979),(14 21513.428),(15 21926.477),(16 22270.94),(17 22440.049),(18 22644.66),(19 22954.777),(20 23360.06),(21 23057.623),(22 22623.418),(23 22659.645),(24 22743.898),(25 23045.152),(26 23705.52),(27 23984.13),(28 23900.074),(29 23877.584),(30 23747.186),(31 23856.896),(32 23972.898),(33 24002.768),(34 23935.1),(35 24088.203),(36 24037.938),(37 23967.482),(38 24073.102),(39 23809.043),(40 23736.828),(41 23804.459),(42 24214.725),(43 24158.973),(44 23996.258),(45 23865.184),(46 23829.674),(47 23789.732),(48 23946.848),(49 24270.072),(50 24548.408),(51 24408.813),(52 24316.672),(53 24303.266),(54 24289.014),(55 24312.65),(56 24407.992),(57 24919.203),(58 25330.908),(59 25570.217),(60 25612.264),(61 25510.527),(62 25292.363),(63 25316.521),(64 25685.51),(65 25614.05),(66 25662.982),(67 25855.377),(68 26034.28),(69 26486.078),(70 26740.37),(71 26551.518),(72 26643.111),(73 26842.273),(74 26767.926),(75 26843.365),(76 27182.244),(77 27401.207),(78 27364.979),(79 27377.012),
(1 5186.715),(2 11875.184),(3 15220.51),(4 16923.621),(5 18402.422),(6 19690.451),(7 20622.457),(8 21105.188),(9 21214.793),(10 21366.326),(11 21483.531),(12 21656.174),(13 21794.203),(14 21995.072),(15 22124.191),(16 22204.318),(17 22331.854),(18 22431.639),(19 22455.13),(20 23179.121),(21 23313.39),(22 23475.89),(23 23369.268),(24 23086.486),(25 23247.777),(26 23631.867),(27 23859.709),(28 24001.229),(29 23921.219),(30 23930.127),(31 24242.49),(32 24193.477),(33 24026.816),(34 23945.408),(35 23939.354),(36 23709.457),(37 23488.113),(38 23460.838),(39 23180.148),(40 22927.592),(41 23388.94),(42 23689.123),(43 23989.723),(44 24048.96),(45 24069.207),(46 24249.92),(47 24280.777),(48 24467.04),(49 24727.672),(50 24945.117),(51 24713.89),(52 24443),(53 24289.748),(54 24130.77),(55 23898.072),(56 24019.049),(57 24520.857),(58 24942.51),(59 24941.088),(60 24805.033),(61 24401.316),(62 24086.666),(63 24265.043),(64 24525.918),(65 24622.863),(66 24825.16),(67 24949.424),(68 25252.49),(69 25845.703),(70 26278.42),(71 26316.217),(72 26197.77),(73 26434.738),(74 26606.21),(75 26936.28),(76 27120.547),(77 26881.326),(78 26755.014),(79 26624.486),
(1 5112.9565),(2 11738.318),(3 15139.87),(4 17082.037),(5 18647.787),(6 19901.348),(7 20634.479),(8 20945.969),(9 21003.59),(10 21404.67),(11 21605.793),(12 21797.352),(13 22178.89),(14 22484.72),(15 22374.453),(16 22369.385),(17 22666.67),(18 22796.553),(19 22851.248),(20 22892.385),(21 22779.813),(22 22863.182),(23 22878.453),(24 23013.67),(25 23229.975),(26 23668.549),(27 24178.129),(28 24162.24),(29 24097.836),(30 23793.693),(31 24026.346),(32 23893.541),(33 23517.74),(34 23237.242),(35 23300.746),(36 23362.375),(37 23479.426),(38 23463.002),(39 23286.826),(40 23215.432),(41 23260.41),(42 23530.787),(43 23736.855),(44 23996.775),(45 24129.611),(46 24371.041),(47 24376.62),(48 24430.36),(49 24574.824),(50 24533.436),(51 24261.78),(52 23905.555),(53 23809.826),(54 23648.773),(55 23627.541),(56 23939.438),(57 24345.986),(58 24657.299),(59 24599.404),(60 24395.918),(61 24035.686),(62 23907.354),(63 24172.9),(64 24325.756),(65 24453.197),(66 24753.322),(67 25183.24),(68 25336.303),(69 25641.424),(70 25600.586),(71 25559.98),(72 25546.555),(73 25730.166),(74 26195.213),(75 26769.064),(76 26936.03),(77 26746.43),(78 26826.486),(79 26839.066),
(1 5166.9844),(2 11707.043),(3 15147.411),(4 17107.23),(5 18662.992),(6 19743.592),(7 20340.545),(8 20785.057),(9 21049.162),(10 21695.027),(11 22249.535),(12 22486.83),(13 22924.094),(14 23199.953),(15 23272.195),(16 23089.973),(17 23204.04),(18 23393.434),(19 23383.332),(20 23078.615),(21 22918.791),(22 22739.8),(23 22636.188),(24 22626.438),(25 22883.172),(26 23364.719),(27 23873.328),(28 24221.238),(29 24337.242),(30 24254.096),(31 24331.51),(32 24186.512),(33 24166.008),(34 24359.088),(35 24643.416),(36 24601.361),(37 24400.18),(38 24441.951),(39 24420.049),(40 24346.81),(41 24304.48),(42 24332.072),(43 24388.408),(44 24560.074),(45 24766.912),(46 24799.018),(47 24788.66),(48 24928.201),(49 25102.238),(50 25088.246),(51 24814.37),(52 24590.35),(53 24728.955),(54 24622.494),(55 24804.266),(56 25273.463),(57 25398.563),(58 25438.48),(59 25404.664),(60 25221.234),(61 24887.82),(62 24987.732),(63 25054.12),(64 25084.813),(65 25038.438),(66 25219.248),(67 25396.648),(68 25270.291),(69 25593.582),(70 25666.322),(71 25405.51),(72 25199.973),(73 25404.121),(74 25542.322),(75 25695.725),(76 25955.639),(77 26035.34),(78 26084.936),(79 26374.17),
(1 5050.0713),(2 11568.345),(3 14867.8545),(4 16673.945),(5 18118.305),(6 19281.207),(7 19842.18),(8 20141.602),(9 20424.553),(10 20860.803),(11 21411.316),(12 21546.305),(13 21674.527),(14 21992.373),(15 22188.58),(16 22102.625),(17 22150.512),(18 22178.64),(19 21929.838),(20 21728.344),(21 21387.227),(22 21376.547),(23 21528.46),(24 21540.602),(25 21562.125),(26 21839.164),(27 22325.746),(28 22213.016),(29 21965.178),(30 22038.676),(31 22246.598),(32 22205.629),(33 22536.508),(34 22911.273),(35 23324.691),(36 23312.746),(37 22955.22),(38 22776.701),(39 22728.393),(40 22740.4),(41 22837.586),(42 22815.498),(43 22752.166),(44 22929.906),(45 22883.285),(46 22896.332),(47 23177.63),(48 23242.043),(49 23123.049),(50 23062.389),(51 23146.291),(52 23476.953),(53 23830.834),(54 23611.762),(55 23813.705),(56 24152.307),(57 24143.348),(58 23984.877),(59 23801.514),(60 23458.285),(61 23251.643),(62 23337.047),(63 23413.266),(64 23531.697),(65 23435.047),(66 23778.81),(67 24016.28),(68 23830.217),(69 23751.664),(70 23793.428),(71 23604.016),(72 23479.168),(73 23795.18),(74 23819.85),(75 24031.719),(76 24447.785),(77 24466.701),(78 24361.057),(79 24498.652),
(1 4711.045),(2 10728.7295),(3 13801.184),(4 15562.178),(5 16763.504),(6 17802.01),(7 18393.32),(8 18753.459),(9 19018.502),(10 19339.695),(11 19660.086),(12 19746.81),(13 20045.951),(14 20378.215),(15 20463.15),(16 20452.695),(17 20559.041),(18 20517.338),(19 20459.309),(20 20707.594),(21 20901.84),(22 20976.484),(23 21018.89),(24 21060.445),(25 21228.932),(26 21428.98),(27 21683.027),(28 21573.217),(29 21530.068),(30 21501.307),(31 21586.195),(32 21844.6),(33 22125.988),(34 22271.566),(35 22298.113),(36 22074.342),(37 22293.262),(38 22406.809),(39 22269.953),(40 21996.36),(41 21847.58),(42 21718.09),(43 21834.795),(44 22136.867),(45 22154.777),(46 22087.463),(47 22002.738),(48 21854.135),(49 21792.537),(50 21839.818),(51 21955.334),(52 22201.473),(53 22457.984),(54 22345.41),(55 22343.576),(56 22449.451),(57 22342.791),(58 22426.855),(59 22345.424),(60 22177.227),(61 22317.883),(62 22624.547),(63 22811.934),(64 22921.31),(65 23015.229),(66 23209.016),(67 23360.44),(68 23429.959),(69 23304.18),(70 23290.957),(71 23121.432),(72 22959.205),(73 23390.334),(74 23392.584),(75 23446.764),(76 23680.766),(77 23664.35),(78 23582.447),(79 23069.111),
(1 4591.1396),(2 10163.393),(3 12965.619),(4 14638.362),(5 15824.402),(6 16792.049),(7 17409.285),(8 17902.479),(9 18123.662),(10 18366.793),(11 18529.205),(12 18657.234),(13 18861.73),(14 19212.365),(15 19493.88),(16 19569.506),(17 19655.344),(18 19811.04),(19 19878.6),(20 20509.275),(21 20677.299),(22 20702.852),(23 20973.422),(24 21091.34),(25 21194.025),(26 21417.328),(27 21440.188),(28 21320.318),(29 21551.322),(30 21588.346),(31 21354.092),(32 21406.371),(33 21538.955),(34 21777.406),(35 21635.361),(36 21433.17),(37 21467.633),(38 21643.604),(39 21982.926),(40 21790.805),(41 21814.107),(42 21681.521),(43 21587.984),(44 21472.95),(45 21661.195),(46 21748.87),(47 21642.285),(48 21483.275),(49 21338.35),(50 21203.572),(51 21182.229),(52 21646.541),(53 21963.97),(54 21693.535),(55 21531.408),(56 21586.82),(57 21385.113),(58 21317.273),(59 21373.158),(60 21373.242),(61 21535.775),(62 21704.87),(63 21844.396),(64 21858.38),(65 21843.912),(66 21906.625),(67 22247.215),(68 22225.168),(69 22175.512),(70 22004.424),(71 21933.33),(72 21894.67),(73 22177.959),(74 22144.762),(75 22383.074),(76 22570.922),(77 22604.46),(78 22406.313),(79 22194.418),
(1 4475.7153),(2 10088.833),(3 12966.041),(4 14569.379),(5 15671.014),(6 16391.064),(7 16731.307),(8 16829.701),(9 17059.857),(10 17496.676),(11 17758.027),(12 17756.666),(13 17912.928),(14 18145.496),(15 18222.83),(16 18221.5),(17 18335.342),(18 18438.285),(19 18594.959),(20 18889.36),(21 19047.64),(22 19246.996),(23 19604.9),(24 19725.28),(25 19852.305),(26 20108.2),(27 20192.938),(28 20277.373),(29 20332.768),(30 20270.055),(31 20032.82),(32 19978.803),(33 19972.248),(34 20084.93),(35 20128.865),(36 20006.965),(37 20034.436),(38 20340.59),(39 20572.666),(40 20436.473),(41 20817.18),(42 20867.635),(43 20714.225),(44 20471.457),(45 20357.137),(46 20433.215),(47 20422.273),(48 20248.502),(49 20212.775),(50 20451.164),(51 20454.652),(52 20538.514),(53 20613.248),(54 20373.756),(55 20217.938),(56 20100.646),(57 20100.592),(58 20093.73),(59 20059.297),(60 20023.441),(61 20017.027),(62 20191.951),(63 20271.643),(64 20320.193),(65 20321.564),(66 20411.924),(67 20817.092),(68 20915.049),(69 20914.182),(70 20870.621),(71 20589.7),(72 20706.637),(73 20959.322),(74 21101.672),(75 21458.736),(76 21475.7),(77 21415.21),(78 21209.68),(79 21315.791),
(1 4440.8105),(2 9906.8955),(3 12702.002),(4 14449.883),(5 15569.129),(6 16360.664),(7 16890.814),(8 17101.232),(9 17355.666),(10 17751.484),(11 18039.352),(12 18018.805),(13 18053.408),(14 18032.47),(15 18076.71),(16 17974.94),(17 18264.29),(18 18516.404),(19 18580.389),(20 18451.84),(21 18374.057),(22 18536.154),(23 18701.283),(24 18791.357),(25 18968.762),(26 19408.104),(27 19695.08),(28 19703.412),(29 19549.316),(30 19452.227),(31 19374.014),(32 19304.176),(33 19082.203),(34 19095.088),(35 19033.832),(36 18694.242),(37 18922.877),(38 19339.48),(39 19434.287),(40 19387.205),(41 19797.424),(42 19946.92),(43 19931),(44 19759.496),(45 19640.928),(46 19949.453),(47 19750.03),(48 19514.014),(49 19600.803),(50 19910.121),(51 19899.133),(52 19952.213),(53 20015.93),(54 20190.273),(55 20095.545),(56 19855.178),(57 20022.21),(58 20185.572),(59 20125.033),(60 20152.03),(61 20367.367),(62 20792.674),(63 20772.135),(64 20823.223),(65 20688.227),(66 20869.002),(67 21000.914),(68 20898.934),(69 20854.764),(70 20685.963),(71 20536.084),(72 20553.412),(73 20628.338),(74 20767.564),(75 20934.922),(76 20939.232),(77 20752.611),(78 20809.55),(79 21040.414),
(1 4267.1704),(2 9447.024),(3 11903.698),(4 13575.019),(5 14714.797),(6 15340.285),(7 15646.857),(8 16103.137),(9 16279.411),(10 16484.428),(11 16872.959),(12 17019.307),(13 16943.018),(14 16888.498),(15 17036.63),(16 17030.316),(17 17163.06),(18 17222.504),(19 17442.53),(20 17634.197),(21 17806.658),(22 17868.738),(23 17762.86),(24 17718.83),(25 17837.938),(26 18095.303),(27 18198.787),(28 18261.498),(29 18465.754),(30 18599.861),(31 18481.664),(32 18456.725),(33 18375.621),(34 18389.383),(35 18316.973),(36 18216.65),(37 18299.688),(38 18718.633),(39 18734.926),(40 18709.35),(41 18755.91),(42 18849.729),(43 18925.965),(44 19042.455),(45 19212.316),(46 19320.01),(47 19284.432),(48 19173.514),(49 19216.84),(50 19398.992),(51 19356.572),(52 19381.004),(53 19503.566),(54 19504.945),(55 19304.014),(56 19038.03),(57 18907.469),(58 19043.492),(59 19131.984),(60 19114.51),(61 19089.348),(62 19434.35),(63 19553.787),(64 19635.68),(65 19506.055),(66 19626.973),(67 19735.076),(68 19612.904),(69 19541.057),(70 19527.617),(71 19484.781),(72 19521.27),(73 19807.781),(74 19888.443),(75 20109.42),(76 20197.32),(77 20207.027),(78 20227.363),(79 20423.275),
(1 4187.178),(2 9123.029),(3 11528.065),(4 13119.051),(5 14303.399),(6 15050.782),(7 15231.809),(8 15421.182),(9 15620.291),(10 15928.905),(11 16408.676),(12 16605.72),(13 16874.803),(14 17026.662),(15 17179.293),(16 17140.08),(17 17264.313),(18 17234.178),(19 17371.043),(20 17697.443),(21 17836.652),(22 17983.164),(23 18127.895),(24 18122.502),(25 18354.305),(26 18487.46),(27 18477.318),(28 18412.725),(29 18512.344),(30 18671.613),(31 18717),(32 18672.87),(33 18730.416),(34 18928.785),(35 18919.598),(36 18919.049),(37 19009.893),(38 19332.172),(39 19320.146),(40 19115.518),(41 18917.145),(42 18896.99),(43 18863.111),(44 18816.523),(45 18959.068),(46 19103.813),(47 19172.082),(48 18992.793),(49 19004.947),(50 19093.3),(51 19031.307),(52 19105.74),(53 19384.496),(54 19518.547),(55 19373.842),(56 18962.314),(57 18758.453),(58 18646.768),(59 18589.273),(60 18466.24),(61 18398.238),(62 18530.361),(63 18657.072),(64 18598.773),(65 18758.693),(66 18899.904),(67 19064.998),(68 18960.914),(69 18971.766),(70 19180.902),(71 19409.002),(72 19605.156),(73 19866.521),(74 19563.094),(75 19639.127),(76 19784.344),(77 20007.658),(78 19999.877),(79 20031.834),
(1 4020.5762),(2 8742.113),(3 11052.858),(4 12587.301),(5 13732.661),(6 14386.111),(7 14522.193),(8 14743.519),(9 15071.024),(10 15295.621),(11 15593.139),(12 15830.077),(13 16131.897),(14 16355.664),(15 16545.625),(16 16468.043),(17 16780.373),(18 16901.785),(19 16969.768),(20 17147.977),(21 17154.604),(22 17315.205),(23 17469.441),(24 17563.824),(25 17717.92),(26 17961.771),(27 17947.096),(28 17817.104),(29 17910.479),(30 17905.982),(31 17938.12),(32 18076.984),(33 18124.057),(34 18115.713),(35 18125.611),(36 18119.842),(37 18172.14),(38 18130.336),(39 17954.752),(40 17951.621),(41 18211.549),(42 18105.205),(43 17906.652),(44 17762.342),(45 17944.531),(46 18054.818),(47 18088.283),(48 18299.924),(49 18417.258),(50 18491.965),(51 18406.488),(52 18495.89),(53 18611.26),(54 18749.297),(55 18793.186),(56 18666.764),(57 18495.371),(58 18153.695),(59 17918.402),(60 17743.014),(61 17740.197),(62 18008.057),(63 17998.516),(64 18026.766),(65 18128.014),(66 18303.334),(67 18651.646),(68 18413.91),(69 18290.396),(70 18319.352),(71 18423.57),(72 18587.334),(73 18659.768),(74 18494.377),(75 18637.695),(76 18974.195),(77 18911.559),(78 18707.117),(79 18797.873),
(1 3896.9033),(2 8452.978),(3 10580.457),(4 11953.122),(5 12919.164),(6 13485.313),(7 13906.29),(8 14169.286),(9 14415.746),(10 14688.89),(11 15039.267),(12 15088.126),(13 15220.002),(14 15476.831),(15 15768.733),(16 15865.865),(17 16150.1875),(18 16353.599),(19 16291.222),(20 16254.205),(21 16388.598),(22 16487.484),(23 16710.86),(24 16871.28),(25 17037.875),(26 17282.229),(27 17345.467),(28 17147.96),(29 17051.428),(30 16971.979),(31 16984.389),(32 17040.44),(33 16928.3),(34 16840.705),(35 16870.082),(36 17023.313),(37 16807.764),(38 16721.344),(39 16763.418),(40 16828.762),(41 16993.3),(42 16962.135),(43 16855.03),(44 17038.879),(45 17118.441),(46 17008.063),(47 16901.252),(48 17059.453),(49 17182.266),(50 17390.59),(51 17413.66),(52 17355.775),(53 17399.86),(54 17481.164),(55 17464.229),(56 17358.807),(57 17157.555),(58 17011.982),(59 16886.846),(60 16764.836),(61 16869.58),(62 17053.785),(63 17096.082),(64 17219.87),(65 17188.7),(66 17177.387),(67 17242.053),(68 17191.648),(69 17110.813),(70 17136.467),(71 17169.066),(72 17244.746),(73 17355.805),(74 17223.178),(75 17191.627),(76 17254.34),(77 17243.553),(78 17271.832),(79 17289.354),
(1 3874.0635),(2 8336.14),(3 10531.464),(4 11989.354),(5 13146.874),(6 13743.775),(7 14163.401),(8 14474.979),(9 14777.198),(10 15190.09),(11 15541.39),(12 15610.346),(13 15800.185),(14 16063.313),(15 16361.059),(16 16647.072),(17 16825.635),(18 16694.03),(19 16601.508),(20 16470.049),(21 16466.25),(22 16455.457),(23 16558.84),(24 16741.129),(25 17080.775),(26 17242.68),(27 17089.064),(28 17069.123),(29 17252.566),(30 17261.922),(31 17252.666),(32 17175.156),(33 17136.81),(34 17159.684),(35 17092.21),(36 17306.889),(37 17221.48),(38 17322.355),(39 17462.71),(40 17525.416),(41 17639.672),(42 17508.652),(43 17346.148),(44 17551.395),(45 17575.637),(46 17406.965),(47 17399.855),(48 17334.795),(49 17334.53),(50 17282.992),(51 17201.12),(52 17253.59),(53 17376.283),(54 17307.521),(55 17182.639),(56 17057.564),(57 16977.229),(58 16991.072),(59 17003.584),(60 16826.877),(61 16831.697),(62 17117.896),(63 17220.39),(64 17258.92),(65 17102.71),(66 17015.713),(67 16969.164),(68 16929.559),(69 17084.2),(70 17175.63),(71 17150.389),(72 17411.04),(73 17491.467),(74 17494.018),(75 17496.693),(76 17537.69),(77 17421.104),(78 17477.287),(79 17452.188),
