(1 38.378376),(2 294147.22),(3 1491959.3),(4 2042154),(5 2043512.6),(6 1859810.6),(7 1871609.9),(8 2297393.8),(9 2296384),(10 2296839.8),(11 2434210.3),(12 2652269),(13 2653455),(14 2600903.5),(15 2978356.8),(16 3128171),(17 3133783.3),(18 3511003.5),(19 3609103.5),(20 3447503.8),(21 3445145.5),(22 3406696.3),(23 3460904.8),(24 3406745.5),(25 3404046.5),(26 3569720.5),(27 3404909.8),(28 3692146.8),(29 3692749),(30 3624476),(31 3184760.8),(32 2905209.5),(33 2906198.5),(34 2629446.5),(35 2906993.5),(36 3144751.5),(37 3137234.8),(38 3066636),(39 3160387.3),(40 2963859.5),(41 2964319.5),
(1 35.193867),(2 343836.53),(3 1274741.4),(4 1441779.5),(5 1441702),(6 1655734.5),(7 1729496.5),(8 1849876.9),(9 1849429.6),(10 1884036.3),(11 1927131.4),(12 2053840.6),(13 2050642.9),(14 2519471.5),(15 2923125),(16 3246141),(17 3239672.8),(18 3364057.5),(19 4007073),(20 3673582),(21 3668904.3),(22 3647709.5),(23 3512677.3),(24 3696139),(25 3693878.5),(26 3819375),(27 4021750.8),(28 4355140.5),(29 4386982),(30 4174817),(31 2666163.5),(32 2721134),(33 2720190.3),(34 2576313),(35 3119495),(36 3474445),(37 3475376),(38 3673665),(39 4022526.3),(40 4040366.3),(41 4038073.3),
(1 30.13903),(2 277523.47),(3 1019072),(4 1233059.1),(5 1232057.5),(6 1398521.4),(7 1764092.1),(8 1972625.3),(9 1971921.1),(10 2052014.4),(11 2149416.3),(12 2179346),(13 2176221.8),(14 2614689),(15 2625897.8),(16 2659072.8),(17 2658804),(18 2542973.8),(19 2508480.3),(20 2844171),(21 2842154),(22 2850623),(23 2745063.3),(24 2742777.3),(25 2748302),(26 3154913.5),(27 3359260.8),(28 3029396.8),(29 3030773.5),(30 2644017),(31 3157480.3),(32 3074140.8),(33 3075932.3),(34 3114812.8),(35 3025965.5),(36 3596861.5),(37 3603486.5),(38 3247155.3),(39 3196807.5),(40 3202167.5),(41 3202679.8),
(1 34.36951),(2 330341.9),(3 966822.25),(4 1188504.8),(5 1188165.1),(6 1459452.3),(7 2096296.8),(8 2009643.8),(9 2008900.8),(10 2091325.9),(11 2076925.5),(12 2114288.8),(13 2118857.5),(14 2251428.5),(15 2348037.3),(16 2631738.8),(17 2633919),(18 2497756.8),(19 2336812.5),(20 2409847.8),(21 2409235.5),(22 2503259),(23 2567996.8),(24 2613535),(25 2619149.8),(26 2966967.8),(27 3195883.8),(28 2976823.8),(29 2972529),(30 2815626.3),(31 2483467.5),(32 2333500.5),(33 2334081.5),(34 2434842),(35 2498725.5),(36 2694201.5),(37 2691554.5),(38 2587349.5),(39 2953213.5),(40 3044799.3),(41 3044538.3),
(1 31.518312),(2 316489.1),(3 991377.1),(4 1275697.8),(5 1278219.5),(6 1574342.9),(7 1588537.6),(8 1693685.8),(9 1693442.3),(10 1848899.9),(11 2013574.9),(12 2538566),(13 2542801),(14 2647274.3),(15 2597940.5),(16 2391841.5),(17 2396642.8),(18 2527195.8),(19 2395344),(20 2719293.8),(21 2721106),(22 2516913),(23 3176283),(24 3376379),(25 3375383.8),(26 3152901.8),(27 3273458.8),(28 3093556),(29 3093746.5),(30 2680388.3),(31 2661868.3),(32 2603414.8),(33 2605748),(34 2408573.5),(35 2672472.3),(36 2920610.3),(37 2922457),(38 2906218.8),(39 3057736.3),(40 3121831),(41 3123254.8),
(1 32.121857),(2 279096.94),(3 1051833.9),(4 1195726.5),(5 1198753.4),(6 1477658.4),(7 2063753.1),(8 1924929),(9 1925967),(10 1875294.6),(11 2023954.6),(12 2052905.5),(13 2050661.1),(14 2019628),(15 2123848.5),(16 2159784.8),(17 2162331.8),(18 2261993),(19 2046728.8),(20 2070889.1),(21 2073944.6),(22 2171398.3),(23 2589488.5),(24 2754235.5),(25 2763031.3),(26 2901714),(27 2625625.3),(28 2544547.8),(29 2546708.5),(30 2533468.5),(31 2360880.8),(32 2244111.5),(33 2244350.3),(34 1997197.9),(35 2207876.3),(36 2058418.6),(37 2058794.6),(38 2255113.8),(39 2355273.3),(40 2438704.5),(41 2438211),
(1 32.962578),(2 234501.31),(3 1050092.8),(4 1104157),(5 1105361.1),(6 1229413.1),(7 1477840),(8 1446776.8),(9 1448351.1),(10 1481797.8),(11 1417310.3),(12 1477737.8),(13 1477968.5),(14 1712181.1),(15 1801096.5),(16 1961622.4),(17 1966028.8),(18 1934641.3),(19 1707924.3),(20 1763655.5),(21 1764477.4),(22 1722378.6),(23 1776936.4),(24 1848429.9),(25 1848664.9),(26 1883158.4),(27 2235759),(28 1992815.5),(29 2000649.8),(30 1913184.5),(31 1764892.1),(32 1865209.8),(33 1863353.6),(34 1908171),(35 1675890.1),(36 1912713.1),(37 1914861.1),(38 2007626.6),(39 1971031.1),(40 1935273.4),(41 1934585.3),
(1 28.039803),(2 257022.45),(3 873034.8),(4 1092750.9),(5 1092440.8),(6 1339948.4),(7 1347556.3),(8 1293705.4),(9 1293008.5),(10 1323274.5),(11 1240792.3),(12 1474684.8),(13 1473224.4),(14 1657533.6),(15 1792288.4),(16 1794112.6),(17 1794883.5),(18 1815220.5),(19 2034452.3),(20 1920058.4),(21 1920211.1),(22 1784694.8),(23 1710024.6),(24 1593202.4),(25 1593927.3),(26 1833645.5),(27 2184459.3),(28 2192317.8),(29 2198181.8),(30 2283076),(31 2225141.5),(32 2135162.8),(33 2136401),(34 2061057.6),(35 1969439.6),(36 2094737.6),(37 2097036.5),(38 2209266.5),(39 2098864.5),(40 2146495),(41 2146243.5),
(1 33.248898),(2 237885.42),(3 908495.2),(4 1093758.8),(5 1093055.8),(6 1295101.4),(7 1490063),(8 1516655.6),(9 1518160.5),(10 1370950.4),(11 1321559.6),(12 1540732.1),(13 1540081.6),(14 1711614),(15 1843155.4),(16 1940966),(17 1941526.4),(18 2015552.9),(19 2089899.1),(20 1936258),(21 1936861.4),(22 1741541.6),(23 1796971),(24 2045786.4),(25 2045703),(26 2227569.5),(27 2169819),(28 2245199.8),(29 2250775.3),(30 2290226.5),(31 2119164.8),(32 2094599.9),(33 2095032.4),(34 1978165.4),(35 1660824.4),(36 1856531.9),(37 1855611),(38 2215872.3),(39 2191704.3),(40 2043378.9),(41 2043917),
(1 30.54956),(2 202073.1),(3 784506.06),(4 985916.9),(5 988414.44),(6 1299675.6),(7 1381952.9),(8 1423638.6),(9 1423336.3),(10 1291624.1),(11 1347552),(12 1442581.3),(13 1441183.8),(14 1691759.9),(15 1938021.3),(16 1845093.6),(17 1842880.5),(18 1845266.9),(19 1523931.8),(20 1475603),(21 1478119.8),(22 1400376.9),(23 1370380.5),(24 1394717.9),(25 1398611.4),(26 1480353.3),(27 1744296.5),(28 1892489),(29 1902382.4),(30 1831713.5),(31 1742582.4),(32 1763251.6),(33 1763111),(34 1634269.6),(35 1788107.6),(36 2157366),(37 2155511.3),(38 1883817.4),(39 1577204.5),(40 1487914.6),(41 1488440),
