1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1284482.6),(2 1485953.1),(3 513305.78),(4 1986681.9),(5 2424543.8),(6 1607201.4),(7 3200139.3),(8 3774000.8),(9 3135193.3),(10 4943810.5),(11 5499031),(12 4961428.5),(13 7014342),(14 7580462),(15 7074334.5),(16 9140571),(17 10081803),(18 9735067),(19 11537677),(20 12151601),(21 11683453),(22 13621967),(23 14487136),(24 14291944),(25 16368637),(26 17484720),(27 17669784),(28 20561816),(29 22148800),(30 22338860),(31 25439566),(32 27157520),(33 27479994),(34 30363214),(35 32064160),(36 32254894),(37 34817052),(38 36026612),(39 35470324),(40 37533510),(41 39025364),(42 38562556),(43 40978684),(44 42558820),(45 41941004),(46 44351356),(47 46451764),(48 46268892),(49 48804100),(50 50957664),(51 50482252),(52 52649010),(53 54414372),(54 54001412),(55 55982830),(56 57686284),(57 56772780),(58 59355468),(59 61342796),(60 60776800),(61 62839180),(62 65054748),(63 64006612),(64 65540850),(65 67728136),(66 66771748),(67 68693280),(68 70793510),(69 69768580),(70 71177480),(71 73487064),(72 72487096),(73 73743304),(74 76025620),(75 74529570),(76 75519670),(77 77942370),(78 76573650),(79 77161464),
(1 22043.996),(2 39787.91),(3 47920.79),(4 50145.926),(5 52199.402),(6 56296.297),(7 55729.977),(8 56057.824),(9 56392.86),(10 58514.043),(11 60076.11),(12 60377.797),(13 60870.22),(14 61205.242),(15 63813.105),(16 65048.492),(17 66439.695),(18 67375.836),(19 68624.484),(20 69883.84),(21 71695.64),(22 73728.19),(23 72823.84),(24 74735.61),(25 76043.4),(26 75621.51),(27 76758.59),(28 78021.984),(29 81404.84),(30 82255.8),(31 83184.28),(32 83587.695),(33 84403.93),(34 85248.695),(35 84064.66),(36 85270.63),(37 84821.34),(38 84974.375),(39 85141.234),(40 83859.79),(41 84152.75),(42 84858.81),(43 85309.05),(44 84725.62),(45 85404.43),(46 84812.984),(47 85033.94),(48 84239.93),(49 83997.375),(50 85593.39),(51 86221.266),(52 87013.43),(53 86016.32),(54 85662.414),(55 85267.14),(56 85307),(57 84958.836),(58 83209.18),(59 82524),(60 82629.81),(61 84164.44),(62 84502.29),(63 83814.266),(64 83793.36),(65 83350.766),(66 82125.35),(67 81533.984),(68 81105.984),(69 81364.54),(70 81036.82),(71 79786.7),(72 78862.766),(73 79144.66),(74 79721.43),(75 79674.76),(76 78676.43),(77 76152.414),(78 75797.164),(79 75917.75),
(1 21066.928),(2 37474.695),(3 44306.83),(4 46095.05),(5 47756.086),(6 49602.707),(7 48924.816),(8 49765.547),(9 49706.38),(10 51141.44),(11 51490.293),(12 52577.793),(13 53809.72),(14 54489.953),(15 57818.996),(16 59503.926),(17 61307.53),(18 62756.44),(19 65267.867),(20 65908.42),(21 65580.14),(22 65762.055),(23 64600.08),(24 67897.84),(25 70290.34),(26 71605.125),(27 73121.164),(28 73024.79),(29 75464.63),(30 76252.94),(31 78674.77),(32 79454.12),(33 79120.2),(34 79433.23),(35 78412.234),(36 79236.1),(37 79251.08),(38 80746.516),(39 79980.86),(40 80358.98),(41 81415.14),(42 82105.65),(43 81483.65),(44 80526.36),(45 80554.18),(46 79285.836),(47 78372.69),(48 78592.414),(49 78931.46),(50 78866.16),(51 79582.766),(52 80902.99),(53 79268.03),(54 78183.22),(55 77255.53),(56 77137.305),(57 76119.9),(58 74788.59),(59 75038.08),(60 74861.02),(61 74315.586),(62 73336.54),(63 73778.984),(64 73603.875),(65 72900.586),(66 72862.1),(67 71208.25),(68 70544.02),(69 69423.336),(70 69224.97),(71 68879.36),(72 68319.26),(73 67703.16),(74 66942.84),(75 66355.77),(76 66299.7),(77 65249.355),(78 64839.668),(79 64794.313),
(1 20193.79),(2 35665.785),(3 42083.863),(4 44583.45),(5 46580.902),(6 48746.703),(7 48722.895),(8 49737.64),(9 50325.64),(10 52427.03),(11 52573.87),(12 53166.25),(13 54119.02),(14 55342.98),(15 58003.31),(16 59545.09),(17 61495.55),(18 62843.91),(19 64318.31),(20 66866.57),(21 66985.74),(22 67646.84),(23 67536.79),(24 70239.664),(25 69679.89),(26 70353.06),(27 72729.586),(28 72763.016),(29 72857.12),(30 73535.36),(31 76254.94),(32 75903.33),(33 74459.58),(34 74001.914),(35 74295.555),(36 74853.28),(37 74994.13),(38 75694.51),(39 75133.66),(40 75529.34),(41 76652.836),(42 78214.805),(43 76204.12),(44 76424.79),(45 77017.29),(46 75881.625),(47 75151.34),(48 73797.375),(49 73156.016),(50 72958.89),(51 73654.41),(52 74787.625),(53 73747.016),(54 71801.89),(55 70809.72),(56 71345.82),(57 71656.14),(58 71812.13),(59 71990),(60 71205.625),(61 71352.375),(62 70411.73),(63 70222.914),(64 69740.414),(65 69887.17),(66 69746.37),(67 67888.67),(68 67106.49),(69 66066.62),(70 65462.91),(71 65514.332),(72 65455.348),(73 64889.41),(74 64160.97),(75 63695.563),(76 62187.906),(77 61178.402),(78 60723.13),(79 60453.348),
(1 19708.857),(2 34567.414),(3 39903.676),(4 42995.688),(5 45748.973),(6 47957.25),(7 48019.297),(8 49144.902),(9 50193.78),(10 50546.47),(11 49762.035),(12 50197.277),(13 51406.605),(14 52242.797),(15 53445.953),(16 55123.715),(17 57340.848),(18 57893.76),(19 60156.26),(20 62183.54),(21 62269.62),(22 62431.773),(23 62953.977),(24 64482.473),(25 63958.01),(26 63370.01),(27 64619.414),(28 65599.234),(29 66019.46),(30 67270.92),(31 69461.29),(32 69721.45),(33 69428.92),(34 69034.914),(35 69492),(36 69612.97),(37 70175.11),(38 70139.914),(39 69549.93),(40 71049.1),(41 71068.26),(42 71173.414),(43 70746.34),(44 71009.664),(45 70744.97),(46 69314.914),(47 70523.914),(48 71292.93),(49 70706.83),(50 69673.04),(51 69886.664),(52 70142.99),(53 70286.79),(54 69672.086),(55 68422.72),(56 68244.28),(57 68432.734),(58 68396.01),(59 68272.08),(60 68246.09),(61 67623.41),(62 67972.1),(63 67927.33),(64 67275.92),(65 66855.695),(66 65808.195),(67 64646.395),(68 64578.434),(69 64363.895),(70 63980.313),(71 64180.395),(72 63877.07),(73 63549.414),(74 64015.74),(75 63786.727),(76 63725.207),(77 62778.85),(78 61899.86),(79 61246.02),
(1 18779.018),(2 33005.24),(3 38517.242),(4 40620.926),(5 43062.8),(6 44682.61),(7 45257.99),(8 46213.582),(9 47098.27),(10 47684),(11 47987.234),(12 48645.73),(13 49963.277),(14 50477.207),(15 52617.56),(16 54520.035),(17 55488.184),(18 56013.684),(19 57840.496),(20 59096.9),(21 59537.55),(22 60002.816),(23 60005.96),(24 62648.88),(25 63450.063),(26 64346.875),(27 66301.15),(28 67248.27),(29 68658.805),(30 69819.7),(31 70617.305),(32 69434.77),(33 69523.1),(34 69550.7),(35 69827.62),(36 69593.28),(37 69149.44),(38 70529.85),(39 70969.3),(40 71246.445),(41 71560.8),(42 71529.25),(43 70544.28),(44 69912.21),(45 68988.25),(46 69086.586),(47 69943.8),(48 69005.78),(49 68557.055),(50 68415.82),(51 68352.31),(52 69061),(53 68522.27),(54 66637.85),(55 65504.61),(56 65139.332),(57 65285.83),(58 64990.7),(59 65375.44),(60 65432.695),(61 63895.023),(62 63417.637),(63 62948.27),(64 62432.34),(65 61999.44),(66 61556.996),(67 60507.34),(68 61082.19),(69 60890.62),(70 59517.953),(71 59421.32),(72 59827.668),(73 59309.28),(74 58586.316),(75 58555.04),(76 57647.46),(77 57458.496),(78 56654.156),(79 56736.406),
(1 18251.57),(2 31695),(3 37535.855),(4 40797.68),(5 42720.14),(6 43813.3),(7 45013.52),(8 45674.855),(9 46276.53),(10 46670.836),(11 47314.72),(12 47556.08),(13 48376.25),(14 50409.246),(15 51952.89),(16 52773.816),(17 53348.473),(18 54209.824),(19 55994.336),(20 57555.887),(21 59245.633),(22 59075.68),(23 59570.23),(24 62125.53),(25 63634.95),(26 63249.38),(27 64453.1),(28 66176.055),(29 67973.22),(30 70095.26),(31 71784.86),(32 71179.76),(33 68986.46),(34 69534.49),(35 69255.42),(36 69189.46),(37 69287.65),(38 69677.19),(39 70947.945),(40 70744.34),(41 71015.77),(42 69930.88),(43 69875.2),(44 69814.03),(45 69216.46),(46 69687.9),(47 69803.76),(48 69086.07),(49 68326.27),(50 69402.01),(51 69998.57),(52 69834.85),(53 69212.72),(54 68760.555),(55 67970.1),(56 66781.41),(57 66793.64),(58 67191.56),(59 67376.02),(60 67099.8),(61 66687.016),(62 65903.21),(63 65199.2),(64 63169.355),(65 62229.703),(66 62440.48),(67 62322.004),(68 61843.508),(69 61711.777),(70 61551.16),(71 61810.04),(72 61195.805),(73 60526.938),(74 60753.656),(75 59988.793),(76 59131.863),(77 58603.453),(78 58273.727),(79 58478.207),
(1 18843.916),(2 33116.547),(3 38083.188),(4 40588.402),(5 43325.035),(6 44962.28),(7 46245.816),(8 46156.72),(9 47030.344),(10 47022.145),(11 47186.387),(12 47874.85),(13 48304.68),(14 49738.332),(15 51751.57),(16 53865.137),(17 54177.13),(18 55611.05),(19 58155.195),(20 59657.598),(21 61155.645),(22 59943.438),(23 59935.684),(24 61138.563),(25 62438.938),(26 62407.68),(27 63325.23),(28 64379.723),(29 65692.21),(30 67341.086),(31 69366.8),(32 69609.06),(33 68886.22),(34 69409.086),(35 69193.07),(36 68522.8),(37 67775.22),(38 68631.86),(39 70033.125),(40 69683.234),(41 69447.92),(42 67836.12),(43 66454.5),(44 65447.15),(45 66033.26),(46 66991.734),(47 66347.92),(48 65338.844),(49 64817.664),(50 65578.14),(51 64807.297),(52 63563.723),(53 62964.28),(54 63335.703),(55 62585.637),(56 61730.184),(57 61751.637),(58 61565.36),(59 61340.188),(60 61312.188),(61 61094.574),(62 61061.266),(63 61442.266),(64 60536.56),(65 58723.13),(66 58620.91),(67 58424.773),(68 57472.24),(69 56235.293),(70 56616.563),(71 57061.07),(72 57391.6),(73 57949.402),(74 58503.164),(75 58479.97),(76 58148.695),(77 57459.867),(78 56798.12),(79 55512.703),
(1 18587.09),(2 31662.14),(3 36489.914),(4 39130.754),(5 41493.246),(6 43777.164),(7 44410.86),(8 44835.605),(9 46288.605),(10 46537.977),(11 46333.46),(12 48238.453),(13 48900.527),(14 49791.19),(15 51264.984),(16 52117.887),(17 52877.336),(18 54247.984),(19 55633.05),(20 57588.63),(21 57838.324),(22 57629.145),(23 58906.855),(24 60177.707),(25 61705.227),(26 61262.527),(27 62587.45),(28 63956.566),(29 64880.477),(30 66496.99),(31 67624.98),(32 68071.17),(33 67651.91),(34 67597.77),(35 66673.39),(36 66501.56),(37 66950.766),(38 67587.31),(39 68280.79),(40 67684.93),(41 67169.95),(42 66309.41),(43 65799.695),(44 64527.113),(45 63301.938),(46 63232.816),(47 63622.348),(48 63370.375),(49 63685.203),(50 63567.293),(51 62710.836),(52 62011.215),(53 62272.676),(54 61663.977),(55 61173.945),(56 60741.004),(57 59531.14),(58 59984.805),(59 60654.215),(60 61670.203),(61 61451.785),(62 61444.9),(63 60796.926),(64 60268.055),(65 59506.9),(66 58592.586),(67 58024.527),(68 57621.395),(69 56707.137),(70 56973.82),(71 57150.426),(72 56760.1),(73 57082.04),(74 57338.55),(75 57632.49),(76 58173.715),(77 56505.234),(78 55848.844),(79 55413.035),
(1 18372.236),(2 31551.572),(3 37086.2),(4 39630.26),(5 41701.547),(6 42722.18),(7 43940.023),(8 44322.582),(9 44518.74),(10 45286.465),(11 45884.96),(12 47351.82),(13 47590.35),(14 48252.363),(15 49941.742),(16 51054.25),(17 51453.027),(18 53243.52),(19 54895.418),(20 56557.22),(21 56317.934),(22 56295.816),(23 56874.53),(24 57948.883),(25 59688.18),(26 60266.69),(27 62043.3),(28 63046.855),(29 64117.516),(30 65299.65),(31 66133.05),(32 66157.34),(33 65908.5),(34 65949.77),(35 65406.43),(36 65168.1),(37 65756.58),(38 66896.695),(39 67153.58),(40 65896.86),(41 65331.453),(42 64106.285),(43 63132.938),(44 63143.273),(45 62848.246),(46 62896.96),(47 62465.82),(48 61275.766),(49 62609.34),(50 62515.09),(51 62037.703),(52 60854.81),(53 60056.27),(54 59197.32),(55 58709.43),(56 58420.363),(57 58484.184),(58 58219.715),(59 58094.516),(60 58240.715),(61 57454.574),(62 56331.14),(63 56531.234),(64 56714.375),(65 57048.727),(66 57448.633),(67 57136.9),(68 56308.484),(69 56020.26),(70 55825.742),(71 56209.95),(72 56721.117),(73 57213.855),(74 56753.742),(75 57177.543),(76 57186.664),(77 56915.82),(78 56124.793),(79 56573.586),
(1 17524.361),(2 30305.926),(3 35186.715),(4 37916.63),(5 41185.793),(6 42799.855),(7 43391.11),(8 44735.66),(9 45130.51),(10 45084.656),(11 45328.332),(12 45951.71),(13 46876.06),(14 47787.438),(15 50217.863),(16 50621.883),(17 50819.016),(18 51740.504),(19 53197.184),(20 53904.1),(21 54559.996),(22 55930.46),(23 56705.37),(24 57342.773),(25 58138.64),(26 58354.01),(27 59420.48),(28 59654.18),(29 60718.316),(30 61255.445),(31 63518.273),(32 64009.207),(33 63855.58),(34 64257.42),(35 63866.004),(36 64522.563),(37 64529.953),(38 63711.45),(39 64029.36),(40 63598.01),(41 63212.82),(42 62595.78),(43 61621.258),(44 60945.21),(45 60907.66),(46 60985.176),(47 60333.523),(48 59128.92),(49 60039.547),(50 58868.566),(51 58213.3),(52 57641.773),(53 57357.9),(54 58263.1),(55 58723.223),(56 59010.67),(57 58576.973),(58 57424.61),(59 57074.176),(60 57218.94),(61 56689.766),(62 56500.668),(63 57010.42),(64 56660.047),(65 56276.586),(66 56736.945),(67 57136.445),(68 56596.867),(69 55771.742),(70 56328.895),(71 56189.99),(72 55996.418),(73 56509.953),(74 55960.824),(75 56071.613),(76 56684.76),(77 56636.035),(78 55907.566),(79 55457.613),
(1 17087.848),(2 29500.861),(3 33939.418),(4 36922.21),(5 39885.742),(6 41375.473),(7 41970.58),(8 42978.3),(9 42864.613),(10 42691.395),(11 43315.707),(12 43750.566),(13 43737.355),(14 44350.16),(15 46173.535),(16 46978.273),(17 47798.684),(18 48806.95),(19 50472.023),(20 52354),(21 52758.152),(22 52986.88),(23 53483.426),(24 54787.7),(25 55841.18),(26 56784.82),(27 57508.188),(28 58328.176),(29 59017.523),(30 59584.492),(31 61953.313),(32 63001.574),(33 62706.016),(34 61824.727),(35 61428.918),(36 61135.766),(37 61790.03),(38 61077.332),(39 60954.492),(40 60668.617),(41 60583.176),(42 59794.164),(43 59713.668),(44 60413.105),(45 60684.11),(46 60047.16),(47 59603.97),(48 59218.777),(49 57966.574),(50 55640.35),(51 54029.477),(52 53806.387),(53 53715.996),(54 54058.44),(55 54928.73),(56 55161.96),(57 55113.594),(58 54881.73),(59 54746.36),(60 54867.125),(61 54661.18),(62 54917.277),(63 55246.684),(64 54499.832),(65 53094.688),(66 52721.703),(67 51945.285),(68 51914.496),(69 51568.688),(70 50634.49),(71 50709.78),(72 51351.29),(73 51467.3),(74 51163.492),(75 50330.4),(76 50329.758),(77 49801.93),(78 49537.367),(79 49281.67),
(1 16405.1),(2 28365.31),(3 32569.654),(4 35524.86),(5 37954.08),(6 39152.855),(7 40198.934),(8 40776.97),(9 40548.883),(10 41233.83),(11 41288.813),(12 41902.055),(13 42662.47),(14 44034.918),(15 45488.063),(16 46366.473),(17 46927.12),(18 47721.137),(19 48850.227),(20 50222.918),(21 50632.855),(22 51033.67),(23 51561.72),(24 53254.145),(25 54413.207),(26 54965.313),(27 55830.324),(28 57208.88),(29 58084.496),(30 57446.617),(31 58259.367),(32 59502.66),(33 59418.28),(34 59674.12),(35 60110.12),(36 60232.836),(37 61197.984),(38 61336.12),(39 61926.68),(40 61797.05),(41 60762.543),(42 59314.59),(43 59019.32),(44 59624.42),(45 59461.824),(46 58305.19),(47 58243.227),(48 56803.348),(49 55276.83),(50 54181.85),(51 53213.33),(52 52327.023),(53 53552.516),(54 54197.73),(55 54439.54),(56 53882.8),(57 52533.89),(58 51163.78),(59 50858.813),(60 50812.254),(61 50061.895),(62 50825.27),(63 50993.92),(64 50759.066),(65 50432.97),(66 50784.62),(67 50825.395),(68 51225.145),(69 51279.12),(70 51029.633),(71 51192.227),(72 51109.32),(73 50743.125),(74 50634.99),(75 50162.977),(76 49780.707),(77 50244.92),(78 50673.617),(79 50611.2),
(1 16922.813),(2 28961.91),(3 32495.389),(4 35371.746),(5 37556.965),(6 38837.188),(7 39206.99),(8 40067.2),(9 40237.004),(10 40191.6),(11 40338.293),(12 40838.707),(13 41902.234),(14 42824.543),(15 45041.207),(16 46184.563),(17 47030.69),(18 47395.215),(19 48103.813),(20 49251.24),(21 49758.24),(22 50570.164),(23 50484.46),(24 52328.605),(25 53527.434),(26 54381.94),(27 55377.62),(28 55741.496),(29 56499.234),(30 56902.06),(31 57896.027),(32 59138.844),(33 59112.3),(34 59337.87),(35 58882.24),(36 58777.42),(37 58638.117),(38 57792.492),(39 57672.973),(40 57847.76),(41 56950.703),(42 55569.297),(43 55167.492),(44 56085.906),(45 56540.258),(46 55050.816),(47 54717.69),(48 53784.355),(49 53043.9),(50 53164.734),(51 52705.11),(52 52307.73),(53 52626.82),(54 53540.535),(55 53767.86),(56 53412.83),(57 52736.53),(58 51309.348),(59 50957.926),(60 51316.86),(61 50907.438),(62 51388.34),(63 52287.098),(64 51959.902),(65 50788.367),(66 51020.676),(67 51687.883),(68 51707.297),(69 50978.043),(70 50390.31),(71 49732.61),(72 49718.285),(73 48830.953),(74 47827.76),(75 48842.023),(76 49490.44),(77 49676.293),(78 49134.117),(79 49591.164),
(1 16240.016),(2 27999.664),(3 31636.352),(4 33822.44),(5 36889.72),(6 37596.168),(7 37176.94),(8 37948.566),(9 39224.89),(10 38614.45),(11 39459.82),(12 40407.91),(13 41404.613),(14 42358.09),(15 45041.734),(16 46377.29),(17 46846.66),(18 47545.445),(19 48448.074),(20 49046.6),(21 49411.707),(22 50581.383),(23 50940.86),(24 51585.082),(25 51801.242),(26 53257.184),(27 54400.62),(28 55867.01),(29 56840.703),(30 56280.71),(31 57511.02),(32 60156.203),(33 59824.043),(34 59449.97),(35 58951.863),(36 58973.66),(37 58027.85),(38 57724.273),(39 57016.01),(40 57628.535),(41 57714.523),(42 58085.125),(43 57796.965),(44 57484.445),(45 56442.445),(46 55950.29),(47 55082.066),(48 53600.72),(49 52957.63),(50 52490.867),(51 52415.2),(52 51814.066),(53 52263.035),(54 52497.723),(55 52794.2),(56 52681.78),(57 50990.984),(58 50496.973),(59 50635.72),(60 50170.164),(61 50215.03),(62 50938.242),(63 51051.83),(64 50310.344),(65 49739.08),(66 49945.836),(67 49985.32),(68 50194.395),(69 50664.64),(70 49992.03),(71 50041.72),(72 49170.14),(73 49251.434),(74 49103.74),(75 48862.01),(76 48369.016),(77 48568.605),(78 48068.18),(79 47358.26),
(1 15713.375),(2 26356.947),(3 30336.334),(4 32783.574),(5 35426.676),(6 36790.49),(7 37527.973),(8 38187.754),(9 39197.957),(10 38665.652),(11 39039.11),(12 40732.473),(13 41598.87),(14 42776.504),(15 45267.72),(16 45368.707),(17 45736.58),(18 46322.78),(19 47237.004),(20 48508.13),(21 49704.25),(22 49449.855),(23 49589.863),(24 50685.926),(25 51686.566),(26 51925.09),(27 52229.92),(28 53063.05),(29 53622.375),(30 53138.934),(31 53679.17),(32 54846.793),(33 55765.145),(34 56171.824),(35 55974.605),(36 56351.613),(37 54598.637),(38 54073.094),(39 54327.246),(40 54641.24),(41 53720.684),(42 53053.824),(43 52398.188),(44 51346.113),(45 51010.3),(46 50387.563),(47 50325.02),(48 49703.527),(49 48723.95),(50 47766.215),(51 47457.94),(52 47339.316),(53 48094.56),(54 48019.887),(55 48004.063),(56 47522.707),(57 46074.105),(58 45581.08),(59 45177.41),(60 43983.965),(61 44233.973),(62 44700.574),(63 45099.434),(64 45098.63),(65 45305.44),(66 46366.918),(67 46068.61),(68 46111.78),(69 46277.887),(70 46359.316),(71 46645.734),(72 46942.86),(73 47250.105),(74 46990.457),(75 46020.953),(76 46008.344),(77 46996),(78 46483.53),(79 46573.535),
(1 16014.374),(2 26689.043),(3 30604.008),(4 32636.408),(5 34414.07),(6 35347.1),(7 37044.81),(8 37288.02),(9 37485),(10 37435.848),(11 37517.492),(12 37602.89),(13 39464.49),(14 41511.477),(15 43112.227),(16 42932.09),(17 44212.117),(18 44607.453),(19 45433.555),(20 46354.035),(21 47429.67),(22 47451.71),(23 48099.473),(24 49326.24),(25 50584.19),(26 50897.617),(27 51521.355),(28 52609.18),(29 53271.316),(30 53978.92),(31 55168.19),(32 56053.234),(33 55092.55),(34 54678.98),(35 54603.81),(36 54739.27),(37 53596.15),(38 52852.582),(39 52022.773),(40 51625.645),(41 51552.043),(42 51224.09),(43 50650.914),(44 50369.06),(45 49895.09),(46 50070.434),(47 50009.137),(48 49286.8),(49 48154.656),(50 47851.555),(51 47272.582),(52 46693.133),(53 46237.984),(54 46935.16),(55 48156.832),(56 48529.914),(57 47480.4),(58 46634.355),(59 46285.594),(60 46091.508),(61 45987.863),(62 45463.28),(63 46126.035),(64 45920.848),(65 45636.94),(66 45850.31),(67 45932.117),(68 45503.84),(69 45408.6),(70 45135.39),(71 45314.406),(72 45824.344),(73 46343.863),(74 46048.625),(75 45818.98),(76 45168.63),(77 45397.344),(78 46570.137),(79 48053.805),
(1 15591.155),(2 25448.21),(3 29034.174),(4 31302.465),(5 33194.586),(6 33778.434),(7 34381.46),(8 33826.523),(9 33970.867),(10 34628.63),(11 35869.098),(12 36476.38),(13 38372.844),(14 39371.84),(15 40180.51),(16 40599.613),(17 41016.063),(18 40808.113),(19 41819.477),(20 42409.8),(21 43365.78),(22 43651.156),(23 44328.97),(24 46094.97),(25 47023.883),(26 47488.055),(27 48530.348),(28 49141.164),(29 49929.46),(30 50528.664),(31 51468.14),(32 53069.59),(33 54059.594),(34 53815.33),(35 53312.55),(36 52411.52),(37 51954.945),(38 51077.45),(39 51432.65),(40 50381.695),(41 49770.57),(42 49093.57),(43 48807.15),(44 48382.43),(45 47178.332),(46 47787.273),(47 47298.35),(48 46825.914),(49 46774.29),(50 46382.855),(51 45363.695),(52 44983.914),(53 45088.78),(54 45355.434),(55 45057.23),(56 44481.664),(57 43553.547),(58 43176.64),(59 42670.797),(60 42499.816),(61 42688.29),(62 42595.973),(63 43363.066),(64 43702.496),(65 44093.023),(66 44239.93),(67 43553.992),(68 43457.76),(69 43574.086),(70 42777.633),(71 42409.35),(72 43195.402),(73 43980.523),(74 44380.83),(75 44139.94),(76 43956.605),(77 43959.65),(78 44517.668),(79 44134.395),
(1 14849.787),(2 24350.584),(3 28047.465),(4 30193.184),(5 31681.824),(6 32616.373),(7 33057.92),(8 34100.67),(9 34684.098),(10 34806.063),(11 34927.094),(12 35389.89),(13 36710.836),(14 37763.043),(15 38373.406),(16 38698.1),(17 39297.086),(18 40333.234),(19 41795.504),(20 42394.758),(21 42974.813),(22 42743.61),(23 43440.54),(24 45572.23),(25 46486.62),(26 46565.43),(27 46739.418),(28 47164.9),(29 47762.5),(30 48987.38),(31 50176.465),(32 51293.7),(33 51738.633),(34 50768.914),(35 50240.844),(36 49891.8),(37 49189.98),(38 47713.297),(39 47478.445),(40 46628.51),(41 46367.215),(42 46743.58),(43 46653.965),(44 45747.215),(45 45087.234),(46 44606.51),(47 44325.168),(48 44188.813),(49 43619.137),(50 42808.133),(51 42533.355),(52 42079.605),(53 41725.094),(54 41953.88),(55 42051.87),(56 41840.188),(57 41653.88),(58 42035.195),(59 42146),(60 40886.24),(61 40090.297),(62 41081.17),(63 42033.49),(64 42639.348),(65 42562.72),(66 42450.223),(67 41798.09),(68 42140.523),(69 42101.906),(70 41772.348),(71 42257.902),(72 43050.582),(73 42978.164),(74 42853.58),(75 42960.25),(76 42806.527),(77 43260.26),(78 43574.617),(79 44069.137),
