1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 564689.56),(2 881545.8),(3 965248.06),(4 1953299),(5 2598464.3),(6 2827826),(7 3941844),(8 4571123.5),(9 4660719.5),(10 5659115.5),(11 6155076),(12 6028346.5),(13 6821976.5),(14 7288952.5),(15 7246757.5),(16 8122223.5),(17 8950117),(18 9254118),(19 10384623),(20 11515251),(21 12012839),(22 13280197),(23 14614720),(24 15276637),(25 16749251),(26 18379926),(27 19364392),(28 21100018),(29 23064102),(30 24299902),(31 26286622),(32 28625686),(33 30355878),(34 32466570),(35 34836590),(36 36297460),(37 38124828),(38 39978388),(39 41066510),(40 42843340),(41 45004956),(42 46450764),(43 48297020),(44 50836028),(45 52492108),(46 54655060),(47 57385264),(48 59353120),(49 61651932),(50 64407310),(51 66150270),(52 68546310),(53 71215850),(54 72804380),(55 74698136),(56 76799050),(57 77830710),(58 79090104),(59 80679304),(60 81205720),(61 81984584),(62 83313140),(63 83509896),(64 84050840),(65 85141960),(66 85276250),(67 85679816),(68 86636504),(69 86857910),(70 87436280),(71 88674184),(72 89087256),(73 89901220),(74 91385320),(75 91680930),(76 92264760),(77 93453160),(78 93391650),(79 93909030),
(1 12714.514),(2 20238.342),(3 23043.387),(4 22581.346),(5 22302.578),(6 23001.045),(7 24012.11),(8 24220.549),(9 25052.438),(10 25568.557),(11 26151.646),(12 26271.107),(13 26515.205),(14 26587.496),(15 26334.27),(16 26929.268),(17 27411.432),(18 27735.428),(19 27846.553),(20 27859.188),(21 28006.465),(22 27831.355),(23 27879.951),(24 27649.902),(25 27060.432),(26 27491.543),(27 28379.24),(28 28843.096),(29 28366.79),(30 27898.73),(31 27843.473),(32 27495.44),(33 27426.236),(34 28149.512),(35 28237.504),(36 28615.303),(37 28559.477),(38 28167.412),(39 28537.686),(40 28715.705),(41 28859.348),(42 28742.535),(43 28294.8),(44 28370.826),(45 28659.758),(46 28686.303),(47 28360.453),(48 28095.215),(49 28470.191),(50 28091.672),(51 28130.775),(52 28482.078),(53 28572.977),(54 28287.805),(55 28251.727),(56 27849.291),(57 28388.693),(58 28821.082),(59 28857.746),(60 28806.31),(61 29033.387),(62 29438.436),(63 29295.27),(64 28521.81),(65 28740.357),(66 29097.473),(67 29288.953),(68 29491.848),(69 29643.307),(70 29952.166),(71 29906.107),(72 29528.197),(73 29493.535),(74 30032.61),(75 30134.193),(76 30069.623),(77 30229.107),(78 30093.148),(79 29887.791),
(1 12349.579),(2 19228.654),(3 21268.54),(4 22196.01),(5 21947.867),(6 22712.795),(7 23369.121),(8 23971.822),(9 24663.791),(10 24716.248),(11 25454.463),(12 26027.078),(13 26775.361),(14 26766.2),(15 26448.176),(16 26650.87),(17 27243.236),(18 27532.867),(19 27859.24),(20 28122.707),(21 28165.74),(22 28376.645),(23 28428.443),(24 28016.297),(25 27971.313),(26 28684.756),(27 28966.713),(28 28922.79),(29 28206.92),(30 27717.008),(31 28018.148),(32 28246.43),(33 28607.904),(34 29135.848),(35 28309.873),(36 28203.219),(37 28621.57),(38 28695.785),(39 28761.742),(40 28981.914),(41 29046.357),(42 29121.34),(43 29439.469),(44 29474.328),(45 29630.59),(46 29059.098),(47 28594.787),(48 28712.445),(49 29269.178),(50 28749.045),(51 28746.363),(52 28580.895),(53 28504.592),(54 28274.473),(55 28482.42),(56 28407.025),(57 29139.766),(58 28880.266),(59 28748.133),(60 28840.498),(61 29021.236),(62 29472.568),(63 29316.58),(64 28823.469),(65 29349.318),(66 29356.252),(67 29226.793),(68 29670.686),(69 29664.936),(70 29161.064),(71 29277.299),(72 29618.941),(73 29658.805),(74 29742.58),(75 29890.531),(76 29782.963),(77 29675.965),(78 29168.79),(79 29325.488),
(1 12466.893),(2 19986.627),(3 21239.46),(4 21656.38),(5 21849.492),(6 22477.41),(7 23083.71),(8 23705.033),(9 23474.445),(10 24145.867),(11 24532.504),(12 25022.371),(13 25628.225),(14 26081.771),(15 25548.373),(16 25877.021),(17 25909.2),(18 25875.95),(19 26416.615),(20 27199.225),(21 27010.191),(22 26932.063),(23 27417.156),(24 27234.307),(25 26682.738),(26 27000.613),(27 27338.174),(28 27611.78),(29 27152.941),(30 26967.064),(31 26949.467),(32 27448.387),(33 27720.943),(34 27334.834),(35 27315.805),(36 27216.498),(37 27499.096),(38 27844.967),(39 27744.996),(40 27597.33),(41 27174.42),(42 26724.627),(43 27458.42),(44 27234.066),(45 27195.748),(46 27171.963),(47 27215.588),(48 27099.205),(49 27164.447),(50 26954.162),(51 27277.412),(52 27428.635),(53 27358.715),(54 26904.637),(55 27085.182),(56 27250.746),(57 27667.457),(58 27609.703),(59 27423.357),(60 27084.018),(61 27658.525),(62 27796.082),(63 27403.734),(64 27543.818),(65 27588.307),(66 28217.672),(67 28367.336),(68 28781.896),(69 28976.361),(70 28464.56),(71 28565.445),(72 29053.576),(73 29145.434),(74 29253.563),(75 29009.934),(76 29106.146),(77 29079.79),(78 29193.584),(79 29339.713),
(1 11916.326),(2 18646.926),(3 20083.104),(4 20783.389),(5 21237.076),(6 22034.814),(7 22869.586),(8 23579.707),(9 24666.918),(10 25035.037),(11 25307.314),(12 25676.627),(13 26582.334),(14 27465.781),(15 27507.2),(16 27472.883),(17 27827.994),(18 27920.201),(19 27940.457),(20 28268.988),(21 28274.291),(22 28658.988),(23 28784.205),(24 28703.96),(25 28837.633),(26 29335.082),(27 29753.754),(28 29302.604),(29 28811.094),(30 28547.355),(31 28616.998),(32 28844.004),(33 29102.469),(34 28992.033),(35 29343.441),(36 28915.113),(37 29155.836),(38 29825.639),(39 29969.854),(40 30037.254),(41 29968.088),(42 30519.637),(43 31001.197),(44 30717.52),(45 30607.291),(46 30208.133),(47 30739.809),(48 30555.223),(49 30318.445),(50 29913.283),(51 29924.527),(52 29848.055),(53 29686.975),(54 30063.309),(55 30116.875),(56 30302.322),(57 30462.275),(58 29991.205),(59 30277.018),(60 30542.723),(61 30440.934),(62 30296.96),(63 29866.719),(64 30501.553),(65 31049.08),(66 30860.707),(67 29958.074),(68 29970.06),(69 30661.32),(70 30711.861),(71 30955.611),(72 31258.377),(73 31325.865),(74 31218.463),(75 30902.256),(76 30625.578),(77 31041.287),(78 31551.62),(79 31013.291),
(1 11543.809),(2 17646.273),(3 19140.963),(4 19318.008),(5 19606.766),(6 20700.787),(7 21108.17),(8 22225.912),(9 23060.719),(10 23525.313),(11 23764.697),(12 23760.822),(13 23801.83),(14 24709.854),(15 24959.836),(16 25097.545),(17 25181.162),(18 25543.06),(19 25942.51),(20 25841.219),(21 25945.729),(22 25882.49),(23 25811.512),(24 25777.725),(25 25622.48),(26 25862.555),(27 26104.627),(28 25911.924),(29 25699.63),(30 26180.863),(31 26044.867),(32 26508.125),(33 26979.967),(34 26323.922),(35 26377.674),(36 26726.484),(37 27393.818),(38 27005.988),(39 26746.453),(40 26777.094),(41 26909.93),(42 26777.314),(43 26967.105),(44 27154.691),(45 27207.186),(46 26900.447),(47 27046.242),(48 26825.33),(49 26583.328),(50 26346.158),(51 26563.838),(52 26841.516),(53 26130.346),(54 26281.803),(55 26313.896),(56 26686.479),(57 27058.906),(58 26880.346),(59 26943.84),(60 27131.197),(61 27514.824),(62 27107.537),(63 27274.898),(64 27524.348),(65 27994.295),(66 27412.154),(67 27225.977),(68 27537.322),(69 27767.7),(70 27960.623),(71 27921.355),(72 27590.219),(73 27486.898),(74 27741.484),(75 27757.996),(76 27829.502),(77 28143.273),(78 28259.963),(79 28349.682),
(1 11536.807),(2 17841.334),(3 18950.637),(4 19316.988),(5 20083.84),(6 21020.87),(7 21626.676),(8 22666.223),(9 23617.87),(10 23878.723),(11 24141.682),(12 24228.568),(13 24577.361),(14 25183.227),(15 25811.395),(16 25861.945),(17 26638.416),(18 26770.646),(19 27596.445),(20 27763.406),(21 27771.816),(22 28028.457),(23 28504.799),(24 28182.107),(25 28020.865),(26 27965.229),(27 28667.39),(28 28139.543),(29 28275.992),(30 28276.734),(31 28217.496),(32 29135.17),(33 28844.963),(34 28826.803),(35 28832.69),(36 29093.188),(37 29412.27),(38 28966.639),(39 29635.963),(40 29769.158),(41 29466.15),(42 29728.533),(43 29598.285),(44 29750.879),(45 29409.346),(46 29635.35),(47 29625.643),(48 29540.668),(49 29735.744),(50 28904.215),(51 29040.633),(52 28718.684),(53 28416.297),(54 29058.29),(55 28915.525),(56 29299.586),(57 29214.45),(58 28740.365),(59 28850.557),(60 29153.623),(61 29098.139),(62 29208.84),(63 29094.912),(64 28814.277),(65 29315.457),(66 29703.2),(67 29001.453),(68 28462.432),(69 28442.21),(70 28942.25),(71 29066.158),(72 29376.588),(73 30297.582),(74 29839.58),(75 29534.65),(76 29430.088),(77 30073.756),(78 30347.322),(79 30653.205),
(1 11513.4795),(2 17739.377),(3 18751.68),(4 18854.734),(5 19480.938),(6 20097.363),(7 20536.887),(8 21326.463),(9 22198.094),(10 22579.334),(11 23329.365),(12 24186.46),(13 25134.732),(14 24986.188),(15 24917.455),(16 25049.898),(17 25768.3),(18 25734.996),(19 26745.787),(20 26674.014),(21 26870.035),(22 27207.15),(23 26949.732),(24 26897.021),(25 26712.525),(26 27175.365),(27 27453.248),(28 26965.22),(29 26213.563),(30 26287.154),(31 26915.365),(32 26920.428),(33 26582.639),(34 27024.504),(35 27034.004),(36 27472.78),(37 27518.025),(38 27681.139),(39 27825.592),(40 27740.01),(41 27415.203),(42 27555.045),(43 27663.781),(44 27434.92),(45 26972.89),(46 27422.602),(47 27621.018),(48 28110.4),(49 27556.252),(50 27467.271),(51 27600.33),(52 27095.496),(53 27272.861),(54 27130.682),(55 26819.969),(56 27510.932),(57 27811.143),(58 28108.926),(59 27920.727),(60 27761.367),(61 27496.176),(62 27393.43),(63 27471.719),(64 27522.65),(65 27784.164),(66 27863.988),(67 27527.922),(68 27544.482),(69 27619.885),(70 27447.73),(71 27399.334),(72 27662.744),(73 28099.932),(74 28322.332),(75 28749.662),(76 28278.908),(77 28422.707),(78 28796.893),(79 28106.06),
(1 11361.44),(2 17511.87),(3 18375.549),(4 18330.63),(5 18757.973),(6 19442.44),(7 20161.107),(8 20766.143),(9 21748.842),(10 21947.963),(11 22580.346),(12 22801.564),(13 23116.854),(14 23847.584),(15 24253.938),(16 24209.512),(17 24692.91),(18 24934.424),(19 25599.236),(20 26409.924),(21 26036.8),(22 25442.87),(23 25420.74),(24 25183.766),(25 25193.58),(26 25809.115),(27 26216.219),(28 26085.56),(29 26009.857),(30 25902.459),(31 26018.219),(32 26234.896),(33 26121.477),(34 26332.799),(35 25918.883),(36 26256.371),(37 26348.457),(38 25922.777),(39 26036.742),(40 26000.6),(41 25501.463),(42 25777.951),(43 25869.416),(44 25985.555),(45 25928.645),(46 26115.777),(47 25850.268),(48 26121.037),(49 26096.89),(50 25786.889),(51 25554.463),(52 25221.049),(53 24714.99),(54 25141.041),(55 25448.871),(56 25759.922),(57 25715.9),(58 25749.662),(59 25734.744),(60 25744.73),(61 25651.688),(62 25712.074),(63 25788.857),(64 25900.03),(65 26029.678),(66 26360.934),(67 26263.066),(68 26330.227),(69 26327.543),(70 26541.805),(71 26383.309),(72 26364.57),(73 26649.453),(74 27223.143),(75 27216.514),(76 27162.482),(77 27069.104),(78 27060.242),(79 26938.627),
(1 10942.9),(2 16878.484),(3 17931.098),(4 17906.541),(5 18053.133),(6 18663.525),(7 19757.182),(8 20547.129),(9 21079.424),(10 21338.574),(11 21994.879),(12 22053.543),(13 21990.781),(14 22100.379),(15 22638.287),(16 23160.643),(17 23384.738),(18 23467.418),(19 23554.514),(20 23746.738),(21 23883.838),(22 23799.436),(23 23967.531),(24 23979.297),(25 24196.967),(26 24627.271),(27 24534.754),(28 24157.408),(29 24210.555),(30 24348.191),(31 24466.252),(32 24655.459),(33 24611.95),(34 24522.637),(35 24459.379),(36 24639.703),(37 25151.932),(38 25185.988),(39 25219.742),(40 24930.578),(41 24943.814),(42 25378.395),(43 25174.889),(44 24929.426),(45 25132.537),(46 25140.232),(47 25267.709),(48 25224.834),(49 24921.994),(50 24894.563),(51 25029.518),(52 24955.889),(53 25044.844),(54 25023.34),(55 25142.395),(56 25153.691),(57 25389.668),(58 25101.781),(59 24840.295),(60 24550.607),(61 25209.977),(62 25631.746),(63 25406.98),(64 25557.49),(65 25862.582),(66 25487.627),(67 25267.125),(68 25598.273),(69 25684.104),(70 25838.475),(71 25911.09),(72 25580.729),(73 25581.771),(74 25602.293),(75 26023.28),(76 26564.42),(77 26122.656),(78 26239.037),(79 26059.352),
(1 10773.174),(2 16620.84),(3 17676.336),(4 17467.373),(5 17558.623),(6 18614.938),(7 19697.29),(8 20503.32),(9 20845.693),(10 21146.498),(11 21688.213),(12 22437.61),(13 22883.775),(14 23035.445),(15 23118.262),(16 23439.36),(17 23578.725),(18 23708.21),(19 24244.824),(20 24633.906),(21 24716.795),(22 25204.902),(23 24568.893),(24 24604.79),(25 24944.402),(26 25077.672),(27 25137.992),(28 25284.969),(29 25146.182),(30 25384.625),(31 25706.037),(32 24917.418),(33 24718.574),(34 25133.693),(35 24695.545),(36 24977.246),(37 25640.742),(38 25514.867),(39 25918.055),(40 25555.871),(41 25712.078),(42 25921.387),(43 26166.555),(44 26117.484),(45 26105.332),(46 25550.363),(47 25639.043),(48 26036.14),(49 25521.45),(50 25431.873),(51 25249.477),(52 24971.527),(53 25058.596),(54 25307.688),(55 25307.346),(56 25798.855),(57 25386.213),(58 25295.479),(59 25002.125),(60 24940.473),(61 25039.969),(62 24935.852),(63 24974.436),(64 24810.324),(65 24832.082),(66 24231.072),(67 24966.46),(68 24940.113),(69 24805.43),(70 24894.633),(71 24690.861),(72 24964.88),(73 25160.693),(74 25461.297),(75 25382.553),(76 24891.078),(77 25265.309),(78 25358.758),(79 25053.766),
(1 10396.201),(2 15953.16),(3 16949.85),(4 16959.072),(5 17123.588),(6 17697.492),(7 18357.629),(8 19034.99),(9 20114.844),(10 20373.748),(11 20460.822),(12 21090.088),(13 21806.543),(14 21782.422),(15 21972.375),(16 22403.328),(17 22848.469),(18 22921.664),(19 23068.842),(20 23403.527),(21 23860.781),(22 23802.033),(23 23501.861),(24 23419.223),(25 23844.379),(26 24253.45),(27 23747.729),(28 23712.037),(29 23960.666),(30 24043.197),(31 23995.996),(32 24359.115),(33 24547.848),(34 24595.672),(35 24287.074),(36 24248.49),(37 24463.164),(38 24632.469),(39 25039.629),(40 25003.547),(41 25184.713),(42 25172.832),(43 24991.416),(44 24925.186),(45 24860.83),(46 24833.705),(47 24624.77),(48 24379.021),(49 24426.586),(50 24879.33),(51 24854.654),(52 24726.482),(53 25034.045),(54 24501.4),(55 24936.22),(56 24941.16),(57 24959.068),(58 24722.008),(59 24700.898),(60 24664.104),(61 24796.51),(62 25048.967),(63 24908.248),(64 24411.775),(65 24564.97),(66 24261.746),(67 25100.152),(68 24983.354),(69 24791.695),(70 25012.3),(71 25444.492),(72 25420.428),(73 25521.584),(74 25589.424),(75 26010.574),(76 25810.813),(77 25686.492),(78 25711.771),(79 25804.895),
(1 10452.38),(2 15908.878),(3 16869.127),(4 16968.857),(5 17608.299),(6 18702.361),(7 18883.078),(8 18999.95),(9 19612.45),(10 20143.576),(11 20707.59),(12 21057.402),(13 21167.723),(14 21418.357),(15 21672.523),(16 21935.9),(17 22264.908),(18 22463.637),(19 22771.113),(20 22689.977),(21 23047.633),(22 22983.893),(23 23103.184),(24 23247.818),(25 23228.85),(26 23480.959),(27 23072.803),(28 22884.61),(29 23021.434),(30 23061.383),(31 22811.346),(32 22555.13),(33 22762.658),(34 23235.328),(35 23380.475),(36 23354.766),(37 23134.482),(38 23583.84),(39 23912.592),(40 24149.297),(41 24173.42),(42 24327.47),(43 24390.697),(44 24516.34),(45 24329.951),(46 24294.834),(47 24524.617),(48 24589.025),(49 24651.168),(50 25204.44),(51 24514.428),(52 24171.023),(53 23872.367),(54 23825.936),(55 24148.957),(56 24282.934),(57 24391.445),(58 23966.078),(59 23888.371),(60 23772.867),(61 24038.184),(62 24408.545),(63 23865.492),(64 23699.184),(65 23544.617),(66 23489.22),(67 24083.463),(68 24156.957),(69 23989.186),(70 24074.83),(71 24020.969),(72 24316.387),(73 24358.941),(74 24696.525),(75 25068.404),(76 24973.656),(77 25105.47),(78 25038.031),(79 24965.527),
(1 10069.567),(2 15216.454),(3 15968.024),(4 16184.071),(5 16935.232),(6 17530.9),(7 18369.385),(8 18872.084),(9 19331.518),(10 19826.887),(11 20199.516),(12 20531.904),(13 20988.443),(14 20949.912),(15 21121.086),(16 21745.719),(17 21902.95),(18 22093.08),(19 22440.814),(20 22465.797),(21 22896.012),(22 22907.666),(23 22374.963),(24 22746.18),(25 23305.105),(26 23374.83),(27 23019.25),(28 22713.889),(29 22615.254),(30 22260.588),(31 22192.527),(32 22220.822),(33 22754.75),(34 22718.852),(35 22990.328),(36 23145.203),(37 22790.68),(38 23287.992),(39 23504.111),(40 23146.059),(41 23534.445),(42 23471.572),(43 23789.436),(44 23817.762),(45 23529.773),(46 23089.492),(47 23170.465),(48 23198.266),(49 22986.584),(50 23082.365),(51 22941.658),(52 22651.496),(53 22745.576),(54 23042.941),(55 23108.5),(56 22797.973),(57 22613.186),(58 22796.982),(59 22511.79),(60 22499.44),(61 23033.115),(62 23378.492),(63 23339.666),(64 23152.59),(65 22773.572),(66 22862.277),(67 23429.695),(68 23663.43),(69 23830.797),(70 24249.08),(71 24481.48),(72 24751.639),(73 24589.316),(74 24901.77),(75 25407.41),(76 25637.941),(77 25148.998),(78 25349.578),(79 25046.023),
(1 9835.705),(2 15011.948),(3 15944.642),(4 16413.494),(5 16755.918),(6 17571.182),(7 18307.469),(8 18707.064),(9 19034.148),(10 19867.898),(11 20540.344),(12 20600.322),(13 21359.664),(14 21708.967),(15 21945.89),(16 22396.502),(17 22686.012),(18 22906.158),(19 23244.822),(20 23421.645),(21 23686.107),(22 23830.906),(23 23543.07),(24 23524.465),(25 23516.203),(26 23868.066),(27 23721.242),(28 23346.268),(29 23360.355),(30 23196.645),(31 23067.66),(32 23178.416),(33 23073.682),(34 23123.637),(35 22925.207),(36 22498.518),(37 22698.193),(38 22853.744),(39 22831.334),(40 22731.615),(41 23094.973),(42 23108.44),(43 22987.93),(44 22987.264),(45 23247.717),(46 23371.748),(47 23552.97),(48 23508.42),(49 23155.512),(50 23176.066),(51 23209.283),(52 23321.334),(53 23184.344),(54 23362.094),(55 23556.635),(56 23461.818),(57 23637.373),(58 23953.209),(59 23937.363),(60 24111.828),(61 24252),(62 24608.256),(63 24547.773),(64 23847.527),(65 23846.268),(66 24113.574),(67 24564.72),(68 24680.361),(69 24836.893),(70 24523.77),(71 24528.365),(72 24503.396),(73 24709.982),(74 25048.271),(75 25617.182),(76 24973.813),(77 25050.668),(78 24976.81),(79 24681.213),
(1 9891.419),(2 14760.721),(3 15620.416),(4 16072.603),(5 16377.957),(6 17469.354),(7 18464.428),(8 19368),(9 19739.188),(10 20499.553),(11 21358.537),(12 21603.248),(13 22080.203),(14 22795.078),(15 22874.256),(16 23241.172),(17 23825.18),(18 24230.65),(19 24524.96),(20 24378.059),(21 24967.898),(22 25108.186),(23 25109.957),(24 24890.568),(25 25236.996),(26 25730.984),(27 25391.531),(28 24536.467),(29 24833.8),(30 24427.729),(31 24736.62),(32 25019.588),(33 24851.98),(34 24683.291),(35 24497.242),(36 24980.271),(37 24943.639),(38 25009.34),(39 24692.256),(40 24751.84),(41 24958.04),(42 25305.107),(43 24643.975),(44 24623.69),(45 24858.547),(46 25116.023),(47 24689.963),(48 24468.816),(49 24432.055),(50 24354.56),(51 24170.59),(52 24185.764),(53 23927.547),(54 23818.797),(55 23639.879),(56 23899.393),(57 23785.246),(58 23577.215),(59 24017.316),(60 23907.166),(61 23986.58),(62 24438.537),(63 24146.527),(64 23809.852),(65 24041.908),(66 23978.098),(67 24101.012),(68 24211.479),(69 24455.912),(70 24798.86),(71 24676.66),(72 24657.53),(73 24858.168),(74 25271.479),(75 25625.297),(76 25596.813),(77 25485.148),(78 25664.346),(79 25662.26),
(1 9609.264),(2 14515.575),(3 15497.247),(4 16133.347),(5 16530.375),(6 17179.426),(7 17899.643),(8 18523.809),(9 19711.637),(10 20542.492),(11 20919.9),(12 21207.531),(13 21698.514),(14 22537.518),(15 22651.256),(16 23026.379),(17 23325.72),(18 23550.367),(19 23964.9),(20 24015.52),(21 24655.326),(22 24946.346),(23 24827.684),(24 24454.49),(25 24729.8),(26 25020.787),(27 24933.914),(28 24746.756),(29 24778.865),(30 24555.172),(31 24736.744),(32 24448.68),(33 24312.004),(34 24289.66),(35 24541.676),(36 24846.559),(37 24741.31),(38 24825.91),(39 25142.943),(40 25707.768),(41 25387.865),(42 25205.17),(43 25148.47),(44 25189.314),(45 24991.338),(46 25143.361),(47 25050.365),(48 24998.262),(49 25146.842),(50 24647.93),(51 24256.246),(52 24200.65),(53 24321.877),(54 24617.283),(55 24617.16),(56 24359.49),(57 24157.732),(58 24246.01),(59 24418.686),(60 24193.709),(61 24070.83),(62 24323.168),(63 24078.725),(64 24305.383),(65 24569.182),(66 24432.98),(67 24456.838),(68 24852.518),(69 24984.16),(70 25308.965),(71 25455.338),(72 25619.254),(73 25637.227),(74 25718.63),(75 25719.941),(76 25490.904),(77 25955.787),(78 26092.28),(79 25957.516),
(1 9431.154),(2 13605.951),(3 14799.415),(4 15483.083),(5 15964.871),(6 16588.4),(7 17934.607),(8 18763.719),(9 18972.451),(10 19761.416),(11 19892.594),(12 20178.18),(13 21111.164),(14 21911.09),(15 22367.684),(16 23052.799),(17 23108.867),(18 23645.475),(19 23977.94),(20 23733.748),(21 24339.25),(22 24533.965),(23 24749.375),(24 24998.197),(25 24722.184),(26 24573.18),(27 24978.658),(28 25466.203),(29 25068.936),(30 25062.326),(31 25153.422),(32 25174.984),(33 24945.281),(34 24479.908),(35 24480.998),(36 24707.283),(37 24780.346),(38 24429.154),(39 24549.969),(40 25229.645),(41 24990.773),(42 24834.342),(43 25164.533),(44 25617.84),(45 25267.08),(46 25008.475),(47 25306.617),(48 25619.479),(49 25359.59),(50 25364.723),(51 25277.398),(52 25158.908),(53 24912.54),(54 25110.828),(55 25155.855),(56 25133.91),(57 25172.143),(58 25559.271),(59 25277.12),(60 25235.393),(61 25798.996),(62 25970.71),(63 25878.803),(64 26123.879),(65 26096.992),(66 25837.479),(67 25950.037),(68 25963.354),(69 26436.57),(70 26441.912),(71 26374.402),(72 25950.65),(73 26089.92),(74 26813.125),(75 26698.63),(76 26626.977),(77 26441.08),(78 26769.656),(79 26958.076),
(1 9810.921),(2 14179.48),(3 15195.908),(4 15742.376),(5 16275.583),(6 16917.26),(7 18006.857),(8 18452.818),(9 18626.215),(10 19043.428),(11 19657.969),(12 19933.977),(13 20809.406),(14 21140.592),(15 21504.22),(16 21971.803),(17 22208.629),(18 22352.176),(19 22764.7),(20 22618.576),(21 22663.102),(22 22734.217),(23 22807.47),(24 23030.764),(25 22804.23),(26 22657.45),(27 22730.402),(28 22784.555),(29 22397.002),(30 22560.48),(31 22630.17),(32 22383.465),(33 21851.79),(34 21872.178),(35 21987.79),(36 22057.92),(37 22138.229),(38 22189.445),(39 22401.95),(40 22279.59),(41 22137.479),(42 22391.996),(43 22597.764),(44 22560.838),(45 22915.982),(46 22971.322),(47 22898.97),(48 22960.313),(49 22796.205),(50 22881.996),(51 22667.979),(52 22694.404),(53 22891.822),(54 23062.057),(55 22782.225),(56 22591.578),(57 22679.518),(58 23086.281),(59 22931.139),(60 22846.834),(61 22721.49),(62 22696.473),(63 23080.563),(64 22806.834),(65 22824.807),(66 22616.998),(67 22353.86),(68 22584.934),(69 22932.621),(70 22887.115),(71 22647.307),(72 22800.688),(73 22803.889),(74 23620.291),(75 23453.184),(76 23406.885),(77 23462.537),(78 23534.48),(79 23734.25),
