1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 13838.2705),(2 45987.62),(3 96651.88),(4 165204.31),(5 245178.83),(6 334187.47),(7 434552.84),(8 540736.94),(9 648596.2),(10 762617.8),(11 892403.94),(12 1038870.44),(13 1199529.1),(14 1369507.1),(15 1550542.4),(16 1734330.4),(17 1916714.5),(18 2101267.8),(19 2281900.5),(20 2470512.3),(21 2659524.3),(22 2847196.3),(23 3035655.3),(24 3228402.8),(25 3421169),(26 3604758.3),(27 3797664),(28 3981692.8),(29 4184064),(30 4396184.5),(31 4624106),(32 4854019.5),(33 5090926),(34 5321768),(35 5549020.5),(36 5777020),(37 6003821.5),(38 6233132.5),(39 6488404),(40 6740109.5),(41 6995722.5),(42 7249312),(43 7505554.5),(44 7744080),(45 7978536),(46 8211761.5),(47 8469017),(48 8748328),(49 9025819),(50 9330740),(51 9655867),(52 9976425),(53 10257557),(54 10556247),(55 10850288),(56 11132883),(57 11404597),(58 11667672),(59 11931576),(60 12169208),(61 12378655),(62 12579659),(63 12780565),(64 12973447),(65 13181576),(66 13374676),(67 13575543),(68 13789601),(69 13966403),(70 14135727),(71 14273255),(72 14389040),(73 14497048),(74 14617069),(75 14735809),(76 14850329),(77 14949397),(78 15022923),(79 15099229),
(1 9260.066),(2 27213.6),(3 41996.758),(4 49691.45),(5 51704.746),(6 51312.703),(7 51082.754),(8 51051.082),(9 50655.176),(10 49473.777),(11 49152.496),(12 49723.914),(13 51218.633),(14 52923.227),(15 53694.13),(16 53803.36),(17 53057.168),(18 52063.95),(19 51516.523),(20 51598.273),(21 51934.656),(22 52202.098),(23 51872.22),(24 52139.332),(25 52771.363),(26 53435.504),(27 53639.484),(28 53726.133),(29 53093.816),(30 52686.598),(31 52847.36),(32 53478.313),(33 54487.973),(34 54848.047),(35 54918.664),(36 55241.93),(37 55735.8),(38 55947.86),(39 56011.223),(40 55575.473),(41 54936.926),(42 53971.8),(43 53513.082),(44 53643.12),(45 54042.355),(46 54210.047),(47 54771.844),(48 55287.28),(49 55453.543),(50 55365.957),(51 55846.5),(52 56853.18),(53 58515.418),(54 58918.75),(55 58105.824),(56 57130.855),(57 57070.05),(58 57206.05),(59 57420.902),(60 56988.324),(61 56825.656),(62 56864.363),(63 57165.23),(64 57649.152),(65 58030.79),(66 58477.668),(67 58232.094),(68 57602.844),(69 57505.367),(70 58039),(71 58263.79),(72 57274.02),(73 56112.676),(74 55633.996),(75 56028.395),(76 56278.746),(77 56239.273),(78 55942.64),(79 56658.637),
(1 9583.058),(2 28379.408),(3 43746.688),(4 51210.316),(5 52467.098),(6 52185.53),(7 52527.863),(8 52429.36),(9 52152.836),(10 50850.133),(11 49612.43),(12 49777.945),(13 51411.727),(14 53286.918),(15 54138.77),(16 54337.9),(17 54044.375),(18 53353.684),(19 53014.074),(20 53188.62),(21 53361.344),(22 52821.273),(23 52240.598),(24 51301.87),(25 50520.965),(26 50041.184),(27 50120.36),(28 50196.844),(29 50153.56),(30 50289.44),(31 51035.707),(32 52069.77),(33 53022.637),(34 53619.727),(35 53744.297),(36 53227.63),(37 52566),(38 51786.87),(39 50830.86),(40 49950.875),(41 49540.32),(42 49344.637),(43 49650.184),(44 50553.234),(45 52275.688),(46 53731.227),(47 54782.605),(48 54881.813),(49 55063.773),(50 55190.79),(51 55807.957),(52 56674.086),(53 57735.613),(54 58114.523),(55 57982.87),(56 57531.133),(57 57283.58),(58 56962.305),(59 56405.563),(60 56111.605),(61 56192.945),(62 56175.68),(63 55470.254),(64 54953.21),(65 55037.92),(66 55547.1),(67 55725.47),(68 55470.875),(69 55582.625),(70 56196.402),(71 57329.918),(72 57869.977),(73 57481.402),(74 56854.87),(75 56694.035),(76 56716.32),(77 56554.746),(78 55654.37),(79 55345.707),
(1 8944.621),(2 26000.117),(3 39878.69),(4 46575.22),(5 46674.43),(6 44733.42),(7 44289.15),(8 45356.742),(9 46126.34),(10 46236.332),(11 46841.95),(12 47809.914),(13 49243.793),(14 50375.793),(15 50967.887),(16 50902.246),(17 50160.277),(18 49582.76),(19 49770.31),(20 50223.867),(21 49949.098),(22 49866.79),(23 50244.887),(24 51356.03),(25 51994.84),(26 51923.05),(27 51283.465),(28 50108.887),(29 48648.855),(30 47804.523),(31 48416.688),(32 49847.863),(33 50867.66),(34 50926.523),(35 50573.938),(36 50940.67),(37 52043.98),(38 52634.664),(39 52745.07),(40 51857.684),(41 51319.563),(42 50971.69),(43 51076.09),(44 50900.59),(45 50886.043),(46 50796.668),(47 51248.625),(48 52269.113),(49 52776.727),(50 53291.94),(51 53353.33),(52 53687.258),(53 54139.8),(54 53290.977),(55 52486.46),(56 52228.125),(57 52595.758),(58 52957.11),(59 52787.7),(60 52725.5),(61 52078.63),(62 50751.19),(63 49860.8),(64 49690.813),(65 49768.246),(66 50155.883),(67 51048.406),(68 52145.31),(69 53061.266),(70 53246.535),(71 52963.96),(72 52562.484),(73 52738.902),(74 53155.79),(75 52762.97),(76 52304.95),(77 52109.246),(78 52138.93),(79 51927.457),
(1 8673.363),(2 25259.615),(3 37975.824),(4 43569.74),(5 44975.03),(6 45321.535),(7 45522.07),(8 45577.805),(9 45843.41),(10 46277.164),(11 47032.285),(12 47448.62),(13 47442.34),(14 47625.633),(15 48731.918),(16 50420.613),(17 51719.97),(18 51661.605),(19 50592.543),(20 49070.652),(21 48076.926),(22 47664.848),(23 48129.11),(24 49136.074),(25 50043.195),(26 50302.844),(27 49494.387),(28 48519.258),(29 47795.707),(30 47757.35),(31 48216.027),(32 48789.82),(33 49804.953),(34 50611.313),(35 50996.965),(36 50664.348),(37 50566.633),(38 50916.9),(39 50912.543),(40 50708.504),(41 50658.58),(42 50262.938),(43 49959.27),(44 50260.36),(45 50715.207),(46 50560.55),(47 50781.168),(48 51164.6),(49 50800.043),(50 50213.703),(51 50085.285),(52 50496.395),(53 51105.152),(54 51009.613),(55 50396.633),(56 50511.676),(57 50945.695),(58 51034.77),(59 51044.473),(60 51407.805),(61 51573.92),(62 51050.785),(63 49944.043),(64 48601.73),(65 48416.27),(66 49281.77),(67 50386.125),(68 51752.402),(69 52861.184),(70 53508.477),(71 52589.84),(72 50736.668),(73 49327.27),(74 49010.88),(75 48876.113),(76 49097.27),(77 48852.484),(78 48392.73),(79 48293.86),
(1 8777.613),(2 25300.201),(3 38507.652),(4 44192.62),(5 44533.797),(6 43346.953),(7 43253.387),(8 43728.99),(9 44355.223),(10 44842.367),(11 45192.016),(12 45925.234),(13 47039.133),(14 47072.402),(15 47282.95),(16 47841.35),(17 48327.914),(18 48470.184),(19 48094.453),(20 46812.28),(21 45759.977),(22 45819.17),(23 46633.68),(24 47303.3),(25 47362.258),(26 46881.504),(27 46545.65),(28 46502.543),(29 46395.832),(30 46323.76),(31 46464.895),(32 47077.168),(33 47735.543),(34 47695.29),(35 47432.715),(36 47021.254),(37 46175.633),(38 45631.35),(39 45318.473),(40 45084.2),(41 45154.29),(42 45190.895),(43 45994.293),(44 47091.914),(45 48062.832),(46 48294.434),(47 48775.254),(48 48541.473),(49 47881.902),(50 48343.676),(51 50067.473),(52 51795.496),(53 52357.754),(54 51186.492),(55 49826.324),(56 49689.566),(57 50118.184),(58 50300.47),(59 50010.207),(60 50190.4),(61 50649.36),(62 50646.72),(63 50104.58),(64 49261.867),(65 48816.06),(66 48681.906),(67 48833.316),(68 49134.367),(69 49807.707),(70 50077.777),(71 49812.88),(72 49774.145),(73 49195.887),(74 48473.38),(75 47864.8),(76 47631.895),(77 48543.258),(78 48631.363),(79 47843.29),
(1 8830.701),(2 24838.674),(3 36842.313),(4 42161.125),(5 42412.434),(6 40810.805),(7 39724.746),(8 39175.82),(9 39142.34),(10 39265.26),(11 40602.71),(12 42242.88),(13 43871.14),(14 44808.223),(15 45274.57),(16 45266.625),(17 44311.066),(18 43000.55),(19 41548.805),(20 40997.78),(21 41552.684),(22 42297.348),(23 43229.586),(24 45057.28),(25 45946.363),(26 45911.67),(27 45644.758),(28 44773.652),(29 43860.09),(30 43586.74),(31 44050.03),(32 44725.973),(33 45781.027),(34 46889.027),(35 47127.1),(36 46962.926),(37 47032.293),(38 46517.41),(39 45723.832),(40 44940.637),(41 44670.242),(42 44435.836),(43 45245.59),(44 46081.64),(45 45467.473),(46 44177.02),(47 43554.45),(48 43966.35),(49 44633.863),(50 45411.543),(51 46394.86),(52 46854.53),(53 46740.957),(54 46448.125),(55 46212.934),(56 46611.62),(57 47404.887),(58 47740.316),(59 47892.3),(60 47717.62),(61 47443.53),(62 47069.53),(63 46386.883),(64 45799.43),(65 45258.563),(66 44836.08),(67 44554.406),(68 45056.793),(69 46038.543),(70 46644.836),(71 46483.805),(72 45730.402),(73 45268.55),(74 45389.426),(75 45525.336),(76 45319.645),(77 45524.875),(78 46004.836),(79 46573.41),
(1 8384.561),(2 23775.537),(3 35056.938),(4 39078.156),(5 38716.863),(6 37887.973),(7 38366.152),(8 38820.355),(9 38852.594),(10 38692.77),(11 38895.344),(12 39412.5),(13 40587.734),(14 41531.09),(15 42177.406),(16 42331.21),(17 42326.586),(18 41999.598),(19 41260.797),(20 40344.47),(21 39660.086),(22 39221.62),(23 39200.49),(24 39761.496),(25 40664.676),(26 41157.61),(27 41305.805),(28 40959.14),(29 40858.313),(30 40807.74),(31 40381.203),(32 40219.125),(33 40709.594),(34 40994.992),(35 41784.477),(36 42827.48),(37 43594.99),(38 43576.7),(39 42591.48),(40 41427.754),(41 41275.574),(42 41449.023),(43 41978.824),(44 42524.242),(45 42840.51),(46 42769.28),(47 42785.363),(48 42934.164),(49 42703.9),(50 41882.58),(51 41995.813),(52 43117.465),(53 44525.77),(54 44933.76),(55 44984.063),(56 44771.96),(57 44259.703),(58 44023.84),(59 43815.57),(60 44669.324),(61 45849.7),(62 45994.453),(63 45887.797),(64 45252.56),(65 44375.44),(66 43948.594),(67 44112.668),(68 45004.656),(69 46008.1),(70 46640.105),(71 46762.477),(72 46622.406),(73 46090.234),(74 45354.68),(75 44909.7),(76 44765.063),(77 44787.973),(78 45373.78),(79 46243.22),
(1 8297.499),(2 23388.393),(3 34651.09),(4 38890.77),(5 39031.945),(6 38712.992),(7 38952.523),(8 39381.684),(9 39566.19),(10 39146.36),(11 38728.895),(12 38838.242),(13 39425.89),(14 40139.5),(15 40788.7),(16 40825.434),(17 40811.32),(18 40847.805),(19 41099.62),(20 40931.16),(21 40598.07),(22 40174.777),(23 39919.02),(24 40122.434),(25 40266.94),(26 40534.75),(27 40575.754),(28 40407.945),(29 41005.39),(30 41584.945),(31 42373.2),(32 43186.715),(33 43534.082),(34 43112.105),(35 42485.223),(36 42348.234),(37 42166.55),(38 41632.793),(39 40888.68),(40 40136.875),(41 39851.547),(42 39906.656),(43 40776.465),(44 41872.98),(45 42301.867),(46 41874.32),(47 41844.777),(48 42321.69),(49 42646.176),(50 42737.797),(51 43445.453),(52 44227.555),(53 43998.418),(54 43320.59),(55 43159.64),(56 43894.195),(57 44622.934),(58 44754.73),(59 44856.89),(60 45277.445),(61 45352.12),(62 44828.426),(63 44481.3),(64 43737.64),(65 43177.453),(66 42867.98),(67 42986.566),(68 43510.18),(69 43956.832),(70 44499.5),(71 44449.445),(72 44207.918),(73 43405.105),(74 42594.074),(75 42054.434),(76 42039.023),(77 42616.316),(78 42655.34),(79 42746.63),
(1 8188.9277),(2 22818.178),(3 33041.414),(4 35953.484),(5 34930.79),(6 34419.125),(7 35226.375),(8 35739.38),(9 35340.957),(10 34774.156),(11 35307.367),(12 37048.484),(13 39007.49),(14 39672.098),(15 38996.234),(16 38427.367),(17 38281.09),(18 38087.73),(19 38329.273),(20 38661.492),(21 38490.98),(22 38131.055),(23 38311.887),(24 38623.836),(25 38807.793),(26 38835.797),(27 38459.113),(28 38420.563),(29 39467.625),(30 40026.254),(31 40175.785),(32 40047.137),(33 39576.363),(34 39699.215),(35 40616.22),(36 41118.848),(37 41121.47),(38 40424.953),(39 39861.758),(40 40152.203),(41 40383.547),(42 40031.973),(43 39697.523),(44 38996.824),(45 38460.055),(46 38050.03),(47 38669.99),(48 39609.875),(49 40567.87),(50 41196.258),(51 41117.613),(52 40976.605),(53 41068.332),(54 41622.14),(55 41557.63),(56 41268.4),(57 41306.22),(58 41537.273),(59 42049.207),(60 42440.867),(61 42215.816),(62 41953.344),(63 41287.504),(64 40071.492),(65 38907.36),(66 38434.42),(67 39113.57),(68 40309.82),(69 41175.87),(70 40873.254),(71 40160.81),(72 39382.527),(73 38957.453),(74 38976.695),(75 39313.863),(76 40397.77),(77 41236.76),(78 41030.637),(79 40096.336),
(1 8314.984),(2 23490.412),(3 34125.875),(4 36961.273),(5 35407.184),(6 33893.684),(7 34146.188),(8 35238.793),(9 35687.59),(10 35241.12),(11 35242.766),(12 35778.22),(13 36729.094),(14 36824.902),(15 36353.824),(16 35848.465),(17 35794.27),(18 35906.023),(19 36550.016),(20 37436.09),(21 37707.547),(22 37309.492),(23 36640.57),(24 36249.414),(25 36465.74),(26 36867.69),(27 37309.52),(28 38067.59),(29 38626.19),(30 39055.285),(31 39137.563),(32 38818.28),(33 38544.93),(34 38700.484),(35 39008.625),(36 38624.78),(37 38072.434),(38 37348.32),(39 36995.06),(40 37249.605),(41 37481.72),(42 37254.563),(43 36728.168),(44 36423.965),(45 36300.344),(46 36499.563),(47 37330.445),(48 38491.37),(49 38956.902),(50 38878.363),(51 38237.26),(52 37517.668),(53 37735.223),(54 38581.48),(55 38973.98),(56 38960.44),(57 38654.645),(58 38465.555),(59 38734.883),(60 39122.45),(61 39154.953),(62 39065.17),(63 39115.094),(64 38856.223),(65 38512.457),(66 38481.055),(67 38325.523),(68 38308.3),(69 38394.723),(70 38776.438),(71 39292.746),(72 39629.176),(73 39717.85),(74 39084.496),(75 38394.734),(76 38514.867),(77 39037.41),(78 39501.125),(79 40047.746),
(1 8187.406),(2 22771.338),(3 32613.172),(4 35491.813),(5 34928.51),(6 34309.793),(7 33941.83),(8 33898.453),(9 33733.94),(10 33290.6),(11 33642.04),(12 34573.6),(13 35603.777),(14 36621.434),(15 37071.336),(16 37034.344),(17 36495.027),(18 35325.832),(19 35083.38),(20 35663.156),(21 36325.1),(22 36417.37),(23 35868.797),(24 35272.246),(25 35174.027),(26 35195.016),(27 35854.055),(28 37521.805),(29 38855.91),(30 38490.273),(31 36791.145),(32 35087),(33 34587.99),(34 35284.57),(35 36195.926),(36 36024.46),(37 35293.934),(38 34563.414),(39 34670.58),(40 35238.375),(41 35653.89),(42 35653.83),(43 35587.727),(44 35274.684),(45 35128.074),(46 35304.016),(47 35792.72),(48 36184.008),(49 36089.195),(50 35256.953),(51 34056.188),(52 33566.156),(53 33793.2),(54 35017.625),(55 36245.58),(56 36663.566),(57 36838.27),(58 36890.81),(59 36834.473),(60 36870.816),(61 36594.957),(62 36555.883),(63 36723.96),(64 36354.277),(65 36049.563),(66 35988.844),(67 36088.06),(68 36251.06),(69 36858.617),(70 37356.34),(71 37796.258),(72 38113.01),(73 38314.293),(74 38386.05),(75 38390.527),(76 38673.293),(77 38959.668),(78 38669.133),(79 38639.71),
(1 7719.033),(2 21356.807),(3 30243.785),(4 32641.482),(5 31961.73),(6 31622.855),(7 31813.713),(8 31877.05),(9 31941.65),(10 32284.379),(11 33985.242),(12 35695.566),(13 35900.84),(14 35308.535),(15 34944.49),(16 34493.17),(17 34279.465),(18 34342.277),(19 34748.96),(20 34835.35),(21 34654.98),(22 34106.24),(23 33498.203),(24 33025.4),(25 32967.645),(26 33549.23),(27 34166.86),(28 34527.863),(29 34669.95),(30 34226.984),(31 33785.316),(32 33435.887),(33 33516.76),(34 33762.65),(35 34196.33),(36 33925.293),(37 33252.316),(38 32991.008),(39 33409.664),(40 34224.94),(41 34769.754),(42 34723.027),(43 34573.484),(44 34345.223),(45 34139.754),(46 34047.285),(47 34110.63),(48 34082.754),(49 33838.73),(50 33328.19),(51 33173.73),(52 33081.895),(53 33097.926),(54 33531.68),(55 33919.93),(56 33697.21),(57 32920.066),(58 32388.379),(59 32666.537),(60 33333.62),(61 34146.254),(62 34684.496),(63 34741.043),(64 34911.79),(65 34967.434),(66 34981.367),(67 34770.066),(68 34114.066),(69 34188.742),(70 34682.06),(71 34688.414),(72 34228.973),(73 33795.957),(74 33858.957),(75 33921.395),(76 34097.164),(77 34688.824),(78 34785.492),(79 35099.715),
(1 7469.784),(2 20480.32),(3 29158.371),(4 31321.934),(5 30769.244),(6 30842.072),(7 31690.656),(8 32132.723),(9 32288.71),(10 32200.008),(11 32554.467),(12 32838.176),(13 32748.525),(14 32751.635),(15 33172.207),(16 33388.2),(17 33520.043),(18 33239.324),(19 33034.402),(20 33216.414),(21 33150.71),(22 32206.01),(23 31554.26),(24 31800.328),(25 32257.406),(26 32973.094),(27 33363.906),(28 33361.79),(29 33375.87),(30 32927.945),(31 32728.213),(32 32467.867),(33 32050.822),(34 31727.879),(35 31893.156),(36 32157.295),(37 32672.543),(38 32826.48),(39 32721.826),(40 32805.844),(41 32816.074),(42 32571.215),(43 32608.893),(44 32999.918),(45 33310.934),(46 33444.445),(47 33161.215),(48 32883.54),(49 32748.152),(50 32762.498),(51 33282.555),(52 34038.582),(53 34080.75),(54 33780.918),(55 33555.69),(56 33554.25),(57 33774.797),(58 33766.777),(59 34078.152),(60 34608.36),(61 34408.383),(62 34244.617),(63 34581.418),(64 35300.09),(65 35686.37),(66 35509.504),(67 35562.69),(68 35630.992),(69 36245.4),(70 36749.734),(71 36947.813),(72 36451.516),(73 35661.332),(74 35268.066),(75 35163.418),(76 35114.45),(77 35318.883),(78 35622.473),(79 36444.285),
(1 7346.4277),(2 20142.205),(3 28420.209),(4 30279.287),(5 29305.67),(6 28791.777),(7 29341.299),(8 30020.24),(9 30348.299),(10 30754.586),(11 31653.027),(12 32020.64),(13 31931.371),(14 31637.678),(15 31458.234),(16 31620.627),(17 31668.527),(18 31745.22),(19 31867.291),(20 31887.547),(21 31837.887),(22 31073.783),(23 30246.41),(24 29824.307),(25 30402.777),(26 31608.104),(27 32716.57),(28 33048.902),(29 32732.83),(30 32004.705),(31 31303.213),(32 30997.955),(33 31622.656),(34 32260.734),(35 32283.865),(36 32115.453),(37 32209.31),(38 32904.563),(39 33590.29),(40 33636.66),(41 33080.156),(42 32385.287),(43 31986.834),(44 32114.969),(45 32305.613),(46 32193.566),(47 32018.822),(48 31640.04),(49 31494.055),(50 31869.969),(51 32328.488),(52 32458.361),(53 32114.646),(54 31533.05),(55 31496.709),(56 31882.727),(57 32394.69),(58 32763.35),(59 33073.9),(60 33181.348),(61 33644.547),(62 34270.508),(63 34537.56),(64 34402.254),(65 33927.47),(66 33809.88),(67 34168.832),(68 33996.86),(69 34109.64),(70 34212.117),(71 33861.535),(72 33131.074),(73 32611.26),(74 32435.338),(75 32449.525),(76 32838.676),(77 33243.688),(78 33327.938),(79 33748.79),
(1 7400.091),(2 19963.334),(3 28100.025),(4 29830.033),(5 29061.113),(6 28936.764),(7 29394.5),(8 29599.402),(9 29497.701),(10 29485.941),(11 29681.613),(12 29643.633),(13 29743.373),(14 30271.238),(15 30368.146),(16 30138.664),(17 29990.58),(18 30085.924),(19 31048.895),(20 31829.963),(21 31685.434),(22 30725.633),(23 30217.313),(24 29939.916),(25 29281.99),(26 29543.674),(27 30239.162),(28 30615.55),(29 30729.527),(30 30187.49),(31 29922.37),(32 30402.988),(33 30963.041),(34 30972.967),(35 30761.031),(36 30464.295),(37 29991.182),(38 29962.303),(39 30557.979),(40 30920.861),(41 30993.3),(42 30357.26),(43 30053.201),(44 30431.342),(45 31697.67),(46 32501.213),(47 32195.115),(48 30822.383),(49 29685.092),(50 29651.219),(51 30608.262),(52 31108.865),(53 30888.588),(54 30690.03),(55 30337.584),(56 29849.068),(57 29855.646),(58 30406.771),(59 31152.5),(60 31226.326),(61 30974.248),(62 30850.994),(63 30828.563),(64 30950.697),(65 31481.809),(66 31865.512),(67 32111.457),(68 32319.166),(69 32834.742),(70 33250.36),(71 33208.43),(72 32473.78),(73 31682.537),(74 31579.346),(75 31965.969),(76 32836.832),(77 33430.8),(78 33200.95),(79 32787.05),
(1 7141.931),(2 19244.61),(3 26845.008),(4 28361.293),(5 27507.24),(6 27481.318),(7 28365.047),(8 28972.55),(9 28948.803),(10 29319.129),(11 29894.234),(12 29973.822),(13 29703.291),(14 29488.678),(15 29644.342),(16 30068.895),(17 30215.836),(18 30603.283),(19 31113.785),(20 30618.365),(21 30102.555),(22 29606.229),(23 29437.79),(24 29569.043),(25 30000.242),(26 30233.734),(27 30313.1),(28 29837.453),(29 29383.666),(30 29137.682),(31 29312.883),(32 29617.17),(33 29556.367),(34 28958.797),(35 28282.262),(36 27901.748),(37 28501.584),(38 29816.959),(39 30643.21),(40 30311.275),(41 29842.777),(42 29565.838),(43 30020.998),(44 30850.37),(45 31619),(46 31408.69),(47 30978.047),(48 30541.107),(49 30133.465),(50 30151.324),(51 30244.273),(52 30172.26),(53 29952.05),(54 29543.008),(55 29511.938),(56 29502.252),(57 29610.03),(58 29830.69),(59 29965.922),(60 29982.47),(61 29986.688),(62 30245.646),(63 30102.563),(64 30344.422),(65 30933.645),(66 31140.807),(67 31114.027),(68 30984.268),(69 31096.85),(70 31020.592),(71 31017.463),(72 30444.594),(73 29783.965),(74 29958.89),(75 30534.326),(76 31029.57),(77 31128.133),(78 30751.91),(79 30605.113),
(1 7013.832),(2 18807.365),(3 25750.928),(4 26980.068),(5 26007.96),(6 25945.934),(7 26941.107),(8 27442.887),(9 27592.041),(10 27785.984),(11 28115.277),(12 28383.193),(13 28356.049),(14 28377.729),(15 28488.674),(16 27916.275),(17 27305.666),(18 27164.775),(19 27665.852),(20 27939.9),(21 28165.104),(22 28187.346),(23 27896.104),(24 27785.146),(25 27665.266),(26 27968.564),(27 28584.926),(28 28882.734),(29 28887.783),(30 28517.008),(31 28510.484),(32 28639.732),(33 28538.727),(34 28534.582),(35 28809.518),(36 29250.092),(37 29420.299),(38 29574.408),(39 29630.707),(40 29801.248),(41 30212.24),(42 30345.549),(43 30584.79),(44 31013.467),(45 31242.693),(46 31378.84),(47 31464.424),(48 31179.69),(49 31012.943),(50 30867.023),(51 30482.283),(52 29886.223),(53 29439.592),(54 29413.377),(55 29400.46),(56 29198.531),(57 28736.523),(58 28459.494),(59 28371.578),(60 27998.031),(61 28219.459),(62 28951.709),(63 29106.467),(64 29321.797),(65 29575.652),(66 29889.775),(67 30117.92),(68 30332.791),(69 30492.559),(70 29996.656),(71 29242.834),(72 28747.088),(73 28540.588),(74 28567.137),(75 29324.217),(76 30021.006),(77 30370.709),(78 30675.709),(79 31131.234),
(1 6839.4263),(2 18076.143),(3 24356.424),(4 25362.049),(5 25121.314),(6 25091.762),(7 25525.041),(8 25623.426),(9 25709.809),(10 26232.053),(11 27193.203),(12 27626.104),(13 27751.232),(14 27851.227),(15 27943.006),(16 27669.582),(17 27219.96),(18 27324.148),(19 28525.96),(20 29377.008),(21 29119.316),(22 28360.861),(23 27853.816),(24 28067.234),(25 28073.713),(26 27778.152),(27 27624.594),(28 27624.93),(29 28144.564),(30 28702.588),(31 29049.385),(32 28649.605),(33 27957.6),(34 27171.07),(35 26621.734),(36 26849.594),(37 27534.936),(38 28245.922),(39 28371.223),(40 27995.64),(41 27567.951),(42 27340.092),(43 27684.916),(44 28278.03),(45 28769.406),(46 29001.273),(47 28911.688),(48 28992.357),(49 29238.703),(50 29284.125),(51 29180.004),(52 28721.111),(53 28165.955),(54 27840.87),(55 28119.559),(56 28450.234),(57 28744.945),(58 28979.525),(59 28810.725),(60 28724.451),(61 28599.883),(62 28664.465),(63 28700.852),(64 28477.03),(65 28460.95),(66 28516.47),(67 28447.11),(68 28864.89),(69 29211.404),(70 28727.52),(71 28036.227),(72 27887.988),(73 28320.502),(74 28718.166),(75 28838.396),(76 29031.7),(77 29843.617),(78 30226.945),(79 30217.215),
