1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 473.28586),(2 688.1143),(3 801.851),(4 877.4642),(5 921.597),(6 960.36774),(7 995.4268),(8 1039.6202),(9 1062.064),(10 1081.7294),(11 1095.2158),(12 1102.4633),(13 1111.1736),(14 1114.8816),(15 1137.8038),(16 1139.7107),(17 1134.6345),(18 1135.464),(19 1118.2542),(20 1107.4001),(21 1103.9425),(22 1099.7677),(23 1111.0978),(24 1094.8693),(25 1104.2125),(26 1112.9338),(27 1100.7734),(28 1101.6798),(29 1099.2765),(30 1102.1814),(31 1101.6772),(32 1111.0322),(33 1115.7162),(34 1127.2081),(35 1148.0214),(36 1152.1984),(37 1140.4913),(38 1138.9142),(39 1144.9926),(40 1128.4325),(41 1114.5297),(42 1113.9622),(43 1127.9706),(44 1113.4725),(45 1115.2773),(46 1123.4075),(47 1127.94),(48 1131.9513),(49 1129.4521),(50 1146.0963),(51 1151.0557),(52 1161.4619),(53 1170.5746),(54 1178.6904),(55 1181.9115),(56 1179.8967),(57 1175.0394),(58 1169.0093),(59 1163.4597),(60 1185.6406),(61 1208.2262),(62 1201.7643),(63 1197.9193),(64 1176.8805),(65 1179.9014),(66 1183.81),(67 1174.572),(68 1182.6245),(69 1179.9565),(70 1178.8892),(71 1183.692),(72 1174.4159),(73 1178.452),(74 1172.5869),(75 1168.9489),(76 1167.3682),(77 1172.8212),(78 1166.3468),(79 1173.3817),
(1 474.27377),(2 686.4345),(3 796.56226),(4 858.4932),(5 896.4937),(6 933.04755),(7 957.70966),(8 999.2221),(9 1027.6732),(10 1048.5493),(11 1060.5465),(12 1076.4657),(13 1081.9941),(14 1081.539),(15 1095.666),(16 1096.6586),(17 1092.8566),(18 1089.3041),(19 1099.7657),(20 1090.0052),(21 1093.2722),(22 1084.4707),(23 1093.579),(24 1083.0984),(25 1086.4174),(26 1088.1423),(27 1094.5443),(28 1093.9099),(29 1107.9252),(30 1112.7438),(31 1114.517),(32 1120.6671),(33 1124.8613),(34 1128.1906),(35 1135.2599),(36 1138.8309),(37 1137.9857),(38 1126.3429),(39 1114.2562),(40 1113.9366),(41 1117.5347),(42 1108.6196),(43 1107.0703),(44 1109.9547),(45 1109.4125),(46 1125.0873),(47 1126.3613),(48 1132.9751),(49 1134.0182),(50 1150.5089),(51 1162.6772),(52 1162.3877),(53 1174.3081),(54 1184.9792),(55 1183.0338),(56 1189.54),(57 1196.4797),(58 1190.7727),(59 1181.7177),(60 1198.1521),(61 1208.3193),(62 1205.8593),(63 1205.064),(64 1194.0825),(65 1196.116),(66 1184.493),(67 1175.6803),(68 1180.3204),(69 1175.6217),(70 1170.3396),(71 1176.576),(72 1170.7133),(73 1175.8354),(74 1172.209),(75 1169.1719),(76 1154.0581),(77 1154.7433),(78 1155.2981),(79 1160.9607),
(1 474.1394),(2 692.0664),(3 805.7252),(4 871.7055),(5 907.494),(6 945.46686),(7 965.9281),(8 988.82446),(9 1007.6648),(10 1021.34393),(11 1035.465),(12 1047.7357),(13 1056.0869),(14 1053.0385),(15 1064.972),(16 1067.4811),(17 1072.1517),(18 1074.0575),(19 1081.6433),(20 1088.9865),(21 1100.1802),(22 1094.478),(23 1092.0164),(24 1095.3495),(25 1096.2813),(26 1093.6652),(27 1105.9764),(28 1113.2642),(29 1117.6138),(30 1116.0333),(31 1114.2242),(32 1105.0424),(33 1110.0028),(34 1125.2609),(35 1130.4408),(36 1137.9509),(37 1136.496),(38 1128.3846),(39 1110.6295),(40 1094.4102),(41 1096.0396),(42 1094.487),(43 1099.8096),(44 1102.2964),(45 1100.3844),(46 1113.1691),(47 1113.7183),(48 1113.545),(49 1114.5332),(50 1120.4253),(51 1129.877),(52 1136.3136),(53 1153.051),(54 1161.3583),(55 1161.7233),(56 1150.0497),(57 1142.738),(58 1143.5161),(59 1145.0337),(60 1147.9358),(61 1150.4606),(62 1144.0995),(63 1140.5226),(64 1127.3827),(65 1134.227),(66 1128.8557),(67 1132.5747),(68 1128.8466),(69 1122.9095),(70 1126.1096),(71 1133.508),(72 1140.4872),(73 1144.7186),(74 1149.9286),(75 1145.7352),(76 1133.3157),(77 1143.9039),(78 1132.5685),(79 1137.0677),
(1 476.1191),(2 687.45746),(3 784.25446),(4 850.82135),(5 893.102),(6 920.941),(7 950.346),(8 978.0671),(9 986.1701),(10 1002.9628),(11 1012.82697),(12 1032.408),(13 1036.8481),(14 1039.7776),(15 1056.2029),(16 1067.8198),(17 1056.8923),(18 1059.2977),(19 1070.8766),(20 1073.4658),(21 1075.5718),(22 1076.9717),(23 1083.8589),(24 1074.9987),(25 1068.3462),(26 1071.1266),(27 1071.4272),(28 1082.2402),(29 1084.2185),(30 1091.3488),(31 1085.2806),(32 1083.317),(33 1095.7423),(34 1089.8387),(35 1095.7068),(36 1101.5161),(37 1102.1926),(38 1108.734),(39 1092.5498),(40 1083.5386),(41 1072.2621),(42 1072.0491),(43 1082.0992),(44 1080.5227),(45 1076.6074),(46 1085.5922),(47 1095.5667),(48 1107.195),(49 1112.1083),(50 1119.2739),(51 1139.8615),(52 1146.6462),(53 1155.5392),(54 1157.9371),(55 1150.3724),(56 1145.0215),(57 1146.9077),(58 1143.404),(59 1149.2146),(60 1150.9259),(61 1150.3116),(62 1164.6754),(63 1162.9156),(64 1144.7933),(65 1144.673),(66 1143.8214),(67 1126.5286),(68 1128.7041),(69 1114.844),(70 1119.6554),(71 1117.8752),(72 1115.3478),(73 1119.0422),(74 1118.8572),(75 1103.7075),(76 1100.7382),(77 1107.5963),(78 1097.9001),(79 1093.7158),
(1 458.81537),(2 658.9574),(3 767.036),(4 835.38434),(5 872.39026),(6 901.7769),(7 921.8071),(8 956.75037),(9 979.5066),(10 1001.3498),(11 1025.4767),(12 1036.077),(13 1047.5619),(14 1035.1418),(15 1052.3257),(16 1067.0166),(17 1058.5134),(18 1068.795),(19 1065.6373),(20 1063.801),(21 1059.743),(22 1068.1068),(23 1077.7539),(24 1070.6195),(25 1070.8057),(26 1086.1597),(27 1082.6733),(28 1088.7994),(29 1090.3335),(30 1081.1465),(31 1075.032),(32 1069.5405),(33 1079.2645),(34 1082.2799),(35 1070.5455),(36 1075.13),(37 1093.7471),(38 1092.3519),(39 1093.9376),(40 1079.9877),(41 1080.1298),(42 1077.4194),(43 1078.2921),(44 1074.8578),(45 1067.047),(46 1065.4486),(47 1069.5159),(48 1079.8071),(49 1088.1796),(50 1104.0042),(51 1101.3984),(52 1102.1523),(53 1111.0625),(54 1117.4927),(55 1122.8229),(56 1132.8973),(57 1129.2054),(58 1135.2505),(59 1120.2844),(60 1125.303),(61 1125.7776),(62 1138.556),(63 1144.0725),(64 1133.3835),(65 1123.6195),(66 1112.3644),(67 1109.5371),(68 1101.6837),(69 1092.3485),(70 1101.5469),(71 1091.1788),(72 1093.3745),(73 1093.8447),(74 1084.8055),(75 1081.7395),(76 1068.8212),(77 1064.0426),(78 1064.1188),(79 1066.0457),
(1 445.56378),(2 628.2507),(3 726.8388),(4 801.93),(5 833.8438),(6 864.9499),(7 886.7271),(8 916.6172),(9 928.9656),(10 943.1842),(11 964.5933),(12 968.8807),(13 972.2067),(14 984.10394),(15 989.62036),(16 991.07227),(17 988.0765),(18 988.78345),(19 996.8188),(20 998.97284),(21 998.43195),(22 998.0135),(23 1009.3066),(24 995.91077),(25 985.30304),(26 993.72424),(27 993.4253),(28 997.3195),(29 999.7831),(30 999.9709),(31 1004.6879),(32 1002.11646),(33 1009.2888),(34 1021.9817),(35 1015.6061),(36 1003.38696),(37 1012.098),(38 1003.4942),(39 996.7607),(40 991.8707),(41 1002.29126),(42 1005.5357),(43 1015.5589),(44 1018.6958),(45 1023.3722),(46 1019.96564),(47 1020.57184),(48 1025.4021),(49 1044.1647),(50 1059.3142),(51 1059.6808),(52 1060.1248),(53 1083.8157),(54 1076.4418),(55 1086.9475),(56 1089.6099),(57 1089.2915),(58 1086.5464),(59 1078.3303),(60 1085.0896),(61 1085.649),(62 1088.0927),(63 1077.328),(64 1065.4823),(65 1060.2166),(66 1044.8649),(67 1031.0607),(68 1032.9452),(69 1025.5924),(70 1028.5842),(71 1037.5978),(72 1045.8624),(73 1053.8495),(74 1029.9083),(75 1041.9882),(76 1033.8767),(77 1024.5332),(78 1033.9219),(79 1044.938),
(1 445.78183),(2 627.6228),(3 728.1805),(4 798.05927),(5 839.1819),(6 869.1684),(7 896.89465),(8 930.14246),(9 952.466),(10 953.2162),(11 968.31836),(12 974.66187),(13 968.3691),(14 973.71515),(15 990.97186),(16 1001.7125),(17 1000.09143),(18 997.02234),(19 995.9417),(20 1010.47076),(21 1007.6156),(22 1008.4442),(23 1019.27203),(24 1013.7081),(25 1004.99713),(26 1009.1492),(27 1010.2314),(28 1003.2178),(29 1005.40576),(30 1013.7531),(31 1015.2499),(32 1013.54193),(33 1021.7477),(34 1031.0483),(35 1027.3457),(36 1018.0805),(37 1010.0408),(38 1017.121),(39 1007.24335),(40 1001.19977),(41 1018.58374),(42 1029.3464),(43 1032.301),(44 1031.6339),(45 1038.4402),(46 1031.7522),(47 1042.4493),(48 1049.5421),(49 1055.3638),(50 1069.261),(51 1088.0314),(52 1084.8956),(53 1088.4667),(54 1096.7083),(55 1096.2488),(56 1094.2997),(57 1088.0632),(58 1075.0409),(59 1072.339),(60 1087.4851),(61 1096.9626),(62 1099.8505),(63 1089.1743),(64 1083.3899),(65 1087.118),(66 1075.117),(67 1070.3862),(68 1075.7445),(69 1065.9282),(70 1064.6942),(71 1066.161),(72 1064.9098),(73 1072.419),(74 1056.1063),(75 1048.4794),(76 1039.3059),(77 1036.2037),(78 1042.3197),(79 1044.253),
(1 446.8257),(2 629.9645),(3 730.09204),(4 797.1174),(5 842.7304),(6 883.4062),(7 896.73987),(8 935.29877),(9 959.0592),(10 968.66003),(11 985.4939),(12 997.8197),(13 990.25916),(14 984.80457),(15 996.7626),(16 995.8323),(17 986.3385),(18 988.2855),(19 991.3156),(20 998.936),(21 1001.4917),(22 998.8929),(23 1011.0938),(24 1004.5936),(25 1001.9842),(26 1008.7867),(27 1014.4266),(28 1011.3992),(29 1004.69403),(30 1001.3089),(31 997.84894),(32 996.7056),(33 996.36304),(34 995.65106),(35 1002.5177),(36 999.50055),(37 979.6878),(38 993.3838),(39 988.14154),(40 995.19714),(41 1001.3231),(42 1008.5344),(43 1022.2181),(44 1002.101),(45 1008.62085),(46 997.11365),(47 1000.15094),(48 1017.6207),(49 1035.4115),(50 1046.9008),(51 1052.2607),(52 1060.9047),(53 1069.3804),(54 1064.6207),(55 1063.9402),(56 1071.7196),(57 1068.758),(58 1063.9553),(59 1054.1129),(60 1046.8988),(61 1056.6388),(62 1067.6382),(63 1077.7684),(64 1070.6451),(65 1082.7218),(66 1079.7114),(67 1077.3683),(68 1072.174),(69 1063.1704),(70 1059.6774),(71 1051.1133),(72 1036.4625),(73 1044.7987),(74 1036.7085),(75 1026.764),(76 1019.76294),(77 1011.58167),(78 1012.8629),(79 1023.3168),
(1 440.7254),(2 627.08246),(3 731.08124),(4 803.4061),(5 846.2678),(6 880.86346),(7 891.10895),(8 931.27924),(9 949.7785),(10 970.63025),(11 993.65967),(12 1007.63794),(13 1015.06824),(14 1006.9272),(15 1025.039),(16 1024.8236),(17 1023.56067),(18 1014.9473),(19 1015.34283),(20 1026.8588),(21 1029.1782),(22 1030.4624),(23 1034.5874),(24 1025.2556),(25 1016.80133),(26 1019.75476),(27 1025.019),(28 1016.3209),(29 1011.71545),(30 1013.0061),(31 1007.61664),(32 1011.12695),(33 1012.2516),(34 1004.909),(35 1005.74243),(36 1003.2153),(37 1001.1442),(38 1011.5977),(39 1000.8109),(40 998.5874),(41 1005.3133),(42 1012.2255),(43 1019.547),(44 1001.0298),(45 1011.943),(46 1014.75806),(47 1012.7435),(48 1015.0282),(49 1025.5826),(50 1052.5267),(51 1056.6907),(52 1063.0118),(53 1073.0443),(54 1060.3552),(55 1067.9121),(56 1076.9746),(57 1073.7699),(58 1074.396),(59 1069.8601),(60 1075.5214),(61 1083.1152),(62 1092.1973),(63 1097.0056),(64 1098.1208),(65 1105.4125),(66 1095.156),(67 1095.0927),(68 1085.9766),(69 1087.4846),(70 1087.5111),(71 1083.9746),(72 1074.8141),(73 1061.1807),(74 1050.3312),(75 1058.4518),(76 1053.8646),(77 1042.2982),(78 1039.1526),(79 1032.1962),
(1 430.51175),(2 609.53424),(3 705.4816),(4 773.04047),(5 819.71063),(6 859.5135),(7 879.2555),(8 911.95135),(9 941.9522),(10 961.825),(11 989.2081),(12 1002.1001),(13 1002.4927),(14 996.89886),(15 1013.45825),(16 1005.1769),(17 1005.81146),(18 1008.5195),(19 1004.8376),(20 1008.00903),(21 1013.6649),(22 1016.0137),(23 1025.6563),(24 1011.2101),(25 1008.45856),(26 996.62537),(27 995.54),(28 988.72034),(29 990.19836),(30 986.51855),(31 982.68066),(32 983.7602),(33 978.65216),(34 975.6573),(35 981.9186),(36 966.22),(37 971.0315),(38 972.7572),(39 968.8155),(40 975.4442),(41 975.54364),(42 975.3214),(43 984.73584),(44 975.3082),(45 978.79614),(46 987.01044),(47 989.8583),(48 987.3997),(49 983.75073),(50 994.2481),(51 1000.1538),(52 996.5529),(53 1010.7179),(54 1016.8041),(55 1020.4187),(56 1024.866),(57 1027.323),(58 1036.5804),(59 1046.0486),(60 1048.9402),(61 1055.8267),(62 1054.6458),(63 1048.4061),(64 1048.066),(65 1044.399),(66 1048.4451),(67 1053.1873),(68 1046.3395),(69 1050.0985),(70 1055.7034),(71 1051.6215),(72 1056.5105),(73 1049.1592),(74 1042.0054),(75 1046.1042),(76 1045.8481),(77 1038.7498),(78 1029.8318),(79 1026.2549),
(1 414.70425),(2 588.9473),(3 692.2675),(4 754.11865),(5 796.8698),(6 829.9395),(7 848.96405),(8 888.04034),(9 911.6671),(10 920.684),(11 949.62103),(12 961.1965),(13 967.3183),(14 967.5228),(15 985.02045),(16 984.79224),(17 985.96954),(18 986.8377),(19 983.37054),(20 985.9669),(21 982.7971),(22 980.65985),(23 992.5996),(24 989.61224),(25 990.75256),(26 988.5478),(27 983.88666),(28 972.9372),(29 966.46136),(30 967.1332),(31 959.06866),(32 965.3692),(33 966.1593),(34 959.55865),(35 969.31323),(36 965.14044),(37 964.6036),(38 967.865),(39 957.8425),(40 954.0106),(41 951.6637),(42 952.3485),(43 948.8775),(44 948.51575),(45 955.3058),(46 944.9897),(47 943.5702),(48 946.44745),(49 956.3025),(50 964.20557),(51 975.7172),(52 975.57996),(53 979.6881),(54 979.1982),(55 987.5143),(56 985.46576),(57 983.97266),(58 993.8666),(59 1007.17725),(60 1018.17816),(61 1025.5425),(62 1023.0535),(63 1022.8725),(64 1025.6713),(65 1011.2809),(66 1009.8359),(67 1008.74255),(68 1020.9642),(69 1016.8671),(70 1015.65814),(71 1027.514),(72 1027.1871),(73 1013.82404),(74 1006.4267),(75 1014.8274),(76 1003.48895),(77 992.2139),(78 985.8115),(79 986.5157),
(1 416.35223),(2 579.2946),(3 678.2202),(4 757.2684),(5 797.6153),(6 833.1991),(7 833.3087),(8 866.8938),(9 879.10974),(10 890.40234),(11 908.8124),(12 926.6327),(13 943.8909),(14 952.684),(15 960.38257),(16 960.6381),(17 952.02313),(18 952.9774),(19 952.3057),(20 946.2515),(21 941.7278),(22 938.7925),(23 961.8858),(24 959.95264),(25 957.4722),(26 955.6616),(27 959.45917),(28 963.4403),(29 959.32196),(30 959.7042),(31 955.21893),(32 959.1631),(33 964.25714),(34 968.2653),(35 976.4857),(36 970.28564),(37 950.5196),(38 951.1386),(39 955.3314),(40 948.2532),(41 954.70996),(42 948.421),(43 950.6179),(44 953.36945),(45 956.585),(46 952.0003),(47 943.9967),(48 942.6196),(49 950.08344),(50 946.52216),(51 956.3749),(52 963.53046),(53 961.9173),(54 964.3745),(55 957.8242),(56 950.9012),(57 944.97015),(58 950.2856),(59 952.9206),(60 960.4299),(61 967.0584),(62 963.66034),(63 978.4034),(64 966.67346),(65 951.9539),(66 943.365),(67 949.26764),(68 960.28735),(69 970.85236),(70 973.0824),(71 981.17114),(72 968.7588),(73 965.9786),(74 959.8347),(75 970.6018),(76 966.28827),(77 963.76904),(78 955.2479),(79 952.26447),
(1 406.85928),(2 578.64496),(3 667.42896),(4 737.75415),(5 776.821),(6 813.5821),(7 818.5551),(8 835.20386),(9 857.64307),(10 864.29987),(11 876.79895),(12 886.74084),(13 909.607),(14 916.05615),(15 920.5429),(16 914.06647),(17 907.7703),(18 904.64667),(19 903.83856),(20 904.34314),(21 902.17975),(22 902.2293),(23 920.99603),(24 920.0223),(25 921.413),(26 920.3975),(27 924.72437),(28 929.197),(29 926.0524),(30 929.9632),(31 935.09125),(32 934.9828),(33 938.06146),(34 947.3358),(35 954.4111),(36 936.53687),(37 926.9023),(38 925.4488),(39 928.81055),(40 927.4408),(41 932.1524),(42 940.7152),(43 934.8355),(44 928.70935),(45 917.8256),(46 914.7559),(47 914.5152),(48 904.61566),(49 901.65045),(50 904.2606),(51 907.81744),(52 922.0853),(53 927.2864),(54 933.90643),(55 932.02277),(56 923.6516),(57 932.0167),(58 945.6865),(59 941.21954),(60 943.1228),(61 946.43304),(62 952.0417),(63 958.8925),(64 953.9192),(65 959.2963),(66 953.81195),(67 956.929),(68 959.9184),(69 952.64417),(70 954.53467),(71 956.059),(72 960.5052),(73 955.59735),(74 948.55347),(75 953.3219),(76 952.71173),(77 944.9722),(78 932.0498),(79 927.5539),
(1 406.11182),(2 568.0867),(3 657.05206),(4 724.19226),(5 758.2698),(6 791.91943),(7 808.47736),(8 833.01886),(9 857.80255),(10 877.83777),(11 887.4719),(12 891.3841),(13 909.1758),(14 913.80493),(15 915.1184),(16 909.3497),(17 907.5803),(18 906.00684),(19 900.78064),(20 894.6587),(21 903.4051),(22 896.28546),(23 900.00665),(24 911.7695),(25 918.1564),(26 914.7058),(27 918.4072),(28 921.585),(29 915.61365),(30 915.7563),(31 909.7188),(32 908.81976),(33 912.2061),(34 917.20844),(35 914.92413),(36 911.46204),(37 900.7123),(38 903.8489),(39 907.81433),(40 898.68744),(41 908.0715),(42 909.22284),(43 916.429),(44 912.76056),(45 914.256),(46 916.2597),(47 920.19434),(48 916.8969),(49 921.56525),(50 919.4967),(51 925.71674),(52 937.3174),(53 944.8294),(54 946.8518),(55 951.3612),(56 961.07574),(57 967.96234),(58 972.65405),(59 977.5771),(60 977.1973),(61 976.3222),(62 979.8579),(63 977.928),(64 974.96783),(65 976.20654),(66 973.4364),(67 971.09827),(68 964.2623),(69 951.5683),(70 960.7362),(71 953.6529),(72 962.55865),(73 958.44684),(74 954.52264),(75 953.0048),(76 945.184),(77 939.16595),(78 935.0683),(79 925.27136),
(1 399.9552),(2 562.7686),(3 639.20526),(4 702.6647),(5 750.77155),(6 787.6113),(7 812.9768),(8 840.75586),(9 852.15466),(10 856.6639),(11 869.7482),(12 872.87115),(13 882.475),(14 889.7324),(15 886.72595),(16 882.1045),(17 881.78784),(18 890.16156),(19 880.3911),(20 872.9305),(21 866.55035),(22 866.8494),(23 878.68964),(24 886.4985),(25 884.1886),(26 884.6821),(27 893.39777),(28 889.97626),(29 887.4042),(30 892.44336),(31 898.10565),(32 900.14056),(33 911.3708),(34 912.2874),(35 916.656),(36 911.628),(37 906.8902),(38 906.31775),(39 903.2327),(40 893.4585),(41 900.7491),(42 899.66016),(43 905.0611),(44 907.4908),(45 914.8158),(46 923.09235),(47 916.44586),(48 912.5027),(49 914.7169),(50 911.50323),(51 915.01794),(52 924.7991),(53 925.64136),(54 922.15485),(55 922.8887),(56 921.2627),(57 915.1563),(58 909.84314),(59 904.7873),(60 903.66833),(61 904.5791),(62 905.09906),(63 907.4982),(64 908.67554),(65 911.4767),(66 920.3529),(67 917.13477),(68 925.2227),(69 915.79987),(70 921.86804),(71 922.5402),(72 918.87726),(73 913.83075),(74 906.1747),(75 911.82153),(76 912.36646),(77 916.2763),(78 907.26447),(79 900.7574),
(1 392.3558),(2 549.4708),(3 632.34033),(4 686.8588),(5 723.1206),(6 752.7475),(7 777.6189),(8 812.6827),(9 815.4263),(10 826.218),(11 837.46985),(12 830.45825),(13 835.22577),(14 842.06274),(15 846.1834),(16 848.15497),(17 850.50745),(18 850.68066),(19 852.50055),(20 852.80646),(21 847.1148),(22 846.68036),(23 873.71136),(24 859.5884),(25 860.338),(26 869.44794),(27 870.6629),(28 869.6194),(29 867.55853),(30 871.87695),(31 875.138),(32 873.3715),(33 874.09357),(34 876.0625),(35 869.3734),(36 861.2854),(37 860.94525),(38 867.1481),(39 858.974),(40 859.85364),(41 859.8687),(42 862.32965),(43 865.6107),(44 864.23694),(45 870.2933),(46 863.5486),(47 860.5067),(48 855.1741),(49 859.8036),(50 861.84155),(51 870.912),(52 871.90826),(53 868.2262),(54 880.57874),(55 876.6055),(56 885.06934),(57 881.95435),(58 872.04083),(59 874.72076),(60 878.54913),(61 888.02966),(62 883.7497),(63 887.664),(64 885.95154),(65 892.60895),(66 903.5555),(67 907.31433),(68 910.8545),(69 909.0128),(70 909.8911),(71 909.47296),(72 900.96844),(73 908.64197),(74 908.1442),(75 900.4147),(76 895.93005),(77 897.75),(78 897.778),(79 888.7602),
(1 388.52548),(2 548.15906),(3 628.7959),(4 674.19916),(5 704.35126),(6 723.84015),(7 756.80634),(8 791.7834),(9 798.8434),(10 815.7899),(11 832.5817),(12 826.5791),(13 824.43585),(14 827.31445),(15 830.7902),(16 839.1474),(17 852.3161),(18 856.64056),(19 852.8546),(20 852.96344),(21 858.4779),(22 849.0669),(23 868.6683),(24 853.2864),(25 856.00696),(26 868.59283),(27 873.1311),(28 865.29724),(29 868.93677),(30 863.4217),(31 870.34125),(32 867.5478),(33 875.5647),(34 866.1773),(35 862.69025),(36 850.5827),(37 852.34503),(38 860.8272),(39 844.2818),(40 837.7126),(41 846.13586),(42 846.7951),(43 846.9551),(44 846.32214),(45 857.0806),(46 861.6415),(47 859.4803),(48 853.02466),(49 874.7551),(50 870.89197),(51 879.05084),(52 879.5192),(53 877.04877),(54 876.5467),(55 876.30304),(56 879.0274),(57 878.68066),(58 876.21313),(59 875.83167),(60 877.04694),(61 883.89026),(62 872.63654),(63 873.58203),(64 869.69635),(65 873.0672),(66 876.32837),(67 887.6422),(68 896.1092),(69 899.03186),(70 885.0685),(71 879.25183),(72 868.9679),(73 873.3006),(74 862.4046),(75 860.8694),(76 856.603),(77 857.652),(78 857.1784),(79 849.93994),
(1 382.44904),(2 528.4919),(3 612.4185),(4 669.0044),(5 712.9554),(6 739.41504),(7 768.8943),(8 800.15314),(9 800.1688),(10 811.64746),(11 821.8474),(12 824.1466),(13 831.532),(14 824.2516),(15 819.30896),(16 829.24927),(17 837.0831),(18 841.97003),(19 842.104),(20 843.44025),(21 849.2654),(22 848.10895),(23 871.69653),(24 855.1664),(25 852.9428),(26 852.56775),(27 862.1395),(28 844.6176),(29 840.5281),(30 843.27234),(31 846.1914),(32 849.3095),(33 848.88556),(34 854.3231),(35 851.8931),(36 858.5718),(37 857.9866),(38 860.228),(39 857.5612),(40 856.37195),(41 859.79126),(42 855.0411),(43 857.37683),(44 842.919),(45 854.72485),(46 854.3207),(47 848.47314),(48 847.46356),(49 863.831),(50 865.8439),(51 875.4278),(52 893.13904),(53 893.28156),(54 894.4601),(55 886.31036),(56 887.1774),(57 888.1786),(58 890.00586),(59 890.8968),(60 894.10284),(61 895.75464),(62 891.25684),(63 884.8956),(64 876.67535),(65 877.822),(66 886.8821),(67 889.6567),(68 891.18085),(69 885.4765),(70 875.91327),(71 883.3221),(72 873.9131),(73 879.6506),(74 866.836),(75 855.8781),(76 858.69574),(77 852.625),(78 849.2693),(79 842.87006),
