1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 64619.03),(2 233003.38),(3 513076.66),(4 853014.7),(5 1281927.8),(6 1774162.4),(7 2314274.5),(8 2895868.3),(9 3529353.8),(10 4191825),(11 4897408),(12 5628410),(13 6349399.5),(14 7077659.5),(15 7741486),(16 8410007),(17 9026871),(18 9608504),(19 10188523),(20 10771915),(21 11425648),(22 12111899),(23 12849555),(24 13577711),(25 14352589),(26 15179576),(27 16060507),(28 16880182),(29 17706550),(30 18518500),(31 19258980),(32 20038014),(33 20739398),(34 21488596),(35 22240594),(36 23047118),(37 23791696),(38 24504730),(39 25137570),(40 25718786),(41 26174470),(42 26502976),(43 26706154),(44 26872990),(45 27026614),(46 27159754),(47 27256294),(48 27234784),(49 27124434),(50 26852518),(51 26506282),(52 26155950),(53 25926790),(54 25643074),(55 25328706),(56 25017200),(57 24665938),(58 24283974),(59 23824938),(60 23389670),(61 22910974),(62 22486794),(63 22067690),(64 21680096),(65 21306468),(66 20906160),(67 20435370),(68 19932760),(69 19338900),(70 18810584),(71 18374630),(72 18119712),(73 17985578),(74 17829750),(75 17718626),(76 17617540),(77 17447842),(78 17274294),(79 17003506),
(1 8129.7764),(2 15438.225),(3 18970.434),(4 19748.373),(5 20461.05),(6 21501.01),(7 22201.4),(8 22143.178),(9 22632.48),(10 23074.912),(11 23484.271),(12 23700.871),(13 23481.977),(14 23071.229),(15 23437.484),(16 23663.553),(17 23765.924),(18 23803.482),(19 23853.412),(20 23506.123),(21 23203.977),(22 23298.582),(23 23398.361),(24 23041.885),(25 22794.8),(26 23170.99),(27 23707.111),(28 23810.922),(29 23864.148),(30 23869.814),(31 24149.19),(32 24560.719),(33 24934.111),(34 24964.432),(35 24880.787),(36 24651.848),(37 24205.928),(38 24136.744),(39 24369.432),(40 24749.18),(41 24834.592),(42 24891.576),(43 24527.588),(44 24259.588),(45 23461.309),(46 22429.451),(47 22351.346),(48 22842.375),(49 23055.707),(50 23248.518),(51 22739.785),(52 22740.822),(53 22733.072),(54 22475.076),(55 22450.871),(56 22960.115),(57 23509.273),(58 23383.283),(59 23107.996),(60 23233.697),(61 23649.385),(62 23390.914),(63 22912.73),(64 22962.713),(65 23441.479),(66 23638.121),(67 23802.416),(68 24112.379),(69 24727.21),(70 24963.654),(71 24691.727),(72 24179.371),(73 24245.639),(74 24696.678),(75 25102.016),(76 24722.389),(77 24328.246),(78 23869.678),(79 23334.787),
(1 8205.53),(2 15599.715),(3 19206.477),(4 20455.688),(5 21074.635),(6 22041.781),(7 22613.922),(8 22473.098),(9 22862.197),(10 23239.025),(11 23670.947),(12 23802.777),(13 23719.654),(14 23721.746),(15 23879.268),(16 23585.727),(17 23808.2),(18 23629.441),(19 23646.22),(20 23607.947),(21 23583.057),(22 23646.86),(23 23631.37),(24 23133.016),(25 23075.629),(26 23359.992),(27 23890.477),(28 24038.984),(29 24058.664),(30 23860.52),(31 23925.06),(32 24605.35),(33 24873.168),(34 25151.385),(35 24912.117),(36 24516.678),(37 24136.67),(38 23869.818),(39 24096.207),(40 24865.98),(41 24798.996),(42 24609.9),(43 24345.793),(44 23875.076),(45 23290.41),(46 22934.139),(47 23189.531),(48 23633.756),(49 23826.895),(50 23576.197),(51 23328.285),(52 23148.994),(53 22854.361),(54 22527.46),(55 22687.912),(56 23418.457),(57 23457.848),(58 23398.139),(59 23448.693),(60 23779.205),(61 24389.188),(62 24632.684),(63 24185.348),(64 23974.197),(65 23772.154),(66 23941.596),(67 24217.086),(68 24340.066),(69 24517.303),(70 24743.78),(71 24748.59),(72 24388.906),(73 24327.133),(74 24242.791),(75 24536.443),(76 24465.139),(77 24196.998),(78 23586.607),(79 23314.248),
(1 7610.0054),(2 14136.861),(3 16817.746),(4 17933.46),(5 18614.07),(6 19293.88),(7 19901.553),(8 19863.826),(9 20179.021),(10 20461.22),(11 20663.455),(12 20748.238),(13 21000.777),(14 21080.365),(15 21326.535),(16 21410.852),(17 21112.557),(18 20601.186),(19 20735.742),(20 20975.137),(21 21151.018),(22 20978.705),(23 20609.695),(24 20604.506),(25 20939.027),(26 21095.145),(27 21371.19),(28 21464.512),(29 21720.385),(30 21871.229),(31 21892.053),(32 22188.447),(33 22433.162),(34 22723.89),(35 22236.854),(36 21754.91),(37 21283.51),(38 21299.12),(39 21442.03),(40 21594.861),(41 21293.24),(42 21301.43),(43 21047.443),(44 21074.252),(45 21126.848),(46 21283.816),(47 21304.826),(48 21620.412),(49 21746.758),(50 21305.422),(51 21137.117),(52 21031.219),(53 20879.36),(54 20493.479),(55 20281.393),(56 20505.176),(57 20763.602),(58 20774.602),(59 20849.43),(60 20993.65),(61 21259.38),(62 21430.338),(63 21126.861),(64 20536.586),(65 20580.742),(66 20927.959),(67 21585.293),(68 21749.736),(69 21278.178),(70 21054.658),(71 21138.79),(72 21041.947),(73 20861.752),(74 20739.621),(75 21005.188),(76 20957.365),(77 21053.059),(78 21214.695),(79 20984.691),
(1 7232.4736),(2 13551.194),(3 16066.063),(4 16671.719),(5 17055.846),(6 17423.473),(7 18081.906),(8 18176.143),(9 18466.574),(10 18797.201),(11 19433.182),(12 19957.11),(13 20212.633),(14 20211.814),(15 20405.531),(16 20682.65),(17 20747.426),(18 20498.52),(19 20491.988),(20 20447.938),(21 20268.596),(22 20091.938),(23 19858.482),(24 20097.58),(25 20453.459),(26 20559.75),(27 20488.66),(28 20402.037),(29 20723.262),(30 21152.633),(31 21301.621),(32 21599.594),(33 21834.58),(34 21842.57),(35 21449.59),(36 21220.05),(37 21250.01),(38 21532.447),(39 21617.037),(40 21380.82),(41 21106.695),(42 21144.992),(43 20974.1),(44 21178.828),(45 21457.908),(46 21544.46),(47 21369.063),(48 21548.863),(49 21710.459),(50 21498.092),(51 20959.904),(52 20603.027),(53 20227.803),(54 20099.617),(55 19910.139),(56 19931.598),(57 19685.643),(58 19565.883),(59 19895.342),(60 20109.305),(61 20015.785),(62 19966.6),(63 20221.123),(64 20077.467),(65 20228.262),(66 20534.084),(67 20707.549),(68 21129.906),(69 21049.25),(70 20604.877),(71 20210.873),(72 20129.328),(73 20053.023),(74 20044.217),(75 20010.297),(76 19921.695),(77 20002.389),(78 20415.234),(79 20191.078),
(1 7017.7773),(2 13130.242),(3 15629.475),(4 16313.61),(5 16664.318),(6 16952.342),(7 17432.61),(8 17407.318),(9 17334.217),(10 17799.97),(11 18715.129),(12 19110.525),(13 19584.875),(14 19812.89),(15 19839.063),(16 20106.465),(17 20530.602),(18 20542.455),(19 20170.701),(20 19892.355),(21 19691.521),(22 19616.412),(23 19403.604),(24 19466.256),(25 19846.867),(26 19898.61),(27 19792.787),(28 19956.045),(29 20218.459),(30 20157.334),(31 20190.752),(32 20611.092),(33 21118.865),(34 21126.166),(35 20782.918),(36 20749.777),(37 20914.793),(38 21345.117),(39 21207.125),(40 21163.664),(41 21116.318),(42 21501.45),(43 21437.576),(44 21577.764),(45 21631.658),(46 21580.11),(47 21519),(48 21683.965),(49 21876.428),(50 21981.965),(51 21189.578),(52 20469.762),(53 20265.082),(54 20161.283),(55 20137.842),(56 20029.361),(57 19745.021),(58 19728.092),(59 19803.672),(60 19855.85),(61 19691.846),(62 19839.53),(63 20394.742),(64 20413.174),(65 20633.818),(66 20794.02),(67 20861.95),(68 21012.66),(69 21197.545),(70 20862.023),(71 20648.459),(72 20398.525),(73 20127.379),(74 19741.625),(75 19732.385),(76 19982.012),(77 20306.158),(78 20660.625),(79 20505.68),
(1 7039.5483),(2 13157.835),(3 15715.759),(4 16521.313),(5 16635.775),(6 16796.512),(7 17052.826),(8 17007.438),(9 16788.742),(10 17299.76),(11 17880.229),(12 18300.424),(13 18653.201),(14 18436.861),(15 18400.945),(16 18491.232),(17 18870.666),(18 19209.719),(19 19070.293),(20 18736.299),(21 18755.023),(22 18912.387),(23 18909.307),(24 18788.416),(25 19037.768),(26 18878.094),(27 18735.56),(28 18827.81),(29 19158.96),(30 19050.06),(31 18969.867),(32 19405.748),(33 19819.41),(34 19781.512),(35 19713.914),(36 19657.47),(37 19719.05),(38 20045.883),(39 19975.863),(40 20071.502),(41 20228.264),(42 20636.113),(43 20555.688),(44 20444.98),(45 20359.281),(46 20300.225),(47 20386.86),(48 20450.19),(49 20579.352),(50 20347.293),(51 19617.357),(52 19295.188),(53 19299.605),(54 19098.549),(55 19022.299),(56 18765.166),(57 18794.428),(58 18864.611),(59 18764.898),(60 18713.998),(61 18752.193),(62 18981.469),(63 19494.4),(64 19696.176),(65 19938.781),(66 19773.477),(67 19774.248),(68 19942.3),(69 19872.717),(70 19790.898),(71 19935.506),(72 19831.969),(73 19488.49),(74 19079.457),(75 19293.102),(76 19525.73),(77 19594.87),(78 19839.781),(79 19310.771),
(1 6780.515),(2 12720.558),(3 15232.052),(4 16225.965),(5 16409.236),(6 16625.37),(7 17023.975),(8 17123.705),(9 17244.143),(10 17693.701),(11 17686.26),(12 17807.105),(13 17852.602),(14 17609.527),(15 17834.648),(16 18103.8),(17 18251.58),(18 18763.697),(19 18878.768),(20 18784.06),(21 19037.223),(22 19155.232),(23 19409.945),(24 19536.318),(25 19619.186),(26 19400.553),(27 19150.975),(28 19022.555),(29 19055.602),(30 19119.299),(31 19002.148),(32 19283.857),(33 19437.555),(34 19816.664),(35 19704.893),(36 19521.96),(37 19477.102),(38 19532.6),(39 19551.252),(40 19368.197),(41 19425.7),(42 19795.25),(43 19872.457),(44 19614.697),(45 19363.904),(46 19269.154),(47 19191.963),(48 19397.861),(49 19255.578),(50 19036.46),(51 18748.703),(52 18872.795),(53 18969.314),(54 18968.664),(55 19015.316),(56 18862.838),(57 18956.482),(58 19165.607),(59 19646.418),(60 19523.852),(61 19459.615),(62 19504.246),(63 20031.172),(64 20287.734),(65 20638.666),(66 20626.566),(67 20335.39),(68 20229.465),(69 20416.213),(70 20810.303),(71 20730.188),(72 20353.664),(73 20365.979),(74 20625.479),(75 20317.268),(76 19652.877),(77 19443.814),(78 19668.637),(79 19487.14),
(1 6364.3013),(2 11557.23),(3 13662.318),(4 14597.041),(5 15197.858),(6 15512.251),(7 15756.79),(8 15995.328),(9 16355.277),(10 16471.746),(11 16452.389),(12 16368.83),(13 16253.99),(14 16294.246),(15 16755.115),(16 16785.97),(17 16785.031),(18 16971.191),(19 17078.236),(20 17574.742),(21 17771.049),(22 17691.451),(23 17968.592),(24 18003.016),(25 17803.902),(26 17421.787),(27 17388.115),(28 17373.48),(29 17212.365),(30 16814.752),(31 16833.906),(32 17341.572),(33 17519.79),(34 17839.412),(35 17824.14),(36 18004.934),(37 17695.451),(38 17788.996),(39 17907.785),(40 17667.523),(41 17391.8),(42 17675.463),(43 17864.91),(44 17599.104),(45 17349.637),(46 17101.855),(47 17408.455),(48 17820.02),(49 17712.656),(50 17690.297),(51 17877.06),(52 18171.965),(53 18078.574),(54 18084.34),(55 18032.38),(56 18013.646),(57 17857.412),(58 17971.08),(59 18200.443),(60 18022.129),(61 18128.445),(62 18057.56),(63 18293.61),(64 18530.807),(65 19134.547),(66 19356.95),(67 19106.646),(68 18867.752),(69 19037.615),(70 19457.834),(71 19334.88),(72 18788.54),(73 18878.418),(74 19306.104),(75 18817.46),(76 18071.111),(77 17558.934),(78 17638.871),(79 17649.861),
(1 6570.4854),(2 11769.486),(3 13668.031),(4 14334.098),(5 15024.7705),(6 15631.003),(7 15885.06),(8 16468.18),(9 16709.736),(10 16884.07),(11 17013.809),(12 17173.457),(13 16933.68),(14 16708.678),(15 17074.791),(16 17313.068),(17 17219.094),(18 17094.777),(19 17183.723),(20 17764.004),(21 18082.287),(22 18047.8),(23 17982.385),(24 17868.988),(25 17717.795),(26 17286.852),(27 17219.697),(28 17122.887),(29 17133.945),(30 17232.71),(31 17464.826),(32 17479.518),(33 17364.283),(34 17393.283),(35 17365.135),(36 17640.38),(37 17689.652),(38 17976.54),(39 18210.205),(40 18143.633),(41 17899.314),(42 17842.143),(43 17835.28),(44 17672.373),(45 17601.95),(46 17595.92),(47 17420.918),(48 17478.72),(49 17336.205),(50 17748.41),(51 18134.182),(52 18342.875),(53 18429.807),(54 18411.984),(55 18633.424),(56 18524.518),(57 18243.982),(58 18341.521),(59 18272.121),(60 18146.281),(61 18339.035),(62 18384.156),(63 18513.049),(64 18705.215),(65 19207.908),(66 19308.164),(67 19102.873),(68 19085.436),(69 19322.277),(70 19344.754),(71 19135.326),(72 18912.467),(73 19140.936),(74 19384.979),(75 19209.66),(76 18448.357),(77 17795.906),(78 17560.623),(79 17540.734),
(1 6528.739),(2 11464.498),(3 13756.794),(4 14582.801),(5 15293.422),(6 15932.032),(7 16395.844),(8 16869.309),(9 17214.646),(10 17274.352),(11 17501.898),(12 17885.11),(13 17800.908),(14 17432.637),(15 17401.643),(16 17583.705),(17 17515.432),(18 17263.03),(19 17328.455),(20 17967.855),(21 18281.7),(22 18382.129),(23 18088.418),(24 17618.893),(25 17202.357),(26 17311.773),(27 17316.627),(28 17234.125),(29 17036.85),(30 17176.316),(31 17496.63),(32 17231.332),(33 16984.236),(34 16670.46),(35 16583.303),(36 16858.332),(37 17273.096),(38 17764.777),(39 17941.234),(40 18029.404),(41 17700.668),(42 17409.21),(43 17610.074),(44 17360.516),(45 17132.217),(46 17364.094),(47 17056.139),(48 16990.098),(49 17009.482),(50 17411.238),(51 17702.785),(52 18005.195),(53 18222.307),(54 18149.225),(55 18439.197),(56 18205.861),(57 18126.436),(58 18063.16),(59 17752.275),(60 17550.145),(61 17636.156),(62 17830.045),(63 18316.611),(64 18808.283),(65 18980.574),(66 18719.766),(67 18531.135),(68 18513.98),(69 18775.293),(70 18700.822),(71 18625.31),(72 18585.736),(73 18837.152),(74 18976.225),(75 18819.564),(76 17871.516),(77 17385.338),(78 17110.361),(79 17166.963),
(1 6529.3647),(2 11581.686),(3 13956.076),(4 14788.701),(5 15258.42),(6 15823.365),(7 16567.652),(8 16834.72),(9 17289.459),(10 17264.605),(11 17426.64),(12 17604.977),(13 17527.95),(14 17213.459),(15 16969.537),(16 17063.967),(17 17119.592),(18 16973.965),(19 17206.535),(20 17612.715),(21 17789.94),(22 17831.645),(23 17708.756),(24 17320.596),(25 17040.422),(26 16981.9),(27 17121.848),(28 17072.592),(29 17076.2),(30 17145.72),(31 17156.395),(32 17239.475),(33 16887.623),(34 16406.041),(35 16260.597),(36 16676.975),(37 17314.404),(38 17818.277),(39 17959.945),(40 18265.81),(41 17856.934),(42 17420.873),(43 17430.574),(44 17380.115),(45 17069.988),(46 17169.14),(47 16769.24),(48 16887.275),(49 16906.629),(50 17159.623),(51 17580.355),(52 17932.355),(53 17913.914),(54 17745.355),(55 17692.1),(56 17470.15),(57 17613.098),(58 17356.98),(59 17115.953),(60 17076.861),(61 17330.16),(62 17520.838),(63 17875.805),(64 18338.115),(65 18165.77),(66 17844.727),(67 17780.547),(68 17725.975),(69 17786.824),(70 17541.703),(71 17533.688),(72 17544.72),(73 17664.873),(74 17371.646),(75 17122.541),(76 16615.53),(77 16279.354),(78 15995.999),(79 16573.506),
(1 6271.7993),(2 11361.031),(3 13464.482),(4 14128.515),(5 14711.065),(6 15368),(7 15919.342),(8 16448.229),(9 16845.957),(10 16721.514),(11 16792.14),(12 16882.037),(13 16617.604),(14 16395.016),(15 16346.876),(16 16700.88),(17 16863.814),(18 16756.895),(19 16829.576),(20 16959.625),(21 17065.854),(22 17150.326),(23 17037.97),(24 16825.348),(25 17074.357),(26 17115.605),(27 17106.152),(28 16952.717),(29 17123.453),(30 17301.723),(31 17185.398),(32 17192.95),(33 16818.18),(34 16611.129),(35 16519.838),(36 16681.662),(37 16960.908),(38 17323.545),(39 17396.168),(40 17462.326),(41 17015.342),(42 17005.43),(43 17226.545),(44 17175.727),(45 16925.113),(46 16913.059),(47 16894.078),(48 16989.799),(49 17012.357),(50 17235.72),(51 17359.705),(52 17322.912),(53 17032.29),(54 16865.7),(55 16653.434),(56 16528.137),(57 16517.037),(58 16215.632),(59 16252.975),(60 16507.566),(61 16760.863),(62 16877.367),(63 17206.21),(64 17578.848),(65 17352.326),(66 16809.71),(67 16760.72),(68 16555.822),(69 16431.332),(70 16442.813),(71 16502.11),(72 16591.375),(73 16728.354),(74 16296.972),(75 16101.685),(76 15815.111),(77 15756.985),(78 15656.61),(79 16172.081),
(1 6097.6816),(2 10801.056),(3 12716.551),(4 13464.046),(5 14073.82),(6 14602.757),(7 14761.78),(8 15352.356),(9 15731.113),(10 15679.273),(11 15871.637),(12 16048.736),(13 15850.419),(14 15712.11),(15 15603.011),(16 15634.899),(17 15922.5625),(18 15987.61),(19 15829.773),(20 15799.106),(21 15944.2295),(22 15989.657),(23 15704.249),(24 15624.204),(25 16073.033),(26 16368.166),(27 16660.555),(28 16667.547),(29 16748.865),(30 16786.908),(31 16680.873),(32 16650.625),(33 16432.957),(34 16147.989),(35 16009.493),(36 16134.227),(37 16044.624),(38 16326.409),(39 16462.744),(40 16359.348),(41 16108.098),(42 16504.395),(43 16860.555),(44 16751.9),(45 16621.158),(46 16586.242),(47 16638.066),(48 16550.727),(49 16339.299),(50 16264.141),(51 16345.119),(52 16209.644),(53 15890.482),(54 15604.236),(55 15453.97),(56 15598.206),(57 15603.641),(58 15669.153),(59 16098.34),(60 16103.086),(61 16025.617),(62 16197.944),(63 16524.633),(64 16454.95),(65 16210.619),(66 15786.603),(67 15818.46),(68 15622.354),(69 15515.801),(70 15779.654),(71 15947.308),(72 15914.487),(73 15998.471),(74 15854.081),(75 15687.887),(76 15348.396),(77 15189.777),(78 15155.351),(79 15207.204),
(1 5883.2695),(2 10247.538),(3 12478.208),(4 13326.458),(5 13776.924),(6 14377.298),(7 14741.382),(8 14916.784),(9 15129.347),(10 15194.833),(11 15448.148),(12 15441.487),(13 15283.74),(14 15059.702),(15 15011.869),(16 14726.534),(17 14759.956),(18 14768.887),(19 14735.309),(20 14822.648),(21 15051.875),(22 15320.688),(23 15246.375),(24 15201.812),(25 15459.487),(26 15672.455),(27 16333.282),(28 16447.455),(29 16662.574),(30 16489.941),(31 16218.879),(32 16221.757),(33 16095.361),(34 15861.741),(35 15838.483),(36 16144.036),(37 16053.09),(38 16262.029),(39 16307.521),(40 16316.461),(41 16177.513),(42 16378.199),(43 16103.208),(44 16124.764),(45 16209.961),(46 16488.398),(47 16384.162),(48 16240.956),(49 16135.669),(50 16037.936),(51 16086.562),(52 15778.212),(53 15475.876),(54 15366.434),(55 15363.696),(56 15412.91),(57 15360.199),(58 15700.691),(59 16015.692),(60 15958.403),(61 16008.009),(62 16360.906),(63 16394.676),(64 16302.801),(65 16019.792),(66 15731.651),(67 15808.264),(68 15690.465),(69 15623.118),(70 15955.57),(71 16216.292),(72 16217.229),(73 16339.363),(74 16163.025),(75 15936.312),(76 15432.17),(77 15432.331),(78 15560.144),(79 15314.865),
(1 6141.682),(2 10655.634),(3 12524.519),(4 12993.471),(5 13404.6875),(6 14207.472),(7 14636.195),(8 14699.399),(9 14940.436),(10 15006.289),(11 15045.292),(12 15102.88),(13 15031.259),(14 14995.514),(15 14887.549),(16 14549.451),(17 14209.292),(18 14213.19),(19 14230.852),(20 14526.533),(21 14819.028),(22 15050.266),(23 14993.084),(24 14985.124),(25 15224.293),(26 15189.717),(27 15437.8125),(28 15659.942),(29 15967.0205),(30 15706.832),(31 15362.867),(32 15368.377),(33 15358.191),(34 15449.776),(35 15510.803),(36 15566.19),(37 15730.984),(38 15918.282),(39 15705.072),(40 15831.694),(41 15713.799),(42 15704.665),(43 15541.543),(44 15714.07),(45 15817.672),(46 15872.327),(47 15814.347),(48 15884.39),(49 15915.205),(50 15672.746),(51 15560.422),(52 15210.163),(53 15033.379),(54 15015.124),(55 14868.318),(56 14852.974),(57 15154.867),(58 15445.499),(59 15516.471),(60 15503.218),(61 15895.856),(62 16164.422),(63 15977.824),(64 15728.12),(65 15480.263),(66 15387.32),(67 15352.045),(68 15075.305),(69 14930.918),(70 15039.8545),(71 15464.0205),(72 15677.558),(73 15755.82),(74 15652.398),(75 15612.078),(76 14943.82),(77 14831.139),(78 14846.283),(79 14804.514),
(1 6023.3584),(2 10256.18),(3 12013.988),(4 12572.807),(5 13256.148),(6 13844.915),(7 14076.69),(8 14266.542),(9 14424.245),(10 14401.773),(11 14584.229),(12 14746.783),(13 14651.194),(14 14755.029),(15 14652.929),(16 14379.399),(17 14054.607),(18 14053.387),(19 14191.175),(20 14604.382),(21 14920.271),(22 15111.759),(23 14965.653),(24 15026.992),(25 15163.295),(26 14977.008),(27 14765.221),(28 14823.831),(29 15017.858),(30 14774.77),(31 14336.038),(32 14354.683),(33 14481.385),(34 14380.266),(35 14151.213),(36 14226.255),(37 14441.874),(38 14497.809),(39 14406.479),(40 14641.743),(41 14679.466),(42 14520.762),(43 14275.093),(44 14392.036),(45 14603.258),(46 14763.491),(47 14597.399),(48 14635.526),(49 14606.855),(50 14407.402),(51 14256.765),(52 14143.352),(53 14206.731),(54 14219.02),(55 14079.608),(56 13891.803),(57 14075.448),(58 14186.776),(59 14176.839),(60 14258.328),(61 14429.702),(62 14604.672),(63 14474.604),(64 14145.113),(65 13995.626),(66 14066.772),(67 13978.959),(68 14013.902),(69 13930.316),(70 13872.37),(71 14253.236),(72 14492.577),(73 14561.171),(74 14637.727),(75 14558.232),(76 13826.001),(77 13750.249),(78 13801.548),(79 13904.9),
(1 5863.9795),(2 9751.581),(3 11473.746),(4 12130.613),(5 12725.842),(6 13012.209),(7 13344.301),(8 13492.085),(9 13700.86),(10 13811.273),(11 13979.46),(12 14242.205),(13 14278.338),(14 14305.422),(15 14120.653),(16 13746.613),(17 13370.825),(18 13400.366),(19 13843.076),(20 14055.499),(21 14182.722),(22 14252.493),(23 14223.36),(24 14284.124),(25 14266.376),(26 14205.085),(27 14132.346),(28 13920.024),(29 14044.885),(30 13755.511),(31 13279.811),(32 13606.7705),(33 13724.175),(34 13696.042),(35 13420.452),(36 13690.191),(37 13960.549),(38 13921.208),(39 13901.784),(40 13891.474),(41 13850.256),(42 13755.866),(43 13738.161),(44 13691.896),(45 13730.006),(46 13822.356),(47 13867.3125),(48 14039.137),(49 13829.768),(50 13792.88),(51 13498.205),(52 13442.921),(53 13519.404),(54 13589.315),(55 13368.907),(56 13093.13),(57 13145.105),(58 13072.996),(59 13037.809),(60 13333.02),(61 13397.781),(62 13463.497),(63 13301.037),(64 13245.429),(65 13185.602),(66 13149.264),(67 13037.544),(68 12932.7705),(69 13087.082),(70 13365.123),(71 13524.35),(72 13677.994),(73 13883.99),(74 14106.13),(75 14041.544),(76 13368.544),(77 13321.015),(78 13385.898),(79 13237.681),
(1 5606.607),(2 9525.626),(3 11150.436),(4 11636.624),(5 12040.862),(6 12476.645),(7 12931.159),(8 12915.249),(9 13135.918),(10 13246.486),(11 13300.71),(12 13527.902),(13 13730.544),(14 13722.798),(15 13644.051),(16 13506.145),(17 13351.166),(18 13545.265),(19 13913.193),(20 14079.742),(21 13951.251),(22 13916.244),(23 13822.228),(24 13727.608),(25 13825.942),(26 13874.71),(27 14066.11),(28 13807.559),(29 13876.757),(30 13494.612),(31 13098.923),(32 13416.276),(33 13541.374),(34 13652.626),(35 13535.939),(36 13730.305),(37 14099.6045),(38 14000.096),(39 13844.317),(40 13760.418),(41 13647.886),(42 13761.318),(43 13789.332),(44 13762.908),(45 13521.736),(46 13286.892),(47 13402.485),(48 13367.249),(49 13280.08),(50 13362.599),(51 13217.813),(52 13313.534),(53 13263.513),(54 13005.588),(55 12950.265),(56 12875.817),(57 12659.022),(58 12515.162),(59 12645.97),(60 12981.652),(61 13169.767),(62 13369.027),(63 13196.68),(64 13104.379),(65 13133.23),(66 13251.7),(67 13130.962),(68 12849.492),(69 13014.618),(70 13329.95),(71 13395.05),(72 13320.691),(73 13598.226),(74 13745.328),(75 13512.047),(76 13216.728),(77 13159.121),(78 13172.352),(79 13112.987),
