(1 3.1670306),(2 6.4108577),(3 6.5105395),(4 10.269297),(5 20.17953),(6 23.861319),(7 23.938835),(8 28.75214),(9 35.943474),(10 38.474743),(11 38.551933),(12 42.1057),(13 46.96337),(14 49.65207),(15 49.654804),(16 51.2987),(17 55.92205),(18 57.690594),(19 57.754704),(20 60.853107),(21 65.52881),(22 69.78914),(23 69.779564),(24 71.97895),(25 72.790146),(26 72.07208),(27 72.233406),(28 71.810036),(29 72.419716),(30 74.12759),(31 74.107735),(32 75.10504),(33 78.66581),(34 81.37545),(35 81.390465),(36 82.580505),(37 84.5516),(38 84.73961),(39 84.93551),(40 84.38398),(41 82.63844),(42 82.189896),(43 82.235954),(44 82.99325),(45 84.63126),(46 84.87532),
(1 3.4521122),(2 7.050651),(3 7.0777783),(4 11.263205),(5 21.056406),(6 24.539589),(7 24.547523),(8 28.054783),(9 35.39396),(10 36.729527),(11 36.826336),(12 39.184917),(13 43.699856),(14 44.70755),(15 44.712215),(16 44.75962),(17 47.265244),(18 49.13923),(19 49.150963),(20 51.75581),(21 54.77708),(22 59.1026),(23 59.096664),(24 58.45796),(25 58.406395),(26 59.614704),(27 59.76219),(28 60.19674),(29 62.389202),(30 63.712368),(31 63.706192),(32 64.94854),(33 69.56446),(34 71.22433),(35 71.1956),(36 72.10889),(37 75.070854),(38 77.06825),(39 77.06704),(40 77.954544),(41 81.25808),(42 82.12171),(43 82.11921),(44 83.9944),(45 83.07879),(46 82.59798),
(1 4.1861286),(2 8.430518),(3 8.507413),(4 12.312953),(5 22.223482),(6 25.07657),(7 25.056932),(8 29.215902),(9 37.19963),(10 40.20919),(11 40.22968),(12 43.269478),(13 48.224148),(14 50.49637),(15 50.49592),(16 53.17988),(17 60.028027),(18 62.697464),(19 62.783497),(20 64.56926),(21 65.95765),(22 71.16111),(23 71.1594),(24 71.99024),(25 74.43344),(26 75.51772),(27 75.725784),(28 75.98665),(29 77.620964),(30 79.616104),(31 79.6064),(32 80.12984),(33 82.785164),(34 84.76084),(35 84.93591),(36 86.988075),(37 88.41135),(38 88.65689),(39 88.6197),(40 88.37882),(41 90.44159),(42 91.11365),(43 91.22153),(44 91.94022),(45 92.600105),(46 92.58432),
(1 3.800231),(2 7.6785936),(3 7.7371526),(4 11.421491),(5 20.68309),(6 23.965628),(7 23.97394),(8 27.686464),(9 34.459465),(10 36.61466),(11 36.64609),(12 39.603836),(13 43.676918),(14 45.604786),(15 45.604103),(16 47.833797),(17 53.294853),(18 55.766563),(19 55.780437),(20 57.198517),(21 57.957523),(22 62.036354),(23 62.04084),(24 62.78687),(25 66.48966),(26 66.71457),(27 66.80914),(28 66.73337),(29 70.35496),(30 72.33204),(31 72.31222),(32 74.10694),(33 76.51538),(34 77.13192),(35 77.18152),(36 77.91638),(37 81.42395),(38 82.047035),(39 82.12878),(40 82.67623),(41 85.25843),(42 85.14115),(43 85.07186),(44 85.95819),(45 89.862915),(46 91.13505),
(1 3.0891118),(2 6.360691),(3 6.4250436),(4 9.745905),(5 19.503944),(6 22.736172),(7 22.743954),(8 27.329823),(9 34.198723),(10 37.689724),(11 37.644924),(12 39.97474),(13 44.324528),(14 46.145058),(15 46.145824),(16 47.685238),(17 51.942707),(18 53.995434),(19 54.049236),(20 55.863724),(21 58.213146),(22 63.270336),(23 63.279434),(24 64.970505),(25 65.86629),(26 67.37791),(27 67.37552),(28 68.677635),(29 70.889336),(30 72.22759),(31 72.218216),(32 72.18514),(33 74.61584),(34 75.84307),(35 75.93456),(36 76.42272),(37 78.182175),(38 80.1512),(39 80.203705),(40 81.00537),(41 83.66834),(42 83.412544),(43 83.42934),(44 82.718376),(45 82.53147),(46 83.525215),
(1 3.2929094),(2 7.1304245),(3 7.2024493),(4 10.793451),(5 19.254078),(6 21.418503),(7 21.446117),(8 23.992285),(9 30.106192),(10 32.252808),(11 32.287342),(12 34.665047),(13 40.365555),(14 42.007996),(15 42.0136),(16 43.875553),(17 48.029545),(18 49.91858),(19 49.88104),(20 51.17391),(21 52.03895),(22 55.39904),(23 55.398926),(24 55.726665),(25 56.512493),(26 58.37509),(27 58.435),(28 60.27191),(29 64.72121),(30 65.984474),(31 65.97276),(32 66.987724),(33 69.73337),(34 70.37098),(35 70.36919),(36 71.02224),(37 71.26411),(38 72.030815),(39 71.907906),(40 72.671295),(41 74.92196),(42 75.78711),(43 75.84773),(44 76.966034),(45 76.865074),(46 76.70602),
(1 3.1527119),(2 6.47766),(3 6.5194187),(4 10.010121),(5 18.432896),(6 20.605154),(7 20.593184),(8 23.4466),(9 28.641336),(10 30.661758),(11 30.731997),(12 33.419),(13 40.658558),(14 43.47313),(15 43.47694),(16 44.879368),(17 47.446632),(18 48.70186),(19 48.73534),(20 49.96685),(21 50.572243),(22 53.488033),(23 53.49062),(24 54.17893),(25 55.88012),(26 56.922638),(27 57.02541),(28 58.1854),(29 62.65531),(30 64.872665),(31 64.89605),(32 65.61136),(33 67.06905),(34 68.8414),(35 68.73476),(36 70.31731),(37 74.287415),(38 77.369026),(39 77.353165),(40 78.69179),(41 79.799576),(42 79.67486),(43 79.61058),(44 80.211395),(45 80.45386),(46 81.3394),
(1 3.5527081),(2 7.106124),(3 7.139427),(4 10.752777),(5 19.6284),(6 22.891865),(7 22.88971),(8 26.815756),(9 34.92346),(10 37.04247),(11 37.070873),(12 40.109837),(13 45.673855),(14 47.625957),(15 47.632046),(16 48.891724),(17 49.601),(18 51.0816),(19 51.163403),(20 52.22687),(21 53.1755),(22 55.389355),(23 55.394108),(24 56.757843),(25 59.544884),(26 60.293232),(27 60.490887),(28 62.49381),(29 66.82384),(30 69.13075),(31 69.12338),(32 70.03705),(33 70.97851),(34 70.95579),(35 70.999214),(36 71.16684),(37 73.88901),(38 75.43296),(39 75.56634),(40 76.211365),(41 76.43418),(42 76.57977),(43 76.616776),(44 76.30324),(45 77.28716),(46 77.8223),
(1 3.2370548),(2 6.3794866),(3 6.4334536),(4 9.963455),(5 17.786394),(6 20.526346),(7 20.534376),(8 24.175365),(9 29.606722),(10 32.012463),(11 32.070724),(12 34.661896),(13 40.861828),(14 43.23604),(15 43.244595),(16 44.17717),(17 43.65698),(18 44.94572),(19 44.99102),(20 45.75959),(21 46.970364),(22 51.458843),(23 51.474255),(24 52.563274),(25 55.728336),(26 57.702183),(27 57.8172),(28 59.5307),(29 62.52331),(30 63.18607),(31 63.19806),(32 63.66841),(33 64.51992),(34 64.4828),(35 64.50687),(36 64.729675),(37 67.16285),(38 68.905304),(39 68.98689),(40 69.86957),(41 71.515526),(42 72.634995),(43 72.712555),(44 73.169174),(45 72.21956),(46 72.19625),
(1 3.3651855),(2 6.746758),(3 6.8176684),(4 10.137905),(5 17.95078),(6 20.392487),(7 20.371971),(8 24.27429),(9 30.401867),(10 33.53765),(11 33.659496),(12 37.131886),(13 43.112923),(14 45.294518),(15 45.296764),(16 47.38999),(17 50.788517),(18 51.666313),(19 51.711987),(20 51.670265),(21 51.64243),(22 56.127438),(23 56.12257),(24 57.709698),(25 60.481216),(26 63.275505),(27 63.347797),(28 65.203865),(29 65.57093),(30 66.33919),(31 66.34829),(32 67.10084),(33 69.78218),(34 71.72098),(35 71.75746),(36 72.11357),(37 74.03899),(38 75.29014),(39 75.38917),(40 75.09059),(41 74.648285),(42 75.259),(43 75.36432),(44 75.03607),(45 75.77899),(46 75.88029),
(1 3.6347117),(2 6.736055),(3 6.8115497),(4 9.735004),(5 17.080778),(6 19.8792),(7 19.85332),(8 23.225058),(9 29.119062),(10 31.64293),(11 31.678274),(12 34.410393),(13 38.522743),(14 39.914715),(15 39.919838),(16 41.222446),(17 44.609768),(18 46.480453),(19 46.530087),(20 46.760063),(21 47.59016),(22 52.093582),(23 52.098217),(24 54.100918),(25 57.195686),(26 59.59833),(27 59.693405),(28 61.246883),(29 63.591312),(30 64.04708),(31 64.0421),(32 64.639694),(33 66.32412),(34 67.40425),(35 67.2688),(36 68.435715),(37 70.24743),(38 71.96216),(39 72.118614),(40 73.23441),(41 75.10989),(42 75.01057),(43 75.12363),(44 73.99376),(45 73.72689),(46 72.98715),
(1 4.099958),(2 7.415192),(3 7.492549),(4 10.262449),(5 17.74318),(6 20.528378),(7 20.519821),(8 23.565826),(9 30.262259),(10 32.9531),(11 32.94479),(12 35.809513),(13 40.099533),(14 40.708355),(15 40.688694),(16 41.1955),(17 43.622494),(18 45.03294),(19 45.068497),(20 45.86147),(21 46.992584),(22 50.514606),(23 50.516376),(24 51.182724),(25 53.015953),(26 54.770805),(27 54.894745),(28 56.6176),(29 60.41417),(30 62.773487),(31 62.770004),(32 64.845856),(33 67.00058),(34 67.82373),(35 67.76557),(36 69.01471),(37 70.063385),(38 70.79009),(39 70.86602),(40 71.06472),(41 73.26267),(42 73.50669),(43 73.58587),(44 75.522285),(45 77.46837),(46 78.07919),
