1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,
(1 0.10465214),(2 0.14266577),(3 0.14439856),(4 0.17104195),(5 0.2911506),(6 0.3216522),(7 0.32292196),(8 0.35496917),(9 0.41417417),(10 0.43282655),(11 0.4342748),(12 0.45426974),(13 0.494264),(14 0.52287),(15 0.5228375),(16 0.5443785),(17 0.56662124),(18 0.5822968),(19 0.5841263),(20 0.5938936),(21 0.61356086),(22 0.7277172),(23 0.7278),(24 0.7389701),(25 0.75323814),(26 0.7649932),(27 0.77325785),(28 0.78221256),(29 0.8060365),(30 0.82724065),(31 0.82731825),(32 0.8266036),(33 0.8294824),(34 0.8344654),(35 0.8353216),(36 0.84124565),(37 0.84952366),(38 0.8539561),(39 0.8541076),(40 0.8547114),(41 0.85904676),(42 0.8602664),(43 0.8612032),(44 0.8658009),(45 0.8662421),(46 0.86836016),
(1 0.09128935),(2 0.12537962),(3 0.12690541),(4 0.15136276),(5 0.25000107),(6 0.27754882),(7 0.27871472),(8 0.30278277),(9 0.35487905),(10 0.37119043),(11 0.37253997),(12 0.39119267),(13 0.42404416),(14 0.45146632),(15 0.4514503),(16 0.46752426),(17 0.48751837),(18 0.50132906),(19 0.50209266),(20 0.5142471),(21 0.531269),(22 0.6297452),(23 0.6297938),(24 0.6369152),(25 0.65077007),(26 0.6629174),(27 0.6704762),(28 0.6744656),(29 0.68979424),(30 0.70164025),(31 0.7015936),(32 0.69843394),(33 0.7056182),(34 0.70414084),(35 0.7057126),(36 0.7054244),(37 0.7210765),(38 0.7260713),(39 0.7268009),(40 0.7258879),(41 0.7332822),(42 0.73617446),(43 0.7364953),(44 0.7401103),(45 0.73535347),(46 0.7415685),
(1 0.08863425),(2 0.12182425),(3 0.12322271),(4 0.14726448),(5 0.23973475),(6 0.26331967),(7 0.2644621),(8 0.28937602),(9 0.3370711),(10 0.3518436),(11 0.35336912),(12 0.36759576),(13 0.39900383),(14 0.4184483),(15 0.41848376),(16 0.4325003),(17 0.45290413),(18 0.46471998),(19 0.4659609),(20 0.47766194),(21 0.49156633),(22 0.58910125),(23 0.58914423),(24 0.60020113),(25 0.61299354),(26 0.6232562),(27 0.6304465),(28 0.6350451),(29 0.6467416),(30 0.6605442),(31 0.6605913),(32 0.662666),(33 0.66314584),(34 0.6653365),(35 0.6661902),(36 0.6718506),(37 0.67967415),(38 0.68007344),(39 0.6807127),(40 0.68191415),(41 0.68642724),(42 0.69001865),(43 0.69051087),(44 0.6933281),(45 0.6928923),(46 0.69884664),
(1 0.07710058),(2 0.10739845),(3 0.10874247),(4 0.12999809),(5 0.20979327),(6 0.22990261),(7 0.23063754),(8 0.2538366),(9 0.29478648),(10 0.30408278),(11 0.30482948),(12 0.32009593),(13 0.34928995),(14 0.3696591),(15 0.36972737),(16 0.3822124),(17 0.3974264),(18 0.4083179),(19 0.4093999),(20 0.41685984),(21 0.42962083),(22 0.5149601),(23 0.5150187),(24 0.52463454),(25 0.53724754),(26 0.5429476),(27 0.5495473),(28 0.55182487),(29 0.5612699),(30 0.5763256),(31 0.5763818),(32 0.57483876),(33 0.5786676),(34 0.5806251),(35 0.5817888),(36 0.585224),(37 0.5968759),(38 0.5997488),(39 0.6011668),(40 0.59930867),(41 0.6029086),(42 0.6063779),(43 0.60683423),(44 0.6081888),(45 0.6091036),(46 0.6142491),
(1 0.06322328),(2 0.088354886),(3 0.089500464),(4 0.10562296),(5 0.16853623),(6 0.18462275),(7 0.18497446),(8 0.20312989),(9 0.24008769),(10 0.24897943),(11 0.24994202),(12 0.26287436),(13 0.2833679),(14 0.30018294),(15 0.30016705),(16 0.31112194),(17 0.3236824),(18 0.33267206),(19 0.33334762),(20 0.34232184),(21 0.35042548),(22 0.42723083),(23 0.42724025),(24 0.43385735),(25 0.4404837),(26 0.44493443),(27 0.4510012),(28 0.45308694),(29 0.46362278),(30 0.4763447),(31 0.47634843),(32 0.47592044),(33 0.47744036),(34 0.47816786),(35 0.4778471),(36 0.4779649),(37 0.48565757),(38 0.48844257),(39 0.48920605),(40 0.4898975),(41 0.49366954),(42 0.49622884),(43 0.49623686),(44 0.49838558),(45 0.50040203),(46 0.50055265),
(1 0.051590778),(2 0.07289955),(3 0.07370647),(4 0.08559044),(5 0.13514733),(6 0.14720076),(7 0.1478849),(8 0.16191974),(9 0.1917564),(10 0.19725317),(11 0.19757092),(12 0.20671076),(13 0.22573033),(14 0.24079223),(15 0.24080859),(16 0.24931881),(17 0.25921124),(18 0.26842156),(19 0.26869717),(20 0.27470747),(21 0.2794336),(22 0.337642),(23 0.33765706),(24 0.34531584),(25 0.35165036),(26 0.3552972),(27 0.35956758),(28 0.36213538),(29 0.36958602),(30 0.3746169),(31 0.3746755),(32 0.37448734),(33 0.37777454),(34 0.3807209),(35 0.38120565),(36 0.3830649),(37 0.3901846),(38 0.39358112),(39 0.39452186),(40 0.3923264),(41 0.39429435),(42 0.39588216),(43 0.39633414),(44 0.39792538),(45 0.40455663),(46 0.40552622),
(1 0.04583342),(2 0.06537809),(3 0.06610928),(4 0.07752401),(5 0.12344317),(6 0.13379812),(7 0.13438873),(8 0.14716269),(9 0.17332716),(10 0.17958456),(11 0.18030538),(12 0.18972124),(13 0.2067996),(14 0.21710263),(15 0.21710284),(16 0.22548404),(17 0.23576343),(18 0.24156095),(19 0.2417288),(20 0.24850297),(21 0.25456056),(22 0.31097567),(23 0.31099334),(24 0.31323835),(25 0.32052663),(26 0.32147634),(27 0.32649574),(28 0.32882896),(29 0.33648196),(30 0.34358642),(31 0.34367028),(32 0.342958),(33 0.34354192),(34 0.34619573),(35 0.34599558),(36 0.3465603),(37 0.35287246),(38 0.35337594),(39 0.35402575),(40 0.35344255),(41 0.3539941),(42 0.35432553),(43 0.3543248),(44 0.35661313),(45 0.36227733),(46 0.36141145),
(1 0.04358521),(2 0.061420355),(3 0.06204024),(4 0.07274489),(5 0.11463549),(6 0.12468572),(7 0.12516661),(8 0.13611752),(9 0.16217707),(10 0.16654228),(11 0.16682819),(12 0.17602257),(13 0.19187452),(14 0.20288958),(15 0.20285767),(16 0.20938228),(17 0.21843721),(18 0.22471252),(19 0.22547968),(20 0.22941712),(21 0.23534536),(22 0.28896046),(23 0.28896725),(24 0.29397658),(25 0.29863507),(26 0.30159646),(27 0.30560595),(28 0.30832723),(29 0.31718796),(30 0.3212428),(31 0.3213156),(32 0.32174423),(33 0.32512298),(34 0.32733303),(35 0.3276052),(36 0.32818457),(37 0.33290976),(38 0.33153322),(39 0.3318712),(40 0.33195153),(41 0.33407527),(42 0.33451006),(43 0.33465394),(44 0.33558694),(45 0.33956656),(46 0.3406131),
(1 0.03671893),(2 0.05219741),(3 0.052586857),(4 0.06142489),(5 0.09628434),(6 0.10484151),(7 0.10523498),(8 0.115116864),(9 0.13676406),(10 0.14227699),(11 0.14258307),(12 0.15003152),(13 0.16308357),(14 0.17070377),(15 0.17069386),(16 0.17647445),(17 0.18474768),(18 0.18898144),(19 0.18958297),(20 0.19547902),(21 0.1990212),(22 0.24234648),(23 0.24237072),(24 0.24370709),(25 0.24779667),(26 0.25039238),(27 0.25401086),(28 0.25564492),(29 0.2636179),(30 0.26878548),(31 0.2688628),(32 0.2693659),(33 0.27023152),(34 0.27169612),(35 0.2723752),(36 0.2746898),(37 0.27663407),(38 0.278503),(39 0.2791251),(40 0.27748406),(41 0.28099075),(42 0.28053597),(43 0.2807534),(44 0.28165445),(45 0.28337443),(46 0.28302464),
(1 0.034642365),(2 0.0492449),(3 0.049608868),(4 0.057853863),(5 0.09048742),(6 0.097855434),(7 0.098278426),(8 0.10722999),(9 0.12892255),(10 0.1327591),(11 0.13332438),(12 0.14097586),(13 0.15337963),(14 0.16145499),(15 0.16144279),(16 0.16697486),(17 0.17479272),(18 0.179132),(19 0.17944291),(20 0.18307115),(21 0.18691894),(22 0.22882594),(23 0.22884874),(24 0.23202167),(25 0.23622571),(26 0.23819868),(27 0.24070814),(28 0.24247703),(29 0.24839228),(30 0.25254795),(31 0.2525947),(32 0.2532939),(33 0.25612766),(34 0.2591989),(35 0.25927213),(36 0.25996462),(37 0.26389647),(38 0.26247108),(39 0.26270536),(40 0.26410818),(41 0.266122),(42 0.26627696),(43 0.266455),(44 0.2652163),(45 0.26835826),(46 0.2689657),
(1 0.031274408),(2 0.043434296),(3 0.043707408),(4 0.05054572),(5 0.08005687),(6 0.086634874),(7 0.08689533),(8 0.095468424),(9 0.112553075),(10 0.11641931),(11 0.11651108),(12 0.12310666),(13 0.13385324),(14 0.14065573),(15 0.14064132),(16 0.1462091),(17 0.1542502),(18 0.15809333),(19 0.15828244),(20 0.1615355),(21 0.16628869),(22 0.20051457),(23 0.20052367),(24 0.20255849),(25 0.2061101),(26 0.20762278),(27 0.21046577),(28 0.21154267),(29 0.21774435),(30 0.22300085),(31 0.22299705),(32 0.2229228),(33 0.22572021),(34 0.22620302),(35 0.22628607),(36 0.22702481),(37 0.2307191),(38 0.23255123),(39 0.23289266),(40 0.23258188),(41 0.23491208),(42 0.23410922),(43 0.23411386),(44 0.23414302),(45 0.23700593),(46 0.23723686),
