(1 1.942874),(2 3.545565),(3 3.560271),(4 4.9877467),(5 8.366971),(6 9.460017),(7 9.454823),(8 10.791304),(9 13.304201),(10 14.260446),(11 14.286652),(12 15.630067),(13 17.96732),(14 18.176844),(15 18.176481),(16 18.285507),(17 18.763859),(18 19.380987),(19 19.37628),(20 19.371922),(21 19.98377),(22 21.204813),(23 21.20198),(24 21.88297),(25 22.304695),(26 23.453575),(27 23.503004),(28 24.556902),(29 26.44417),(30 27.16908),(31 27.161964),(32 27.904259),(33 28.539076),(34 28.802683),(35 28.75417),(36 28.950024),(37 29.140379),(38 29.119308),(39 29.159067),(40 29.347185),(41 30.099268),(42 30.031107),(43 30.092955),(44 30.14269),(45 30.614807),(46 30.772305),
(1 1.8728422),(2 3.552905),(3 3.5739117),(4 5.199918),(5 8.936599),(6 10.072043),(7 10.068049),(8 11.337482),(9 13.307962),(10 14.460496),(11 14.435422),(12 15.319106),(13 16.781027),(14 16.969078),(15 16.967909),(16 17.561611),(17 18.880932),(18 19.613497),(19 19.591005),(20 20.164759),(21 20.958704),(22 21.440374),(23 21.43873),(24 21.262491),(25 21.321608),(26 21.454714),(27 21.532492),(28 22.084435),(29 23.529064),(30 23.983654),(31 23.981115),(32 24.545525),(33 25.228216),(34 25.690315),(35 25.722271),(36 26.94071),(37 28.93736),(38 29.188787),(39 29.247705),(40 29.39626),(41 29.304647),(42 29.060724),(43 29.086945),(44 29.57092),(45 31.196386),(46 31.698013),
(1 1.9011912),(2 3.6337163),(3 3.6626117),(4 5.3141766),(5 8.563703),(6 9.240757),(7 9.265421),(8 10.266904),(9 12.127616),(10 13.190065),(11 13.198858),(12 14.275393),(13 15.308134),(14 15.129018),(15 15.129189),(16 15.399963),(17 15.527103),(18 15.761429),(19 15.770081),(20 15.963424),(21 16.581327),(22 17.816866),(23 17.819101),(24 18.235714),(25 18.84976),(26 19.002378),(27 19.037415),(28 19.655483),(29 19.915329),(30 20.265535),(31 20.270697),(32 20.474634),(33 20.699755),(34 21.385147),(35 21.384602),(36 21.789097),(37 22.577013),(38 22.730595),(39 22.760944),(40 22.747131),(41 22.521688),(42 22.591047),(43 22.612938),(44 22.918774),(45 24.339365),(46 23.999104),
(1 1.6506605),(2 3.1501257),(3 3.1658995),(4 4.61958),(5 7.2816834),(6 8.142065),(7 8.150636),(8 8.870268),(9 11.11657),(10 12.164186),(11 12.19312),(12 13.162306),(13 13.323258),(14 13.152519),(15 13.151102),(16 13.3004265),(17 14.152837),(18 14.566914),(19 14.598818),(20 14.950912),(21 15.5544195),(22 16.826727),(23 16.831682),(24 17.235653),(25 18.441582),(26 18.794142),(27 18.791689),(28 18.634882),(29 18.452837),(30 18.7865),(31 18.78178),(32 18.715994),(33 18.454275),(34 18.677149),(35 18.674774),(36 19.413586),(37 21.322206),(38 21.809238),(39 21.8236),(40 21.79039),(41 21.412601),(42 21.602278),(43 21.603125),(44 21.910082),(45 22.355288),(46 22.438221),
(1 1.8448591),(2 3.4261053),(3 3.4482768),(4 4.8934407),(5 7.061504),(6 7.401871),(7 7.4264526),(8 7.977314),(9 9.905211),(10 10.796986),(11 10.847316),(12 11.4848),(13 12.045818),(14 12.529417),(15 12.530037),(16 13.383569),(17 14.145297),(18 14.754333),(19 14.76499),(20 15.124798),(21 15.519693),(22 16.586054),(23 16.586346),(24 16.791471),(25 17.503754),(26 17.990944),(27 18.027225),(28 18.335451),(29 18.326698),(30 18.381676),(31 18.386541),(32 18.449108),(33 19.239624),(34 19.801744),(35 19.79828),(36 19.821304),(37 18.912285),(38 19.141214),(39 19.15011),(40 19.477234),(41 20.194292),(42 20.769587),(43 20.838827),(44 21.852837),(45 22.442207),(46 22.58461),
(1 1.6507455),(2 2.9738512),(3 3.0030918),(4 4.1124587),(5 6.1301317),(6 6.907601),(7 6.9188385),(8 7.949919),(9 10.339566),(10 11.039642),(11 11.067459),(12 11.429137),(13 12.369905),(14 12.67324),(15 12.673537),(16 12.724536),(17 13.0941925),(18 13.815065),(19 13.812222),(20 14.359165),(21 15.173972),(22 16.529293),(23 16.52961),(24 16.811878),(25 17.058731),(26 17.058077),(27 17.114607),(28 17.248093),(29 17.787264),(30 18.348879),(31 18.36203),(32 18.852135),(33 20.274227),(34 20.575916),(35 20.599073),(36 20.893604),(37 20.857597),(38 21.075094),(39 21.091269),(40 21.50173),(41 21.685934),(42 21.449697),(43 21.46006),(44 21.117807),(45 20.925043),(46 21.103752),
(1 1.541828),(2 2.7471592),(3 2.769018),(4 3.7247841),(5 6.045712),(6 6.77631),(7 6.780145),(8 7.980901),(9 9.872341),(10 10.58562),(11 10.61881),(12 11.170347),(13 11.838997),(14 12.494113),(15 12.494529),(16 12.707922),(17 13.134402),(18 13.233509),(19 13.281429),(20 13.6331005),(21 14.60862),(22 15.552531),(23 15.553418),(24 16.159136),(25 16.63089),(26 16.398798),(27 16.405197),(28 16.353178),(29 16.345152),(30 16.914095),(31 16.914917),(32 17.123661),(33 18.012793),(34 18.33789),(35 18.338427),(36 18.589989),(37 18.566305),(38 18.752247),(39 18.759066),(40 19.033325),(41 19.381145),(42 19.608784),(43 19.60863),(44 19.765394),(45 19.392763),(46 19.48508),
(1 1.5632826),(2 2.8774233),(3 2.8963537),(4 4.2045584),(5 6.5480137),(6 7.0998106),(7 7.1027465),(8 7.8171487),(9 9.597985),(10 10.285878),(11 10.294464),(12 10.886359),(13 11.617337),(14 11.793687),(15 11.794034),(16 11.957736),(17 12.969743),(18 13.342728),(19 13.354005),(20 14.011566),(21 14.308238),(22 15.344412),(23 15.34621),(24 16.211327),(25 17.399755),(26 17.92012),(27 17.967276),(28 18.23866),(29 18.51138),(30 18.738493),(31 18.752012),(32 18.58344),(33 19.05449),(34 19.32324),(35 19.344662),(36 19.251444),(37 19.556112),(38 19.428446),(39 19.460688),(40 19.246222),(41 19.473969),(42 20.270617),(43 20.248653),(44 20.749765),(45 21.377758),(46 21.362972),
(1 1.3877641),(2 2.3462589),(3 2.3614957),(4 3.2021277),(5 5.3137155),(6 6.19233),(7 6.190219),(8 6.961969),(9 8.438708),(10 8.90342),(11 8.940135),(12 9.611905),(13 10.773776),(14 11.582313),(15 11.581011),(16 12.321803),(17 13.037357),(18 13.060574),(19 13.084683),(20 13.171816),(21 13.008606),(22 14.43636),(23 14.435314),(24 14.6327),(25 15.497004),(26 16.407084),(27 16.394844),(28 16.931223),(29 17.896414),(30 17.885134),(31 17.889473),(32 17.504902),(33 17.645405),(34 18.04661),(35 18.09156),(36 18.504568),(37 18.373775),(38 18.352446),(39 18.353569),(40 18.4326),(41 18.38),(42 18.431051),(43 18.44289),(44 18.637337),(45 18.416094),(46 18.066374),
(1 1.4537926),(2 2.639908),(3 2.6408954),(4 3.781206),(5 5.7059956),(6 6.2278852),(7 6.244146),(8 6.7740884),(9 8.411239),(10 9.124357),(11 9.156861),(12 9.621266),(13 10.405121),(14 10.891943),(15 10.892776),(16 11.11711),(17 12.185548),(18 12.776594),(19 12.788848),(20 13.407597),(21 13.523108),(22 14.497938),(23 14.498065),(24 14.423534),(25 14.828352),(26 15.239062),(27 15.302769),(28 15.726448),(29 16.30396),(30 16.331463),(31 16.333464),(32 15.900334),(33 15.750285),(34 15.758785),(35 15.790422),(36 16.00517),(37 15.962437),(38 16.31211),(39 16.338772),(40 16.674215),(41 17.60424),(42 18.023943),(43 18.017197),(44 18.282738),(45 17.932695),(46 17.893793),
