1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,
(1 0.7378797),(2 1.221109),(3 1.2385546),(4 1.4827391),(5 2.5108433),(6 2.7891533),(7 2.7958522),(8 3.164327),(9 3.900929),(10 4.102641),(11 4.1159716),(12 4.371809),(13 4.889747),(14 5.2137985),(15 5.2143764),(16 5.3978443),(17 5.5707393),(18 5.6566443),(19 5.6644754),(20 5.7652106),(21 5.7947426),(22 6.448062),(23 6.448575),(24 6.5571156),(25 6.8887134),(26 7.080736),(27 7.117342),(28 7.1118317),(29 7.1306996),(30 7.2382154),(31 7.2368665),(32 7.2668195),(33 7.385651),(34 7.485697),(35 7.4961996),(36 7.626605),(37 7.8022237),(38 7.902157),(39 7.908916),(40 8.011064),(41 8.17449),(42 8.247688),(43 8.255277),(44 8.299263),(45 8.324688),(46 8.311705),
(1 0.6784122),(2 1.1593425),(3 1.1734211),(4 1.3947049),(5 2.3670762),(6 2.6936991),(7 2.7007024),(8 3.0555775),(9 3.768789),(10 4.0809197),(11 4.0966053),(12 4.3288913),(13 4.7617455),(14 5.014491),(15 5.01517),(16 5.22523),(17 5.521383),(18 5.736998),(19 5.7519264),(20 5.8327303),(21 5.960507),(22 6.5371113),(23 6.537828),(24 6.6129594),(25 6.855671),(26 7.039383),(27 7.06449),(28 7.0917296),(29 7.1495295),(30 7.24143),(31 7.24),(32 7.267861),(33 7.454054),(34 7.5904803),(35 7.60006),(36 7.6678953),(37 7.7645493),(38 7.6498027),(39 7.6607394),(40 7.6091824),(41 7.7194557),(42 7.793892),(43 7.7891474),(44 7.8747435),(45 7.905423),(46 7.853422),
(1 0.8273988),(2 1.3665843),(3 1.3770723),(4 1.5728722),(5 2.5700843),(6 2.889329),(7 2.8988307),(8 3.2405164),(9 3.907107),(10 4.1890287),(11 4.19696),(12 4.44459),(13 4.9071045),(14 5.1718497),(15 5.171717),(16 5.3507257),(17 5.5268197),(18 5.781163),(19 5.78738),(20 5.902225),(21 5.9281983),(22 6.576823),(23 6.57587),(24 6.6407623),(25 6.8699694),(26 7.020999),(27 7.0397253),(28 6.94357),(29 7.156898),(30 7.3607416),(31 7.361608),(32 7.4193172),(33 7.706255),(34 7.789099),(35 7.8038692),(36 7.8498034),(37 7.834815),(38 7.90498),(39 7.904076),(40 7.9949307),(41 7.9386225),(42 8.038006),(43 8.035679),(44 8.101305),(45 8.227809),(46 8.287301),
(1 0.77807665),(2 1.2520641),(3 1.2646997),(4 1.4440547),(5 2.3704295),(6 2.6808412),(7 2.6895564),(8 3.0348341),(9 3.7432292),(10 3.9927137),(11 4.006145),(12 4.263361),(13 4.574783),(14 4.8762975),(15 4.8753295),(16 5.1433306),(17 5.3580585),(18 5.550546),(19 5.5643578),(20 5.767194),(21 5.8750486),(22 6.5176153),(23 6.517602),(24 6.587012),(25 6.722191),(26 6.851024),(27 6.865352),(28 6.795838),(29 6.96946),(30 7.1157146),(31 7.11682),(32 7.1665516),(33 7.387931),(34 7.442957),(35 7.444855),(36 7.451026),(37 7.5236473),(38 7.576516),(39 7.5819263),(40 7.5623403),(41 7.5601406),(42 7.5865707),(43 7.6043057),(44 7.7007036),(45 7.8678927),(46 7.879422),
(1 0.674622),(2 1.0668168),(3 1.0776399),(4 1.2738346),(5 2.177329),(6 2.4238327),(7 2.4285295),(8 2.739542),(9 3.3273263),(10 3.5152924),(11 3.5245438),(12 3.7281392),(13 4.0314116),(14 4.30608),(15 4.3062572),(16 4.506458),(17 4.7685804),(18 4.9470654),(19 4.9565415),(20 5.068766),(21 5.1229963),(22 5.6872582),(23 5.687254),(24 5.7153335),(25 5.930132),(26 6.0557847),(27 6.0811825),(28 6.161718),(29 6.2532744),(30 6.311066),(31 6.311913),(32 6.2896037),(33 6.4547353),(34 6.5673847),(35 6.575805),(36 6.690381),(37 6.836065),(38 6.856444),(39 6.8646564),(40 6.821423),(41 6.781031),(42 6.7902718),(43 6.790709),(44 6.8323374),(45 6.861847),(46 6.8629055),
(1 0.6117447),(2 0.9394737),(3 0.9504358),(4 1.1181244),(5 1.9489641),(6 2.1639123),(7 2.1709108),(8 2.41448),(9 2.869913),(10 3.0676296),(11 3.0786273),(12 3.277785),(13 3.6031604),(14 3.798302),(15 3.798562),(16 3.8692198),(17 4.1033754),(18 4.2583036),(19 4.2635775),(20 4.412939),(21 4.467919),(22 4.955399),(23 4.9550877),(24 5.0257645),(25 5.2278876),(26 5.183301),(27 5.198177),(28 5.2338023),(29 5.370098),(30 5.501529),(31 5.503032),(32 5.509951),(33 5.5145125),(34 5.5792685),(35 5.5813627),(36 5.6645217),(37 5.7781835),(38 5.785373),(39 5.794133),(40 5.8226),(41 5.904601),(42 5.935694),(43 5.942961),(44 6.0190673),(45 6.116955),(46 6.1175904),
(1 0.5978748),(2 0.9066648),(3 0.91964024),(4 1.0702409),(5 1.8032877),(6 1.9817425),(7 1.9874761),(8 2.206443),(9 2.6723995),(10 2.7806528),(11 2.7903266),(12 2.9449937),(13 3.2349806),(14 3.435977),(15 3.436975),(16 3.4936616),(17 3.6707568),(18 3.7968388),(19 3.8027337),(20 3.9257584),(21 4.0282555),(22 4.5366144),(23 4.536584),(24 4.6474996),(25 4.718301),(26 4.7347846),(27 4.758999),(28 4.7656336),(29 4.9427056),(30 5.0080643),(31 5.008598),(32 5.023565),(33 5.118317),(34 5.2222824),(35 5.2278237),(36 5.288986),(37 5.3288093),(38 5.420635),(39 5.433926),(40 5.3869047),(41 5.3633246),(42 5.4093494),(43 5.4156785),(44 5.426935),(45 5.520719),(46 5.521522),
(1 0.6137906),(2 0.91830724),(3 0.92466533),(4 1.0520529),(5 1.7416563),(6 1.9972969),(7 2.0077538),(8 2.2681823),(9 2.7213492),(10 2.8346968),(11 2.8451273),(12 2.9950302),(13 3.2555468),(14 3.4527662),(15 3.4528346),(16 3.55731),(17 3.6917026),(18 3.7942235),(19 3.8085966),(20 3.9256425),(21 4.1013646),(22 4.6007967),(23 4.6003385),(24 4.621485),(25 4.6957207),(26 4.8226867),(27 4.8545027),(28 4.880747),(29 4.9722753),(30 5.095569),(31 5.0969625),(32 5.108274),(33 5.25473),(34 5.2799273),(35 5.286275),(36 5.3089375),(37 5.397346),(38 5.425213),(39 5.433955),(40 5.4194846),(41 5.45553),(42 5.5184493),(43 5.5188837),(44 5.5620327),(45 5.6006675),(46 5.5575128),
(1 0.5371525),(2 0.79571694),(3 0.8053737),(4 0.9448217),(5 1.5924628),(6 1.8080181),(7 1.8115004),(8 2.0209653),(9 2.4404387),(10 2.5591273),(11 2.5663216),(12 2.6892123),(13 2.9294028),(14 3.1437118),(15 3.144192),(16 3.2961118),(17 3.4180593),(18 3.4861112),(19 3.4944448),(20 3.5971644),(21 3.6557431),(22 4.092802),(23 4.092567),(24 4.1411996),(25 4.2205772),(26 4.294904),(27 4.3221664),(28 4.3550577),(29 4.4214616),(30 4.481722),(31 4.4815044),(32 4.5140724),(33 4.576982),(34 4.5908113),(35 4.5901656),(36 4.6093774),(37 4.658956),(38 4.7074475),(39 4.716273),(40 4.7457747),(41 4.7937636),(42 4.8195353),(43 4.8141813),(44 4.8302436),(45 4.946889),(46 4.9249063),
(1 0.52743727),(2 0.7918131),(3 0.80153173),(4 0.9340273),(5 1.5769472),(6 1.7771723),(7 1.7810615),(8 2.0007746),(9 2.435201),(10 2.51973),(11 2.527432),(12 2.6656442),(13 2.90704),(14 3.0797164),(15 3.0795217),(16 3.2013073),(17 3.3757718),(18 3.449637),(19 3.4590745),(20 3.5379643),(21 3.551086),(22 4.0597806),(23 4.059915),(24 4.137308),(25 4.1960816),(26 4.21681),(27 4.241248),(28 4.243351),(29 4.3981457),(30 4.471578),(31 4.470442),(32 4.510984),(33 4.6156826),(34 4.6968007),(35 4.7046065),(36 4.735813),(37 4.7335815),(38 4.721281),(39 4.726658),(40 4.74285),(41 4.76566),(42 4.830383),(43 4.8415856),(44 4.8782544),(45 4.820038),(46 4.797507),
