1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.25472534),(2 0.3886697),(3 0.39370158),(4 0.45637724),(5 0.76038295),(6 0.8476848),(7 0.84924036),(8 0.9567271),(9 1.1512841),(10 1.2036023),(11 1.2082506),(12 1.2724993),(13 1.4101883),(14 1.5138558),(15 1.5140122),(16 1.5545748),(17 1.6398575),(18 1.6915702),(19 1.694807),(20 1.7447326),(21 1.782172),(22 1.9874094),(23 1.9873672),(24 2.016928),(25 2.0568597),(26 2.0774963),(27 2.0882213),(28 2.104248),(29 2.154093),(30 2.2023346),(31 2.2026134),(32 2.2082317),(33 2.2464266),(34 2.2644248),(35 2.2665906),(36 2.292949),(37 2.336203),(38 2.354603),(39 2.3574812),(40 2.347963),(41 2.37538),(42 2.391513),(43 2.392859),(44 2.4123588),(45 2.4614124),(46 2.4488847),
(1 0.25355333),(2 0.38215807),(3 0.38756847),(4 0.45356485),(5 0.7613459),(6 0.8602924),(7 0.86292994),(8 0.9680862),(9 1.1642483),(10 1.2223793),(11 1.2261858),(12 1.2951288),(13 1.4134773),(14 1.4930755),(15 1.4932568),(16 1.5439787),(17 1.6145463),(18 1.6539624),(19 1.6587197),(20 1.6973088),(21 1.7331183),(22 1.9652747),(23 1.9654111),(24 1.9900643),(25 2.049965),(26 2.0787392),(27 2.0900326),(28 2.107287),(29 2.1518648),(30 2.18664),(31 2.186515),(32 2.2109241),(33 2.2333624),(34 2.25024),(35 2.2528946),(36 2.2584755),(37 2.2857099),(38 2.3093753),(39 2.3128169),(40 2.3329425),(41 2.3558388),(42 2.3718941),(43 2.3734396),(44 2.3997374),(45 2.4201117),(46 2.4060416),
(1 0.20815176),(2 0.32100686),(3 0.32717717),(4 0.38542396),(5 0.6492038),(6 0.71602446),(7 0.7188155),(8 0.79328114),(9 0.9455698),(10 0.99161476),(11 0.996067),(12 1.0506021),(13 1.1434373),(14 1.2030817),(15 1.2030208),(16 1.239101),(17 1.3062274),(18 1.3441995),(19 1.3487887),(20 1.3881148),(21 1.4173958),(22 1.6114856),(23 1.6115828),(24 1.6416188),(25 1.6938282),(26 1.7140657),(27 1.7254922),(28 1.725877),(29 1.7800456),(30 1.8121403),(31 1.8122573),(32 1.8239466),(33 1.8620112),(34 1.8863107),(35 1.8878827),(36 1.8964689),(37 1.915895),(38 1.9363177),(39 1.9393296),(40 1.942303),(41 1.9588827),(42 1.9801655),(43 1.9834905),(44 2.0013907),(45 2.0113833),(46 2.0064688),
(1 0.17526524),(2 0.2606739),(3 0.26455414),(4 0.30626655),(5 0.5137261),(6 0.56168544),(7 0.5637313),(8 0.6255924),(9 0.7335179),(10 0.77662957),(11 0.7803477),(12 0.82655084),(13 0.88267916),(14 0.9342328),(15 0.9341639),(16 0.96593493),(17 1.0093482),(18 1.0531548),(19 1.0555074),(20 1.0764624),(21 1.1002907),(22 1.2783492),(23 1.2782806),(24 1.2967366),(25 1.3197756),(26 1.338629),(27 1.3484617),(28 1.3562632),(29 1.3945714),(30 1.4079435),(31 1.4079609),(32 1.4191949),(33 1.4314448),(34 1.4522115),(35 1.4535433),(36 1.4702312),(37 1.4894203),(38 1.5063974),(39 1.5077584),(40 1.5162951),(41 1.5293494),(42 1.5374023),(43 1.5388483),(44 1.5539545),(45 1.5528393),(46 1.5574512),
(1 0.14157009),(2 0.20929886),(3 0.21260713),(4 0.24650598),(5 0.4034535),(6 0.43873706),(7 0.44111228),(8 0.48990566),(9 0.5834254),(10 0.6161831),(11 0.6187379),(12 0.65436095),(13 0.7091347),(14 0.74383116),(15 0.7438951),(16 0.7648181),(17 0.8028797),(18 0.8359325),(19 0.8381557),(20 0.85874385),(21 0.8875831),(22 1.0202156),(23 1.0202086),(24 1.0365796),(25 1.0733156),(26 1.0904522),(27 1.099896),(28 1.112189),(29 1.1487304),(30 1.1678604),(31 1.1679406),(32 1.1694796),(33 1.1641678),(34 1.172365),(35 1.1732793),(36 1.1910582),(37 1.2113022),(38 1.2209742),(39 1.2211173),(40 1.217346),(41 1.2340328),(42 1.2410095),(43 1.2434514),(44 1.2491232),(45 1.2492679),(46 1.2500529),
(1 0.12247246),(2 0.17501399),(3 0.17737666),(4 0.20796813),(5 0.33876827),(6 0.37102473),(7 0.37210485),(8 0.41029724),(9 0.49148297),(10 0.5145198),(11 0.5161034),(12 0.5494705),(13 0.6066383),(14 0.6437468),(15 0.643611),(16 0.6628315),(17 0.699675),(18 0.7189104),(19 0.7202993),(20 0.7373673),(21 0.7577324),(22 0.88354194),(23 0.8835752),(24 0.8947592),(25 0.9133767),(26 0.9233362),(27 0.93082327),(28 0.9447495),(29 0.9648039),(30 0.9847376),(31 0.98481715),(32 0.98618335),(33 1.006615),(34 1.008372),(35 1.0093559),(36 1.0033357),(37 1.022755),(38 1.0284088),(39 1.0287267),(40 1.0372362),(41 1.0478693),(42 1.0475017),(43 1.0476359),(44 1.0507019),(45 1.0525112),(46 1.0575523),
(1 0.11002581),(2 0.15533939),(3 0.15716314),(4 0.18301545),(5 0.30072477),(6 0.32994607),(7 0.33112293),(8 0.3578855),(9 0.41932234),(10 0.44092348),(11 0.44305232),(12 0.46585223),(13 0.5116001),(14 0.54629177),(15 0.54636025),(16 0.56369793),(17 0.5886505),(18 0.60654783),(19 0.6078952),(20 0.62202597),(21 0.6341601),(22 0.7498628),(23 0.7499879),(24 0.76396894),(25 0.78202057),(26 0.7931428),(27 0.80200493),(28 0.8106263),(29 0.8322373),(30 0.85007787),(31 0.8500246),(32 0.8525475),(33 0.8651343),(34 0.86716723),(35 0.869563),(36 0.8701148),(37 0.8762755),(38 0.88586557),(39 0.88570285),(40 0.8895335),(41 0.8955838),(42 0.8977293),(43 0.89888924),(44 0.90111995),(45 0.9087974),(46 0.91033864),
(1 0.09324045),(2 0.12996744),(3 0.1313381),(4 0.15440577),(5 0.2508138),(6 0.2774887),(7 0.27876896),(8 0.30365345),(9 0.35603064),(10 0.3721789),(11 0.37385976),(12 0.38847154),(13 0.42509943),(14 0.4483102),(15 0.44828895),(16 0.46372792),(17 0.48690078),(18 0.50046104),(19 0.5017771),(20 0.5106976),(21 0.5255607),(22 0.62225294),(23 0.62226653),(24 0.63050914),(25 0.6428976),(26 0.65521914),(27 0.6628742),(28 0.67160827),(29 0.6923514),(30 0.7074111),(31 0.70750755),(32 0.7040809),(33 0.70561594),(34 0.7119493),(35 0.71238565),(36 0.7138794),(37 0.723609),(38 0.72894126),(39 0.72974044),(40 0.727294),(41 0.7271905),(42 0.7292148),(43 0.72978514),(44 0.7356039),(45 0.7322691),(46 0.7377067),
(1 0.07442441),(2 0.10434508),(3 0.10567655),(4 0.12546489),(5 0.20061122),(6 0.21751074),(7 0.2183608),(8 0.2402391),(9 0.28227162),(10 0.2939616),(11 0.29487246),(12 0.30739164),(13 0.3374088),(14 0.35700423),(15 0.3569943),(16 0.36653873),(17 0.3811201),(18 0.39249888),(19 0.39334476),(20 0.40338743),(21 0.4167889),(22 0.49438864),(23 0.4944325),(24 0.501951),(25 0.51469994),(26 0.52746004),(27 0.53334105),(28 0.5413843),(29 0.55566114),(30 0.5675607),(31 0.5675775),(32 0.56591),(33 0.56490993),(34 0.56645566),(35 0.5668428),(36 0.5704533),(37 0.57484263),(38 0.57862705),(39 0.57887256),(40 0.5756649),(41 0.5790221),(42 0.5805401),(43 0.58119595),(44 0.5858909),(45 0.5872608),(46 0.59042823),
(1 0.060424708),(2 0.084520936),(3 0.08545615),(4 0.10164396),(5 0.15791753),(6 0.17065877),(7 0.17132527),(8 0.18685487),(9 0.22359346),(10 0.2326573),(11 0.23354967),(12 0.24695572),(13 0.27132976),(14 0.28912485),(15 0.2891117),(16 0.29757798),(17 0.30609474),(18 0.31389734),(19 0.31486487),(20 0.32174146),(21 0.3315954),(22 0.40378433),(23 0.4038265),(24 0.4130726),(25 0.41895425),(26 0.4219518),(27 0.4266542),(28 0.4335184),(29 0.4411294),(30 0.4515961),(31 0.4516168),(32 0.4534083),(33 0.45474568),(34 0.456424),(35 0.4570995),(36 0.45708293),(37 0.46359444),(38 0.46548727),(39 0.46598935),(40 0.464952),(41 0.4691115),(42 0.4682569),(43 0.4687175),(44 0.4690419),(45 0.47532693),(46 0.476644),
(1 0.054685332),(2 0.07758009),(3 0.0787528),(4 0.09256334),(5 0.14378195),(6 0.15531145),(7 0.15562381),(8 0.16981243),(9 0.20182036),(10 0.20964772),(11 0.20980304),(12 0.22022755),(13 0.24343237),(14 0.2579945),(15 0.25799513),(16 0.26741835),(17 0.2781092),(18 0.2854621),(19 0.28580672),(20 0.29145885),(21 0.30058676),(22 0.35600957),(23 0.3560231),(24 0.3612569),(25 0.36796325),(26 0.37353522),(27 0.37828454),(28 0.38305187),(29 0.39284408),(30 0.39855787),(31 0.3985732),(32 0.4010992),(33 0.40304112),(34 0.4048224),(35 0.4050899),(36 0.40542626),(37 0.4117506),(38 0.41377342),(39 0.41434693),(40 0.41346413),(41 0.41568905),(42 0.41581735),(43 0.41566414),(44 0.4188108),(45 0.4240711),(46 0.42291453),
(1 0.044142965),(2 0.06147628),(3 0.061908707),(4 0.07243083),(5 0.10966937),(6 0.119972005),(7 0.12037887),(8 0.13201311),(9 0.15919699),(10 0.16502482),(11 0.16549048),(12 0.17457335),(13 0.18989843),(14 0.20110859),(15 0.20108074),(16 0.20566091),(17 0.21653195),(18 0.22334783),(19 0.22343095),(20 0.22794555),(21 0.23144332),(22 0.2843011),(23 0.28430364),(24 0.28606212),(25 0.29500717),(26 0.29924482),(27 0.3025802),(28 0.30531126),(29 0.31517416),(30 0.320698),(31 0.32074028),(32 0.32019192),(33 0.3231935),(34 0.321869),(35 0.32227126),(36 0.3218286),(37 0.3253921),(38 0.32589158),(39 0.32623127),(40 0.32641277),(41 0.3274651),(42 0.32765016),(43 0.32774156),(44 0.33062032),(45 0.33338377),(46 0.33488327),
(1 0.03772704),(2 0.052984133),(3 0.0533912),(4 0.063159846),(5 0.09530593),(6 0.10393999),(7 0.104293466),(8 0.115085274),(9 0.13776575),(10 0.14193343),(11 0.14224029),(12 0.14876725),(13 0.16327593),(14 0.17238928),(15 0.17240319),(16 0.17729641),(17 0.18707211),(18 0.1919113),(19 0.19230485),(20 0.19760656),(21 0.20479427),(22 0.24519041),(23 0.24520043),(24 0.24723183),(25 0.25251254),(26 0.25538036),(27 0.25877124),(28 0.26214695),(29 0.2696353),(30 0.27523997),(31 0.27529883),(32 0.27456388),(33 0.2756271),(34 0.27838197),(35 0.27882764),(36 0.2810556),(37 0.28383318),(38 0.28360805),(39 0.2838549),(40 0.2818477),(41 0.2832675),(42 0.28310406),(43 0.28338727),(44 0.28455502),(45 0.28787878),(46 0.28870305),
(1 0.03753066),(2 0.05218125),(3 0.0525405),(4 0.061184395),(5 0.09182653),(6 0.099935256),(7 0.1004165),(8 0.11010574),(9 0.13064344),(10 0.134446),(11 0.13446441),(12 0.14211833),(13 0.15658872),(14 0.16351227),(15 0.16352043),(16 0.1680337),(17 0.17559421),(18 0.17891315),(19 0.17953546),(20 0.18367156),(21 0.18902138),(22 0.23055422),(23 0.23058799),(24 0.23381886),(25 0.23851016),(26 0.24221812),(27 0.24525048),(28 0.24832489),(29 0.25636235),(30 0.26137382),(31 0.2613369),(32 0.2611343),(33 0.26372236),(34 0.26328108),(35 0.26359054),(36 0.2651365),(37 0.26817584),(38 0.26771113),(39 0.2683414),(40 0.26719144),(41 0.2699609),(42 0.27012706),(43 0.2698933),(44 0.2713222),(45 0.27493492),(46 0.27422532),
(1 0.033493936),(2 0.047200266),(3 0.04739476),(4 0.05559653),(5 0.08311387),(6 0.08964365),(7 0.08998223),(8 0.09839262),(9 0.117206305),(10 0.12086785),(11 0.121063046),(12 0.12731391),(13 0.13945681),(14 0.14822516),(15 0.14823312),(16 0.15170787),(17 0.15966895),(18 0.16296318),(19 0.16314425),(20 0.1680349),(21 0.17387113),(22 0.20955582),(23 0.20959912),(24 0.21219228),(25 0.21614397),(26 0.2192421),(27 0.22189657),(28 0.22519189),(29 0.23166227),(30 0.23524195),(31 0.2352487),(32 0.23574121),(33 0.23909453),(34 0.24096979),(35 0.24072435),(36 0.2408646),(37 0.24221838),(38 0.24320944),(39 0.2436286),(40 0.2421578),(41 0.24472739),(42 0.2450128),(43 0.2450717),(44 0.24536061),(45 0.24658754),(46 0.24670413),
(1 0.027772212),(2 0.03971366),(3 0.04010882),(4 0.046387456),(5 0.070074014),(6 0.07574737),(7 0.07619649),(8 0.08462213),(9 0.10133397),(10 0.10476596),(11 0.10483756),(12 0.110783435),(13 0.121377476),(14 0.1274515),(15 0.1274403),(16 0.13009715),(17 0.13808711),(18 0.13984029),(19 0.1402066),(20 0.14286281),(21 0.14746362),(22 0.17804205),(23 0.17805271),(24 0.17957588),(25 0.1825452),(26 0.18582965),(27 0.1882657),(28 0.1900458),(29 0.19662037),(30 0.19894017),(31 0.19890596),(32 0.19957262),(33 0.20164613),(34 0.20154066),(35 0.20139788),(36 0.20165001),(37 0.20618235),(38 0.20556806),(39 0.20605798),(40 0.20613563),(41 0.20829585),(42 0.20853527),(43 0.20872055),(44 0.20926572),(45 0.21236713),(46 0.21357308),
(1 0.023433255),(2 0.03334746),(3 0.033672635),(4 0.039723612),(5 0.06052046),(6 0.065339714),(7 0.06559499),(8 0.07199761),(9 0.08587648),(10 0.088818036),(11 0.08904772),(12 0.093875736),(13 0.10325276),(14 0.10892589),(15 0.108928524),(16 0.111512065),(17 0.11877264),(18 0.12093603),(19 0.12115685),(20 0.124213636),(21 0.12856074),(22 0.15523945),(23 0.15523675),(24 0.15644908),(25 0.15958588),(26 0.16108821),(27 0.16323252),(28 0.16474523),(29 0.17055604),(30 0.17420144),(31 0.17423815),(32 0.17450686),(33 0.17554572),(34 0.17640688),(35 0.17680907),(36 0.17673436),(37 0.18021826),(38 0.1792263),(39 0.17948161),(40 0.1798188),(41 0.18041325),(42 0.18001595),(43 0.18006766),(44 0.18107325),(45 0.18350878),(46 0.1824233),
(1 0.022909537),(2 0.0317587),(3 0.032079887),(4 0.037515048),(5 0.056841023),(6 0.060970858),(7 0.06130929),(8 0.06694369),(9 0.08256829),(10 0.08432366),(11 0.08469505),(12 0.088662975),(13 0.09783871),(14 0.10298042),(15 0.10299031),(16 0.10581617),(17 0.11086575),(18 0.11347252),(19 0.11370881),(20 0.11531564),(21 0.11928768),(22 0.14222126),(23 0.14222097),(24 0.1431463),(25 0.14653352),(26 0.14790036),(27 0.14992028),(28 0.1528566),(29 0.157893),(30 0.16125946),(31 0.16127315),(32 0.16182421),(33 0.16233188),(34 0.16227782),(35 0.16220106),(36 0.16204225),(37 0.16478322),(38 0.16593906),(39 0.16602936),(40 0.16581035),(41 0.16750929),(42 0.16777107),(43 0.16811131),(44 0.16859338),(45 0.17032003),(46 0.1709686),
(1 0.022298524),(2 0.031374946),(3 0.031608082),(4 0.03649523),(5 0.05583233),(6 0.059541363),(7 0.05970855),(8 0.06571106),(9 0.07853139),(10 0.080923505),(11 0.08107831),(12 0.08591566),(13 0.095460564),(14 0.10030928),(15 0.10030857),(16 0.102683134),(17 0.10841674),(18 0.110165335),(19 0.11039482),(20 0.1129998),(21 0.116835624),(22 0.14266308),(23 0.14268284),(24 0.14237656),(25 0.14511156),(26 0.14764275),(27 0.14921796),(28 0.15030089),(29 0.15603267),(30 0.16007768),(31 0.16008382),(32 0.16026276),(33 0.16302486),(34 0.16237365),(35 0.16237019),(36 0.16319187),(37 0.16495952),(38 0.16569836),(39 0.1658109),(40 0.16591041),(41 0.16736823),(42 0.16784917),(43 0.1678815),(44 0.16636793),(45 0.16845116),(46 0.16744927),
(1 0.020503096),(2 0.028388511),(3 0.028628955),(4 0.0334236),(5 0.050178092),(6 0.054564252),(7 0.054818843),(8 0.05997451),(9 0.07244491),(10 0.07496576),(11 0.075238965),(12 0.079926126),(13 0.088804774),(14 0.09266901),(15 0.09268367),(16 0.09603568),(17 0.10065294),(18 0.10276776),(19 0.103132494),(20 0.10407529),(21 0.1079969),(22 0.12935618),(23 0.1293664),(24 0.1301093),(25 0.13345942),(26 0.13425472),(27 0.1360442),(28 0.13779241),(29 0.14219223),(30 0.14689891),(31 0.14693354),(32 0.14716993),(33 0.14893633),(34 0.14823604),(35 0.1484351),(36 0.14937171),(37 0.15114418),(38 0.1518019),(39 0.15206152),(40 0.1512462),(41 0.15319632),(42 0.15270583),(43 0.1528064),(44 0.15300061),(45 0.15548627),(46 0.15501142),
(1 0.019783158),(2 0.027053628),(3 0.0273607),(4 0.03125945),(5 0.047617234),(6 0.051717475),(7 0.051853716),(8 0.05722079),(9 0.06839043),(10 0.07071266),(11 0.070925936),(12 0.074516416),(13 0.083355896),(14 0.08860941),(15 0.08860774),(16 0.090885304),(17 0.09550273),(18 0.09772279),(19 0.09806085),(20 0.09943879),(21 0.10332468),(22 0.12549587),(23 0.12552142),(24 0.125997),(25 0.12798525),(26 0.12968487),(27 0.13163516),(28 0.13212769),(29 0.13693161),(30 0.14052498),(31 0.1405513),(32 0.14083977),(33 0.1426281),(34 0.14267643),(35 0.14304082),(36 0.14337693),(37 0.14461292),(38 0.14498277),(39 0.14508829),(40 0.14515924),(41 0.14526382),(42 0.14496596),(43 0.1449792),(44 0.14446065),(45 0.14687932),(46 0.14638174),
(1 0.012992413),(2 0.01790135),(3 0.018117053),(4 0.020504795),(5 0.031139636),(6 0.033642408),(7 0.033760797),(8 0.037192844),(9 0.043785416),(10 0.04461298),(11 0.044914946),(12 0.046845548),(13 0.052005902),(14 0.055224326),(15 0.055218752),(16 0.056783166),(17 0.059555367),(18 0.060221557),(19 0.060372762),(20 0.06176697),(21 0.06381998),(22 0.076175354),(23 0.07618413),(24 0.07684449),(25 0.07786017),(26 0.07904428),(27 0.08032771),(28 0.08138729),(29 0.08272527),(30 0.08538586),(31 0.08540401),(32 0.08585088),(33 0.08733589),(34 0.08600934),(35 0.08611458),(36 0.086152814),(37 0.0882726),(38 0.08778728),(39 0.087945715),(40 0.08783229),(41 0.08847325),(42 0.08877037),(43 0.08883654),(44 0.08859527),(45 0.08968353),(46 0.08961034),
(1 0.0062270965),(2 0.00832897),(3 0.00842392),(4 0.009493849),(5 0.013991503),(6 0.014741144),(7 0.0148329325),(8 0.016153177),(9 0.018840993),(10 0.019119592),(11 0.019275727),(12 0.019978099),(13 0.021514768),(14 0.022485062),(15 0.022479916),(16 0.022892762),(17 0.023902165),(18 0.024200235),(19 0.024327157),(20 0.024636945),(21 0.025078967),(22 0.03147978),(23 0.0314773),(24 0.031336598),(25 0.031741586),(26 0.031918835),(27 0.032575704),(28 0.032640945),(29 0.033072535),(30 0.034147356),(31 0.03415239),(32 0.033884015),(33 0.03429256),(34 0.03411935),(35 0.034238547),(36 0.03425914),(37 0.0351041),(38 0.034798235),(39 0.03483214),(40 0.034442533),(41 0.034740116),(42 0.034626257),(43 0.034715634),(44 0.03452044),(45 0.03500813),(46 0.03467309),
