(1 4.5017),(2 10.072887),(3 10.218423),(4 15.256066),(5 30.344898),(6 37.86815),(7 37.9097),(8 48.64324),(9 69.071556),(10 80.317635),(11 80.53232),(12 93.51939),(13 105.40958),(14 108.79078),(15 108.74913),(16 111.53388),(17 112.03396),(18 114.157326),(19 114.50182),(20 118.235306),(21 120.827446),(22 129.3229),(23 129.33736),(24 133.20656),(25 148.85823),(26 159.36607),(27 159.68274),(28 170.17038),(29 187.56508),(30 193.48163),(31 193.46011),(32 197.20486),(33 203.04124),(34 208.19363),(35 208.39977),(36 214.68925),(37 231.8771),(38 237.64955),(39 237.99323),(40 241.872),(41 249.09032),(42 252.549),(43 251.73064),(44 248.34421),(45 243.78214),(46 235.80373),
(1 3.403064),(2 8.015422),(3 8.086285),(4 12.0064945),(5 24.22774),(6 28.970875),(7 29.119278),(8 35.731094),(9 50.80846),(10 57.52762),(11 57.535828),(12 66.88955),(13 84.928154),(14 93.232635),(15 93.23748),(16 100.33163),(17 118.40094),(18 127.51004),(19 127.81321),(20 138.38742),(21 151.08867),(22 161.46008),(23 161.44482),(24 168.90106),(25 179.13225),(26 180.67313),(27 180.79465),(28 184.26222),(29 195.36005),(30 199.87492),(31 199.80891),(32 202.56741),(33 213.24075),(34 218.5798),(35 218.68074),(36 225.19853),(37 242.82816),(38 252.80359),(39 253.16414),(40 256.1335),(41 262.08224),(42 268.48676),(43 269.0337),(44 269.55206),(45 270.28317),(46 265.93655),
(1 4.0675683),(2 9.104478),(3 9.325117),(4 13.710769),(5 25.609697),(6 29.259336),(7 29.284025),(8 34.74021),(9 50.465294),(10 58.397675),(11 58.510025),(12 69.49532),(13 90.48151),(14 103.00406),(15 102.97921),(16 113.183685),(17 128.24792),(18 134.1151),(19 134.09279),(20 139.39626),(21 148.94054),(22 161.4659),(23 161.43736),(24 170.4911),(25 192.37764),(26 207.09367),(27 207.32321),(28 220.01634),(29 241.49779),(30 248.60042),(31 248.5794),(32 255.37253),(33 265.47458),(34 270.55228),(35 269.9687),(36 279.45078),(37 297.3548),(38 305.19632),(39 305.50903),(40 310.67578),(41 318.8759),(42 323.2015),(43 323.27963),(44 322.89005),(45 325.18723),(46 328.60855),
(1 3.9960387),(2 8.886188),(3 8.959408),(4 14.2337475),(5 28.872265),(6 34.69883),(7 34.779526),(8 46.618793),(9 69.60901),(10 78.55344),(11 78.55477),(12 89.29533),(13 108.98698),(14 121.383316),(15 121.34978),(16 132.45781),(17 158.06169),(18 170.29199),(19 170.64949),(20 181.14943),(21 199.6508),(22 216.22337),(23 216.2072),(24 226.58582),(25 243.84358),(26 247.16364),(27 246.47002),(28 247.42676),(29 253.03926),(30 255.74118),(31 255.72627),(32 258.48883),(33 271.14624),(34 275.26132),(35 275.19818),(36 279.56345),(37 284.51617),(38 286.59244),(39 286.76556),(40 283.4484),(41 288.45175),(42 294.88586),(43 294.926),(44 294.8313),(45 301.13382),(46 304.44827),
(1 3.9039078),(2 8.372414),(3 8.513376),(4 14.202017),(5 27.606516),(6 33.3759),(7 33.54787),(8 43.500492),(9 67.18396),(10 77.44491),(11 77.49726),(12 87.23462),(13 102.57073),(14 113.86871),(15 113.8755),(16 124.04546),(17 146.20715),(18 156.41818),(19 156.40028),(20 165.98067),(21 183.15614),(22 196.11392),(23 196.1054),(24 203.16803),(25 223.56012),(26 227.55939),(27 227.29247),(28 230.18634),(29 236.96878),(30 240.53598),(31 240.49654),(32 243.71753),(33 250.90395),(34 253.49576),(35 253.92627),(36 260.0094),(37 274.8558),(38 284.7377),(39 284.48672),(40 293.46292),(41 314.13242),(42 325.66812),(43 325.5863),(44 330.98077),(45 338.8845),(46 341.026),
(1 4.5716114),(2 9.44836),(3 9.642007),(4 13.903471),(5 23.872702),(6 29.255611),(7 29.292324),(8 36.138485),(9 52.82243),(10 59.67553),(11 59.88037),(12 66.78455),(13 81.26264),(14 91.567345),(15 91.597725),(16 101.45976),(17 126.033554),(18 136.57248),(19 136.509),(20 144.6041),(21 159.53728),(22 174.75471),(23 174.73172),(24 178.94958),(25 193.88435),(26 195.86668),(27 196.1815),(28 198.5126),(29 204.67021),(30 204.85362),(31 204.85907),(32 202.70633),(33 201.58733),(34 201.30832),(35 201.34631),(36 203.54686),(37 205.87471),(38 209.70819),(39 210.03871),(40 215.12442),(41 227.49286),(42 236.82411),(43 236.71158),(44 244.10815),(45 256.50696),(46 261.1656),
(1 3.7968178),(2 8.734655),(3 8.892662),(4 14.157565),(5 31.146532),(6 40.122845),(7 40.035286),(8 52.645107),(9 67.29544),(10 73.34764),(11 73.4189),(12 80.09069),(13 91.28359),(14 95.88882),(15 95.86954),(16 100.18044),(17 115.444275),(18 121.94847),(19 122.05887),(20 129.25198),(21 142.84294),(22 159.35333),(23 159.32068),(24 163.60976),(25 173.59041),(26 176.3097),(27 176.85133),(28 178.85551),(29 184.79054),(30 187.13884),(31 187.08025),(32 193.37744),(33 208.50883),(34 214.22899),(35 214.18353),(36 214.43549),(37 223.39087),(38 230.00935),(39 229.79417),(40 237.07693),(41 250.95055),(42 260.888),(43 260.36536),(44 266.52667),(45 277.24982),(46 282.46494),
(1 4.9498158),(2 11.060554),(3 11.304705),(4 18.041756),(5 35.227745),(6 41.925095),(7 41.98465),(8 53.979702),(9 74.5032),(10 82.07496),(11 82.088715),(12 90.84534),(13 107.7691),(14 115.80587),(15 115.81869),(16 121.1451),(17 132.93437),(18 138.1495),(19 138.18533),(20 143.33769),(21 149.41801),(22 158.14467),(23 158.09947),(24 162.97336),(25 174.10469),(26 180.27907),(27 180.1457),(28 186.42348),(29 197.28691),(30 196.56949),(31 196.58984),(32 198.50864),(33 207.8516),(34 209.994),(35 209.88206),(36 212.15259),(37 213.03098),(38 215.16168),(39 215.03902),(40 218.77252),(41 234.68843),(42 240.78749),(43 240.65569),(44 244.927),(45 246.73816),(46 247.84666),
(1 4.9890265),(2 10.4359455),(3 10.426189),(4 16.527275),(5 32.818085),(6 38.895473),(7 38.72885),(8 49.580967),(9 70.20245),(10 76.16988),(11 76.23915),(12 85.97053),(13 101.18964),(14 111.36137),(15 111.38229),(16 119.16243),(17 139.63977),(18 150.33904),(19 150.78629),(20 157.74405),(21 171.07979),(22 182.47643),(23 182.47832),(24 191.75159),(25 211.10265),(26 210.98212),(27 212.05905),(28 212.45189),(29 218.22012),(30 223.43549),(31 223.45268),(32 226.37431),(33 233.398),(34 238.45671),(35 238.43446),(36 245.7027),(37 252.37718),(38 255.77466),(39 255.58675),(40 262.27533),(41 272.61118),(42 276.88538),(43 276.44388),(44 279.7905),(45 277.61316),(46 274.73322),
(1 5.7648363),(2 11.894612),(3 11.997715),(4 18.432474),(5 37.259132),(6 44.58032),(7 44.61816),(8 53.61103),(9 77.1877),(10 87.2879),(11 87.48864),(12 98.65028),(13 117.240685),(14 124.17446),(15 124.21851),(16 131.06679),(17 149.41513),(18 157.56288),(19 158.15242),(20 164.17505),(21 169.26707),(22 178.13864),(23 178.13998),(24 180.94106),(25 194.8516),(26 204.30124),(27 203.77338),(28 208.55132),(29 224.23663),(30 230.27127),(31 230.24765),(32 233.33571),(33 239.14372),(34 242.87993),(35 243.13205),(36 244.96758),(37 257.95972),(38 264.27286),(39 264.67688),(40 271.892),(41 283.41544),(42 286.31818),(43 286.25455),(44 286.3597),(45 291.22995),(46 294.67386),
(1 4.824582),(2 10.065135),(3 10.068387),(4 16.341227),(5 33.189354),(6 39.148956),(7 39.041714),(8 46.91842),(9 61.53741),(10 68.49523),(11 68.69337),(12 75.33286),(13 92.07922),(14 103.63852),(15 103.66271),(16 114.64063),(17 133.31023),(18 141.4563),(19 142.01779),(20 151.46344),(21 163.65668),(22 172.59563),(23 172.5875),(24 171.65807),(25 173.03706),(26 170.3479),(27 170.65863),(28 171.35909),(29 171.99683),(30 173.21715),(31 173.22272),(32 175.10777),(33 181.30817),(34 186.10504),(35 186.18877),(36 190.1615),(37 201.02132),(38 210.26665),(39 210.3564),(40 218.4895),(41 232.1258),(42 233.36969),(43 233.22243),(44 232.43446),(45 230.51501),(46 229.07117),
