1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 953.90625),(2 1627.1221),(3 2190.0352),(4 2690.6575),(5 3117.971),(6 3428.5388),(7 3658.292),(8 3797.1782),(9 3921.306),(10 4098.7217),(11 4198.49),(12 4311.3945),(13 4415.7393),(14 4437.6196),(15 4519.2534),(16 4600.848),(17 4607.4956),(18 4683.143),(19 4752.409),(20 4768.3984),(21 4843.3643),(22 4932.855),(23 4904.2485),(24 4932.462),(25 4957.787),(26 4876.987),(27 4902.5747),(28 4961.9053),(29 4893.256),(30 5019.7056),(31 5059.107),(32 5093.039),(33 5155.775),(34 5150.067),(35 5208.3276),(36 5247.6807),(37 5220.787),(38 5243.911),(39 5285.5),(40 5223.8804),(41 5247.9106),(42 5260.3184),(43 5257.5337),(44 5189.429),(45 5248.3906),(46 5231.7505),(47 5260.472),(48 5335.6367),(49 5313.6206),(50 5366.34),(51 5489.6196),(52 5477.6743),(53 5494.8506),(54 5486.7764),(55 5494.5195),(56 5576.5474),(57 5556.48),(58 5543.4063),(59 5600.9424),(60 5547.448),(61 5473.9014),(62 5482.326),(63 5411.5195),(64 5366.732),(65 5382.3594),(66 5298.6006),(67 5232.863),(68 5294.1475),(69 5225.389),(70 5193.971),(71 5274.294),(72 5263.3315),(73 5354.7905),(74 5501.4165),(75 5447.124),(76 5465.9805),(77 5567.999),(78 5642.381),(79 5681.7173),
(1 975.09406),(2 1664.782),(3 2223.1936),(4 2705.5198),(5 3156.0313),(6 3469.8872),(7 3684.369),(8 3768.8242),(9 3892.2646),(10 4085.7695),(11 4144.753),(12 4236.754),(13 4353.9365),(14 4396.952),(15 4475.6333),(16 4596.415),(17 4610.364),(18 4671.8633),(19 4736.435),(20 4747.572),(21 4832.2),(22 4941.3003),(23 4927.3003),(24 4963.101),(25 4966.8125),(26 4913.8394),(27 4939.8965),(28 5006.9473),(29 4961.738),(30 5028.0073),(31 5062.4365),(32 5082.7983),(33 5115.6187),(34 5144.457),(35 5197.7163),(36 5244.5654),(37 5279.0845),(38 5282.197),(39 5403.8315),(40 5337.5557),(41 5343.3506),(42 5335.4634),(43 5309.5605),(44 5288.8276),(45 5329.6343),(46 5307.8594),(47 5295.379),(48 5367.1997),(49 5354.711),(50 5455.1226),(51 5535.177),(52 5480.6675),(53 5542.407),(54 5547.1675),(55 5558.094),(56 5628.5454),(57 5587.817),(58 5590.331),(59 5643.928),(60 5577.548),(61 5564.4194),(62 5582.287),(63 5537.589),(64 5522.477),(65 5615.987),(66 5573.528),(67 5550.67),(68 5589.9336),(69 5511.88),(70 5455.2964),(71 5496.656),(72 5434.1094),(73 5475.2783),(74 5547.289),(75 5476.233),(76 5498.672),(77 5570.6055),(78 5585.459),(79 5607.0684),
(1 945.3402),(2 1581.4601),(3 2095.3972),(4 2549.0781),(5 2969.665),(6 3241.3718),(7 3427.215),(8 3552.1013),(9 3699.586),(10 3871.216),(11 3927.4375),(12 3985.421),(13 4127.9404),(14 4207.046),(15 4331.668),(16 4463.632),(17 4489.3003),(18 4549.1143),(19 4628.823),(20 4663.33),(21 4716.5596),(22 4803.5596),(23 4780.486),(24 4813.4116),(25 4879.4497),(26 4824.4136),(27 4847.4756),(28 4874.9204),(29 4794.068),(30 4880.867),(31 4906.5947),(32 4936.7075),(33 5002.1836),(34 5013.513),(35 5041.308),(36 5087.549),(37 5076.999),(38 5072.553),(39 5171.707),(40 5126.733),(41 5129.5864),(42 5119.716),(43 5100.6104),(44 5064.429),(45 5103.5063),(46 5047.227),(47 5032.867),(48 5102.6367),(49 5102.7793),(50 5149.4263),(51 5223.2925),(52 5206.359),(53 5241.1445),(54 5296.707),(55 5273.468),(56 5292.668),(57 5299.292),(58 5313.6016),(59 5354.982),(60 5304.7554),(61 5231.518),(62 5274.093),(63 5200.4067),(64 5177.583),(65 5249.4053),(66 5236.487),(67 5230.9346),(68 5279.384),(69 5168.486),(70 5114.3228),(71 5121.5083),(72 5056.202),(73 5088.886),(74 5140.8154),(75 5143.6987),(76 5135.4917),(77 5184.8457),(78 5177.395),(79 5186.953),
(1 946.3244),(2 1566.932),(3 2054.9885),(4 2450.787),(5 2861.5676),(6 3176.4514),(7 3393.7185),(8 3543.3801),(9 3729.286),(10 3904.1226),(11 3983.0647),(12 4111.864),(13 4273.904),(14 4311.242),(15 4416.5977),(16 4519.9927),(17 4564.0806),(18 4628.49),(19 4700.9585),(20 4671.6885),(21 4704.447),(22 4796.33),(23 4780.8037),(24 4735.5015),(25 4790.626),(26 4701.9136),(27 4724.3555),(28 4778.591),(29 4724.697),(30 4808.1123),(31 4844.002),(32 4874.7095),(33 4988.164),(34 5019.8833),(35 5047.1523),(36 5112.8496),(37 5115.8345),(38 5088.698),(39 5153.2666),(40 5118.626),(41 5145.095),(42 5156.568),(43 5083.4663),(44 5004.0576),(45 5039.531),(46 4965.005),(47 4921.009),(48 4941.036),(49 4916.7227),(50 4925.151),(51 4967.6396),(52 4925.966),(53 5014.009),(54 5070.903),(55 5068.0244),(56 5071.447),(57 5101.236),(58 5140.9546),(59 5179.4355),(60 5145.1914),(61 5077.885),(62 5099.479),(63 5056.8604),(64 5023.787),(65 5059.2964),(66 5038.7397),(67 5048.9253),(68 5096.2295),(69 5072.2754),(70 5087.135),(71 5137.898),(72 5110.277),(73 5111.47),(74 5179.021),(75 5174.6787),(76 5165.296),(77 5227.1196),(78 5185.9834),(79 5217.4824),
(1 930.9845),(2 1505.5763),(3 1983.3092),(4 2383.3896),(5 2789.7405),(6 3046.1772),(7 3266.2273),(8 3407.0793),(9 3561.1057),(10 3747.5007),(11 3850.6328),(12 3994.7407),(13 4114.786),(14 4137.708),(15 4205.331),(16 4316.9395),(17 4293.6313),(18 4335.122),(19 4365.7163),(20 4350.1577),(21 4402.0405),(22 4464.4575),(23 4441.0464),(24 4446.373),(25 4483.305),(26 4436.104),(27 4447.7827),(28 4515.069),(29 4481.533),(30 4552.3794),(31 4606.555),(32 4649.9253),(33 4705.756),(34 4721.646),(35 4758.254),(36 4823.226),(37 4788.6885),(38 4798.609),(39 4876.157),(40 4870.2383),(41 4867.195),(42 4914.8438),(43 4893.044),(44 4902.1377),(45 5016.345),(46 4982.177),(47 4972.339),(48 5027.4067),(49 4995.276),(50 4986.463),(51 5002.9014),(52 4987.5645),(53 5056.002),(54 5118.0527),(55 5089.8623),(56 5156.706),(57 5158.4985),(58 5155.753),(59 5225.691),(60 5230.4976),(61 5220.8394),(62 5227.4575),(63 5195.5425),(64 5161.3506),(65 5210.1885),(66 5146.6963),(67 5139.821),(68 5188.7188),(69 5192.1543),(70 5247.3633),(71 5322.192),(72 5268.8257),(73 5279.4775),(74 5312.6646),(75 5345.9663),(76 5344.0117),(77 5422.8916),(78 5393.9146),(79 5385.9063),
(1 912.66223),(2 1488.4683),(3 1967.6432),(4 2383.6238),(5 2798.067),(6 3047.9592),(7 3257.1064),(8 3376.8618),(9 3530.1025),(10 3727.387),(11 3809.631),(12 3930.5244),(13 4031.1355),(14 4096.0303),(15 4189.9414),(16 4290.2266),(17 4288.827),(18 4354.44),(19 4416.153),(20 4447.556),(21 4479.237),(22 4527.9863),(23 4514.7773),(24 4525.9253),(25 4569.9385),(26 4517.671),(27 4513.2207),(28 4563.153),(29 4576.77),(30 4615.1245),(31 4645.731),(32 4688.9287),(33 4731.3457),(34 4702.8975),(35 4729.27),(36 4796.4185),(37 4799.6514),(38 4840.6157),(39 4920.502),(40 4905.954),(41 4963.03),(42 5041.7783),(43 5025.492),(44 5035.264),(45 5074.4624),(46 5052.224),(47 5058.0815),(48 5089.7065),(49 5052.1323),(50 5033.9814),(51 5048.4775),(52 4978.751),(53 5006.0366),(54 5027.1147),(55 4946.35),(56 4973.9805),(57 4970.3193),(58 4994.757),(59 5046.263),(60 4989.5215),(61 4976.353),(62 5007.2363),(63 4972.8516),(64 4982.27),(65 5065.7856),(66 5015.0835),(67 4978.795),(68 5031.1616),(69 5002.0557),(70 5023.411),(71 5109.0156),(72 5038.8677),(73 5046.3027),(74 5086.411),(75 5075.008),(76 5125.1494),(77 5222.629),(78 5193.7017),(79 5240.297),
(1 930.204),(2 1497.3706),(3 1934.414),(4 2289.9556),(5 2656.893),(6 2903.222),(7 3099.7903),(8 3266.879),(9 3386.6057),(10 3539.4956),(11 3576.8594),(12 3681.2273),(13 3824.3303),(14 3824.929),(15 3898.7813),(16 3987.9512),(17 3931.711),(18 3995.3806),(19 4087.6162),(20 4086.9158),(21 4119.1357),(22 4214.735),(23 4194.548),(24 4208.5977),(25 4280.907),(26 4261.3213),(27 4226.1597),(28 4260.5435),(29 4261.6245),(30 4285.5317),(31 4350.5913),(32 4345.7813),(33 4454.1714),(34 4471.4995),(35 4484.372),(36 4541.4473),(37 4542.063),(38 4564.463),(39 4609.762),(40 4575.3384),(41 4635.6743),(42 4718.5425),(43 4698.067),(44 4702.385),(45 4715.5454),(46 4640.8916),(47 4605.5454),(48 4699.0405),(49 4698.489),(50 4729.835),(51 4754.932),(52 4715.4233),(53 4789.977),(54 4840.0435),(55 4792.604),(56 4785.8623),(57 4784.5786),(58 4818.3535),(59 4865.555),(60 4824.74),(61 4803.805),(62 4825.505),(63 4773.524),(64 4790.7944),(65 4877.841),(66 4858.869),(67 4842.9453),(68 4900.6846),(69 4859.308),(70 4878.4604),(71 4901.1035),(72 4877.3765),(73 4849.4263),(74 4890.6846),(75 4890.6455),(76 4971.2725),(77 5117.511),(78 5061.159),(79 5075.122),
(1 884.67584),(2 1419.1857),(3 1803.4425),(4 2152.7163),(5 2481.169),(6 2736.768),(7 2928.821),(8 3064.5232),(9 3207.5),(10 3360.3127),(11 3393.8884),(12 3471.6848),(13 3589.4731),(14 3592.3247),(15 3651.476),(16 3722.274),(17 3686.04),(18 3761.2766),(19 3843.2036),(20 3846.1604),(21 3888.2432),(22 3964.6104),(23 3941.937),(24 3910.797),(25 3962.368),(26 3939.4885),(27 3944.6956),(28 3984.0637),(29 3991.9624),(30 4075.18),(31 4094.6865),(32 4157.78),(33 4261.4517),(34 4361.79),(35 4396.911),(36 4492.749),(37 4485.528),(38 4491.9126),(39 4527.5244),(40 4476.9336),(41 4513.177),(42 4558.276),(43 4579.7847),(44 4568.415),(45 4625.2944),(46 4553.543),(47 4519.841),(48 4588.0674),(49 4545.45),(50 4546.181),(51 4530.1665),(52 4500.9604),(53 4513.915),(54 4557.893),(55 4563.035),(56 4583.713),(57 4574.222),(58 4591.4624),(59 4616.765),(60 4579.5337),(61 4573.2554),(62 4610.222),(63 4558.849),(64 4528.03),(65 4540.115),(66 4554.4155),(67 4536.179),(68 4602.773),(69 4567.107),(70 4585.037),(71 4658.8726),(72 4643.865),(73 4643.806),(74 4695.7173),(75 4689.2803),(76 4687.0845),(77 4785.4346),(78 4751.416),(79 4758.0137),
(1 877.65137),(2 1418.0892),(3 1823.8129),(4 2188.4875),(5 2507.376),(6 2751.937),(7 2933.68),(8 3054.37),(9 3179.5024),(10 3307.9763),(11 3336.2957),(12 3400.7246),(13 3542.7756),(14 3554.8547),(15 3608.1575),(16 3698.655),(17 3664.2737),(18 3706.75),(19 3784.5994),(20 3803.1062),(21 3856.7017),(22 3931.51),(23 3930.8804),(24 3980.3372),(25 4043.9717),(26 4032.918),(27 4072.647),(28 4091.7715),(29 4104.5327),(30 4133.5776),(31 4148.315),(32 4158.421),(33 4224.872),(34 4254.21),(35 4280.824),(36 4363.06),(37 4343.5625),(38 4326.7236),(39 4350.4424),(40 4299.944),(41 4292.4175),(42 4327.761),(43 4305.2686),(44 4286.137),(45 4325.096),(46 4270.6553),(47 4279.175),(48 4336.1885),(49 4323.403),(50 4308.551),(51 4367.193),(52 4308.097),(53 4334.159),(54 4353.0645),(55 4316.666),(56 4393.4243),(57 4381.144),(58 4409.333),(59 4431.188),(60 4409.652),(61 4402.831),(62 4419.468),(63 4350.753),(64 4342.766),(65 4423.419),(66 4362.205),(67 4350.121),(68 4407.053),(69 4355.7236),(70 4413.3066),(71 4460.0454),(72 4443.5215),(73 4459.2124),(74 4499.6523),(75 4457.245),(76 4448.4097),(77 4513.517),(78 4499.117),(79 4534.311),
(1 867.39795),(2 1388.8673),(3 1795.0577),(4 2153.497),(5 2523.6714),(6 2763.9556),(7 2963.254),(8 3105.3047),(9 3206.3005),(10 3353.964),(11 3363.8804),(12 3431.6375),(13 3522.3755),(14 3531.3452),(15 3604.1204),(16 3659.1707),(17 3660.7637),(18 3693.2695),(19 3734.9282),(20 3718.1387),(21 3763.908),(22 3837.1196),(23 3829.3784),(24 3839.172),(25 3867.9312),(26 3882.7527),(27 3872.8303),(28 3917.2031),(29 3928.2095),(30 3976.042),(31 3974.1504),(32 3967.717),(33 4095.2546),(34 4154.6353),(35 4182.1577),(36 4241.2876),(37 4231.34),(38 4245.398),(39 4284.625),(40 4230.376),(41 4237.001),(42 4258.7026),(43 4191.5493),(44 4146.7134),(45 4189.8706),(46 4149.316),(47 4150.582),(48 4225.426),(49 4219.7734),(50 4262.752),(51 4342.8613),(52 4327.3423),(53 4301.4697),(54 4336.289),(55 4306.0894),(56 4330.7124),(57 4311.4155),(58 4272.575),(59 4321.4424),(60 4251.5137),(61 4226.8516),(62 4247.954),(63 4202.399),(64 4199.6343),(65 4303.5454),(66 4267.4595),(67 4241.6563),(68 4257.25),(69 4206.2134),(70 4208.3794),(71 4263.174),(72 4242.7153),(73 4239.7905),(74 4270.457),(75 4235.935),(76 4224.8057),(77 4281.987),(78 4290.9624),(79 4310.722),
(1 844.70416),(2 1359.9413),(3 1727.7074),(4 2116.6404),(5 2494.5925),(6 2756.42),(7 2975.7495),(8 3105.4038),(9 3246.686),(10 3405.7422),(11 3439.353),(12 3519.3403),(13 3582.8398),(14 3592.9492),(15 3637.521),(16 3700.0024),(17 3713.2495),(18 3775.02),(19 3845.3774),(20 3815.2925),(21 3835.088),(22 3923.6917),(23 3885.2976),(24 3890.0732),(25 3925.6748),(26 3923.2043),(27 3949.4185),(28 3982.2456),(29 4018.8384),(30 4043.5615),(31 4057.6633),(32 4082.7402),(33 4160.8716),(34 4177.3096),(35 4216.167),(36 4226.4766),(37 4178.192),(38 4198.665),(39 4279.224),(40 4288.3384),(41 4306.745),(42 4354.5244),(43 4299.5293),(44 4284.0854),(45 4318.054),(46 4293.6714),(47 4312.827),(48 4333.793),(49 4300.997),(50 4310.853),(51 4336.582),(52 4296.57),(53 4324.035),(54 4338.2314),(55 4352.5586),(56 4375.7793),(57 4348.204),(58 4341.6504),(59 4361.595),(60 4346.7256),(61 4327.6353),(62 4392.685),(63 4379.669),(64 4409.363),(65 4511.96),(66 4501.5674),(67 4509.653),(68 4561.8975),(69 4526.012),(70 4545.8135),(71 4572.6855),(72 4531.938),(73 4542.0923),(74 4603.2124),(75 4603.882),(76 4612.0996),(77 4680.4785),(78 4680.4854),(79 4714.62),
(1 848.09985),(2 1355.4731),(3 1702.7373),(4 2044.5013),(5 2403.0295),(6 2629.5554),(7 2868.2935),(8 2988.1135),(9 3128.31),(10 3272.2283),(11 3325.9465),(12 3435.5896),(13 3530.9353),(14 3536.2827),(15 3565.495),(16 3638.3127),(17 3650.302),(18 3714.595),(19 3804.6143),(20 3765.3188),(21 3778.11),(22 3858.114),(23 3800.2788),(24 3791.834),(25 3832.5117),(26 3825.2556),(27 3867.271),(28 3937.818),(29 3903.9456),(30 3932.3325),(31 3953.0579),(32 3965.1152),(33 4026.297),(34 4016.8525),(35 4013.595),(36 4076.914),(37 4049.7314),(38 4046.7666),(39 4091.1074),(40 4062.6228),(41 4084.9153),(42 4140.1675),(43 4112.424),(44 4114.199),(45 4153.7217),(46 4120.2715),(47 4134.5664),(48 4162.175),(49 4131.973),(50 4139.854),(51 4137.7573),(52 4075.8286),(53 4095.7214),(54 4106.636),(55 4102.875),(56 4111.559),(57 4095.681),(58 4054.8687),(59 4108.8584),(60 4097.5986),(61 4077.5095),(62 4143.4917),(63 4148.244),(64 4186.0444),(65 4319.9355),(66 4310.9316),(67 4326.679),(68 4397.316),(69 4349.404),(70 4358.8037),(71 4379.339),(72 4326.1396),(73 4309.843),(74 4299.523),(75 4291.326),(76 4304.905),(77 4367.6167),(78 4336.478),(79 4367.7695),
(1 830.62463),(2 1306.0529),(3 1644.5459),(4 1966.2482),(5 2303.639),(6 2530.8926),(7 2716.079),(8 2832.8403),(9 2961.4133),(10 3097.958),(11 3173.6123),(12 3243.023),(13 3337.4363),(14 3337.3245),(15 3394.1887),(16 3458.591),(17 3462.2825),(18 3560.2234),(19 3677.9897),(20 3651.941),(21 3697.4194),(22 3750.2188),(23 3720.3103),(24 3742.3396),(25 3775.2007),(26 3755.3027),(27 3763.5793),(28 3800.366),(29 3771.927),(30 3805.073),(31 3807.4307),(32 3832.1204),(33 3905.3862),(34 3878.5095),(35 3881.654),(36 3951.8389),(37 3929.091),(38 3896.1387),(39 3926.2632),(40 3891.7207),(41 3885.3118),(42 3913.7068),(43 3909.256),(44 3920.212),(45 3964.7026),(46 3926.7437),(47 3949.4658),(48 3972.0798),(49 3912.2708),(50 3906.5215),(51 3922.598),(52 3886.4856),(53 3963.7751),(54 3997.2808),(55 4031.5603),(56 4075.4395),(57 4052.0686),(58 4071.8977),(59 4097.505),(60 4057.7175),(61 4035.357),(62 4084.009),(63 4066.578),(64 4030.0376),(65 4068.9756),(66 4012.7402),(67 4006.748),(68 4053.618),(69 4000.0938),(70 3994.0369),(71 4031.5703),(72 3976.5283),(73 3963.6833),(74 3965.0173),(75 3943.6924),(76 3964.7925),(77 4020.1682),(78 4051.012),(79 4059.155),
(1 814.46545),(2 1302.9261),(3 1636.5396),(4 1946.7828),(5 2262.19),(6 2483.691),(7 2670.947),(8 2798.1865),(9 2921.7554),(10 3050.7588),(11 3124.1558),(12 3225.2131),(13 3344.182),(14 3363.035),(15 3411.8804),(16 3475.763),(17 3487.4944),(18 3579.7227),(19 3656.5144),(20 3619.9106),(21 3639.4604),(22 3718.4734),(23 3695.0615),(24 3715.0098),(25 3744.623),(26 3728.0547),(27 3715.0806),(28 3736.7036),(29 3724.5881),(30 3757.6333),(31 3721.244),(32 3709.5752),(33 3734.1938),(34 3723.3838),(35 3735.386),(36 3775.2034),(37 3721.7744),(38 3711.1604),(39 3729.0156),(40 3661.7957),(41 3686.9585),(42 3700.4932),(43 3675.6953),(44 3669.1304),(45 3689.028),(46 3658.2144),(47 3663.2952),(48 3715.6406),(49 3684.2153),(50 3674.239),(51 3720.1409),(52 3715.2153),(53 3789.2686),(54 3828.0818),(55 3831.3206),(56 3868.829),(57 3863.224),(58 3879.049),(59 3878.2588),(60 3874.2856),(61 3872.5662),(62 3949.3198),(63 3930.7139),(64 3911.2598),(65 3969.5737),(66 3938.886),(67 3926.4229),(68 3961.1306),(69 3926.688),(70 3934.0525),(71 3977.9277),(72 3933.6836),(73 3981.8027),(74 4008.1323),(75 4026.6162),(76 4066.2666),(77 4115.253),(78 4128.4688),(79 4128.1685),
(1 806.47833),(2 1278.8175),(3 1647.027),(4 1976.0503),(5 2285.2693),(6 2492.687),(7 2693.1633),(8 2807.2908),(9 2906.313),(10 3004.199),(11 3050.5112),(12 3129.3352),(13 3220.0408),(14 3212.076),(15 3238.3618),(16 3347.5867),(17 3369.047),(18 3431.6516),(19 3471.3062),(20 3438.3943),(21 3445.071),(22 3494.6284),(23 3440.2207),(24 3438.9338),(25 3466.0886),(26 3416.6975),(27 3424.4187),(28 3477.1177),(29 3473.908),(30 3495.9534),(31 3480.4126),(32 3523.9624),(33 3623.869),(34 3669.114),(35 3706.5698),(36 3787.2397),(37 3740.89),(38 3767.9365),(39 3849.7698),(40 3833.4063),(41 3832.086),(42 3890.872),(43 3865.9468),(44 3880.119),(45 3892.2473),(46 3855.7693),(47 3854.9795),(48 3910.0613),(49 3908.8552),(50 3876.7131),(51 3929.5876),(52 3916.0647),(53 3936.4575),(54 3961.8267),(55 3910.1768),(56 3935.5981),(57 3877.5889),(58 3867.9612),(59 3846.7803),(60 3823.8328),(61 3824.642),(62 3886.698),(63 3867.4392),(64 3847.6375),(65 3897.9834),(66 3863.2512),(67 3837.4468),(68 3913.5774),(69 3861.8647),(70 3836.1816),(71 3903.3997),(72 3876.5662),(73 3907.606),(74 3915.7207),(75 3912.9688),(76 3938.317),(77 4030.0596),(78 4049.4167),(79 4048.7744),
(1 800.85394),(2 1268.6163),(3 1616.3322),(4 1976.3289),(5 2261.095),(6 2437.7585),(7 2619.6338),(8 2732.0398),(9 2830.9253),(10 2961.0144),(11 3019.716),(12 3073.7964),(13 3147.8699),(14 3148.063),(15 3196.931),(16 3293.6802),(17 3295.6367),(18 3323.1863),(19 3353.7913),(20 3326.2668),(21 3364.8337),(22 3418.3474),(23 3407.3308),(24 3410.3606),(25 3433.9927),(26 3422.7202),(27 3408.79),(28 3480.1294),(29 3434.6025),(30 3460.1904),(31 3459.7222),(32 3475.2073),(33 3546.8445),(34 3563.1584),(35 3572.899),(36 3628.3467),(37 3576.4114),(38 3553.6592),(39 3570.4067),(40 3548.8364),(41 3560.275),(42 3574.3054),(43 3560.4402),(44 3578.4446),(45 3598.889),(46 3570.6177),(47 3551.7385),(48 3607.8772),(49 3583.4148),(50 3577.135),(51 3597.5056),(52 3576.958),(53 3619.2288),(54 3649.7368),(55 3664.7625),(56 3676.4985),(57 3651.2495),(58 3684.7217),(59 3684.5815),(60 3665.412),(61 3670.5205),(62 3721.7368),(63 3721.2935),(64 3747.1772),(65 3815.1216),(66 3791.2346),(67 3763.5793),(68 3808.9165),(69 3792.4282),(70 3761.3481),(71 3829.2073),(72 3825.5369),(73 3829.9846),(74 3811.0574),(75 3773.8525),(76 3768.6345),(77 3818.7651),(78 3778.3176),(79 3763.818),
(1 782.13983),(2 1230.1289),(3 1559.5984),(4 1893.6014),(5 2200.7722),(6 2399.5967),(7 2581.074),(8 2710.3782),(9 2812.2395),(10 2922.9849),(11 2975.4622),(12 3056.2915),(13 3117.8623),(14 3131.9316),(15 3176.887),(16 3258.7036),(17 3248.8105),(18 3279.44),(19 3352.5652),(20 3303.1392),(21 3332.2273),(22 3396.0515),(23 3383.3801),(24 3360.743),(25 3393.053),(26 3403.5317),(27 3403.2197),(28 3446.3665),(29 3433.122),(30 3438.2827),(31 3415.8616),(32 3412.7197),(33 3435.1697),(34 3453.9006),(35 3459.6533),(36 3519.2146),(37 3501.495),(38 3473.3801),(39 3486.5115),(40 3436.0796),(41 3457.4563),(42 3451.846),(43 3421.203),(44 3415.5684),(45 3453.0706),(46 3447.5627),(47 3481.815),(48 3529.7847),(49 3492.5059),(50 3506.6228),(51 3539.036),(52 3528.293),(53 3587.445),(54 3634.3914),(55 3623.543),(56 3653.7314),(57 3638.5806),(58 3672.3262),(59 3692.6306),(60 3685.4568),(61 3676.9814),(62 3725.512),(63 3714.1519),(64 3740.854),(65 3784.1033),(66 3752.9944),(67 3749.653),(68 3826.5566),(69 3775.6594),(70 3754.4504),(71 3781.6982),(72 3736.8896),(73 3734.8145),(74 3748.468),(75 3716.4436),(76 3705.862),(77 3752.7227),(78 3731.2366),(79 3740.88),
