1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 714008.2),(2 1067991.6),(3 1471366.1),(4 1868544.9),(5 2252515.8),(6 2607683.8),(7 2981090.3),(8 3402714.8),(9 3809187.3),(10 3231053.8),(11 3255935.3),(12 3251681.3),(13 3313253.3),(14 3403047),(15 3511021.8),(16 3639858),(17 3768470.3),(18 3854801.8),(19 3904216),(20 3937774),(21 3968401),(22 3849005.3),(23 3703113),(24 3520479),(25 3295528),(26 3025407),(27 2747708.3),(28 2465193.8),(29 2226918.8),(30 1960258),(31 2007884.5),(32 2020715),(33 2067974.9),(34 2135062.5),(35 2135757),(36 2151480),(37 2138730.3),(38 2123256.8),(39 2101949.3),(40 2053366.6),(41 2074621.9),(42 2079447.4),(43 2087235.6),(44 2145567.3),(45 2220987.3),(46 2316557.3),(47 2377820.3),(48 2454106),(49 2543483.8),(50 2579086.8),(51 2610677),(52 2626969.3),(53 2631613.3),(54 2616912.3),(55 2598973.3),(56 2598991.3),(57 2605653.3),(58 2585702),(59 2582663.3),(60 2523892),(61 2492739.3),(62 2445736),(63 2420694.5),(64 2396454.3),(65 2374963),(66 2330044.8),(67 2282474.8),(68 2274682.8),(69 2291338.5),(70 2296390),(71 2335079.3),(72 2376932),(73 2454037.8),(74 2533252.8),(75 2615904.8),(76 2689193.3),(77 2778577.5),(78 2831087),(79 2876738.8),
(1 2173.6594),(2 4239.1104),(3 6003.533),(4 7316.6914),(5 8322.855),(6 9059.546),(7 9573.546),(8 9910.26),(9 10209.621),(10 10789.008),(11 10993.401),(12 11202.251),(13 11385.703),(14 11476.625),(15 11671.765),(16 11800.725),(17 11851.241),(18 11901.89),(19 11960.622),(20 12046.843),(21 12098.277),(22 12213.164),(23 12270.273),(24 12262.936),(25 12333.033),(26 12383.1455),(27 12511.94),(28 12543.037),(29 12506.739),(30 12461.346),(31 12435.26),(32 12453.985),(33 12617.166),(34 12941.787),(35 13088.966),(36 13099.892),(37 13099.298),(38 13091.282),(39 13145.269),(40 13052.274),(41 13005.075),(42 13056.24),(43 13054.508),(44 13053.696),(45 13026.391),(46 13234.473),(47 13247.583),(48 13231.7705),(49 13284.261),(50 13314.538),(51 13341.039),(52 13365.062),(53 13500.57),(54 13601.006),(55 13649.501),(56 13639.721),(57 13583.743),(58 13913.068),(59 13977.559),(60 13867.364),(61 13929.616),(62 13877.377),(63 13868.251),(64 13877.689),(65 13880.251),(66 13932.513),(67 13959.489),(68 13928.587),(69 13906.441),(70 14029.411),(71 14140.421),(72 14156.559),(73 14187.05),(74 14227.319),(75 14243.27),(76 14166.195),(77 14054.972),(78 13963.965),(79 13824.638),
(1 2057.7842),(2 3974.6624),(3 5601.1196),(4 6758.936),(5 7739.5186),(6 8489.238),(7 8950.569),(8 9297.549),(9 9597.567),(10 10107.361),(11 10307.861),(12 10474.166),(13 10642.311),(14 10853.658),(15 11011.244),(16 11094.003),(17 11109.681),(18 11153.456),(19 11193.3545),(20 11320.506),(21 11415.394),(22 11685.947),(23 11814.77),(24 11897.998),(25 12086.732),(26 12180.651),(27 12343.179),(28 12470.39),(29 12480.346),(30 12542.256),(31 12450.377),(32 12436.681),(33 12413.731),(34 12503.58),(35 12532.273),(36 12593.741),(37 12629.413),(38 12649.569),(39 12686.742),(40 12608.387),(41 12602.836),(42 12544.733),(43 12524.779),(44 12430.468),(45 12325.391),(46 12475.739),(47 12472.96),(48 12414.998),(49 12380.984),(50 12319.713),(51 12257.98),(52 12145.753),(53 12157.722),(54 12175.373),(55 12274.377),(56 12356.909),(57 12452.854),(58 12629.89),(59 12671.046),(60 12663.933),(61 12675.949),(62 12652.749),(63 12621.947),(64 12651.764),(65 12567.754),(66 12554.196),(67 12457.518),(68 12357.32),(69 12429.666),(70 12572.588),(71 12670.599),(72 12675.256),(73 12716.759),(74 12772.836),(75 12737.821),(76 12653.25),(77 12566.42),(78 12534.74),(79 12439.273),
(1 1983.6805),(2 3800.0652),(3 5320.84),(4 6446.122),(5 7320.223),(6 7947.9204),(7 8410.562),(8 8686.76),(9 8930.363),(10 9402.037),(11 9645.095),(12 9821.515),(13 10040.5205),(14 10262.623),(15 10422.564),(16 10563.728),(17 10657.1455),(18 10800.834),(19 10853.393),(20 10878.748),(21 10858.912),(22 11003.18),(23 11079.812),(24 11229.256),(25 11290.511),(26 11359.324),(27 11425.2705),(28 11478.555),(29 11494.343),(30 11449.411),(31 11403.431),(32 11320.632),(33 11250.794),(34 11370.799),(35 11355.533),(36 11389.885),(37 11494.24),(38 11507.801),(39 11469.496),(40 11401.14),(41 11448.844),(42 11499.131),(43 11467.156),(44 11512.303),(45 11566.641),(46 11612.5205),(47 11578.688),(48 11570.902),(49 11592.787),(50 11559.34),(51 11590.155),(52 11544.611),(53 11612.905),(54 11573.214),(55 11497.261),(56 11454.913),(57 11483.029),(58 11751.765),(59 11760.846),(60 11789.963),(61 11782.34),(62 11833.631),(63 11850.773),(64 11856.1455),(65 11830.723),(66 11837.739),(67 11729.519),(68 11606.856),(69 11513.248),(70 11698.547),(71 11762.367),(72 11761.352),(73 11685.212),(74 11674.308),(75 11665.823),(76 11646.79),(77 11750.166),(78 11783.173),(79 11736.056),
(1 1927.4241),(2 3697.5913),(3 5234.73),(4 6346.254),(5 7216.3135),(6 7828.3823),(7 8283.055),(8 8595.306),(9 8879.3545),(10 9426.938),(11 9716.015),(12 9911.538),(13 10100.913),(14 10288.876),(15 10465.028),(16 10577.071),(17 10578.574),(18 10731.854),(19 10810.822),(20 10918.997),(21 10875.85),(22 11062.673),(23 11081.037),(24 11196.946),(25 11223.832),(26 11320.465),(27 11382.866),(28 11357.23),(29 11383.96),(30 11412.474),(31 11416.744),(32 11363.617),(33 11291.989),(34 11381.311),(35 11385.647),(36 11343.531),(37 11421.014),(38 11435.498),(39 11600.043),(40 11535.934),(41 11589.091),(42 11557.62),(43 11436.581),(44 11408.579),(45 11397.85),(46 11620.262),(47 11655.447),(48 11714.063),(49 11716.024),(50 11575.743),(51 11575.736),(52 11464.498),(53 11425.835),(54 11362.406),(55 11314.774),(56 11274.573),(57 11256.948),(58 11404.973),(59 11432.601),(60 11417.815),(61 11490.172),(62 11629.917),(63 11674.966),(64 11635.127),(65 11635.197),(66 11596.87),(67 11601.414),(68 11533.418),(69 11440.459),(70 11587.11),(71 11601.163),(72 11592.923),(73 11528.017),(74 11539.548),(75 11528.468),(76 11543.632),(77 11575.641),(78 11552.405),(79 11551.296),
(1 1862.5337),(2 3483.9373),(3 4866.6636),(4 5939.0054),(5 6781.9165),(6 7298.2095),(7 7731.178),(8 8054.285),(9 8289.527),(10 8769.586),(11 9042.575),(12 9214.204),(13 9510.165),(14 9711.112),(15 9924.528),(16 10017.495),(17 10119.494),(18 10203.604),(19 10198.262),(20 10207.613),(21 10207.896),(22 10331.58),(23 10397.578),(24 10500.631),(25 10444.412),(26 10507.915),(27 10603.723),(28 10590.929),(29 10614.401),(30 10609.817),(31 10565.62),(32 10630.146),(33 10679.147),(34 10939.218),(35 11042.375),(36 11032.725),(37 11091.74),(38 11108.724),(39 11142.764),(40 11139.963),(41 11113.595),(42 11144.541),(43 11099.405),(44 10980.552),(45 10969.828),(46 11060.249),(47 11016.822),(48 11014.646),(49 10999.702),(50 10986.046),(51 11083.727),(52 11111.689),(53 11146.525),(54 11216.162),(55 11282.561),(56 11300.864),(57 11287.934),(58 11365.377),(59 11365.46),(60 11370.055),(61 11317.237),(62 11261.097),(63 11325.015),(64 11291.953),(65 11321.153),(66 11319.94),(67 11286.043),(68 11250.512),(69 11200.853),(70 11185.058),(71 11190.563),(72 11170.695),(73 11154.647),(74 11148.996),(75 11085.15),(76 11085.478),(77 11032.133),(78 10975.343),(79 10826.994),
(1 1876.5516),(2 3588.2131),(3 4959.663),(4 5934.37),(5 6725.004),(6 7346.0933),(7 7771.412),(8 8005.404),(9 8226.949),(10 8653.846),(11 8923.6875),(12 9132.352),(13 9326.674),(14 9466.54),(15 9669.809),(16 9794.167),(17 9864.886),(18 9902.921),(19 9835.357),(20 9839.953),(21 9850.393),(22 10081.799),(23 10203.957),(24 10336.014),(25 10408.656),(26 10505.648),(27 10558.833),(28 10584.009),(29 10612.351),(30 10661.769),(31 10656.229),(32 10763.804),(33 10783.766),(34 11008.94),(35 11018.592),(36 10993.657),(37 10968.893),(38 11005.392),(39 11038.976),(40 11004.661),(41 11037.493),(42 11049.38),(43 11090.678),(44 11048.816),(45 11033.691),(46 11026.119),(47 11060.978),(48 11065.191),(49 11067.458),(50 11076.799),(51 11052.85),(52 11020.364),(53 11028.832),(54 11013.273),(55 10981.378),(56 11029.883),(57 11063.657),(58 11162.512),(59 11075.599),(60 10938.177),(61 10854.342),(62 10794.963),(63 10796.27),(64 10808.204),(65 10884.241),(66 10859.629),(67 10857.36),(68 10877.618),(69 10887.646),(70 10884.039),(71 10842.256),(72 10819.104),(73 10801.496),(74 10853.066),(75 10837.673),(76 10869.234),(77 10791.7295),(78 10809.157),(79 10757.714),
(1 1798.0259),(2 3344.835),(3 4578.9697),(4 5508.981),(5 6153.151),(6 6717.193),(7 7121.8364),(8 7409.691),(9 7658.044),(10 8159.7188),(11 8441.271),(12 8667.141),(13 8831.056),(14 9079.604),(15 9288.785),(16 9342.714),(17 9367.537),(18 9446.594),(19 9477.462),(20 9452.242),(21 9439.832),(22 9460.3955),(23 9417.45),(24 9422.364),(25 9355.251),(26 9402.771),(27 9457.651),(28 9500.217),(29 9607.253),(30 9662.124),(31 9704.424),(32 9742.463),(33 9743.178),(34 9979.289),(35 10074.906),(36 10100.739),(37 10114.397),(38 10113.063),(39 10133.529),(40 10141.022),(41 10176.073),(42 10172.142),(43 10208.673),(44 10181.535),(45 10128.447),(46 10115.273),(47 10127.2295),(48 10115.733),(49 10109.773),(50 10049.516),(51 10089.028),(52 10063.148),(53 10146.763),(54 10150.77),(55 10167.562),(56 10175.352),(57 10180.559),(58 10309.696),(59 10325.898),(60 10298.063),(61 10286.211),(62 10262.607),(63 10280.191),(64 10349.69),(65 10348.549),(66 10340.967),(67 10304.139),(68 10256.075),(69 10293.753),(70 10371.2),(71 10396.913),(72 10295.642),(73 10206.355),(74 10184.766),(75 10155.9),(76 10180.038),(77 10196.312),(78 10249.03),(79 10342.748),
(1 1765.4233),(2 3278.1482),(3 4561.362),(4 5444.092),(5 6080.864),(6 6576.7383),(7 6923.9224),(8 7194.1177),(9 7385.583),(10 7805.586),(11 8060.661),(12 8299.803),(13 8485.455),(14 8703.869),(15 8866.676),(16 9001.286),(17 9059.345),(18 9084.801),(19 9142.62),(20 9140.685),(21 9106.101),(22 9267.961),(23 9276.752),(24 9283.887),(25 9293.52),(26 9289.804),(27 9367.905),(28 9448.012),(29 9440.615),(30 9463.945),(31 9432.913),(32 9426.444),(33 9447.708),(34 9616.638),(35 9650.87),(36 9608.948),(37 9613.691),(38 9640.138),(39 9652.938),(40 9670.657),(41 9729.811),(42 9807.613),(43 9788.306),(44 9809.596),(45 9791.127),(46 9806.999),(47 9846.288),(48 9779.054),(49 9726.398),(50 9744.22),(51 9820.068),(52 9847.297),(53 9814.714),(54 9835.476),(55 9892.396),(56 9860.805),(57 9828.999),(58 9848.184),(59 9725.236),(60 9675.869),(61 9730.807),(62 9795.454),(63 9802.267),(64 9830.717),(65 9807.374),(66 9723.791),(67 9674.943),(68 9670.968),(69 9692.088),(70 9811.301),(71 9877.828),(72 9847.57),(73 9812.157),(74 9801.374),(75 9708.359),(76 9663.149),(77 9706.971),(78 9674.225),(79 9604.906),
(1 1700.8124),(2 3205.4204),(3 4435.23),(4 5288.9194),(5 5961.522),(6 6407.841),(7 6742.857),(8 6965.274),(9 7228.7896),(10 7641.8545),(11 7857.698),(12 8027.622),(13 8141.999),(14 8295.438),(15 8340.535),(16 8392.185),(17 8439.382),(18 8467.631),(19 8520.049),(20 8498.809),(21 8573.567),(22 8778.59),(23 8890.025),(24 8881.149),(25 8971.398),(26 9009.893),(27 9143.834),(28 9174.14),(29 9229.832),(30 9219.102),(31 9192.2),(32 9189.882),(33 9193.817),(34 9295.361),(35 9307.685),(36 9292.925),(37 9246.414),(38 9314.707),(39 9331.136),(40 9309.528),(41 9324.8),(42 9266.462),(43 9150.19),(44 9107.258),(45 9152.438),(46 9267.56),(47 9358.483),(48 9350.961),(49 9323.457),(50 9404.005),(51 9494.442),(52 9509.618),(53 9505.065),(54 9550.013),(55 9539.384),(56 9534.368),(57 9484.444),(58 9657.243),(59 9616.095),(60 9609.779),(61 9632.771),(62 9660.8955),(63 9699.122),(64 9654.968),(65 9744.57),(66 9794.358),(67 9775.097),(68 9737.424),(69 9820.551),(70 9953.447),(71 9934.911),(72 9930.568),(73 9864.778),(74 9873.499),(75 9980.354),(76 9979.27),(77 9974.121),(78 9854.89),(79 9712.461),
(1 1684.0834),(2 3149.2249),(3 4383.2573),(4 5214.622),(5 5824.259),(6 6269.2847),(7 6579.625),(8 6777.0674),(9 6986.8057),(10 7305.6504),(11 7533.9634),(12 7723.1455),(13 7897.874),(14 8082.5127),(15 8209.751),(16 8294.588),(17 8401.713),(18 8476.061),(19 8472.535),(20 8518.3545),(21 8582.611),(22 8890.783),(23 8954.299),(24 8991.506),(25 9032.401),(26 9064.247),(27 9134.899),(28 9053.372),(29 9057.781),(30 9073.46),(31 9100.739),(32 9199.008),(33 9204.479),(34 9383.382),(35 9404.352),(36 9391.075),(37 9383.972),(38 9386.602),(39 9425.185),(40 9412.631),(41 9447.596),(42 9380.97),(43 9273.877),(44 9312.576),(45 9372.874),(46 9566.333),(47 9657.338),(48 9685.651),(49 9640.883),(50 9581.681),(51 9581.164),(52 9536.212),(53 9574.639),(54 9571.604),(55 9610.288),(56 9615.331),(57 9590.763),(58 9750.215),(59 9783.633),(60 9888.743),(61 9892.432),(62 9907.834),(63 9897.951),(64 9879.483),(65 9876.651),(66 9821.238),(67 9742.068),(68 9677.968),(69 9664.747),(70 9698.981),(71 9696.0625),(72 9689.193),(73 9662.828),(74 9668.78),(75 9751.404),(76 9740.873),(77 9718.653),(78 9703.504),(79 9644.523),
(1 1611.4),(2 2990.701),(3 4095.9292),(4 4863.251),(5 5514.4385),(6 5934.1147),(7 6215.3164),(8 6445.03),(9 6687.102),(10 6991.0728),(11 7151.166),(12 7294.3535),(13 7402.0015),(14 7604.4717),(15 7776.9756),(16 7896.4746),(17 8000.598),(18 8099.1084),(19 8059.0156),(20 8088.1987),(21 8070.404),(22 8190.3086),(23 8212.464),(24 8260.213),(25 8328.822),(26 8460.603),(27 8552.654),(28 8622.096),(29 8723.13),(30 8758.915),(31 8725.667),(32 8801.61),(33 8820.825),(34 8927.716),(35 8926.75),(36 8873.073),(37 8879.203),(38 8862.291),(39 8896.924),(40 8923.104),(41 8962.376),(42 8947.001),(43 8852.653),(44 8837.66),(45 8820.672),(46 8887.794),(47 8833.302),(48 8678.285),(49 8646.071),(50 8683.887),(51 8780.662),(52 8724.8),(53 8769.065),(54 8767.039),(55 8797.567),(56 8835.216),(57 8874.845),(58 9049.121),(59 9077.903),(60 9108.124),(61 9135.837),(62 9125.254),(63 9151.622),(64 9100.379),(65 9059.405),(66 9058.475),(67 9002.434),(68 9001.609),(69 8997.148),(70 9056.053),(71 9060.627),(72 9092.326),(73 9162.801),(74 9242.723),(75 9265.281),(76 9249.607),(77 9253.387),(78 9249.9795),(79 9158.053),
(1 1574.052),(2 2879.1848),(3 3906.874),(4 4622.897),(5 5179.856),(6 5581.176),(7 5868.693),(8 6100.0396),(9 6317.19),(10 6687.3164),(11 6861.964),(12 7034.8374),(13 7147.972),(14 7349.511),(15 7552.668),(16 7690.7065),(17 7733.33),(18 7750.4634),(19 7722.9824),(20 7722.4805),(21 7781.556),(22 7861.909),(23 7908.0405),(24 8033.5127),(25 8150.3115),(26 8284.65),(27 8419.56),(28 8452.154),(29 8442.402),(30 8407.2295),(31 8362.922),(32 8335.192),(33 8314.29),(34 8432.9375),(35 8444.504),(36 8493.723),(37 8524.5205),(38 8533.484),(39 8549.397),(40 8542.06),(41 8527.235),(42 8448.177),(43 8291.972),(44 8230.576),(45 8158.8433),(46 8245.022),(47 8241.547),(48 8220.195),(49 8194.438),(50 8217.559),(51 8309.522),(52 8376.426),(53 8449.068),(54 8482.401),(55 8532.597),(56 8613.245),(57 8575.981),(58 8692.537),(59 8749.325),(60 8773.117),(61 8746.927),(62 8732.651),(63 8811.379),(64 8818.369),(65 8788.567),(66 8793.685),(67 8806.486),(68 8848.647),(69 8879.954),(70 8954.681),(71 8987.994),(72 8997.101),(73 9007.191),(74 8986.443),(75 9029.809),(76 8962.617),(77 8878.466),(78 8899.864),(79 8800.832),
(1 1521.6896),(2 2829.6711),(3 3853.906),(4 4592.0854),(5 5133.3965),(6 5510.9355),(7 5781.565),(8 6022.785),(9 6206.835),(10 6487.7026),(11 6649.072),(12 6846.083),(13 7031.5557),(14 7232.2104),(15 7404.169),(16 7558.5386),(17 7621.572),(18 7714.127),(19 7701.8765),(20 7738.1055),(21 7803.7036),(22 7860.3794),(23 7935.8066),(24 7975.9614),(25 7999.879),(26 8042.677),(27 8076.201),(28 8051.677),(29 8005.855),(30 8011.679),(31 7978.239),(32 8024.4634),(33 7988.261),(34 8081.2114),(35 8062.1846),(36 7998.7456),(37 7972.427),(38 7997.0854),(39 8067.246),(40 8171.1245),(41 8242.028),(42 8269.74),(43 8278.793),(44 8299.486),(45 8319.734),(46 8499.594),(47 8503.753),(48 8478.168),(49 8434.293),(50 8401.709),(51 8480.527),(52 8490.952),(53 8467.407),(54 8472.611),(55 8454.633),(56 8492.617),(57 8474.97),(58 8558.288),(59 8596.07),(60 8600.864),(61 8550.573),(62 8546.451),(63 8556.199),(64 8646.288),(65 8698.891),(66 8698.69),(67 8636.774),(68 8602.878),(69 8557.841),(70 8568.72),(71 8579.771),(72 8570.76),(73 8565.892),(74 8608.305),(75 8660.862),(76 8606.539),(77 8568.488),(78 8549.87),(79 8495.098),
(1 1493.5786),(2 2756.5386),(3 3738.8613),(4 4433.796),(5 4941.091),(6 5300.5645),(7 5569.2974),(8 5775.047),(9 5900.418),(10 6106.8477),(11 6235.1787),(12 6399.777),(13 6560.0127),(14 6723.7896),(15 6895.8516),(16 6982.887),(17 7051.411),(18 7186.9287),(19 7214.1753),(20 7297.9478),(21 7349.19),(22 7483.489),(23 7545.2314),(24 7576.222),(25 7610.5327),(26 7680.286),(27 7773.857),(28 7728.0605),(29 7725.7427),(30 7744.072),(31 7766.778),(32 7827.665),(33 7849.576),(34 7930.3906),(35 7912.015),(36 7831.7256),(37 7840.8594),(38 7854.945),(39 7939.8945),(40 7933.7104),(41 7887.809),(42 7863.757),(43 7773.5693),(44 7761.383),(45 7819.2144),(46 7992.143),(47 7985.7026),(48 8012.301),(49 8025.769),(50 8076.8535),(51 8162.2026),(52 8169.44),(53 8171.407),(54 8145.8647),(55 8225.438),(56 8208.926),(57 8266.78),(58 8349.109),(59 8330.636),(60 8290.626),(61 8315.325),(62 8329.475),(63 8397.638),(64 8475.235),(65 8482.216),(66 8455.319),(67 8431.591),(68 8372.585),(69 8264.808),(70 8263.985),(71 8317.033),(72 8310.368),(73 8285.506),(74 8271.37),(75 8253.171),(76 8198.021),(77 8169.5986),(78 8149.4404),(79 8149.0405),
(1 1457.4609),(2 2651.5198),(3 3580.7898),(4 4241.755),(5 4714.1367),(6 5031.9434),(7 5255.145),(8 5452.929),(9 5589.2915),(10 5937.253),(11 6060.8984),(12 6207.2266),(13 6384.18),(14 6548.0635),(15 6661.616),(16 6736.6235),(17 6791.83),(18 6843.9824),(19 6859.5854),(20 6952.244),(21 7006.363),(22 7192.3867),(23 7293.054),(24 7374.5854),(25 7402.3413),(26 7434.4727),(27 7475.3564),(28 7500.7896),(29 7579.609),(30 7643.9795),(31 7667.0605),(32 7722.3516),(33 7740.778),(34 7786.0713),(35 7794.919),(36 7776.576),(37 7806.7056),(38 7766.367),(39 7768.591),(40 7789.2295),(41 7798.3633),(42 7771.2803),(43 7755.602),(44 7707.7744),(45 7732.5264),(46 7781.544),(47 7731.014),(48 7696.419),(49 7696.5166),(50 7660.2886),(51 7696.248),(52 7720.5503),(53 7730.1934),(54 7818.6987),(55 7935.1675),(56 7970.5405),(57 7975.729),(58 8079.009),(59 8086.5957),(60 8031.9194),(61 8093.9873),(62 8100.0313),(63 8122.912),(64 8064.213),(65 8058.137),(66 8077.95),(67 8078.3105),(68 8097.508),(69 8123.8193),(70 8216.262),(71 8286.111),(72 8293.666),(73 8274.684),(74 8259.235),(75 8267.3955),(76 8281.065),(77 8316.172),(78 8294.662),(79 8224.084),
(1 1420.7428),(2 2561.1917),(3 3444.8938),(4 4072.0037),(5 4540.321),(6 4838.001),(7 5091.472),(8 5229.481),(9 5355.785),(10 5630.7456),(11 5759.911),(12 5869.7476),(13 5988.9893),(14 6049.413),(15 6106.2866),(16 6195.594),(17 6224.3403),(18 6326.6025),(19 6412.5786),(20 6472.2),(21 6550.5806),(22 6718.2744),(23 6685.3984),(24 6668.088),(25 6676.3975),(26 6705.5474),(27 6778.7056),(28 6802.4644),(29 6820.0767),(30 6857.145),(31 6877.324),(32 6902.705),(33 6969.832),(34 7062.5156),(35 7119.248),(36 7162.0107),(37 7190.3584),(38 7204.5225),(39 7192.741),(40 7192.3823),(41 7219.199),(42 7211.7197),(43 7179.69),(44 7155.5454),(45 7184.3755),(46 7299.419),(47 7296.102),(48 7297.53),(49 7281.67),(50 7268.566),(51 7320.7007),(52 7387.235),(53 7421.7847),(54 7511.7075),(55 7534.9155),(56 7519.929),(57 7512.056),(58 7543.8594),(59 7561.2134),(60 7531.5015),(61 7511.006),(62 7468.354),(63 7473.908),(64 7465.762),(65 7533.9478),(66 7584.6743),(67 7582.16),(68 7624.0767),(69 7648.459),(70 7776.6826),(71 7856.0093),(72 7900.9863),(73 7890.6494),(74 7893.099),(75 7899.828),(76 7866.6133),(77 7807.418),(78 7758.83),(79 7718.7725),
(1 1380.7207),(2 2470.7117),(3 3332.4807),(4 3961.6287),(5 4436.69),(6 4733.375),(7 4901.195),(8 5017.0845),(9 5105.4824),(10 5394.537),(11 5490.6733),(12 5610.6265),(13 5739.743),(14 5829.709),(15 5928.0137),(16 6017.21),(17 6075.386),(18 6162.999),(19 6191.0537),(20 6297.9937),(21 6361.178),(22 6587.8916),(23 6658.1978),(24 6699.067),(25 6745.7695),(26 6647.2925),(27 6645.6714),(28 6649.4385),(29 6674.1772),(30 6702.178),(31 6671.095),(32 6685.108),(33 6682.2383),(34 6817.649),(35 6882.8477),(36 6947.6445),(37 6966.272),(38 6935.037),(39 6953.03),(40 6955.613),(41 6943.976),(42 6949.1904),(43 6907.125),(44 6882.5967),(45 6921.359),(46 6988.2837),(47 7019.508),(48 7005.2207),(49 7035.08),(50 7091.0396),(51 7148.4116),(52 7201.152),(53 7256.95),(54 7324.257),(55 7319.4424),(56 7298.593),(57 7282.3027),(58 7270.718),(59 7225.9507),(60 7248.1157),(61 7253.5244),(62 7251.409),(63 7196.673),(64 7201.882),(65 7190.5474),(66 7204.0786),(67 7233.7485),(68 7251.3975),(69 7316.571),(70 7393.778),(71 7399.58),(72 7396.121),(73 7348.189),(74 7303.057),(75 7297.679),(76 7307.425),(77 7340.974),(78 7347.248),(79 7389.7),
