1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1107.129),(2 1157.9052),(3 1189.78),(4 1222.2867),(5 1278.5676),(6 1317.9397),(7 1350.0063),(8 1444.6189),(9 1486.0311),(10 1530.6758),(11 1575.1229),(12 1607.202),(13 1655.2979),(14 1688.4921),(15 1709.331),(16 1721.2815),(17 1756.2671),(18 1742.4468),(19 1766.2866),(20 1740.3263),(21 1740.4576),(22 1710.4503),(23 1699.4773),(24 1674.2001),(25 1669.6228),(26 1648.283),(27 1642.1195),(28 1630.3011),(29 1619.4108),(30 1629.9335),(31 1603.6622),(32 1591.1302),(33 1597.3258),(34 1592.8936),(35 1605.0391),(36 1600.4462),(37 1622.2773),(38 1601.2212),(39 1632.0833),(40 1633.5231),(41 1624.4573),(42 1624.7117),(43 1616.4918),(44 1634.2019),(45 1634.4325),(46 1630.3033),(47 1663.1688),(48 1653.3114),(49 1667.7783),(50 1683.9198),(51 1691.5614),(52 1696.3337),(53 1716.3103),(54 1709.965),(55 1719.377),(56 1721.4203),(57 1714.9529),(58 1697.174),(59 1713.9877),(60 1683.9458),(61 1656.6814),(62 1634.2268),(63 1623.7357),(64 1622.7517),(65 1596.4991),(66 1575.0972),(67 1583.5139),(68 1583.2462),(69 1551.8069),(70 1575.6869),(71 1569.2323),(72 1546.474),(73 1582.8363),(74 1595.0898),(75 1602.4127),(76 1619.9725),(77 1615.0897),(78 1648.4741),(79 1635.3394),
(1 1085.9794),(2 1156.1248),(3 1173.1852),(4 1214.6445),(5 1283.8202),(6 1333.5505),(7 1384.145),(8 1443.5996),(9 1495.3611),(10 1519.1313),(11 1579.2141),(12 1627.8788),(13 1653.6207),(14 1716.3055),(15 1721.7197),(16 1731.3179),(17 1756.0339),(18 1735.0791),(19 1716.5004),(20 1736.3745),(21 1704.3298),(22 1678.0725),(23 1657.7819),(24 1624.5771),(25 1635.7146),(26 1602.5703),(27 1585.9545),(28 1575.0436),(29 1570.8324),(30 1579.4329),(31 1551.1134),(32 1555.5673),(33 1541.3759),(34 1551.6044),(35 1562.694),(36 1555.43),(37 1554.0115),(38 1555.8257),(39 1590.7229),(40 1612.9448),(41 1595.3846),(42 1595.9863),(43 1583.9937),(44 1589.4968),(45 1614.3374),(46 1606.3556),(47 1623.4884),(48 1630.0929),(49 1652.7352),(50 1683.5707),(51 1659.3105),(52 1690.176),(53 1686.0892),(54 1708.1907),(55 1723.5265),(56 1723.6642),(57 1737.1619),(58 1719.3217),(59 1724.2013),(60 1713.5332),(61 1671.5615),(62 1649.1244),(63 1634.8126),(64 1625.1678),(65 1589.1467),(66 1588.807),(67 1574.6313),(68 1568.7085),(69 1587.37),(70 1549.2367),(71 1558.4674),(72 1546.8582),(73 1567.8732),(74 1583.5204),(75 1584.0024),(76 1584.4955),(77 1591.0234),(78 1612.3312),(79 1611.0616),
(1 1065.3668),(2 1114.2112),(3 1156.2042),(4 1181.5356),(5 1229.5509),(6 1267.4664),(7 1335.776),(8 1362.0669),(9 1429.1769),(10 1441.5431),(11 1498.225),(12 1555.0293),(13 1577.8558),(14 1623.7382),(15 1641.6493),(16 1655.4596),(17 1674.3569),(18 1656.7192),(19 1658.2494),(20 1658.3683),(21 1641.6989),(22 1623.7979),(23 1589.8198),(24 1603.7589),(25 1580.3549),(26 1570.3428),(27 1568.1849),(28 1549.8923),(29 1524.6853),(30 1531.218),(31 1540.5695),(32 1521.0726),(33 1501.0078),(34 1509.9111),(35 1503.8434),(36 1515.9734),(37 1507.229),(38 1508.7397),(39 1523.3363),(40 1528.6993),(41 1509.324),(42 1527.3784),(43 1515.7278),(44 1525.1028),(45 1539.6255),(46 1520.0507),(47 1534.5007),(48 1532.1624),(49 1534.6831),(50 1546.0686),(51 1533.1147),(52 1551.0653),(53 1533.156),(54 1593.9805),(55 1577.646),(56 1591.1489),(57 1585.837),(58 1584.2474),(59 1581.0717),(60 1577.6482),(61 1564.0096),(62 1561.1444),(63 1531.0542),(64 1537.8838),(65 1505.2532),(66 1509.3873),(67 1519.0541),(68 1500.5315),(69 1519.4043),(70 1490.2427),(71 1496.6895),(72 1491.7773),(73 1498.1609),(74 1497.3411),(75 1524.563),(76 1531.7119),(77 1531.3434),(78 1553.8173),(79 1555.2827),
(1 1047.9825),(2 1126.5648),(3 1173.278),(4 1186.5574),(5 1236.7852),(6 1270.9231),(7 1331.0686),(8 1377.42),(9 1414.5961),(10 1447.4425),(11 1505.0233),(12 1559.975),(13 1574.075),(14 1586.1674),(15 1606.1024),(16 1630.7592),(17 1618.2034),(18 1597.0295),(19 1582.2924),(20 1583.0216),(21 1548.7089),(22 1525.4818),(23 1505.8856),(24 1502.8914),(25 1511.3801),(26 1460.6941),(27 1477.3671),(28 1455.4825),(29 1451.5786),(30 1447.5535),(31 1447.5599),(32 1421.9775),(33 1413.3818),(34 1411.9886),(35 1425.0619),(36 1427.3431),(37 1447.7175),(38 1436.5751),(39 1434.212),(40 1454.014),(41 1479.9968),(42 1471.8503),(43 1485.3248),(44 1487.1864),(45 1502.841),(46 1479.8007),(47 1502.9905),(48 1516.5026),(49 1533.2736),(50 1535.9791),(51 1524.579),(52 1538.0867),(53 1538.2155),(54 1572.1086),(55 1599.366),(56 1586.9197),(57 1599.8914),(58 1600.671),(59 1577.7701),(60 1571.043),(61 1547.9136),(62 1545.3115),(63 1518.695),(64 1510.1487),(65 1504.8861),(66 1502.4916),(67 1509.641),(68 1511.074),(69 1520.1844),(70 1511.65),(71 1507.4631),(72 1520.7537),(73 1524.871),(74 1541.3319),(75 1541.2649),(76 1546.527),(77 1557.1919),(78 1545.1769),(79 1562.8885),
(1 1011.7438),(2 1071.8131),(3 1124.4111),(4 1146.4263),(5 1194.0493),(6 1232.1285),(7 1258.7521),(8 1307.2247),(9 1366.7919),(10 1395.0648),(11 1456.968),(12 1475.6864),(13 1523.3378),(14 1549.9957),(15 1568.1625),(16 1604.2115),(17 1613.7039),(18 1601.219),(19 1600.4661),(20 1591.6138),(21 1577.3092),(22 1556.8955),(23 1530.0326),(24 1522.3174),(25 1534.4161),(26 1484.7186),(27 1502.741),(28 1481.847),(29 1459.6212),(30 1470.9429),(31 1445.641),(32 1440.1224),(33 1453.2218),(34 1421.5035),(35 1429.0543),(36 1431.6224),(37 1451.4592),(38 1434.263),(39 1430.075),(40 1445.7043),(41 1465.5634),(42 1447.6963),(43 1467.2108),(44 1454.5159),(45 1488.6072),(46 1476.4337),(47 1488.7035),(48 1489.1542),(49 1495.7921),(50 1502.076),(51 1491.0927),(52 1508.0636),(53 1514.6123),(54 1505.8235),(55 1522.6178),(56 1521.641),(57 1531.0471),(58 1527.4506),(59 1525.6115),(60 1524.7626),(61 1492.7646),(62 1496.7087),(63 1469.7122),(64 1479.544),(65 1490.5294),(66 1461.8567),(67 1459.6079),(68 1455.2797),(69 1456.8804),(70 1476.749),(71 1465.4696),(72 1452.9556),(73 1473.3625),(74 1485.2365),(75 1502.905),(76 1494.1958),(77 1534.3998),(78 1513.7722),(79 1527.405),
(1 994.6573),(2 1058.0195),(3 1092.7655),(4 1121.2544),(5 1175.4731),(6 1222.3553),(7 1236.5172),(8 1294.9944),(9 1339.4933),(10 1359.0247),(11 1431.3364),(12 1454.1265),(13 1491.9894),(14 1496.522),(15 1516.2839),(16 1530.1937),(17 1539.4851),(18 1512.9058),(19 1538.0795),(20 1527.2411),(21 1499.6096),(22 1503.1207),(23 1463.3307),(24 1454.3036),(25 1457.5673),(26 1431.0082),(27 1427.1531),(28 1404.9248),(29 1397.8551),(30 1406.4545),(31 1385.692),(32 1388.3174),(33 1385.2107),(34 1379.2372),(35 1375.6732),(36 1393.5437),(37 1407.9167),(38 1391.444),(39 1382.3309),(40 1413.9982),(41 1410.6188),(42 1410.885),(43 1421.0256),(44 1409.6749),(45 1420.063),(46 1431.9688),(47 1424.8625),(48 1451.3666),(49 1465.6185),(50 1458.6217),(51 1473.3425),(52 1486.1354),(53 1490.8077),(54 1484.1957),(55 1486.4479),(56 1486.3354),(57 1482.157),(58 1477.9585),(59 1469.0369),(60 1475.0533),(61 1467.1537),(62 1449.8923),(63 1425.0375),(64 1416.6405),(65 1421.3331),(66 1424.369),(67 1421.2445),(68 1442.8151),(69 1430.7307),(70 1429.9001),(71 1425.376),(72 1424.0908),(73 1428.2418),(74 1447.4939),(75 1447.5591),(76 1449.8455),(77 1457.5577),(78 1469.2363),(79 1483.9408),
(1 975.95374),(2 1054.0927),(3 1090.9392),(4 1118.9963),(5 1169.0184),(6 1215.0902),(7 1231.0103),(8 1293.1586),(9 1355.3695),(10 1379.5098),(11 1450.049),(12 1474.9049),(13 1505.5919),(14 1511.6693),(15 1533.3145),(16 1549.7942),(17 1553.1337),(18 1546.8612),(19 1556.0172),(20 1545.8427),(21 1515.4614),(22 1522.7297),(23 1494.588),(24 1475.5442),(25 1477.3792),(26 1454.5164),(27 1467.3436),(28 1452.7329),(29 1437.751),(30 1443.5485),(31 1436.7516),(32 1416.5687),(33 1419.8877),(34 1418.1082),(35 1417.5275),(36 1418.1056),(37 1430.7281),(38 1440.1089),(39 1436.7964),(40 1447.2931),(41 1456.7296),(42 1454.4127),(43 1453.7313),(44 1463.979),(45 1478.4585),(46 1481.2617),(47 1490.9971),(48 1485.9395),(49 1503.5249),(50 1500.3689),(51 1527.3627),(52 1514.6038),(53 1529.9186),(54 1517.4344),(55 1528.6989),(56 1526.8418),(57 1526.9684),(58 1491.5096),(59 1502.5004),(60 1484.0135),(61 1473.0612),(62 1448.0574),(63 1429.747),(64 1428.0771),(65 1408.3817),(66 1415.1423),(67 1423.2449),(68 1411.307),(69 1403.2567),(70 1417.6234),(71 1419.0697),(72 1423.7743),(73 1424.6084),(74 1464.0599),(75 1464.3142),(76 1474.4935),(77 1485.7286),(78 1485.194),(79 1482.5273),
(1 950.477),(2 1014.0737),(3 1058.2584),(4 1086.608),(5 1140.856),(6 1171.0532),(7 1200.7659),(8 1234.6842),(9 1296.2631),(10 1291.9315),(11 1369.125),(12 1392.6655),(13 1406.82),(14 1432.1089),(15 1433.3531),(16 1457.5219),(17 1441.5338),(18 1440.5695),(19 1430.0568),(20 1401.45),(21 1409.548),(22 1410.2675),(23 1376.6074),(24 1388.4644),(25 1359.2535),(26 1351.0219),(27 1348.4706),(28 1343.4885),(29 1330.2738),(30 1328.0151),(31 1338.7753),(32 1309.8975),(33 1314.7173),(34 1321.1505),(35 1315.6633),(36 1315.8656),(37 1323.3186),(38 1344.0579),(39 1338.0175),(40 1369.0905),(41 1371.8624),(42 1359.2369),(43 1350.899),(44 1371.6627),(45 1376.4027),(46 1376.9003),(47 1379.0325),(48 1389.1627),(49 1391.0527),(50 1400.0277),(51 1407.0294),(52 1405.1628),(53 1411.5345),(54 1413.714),(55 1432.6052),(56 1428.9456),(57 1452.6774),(58 1419.2281),(59 1433.1808),(60 1428.92),(61 1416.3352),(62 1390.09),(63 1385.9937),(64 1373.0405),(65 1364.5669),(66 1356.0006),(67 1356.8481),(68 1350.6749),(69 1346.9746),(70 1350.863),(71 1344.579),(72 1362.5833),(73 1350.5781),(74 1350.7496),(75 1372.5536),(76 1361.1227),(77 1384.8112),(78 1377.6971),(79 1367.0419),
(1 927.6417),(2 988.3207),(3 1044.8258),(4 1075.4191),(5 1126.0842),(6 1148.0663),(7 1184.9106),(8 1240.9285),(9 1302.9843),(10 1324.9707),(11 1382.8087),(12 1406.2015),(13 1428.9336),(14 1453.7858),(15 1454.1345),(16 1483.644),(17 1485.0356),(18 1480.9635),(19 1484.91),(20 1458.9568),(21 1451.749),(22 1447.5573),(23 1408.8832),(24 1421.7668),(25 1399.1661),(26 1398.8964),(27 1394.3899),(28 1391.9407),(29 1374.5581),(30 1367.7705),(31 1367.501),(32 1370.6056),(33 1372.0363),(34 1375.1233),(35 1385.4601),(36 1372.6503),(37 1384.1981),(38 1394.2285),(39 1377.8411),(40 1404.7921),(41 1425.2101),(42 1413.7838),(43 1421.79),(44 1411.9387),(45 1418.5354),(46 1422.7166),(47 1423.709),(48 1428.4498),(49 1439.5322),(50 1437.3519),(51 1445.2354),(52 1458.9957),(53 1473.522),(54 1479.2252),(55 1495.0492),(56 1481.5532),(57 1481.8229),(58 1459.7241),(59 1454.0566),(60 1444.1526),(61 1427.6461),(62 1405.7925),(63 1387.0576),(64 1388.2803),(65 1356.1418),(66 1344.6635),(67 1375.0352),(68 1363.9945),(69 1354.583),(70 1364.2184),(71 1360.2115),(72 1356.478),(73 1379.7809),(74 1370.143),(75 1391.5808),(76 1391.6294),(77 1398.6193),(78 1410.5486),(79 1428.7428),
(1 904.5255),(2 982.36163),(3 1026.7537),(4 1060.3475),(5 1121.6051),(6 1144.1204),(7 1175.1013),(8 1227.2026),(9 1287.1461),(10 1305.2335),(11 1352.4943),(12 1385.5592),(13 1413.7151),(14 1439.1492),(15 1447.5614),(16 1470.3645),(17 1479.1311),(18 1467.4667),(19 1465.5759),(20 1452.7373),(21 1444.5521),(22 1417.6044),(23 1408.1544),(24 1408.7279),(25 1378.6575),(26 1373.4866),(27 1366.2937),(28 1369.9171),(29 1357.8486),(30 1335.3711),(31 1336.1577),(32 1335.5039),(33 1315.7515),(34 1324.6367),(35 1329.0912),(36 1334.2692),(37 1330.4131),(38 1349.7593),(39 1343.8674),(40 1358.7998),(41 1372.5553),(42 1376.4686),(43 1387.7882),(44 1384.8391),(45 1404.1448),(46 1417.0353),(47 1409.8983),(48 1399.8107),(49 1428.7007),(50 1423.9773),(51 1445.8187),(52 1439.9685),(53 1452.5958),(54 1476.7754),(55 1461.5485),(56 1448.5941),(57 1447.9706),(58 1442.4868),(59 1430.5465),(60 1412.0604),(61 1404.6953),(62 1377.791),(63 1372.1752),(64 1378.712),(65 1342.2549),(66 1339.4236),(67 1351.8197),(68 1346.3862),(69 1340.4309),(70 1343.3588),(71 1350.9458),(72 1332.2537),(73 1364.2584),(74 1358.694),(75 1368.7753),(76 1368.3817),(77 1378.313),(78 1385.9932),(79 1408.5448),
(1 887.98645),(2 956.06915),(3 1003.86176),(4 1029.3177),(5 1090.4673),(6 1121.8483),(7 1148.6882),(8 1198.9172),(9 1266.2789),(10 1278.2817),(11 1328.9508),(12 1344.2753),(13 1387.5548),(14 1403.541),(15 1431.6603),(16 1430.647),(17 1448.8555),(18 1426.7192),(19 1427.938),(20 1431.1488),(21 1432.9086),(22 1408.9956),(23 1391.3132),(24 1377.6993),(25 1364.2195),(26 1360.9608),(27 1381.1453),(28 1347.5396),(29 1347.9009),(30 1333.8677),(31 1328.2256),(32 1343.3494),(33 1328.502),(34 1346.4506),(35 1346.0564),(36 1347.0713),(37 1359.0261),(38 1359.8184),(39 1358.5146),(40 1363.3662),(41 1371.7391),(42 1382.3344),(43 1384.1056),(44 1391.226),(45 1394.4557),(46 1407.7703),(47 1420.5343),(48 1424.9027),(49 1446.7524),(50 1436.5795),(51 1460.9253),(52 1450.5851),(53 1450.9093),(54 1468.0791),(55 1476.1987),(56 1456.8767),(57 1455.644),(58 1465.8701),(59 1445.271),(60 1420.8544),(61 1417.0878),(62 1384.1709),(63 1359.8188),(64 1354.2848),(65 1328.2643),(66 1322.2867),(67 1325.0507),(68 1312.4131),(69 1324.5433),(70 1318.2139),(71 1331.183),(72 1324.1093),(73 1354.4634),(74 1339.9166),(75 1346.2593),(76 1363.3956),(77 1358.1428),(78 1370.2128),(79 1382.9825),
(1 893.29974),(2 955.2434),(3 988.0274),(4 1033.5146),(5 1087.1321),(6 1104.5675),(7 1145.0743),(8 1201.7816),(9 1252.6537),(10 1279.6644),(11 1326.8655),(12 1353.5778),(13 1394.7612),(14 1401.478),(15 1429.83),(16 1430.0404),(17 1451.5149),(18 1444.272),(19 1430.4221),(20 1410.2795),(21 1426.2493),(22 1402.387),(23 1378.0887),(24 1352.2981),(25 1347.3488),(26 1347.618),(27 1346.3016),(28 1330.6526),(29 1316.0609),(30 1321.9943),(31 1303.2285),(32 1322.6953),(33 1293.1904),(34 1311.1614),(35 1307.7504),(36 1316.978),(37 1309.8035),(38 1330.3495),(39 1333.6012),(40 1348.1561),(41 1361.5111),(42 1371.1495),(43 1374.698),(44 1375.4863),(45 1366.2484),(46 1379.8198),(47 1380.7529),(48 1379.3087),(49 1410.4341),(50 1405.223),(51 1412.74),(52 1434.0809),(53 1429.4054),(54 1441.5924),(55 1453.6292),(56 1443.5258),(57 1431.3915),(58 1438.354),(59 1430.8939),(60 1407.1947),(61 1394.1809),(62 1373.2007),(63 1344.0438),(64 1340.0817),(65 1320.4565),(66 1308.7667),(67 1310.9401),(68 1314.659),(69 1315.0792),(70 1296.1543),(71 1303.8887),(72 1306.3374),(73 1316.6522),(74 1319.5299),(75 1331.1089),(76 1335.5344),(77 1350.6396),(78 1338.7391),(79 1353.0756),
(1 852.1712),(2 928.9219),(3 967.4751),(4 1000.6339),(5 1052.1921),(6 1093.3462),(7 1119.9983),(8 1164.4111),(9 1215.1901),(10 1244.2556),(11 1305.5721),(12 1313.5625),(13 1359.1223),(14 1373.1245),(15 1395.3198),(16 1391.3843),(17 1414.3081),(18 1408.947),(19 1401.4204),(20 1386.208),(21 1377.4089),(22 1365.3242),(23 1327.6133),(24 1334.5653),(25 1324.5583),(26 1310.2317),(27 1306.1104),(28 1298.7583),(29 1298.4474),(30 1282.0397),(31 1286.2515),(32 1294.469),(33 1268.7458),(34 1284.741),(35 1280.0745),(36 1275.8749),(37 1289.3055),(38 1289.6956),(39 1303.7485),(40 1315.8022),(41 1322.2516),(42 1312.8962),(43 1340.6097),(44 1327.2496),(45 1340.5518),(46 1347.0193),(47 1347.8795),(48 1369.7458),(49 1362.5876),(50 1374.707),(51 1398.1936),(52 1389.16),(53 1392.9015),(54 1410.1921),(55 1412.6317),(56 1393.0061),(57 1380.2601),(58 1379.2792),(59 1381.1937),(60 1354.5518),(61 1333.8212),(62 1315.9822),(63 1298.7664),(64 1283.0726),(65 1296.3837),(66 1285.3721),(67 1285.6289),(68 1281.368),(69 1275.2272),(70 1273.9368),(71 1266.5299),(72 1273.6031),(73 1270.299),(74 1283.0212),(75 1287.2198),(76 1297.7836),(77 1321.4254),(78 1313.093),(79 1320.7064),
(1 852.8539),(2 920.48254),(3 969.005),(4 1000.60034),(5 1042.9075),(6 1089.6293),(7 1096.7354),(8 1159.4817),(9 1213.5376),(10 1233.9166),(11 1267.5289),(12 1283.2003),(13 1310.3438),(14 1331.0801),(15 1358.7549),(16 1348.8711),(17 1386.2537),(18 1357.8368),(19 1354.043),(20 1320.6647),(21 1312.994),(22 1307.7378),(23 1291.1588),(24 1290.0728),(25 1280.9968),(26 1276.8052),(27 1257.8226),(28 1248.5199),(29 1253.0806),(30 1257.8182),(31 1241.6879),(32 1247.8243),(33 1233.9344),(34 1237.0845),(35 1239.3533),(36 1237.0078),(37 1239.3297),(38 1250.5607),(39 1267.3386),(40 1280.1112),(41 1300.1156),(42 1287.0854),(43 1296.7457),(44 1293.2334),(45 1304.8231),(46 1313.1864),(47 1305.2941),(48 1315.0183),(49 1323.4679),(50 1328.8412),(51 1350.9873),(52 1329.4149),(53 1328.5044),(54 1361.0867),(55 1355.2424),(56 1358.5884),(57 1349.916),(58 1357.3397),(59 1356.171),(60 1338.5873),(61 1325.7771),(62 1313.1902),(63 1294.0953),(64 1279.3414),(65 1288.9838),(66 1290.1316),(67 1281.386),(68 1287.4746),(69 1284.0308),(70 1290.4929),(71 1289.4996),(72 1273.2227),(73 1282.7365),(74 1272.9117),(75 1273.8591),(76 1281.4073),(77 1300.3921),(78 1290.256),(79 1301.6396),
(1 843.3142),(2 927.49945),(3 963.5162),(4 980.43726),(5 1039.8226),(6 1094.3427),(7 1109.4515),(8 1155.0585),(9 1208.3893),(10 1230.461),(11 1279.9521),(12 1305.0642),(13 1318.6505),(14 1340.6302),(15 1387.8252),(16 1381.9191),(17 1393.3798),(18 1371.7717),(19 1369.3468),(20 1342.9321),(21 1346.2119),(22 1325.1097),(23 1296.4121),(24 1304.5449),(25 1285.8265),(26 1270.8198),(27 1261.3899),(28 1257.3108),(29 1265.5933),(30 1260.1443),(31 1245.7762),(32 1264.2356),(33 1258.4032),(34 1266.4683),(35 1259.4487),(36 1261.6792),(37 1265.8127),(38 1285.2351),(39 1301.8081),(40 1304.4723),(41 1307.3975),(42 1327.7611),(43 1326.5387),(44 1326.848),(45 1331.9927),(46 1338.211),(47 1351.2228),(48 1355.7795),(49 1354.761),(50 1355.2638),(51 1376.3932),(52 1373.6123),(53 1377.4888),(54 1400.0251),(55 1406.7618),(56 1390.9042),(57 1383.1288),(58 1384.7175),(59 1378.702),(60 1378.1311),(61 1362.2998),(62 1339.6443),(63 1324.9113),(64 1306.6008),(65 1305.5303),(66 1290.1854),(67 1283.6348),(68 1278.5132),(69 1260.6206),(70 1264.9354),(71 1244.358),(72 1253.2969),(73 1260.8134),(74 1261.5162),(75 1256.1715),(76 1266.8354),(77 1287.8716),(78 1282.4432),(79 1291.9998),
(1 821.65906),(2 905.8671),(3 943.47003),(4 970.0241),(5 1021.43304),(6 1061.0442),(7 1088.2145),(8 1120.7119),(9 1170.2355),(10 1199.6267),(11 1220.1344),(12 1250.6382),(13 1267.5713),(14 1282.354),(15 1317.784),(16 1319.4742),(17 1329.0178),(18 1316.798),(19 1322.473),(20 1308.5536),(21 1293.8285),(22 1284.7305),(23 1264.1885),(24 1252.3279),(25 1240.0588),(26 1234.1407),(27 1234.5161),(28 1251.369),(29 1232.49),(30 1234.5524),(31 1225.6777),(32 1211.8615),(33 1237.0994),(34 1223.417),(35 1243.0665),(36 1230.4554),(37 1246.3873),(38 1259.1118),(39 1276.5037),(40 1270.079),(41 1283.4023),(42 1291.7253),(43 1314.1006),(44 1303.9246),(45 1306.275),(46 1317.3063),(47 1322.2633),(48 1327.3652),(49 1329.4746),(50 1328.1981),(51 1360.6825),(52 1348.3474),(53 1340.2483),(54 1354.8053),(55 1367.6321),(56 1351.711),(57 1350.1919),(58 1341.5911),(59 1328.5643),(60 1321.8162),(61 1320.2119),(62 1295.7986),(63 1297.3123),(64 1281.915),(65 1271.8553),(66 1257.6451),(67 1257.9991),(68 1259.0424),(69 1255.6992),(70 1256.1471),(71 1259.4204),(72 1260.8684),(73 1275.0377),(74 1269.3318),(75 1273.6091),(76 1269.6046),(77 1280.6508),(78 1261.9138),(79 1266.9258),
(1 823.8145),(2 904.9524),(3 936.9485),(4 960.8535),(5 1008.33075),(6 1049.3875),(7 1071.8025),(8 1107.6661),(9 1149.2684),(10 1187.2941),(11 1218.712),(12 1241.5886),(13 1274.8291),(14 1293.941),(15 1310.8364),(16 1311.2046),(17 1316.7255),(18 1304.1011),(19 1285.6838),(20 1269.1476),(21 1272.2422),(22 1260.1404),(23 1252.9932),(24 1226.0978),(25 1205.6268),(26 1204.3838),(27 1188.0227),(28 1213.0795),(29 1181.9297),(30 1181.819),(31 1193.2815),(32 1181.3984),(33 1200.3055),(34 1193.5494),(35 1207.7145),(36 1222.9316),(37 1218.525),(38 1232.2065),(39 1246.0706),(40 1236.533),(41 1257.3679),(42 1261.8448),(43 1276.9459),(44 1271.2639),(45 1272.2803),(46 1283.4299),(47 1301.5073),(48 1302.646),(49 1297.3986),(50 1299.0881),(51 1315.7312),(52 1318.2363),(53 1330.2335),(54 1337.9047),(55 1336.9487),(56 1335.2253),(57 1350.0854),(58 1332.6047),(59 1321.3424),(60 1324.1055),(61 1313.0735),(62 1292.6631),(63 1299.3969),(64 1279.9248),(65 1279.5065),(66 1259.4073),(67 1270.1426),(68 1252.1403),(69 1242.4362),(70 1238.0188),(71 1237.7473),(72 1238.0997),(73 1238.9941),(74 1241.9033),(75 1248.6069),(76 1252.658),(77 1264.2853),(78 1240.3859),(79 1242.2285),
