1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 125462.445),(2 321048.4),(3 578234.5),(4 792892.06),(5 972583.75),(6 1075489.5),(7 1129777.9),(8 1184534.9),(9 1244091.4),(10 1318152.5),(11 1401288.1),(12 1578033),(13 1795823.4),(14 1993231.6),(15 2224850.8),(16 2394041.3),(17 2481464),(18 2544651.8),(19 2542898.3),(20 2529923.5),(21 2609949),(22 2757215.3),(23 2940562.8),(24 3165610.3),(25 3367151.8),(26 3474293.3),(27 3328171.8),(28 3268541.3),(29 3193056.8),(30 3117259.3),(31 3068676),(32 3130629),(33 3255203.8),(34 3544880.8),(35 3694840),(36 3754534),(37 3710283.8),(38 3565009.8),(39 3368935.3),(40 3152915.3),(41 2954947.8),(42 2870225),(43 2830822.3),(44 2807473.3),(45 2845730.3),(46 2837194),(47 2840235.3),(48 2854041.8),(49 2865780.8),(50 2872362.3),(51 2905374),(52 2936568.8),(53 2964906.3),(54 2993417.8),(55 3002146.3),(56 3037523.8),(57 3069757),(58 3043038.3),(59 3055297.3),(60 3105234.8),(61 3150295.3),(62 3183334),(63 3236827),(64 3336143.3),(65 3444642),(66 3523611),(67 3581698.8),(68 3704045.8),(69 3799491),(70 3810265),(71 3727769.3),(72 3694290.3),(73 3633607.3),(74 3625989.3),(75 3625089.3),(76 3616254.8),(77 3562490),(78 3502652.3),(79 3471499.8),
(1 5274.7617),(2 8748.371),(3 11560.793),(4 13452.736),(5 14733.955),(6 15549.662),(7 16143.909),(8 16430.865),(9 16723.313),(10 16925.664),(11 17196.713),(12 17615.326),(13 18010.074),(14 18380.793),(15 18523.477),(16 18821.729),(17 18955.92),(18 18951.967),(19 18813.328),(20 18671.258),(21 18493.791),(22 18636.943),(23 18725.686),(24 18733.648),(25 18840.332),(26 18895.424),(27 18885.086),(28 19143.213),(29 19259.885),(30 19445.219),(31 19396.336),(32 19354.742),(33 19105.479),(34 18998.33),(35 19193.615),(36 19407.193),(37 19495.22),(38 19551.69),(39 19625.12),(40 19629.459),(41 19485.318),(42 19524.193),(43 19532.877),(44 19712.53),(45 19786.1),(46 19866.94),(47 19928.06),(48 19940.05),(49 19883.164),(50 19841.432),(51 20064.31),(52 20042.807),(53 20242.563),(54 20247.473),(55 20153.037),(56 20053.164),(57 19990.494),(58 19900.959),(59 19877.797),(60 19890.855),(61 20102.63),(62 20026.232),(63 20256.547),(64 20332.34),(65 20509.895),(66 20595.887),(67 20638.39),(68 20906.596),(69 21025.596),(70 20983.184),(71 21079.44),(72 20760.855),(73 20687.33),(74 20622.06),(75 20346.777),(76 20137.717),(77 19875.488),(78 20250.205),(79 20272.865),
(1 5066.6104),(2 8403.496),(3 11051.343),(4 12768.484),(5 13968.872),(6 14984.69),(7 15691.303),(8 16046.206),(9 16454.164),(10 16598.47),(11 16910.746),(12 17077.213),(13 17433.184),(14 17626.006),(15 17830.71),(16 18053.502),(17 18057.002),(18 18136.484),(19 18058.6),(20 18066.75),(21 17983.547),(22 18158.756),(23 18507.26),(24 18507.88),(25 18540.912),(26 18672.244),(27 18920.746),(28 18962.066),(29 18904.994),(30 19058.37),(31 19094.98),(32 18962.156),(33 19010.871),(34 19155.512),(35 19517.145),(36 19707.035),(37 19723.043),(38 19847.322),(39 19770.04),(40 19815.064),(41 19822.975),(42 19942.588),(43 19992.125),(44 20013.805),(45 20050.016),(46 20091.744),(47 19723.547),(48 19718.287),(49 19504.842),(50 19338.568),(51 19443.201),(52 19226.04),(53 19281.523),(54 19210.729),(55 19066.49),(56 19141.117),(57 19211.46),(58 19302.625),(59 19181.182),(60 19061.064),(61 19175.031),(62 19386.701),(63 19440.592),(64 19476.37),(65 19568.066),(66 19894.014),(67 20112.756),(68 20173.434),(69 20407.047),(70 20360.867),(71 20440.436),(72 20241.457),(73 20121.482),(74 20036.936),(75 19850.986),(76 19761.477),(77 19681.135),(78 19774.143),(79 19789.945),
(1 4961.1367),(2 8236.531),(3 10822.463),(4 12407.222),(5 13379.862),(6 14178.391),(7 14764.668),(8 15098.407),(9 15366.428),(10 15630.068),(11 16029.9795),(12 16082.523),(13 16576.281),(14 16809.574),(15 17304.916),(16 17411.844),(17 17493.494),(18 17446.33),(19 17441.586),(20 17347.703),(21 17381.58),(22 17562.125),(23 17957.066),(24 18157.553),(25 18359.662),(26 18395.002),(27 18472.271),(28 18619.287),(29 18750.111),(30 18652.28),(31 18581.771),(32 18606.18),(33 18480.572),(34 18611.512),(35 18738.629),(36 18769.076),(37 18827.426),(38 18871.87),(39 18699.998),(40 18675.664),(41 18714.088),(42 19136.287),(43 19213.709),(44 19332.014),(45 19041.744),(46 19072.615),(47 18910.67),(48 19135.2),(49 19311.195),(50 19343.443),(51 19483.406),(52 19374.97),(53 19335.412),(54 19482.889),(55 19374.953),(56 19243.17),(57 19246.838),(58 19072.883),(59 18965.426),(60 18992.592),(61 19132.717),(62 19151.844),(63 19391.234),(64 19264.043),(65 19232.531),(66 19147.654),(67 19231.79),(68 19102.297),(69 19147.584),(70 19082.938),(71 19164.629),(72 19237.305),(73 19365.123),(74 19364.74),(75 19214.46),(76 19279.76),(77 19298.033),(78 19570.166),(79 19492.615),
(1 4869.659),(2 7875.6396),(3 10106.283),(4 11621.929),(5 12758.457),(6 13559.899),(7 14023.325),(8 14222.871),(9 14575.756),(10 14870.648),(11 15331.316),(12 15577.182),(13 15868.482),(14 16060.301),(15 16267.045),(16 16216.841),(17 16269.132),(18 16308.676),(19 16449.174),(20 16477.209),(21 16555.602),(22 16468.13),(23 16581.514),(24 16743.576),(25 17227.248),(26 17544.459),(27 17653.822),(28 17724.482),(29 17787.865),(30 17876.557),(31 17686.549),(32 17524.77),(33 17604.908),(34 17739.85),(35 17766.72),(36 18102.303),(37 18369.854),(38 18568.133),(39 18942.16),(40 18928.42),(41 18941.254),(42 19136.502),(43 19048.441),(44 18978.271),(45 18768.326),(46 18844.324),(47 18517.432),(48 18361.316),(49 18441.938),(50 18538.66),(51 18739.1),(52 18627.559),(53 18717.947),(54 18696.38),(55 18651.838),(56 18588.492),(57 18524.754),(58 18431.28),(59 18409.494),(60 18249.53),(61 18362.697),(62 18305.754),(63 18423.736),(64 18612.982),(65 18717.488),(66 18924.8),(67 19138.904),(68 19274.36),(69 19342.904),(70 19325.49),(71 19528.06),(72 19594.676),(73 19655.418),(74 19523.9),(75 19402.291),(76 19534.332),(77 19495.924),(78 19506.09),(79 19370.063),
(1 4641.926),(2 7646.619),(3 10107.928),(4 11528.123),(5 12621.296),(6 13366.7295),(7 13781.494),(8 13923.426),(9 14134.147),(10 14239.68),(11 14701.362),(12 15134.408),(13 15489.525),(14 15828.866),(15 15993.045),(16 16078.926),(17 16421.818),(18 16234.231),(19 16170.934),(20 16009.37),(21 15831.163),(22 15920.825),(23 16181.792),(24 16347.633),(25 16696.73),(26 16849.678),(27 16839.066),(28 16709.041),(29 16777.703),(30 17208.66),(31 17271.568),(32 17444.79),(33 17368.297),(34 17431.29),(35 17524.502),(36 17660.111),(37 17941.87),(38 18125.533),(39 18151.512),(40 18219.555),(41 18156.35),(42 18291.076),(43 18243.674),(44 18236.084),(45 18229.861),(46 18396.92),(47 18142.316),(48 18046.525),(49 17957.945),(50 18099.896),(51 18096.094),(52 17945.178),(53 18033.193),(54 18015.705),(55 17797.871),(56 17853.871),(57 17847.102),(58 17884.281),(59 18081.54),(60 17976.188),(61 18016.854),(62 17852.44),(63 17842.445),(64 17718.414),(65 17737.559),(66 18081.484),(67 18153.385),(68 18218.867),(69 18393.725),(70 18413.219),(71 18440.834),(72 18449.041),(73 18395.281),(74 18409.95),(75 18246.623),(76 18371.217),(77 18267.16),(78 18351.285),(79 18227.125),
(1 4522.2085),(2 7409.2813),(3 9755.745),(4 11156.403),(5 11898.501),(6 12509.574),(7 12965.277),(8 13309.847),(9 13551.513),(10 13707.735),(11 14161.519),(12 14504.085),(13 14745.772),(14 14809.011),(15 14906.188),(16 15002.114),(17 15216.639),(18 15275.343),(19 15363.723),(20 15256.7705),(21 15126.916),(22 15205.022),(23 15430.649),(24 15587.686),(25 15837.284),(26 15999.059),(27 16151.013),(28 16007.1455),(29 15852.996),(30 15976.272),(31 15924.84),(32 15920.818),(33 16002.353),(34 16242.381),(35 16225.1875),(36 16315.474),(37 16543.771),(38 16693.764),(39 16719.879),(40 16679.293),(41 16549.977),(42 16669.168),(43 16741.736),(44 17162.926),(45 17027.186),(46 16983.98),(47 16968.953),(48 16822.998),(49 16716.447),(50 16760.387),(51 16967.049),(52 16938.463),(53 17172.148),(54 17252.666),(55 17159.734),(56 16972.904),(57 16924.816),(58 16846.303),(59 16949.977),(60 16880.656),(61 16883.635),(62 16852.775),(63 16910.607),(64 16904.32),(65 16946.002),(66 16988.08),(67 17088.752),(68 17265.82),(69 17593.746),(70 17601.508),(71 17685.154),(72 17554.344),(73 17636.018),(74 17751.941),(75 17858.514),(76 18006.803),(77 17825.598),(78 18072.236),(79 18036.1),
(1 4310.428),(2 6999.7886),(3 9224.539),(4 10548.491),(5 11610.366),(6 12231.574),(7 12650.411),(8 13165.491),(9 13508.078),(10 13493.086),(11 13702.12),(12 13759.1455),(13 13971.456),(14 14065.608),(15 14137.356),(16 14093.519),(17 14274.257),(18 14334.57),(19 14387.418),(20 14121.007),(21 14323.511),(22 14413.035),(23 14522.694),(24 14652.167),(25 14887.192),(26 15000.745),(27 15171.847),(28 15111.074),(29 15132.683),(30 15291.415),(31 15301.586),(32 15355.719),(33 15374.739),(34 15489.992),(35 15533.258),(36 15756.47),(37 15941.3),(38 15873.337),(39 15797.019),(40 15679.661),(41 15709.867),(42 15817.058),(43 15834.769),(44 15995.749),(45 15967.312),(46 16100.511),(47 16098.277),(48 16092.059),(49 15952.46),(50 15979.988),(51 16035.613),(52 15850.079),(53 15857.008),(54 15761.48),(55 15664.651),(56 15712.989),(57 15767.8125),(58 15648.618),(59 15524.497),(60 15381.142),(61 15261.902),(62 15342.3955),(63 15481.555),(64 15523.683),(65 15738.816),(66 15894.058),(67 15977.136),(68 15863.177),(69 15963.531),(70 16040.219),(71 16063.1875),(72 16218.995),(73 16299.483),(74 16231.253),(75 16165.352),(76 16203.698),(77 16203.704),(78 16418.072),(79 16374.544),
(1 4425.0337),(2 7184.8545),(3 9317.952),(4 10710.348),(5 11696.241),(6 12450.936),(7 12785.538),(8 12883.27),(9 13045.458),(10 13191.161),(11 13408.149),(12 13486.743),(13 13578.344),(14 13583.255),(15 13744.878),(16 13783.622),(17 14089.279),(18 14242.783),(19 14306.811),(20 14008.537),(21 14080.113),(22 14219.868),(23 14420.5625),(24 14588.003),(25 14857.29),(26 15079.085),(27 15231.296),(28 15164.989),(29 15206.971),(30 15152.447),(31 15075.231),(32 15057.501),(33 14887.926),(34 14974.607),(35 14886.393),(36 15051.407),(37 15089.806),(38 15164.126),(39 15282.771),(40 15139.456),(41 15033.62),(42 15279.079),(43 15164.019),(44 15298.929),(45 15287.552),(46 15465.458),(47 15405.186),(48 15567.257),(49 15544.904),(50 15566.46),(51 15619.495),(52 15576.706),(53 15789.094),(54 15721.525),(55 15520.286),(56 15563.966),(57 15737.706),(58 15658.1455),(59 15561.836),(60 15411.116),(61 15438.138),(62 15571.484),(63 15852.434),(64 16028.425),(65 16303.751),(66 16354.574),(67 16423.564),(68 16327.333),(69 16482.855),(70 16489.936),(71 16437.125),(72 16437.748),(73 16452.92),(74 16350.105),(75 16221.572),(76 16126.21),(77 15913.97),(78 16091.25),(79 16125.65),
(1 4110.9834),(2 6599.036),(3 8463.781),(4 9589.888),(5 10396.551),(6 10923.26),(7 11306.928),(8 11465.849),(9 11647.525),(10 11808.444),(11 12021.465),(12 12062.056),(13 12266.393),(14 12415.769),(15 12512.33),(16 12617.605),(17 12839.1045),(18 12956.4795),(19 12990.706),(20 12978.867),(21 13029.745),(22 13143.28),(23 13596.857),(24 13770.746),(25 13955.652),(26 13952.362),(27 14007.866),(28 14027.341),(29 14044.677),(30 14166.278),(31 14164.423),(32 14293.476),(33 14271.924),(34 14360.852),(35 14334.495),(36 14428.421),(37 14468.561),(38 14596.224),(39 14562.449),(40 14501.728),(41 14329.206),(42 14486.374),(43 14534.874),(44 14679.594),(45 14596.044),(46 14637.942),(47 14543.449),(48 14524.159),(49 14414.588),(50 14378.818),(51 14441.996),(52 14452.631),(53 14451.51),(54 14416.047),(55 14280.061),(56 14381.877),(57 14353.087),(58 14270.834),(59 14158.607),(60 14177.246),(61 14246.731),(62 14108.709),(63 14275.162),(64 14262.115),(65 14422.628),(66 14473.166),(67 14588.28),(68 14592.929),(69 14801.677),(70 14921.822),(71 15121.022),(72 15023.501),(73 15016.304),(74 15067.706),(75 15083.516),(76 15066.682),(77 15039.746),(78 15046.857),(79 15011.111),
(1 3992.265),(2 6444.2373),(3 8196.387),(4 9362.274),(5 10237.278),(6 10757.488),(7 11111.051),(8 11385.846),(9 11720.85),(10 11883.684),(11 12111.35),(12 12263.884),(13 12564.977),(14 12670.313),(15 12820.78),(16 12841.55),(17 12935.504),(18 12937.986),(19 12964.359),(20 12988.588),(21 13019.454),(22 13030.407),(23 13227.391),(24 13438.526),(25 13700.49),(26 13768.876),(27 14070.707),(28 13993.483),(29 13958.58),(30 14120.166),(31 14121.12),(32 14061.214),(33 14051.558),(34 14247.279),(35 14233.576),(36 14517.313),(37 14378.3),(38 14396.714),(39 14377.166),(40 14395.683),(41 14401.486),(42 14591.81),(43 14468.716),(44 14339.624),(45 14195.717),(46 14266.512),(47 14081.787),(48 14038.584),(49 14021.424),(50 14097.804),(51 14325.87),(52 14403.3),(53 14517.062),(54 14628.72),(55 14618.1875),(56 14589.142),(57 14514.468),(58 14457.334),(59 14388.904),(60 14257.949),(61 14312.021),(62 14185.645),(63 14168.538),(64 14276.967),(65 14388.953),(66 14259.005),(67 14383.951),(68 14334.563),(69 14428.949),(70 14568.315),(71 14596.685),(72 14557.205),(73 14609.595),(74 14500.101),(75 14463.149),(76 14635.681),(77 14508.17),(78 14629.079),(79 14563.882),
(1 3880.2454),(2 6224.028),(3 7906.049),(4 9023.785),(5 9688.777),(6 10287.833),(7 10681.695),(8 10878.769),(9 11134.961),(10 11332.515),(11 11594.275),(12 11645.816),(13 11908.305),(14 12001.642),(15 12139.878),(16 12155.76),(17 12281.113),(18 12325.351),(19 12410.537),(20 12355.041),(21 12293.099),(22 12339.81),(23 12514.675),(24 12630.224),(25 12794.198),(26 12906.445),(27 12960.698),(28 12804.478),(29 12891.769),(30 13179.879),(31 13208.096),(32 13239.346),(33 13371.836),(34 13478.189),(35 13677.068),(36 13825.643),(37 13885.981),(38 13913.623),(39 13902.806),(40 13841.92),(41 13745.387),(42 13955.7295),(43 13744.235),(44 13768.062),(45 13789.517),(46 13786.909),(47 13703.139),(48 13570.877),(49 13664.374),(50 13687.808),(51 13718.225),(52 13429.86),(53 13499.854),(54 13706.7705),(55 13489.767),(56 13381.289),(57 13420.42),(58 13371.044),(59 13291.435),(60 13243.473),(61 13291.178),(62 13130.442),(63 13115.216),(64 13125.452),(65 13136.061),(66 13093.651),(67 13250.469),(68 13346.607),(69 13357.25),(70 13365.571),(71 13387.801),(72 13400.772),(73 13456.341),(74 13618.473),(75 13626.367),(76 13595.178),(77 13505.61),(78 13666.505),(79 13709),
(1 3806.831),(2 6114.533),(3 7884.379),(4 8945.786),(5 9657.697),(6 10138.883),(7 10393.243),(8 10526.682),(9 10715.177),(10 10892.759),(11 11267.987),(12 11458.853),(13 11586.296),(14 11779.209),(15 11967.719),(16 11970.722),(17 12005.886),(18 11860.945),(19 11887.283),(20 11972.4),(21 11935.105),(22 12014.369),(23 12022.454),(24 12231.554),(25 12499.374),(26 12567.941),(27 12888.689),(28 12984.16),(29 12939.604),(30 13164.881),(31 13177.507),(32 13270.254),(33 13285.607),(34 13259.4795),(35 13300.568),(36 13354.386),(37 13331.178),(38 13418.111),(39 13310.402),(40 13428.025),(41 13358.177),(42 13519.221),(43 13367.411),(44 13434.177),(45 13420.364),(46 13384.951),(47 13367.246),(48 13453.603),(49 13381.766),(50 13390.128),(51 13588.849),(52 13662.182),(53 13572.417),(54 13622.905),(55 13504.007),(56 13422.426),(57 13430.559),(58 13429.837),(59 13466.64),(60 13384.382),(61 13394.143),(62 13310.037),(63 13332.89),(64 13298.738),(65 13353.541),(66 13478.309),(67 13494.105),(68 13421.622),(69 13456.669),(70 13536.208),(71 13642.205),(72 13424.349),(73 13355.849),(74 13479.622),(75 13528.068),(76 13611.896),(77 13573.173),(78 13759.572),(79 13810.208),
(1 3693.8076),(2 5894.358),(3 7507.753),(4 8522.643),(5 9373.374),(6 9966.728),(7 10393.769),(8 10516.023),(9 10643.189),(10 10879.274),(11 11128.64),(12 11265.421),(13 11500.806),(14 11592.096),(15 11721.069),(16 11689.164),(17 11810.335),(18 11725.928),(19 11610.425),(20 11626.711),(21 11627.558),(22 11632.721),(23 11674.219),(24 11709.967),(25 11856.234),(26 11987.786),(27 12008.149),(28 11962.802),(29 11996.997),(30 12328.544),(31 12290.072),(32 12323.923),(33 12246.312),(34 12384.888),(35 12508.157),(36 12587.482),(37 12565.324),(38 12612.921),(39 12605.098),(40 12667.594),(41 12681.892),(42 12798.226),(43 12716.189),(44 12638.152),(45 12663.9),(46 12782.4375),(47 12776.247),(48 12845.481),(49 12889.179),(50 12957.81),(51 13061.766),(52 12944.261),(53 12851.258),(54 12868.303),(55 12729.713),(56 12714.42),(57 12641.589),(58 12672.984),(59 12656.004),(60 12673.302),(61 12680.69),(62 12681.405),(63 12764.802),(64 12808.473),(65 12958.66),(66 12989.396),(67 12902.962),(68 12841.803),(69 12805.303),(70 12837.617),(71 12892.531),(72 12760.816),(73 12734.093),(74 12802.178),(75 12804.703),(76 12764.067),(77 12777.547),(78 12927.188),(79 12875.924),
(1 3562.625),(2 5711.9907),(3 7209.2627),(4 8154.6035),(5 8824.862),(6 9270.437),(7 9520.638),(8 9690.277),(9 9999.61),(10 10021.221),(11 10230.878),(12 10206.605),(13 10439.171),(14 10554.824),(15 10768.261),(16 10961.584),(17 11181.225),(18 11364.02),(19 11308.755),(20 11304.819),(21 11361.909),(22 11293.246),(23 11395.664),(24 11431.493),(25 11487.086),(26 11552.664),(27 11573.229),(28 11711.179),(29 11774.424),(30 11752.37),(31 11858.918),(32 11846.314),(33 11840.693),(34 11972.795),(35 11979.991),(36 12054.791),(37 11986.009),(38 12092.33),(39 12087.636),(40 12022.425),(41 12004.452),(42 12183.717),(43 12195.272),(44 12267.993),(45 12312.967),(46 12347.677),(47 12211.479),(48 12170.654),(49 12132.265),(50 12136.688),(51 12179.897),(52 12193.765),(53 12249.663),(54 12286.45),(55 12134.402),(56 12064.89),(57 12099.435),(58 12128.681),(59 12253.883),(60 12360.586),(61 12315.509),(62 12301.255),(63 12336.771),(64 12199.931),(65 12347.711),(66 12292.423),(67 12233.508),(68 12361.58),(69 12438.893),(70 12422.87),(71 12414.465),(72 12506.126),(73 12516.725),(74 12511.013),(75 12445.221),(76 12456.88),(77 12519.473),(78 12633.414),(79 12635.279),
(1 3474.8457),(2 5468.111),(3 6986.797),(4 7880.0244),(5 8552.32),(6 9089.368),(7 9296.953),(8 9323.388),(9 9483.53),(10 9566.687),(11 9833.846),(12 10003.065),(13 10217.035),(14 10297.02),(15 10508.599),(16 10676.315),(17 10719.515),(18 10731.536),(19 10703.01),(20 10659.722),(21 10621.049),(22 10617.852),(23 10701.111),(24 10676.249),(25 10728.187),(26 10801.266),(27 10957.141),(28 11037.765),(29 10982.868),(30 11165.536),(31 11252.983),(32 11392.211),(33 11403.317),(34 11431.328),(35 11285.76),(36 11389.584),(37 11411.69),(38 11469.343),(39 11373.209),(40 11587.019),(41 11659.006),(42 11701.088),(43 11655.749),(44 11711.989),(45 11800.516),(46 11734.462),(47 11745.103),(48 11833.175),(49 11801.024),(50 11869.653),(51 11884.606),(52 11748.546),(53 11697.181),(54 11552.352),(55 11533.455),(56 11531.699),(57 11504.191),(58 11359.356),(59 11292.467),(60 11331.789),(61 11296.072),(62 11366.288),(63 11439.593),(64 11414.573),(65 11680.155),(66 11688.8),(67 11736.235),(68 11807.29),(69 11959.804),(70 11909.421),(71 11894.002),(72 11811.896),(73 11807.539),(74 11816.421),(75 11689.364),(76 11708.976),(77 11747.791),(78 11867.283),(79 11947.8),
(1 3269.0315),(2 5208.5557),(3 6667.8364),(4 7587.2705),(5 8219.613),(6 8774.379),(7 9181.223),(8 9298.763),(9 9467.98),(10 9632.374),(11 9772.747),(12 9948.853),(13 10074.899),(14 10194.71),(15 10414.228),(16 10549.92),(17 10562.386),(18 10480.657),(19 10469.822),(20 10351.246),(21 10343.444),(22 10443.677),(23 10553.164),(24 10553.965),(25 10640.912),(26 10652.277),(27 10632.465),(28 10457.751),(29 10345.052),(30 10495.22),(31 10507.504),(32 10628.968),(33 10739.479),(34 10826.953),(35 10994.731),(36 11239.613),(37 11268.849),(38 11300.44),(39 11362.772),(40 11383.785),(41 11351.399),(42 11434.5625),(43 11288.281),(44 11172.245),(45 10971.627),(46 10902.413),(47 10902.401),(48 11011.22),(49 11052.478),(50 11114.867),(51 11190.39),(52 11136.47),(53 11221.867),(54 11282.485),(55 11170.065),(56 11089.219),(57 11026.567),(58 11043.404),(59 11065.377),(60 11056.064),(61 11095.384),(62 11078.602),(63 11015.749),(64 11028.198),(65 11211.131),(66 11225.536),(67 11137.481),(68 11087.597),(69 11115.214),(70 11171.148),(71 11206.077),(72 11187.587),(73 11157.407),(74 11229.679),(75 11074.134),(76 10990.71),(77 11012.292),(78 11059.963),(79 11173.587),
(1 3326.4973),(2 5236.407),(3 6622.9844),(4 7437.324),(5 8229.295),(6 8764.499),(7 9079.909),(8 9244.061),(9 9320.206),(10 9359.068),(11 9715.569),(12 9938.636),(13 10112.079),(14 10129.762),(15 10199.69),(16 10201.074),(17 10259.716),(18 10259.589),(19 10510.083),(20 10507.191),(21 10514.324),(22 10521.959),(23 10542.711),(24 10554.301),(25 10667.208),(26 10692.575),(27 10686.65),(28 10638.493),(29 10614.639),(30 10816.124),(31 10815.733),(32 10891.602),(33 10969.566),(34 11033.065),(35 11070.58),(36 11156.328),(37 11116.741),(38 11038.312),(39 11066.679),(40 11112.531),(41 11020.93),(42 11148.829),(43 11027.974),(44 10937.03),(45 10916.511),(46 10818.733),(47 10756.352),(48 10718.951),(49 10704.591),(50 10751.658),(51 10838.229),(52 10843.078),(53 10783.898),(54 10834.515),(55 10777.97),(56 10801.011),(57 10667.356),(58 10634.224),(59 10689.204),(60 10682.856),(61 10724.081),(62 10706.824),(63 10858.427),(64 10941.611),(65 11093.052),(66 11149.16),(67 11177.012),(68 11172.25),(69 11209.368),(70 11299.551),(71 11288.69),(72 11111.731),(73 11088.636),(74 11199.629),(75 11243.375),(76 11200.719),(77 11218.427),(78 11316.665),(79 11274.561),
