1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 401.8553),(2 542.08594),(3 625.696),(4 679.8633),(5 702.4987),(6 718.9965),(7 731.854),(8 735.93884),(9 736.5413),(10 742.3016),(11 747.1609),(12 746.3138),(13 747.29114),(14 760.95624),(15 753.6066),(16 766.0529),(17 778.9037),(18 783.63837),(19 794.492),(20 800.662),(21 803.91437),(22 810.02124),(23 822.33575),(24 817.64905),(25 821.4839),(26 840.6866),(27 836.63416),(28 849.507),(29 844.3072),(30 843.7326),(31 847.99664),(32 849.9061),(33 841.10016),(34 856.1563),(35 839.9959),(36 841.4253),(37 850.0494),(38 836.2276),(39 842.61456),(40 851.8863),(41 846.6123),(42 839.93616),(43 847.38684),(44 836.38153),(45 825.9629),(46 829.3524),(47 816.8542),(48 819.9168),(49 827.9646),(50 825.52075),(51 830.05304),(52 847.3057),(53 834.3119),(54 840.5475),(55 844.4436),(56 848.2967),(57 843.11786),(58 853.8358),(59 864.3895),(60 870.7205),(61 879.87756),(62 878.9414),(63 877.4945),(64 881.24133),(65 885.7184),(66 884.65424),(67 883.3157),(68 877.148),(69 870.7407),(70 867.4289),(71 860.5838),(72 855.6416),(73 859.63116),(74 852.11163),(75 850.2248),(76 858.18964),(77 836.023),(78 834.83453),(79 822.75934),
(1 397.7432),(2 527.7565),(3 608.5944),(4 657.864),(5 688.6079),(6 700.7487),(7 716.9147),(8 727.65027),(9 730.82666),(10 735.4567),(11 745.4969),(12 743.94977),(13 749.4733),(14 760.75433),(15 750.36755),(16 753.6204),(17 763.1778),(18 774.7011),(19 776.4519),(20 788.5374),(21 786.2733),(22 794.0313),(23 812.37683),(24 804.0629),(25 809.0544),(26 822.7162),(27 816.8802),(28 826.17914),(29 820.52545),(30 814.5898),(31 818.7928),(32 810.29785),(33 809.4668),(34 817.9558),(35 818.6697),(36 824.18506),(37 824.8449),(38 817.2708),(39 819.0197),(40 826.25037),(41 820.30304),(42 815.1199),(43 815.19415),(44 795.41003),(45 790.254),(46 800.40155),(47 788.0842),(48 788.6546),(49 796.58405),(50 791.98126),(51 802.504),(52 809.0269),(53 803.1634),(54 807.06976),(55 803.4124),(56 810.8433),(57 806.5611),(58 814.99036),(59 812.5856),(60 817.39343),(61 824.28296),(62 825.5381),(63 813.6141),(64 823.7647),(65 819.61975),(66 816.5046),(67 828.6509),(68 823.285),(69 820.31323),(70 825.13727),(71 825.4476),(72 811.83215),(73 817.28296),(74 815.4406),(75 814.5011),(76 826.3279),(77 820.0767),(78 819.7139),(79 809.8744),
(1 396.35056),(2 520.9627),(3 603.01465),(4 651.5168),(5 678.54675),(6 696.4189),(7 710.6727),(8 730.59546),(9 735.43384),(10 737.9696),(11 747.1943),(12 737.6818),(13 750.88165),(14 764.4028),(15 752.9582),(16 753.09985),(17 761.0342),(18 761.4233),(19 773.3007),(20 784.0282),(21 789.91614),(22 801.2427),(23 807.38477),(24 805.8686),(25 805.46655),(26 816.9413),(27 807.5991),(28 816.59186),(29 805.3928),(30 804.7225),(31 812.18335),(32 802.5603),(33 797.3668),(34 796.88257),(35 797.3356),(36 791.6827),(37 790.3619),(38 778.03217),(39 783.44104),(40 787.60986),(41 782.99115),(42 781.04083),(43 788.0769),(44 773.8543),(45 771.76117),(46 778.5849),(47 765.67993),(48 768.38947),(49 777.32635),(50 771.83234),(51 778.71063),(52 790.1388),(53 786.5102),(54 787.4124),(55 794.15753),(56 798.3748),(57 801.9506),(58 819.4984),(59 816.60675),(60 823.78174),(61 832.7225),(62 830.5945),(63 828.4802),(64 834.84686),(65 827.1563),(66 828.5321),(67 835.6632),(68 826.2758),(69 828.7383),(70 826.5441),(71 818.53656),(72 809.9878),(73 821.2339),(74 819.25653),(75 820.8509),(76 828.22986),(77 816.0684),(78 821.1518),(79 826.6786),
(1 384.32498),(2 507.00443),(3 591.0606),(4 635.7052),(5 669.6649),(6 684.916),(7 697.45734),(8 708.83527),(9 712.98737),(10 724.8788),(11 732.0591),(12 727.6898),(13 733.9809),(14 744.4141),(15 735.58246),(16 741.28625),(17 750.6362),(18 749.9593),(19 760.00684),(20 770.41565),(21 775.0368),(22 787.8024),(23 795.12006),(24 784.8177),(25 788.7359),(26 798.3373),(27 802.4109),(28 804.96356),(29 806.5512),(30 802.9436),(31 807.0494),(32 799.2637),(33 791.0774),(34 793.1904),(35 789.5203),(36 792.96246),(37 795.69684),(38 791.0478),(39 794.6574),(40 801.41504),(41 791.5943),(42 786.7222),(43 784.77454),(44 769.2138),(45 772.49554),(46 771.9308),(47 763.0069),(48 761.5072),(49 764.7508),(50 765.87604),(51 778.8205),(52 792.76575),(53 791.03064),(54 796.10474),(55 798.88763),(56 788.9394),(57 789.1169),(58 794.3541),(59 789.37573),(60 794.1026),(61 804.7193),(62 797.76514),(63 804.9297),(64 808.46954),(65 806.25885),(66 801.95337),(67 807.8757),(68 798.2978),(69 802.1609),(70 810.91315),(71 797.8285),(72 792.87317),(73 796.2822),(74 797.4472),(75 803.28955),(76 807.5986),(77 804.83624),(78 814.2881),(79 809.9202),
(1 382.3465),(2 505.8018),(3 591.66766),(4 639.26117),(5 667.9549),(6 686.69507),(7 697.89575),(8 712.6662),(9 710.74384),(10 728.38336),(11 733.7542),(12 735.47284),(13 736.9239),(14 747.2419),(15 749.7123),(16 751.9482),(17 762.50165),(18 759.4693),(19 764.5878),(20 771.325),(21 773.5968),(22 785.2523),(23 804.3733),(24 790.7575),(25 796.8648),(26 804.6973),(27 806.0465),(28 805.25244),(29 810.23065),(30 812.05145),(31 816.0366),(32 812.17303),(33 808.03326),(34 815.1381),(35 807.25616),(36 810.1244),(37 808.42566),(38 793.3779),(39 797.5482),(40 800.73016),(41 795.4778),(42 798.2075),(43 802.96765),(44 793.64905),(45 788.52716),(46 790.2464),(47 790.8867),(48 786.9994),(49 807.522),(50 799.73724),(51 808.53357),(52 820.6087),(53 806.8021),(54 806.8544),(55 812.21826),(56 806.10345),(57 808.119),(58 814.0935),(59 807.1775),(60 801.6126),(61 818.2625),(62 808.11993),(63 812.81494),(64 816.6361),(65 811.9629),(66 814.2047),(67 818.81305),(68 812.4025),(69 816.02264),(70 818.3815),(71 807.3237),(72 800.59814),(73 796.7662),(74 796.5104),(75 802.26886),(76 802.3476),(77 802.945),(78 814.39557),(79 800.93884),
(1 371.46277),(2 494.96252),(3 578.6354),(4 623.55054),(5 650.31055),(6 663.41754),(7 683.5879),(8 697.5672),(9 695.3195),(10 706.9468),(11 708.89594),(12 706.276),(13 708.84344),(14 719.9044),(15 717.19165),(16 720.90466),(17 726.53033),(18 731.4725),(19 747.8621),(20 756.30176),(21 758.1736),(22 771.193),(23 777.19666),(24 769.2413),(25 770.9667),(26 785.5718),(27 785.4187),(28 794.47345),(29 795.62476),(30 804.4614),(31 815.51355),(32 803.13806),(33 798.02936),(34 808.9545),(35 792.46625),(36 796.2581),(37 800.7126),(38 794.56726),(39 799.04553),(40 799.9472),(41 793.7816),(42 796.7476),(43 792.0577),(44 778.74646),(45 777.979),(46 777.4069),(47 764.22003),(48 761.56287),(49 774.1803),(50 774.69073),(51 780.8303),(52 788.5447),(53 779.3139),(54 777.859),(55 782.6953),(56 782.6727),(57 789.1764),(58 802.96985),(59 793.4068),(60 783.0237),(61 790.2081),(62 791.1162),(63 797.5995),(64 803.3324),(65 804.7163),(66 808.0644),(67 815.2788),(68 808.11804),(69 814.86676),(70 822.01044),(71 813.29517),(72 812.1426),(73 805.18854),(74 792.56274),(75 802.82),(76 809.81116),(77 804.71814),(78 806.99133),(79 797.6368),
(1 365.90704),(2 486.12283),(3 568.1682),(4 611.4148),(5 637.0209),(6 651.97095),(7 668.58136),(8 684.187),(9 686.7437),(10 689.46857),(11 691.415),(12 691.1627),(13 686.82336),(14 691.51337),(15 693.5),(16 702.5158),(17 711.064),(18 715.5261),(19 722.08887),(20 730.8302),(21 740.19684),(22 742.68994),(23 751.63995),(24 756.8841),(25 758.4905),(26 771.7218),(27 759.5158),(28 769.389),(29 758.1366),(30 762.1058),(31 770.8856),(32 763.80383),(33 759.76483),(34 768.5565),(35 757.8455),(36 752.1936),(37 752.7222),(38 744.8011),(39 752.3433),(40 751.7497),(41 743.212),(42 742.2459),(43 743.0588),(44 728.3537),(45 726.7133),(46 728.6289),(47 714.446),(48 721.6509),(49 729.02594),(50 727.28406),(51 724.83264),(52 737.5096),(53 739.39905),(54 731.7076),(55 734.5566),(56 727.46625),(57 733.21387),(58 744.952),(59 740.9872),(60 739.3983),(61 746.0477),(62 747.5552),(63 749.5388),(64 744.1114),(65 746.4658),(66 740.89685),(67 755.1325),(68 751.5783),(69 749.70685),(70 746.1922),(71 741.7942),(72 741.9264),(73 746.32983),(74 739.79694),(75 745.9041),(76 746.63727),(77 732.6377),(78 740.5086),(79 732.7916),
(1 367.4238),(2 484.97812),(3 572.7223),(4 619.13104),(5 641.7935),(6 652.54626),(7 659.86487),(8 674.22363),(9 677.27484),(10 680.7426),(11 693.08813),(12 686.17993),(13 697.7546),(14 705.39246),(15 709.18146),(16 713.1539),(17 726.3548),(18 719.64557),(19 732.35785),(20 751.8577),(21 755.5372),(22 764.55585),(23 772.25165),(24 758.1173),(25 757.1248),(26 763.55975),(27 751.63763),(28 758.36365),(29 755.54834),(30 757.00256),(31 767.4745),(32 755.8918),(33 754.8015),(34 767.6148),(35 764.1926),(36 760.3123),(37 761.86774),(38 751.7284),(39 755.55206),(40 762.4484),(41 748.704),(42 747.64923),(43 739.5959),(44 727.71423),(45 731.4289),(46 739.264),(47 732.81805),(48 737.1599),(49 747.922),(50 745.1368),(51 749.295),(52 753.1707),(53 748.56573),(54 752.4696),(55 763.82544),(56 757.4697),(57 762.40765),(58 770.5377),(59 759.6063),(60 766.2796),(61 767.2409),(62 765.19495),(63 778.3463),(64 782.2562),(65 775.5322),(66 775.86285),(67 782.469),(68 774.9214),(69 774.6402),(70 781.8679),(71 776.7778),(72 776.75183),(73 782.52576),(74 774.52),(75 775.2874),(76 776.56805),(77 767.46606),(78 770.8445),(79 758.65405),
(1 361.39813),(2 474.85205),(3 553.38684),(4 601.27734),(5 633.53156),(6 643.3644),(7 656.3217),(8 670.37067),(9 672.08734),(10 673.31506),(11 682.1103),(12 679.392),(13 681.4115),(14 686.2822),(15 684.31006),(16 683.7468),(17 694.6089),(18 699.3478),(19 709.1633),(20 725.8985),(21 730.7851),(22 735.4127),(23 748.4499),(24 747.3514),(25 749.60114),(26 757.5881),(27 747.78046),(28 742.3523),(29 743.15814),(30 747.5631),(31 756.0036),(32 742.3962),(33 744.0459),(34 757.6275),(35 753.75854),(36 752.76324),(37 755.07654),(38 745.9171),(39 749.66504),(40 756.7992),(41 742.2406),(42 745.5066),(43 754.1447),(44 738.2824),(45 732.2643),(46 739.3532),(47 732.0247),(48 731.3779),(49 745.9143),(50 740.5749),(51 745.73206),(52 753.1012),(53 746.7142),(54 745.5803),(55 748.8368),(56 743.73706),(57 743.3321),(58 759.06055),(59 752.0177),(60 763.3667),(61 763.1518),(62 757.00635),(63 760.2029),(64 767.01385),(65 763.44586),(66 763.63007),(67 767.24316),(68 760.43695),(69 759.64233),(70 762.3472),(71 752.256),(72 753.6425),(73 764.76855),(74 756.07086),(75 757.6756),(76 769.5441),(77 761.12024),(78 761.0385),(79 743.0512),
(1 359.3087),(2 470.6915),(3 545.79175),(4 596.3629),(5 627.1889),(6 641.03845),(7 651.5893),(8 666.6489),(9 667.72296),(10 675.9726),(11 679.11884),(12 680.1987),(13 686.5135),(14 695.3531),(15 692.6207),(16 699.31366),(17 708.1442),(18 700.37946),(19 697.4274),(20 719.6106),(21 730.2144),(22 736.906),(23 750.0446),(24 742.8346),(25 741.00165),(26 751.78674),(27 739.22614),(28 743.14856),(29 732.6325),(30 730.56006),(31 743.1969),(32 739.2189),(33 734.9313),(34 747.15576),(35 746.1864),(36 740.7017),(37 746.11163),(38 739.822),(39 737.9444),(40 742.3403),(41 729.6814),(42 735.1528),(43 739.51465),(44 723.14374),(45 720.40424),(46 727.0957),(47 724.3829),(48 723.8115),(49 733.5666),(50 733.6305),(51 741.74133),(52 746.14886),(53 739.144),(54 737.27374),(55 734.2212),(56 723.37305),(57 721.8239),(58 728.6156),(59 728.58154),(60 740.33044),(61 744.53986),(62 741.0418),(63 749.37726),(64 749.50653),(65 749.37115),(66 754.898),(67 759.46094),(68 753.66547),(69 753.36847),(70 755.0164),(71 752.1762),(72 756.58154),(73 764.6668),(74 755.1536),(75 754.39716),(76 751.12335),(77 745.23865),(78 745.92834),(79 733.05457),
(1 352.978),(2 455.83905),(3 524.79553),(4 570.0659),(5 606.1592),(6 620.0341),(7 636.9066),(8 654.16394),(9 653.2383),(10 653.1658),(11 658.78235),(12 656.7795),(13 654.7089),(14 658.34875),(15 654.37427),(16 660.08185),(17 665.2983),(18 665.7609),(19 668.81036),(20 683.3543),(21 681.42554),(22 691.8315),(23 705.8377),(24 704.08905),(25 716.0289),(26 719.80975),(27 716.1472),(28 725.57697),(29 715.40564),(30 720.89105),(31 728.86664),(32 726.0334),(33 725.77704),(34 736.9335),(35 736.7481),(36 737.6295),(37 748.61053),(38 739.99866),(39 742.7187),(40 744.1419),(41 736.373),(42 735.1726),(43 730.7322),(44 716.0182),(45 706.87085),(46 707.8939),(47 701.7727),(48 710.6088),(49 723.96313),(50 729.95264),(51 733.63794),(52 736.4846),(53 731.585),(54 731.8251),(55 727.57495),(56 718.5153),(57 718.5795),(58 720.0015),(59 717.06635),(60 726.6046),(61 734.73645),(62 723.4027),(63 730.4622),(64 739.7917),(65 738.4234),(66 740.5726),(67 749.8056),(68 743.42316),(69 742.5741),(70 737.87384),(71 730.33966),(72 724.5774),(73 729.2421),(74 723.09827),(75 727.3767),(76 735.3058),(77 728.3127),(78 727.6047),(79 720.99005),
(1 353.12024),(2 451.73553),(3 519.5043),(4 562.75055),(5 592.5454),(6 605.2621),(7 617.4435),(8 625.71875),(9 622.3605),(10 632.952),(11 645.55914),(12 638.3083),(13 636.37427),(14 647.05615),(15 645.3644),(16 648.2476),(17 658.63574),(18 663.02356),(19 666.5893),(20 673.6452),(21 681.2605),(22 692.9138),(23 704.20654),(24 697.39923),(25 704.7481),(26 711.578),(27 701.73596),(28 705.8272),(29 701.74817),(30 707.10284),(31 706.15955),(32 697.3228),(33 692.0407),(34 702.4982),(35 697.6604),(36 702.7058),(37 719.5234),(38 712.7188),(39 712.6107),(40 720.60065),(41 714.8137),(42 713.3624),(43 715.2036),(44 704.943),(45 696.8159),(46 699.9768),(47 684.1229),(48 685.1401),(49 694.4731),(50 697.38806),(51 700.64606),(52 704.892),(53 700.7713),(54 698.7984),(55 701.7702),(56 700.9649),(57 700.6488),(58 708.95654),(59 701.56506),(60 706.674),(61 716.63525),(62 714.6276),(63 713.12476),(64 720.61975),(65 718.6799),(66 717.5005),(67 720.4554),(68 718.27094),(69 721.8978),(70 721.41675),(71 713.4845),(72 707.4805),(73 714.877),(74 712.0061),(75 709.7976),(76 717.0294),(77 717.16833),(78 714.9134),(79 707.6572),
(1 341.07648),(2 441.4158),(3 508.0987),(4 548.37463),(5 572.12494),(6 588.4294),(7 603.9146),(8 614.62897),(9 616.8743),(10 618.49554),(11 627.81067),(12 621.70044),(13 614.61395),(14 628.0001),(15 620.74426),(16 629.2309),(17 635.0608),(18 635.76074),(19 650.99445),(20 655.6179),(21 665.8964),(22 681.31287),(23 693.53656),(24 691.4937),(25 699.6109),(26 710.44617),(27 693.03357),(28 693.0294),(29 687.1321),(30 688.7214),(31 699.11414),(32 691.88684),(33 686.64923),(34 698.7399),(35 698.4407),(36 698.3748),(37 711.73035),(38 705.951),(39 703.45557),(40 705.51105),(41 696.8955),(42 695.75244),(43 704.8256),(44 689.7232),(45 693.14716),(46 695.6537),(47 680.20264),(48 681.2216),(49 689.9795),(50 687.46686),(51 697.4411),(52 700.77673),(53 690.3293),(54 690.62195),(55 699.2822),(56 698.94727),(57 698.33386),(58 710.1503),(59 699.97107),(60 701.20355),(61 717.26373),(62 711.33057),(63 709.8667),(64 717.94104),(65 709.773),(66 711.1726),(67 714.44995),(68 713.697),(69 713.87946),(70 708.37646),(71 702.9746),(72 699.4093),(73 700.57245),(74 699.7267),(75 701.97925),(76 706.4574),(77 697.86566),(78 698.56433),(79 688.4974),
(1 335.16772),(2 430.54367),(3 494.38022),(4 532.14844),(5 559.3424),(6 577.1622),(7 594.51556),(8 613.0926),(9 607.1522),(10 616.4074),(11 621.0913),(12 612.8274),(13 607.7915),(14 613.08923),(15 614.06335),(16 623.0261),(17 624.234),(18 622.4429),(19 626.60425),(20 636.26556),(21 644.04706),(22 657.86194),(23 671.67816),(24 668.8878),(25 675.57434),(26 680.7943),(27 679.84045),(28 680.8759),(29 675.92773),(30 676.34515),(31 685.63367),(32 672.0104),(33 677.4971),(34 685.53455),(35 673.1693),(36 677.1958),(37 686.0058),(38 678.30536),(39 677.6687),(40 682.56085),(41 678.19885),(42 677.9523),(43 688.6934),(44 669.42),(45 668.7574),(46 671.44366),(47 653.7059),(48 656.114),(49 672.85693),(50 676.59894),(51 683.7318),(52 688.77997),(53 679.4475),(54 687.74255),(55 696.23755),(56 694.903),(57 692.1794),(58 695.13214),(59 692.6815),(60 698.59546),(61 707.1134),(62 697.3734),(63 695.2741),(64 696.86115),(65 700.6394),(66 697.84393),(67 708.1327),(68 701.38354),(69 697.1045),(70 697.4981),(71 693.98267),(72 696.81854),(73 698.73883),(74 703.8854),(75 696.39264),(76 703.3651),(77 690.1824),(78 693.0606),(79 688.08),
(1 339.72504),(2 438.70425),(3 503.68124),(4 540.73346),(5 573.7765),(6 585.8407),(7 599.7611),(8 612.6161),(9 614.2334),(10 629.92804),(11 639.40216),(12 635.07056),(13 633.4478),(14 636.44995),(15 630.12604),(16 636.1877),(17 638.90393),(18 632.9686),(19 640.8614),(20 650.9279),(21 656.02313),(22 671.8686),(23 687.0039),(24 680.89874),(25 683.52454),(26 689.6539),(27 680.66205),(28 682.91144),(29 671.036),(30 673.24005),(31 680.85785),(32 669.65894),(33 664.1262),(34 669.3313),(35 672.87885),(36 674.9678),(37 685.47876),(38 683.33923),(39 684.14276),(40 694.7874),(41 685.13434),(42 688.02985),(43 695.72925),(44 679.39417),(45 674.31866),(46 680.5437),(47 666.4708),(48 663.98914),(49 675.75964),(50 683.60004),(51 693.30505),(52 709.6063),(53 696.02216),(54 697.0168),(55 703.4863),(56 696.9025),(57 703.70526),(58 702.6243),(59 696.374),(60 700.6825),(61 706.36536),(62 696.0415),(63 698.3705),(64 697.4698),(65 700.89557),(66 699.33685),(67 703.4081),(68 695.2231),(69 693.6174),(70 694.1689),(71 681.19037),(72 685.44),(73 690.41156),(74 684.51624),(75 689.1614),(76 695.77734),(77 688.63324),(78 685.635),(79 673.47186),
(1 319.99185),(2 416.9673),(3 479.90274),(4 512.3256),(5 546.0221),(6 557.38043),(7 569.5005),(8 581.41284),(9 584.2553),(10 594.8414),(11 597.66003),(12 597.6163),(13 598.68207),(14 599.0958),(15 598.63904),(16 602.2468),(17 614.1078),(18 609.5146),(19 619.369),(20 626.0941),(21 624.2953),(22 635.7198),(23 650.9624),(24 644.7291),(25 651.21454),(26 663.0022),(27 659.83936),(28 661.3355),(29 655.9551),(30 656.16724),(31 655.66394),(32 650.15173),(33 643.0396),(34 655.4241),(35 647.817),(36 649.78107),(37 654.4943),(38 649.6504),(39 657.7398),(40 667.9217),(41 665.55054),(42 665.0858),(43 672.43964),(44 655.8965),(45 655.6231),(46 658.69946),(47 649.2672),(48 642.7301),(49 646.8101),(50 651.32587),(51 655.08844),(52 663.0475),(53 660.2174),(54 661.8498),(55 665.74097),(56 664.8001),(57 670.5859),(58 676.75653),(59 675.2777),(60 672.22766),(61 678.3445),(62 668.5609),(63 667.7324),(64 664.2507),(65 660.7245),(66 655.8766),(67 663.3716),(68 656.4406),(69 659.04767),(70 658.6049),(71 650.7907),(72 650.37),(73 656.1425),(74 654.18445),(75 655.4147),(76 665.7219),(77 660.04755),(78 670.6061),(79 655.7734),
(1 330.0655),(2 424.87045),(3 484.12152),(4 526.8007),(5 549.8205),(6 559.6692),(7 573.1123),(8 580.93304),(9 580.61804),(10 589.21747),(11 591.9829),(12 591.6327),(13 595.60004),(14 598.74493),(15 595.44434),(16 599.89276),(17 604.0866),(18 602.30115),(19 600.8555),(20 611.39984),(21 613.8581),(22 618.466),(23 631.8005),(24 635.20917),(25 638.3458),(26 654.0794),(27 649.7378),(28 649.4821),(29 647.33575),(30 646.95667),(31 651.91266),(32 648.89374),(33 648.6889),(34 659.186),(35 654.56323),(36 652.2753),(37 656.1959),(38 649.9094),(39 652.49146),(40 654.8638),(41 650.91455),(42 645.294),(43 650.32947),(44 644.5894),(45 647.12836),(46 649.15094),(47 639.78143),(48 633.25714),(49 639.96783),(50 639.1725),(51 647.0325),(52 653.68677),(53 649.5611),(54 658.6601),(55 659.0521),(56 655.2392),(57 664.6969),(58 668.6768),(59 670.8948),(60 673.2502),(61 680.4269),(62 673.5736),(63 667.74524),(64 668.77216),(65 668.52545),(66 666.85956),(67 666.8832),(68 653.6952),(69 651.23157),(70 646.96893),(71 644.30554),(72 645.08765),(73 650.93207),(74 648.0156),(75 642.359),(76 647.5944),(77 644.6115),(78 632.7716),(79 628.269),
(1 326.43652),(2 415.20135),(3 479.903),(4 516.92255),(5 538.5083),(6 543.5143),(7 553.69104),(8 565.6687),(9 568.6186),(10 577.35376),(11 577.9459),(12 579.8856),(13 581.55554),(14 588.5472),(15 584.20404),(16 591.6513),(17 593.6845),(18 588.4836),(19 591.7949),(20 605.06146),(21 601.9674),(22 610.7405),(23 625.3799),(24 621.9191),(25 619.545),(26 632.1387),(27 630.4999),(28 634.3398),(29 627.9179),(30 624.6937),(31 630.7935),(32 631.6829),(33 628.4245),(34 635.335),(35 629.0145),(36 628.29614),(37 633.9291),(38 634.50415),(39 634.5522),(40 639.7315),(41 632.29926),(42 628.47156),(43 631.8816),(44 625.85547),(45 625.0629),(46 630.2917),(47 615.39417),(48 610.2029),(49 617.2099),(50 613.197),(51 619.07117),(52 622.8058),(53 626.9168),(54 630.714),(55 633.127),(56 633.9994),(57 637.59204),(58 640.57263),(59 642.6676),(60 647.34894),(61 652.60126),(62 648.5544),(63 648.23456),(64 649.31726),(65 651.96277),(66 654.4523),(67 659.34656),(68 650.04724),(69 654.43207),(70 657.1569),(71 652.0775),(72 646.8771),(73 649.1131),(74 650.2582),(75 648.4568),(76 653.22235),(77 645.0334),(78 647.66113),(79 641.6119),
(1 313.65878),(2 414.00043),(3 476.0619),(4 515.60297),(5 527.4594),(6 536.88367),(7 549.4583),(8 566.5968),(9 565.5071),(10 573.3309),(11 581.7518),(12 579.78735),(13 582.7974),(14 588.90765),(15 582.4955),(16 583.9327),(17 588.7928),(18 584.069),(19 587.5712),(20 592.3457),(21 598.54926),(22 608.652),(23 624.2491),(24 622.4048),(25 626.20294),(26 633.22217),(27 630.9037),(28 632.3766),(29 619.5932),(30 618.9611),(31 628.7868),(32 625.7178),(33 620.66895),(34 623.7508),(35 618.24243),(36 617.6414),(37 629.7314),(38 623.54956),(39 619.4802),(40 627.169),(41 622.2861),(42 615.97906),(43 619.7145),(44 609.977),(45 613.031),(46 618.8472),(47 608.4089),(48 603.2468),(49 608.939),(50 606.20447),(51 615.90045),(52 626.49084),(53 623.0138),(54 627.7262),(55 632.39056),(56 635.7947),(57 636.5125),(58 636.6542),(59 635.2465),(60 649.521),(61 650.15283),(62 645.66156),(63 645.6692),(64 644.39355),(65 642.9873),(66 640.3237),(67 641.37),(68 632.4279),(69 632.2284),(70 632.0257),(71 626.5854),(72 624.579),(73 629.9148),(74 624.88104),(75 627.05457),(76 628.1279),(77 625.3134),(78 635.01556),(79 625.21655),
