1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,
(1 2.4660108),(2 3.8343954),(3 3.8360484),(4 5.4426484),(5 8.928708),(6 10.208107),(7 10.235894),(8 11.144205),(9 12.686122),(10 13.571032),(11 13.588064),(12 14.27599),(13 15.409336),(14 15.965827),(15 15.966092),(16 16.499956),(17 17.814827),(18 18.48583),(19 18.489788),(20 19.00234),(21 19.746954),(22 19.991226),(23 19.989399),(24 20.529964),(25 21.347326),(26 21.675003),(27 21.692804),(28 21.536533),(29 22.112968),(30 22.33964),(31 22.341017),(32 22.525045),(33 23.101992),(34 23.153051),(35 23.18391),(36 23.351835),(37 23.465162),(38 23.679312),(39 23.695269),(40 23.755424),(41 24.152193),(42 24.22185),
(1 2.425967),(2 3.877169),(3 3.8796864),(4 5.519979),(5 8.797924),(6 9.742762),(7 9.756781),(8 10.462534),(9 12.165705),(10 13.068634),(11 13.0842495),(12 13.9855),(13 14.8659),(14 15.275303),(15 15.304741),(16 15.840204),(17 17.425505),(18 17.85556),(19 17.869162),(20 18.169212),(21 18.804415),(22 19.208246),(23 19.213902),(24 19.670574),(25 20.651033),(26 20.772934),(27 20.766935),(28 20.724405),(29 20.794193),(30 21.22033),(31 21.220488),(32 21.684929),(33 22.6148),(34 22.881205),(35 22.901056),(36 23.092196),(37 23.287912),(38 23.226114),(39 23.226633),(40 23.156422),(41 23.357922),(42 23.447588),
(1 2.685984),(2 4.3147836),(3 4.3148084),(4 5.96305),(5 9.190936),(6 10.247287),(7 10.263617),(8 11.047864),(9 12.689742),(10 13.538472),(11 13.54655),(12 14.29039),(13 15.285834),(14 15.934517),(15 15.93899),(16 16.611761),(17 17.73131),(18 18.301352),(19 18.32623),(20 18.707651),(21 19.485964),(22 20.055923),(23 20.0698),(24 20.79569),(25 21.628714),(26 21.875528),(27 21.88213),(28 21.700874),(29 21.89487),(30 22.417408),(31 22.417728),(32 22.743721),(33 23.128256),(34 23.150356),(35 23.166016),(36 23.434874),(37 23.482122),(38 23.490028),(39 23.487932),(40 23.20563),(41 23.446417),(42 23.424473),
(1 2.6198566),(2 4.1255684),(3 4.126039),(4 5.7305765),(5 9.069393),(6 9.917987),(7 9.927039),(8 10.677118),(9 12.73146),(10 13.740742),(11 13.760201),(12 14.6027975),(13 15.334849),(14 15.796555),(15 15.824178),(16 16.330473),(17 17.448183),(18 17.783146),(19 17.784916),(20 18.09708),(21 18.829702),(22 19.099377),(23 19.10445),(24 19.45854),(25 20.320793),(26 20.407467),(27 20.396952),(28 20.380728),(29 20.737238),(30 21.186539),(31 21.188475),(32 21.619696),(33 21.615717),(34 21.833698),(35 21.82422),(36 21.987396),(37 22.56832),(38 22.773113),(39 22.784159),(40 22.82047),(41 22.879662),(42 22.74057),
(1 2.4541023),(2 3.873518),(3 3.8726728),(4 5.294363),(5 8.147539),(6 8.778553),(7 8.804235),(8 9.346014),(9 11.076322),(10 11.764448),(11 11.797257),(12 12.245217),(13 13.170868),(14 13.874754),(15 13.887683),(16 14.364684),(17 15.066328),(18 15.51402),(19 15.51334),(20 15.852339),(21 16.574856),(22 16.78742),(23 16.78849),(24 16.921658),(25 17.440985),(26 17.833824),(27 17.841713),(28 18.057789),(29 18.426643),(30 18.930763),(31 18.929018),(32 19.150078),(33 19.441996),(34 19.731976),(35 19.757458),(36 20.080526),(37 20.444424),(38 20.711973),(39 20.711477),(40 20.883049),(41 20.758392),(42 20.602846),
(1 2.1256971),(2 3.4013348),(3 3.4016461),(4 4.710925),(5 7.394434),(6 7.8434997),(7 7.860843),(8 8.063355),(9 9.746631),(10 10.672339),(11 10.681555),(12 11.168837),(13 11.620804),(14 12.2372465),(15 12.25206),(16 12.616606),(17 12.852265),(18 13.204602),(19 13.205315),(20 13.697666),(21 14.301219),(22 14.36174),(23 14.384902),(24 14.430231),(25 14.914437),(26 15.485423),(27 15.491628),(28 15.927224),(29 16.433714),(30 16.565538),(31 16.56612),(32 16.625557),(33 16.60137),(34 16.822462),(35 16.822592),(36 17.053034),(37 17.667393),(38 17.873178),(39 17.871653),(40 17.86916),(41 17.744133),(42 17.639702),
(1 2.2325978),(2 3.4689949),(3 3.469086),(4 4.792878),(5 7.3617578),(6 7.6296926),(7 7.6443954),(8 7.940774),(9 9.719632),(10 10.266473),(11 10.277963),(12 10.426535),(13 11.3571825),(14 11.937036),(15 11.947762),(16 12.115673),(17 12.38641),(18 12.671163),(19 12.6888485),(20 13.129271),(21 13.536402),(22 13.747227),(23 13.744628),(24 13.947913),(25 14.664544),(26 14.910266),(27 14.926598),(28 15.211836),(29 15.096766),(30 15.221921),(31 15.221569),(32 15.1854515),(33 15.678449),(34 15.846308),(35 15.871089),(36 16.077435),(37 16.568436),(38 16.677076),(39 16.686665),(40 16.888916),(41 16.696428),(42 16.5886),
(1 2.3700545),(2 3.6566153),(3 3.65656),(4 5.0203485),(5 7.70294),(6 7.9713244),(7 7.9927444),(8 8.089927),(9 9.794831),(10 10.43738),(11 10.458676),(12 10.69085),(13 11.442001),(14 12.01425),(15 12.035805),(16 12.157118),(17 12.529275),(18 13.133334),(19 13.142506),(20 13.393926),(21 13.480584),(22 13.734333),(23 13.735814),(24 14.222321),(25 15.247473),(26 15.727481),(27 15.744694),(28 16.03607),(29 15.791549),(30 15.784844),(31 15.783533),(32 15.917758),(33 16.744177),(34 16.959684),(35 16.960506),(36 17.096561),(37 17.22781),(38 17.286459),(39 17.298624),(40 17.296556),(41 17.574202),(42 17.732342),
(1 2.166512),(2 3.3730273),(3 3.3737974),(4 4.621543),(5 6.7011824),(6 6.9043503),(7 6.9151497),(8 7.004548),(9 8.841114),(10 9.2144985),(11 9.227192),(12 9.365297),(13 10.518036),(14 10.693397),(15 10.720905),(16 10.63452),(17 11.323846),(18 11.703247),(19 11.707855),(20 11.938398),(21 12.349629),(22 12.617489),(23 12.63311),(24 13.068935),(25 13.4547615),(26 13.685985),(27 13.698172),(28 13.816355),(29 13.689664),(30 13.891479),(31 13.890428),(32 14.172072),(33 14.707755),(34 14.855117),(35 14.874218),(36 15.0692),(37 15.210734),(38 15.260008),(39 15.273435),(40 15.2996435),(41 15.269418),(42 15.246703),
(1 2.1503353),(2 3.2817144),(3 3.2819135),(4 4.5915713),(5 6.822818),(6 7.218196),(7 7.246011),(8 7.5399046),(9 8.816789),(10 9.221793),(11 9.245984),(12 9.429143),(13 10.265335),(14 10.49282),(15 10.502097),(16 10.793495),(17 11.333771),(18 11.58481),(19 11.607102),(20 11.74464),(21 12.083989),(22 12.45439),(23 12.460967),(24 12.882098),(25 13.326951),(26 13.546948),(27 13.554692),(28 13.555727),(29 13.642994),(30 13.945113),(31 13.943585),(32 14.162859),(33 14.522762),(34 14.684001),(35 14.701499),(36 14.907366),(37 14.884754),(38 14.935803),(39 14.941235),(40 15.09145),(41 15.233158),(42 15.115386),
