(1 4.0672126),(2 7.1367965),(3 7.1323533),(4 10.463823),(5 16.974262),(6 19.294374),(7 19.31892),(8 21.343306),(9 24.84077),(10 26.098616),(11 26.109455),(12 27.424843),(13 29.456621),(14 30.783712),(15 30.85118),(16 32.286716),(17 36.589947),(18 38.514114),(19 38.51951),(20 40.522675),(21 41.467583),(22 41.820213),(23 41.892536),(24 42.448975),(25 43.768032),(26 45.037163),(27 45.05599),(28 46.423084),(29 49.247612),(30 49.54054),(31 49.536148),(32 49.587223),(33 50.956776),(34 52.02784),(35 52.02517),(36 53.57954),(37 54.92269),(38 55.11995),(39 55.111797),(40 54.753517),(41 54.776543),(42 55.073578),
(1 4.290998),(2 7.240798),(3 7.241067),(4 10.554991),(5 15.946343),(6 18.259914),(7 18.276562),(8 19.873726),(9 22.739126),(10 23.86327),(11 23.8635),(12 25.454197),(13 27.187647),(14 28.486454),(15 28.475101),(16 29.82305),(17 33.468784),(18 35.14688),(19 35.186073),(20 36.354324),(21 37.996124),(22 38.521503),(23 38.53024),(24 39.335655),(25 40.357517),(26 41.016575),(27 41.024155),(28 42.14784),(29 44.136604),(30 44.4205),(31 44.425285),(32 44.612724),(33 44.8425),(34 45.166225),(35 45.114113),(36 46.108948),(37 47.052956),(38 47.42253),(39 47.427708),(40 47.843548),(41 48.943317),(42 49.14192),
(1 4.6624646),(2 7.964941),(3 7.965303),(4 11.749117),(5 19.31334),(6 21.66049),(7 21.660028),(8 24.11086),(9 28.144327),(10 29.062418),(11 29.09152),(12 29.5927),(13 30.722244),(14 31.718527),(15 31.76785),(16 32.630093),(17 36.228275),(18 38.677868),(19 38.7088),(20 40.53826),(21 43.42313),(22 44.949894),(23 44.981003),(24 46.015995),(25 47.810055),(26 48.81397),(27 48.77145),(28 49.503735),(29 52.16904),(30 53.081787),(31 53.06838),(32 53.10827),(33 54.55116),(34 54.751102),(35 54.753986),(36 55.728783),(37 57.342686),(38 58.138897),(39 58.134624),(40 59.10924),(41 60.212776),(42 60.47308),
(1 4.624878),(2 7.780584),(3 7.779991),(4 11.143647),(5 17.756237),(6 20.526924),(7 20.541887),(8 23.079847),(9 26.42365),(10 27.405586),(11 27.394852),(12 28.41403),(13 30.24341),(14 31.122852),(15 31.133575),(16 32.59769),(17 36.854942),(18 38.012234),(19 38.044678),(20 38.976994),(21 40.797558),(22 41.989967),(23 42.011497),(24 42.975067),(25 43.667618),(26 44.568928),(27 44.568565),(28 45.519836),(29 48.547276),(30 50.275536),(31 50.274292),(32 50.14247),(33 50.156384),(34 50.290527),(35 50.23224),(36 50.667107),(37 52.531696),(38 53.71871),(39 53.722393),(40 54.90906),(41 55.447018),(42 54.9236),
(1 4.389789),(2 7.5147433),(3 7.514098),(4 10.4794655),(5 15.648554),(6 17.728712),(7 17.721199),(8 20.07973),(9 24.369244),(10 25.788563),(11 25.779129),(12 27.31234),(13 29.475153),(14 30.550354),(15 30.547035),(16 31.347664),(17 34.418816),(18 35.166756),(19 35.19196),(20 36.359627),(21 37.786217),(22 38.6822),(23 38.711655),(24 39.68232),(25 42.37538),(26 43.382095),(27 43.409733),(28 44.343243),(29 47.297295),(30 48.16704),(31 48.156178),(32 48.43159),(33 48.342968),(34 48.53348),(35 48.5108),(36 49.659893),(37 51.914635),(38 52.430977),(39 52.455368),(40 53.11253),(41 53.308605),(42 52.554375),
(1 3.7646236),(2 6.2998233),(3 6.2984266),(4 8.811996),(5 14.321617),(6 16.277704),(7 16.299332),(8 17.931938),(9 21.341951),(10 23.179312),(11 23.191422),(12 24.708624),(13 25.730474),(14 26.063038),(15 26.036205),(16 26.54682),(17 29.332993),(18 30.249794),(19 30.272278),(20 31.084805),(21 32.13504),(22 32.629776),(23 32.631638),(24 34.037663),(25 36.03696),(26 36.66015),(27 36.65445),(28 36.97446),(29 38.600338),(30 39.141857),(31 39.13557),(32 39.511124),(33 40.45956),(34 40.639965),(35 40.590237),(36 41.53688),(37 42.90456),(38 43.435814),(39 43.44303),(40 44.333027),(41 45.369087),(42 45.147076),
(1 3.6126),(2 6.480359),(3 6.477801),(4 9.191969),(5 14.4892645),(6 16.034264),(7 16.036905),(8 17.706064),(9 20.550892),(10 22.340385),(11 22.32499),(12 24.095654),(13 26.612484),(14 27.530365),(15 27.523577),(16 27.927944),(17 29.046839),(18 30.197353),(19 30.18963),(20 30.910252),(21 31.628283),(22 31.98186),(23 32.01816),(24 32.655174),(25 33.68153),(26 34.3293),(27 34.363037),(28 35.016357),(29 37.240307),(30 38.332077),(31 38.342907),(32 38.788784),(33 38.74941),(34 39.347794),(35 39.330734),(36 40.218567),(37 41.656967),(38 42.194347),(39 42.169334),(40 42.07515),(41 42.550507),(42 42.010075),
(1 3.5579407),(2 6.185976),(3 6.1844625),(4 8.864865),(5 14.965316),(6 17.1354),(7 17.163555),(8 18.61827),(9 22.334688),(10 23.823914),(11 23.850502),(12 25.033009),(13 26.74806),(14 27.573036),(15 27.57976),(16 28.282803),(17 30.685825),(18 32.14039),(19 32.176823),(20 33.51022),(21 33.787117),(22 33.628727),(23 33.66467),(24 34.231724),(25 34.388103),(26 34.964897),(27 34.97412),(28 35.325607),(29 36.69695),(30 37.575882),(31 37.575203),(32 38.468166),(33 39.2702),(34 39.313454),(35 39.289177),(36 39.62599),(37 40.87353),(38 41.588642),(39 41.624634),(40 42.075592),(41 43.90495),(42 43.800224),
(1 3.5293038),(2 5.9838777),(3 5.9813943),(4 8.51838),(5 14.068139),(6 15.845008),(7 15.8557825),(8 17.835855),(9 21.04249),(10 22.381514),(11 22.391647),(12 23.433123),(13 24.85891),(14 25.740885),(15 25.751509),(16 26.783379),(17 29.071043),(18 30.663872),(19 30.648586),(20 31.73166),(21 31.733694),(22 32.40739),(23 32.438225),(24 33.052444),(25 33.597233),(26 34.58837),(27 34.609528),(28 35.75181),(29 36.312202),(30 36.383465),(31 36.389557),(32 36.73591),(33 37.096336),(34 37.837555),(35 37.834084),(36 38.05858),(37 39.320854),(38 40.320274),(39 40.32099),(40 40.92479),(41 41.31211),(42 41.02589),
(1 3.7156334),(2 6.1963744),(3 6.1951666),(4 8.949959),(5 14.649319),(6 16.497046),(7 16.517561),(8 18.012161),(9 21.316078),(10 22.935),(11 22.911589),(12 24.506048),(13 26.643517),(14 27.478329),(15 27.508629),(16 27.79838),(17 29.686829),(18 30.677483),(19 30.70341),(20 31.703186),(21 33.47053),(22 34.229656),(23 34.222054),(24 34.693626),(25 34.819633),(26 35.287838),(27 35.291634),(28 35.824535),(29 36.49472),(30 37.0062),(31 37.002888),(32 37.83808),(33 38.734135),(34 39.492245),(35 39.54082),(36 40.05407),(37 41.37653),(38 41.90645),(39 41.95825),(40 41.99182),(41 42.199802),(42 41.467064),
