1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,
(1 2.5955486),(2 4.3755307),(3 4.373756),(4 6.468122),(5 10.720014),(6 12.000426),(7 12.001036),(8 13.123688),(9 15.704333),(10 16.626131),(11 16.604877),(12 17.67134),(13 18.494848),(14 18.936192),(15 18.962374),(16 19.55349),(17 20.919044),(18 21.793564),(19 21.774221),(20 22.512253),(21 23.544357),(22 24.01917),(23 24.016155),(24 24.275816),(25 24.26498),(26 24.770947),(27 24.779404),(28 25.2415),(29 25.490047),(30 25.825708),(31 25.827774),(32 26.152441),(33 26.19787),(34 26.632648),(35 26.680593),(36 27.170898),(37 28.365),(38 28.561207),(39 28.569658),(40 28.290092),(41 28.177107),(42 28.338755),
(1 2.5961819),(2 4.3143144),(3 4.314075),(4 6.3599167),(5 10.212146),(6 11.208991),(7 11.229972),(8 12.4376545),(9 14.20876),(10 15.321195),(11 15.363733),(12 16.3592),(13 17.618958),(14 18.334915),(15 18.3587),(16 18.7377),(17 19.891104),(18 21.038866),(19 21.05669),(20 22.01879),(21 23.00884),(22 23.054739),(23 23.054785),(24 23.42775),(25 23.825886),(26 23.855757),(27 23.855597),(28 24.096252),(29 24.060976),(30 24.272732),(31 24.269468),(32 24.355717),(33 24.948925),(34 25.275234),(35 25.279495),(36 25.481863),(37 26.939457),(38 27.583223),(39 27.622787),(40 27.715218),(41 28.054243),(42 27.878244),
(1 2.757613),(2 4.4134645),(3 4.41576),(4 6.090202),(5 9.843152),(6 11.175311),(7 11.1873665),(8 12.289506),(9 14.235523),(10 15.248629),(11 15.265716),(12 16.5429),(13 17.652014),(14 18.134214),(15 18.126724),(16 18.909258),(17 20.258638),(18 20.59827),(19 20.631895),(20 21.118984),(21 22.154037),(22 22.357998),(23 22.402956),(24 23.06752),(25 23.567232),(26 23.790773),(27 23.789883),(28 24.240082),(29 25.097736),(30 25.895098),(31 25.889914),(32 26.094084),(33 26.301434),(34 26.282114),(35 26.355692),(36 26.55635),(37 27.649252),(38 27.879234),(39 27.904734),(40 28.175589),(41 28.673937),(42 28.645544),
(1 2.6249163),(2 4.1457458),(3 4.146323),(4 5.7842846),(5 9.253148),(6 10.742276),(7 10.75893),(8 11.926164),(9 13.683125),(10 14.50726),(11 14.517687),(12 15.205129),(13 16.532154),(14 17.190966),(15 17.214312),(16 17.925142),(17 19.280428),(18 19.580353),(19 19.569273),(20 19.874603),(21 20.980536),(22 21.529007),(23 21.519075),(24 22.395546),(25 23.322891),(26 23.745968),(27 23.74106),(28 24.179352),(29 24.630888),(30 25.044718),(31 25.045176),(32 25.165005),(33 25.67013),(34 25.454533),(35 25.463278),(36 25.692469),(37 26.482994),(38 26.614727),(39 26.621027),(40 26.677067),(41 27.7048),(42 27.481775),
(1 2.5873392),(2 4.0738726),(3 4.0757318),(4 5.474462),(5 8.237707),(6 9.332717),(7 9.34077),(8 10.436125),(9 12.185033),(10 12.885158),(11 12.866284),(12 13.500826),(13 14.320626),(14 14.896101),(15 14.9068),(16 15.778188),(17 17.563057),(18 18.32486),(19 18.330881),(20 18.593536),(21 18.729849),(22 19.351488),(23 19.357077),(24 19.79868),(25 21.473837),(26 21.772434),(27 21.794722),(28 21.806444),(29 21.776003),(30 22.0142),(31 22.01352),(32 22.249502),(33 22.649124),(34 23.15863),(35 23.168941),(36 23.383337),(37 24.087011),(38 23.70573),(39 23.694769),(40 23.651487),(41 23.675869),(42 23.785555),
(1 2.2144387),(2 3.3732033),(3 3.373769),(4 4.48134),(5 7.139479),(6 8.395739),(7 8.408048),(8 9.497031),(9 10.711042),(10 11.360787),(11 11.380043),(12 12.21999),(13 13.413708),(14 14.073459),(15 14.074006),(16 14.515928),(17 15.663359),(18 16.464788),(19 16.477528),(20 16.983595),(21 17.58556),(22 17.795668),(23 17.803959),(24 18.062101),(25 18.904854),(26 18.871826),(27 18.879225),(28 18.765974),(29 19.15472),(30 19.251848),(31 19.249352),(32 19.219128),(33 19.952377),(34 20.1978),(35 20.239222),(36 20.275957),(37 20.628181),(38 20.950214),(39 20.959322),(40 20.898867),(41 21.499365),(42 21.619751),
(1 2.2366955),(2 3.4833052),(3 3.4848351),(4 4.8536477),(5 7.3583446),(6 8.509604),(7 8.538082),(8 9.736865),(9 10.944419),(10 11.622165),(11 11.631975),(12 12.796037),(13 14.262531),(14 14.650441),(15 14.663912),(16 15.0119095),(17 15.759136),(18 16.167305),(19 16.194153),(20 16.510235),(21 16.927101),(22 17.17499),(23 17.174675),(24 17.586985),(25 18.418056),(26 19.036404),(27 19.042622),(28 19.097155),(29 19.640917),(30 19.849293),(31 19.851269),(32 19.773874),(33 20.031878),(34 19.98978),(35 20.009138),(36 20.214064),(37 20.531342),(38 20.409695),(39 20.4304),(40 20.380037),(41 20.657347),(42 20.494394),
(1 2.4105077),(2 3.8713503),(3 3.8718536),(4 5.2759533),(5 7.940787),(6 8.91331),(7 8.941135),(8 9.865949),(9 11.510117),(10 12.053894),(11 12.059871),(12 12.864997),(13 14.033128),(14 14.666194),(15 14.6981125),(16 15.258792),(17 16.49201),(18 17.124899),(19 17.140516),(20 17.92264),(21 18.562183),(22 18.721848),(23 18.74032),(24 18.866627),(25 18.943758),(26 19.210606),(27 19.20827),(28 19.313118),(29 19.91864),(30 20.407717),(31 20.410006),(32 20.750593),(33 20.99576),(34 21.180178),(35 21.182623),(36 21.523888),(37 21.194662),(38 21.200365),(39 21.191294),(40 21.277668),(41 21.715055),(42 21.520407),
(1 2.2702851),(2 3.484279),(3 3.4831638),(4 4.829152),(5 7.3030906),(6 7.980718),(7 7.993629),(8 8.648245),(9 10.182591),(10 10.783925),(11 10.813262),(12 11.181429),(13 12.2574),(14 12.677145),(15 12.677328),(16 12.979116),(17 13.863493),(18 14.367111),(19 14.379111),(20 14.845007),(21 15.373276),(22 15.958556),(23 15.962111),(24 16.765387),(25 17.55001),(26 17.743334),(27 17.734432),(28 17.696413),(29 17.606094),(30 18.104525),(31 18.10477),(32 18.251612),(33 18.994555),(34 19.51714),(35 19.540056),(36 20.000238),(37 20.32332),(38 20.58696),(39 20.586428),(40 20.755013),(41 20.847086),(42 21.058413),
(1 2.2613924),(2 3.6180205),(3 3.6169448),(4 4.830667),(5 7.2322135),(6 7.9864917),(7 8.008917),(8 8.821908),(9 10.656684),(10 11.330973),(11 11.353236),(12 12.096461),(13 12.921043),(14 13.196286),(15 13.217892),(16 13.506717),(17 14.157439),(18 14.349699),(19 14.340216),(20 14.6640835),(21 15.528119),(22 15.66477),(23 15.693565),(24 15.782311),(25 16.213507),(26 16.43089),(27 16.443975),(28 16.530117),(29 16.988874),(30 17.276352),(31 17.274302),(32 17.218613),(33 17.23479),(34 17.395594),(35 17.408035),(36 17.689123),(37 18.44248),(38 18.656557),(39 18.665823),(40 18.75717),(41 19.050299),(42 18.94336),
(1 2.0225313),(2 3.2238162),(3 3.2240956),(4 4.197238),(5 6.3682394),(6 7.103639),(7 7.103332),(8 7.7794447),(9 8.899065),(10 9.449839),(11 9.463193),(12 10.010914),(13 10.768339),(14 11.493029),(15 11.491092),(16 12.057903),(17 12.776647),(18 13.025936),(19 13.028854),(20 13.1180315),(21 13.883835),(22 14.340089),(23 14.349816),(24 14.442469),(25 15.157261),(26 15.5104265),(27 15.526608),(28 15.519435),(29 15.525646),(30 15.739326),(31 15.740202),(32 15.736159),(33 15.734451),(34 16.006361),(35 16.055025),(36 16.291164),(37 16.772785),(38 16.804321),(39 16.824284),(40 17.156605),(41 17.300425),(42 17.122372),
(1 2.2114062),(2 3.4304938),(3 3.4303904),(4 4.458998),(5 6.377259),(6 6.834463),(7 6.8626285),(8 7.336703),(9 8.560197),(10 9.333723),(11 9.3604765),(12 10.078062),(13 10.786361),(14 11.32051),(15 11.354212),(16 11.887874),(17 12.602678),(18 12.505166),(19 12.536815),(20 12.670522),(21 13.305922),(22 13.597942),(23 13.607684),(24 13.770107),(25 13.98448),(26 14.280454),(27 14.3038),(28 14.412951),(29 15.263939),(30 15.665033),(31 15.668521),(32 15.873001),(33 16.040522),(34 16.185572),(35 16.171358),(36 16.432781),(37 16.764328),(38 16.685207),(39 16.700098),(40 16.789005),(41 17.386919),(42 17.785957),
