1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 0.6767006),(2 1.0088338),(3 1.0058749),(4 1.4439816),(5 3.6125274),(6 4.0445642),(7 4.0784388),(8 4.346005),(9 5.1349163),(10 5.1163664),(11 5.012023),(12 5.231334),(13 7.058982),(14 7.3899517),(15 7.385265),(16 7.328792),(17 8.6208),(18 8.901991),(19 8.863318),(20 9.062342),(21 9.7163105),(22 9.937709),(23 9.948717),(24 9.928402),(25 10.881422),(26 12.141811),(27 12.060999),(28 13.34866),(29 17.52037),(30 18.187323),(31 18.180227),(32 18.873665),(33 20.546179),(34 20.245945),(35 20.18526),(36 19.61815),(37 19.454514),(38 18.769907),(39 18.638247),(40 19.098957),(41 19.734837),(42 20.745657),
(1 6.302945),(2 11.632801),(3 11.658019),(4 19.042109),(5 35.79387),(6 43.684994),(7 43.760277),(8 52.70054),(9 67.33701),(10 75.253204),(11 75.378174),(12 84.396614),(13 101.72963),(14 111.36224),(15 111.78099),(16 122.188095),(17 142.06429),(18 152.61523),(19 152.70973),(20 161.46732),(21 179.51431),(22 186.38167),(23 186.62045),(24 192.68507),(25 203.45258),(26 211.74535),(27 212.32648),(28 217.8584),(29 227.7087),(30 235.3852),(31 235.38242),(32 245.95468),(33 261.02405),(34 264.8428),(35 265.15628),(36 265.8538),(37 261.33368),(38 262.24365),(39 261.78528),(40 260.7834),(41 259.915),(42 262.0206),
(1 7.827126),(2 14.285593),(3 14.302544),(4 20.987797),(5 38.71025),(6 49.233906),(7 49.217533),(8 59.35791),(9 78.950554),(10 88.091805),(11 88.00202),(12 95.58159),(13 121.367805),(14 134.72102),(15 134.90312),(16 147.77354),(17 163.20398),(18 174.08665),(19 174.00809),(20 184.79178),(21 206.11183),(22 212.48534),(23 212.63716),(24 218.05919),(25 223.45622),(26 228.3811),(27 228.57391),(28 233.13289),(29 245.37054),(30 248.2678),(31 248.27939),(32 248.26381),(33 255.77724),(34 260.92395),(35 261.30984),(36 265.90012),(37 275.71277),(38 278.55145),(39 278.62485),(40 280.59763),(41 280.74326),(42 275.71323),
(1 7.3507547),(2 12.449249),(3 12.461998),(4 18.695776),(5 32.39824),(6 40.59004),(7 40.54121),(8 47.531757),(9 63.566086),(10 71.33065),(11 71.3945),(12 79.307655),(13 93.00591),(14 100.7664),(15 100.92261),(16 107.367355),(17 120.75736),(18 129.95084),(19 130.13792),(20 139.72194),(21 155.37401),(22 164.50945),(23 164.57184),(24 172.21344),(25 187.1479),(26 197.03723),(27 197.61772),(28 206.3668),(29 228.13641),(30 235.32939),(31 235.3538),(32 242.91228),(33 259.2659),(34 269.72916),(35 270.0948),(36 273.753),(37 274.29282),(38 275.2577),(39 275.31238),(40 277.19604),(41 273.7615),(42 272.75797),
(1 7.6070457),(2 13.996572),(3 13.990511),(4 21.41865),(5 39.649876),(6 48.959835),(7 48.96692),(8 58.704945),(9 75.39716),(10 82.066086),(11 81.9846),(12 88.41719),(13 97.95732),(14 101.218),(15 101.202286),(16 109.045685),(17 124.22567),(18 133.63031),(19 133.43044),(20 142.33319),(21 158.96405),(22 168.65605),(23 168.5451),(24 179.19052),(25 197.13336),(26 206.33273),(27 206.87758),(28 214.73999),(29 229.23015),(30 232.22676),(31 232.20613),(32 233.3827),(33 232.25212),(34 230.10725),(35 230.09116),(36 225.37506),(37 223.35414),(38 226.57251),(39 226.37802),(40 228.57368),(41 230.85683),(42 230.46869),
(1 7.0058365),(2 12.253033),(3 12.246191),(4 18.675508),(5 35.821312),(6 45.734547),(7 45.801754),(8 55.74072),(9 76.56231),(10 85.65302),(11 85.532326),(12 91.88365),(13 110.48121),(14 117.29001),(15 117.27055),(16 125.581535),(17 138.8781),(18 146.54912),(19 146.98244),(20 151.70543),(21 162.55666),(22 167.68031),(23 167.79855),(24 172.6937),(25 178.9333),(26 183.84006),(27 184.0123),(28 188.90742),(29 198.18047),(30 201.58034),(31 201.53398),(32 204.96933),(33 216.33574),(34 222.05856),(35 222.31908),(36 225.77829),(37 235.18063),(38 240.28864),(39 240.2593),(40 244.56654),(41 236.52737),(42 232.9738),
(1 9.562842),(2 16.374672),(3 16.373697),(4 24.192312),(5 44.427578),(6 56.311703),(7 56.18416),(8 69.31813),(9 94.636314),(10 103.41545),(11 103.53902),(12 108.54876),(13 121.06496),(14 129.05132),(15 128.7573),(16 138.38666),(17 156.69739),(18 164.16563),(19 164.04276),(20 169.46317),(21 173.55208),(22 180.81177),(23 180.84727),(24 189.73138),(25 201.64732),(26 206.49915),(27 206.73018),(28 212.08086),(29 224.73778),(30 232.76106),(31 232.70528),(32 239.49779),(33 239.9387),(34 238.07698),(35 238.05197),(36 239.40826),(37 234.0169),(38 237.28198),(39 237.09912),(40 240.45065),(41 238.88857),(42 239.10406),
(1 7.9228864),(2 13.460928),(3 13.447418),(4 20.14678),(5 39.11587),(6 49.750412),(7 49.80616),(8 60.703545),(9 80.325096),(10 87.82862),(11 87.85419),(12 93.99166),(13 101.47828),(14 104.55644),(15 104.51883),(16 109.04776),(17 125.19567),(18 132.13422),(19 132.13867),(20 137.2734),(21 148.82565),(22 155.63438),(23 155.66985),(24 163.2875),(25 172.3543),(26 179.70741),(27 179.85527),(28 186.95822),(29 199.4378),(30 200.32172),(31 200.35274),(32 208.6326),(33 229.21753),(34 237.40265),(35 237.57042),(36 242.89825),(37 252.39117),(38 255.25224),(39 255.19386),(40 256.0991),(41 257.876),(42 255.26494),
(1 9.246008),(2 15.303387),(3 15.310557),(4 21.932306),(5 39.502533),(6 47.998016),(7 47.952892),(8 56.982456),(9 74.46596),(10 83.51233),(11 83.642525),(12 88.277794),(13 99.54125),(14 107.96254),(15 107.8931),(16 117.76049),(17 138.01314),(18 147.85696),(19 147.94264),(20 155.57187),(21 168.0817),(22 174.35052),(23 174.4696),(24 181.49161),(25 184.78462),(26 188.43147),(27 188.15388),(28 192.13643),(29 200.81612),(30 202.67618),(31 202.67601),(32 208.47043),(33 219.39008),(34 221.11772),(35 220.94087),(36 224.6192),(37 228.24908),(38 227.2548),(39 227.30504),(40 227.0419),(41 234.83826),(42 233.9681),
(1 8.242773),(2 14.421848),(3 14.424863),(4 20.713902),(5 36.83974),(6 45.0318),(7 44.882626),(8 54.52236),(9 74.47327),(10 82.22305),(11 82.28971),(12 86.31519),(13 98.20417),(14 103.14458),(15 103.38801),(16 110.25284),(17 115.75182),(18 118.474915),(19 118.43351),(20 122.73345),(21 138.63054),(22 144.016),(23 143.969),(24 151.16475),(25 159.55383),(26 163.74442),(27 163.93619),(28 168.0195),(29 177.42157),(30 177.86441),(31 177.83534),(32 179.29277),(33 186.87973),(34 194.6856),(35 194.38228),(36 200.26962),(37 205.31805),(38 206.29208),(39 206.02405),(40 208.19702),(41 207.81464),(42 206.5551),
(1 8.410437),(2 15.231629),(3 15.2345),(4 21.529985),(5 39.98009),(6 50.512592),(7 50.585823),(8 60.179523),(9 78.79433),(10 87.7256),(11 87.785774),(12 94.67184),(13 103.18954),(14 110.09915),(15 110.28869),(16 116.08641),(17 125.2434),(18 132.99396),(19 133.19588),(20 140.4436),(21 160.19508),(22 170.25748),(23 170.46347),(24 180.0552),(25 190.25858),(26 192.71005),(27 192.93083),(28 191.34508),(29 194.69911),(30 194.54619),(31 194.64505),(32 197.4825),(33 204.27855),(34 208.48253),(35 207.82353),(36 210.87819),(37 212.07318),(38 211.35628),(39 211.38152),(40 209.24013),(41 205.16216),(42 203.22174),
(1 7.8709445),(2 13.274093),(3 13.265713),(4 18.497969),(5 32.120766),(6 39.732944),(7 39.776096),(8 48.773064),(9 68.97076),(10 78.52426),(11 78.63879),(12 86.40897),(13 104.36735),(14 111.61706),(15 111.827),(16 119.319084),(17 132.5485),(18 139.17636),(19 139.3523),(20 143.81662),(21 146.83527),(22 147.23338),(23 147.31198),(24 147.4795),(25 146.32175),(26 145.51001),(27 145.36038),(28 145.76624),(29 150.96722),(30 151.82715),(31 151.8802),(32 154.72107),(33 160.50537),(34 159.28719),(35 158.86057),(36 163.1432),(37 161.5317),(38 160.28268),(39 160.38828),(40 161.93718),(41 165.63504),(42 165.96759),
(1 8.227961),(2 14.154185),(3 14.154856),(4 18.94395),(5 33.972485),(6 42.092785),(7 42.092632),(8 51.206455),(9 73.194496),(10 82.68158),(11 82.794014),(12 90.22881),(13 106.66903),(14 115.76889),(15 116.08294),(16 122.77783),(17 137.20752),(18 139.71713),(19 139.81644),(20 140.85074),(21 143.00922),(22 146.85739),(23 147.14636),(24 153.7759),(25 153.15196),(26 151.94273),(27 152.05386),(28 152.69936),(29 159.28542),(30 161.38052),(31 161.37967),(32 164.4891),(33 172.11365),(34 177.75545),(35 177.4473),(36 181.18205),(37 182.31615),(38 186.7997),(39 186.69109),(40 186.44226),(41 182.31258),(42 183.89857),
(1 11.200331),(2 20.008007),(3 20.001152),(4 28.112558),(5 44.65461),(6 53.63794),(7 53.65235),(8 64.74336),(9 84.915695),(10 93.8358),(11 94.000015),(12 100.68074),(13 118.412224),(14 122.781425),(15 122.94755),(16 125.619576),(17 138.3722),(18 141.08568),(19 141.5116),(20 143.62933),(21 155.1371),(22 160.48808),(23 160.69296),(24 168.0186),(25 169.88272),(26 168.15097),(27 168.30792),(28 164.43576),(29 165.98318),(30 172.38933),(31 172.47725),(32 176.3845),(33 187.05278),(34 192.65182),(35 192.33908),(36 195.23396),(37 202.64699),(38 207.96042),(39 208.10706),(40 213.2469),(41 208.82286),(42 211.31342),
(1 11.043841),(2 18.863407),(3 18.86144),(4 26.60367),(5 48.60271),(6 58.87677),(7 58.941),(8 69.15379),(9 90.62024),(10 100.1816),(11 100.27073),(12 107.065735),(13 121.40512),(14 126.83848),(15 127.22994),(16 132.58408),(17 145.62527),(18 150.89476),(19 151.18086),(20 156.26913),(21 160.79488),(22 162.28517),(23 162.20021),(24 162.78206),(25 163.67918),(26 164.77037),(27 164.67819),(28 165.97456),(29 172.93344),(30 175.59186),(31 175.6748),(32 182.54674),(33 192.8991),(34 195.06392),(35 195.09479),(36 202.76544),(37 212.94896),(38 213.80191),(39 213.75162),(40 210.29323),(41 213.06929),(42 214.37756),
(1 10.679606),(2 18.779713),(3 18.77466),(4 25.778118),(5 42.2161),(6 50.837746),(7 50.923904),(8 62.065945),(9 83.18765),(10 91.657135),(11 91.905304),(12 98.60753),(13 115.66702),(14 122.069954),(15 122.17117),(16 124.096924),(17 131.98097),(18 139.00194),(19 138.88559),(20 143.16835),(21 151.38264),(22 155.11043),(23 155.05353),(24 158.58305),(25 161.55455),(26 162.84271),(27 162.94554),(28 164.19016),(29 172.70753),(30 179.41522),(31 179.43356),(32 189.67691),(33 201.12538),(34 208.32872),(35 208.06021),(36 217.9531),(37 220.33862),(38 222.71161),(39 222.57019),(40 225.68408),(41 229.43724),(42 230.47614),
(1 10.117564),(2 17.49065),(3 17.493174),(4 25.122772),(5 41.726044),(6 49.85166),(7 49.97989),(8 59.47961),(9 79.180046),(10 85.97538),(11 86.30043),(12 92.42729),(13 104.263824),(14 109.04121),(15 109.003876),(16 114.13068),(17 125.55274),(18 133.42943),(19 133.62645),(20 140.8519),(21 150.97948),(22 151.6828),(23 151.7879),(24 155.05595),(25 154.3248),(26 153.90833),(27 153.86018),(28 155.75815),(29 165.43613),(30 174.13168),(31 174.11615),(32 181.38959),(33 195.58037),(34 202.36446),(35 202.22484),(36 204.08104),(37 203.36487),(38 202.12164),(39 202.14137),(40 205.51605),(41 204.07771),(42 204.95428),
(1 9.550492),(2 16.524014),(3 16.5252),(4 21.725677),(5 38.48919),(6 46.985394),(7 47.03705),(8 58.577866),(9 78.482605),(10 86.346954),(11 86.42917),(12 95.453316),(13 113.026794),(14 118.1417),(15 118.055016),(16 122.38875),(17 136.2426),(18 143.724),(19 143.59805),(20 147.31561),(21 151.19197),(22 155.17822),(23 155.3414),(24 155.47868),(25 155.35742),(26 155.32582),(27 155.27478),(28 155.63742),(29 163.67789),(30 167.8606),(31 167.85596),(32 173.97842),(33 172.76985),(34 174.69995),(35 174.62202),(36 177.90047),(37 185.8347),(38 184.80135),(39 184.63597),(40 184.24182),(41 183.173),(42 184.12134),
