1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 188.76038),(2 224.69075),(3 243.04482),(4 259.54883),(5 272.86676),(6 278.7202),(7 285.31683),(8 292.81955),(9 295.0166),(10 303.23563),(11 305.15338),(12 314.9683),(13 320.21942),(14 322.3963),(15 327.03973),(16 327.25076),(17 331.8922),(18 337.92014),(19 342.10977),(20 337.18393),(21 336.051),(22 341.83755),(23 336.37708),(24 339.75403),(25 341.65414),(26 339.83862),(27 347.45905),(28 339.24487),(29 345.494),(30 346.77002),(31 353.8628),(32 347.00095),(33 348.41852),(34 353.0612),(35 355.0939),(36 356.53424),(37 353.54486),(38 350.95374),(39 355.66016),(40 353.53268),(41 359.19025),(42 359.2981),(43 359.10684),(44 362.5919),(45 363.5053),(46 362.48474),(47 360.82477),(48 362.29697),(49 359.93106),(50 354.78714),(51 361.2534),(52 357.83392),(53 359.4071),(54 359.44925),(55 354.94067),(56 349.45398),(57 350.10287),(58 353.7396),(59 354.487),(60 360.85965),(61 357.11783),(62 361.8206),(63 365.72437),(64 364.81613),(65 362.459),(66 360.59995),(67 359.317),(68 362.2815),(69 361.96182),(70 364.79587),(71 368.28455),(72 365.80127),(73 369.8439),(74 369.88223),(75 376.79688),(76 368.50134),(77 371.57465),(78 367.2713),(79 368.84372),
(1 189.74608),(2 223.20468),(3 242.73755),(4 258.36115),(5 272.2906),(6 281.3336),(7 287.24066),(8 295.11523),(9 299.9422),(10 308.49957),(11 311.34003),(12 317.31662),(13 322.56845),(14 323.2645),(15 330.3111),(16 329.5203),(17 337.65985),(18 342.9479),(19 344.36993),(20 350.24792),(21 346.2749),(22 346.0802),(23 346.3125),(24 342.22012),(25 344.79382),(26 340.34595),(27 351.32318),(28 346.4254),(29 343.87216),(30 343.26755),(31 349.66434),(32 340.5411),(33 342.69397),(34 343.01697),(35 342.4756),(36 337.54346),(37 337.1893),(38 338.7774),(39 337.59647),(40 332.98743),(41 337.51193),(42 335.8968),(43 339.01157),(44 336.20422),(45 341.8124),(46 342.0485),(47 338.25522),(48 334.94644),(49 336.9152),(50 333.38675),(51 335.7478),(52 334.6224),(53 339.9505),(54 340.91653),(55 344.1773),(56 342.87894),(57 344.34567),(58 345.9954),(59 347.9978),(60 352.05856),(61 353.87848),(62 356.61008),(63 358.8361),(64 356.72586),(65 362.00525),(66 361.5903),(67 363.49466),(68 361.37073),(69 359.9009),(70 362.95596),(71 360.87564),(72 358.9989),(73 363.09076),(74 363.22028),(75 368.9934),(76 366.4185),(77 371.69687),(78 367.7526),(79 369.97058),
(1 187.57306),(2 220.02011),(3 237.88777),(4 250.06836),(5 268.92465),(6 273.9444),(7 285.4567),(8 295.34198),(9 297.57974),(10 309.67584),(11 315.70914),(12 318.1067),(13 321.75797),(14 324.98904),(15 332.0329),(16 326.06305),(17 330.2087),(18 330.6056),(19 335.5494),(20 333.3091),(21 332.7507),(22 336.0118),(23 336.9494),(24 338.33755),(25 338.69196),(26 343.26892),(27 345.9988),(28 345.68378),(29 343.54507),(30 347.28955),(31 346.82922),(32 343.335),(33 346.87445),(34 346.05707),(35 345.17758),(36 347.29138),(37 348.7796),(38 343.81134),(39 341.4963),(40 340.7546),(41 339.4475),(42 335.05396),(43 343.21497),(44 341.4059),(45 341.9065),(46 341.12805),(47 342.00345),(48 338.3718),(49 335.41086),(50 338.91885),(51 343.84302),(52 347.2932),(53 350.6039),(54 353.6471),(55 354.98645),(56 354.75595),(57 352.72055),(58 356.76923),(59 361.3957),(60 360.59885),(61 360.0328),(62 362.7182),(63 368.18036),(64 363.41016),(65 366.1231),(66 360.0996),(67 365.5314),(68 363.04916),(69 362.46854),(70 368.094),(71 364.02402),(72 368.32962),(73 366.51547),(74 369.81616),(75 372.5041),(76 368.92865),(77 372.34094),(78 371.79697),(79 369.35327),
(1 183.39153),(2 210.24619),(3 228.65483),(4 244.8761),(5 261.39185),(6 264.56207),(7 278.75876),(8 287.00085),(9 288.5099),(10 297.43246),(11 302.67438),(12 309.91742),(13 311.07587),(14 316.71194),(15 321.10193),(16 320.1622),(17 326.2508),(18 326.7724),(19 323.00397),(20 321.8969),(21 325.40234),(22 323.84937),(23 328.0983),(24 330.5001),(25 330.10852),(26 332.0397),(27 333.64865),(28 332.4731),(29 335.38025),(30 333.59183),(31 333.695),(32 333.89355),(33 327.9091),(34 329.43683),(35 329.3442),(36 327.35712),(37 327.93958),(38 326.61212),(39 327.9072),(40 329.5745),(41 332.26154),(42 329.31772),(43 330.22705),(44 332.96252),(45 331.8951),(46 333.81927),(47 328.99954),(48 330.61694),(49 326.84454),(50 326.94998),(51 327.75125),(52 325.91965),(53 330.08493),(54 329.58615),(55 332.7838),(56 331.49658),(57 334.8649),(58 341.4378),(59 339.20837),(60 340.2938),(61 341.60205),(62 345.18524),(63 342.13214),(64 341.6566),(65 342.93005),(66 344.0902),(67 347.51712),(68 346.9312),(69 349.07373),(70 351.11176),(71 349.46002),(72 343.90735),(73 347.63382),(74 352.2629),(75 354.72827),(76 344.58417),(77 353.1585),(78 347.7549),(79 345.58344),
(1 179.83168),(2 210.76692),(3 230.81093),(4 241.79944),(5 254.35863),(6 265.48865),(7 275.36545),(8 282.134),(9 286.17587),(10 295.5446),(11 293.02075),(12 298.162),(13 308.6549),(14 309.61905),(15 312.89285),(16 311.39902),(17 319.1768),(18 317.72174),(19 317.5065),(20 320.50128),(21 318.7505),(22 316.99738),(23 319.08618),(24 322.40805),(25 324.98898),(26 326.84064),(27 326.99246),(28 326.9319),(29 327.24207),(30 329.9743),(31 328.03683),(32 326.76215),(33 326.60757),(34 328.3008),(35 329.10498),(36 332.44315),(37 329.9079),(38 329.2936),(39 329.87537),(40 329.39484),(41 326.84506),(42 326.347),(43 331.65237),(44 332.8672),(45 328.47983),(46 328.88702),(47 331.54935),(48 334.13937),(49 331.72452),(50 330.15018),(51 333.0447),(52 328.98016),(53 331.47955),(54 329.00247),(55 332.79266),(56 327.7607),(57 329.58798),(58 334.02576),(59 333.37598),(60 336.2675),(61 338.5915),(62 341.74606),(63 343.75342),(64 342.867),(65 337.99176),(66 340.79065),(67 341.464),(68 337.37006),(69 338.46054),(70 343.9556),(71 344.11853),(72 344.42108),(73 347.58582),(74 348.71448),(75 348.19556),(76 348.03177),(77 350.09015),(78 349.25867),(79 348.65314),
(1 177.9875),(2 205.49944),(3 226.3042),(4 240.11891),(5 251.56189),(6 261.1737),(7 266.6614),(8 277.08746),(9 283.4885),(10 289.7337),(11 292.86426),(12 292.83923),(13 302.80252),(14 308.16666),(15 315.67966),(16 311.9423),(17 316.89383),(18 316.4819),(19 314.2958),(20 316.03925),(21 315.2684),(22 320.88892),(23 317.92917),(24 321.47763),(25 318.51297),(26 319.2876),(27 324.14456),(28 327.6333),(29 325.03506),(30 326.91342),(31 329.48746),(32 323.58356),(33 324.56787),(34 328.39563),(35 332.1409),(36 332.40366),(37 329.6986),(38 328.53986),(39 336.24597),(40 335.38202),(41 337.16635),(42 335.94647),(43 335.99225),(44 342.02298),(45 340.73096),(46 340.76193),(47 340.33823),(48 340.89978),(49 339.38287),(50 338.4002),(51 340.2948),(52 338.46613),(53 337.78445),(54 339.60428),(55 342.00827),(56 339.3327),(57 336.91498),(58 340.70978),(59 342.65607),(60 343.99048),(61 339.26718),(62 344.27155),(63 344.2475),(64 341.59476),(65 346.01828),(66 345.71576),(67 345.1184),(68 340.68002),(69 341.81723),(70 342.80374),(71 343.62723),(72 340.5965),(73 342.6708),(74 340.04144),(75 337.78122),(76 334.4646),(77 336.35858),(78 337.23843),(79 337.79218),
(1 180.51047),(2 207.98563),(3 228.03647),(4 241.98123),(5 255.10846),(6 261.4986),(7 272.84134),(8 278.6625),(9 286.51852),(10 290.77588),(11 290.61597),(12 293.19702),(13 299.39243),(14 301.28857),(15 303.52222),(16 302.98016),(17 305.63623),(18 304.6537),(19 307.4817),(20 309.0347),(21 305.6117),(22 310.01724),(23 313.73688),(24 314.21622),(25 317.28598),(26 319.1609),(27 325.0112),(28 323.49902),(29 326.35712),(30 323.08865),(31 321.25443),(32 320.3889),(33 322.9726),(34 324.43564),(35 330.7763),(36 331.98407),(37 334.44333),(38 331.5799),(39 338.8418),(40 333.4242),(41 334.52148),(42 335.0595),(43 339.4163),(44 337.26068),(45 336.7113),(46 339.05576),(47 338.69717),(48 337.6665),(49 340.58377),(50 337.9921),(51 338.47205),(52 336.402),(53 338.9072),(54 336.77716),(55 335.9135),(56 333.73868),(57 332.4132),(58 337.94254),(59 336.62643),(60 333.59387),(61 337.05057),(62 338.79425),(63 341.74063),(64 337.89548),(65 344.28488),(66 341.41656),(67 345.64487),(68 342.7832),(69 342.7622),(70 343.86868),(71 342.84564),(72 343.89536),(73 342.09183),(74 339.5877),(75 343.087),(76 346.3949),(77 343.43274),(78 339.9252),(79 342.27808),
(1 175.40039),(2 204.35098),(3 225.31616),(4 241.1738),(5 252.93604),(6 264.58923),(7 277.71997),(8 286.7357),(9 289.79034),(10 300.90814),(11 299.2067),(12 304.12045),(13 310.0915),(14 315.0794),(15 318.55005),(16 319.95377),(17 321.56955),(18 319.70444),(19 321.51456),(20 317.80746),(21 313.2816),(22 314.14194),(23 313.70786),(24 314.39),(25 316.02042),(26 316.1758),(27 322.03952),(28 321.60303),(29 321.65396),(30 322.10312),(31 321.25873),(32 320.85718),(33 323.23718),(34 323.01373),(35 326.42593),(36 328.88843),(37 328.68402),(38 328.03244),(39 330.29062),(40 329.38464),(41 330.43298),(42 330.59296),(43 331.64774),(44 334.8043),(45 330.04935),(46 331.90897),(47 327.71967),(48 327.1713),(49 328.83768),(50 323.56458),(51 324.59528),(52 322.0415),(53 326.4144),(54 322.85248),(55 324.1723),(56 323.51413),(57 325.11533),(58 325.87936),(59 332.0991),(60 331.16394),(61 335.03494),(62 334.78705),(63 337.49496),(64 334.606),(65 336.7894),(66 339.21448),(67 339.3146),(68 339.3305),(69 337.0369),(70 337.03262),(71 339.5278),(72 337.98145),(73 332.96915),(74 331.95862),(75 335.15683),(76 332.04303),(77 333.79593),(78 333.96255),(79 334.60638),
(1 173.53154),(2 197.77417),(3 221.0828),(4 238.8706),(5 250.84604),(6 263.0636),(7 274.1933),(8 278.60257),(9 283.75488),(10 287.14285),(11 291.85266),(12 294.96127),(13 298.3524),(14 302.97562),(15 311.5339),(16 312.70895),(17 318.4121),(18 315.30978),(19 317.3969),(20 319.7022),(21 318.16678),(22 318.8896),(23 319.05777),(24 314.8161),(25 314.29785),(26 311.7488),(27 314.47772),(28 308.47247),(29 310.96112),(30 308.77917),(31 311.58063),(32 312.21805),(33 315.7706),(34 319.7352),(35 322.82437),(36 326.20483),(37 322.11984),(38 320.14615),(39 324.22723),(40 320.6905),(41 325.26724),(42 328.16705),(43 333.05667),(44 335.35666),(45 331.09335),(46 331.052),(47 326.18735),(48 324.3808),(49 323.7119),(50 320.23315),(51 325.63568),(52 318.12817),(53 321.52582),(54 323.73798),(55 323.12836),(56 322.1247),(57 323.45605),(58 320.47342),(59 325.58023),(60 320.9987),(61 323.94153),(62 322.661),(63 318.23425),(64 319.49707),(65 314.61737),(66 316.36682),(67 320.45633),(68 321.9347),(69 320.0695),(70 320.74533),(71 321.4676),(72 320.5463),(73 319.52185),(74 318.09543),(75 321.2295),(76 319.03546),(77 318.89444),(78 316.1933),(79 315.87555),
(1 171.34763),(2 197.88876),(3 219.11513),(4 231.29674),(5 244.28587),(6 256.71057),(7 267.27512),(8 277.30658),(9 280.06876),(10 289.90472),(11 290.6809),(12 300.37183),(13 303.28207),(14 304.50162),(15 313.2185),(16 308.89038),(17 311.36502),(18 313.67224),(19 313.21295),(20 316.09036),(21 309.61188),(22 313.5801),(23 308.64206),(24 303.42978),(25 305.42502),(26 301.2177),(27 304.11014),(28 304.08313),(29 306.90717),(30 309.2154),(31 313.3237),(32 318.94052),(33 318.79858),(34 328.22617),(35 328.6726),(36 330.07397),(37 330.3023),(38 329.53677),(39 329.81058),(40 333.70605),(41 331.10596),(42 331.94943),(43 336.56088),(44 336.8374),(45 330.98535),(46 332.75452),(47 327.93033),(48 325.41718),(49 325.9217),(50 326.76117),(51 327.01614),(52 321.10635),(53 320.8702),(54 320.2462),(55 324.09155),(56 326.89374),(57 328.81143),(58 332.04892),(59 332.00778),(60 330.84024),(61 330.30716),(62 332.85333),(63 329.54965),(64 325.57043),(65 322.35925),(66 326.07187),(67 324.64905),(68 326.7801),(69 319.69833),(70 321.3139),(71 320.9914),(72 319.94),(73 317.96613),(74 315.74295),(75 318.6247),(76 315.5246),(77 313.45065),(78 313.77707),(79 315.27643),
(1 166.18715),(2 196.2346),(3 211.55972),(4 229.81088),(5 244.02408),(6 255.18727),(7 266.4798),(8 271.6762),(9 279.3755),(10 286.85678),(11 288.36713),(12 292.90637),(13 300.4551),(14 299.78076),(15 307.9862),(16 304.8211),(17 302.5128),(18 304.5763),(19 305.55212),(20 304.7171),(21 306.36798),(22 308.74036),(23 306.55072),(24 311.05),(25 312.8694),(26 311.42978),(27 313.9734),(28 313.91098),(29 315.15884),(30 315.1589),(31 314.94305),(32 316.4543),(33 319.5258),(34 322.65265),(35 323.4179),(36 323.6955),(37 321.7171),(38 323.5507),(39 328.4906),(40 322.62665),(41 327.88974),(42 329.06396),(43 330.92545),(44 327.83023),(45 325.35065),(46 324.44968),(47 320.72946),(48 319.09833),(49 313.72177),(50 313.4312),(51 313.32135),(52 307.41116),(53 312.79733),(54 309.6734),(55 307.23572),(56 306.6401),(57 306.98834),(58 305.63736),(59 306.4499),(60 306.77457),(61 308.85037),(62 305.21576),(63 305.62527),(64 303.98434),(65 301.85922),(66 301.96017),(67 304.25668),(68 305.69092),(69 303.12396),(70 306.15213),(71 303.351),(72 303.13977),(73 304.45554),(74 304.51837),(75 308.53366),(76 304.4193),(77 309.41614),(78 306.31097),(79 308.7206),
(1 166.12561),(2 196.54834),(3 214.28665),(4 234.4709),(5 246.09157),(6 257.78806),(7 271.0343),(8 282.21616),(9 286.8481),(10 294.09564),(11 294.57394),(12 303.80618),(13 305.83508),(14 306.59683),(15 307.93497),(16 311.3516),(17 311.02335),(18 305.37753),(19 306.5988),(20 309.29987),(21 306.5129),(22 303.58884),(23 303.06213),(24 300.8755),(25 301.61145),(26 297.9182),(27 301.29834),(28 299.29147),(29 302.17834),(30 301.3245),(31 304.66418),(32 311.71848),(33 310.44412),(34 314.40573),(35 316.5026),(36 317.63458),(37 317.62863),(38 314.03845),(39 319.09625),(40 320.29236),(41 326.09396),(42 320.55566),(43 326.2988),(44 320.59583),(45 319.46384),(46 312.3085),(47 312.39563),(48 307.26633),(49 307.19275),(50 306.17728),(51 311.42557),(52 309.04434),(53 310.35916),(54 310.977),(55 314.0073),(56 312.58224),(57 313.97205),(58 317.72192),(59 317.02393),(60 320.1191),(61 323.13724),(62 324.69434),(63 327.64935),(64 328.97076),(65 326.69098),(66 326.9425),(67 329.9493),(68 331.15018),(69 330.9434),(70 325.63797),(71 327.9067),(72 323.82547),(73 325.3229),(74 320.2834),(75 322.08752),(76 316.67108),(77 319.45517),(78 319.2693),(79 320.9612),
(1 161.64922),(2 193.07729),(3 213.35252),(4 234.29453),(5 244.5391),(6 261.497),(7 273.54102),(8 282.61685),(9 294.4856),(10 305.9718),(11 311.9407),(12 316.56918),(13 322.24878),(14 324.12848),(15 324.92673),(16 324.7598),(17 323.38336),(18 319.69897),(19 319.18698),(20 314.89603),(21 312.87726),(22 312.20563),(23 307.0095),(24 307.83212),(25 308.02448),(26 304.06714),(27 309.46808),(28 304.37653),(29 310.61246),(30 311.36618),(31 312.2611),(32 317.4755),(33 317.44644),(34 322.12357),(35 322.81506),(36 327.79358),(37 327.74524),(38 325.5715),(39 331.07538),(40 329.6801),(41 333.91254),(42 331.19186),(43 338.43182),(44 336.57697),(45 333.0908),(46 334.76605),(47 330.10657),(48 327.9583),(49 325.13702),(50 325.86905),(51 327.30334),(52 323.35684),(53 323.9509),(54 324.02768),(55 320.1088),(56 322.08566),(57 324.05582),(58 324.17798),(59 329.20236),(60 326.7766),(61 331.88937),(62 335.158),(63 340.5892),(64 337.14673),(65 338.76425),(66 337.7907),(67 341.28888),(68 342.4661),(69 339.9468),(70 336.73154),(71 334.5394),(72 329.3636),(73 326.20895),(74 319.47678),(75 318.8399),(76 313.80692),(77 314.43903),(78 311.67166),(79 312.50418),
(1 161.08623),(2 190.81496),(3 210.33287),(4 225.98235),(5 240.64699),(6 252.81963),(7 264.5704),(8 270.82083),(9 282.63895),(10 287.67624),(11 295.7776),(12 301.01062),(13 307.02267),(14 308.60794),(15 314.396),(16 311.26334),(17 312.61322),(18 311.32593),(19 310.19092),(20 310.01453),(21 307.2001),(22 310.61145),(23 306.7281),(24 310.26514),(25 311.22125),(26 311.25946),(27 315.6569),(28 307.77872),(29 315.0139),(30 311.4341),(31 312.48093),(32 315.5027),(33 311.50015),(34 317.1852),(35 314.62598),(36 319.86923),(37 315.0732),(38 320.46365),(39 320.8106),(40 317.29126),(41 321.79428),(42 320.60754),(43 320.48923),(44 321.7325),(45 319.0613),(46 318.67737),(47 317.8193),(48 312.27927),(49 313.4889),(50 309.9722),(51 310.8745),(52 306.78622),(53 310.9947),(54 306.08615),(55 304.27704),(56 304.84863),(57 304.03833),(58 307.8342),(59 310.68527),(60 312.48093),(61 314.1929),(62 317.6571),(63 318.118),(64 316.00815),(65 320.82745),(66 322.71936),(67 323.37683),(68 324.2351),(69 323.54227),(70 323.3703),(71 319.59488),(72 315.91385),(73 321.1289),(74 317.9985),(75 316.32608),(76 305.9954),(77 308.59537),(78 309.2751),(79 310.91324),
(1 157.02411),(2 181.7156),(3 204.93898),(4 220.52727),(5 233.85272),(6 244.12134),(7 250.55705),(8 261.58508),(9 270.60455),(10 279.67422),(11 280.84665),(12 294.2952),(13 296.16525),(14 298.85052),(15 307.6338),(16 302.09143),(17 306.6194),(18 301.48737),(19 301.75943),(20 302.26862),(21 300.01993),(22 293.32114),(23 293.8969),(24 293.12314),(25 291.90662),(26 289.6268),(27 285.71085),(28 281.76956),(29 280.40952),(30 284.4583),(31 283.77252),(32 285.25644),(33 284.55838),(34 291.1933),(35 295.66678),(36 295.57718),(37 296.5009),(38 296.52505),(39 300.7983),(40 299.95004),(41 301.73343),(42 300.88123),(43 299.65323),(44 300.01114),(45 297.5089),(46 296.76654),(47 293.90735),(48 292.7565),(49 289.6085),(50 289.09177),(51 292.92496),(52 296.1656),(53 294.46957),(54 292.2612),(55 294.80292),(56 292.9495),(57 297.3501),(58 295.08334),(59 297.75684),(60 298.51752),(61 300.36197),(62 304.6472),(63 302.88092),(64 306.90952),(65 314.22006),(66 310.23505),(67 314.0023),(68 309.9144),(69 313.54343),(70 311.85733),(71 310.95325),(72 311.05377),(73 308.42984),(74 309.80258),(75 309.68994),(76 307.93317),(77 303.7232),(78 302.91608),(79 301.53378),
(1 155.96898),(2 183.94179),(3 204.82562),(4 220.7853),(5 234.29277),(6 242.68622),(7 251.11314),(8 259.31607),(9 263.4098),(10 270.8711),(11 274.72552),(12 280.18744),(13 284.70572),(14 282.32123),(15 287.40393),(16 284.5855),(17 284.12134),(18 284.7972),(19 287.94513),(20 285.0506),(21 287.04553),(22 291.90686),(23 291.4024),(24 291.52863),(25 291.8029),(26 289.0194),(27 290.4874),(28 288.97433),(29 292.5526),(30 285.54968),(31 286.9259),(32 284.4252),(33 281.92236),(34 288.55084),(35 286.61102),(36 284.70895),(37 282.86594),(38 282.4992),(39 283.34647),(40 278.94235),(41 283.72385),(42 282.82352),(43 281.56473),(44 284.06223),(45 287.18616),(46 290.55417),(47 288.1289),(48 287.97794),(49 285.6509),(50 286.7711),(51 288.41208),(52 286.03812),(53 281.89517),(54 279.20874),(55 276.56567),(56 277.1889),(57 276.65942),(58 279.0225),(59 279.58194),(60 281.30426),(61 284.56027),(62 287.39694),(63 288.68625),(64 287.04056),(65 289.8467),(66 291.2526),(67 296.73117),(68 294.96463),(69 296.4364),(70 296.55392),(71 295.63406),(72 293.9481),(73 295.61984),(74 293.37302),(75 293.213),(76 292.89648),(77 293.27463),(78 289.2341),(79 294.59018),
(1 157.82701),(2 180.76253),(3 201.18384),(4 220.19734),(5 235.8142),(6 245.24306),(7 252.96364),(8 263.9745),(9 267.9892),(10 273.23605),(11 275.79474),(12 281.88763),(13 288.14212),(14 286.15237),(15 288.43958),(16 288.91476),(17 286.1023),(18 285.13763),(19 282.00482),(20 278.4853),(21 280.81946),(22 279.39966),(23 281.59573),(24 282.53824),(25 284.22308),(26 282.08066),(27 283.85706),(28 281.11996),(29 282.28003),(30 283.06366),(31 283.22617),(32 283.93958),(33 285.84824),(34 288.5618),(35 291.85187),(36 291.50223),(37 291.73538),(38 291.94113),(39 297.99268),(40 295.5366),(41 297.098),(42 298.72714),(43 303.48578),(44 300.62488),(45 303.94553),(46 303.47342),(47 299.0316),(48 295.90665),(49 292.55328),(50 288.79935),(51 289.59372),(52 289.85547),(53 292.53238),(54 288.19833),(55 289.86667),(56 288.6792),(57 287.2213),(58 290.8943),(59 288.16956),(60 291.33136),(61 291.84158),(62 295.60596),(63 298.19266),(64 298.31592),(65 302.83414),(66 304.2879),(67 303.95016),(68 299.01254),(69 302.45828),(70 304.35837),(71 303.56302),(72 307.49265),(73 305.06348),(74 308.21365),(75 309.45575),(76 305.56097),(77 305.9427),(78 306.17383),(79 313.38492),
(1 157.1),(2 180.40782),(3 200.33958),(4 215.84792),(5 227.85535),(6 236.71045),(7 244.26833),(8 252.18294),(9 259.53305),(10 264.2622),(11 268.14716),(12 274.42422),(13 281.19287),(14 284.1913),(15 289.4475),(16 289.6543),(17 290.934),(18 291.94522),(19 294.2962),(20 290.3424),(21 288.9277),(22 288.45135),(23 286.03363),(24 284.6688),(25 279.39517),(26 277.87756),(27 277.81674),(28 273.7245),(29 278.6664),(30 276.8871),(31 277.8736),(32 278.8547),(33 278.44617),(34 282.17303),(35 279.88153),(36 280.58102),(37 279.70215),(38 283.92432),(39 287.8383),(40 284.3218),(41 295.22046),(42 292.85342),(43 298.0968),(44 298.46283),(45 298.82553),(46 303.67966),(47 301.52274),(48 301.7835),(49 296.46957),(50 296.5771),(51 300.06253),(52 300.9665),(53 305.52795),(54 300.93164),(55 298.68094),(56 297.4522),(57 292.71585),(58 293.89087),(59 290.1165),(60 288.7301),(61 290.13644),(62 291.79608),(63 292.61234),(64 291.77753),(65 297.5024),(66 299.3967),(67 302.07846),(68 307.7888),(69 304.68378),(70 303.63055),(71 299.8166),(72 299.21924),(73 302.32562),(74 301.56363),(75 302.2322),(76 297.83426),(77 301.65698),(78 299.949),(79 300.4679),
(1 151.62839),(2 171.69632),(3 191.99466),(4 206.11115),(5 219.62732),(6 228.1837),(7 234.37422),(8 244.72691),(9 248.92206),(10 255.76228),(11 256.55032),(12 261.84595),(13 263.02927),(14 266.05698),(15 268.74844),(16 266.39453),(17 271.54565),(18 271.94888),(19 271.57086),(20 274.6115),(21 272.76477),(22 276.04843),(23 275.80743),(24 278.82672),(25 279.1116),(26 275.9264),(27 281.4483),(28 279.73352),(29 284.45743),(30 284.73032),(31 289.72598),(32 286.783),(33 282.92776),(34 289.3979),(35 284.08334),(36 286.72873),(37 284.1361),(38 283.04614),(39 283.42606),(40 281.5175),(41 283.38077),(42 283.11517),(43 283.07507),(44 281.87097),(45 281.21332),(46 281.35187),(47 283.2611),(48 281.7007),(49 279.39737),(50 281.29834),(51 282.31485),(52 277.5695),(53 279.01974),(54 279.5611),(55 275.33472),(56 275.40283),(57 273.40436),(58 272.41235),(59 277.1985),(60 275.52872),(61 273.15146),(62 271.68106),(63 276.95242),(64 274.63217),(65 277.00107),(66 278.0491),(67 277.22174),(68 282.05698),(69 284.53833),(70 285.25867),(71 283.59683),(72 284.04086),(73 286.69568),(74 282.48795),(75 282.08295),(76 279.34262),(77 279.34308),(78 276.37952),(79 277.8837),
