1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 172929.94),(2 517230.47),(3 945557),(4 1427837.1),(5 1976179.4),(6 2475474.8),(7 2915271),(8 3417374),(9 3971318),(10 4676826.5),(11 5468098.5),(12 6360872.5),(13 7391509.5),(14 8365908.5),(15 9411892),(16 10555643),(17 11575439),(18 12737005),(19 13895472),(20 15077355),(21 16160632),(22 17226352),(23 18341214),(24 19384970),(25 20322304),(26 21067696),(27 21881158),(28 22515296),(29 23095856),(30 23597654),(31 24135554),(32 24558672),(33 24880102),(34 25118960),(35 25337024),(36 25501376),(37 25565040),(38 25590054),(39 25601872),(40 25602922),(41 25589754),(42 25568200),(43 25494566),(44 25434354),(45 25354066),(46 25248490),(47 25117078),(48 24969570),(49 24845866),(50 24718552),(51 24598176),(52 24496680),(53 24479474),(54 24510632),(55 24619090),(56 24746336),(57 24983728),(58 25247022),(59 25392898),(60 25497910),(61 25650864),(62 25835578),(63 25993280),(64 26202464),(65 26388152),(66 26566930),(67 26670016),(68 26849632),(69 27077562),(70 27285226),(71 27322346),(72 27264062),(73 27182426),(74 27075152),(75 26886726),(76 26565642),(77 26335656),(78 26063190),(79 25699154),
(1 34700.59),(2 46791.316),(3 51793.258),(4 52356.813),(5 63578.375),(6 69424.15),(7 76714.44),(8 83554.52),(9 91613.62),(10 92885.8),(11 92177.69),(12 96438.664),(13 100839.945),(14 100121.91),(15 103546.055),(16 110231.19),(17 107385.92),(18 105744.5),(19 107580.016),(20 108862.5),(21 108835.17),(22 107190.75),(23 109186.06),(24 108550.555),(25 105683.375),(26 102114.836),(27 101963.96),(28 100137.35),(29 98168.09),(30 95866.3),(31 94689),(32 91867.25),(33 90473.16),(34 91061.94),(35 90901.836),(36 90190.65),(37 90380.7),(38 91480.68),(39 90999.9),(40 90325.61),(41 90784.63),(42 90941.97),(43 93504.95),(44 92647.9),(45 93800.5),(46 95241.14),(47 98578.1),(48 104531.84),(49 110139.55),(50 114252.87),(51 118206.164),(52 121599.84),(53 124756.734),(54 124789.78),(55 122026.02),(56 121597.15),(57 119813.836),(58 117614.414),(59 113436.02),(60 107238.086),(61 100669.23),(62 94534.96),(63 88093.59),(64 82655.05),(65 74883.21),(66 69088.61),(67 66140.18),(68 67066.86),(69 67037.37),(70 66665.95),(71 68664.76),(72 68514.266),(73 73103.71),(74 76632.695),(75 78940.07),(76 81288.18),(77 84189.53),(78 90806.46),(79 95180.76),
(1 34121.414),(2 47349.59),(3 52138.113),(4 53119.137),(5 64310.76),(6 70118.53),(7 78386.66),(8 87139.11),(9 94907.08),(10 97422.41),(11 97300.9),(12 102161.63),(13 107280.64),(14 106147.47),(15 109591.85),(16 117548.33),(17 112641.555),(18 114025.48),(19 116081.67),(20 116419.8),(21 114604.086),(22 111560.516),(23 113921.68),(24 112281.38),(25 108681.02),(26 106003.08),(27 104692.25),(28 102529.93),(29 100232.24),(30 99348.93),(31 97418.984),(32 95280.67),(33 94505.94),(34 96608.96),(35 95848.375),(36 94775.195),(37 96432.805),(38 98349.58),(39 98033.93),(40 96340.91),(41 97082.695),(42 97796.586),(43 100595.16),(44 100979.56),(45 103458.08),(46 105339.85),(47 109909.85),(48 116527.11),(49 121648.38),(50 124805.586),(51 125891.27),(52 129271.04),(53 133259.7),(54 133490.6),(55 131207.33),(56 129230.47),(57 126264.11),(58 122137.15),(59 117477.164),(60 112210.12),(61 105205.86),(62 99064.305),(63 92719.18),(64 86566.93),(65 78455.48),(66 72947.445),(67 68660.63),(68 69596.02),(69 69088.95),(70 67411.13),(71 69246.71),(72 68697.86),(73 72576.2),(74 77046.945),(75 79436.49),(76 80783.85),(77 84457.164),(78 91516.59),(79 97492.484),
(1 31813.02),(2 43868.09),(3 48434.89),(4 48553.13),(5 57858.81),(6 63183.06),(7 68698.68),(8 74663.555),(9 82311.6),(10 83532.98),(11 83557.86),(12 86722.016),(13 91712.766),(14 91930.516),(15 94721.17),(16 101408.46),(17 98852.51),(18 97766.97),(19 100020.14),(20 100657.625),(21 100393.35),(22 99073.5),(23 101156.14),(24 100031.06),(25 98103.51),(26 96078.51),(27 96468.29),(28 95633.58),(29 93701.87),(30 93116.07),(31 92231.14),(32 90605.06),(33 89690.055),(34 91704.08),(35 92163.22),(36 91567.02),(37 92552.58),(38 93701.75),(39 94345.805),(40 93241.24),(41 93609.54),(42 94725.85),(43 97183.586),(44 96977.98),(45 98988.72),(46 101457.5),(47 105620.82),(48 111182.98),(49 115473.28),(50 119194.43),(51 119364.72),(52 119811.22),(53 121050.484),(54 121834.02),(55 120417.42),(56 119287.305),(57 115927.164),(58 111291.62),(59 107321.71),(60 101694.75),(61 95914.02),(62 90039.4),(63 83950.02),(64 78522.12),(65 71275.91),(66 65597.66),(67 61831.81),(68 63920.746),(69 65176.652),(70 64676.62),(71 65588),(72 65431.156),(73 70659.68),(74 75280.72),(75 77297.35),(76 80011.23),(77 83278.69),(78 88678.67),(79 92366.484),
(1 32949.91),(2 45517.496),(3 49705.29),(4 49470.793),(5 57774.133),(6 63349.44),(7 67914.86),(8 73211.8),(9 79921.664),(10 81154.59),(11 80081.99),(12 83373.57),(13 87403.48),(14 86495.9),(15 88921.41),(16 93169.13),(17 91580.44),(18 91758.4),(19 93275.17),(20 94299.9),(21 94203.27),(22 92990.914),(23 96542.08),(24 97429.33),(25 94418.195),(26 92836.51),(27 93754.734),(28 93376.5),(29 91764.125),(30 91556.7),(31 89023.26),(32 87214.45),(33 85908.336),(34 87543.11),(35 87373.47),(36 86208.57),(37 87678.88),(38 89180.77),(39 89395.195),(40 88334.6),(41 89252.59),(42 90812.945),(43 92605.46),(44 93031.62),(45 94912.47),(46 96379.93),(47 99602.55),(48 104602.336),(49 109389.336),(50 113007.5),(51 115259.67),(52 116694.83),(53 118068.555),(54 117812.99),(55 116873.47),(56 116610.78),(57 113545.17),(58 108639.336),(59 104366.13),(60 99149.68),(61 93046.016),(62 86462.82),(63 80574.94),(64 75679.02),(65 68126.59),(66 62615.105),(67 61596.37),(68 63274.98),(69 64584.234),(70 65781.13),(71 67868.35),(72 68533.836),(73 71848.58),(74 75226.664),(75 77719.305),(76 79256.53),(77 83086.57),(78 87080.57),(79 90352.85),
(1 34375.023),(2 48145.59),(3 51704.28),(4 51046.37),(5 59930.027),(6 66026.97),(7 70124.27),(8 74459.18),(9 83324.58),(10 86322.23),(11 85039.59),(12 88387.5),(13 94051.83),(14 92528.34),(15 94086.695),(16 98849.07),(17 96658.95),(18 96043.83),(19 98225.18),(20 99078.87),(21 99299.47),(22 98890.72),(23 101399.53),(24 101763.62),(25 99218.34),(26 97575.17),(27 98756.26),(28 97642.73),(29 95113.02),(30 94220.336),(31 92167.92),(32 90031.33),(33 87942.34),(34 89876.81),(35 89754.8),(36 88605.62),(37 89528.33),(38 90762.46),(39 91800.836),(40 90580.79),(41 91077.195),(42 93028.16),(43 94831.29),(44 95910.16),(45 98177.62),(46 99454.51),(47 103503.49),(48 109161.83),(49 114444.914),(50 118289.945),(51 121546.34),(52 124642.43),(53 126897.4),(54 126968.47),(55 125469.57),(56 125475.83),(57 123067.03),(58 118487.88),(59 113839.3),(60 107072.67),(61 100080.58),(62 94038.7),(63 88293.625),(64 82804.21),(65 74025.22),(66 68079),(67 65174.117),(68 66811.44),(69 67814.02),(70 68071.16),(71 69079.45),(72 69649.62),(73 73092.18),(74 75739.42),(75 77073.4),(76 77757.23),(77 81199.73),(78 86457.82),(79 89913.54),
(1 29312.867),(2 39125.15),(3 42758.79),(4 43858.66),(5 50623.1),(6 55160.06),(7 59584.426),(8 63022.254),(9 69300.02),(10 71501.9),(11 71228.81),(12 73097.984),(13 77419.305),(14 77023.45),(15 78562.95),(16 82386.99),(17 80267.66),(18 80254.4),(19 81930.33),(20 82365.94),(21 82268.21),(22 81636.31),(23 83094.055),(24 82458.27),(25 80913.33),(26 78473.234),(27 78769.69),(28 78538.81),(29 76846.93),(30 76616.36),(31 75620.89),(32 73493.24),(33 72900.62),(34 74765.164),(35 74919.48),(36 74166.56),(37 74960.59),(38 75971.94),(39 76027.805),(40 74482.04),(41 74658.055),(42 74756.94),(43 75833.875),(44 76724.27),(45 78449),(46 79035.15),(47 82609.34),(48 87576.625),(49 92181.62),(50 96012.06),(51 98423.53),(52 100179.266),(53 102594.42),(54 101311.62),(55 100350.805),(56 99920.98),(57 98680.99),(58 95267.055),(59 91366.984),(60 86772.35),(61 81533.9),(62 76381.84),(63 71266.73),(64 66449.79),(65 59959.668),(66 55587.086),(67 53038.797),(68 54722.688),(69 55202.145),(70 54810.523),(71 56341.992),(72 56270.32),(73 59462.254),(74 62799.02),(75 64461.58),(76 64783.69),(77 67520.41),(78 70844.125),(79 74861.46),
(1 29534.848),(2 38833.785),(3 42616.93),(4 42228.344),(5 48453.49),(6 51822.465),(7 54598.82),(8 59262.176),(9 64691.117),(10 66131.164),(11 65661.57),(12 66554.98),(13 69738.25),(14 70004.46),(15 71429.79),(16 74902.35),(17 73869.305),(18 72860.98),(19 73874.43),(20 74879.984),(21 74576.64),(22 73874.76),(23 75420.07),(24 75862.24),(25 74559.05),(26 72841.87),(27 73600.69),(28 72909.164),(29 71611.336),(30 70894.34),(31 69953.336),(32 69213.71),(33 68021.37),(34 70206.07),(35 70419.516),(36 69010.56),(37 69686.63),(38 69813.09),(39 70706.01),(40 70117.54),(41 70018.89),(42 70958.13),(43 72418.516),(44 72812.26),(45 74935.73),(46 75612.49),(47 78396.45),(48 83506.945),(49 88284.52),(50 91211.17),(51 92718.8),(52 93342.125),(53 94990.984),(54 94518.5),(55 93001.375),(56 92568.11),(57 91090.68),(58 88396.61),(59 85464.1),(60 81777.766),(61 77749.586),(62 74017.09),(63 70108.1),(64 65942.2),(65 61321.137),(66 57016.15),(67 55710.613),(68 56567.84),(69 56845.09),(70 55780.24),(71 56928.4),(72 55900.863),(73 57936.645),(74 58915.543),(75 60055.543),(76 60108.418),(77 60642.734),(78 62738.535),(79 65447.93),
(1 27619.705),(2 36200.46),(3 40486.023),(4 41389.49),(5 46843.688),(6 49904.26),(7 53040.84),(8 57347.266),(9 62438.152),(10 62549.32),(11 61483.152),(12 63463.91),(13 66172.02),(14 65344.152),(15 66732.414),(16 69882.26),(17 69306.195),(18 68802.086),(19 69633.336),(20 69357.36),(21 69338.46),(22 69273.766),(23 70772.695),(24 70928.414),(25 69063.234),(26 67648.305),(27 67787.016),(28 67234.25),(29 66685.46),(30 65932.45),(31 65425.473),(32 65593.72),(33 64164.77),(34 66279.96),(35 67520.81),(36 67346.39),(37 66873.83),(38 67222.3),(39 68484.01),(40 67740.32),(41 68330.59),(42 68890.46),(43 69241.79),(44 69295.82),(45 71557.17),(46 72159.96),(47 74171.08),(48 78393.82),(49 82344.69),(50 84699.59),(51 85902.42),(52 86307.46),(53 87192.04),(54 86740.805),(55 85061.87),(56 85026.46),(57 84436.89),(58 82037.43),(59 79307.77),(60 76228.6),(61 73094.016),(62 69768.57),(63 65539.84),(64 61778.688),(65 57371.313),(66 53956.543),(67 52516.656),(68 52481.508),(69 52765.543),(70 52296.207),(71 52781.555),(72 52780.32),(73 53662.402),(74 55461.227),(75 56708.688),(76 57832.84),(77 59217.727),(78 61605.86),(79 64385.918),
(1 27319.793),(2 36240.8),(3 40515.65),(4 41100.543),(5 47093.223),(6 49795.664),(7 53085.285),(8 56891.035),(9 60552.277),(10 60928.52),(11 59737.395),(12 62505.156),(13 65640.03),(14 65421.492),(15 67697.46),(16 71367.555),(17 70087.125),(18 69820.88),(19 71654.9),(20 72623.25),(21 72074.31),(22 71582.74),(23 72754.5),(24 72235.625),(25 70065.836),(26 68132.22),(27 67459.96),(28 66322.55),(29 65812.76),(30 65082.035),(31 64898.434),(32 64102.273),(33 63602.83),(34 64997.066),(35 65417.797),(36 64456.31),(37 65176.31),(38 66462.875),(39 66967.484),(40 66044.125),(41 65802.05),(42 66601.9),(43 66693.82),(44 66251.99),(45 67729.45),(46 68601.21),(47 71640.89),(48 75223.55),(49 77934.13),(50 80089.91),(51 81385.266),(52 81697.54),(53 83329.42),(54 82806.37),(55 81479.37),(56 80990.87),(57 80507.516),(58 78274.3),(59 75166.77),(60 71175.1),(61 67866.914),(62 65005.215),(63 61884.66),(64 58747.773),(65 54138.87),(66 50968.684),(67 49752.71),(68 49962.82),(69 50658.285),(70 51304.402),(71 52355.992),(72 53068.65),(73 54846.754),(74 56165.344),(75 57534.246),(76 59277.47),(77 61380.734),(78 64600.023),(79 66852.38),
(1 27981.02),(2 36766.266),(3 42151.332),(4 41181.63),(5 45921.348),(6 48310.36),(7 51231.074),(8 55614.094),(9 60013.44),(10 60161.96),(11 59737.477),(12 61303.1),(13 64200.094),(14 63413.58),(15 66012.67),(16 69577.84),(17 69118.6),(18 67891.22),(19 69463.38),(20 69897.72),(21 70429.57),(22 70415.555),(23 71696.52),(24 71989.44),(25 69425.78),(26 67247.72),(27 66761.03),(28 66613.71),(29 65568.88),(30 64936.836),(31 63628.35),(32 63443.957),(33 62340.24),(34 63732.137),(35 63917.742),(36 63804.37),(37 63360.64),(38 64932.977),(39 65614.05),(40 64641.35),(41 63712.258),(42 64118.074),(43 64636.137),(44 63871.72),(45 64774.38),(46 64903.46),(47 67669.516),(48 71262.55),(49 75075.76),(50 77761.484),(51 78578.11),(52 79199.055),(53 80895.53),(54 80743.28),(55 79264.695),(56 78982.016),(57 78888.37),(58 77241.46),(59 74379.05),(60 70723.37),(61 67709.66),(62 65338.348),(63 62774.188),(64 59739.66),(65 55764.836),(66 52922.492),(67 51401.41),(68 53055.25),(69 53484.547),(70 53268.234),(71 53985.668),(72 54224.918),(73 55153.72),(74 57324.875),(75 57818.93),(76 58729.37),(77 61194.95),(78 64118.477),(79 66648.61),
(1 26658.877),(2 35827.33),(3 41432.527),(4 41261.613),(5 45158.363),(6 46905.246),(7 49620.86),(8 54073.53),(9 58871.19),(10 59137.203),(11 57067.42),(12 58626.62),(13 59386.656),(14 59960.95),(15 61541.133),(16 65889.29),(17 64673.754),(18 64321.246),(19 64900.41),(20 65435.4),(21 66369.336),(22 66751.41),(23 67944.22),(24 67472.32),(25 64653.484),(26 63032.117),(27 62438.527),(28 61996.586),(29 61648.25),(30 60694.938),(31 60475.227),(32 59328.28),(33 58955.867),(34 60862.824),(35 60384),(36 60499.977),(37 60918.2),(38 61448.203),(39 62163.977),(40 62073.246),(41 62065.54),(42 61805.668),(43 61884.66),(44 61644.504),(45 63433.777),(46 64338.46),(47 66218.41),(48 69654.55),(49 73753.69),(50 76746.43),(51 77647.03),(52 77920.945),(53 78758.85),(54 77933.11),(55 77273.31),(56 77027.4),(57 75592.19),(58 73147.055),(59 70597.77),(60 67545.1),(61 64650.098),(62 62361.04),(63 59755.4),(64 57051.953),(65 53474.07),(66 51064.566),(67 50129.953),(68 51020.293),(69 51288.203),(70 51689.586),(71 52956.004),(72 52524.902),(73 54262.73),(74 56181.67),(75 57145.824),(76 57991.906),(77 60640.434),(78 63531.082),(79 65558.92),
(1 27470.262),(2 37251.883),(3 43011.24),(4 42810.496),(5 46788.082),(6 48293.83),(7 52551.785),(8 57824.59),(9 63438.934),(10 63860.49),(11 61587.047),(12 62948.53),(13 64403.215),(14 64293.72),(15 66275.14),(16 70236.1),(17 70078.234),(18 68459.984),(19 69236.97),(20 69820.875),(21 70202.28),(22 70781.45),(23 72006.35),(24 70404.61),(25 67596.42),(26 66049.95),(27 65627.64),(28 65023.426),(29 64225.26),(30 63214.664),(31 63005.414),(32 62965.598),(33 61625.195),(34 62713.105),(35 62183.813),(36 62303.34),(37 62823.22),(38 64462.445),(39 65037.047),(40 64505.25),(41 64483.563),(42 64727.152),(43 65285.938),(44 65239.258),(45 67302.95),(46 68803.86),(47 71694.71),(48 74907.06),(49 78452.22),(50 80929.02),(51 82176.13),(52 82966.96),(53 84778.79),(54 84810.95),(55 83736.516),(56 83047.74),(57 81646.695),(58 78976.31),(59 76494.9),(60 73443.57),(61 69496.68),(62 66128.84),(63 62841.383),(64 59786.207),(65 54895.633),(66 51514.59),(67 49426.254),(68 49596.86),(69 50146.8),(70 50653.727),(71 51734.24),(72 51831.203),(73 53703.88),(74 55397.453),(75 56441.727),(76 57385.883),(77 59880.53),(78 63199.117),(79 65726.71),
(1 26866.16),(2 36744.88),(3 42381.59),(4 42439.156),(5 47320.434),(6 49961.8),(7 53791.613),(8 58905.64),(9 64532.793),(10 63726.457),(11 61455.492),(12 63440.184),(13 64049.875),(14 63919.113),(15 65845.34),(16 69844.266),(17 69550.836),(18 68524.16),(19 69608.164),(20 70210.88),(21 69289.305),(22 68036.22),(23 69742.92),(24 69184.97),(25 66173.91),(26 63798.336),(27 62654.62),(28 62066.23),(29 62100.867),(30 61071.195),(31 61248.504),(32 60616.605),(33 59799.953),(34 61130.453),(35 60823.813),(36 60822.344),(37 60961.27),(38 62554.754),(39 62444.965),(40 61666.605),(41 61484.496),(42 61616.508),(43 62585.504),(44 62458.434),(45 63962.434),(46 65650.414),(47 68949.24),(48 73288.14),(49 77466.01),(50 79671.49),(51 80804.35),(52 81187.21),(53 83640.945),(54 84275.71),(55 83064.18),(56 82554.516),(57 81098.61),(58 78438.25),(59 75575.76),(60 72695.26),(61 68522.54),(62 64643.11),(63 61048.633),(64 57710.95),(65 53165.12),(66 49714.4),(67 48425.08),(68 49215.95),(69 49788.15),(70 49437.04),(71 50195.04),(72 50322.44),(73 52223.234),(74 54233.9),(75 54642.23),(76 54943.816),(77 57986.676),(78 61488.79),(79 63135.25),
(1 26069.033),(2 35427.434),(3 41390.13),(4 42022.395),(5 46526.53),(6 48823.297),(7 52328.426),(8 57193),(9 62066.652),(10 62521.164),(11 60895.227),(12 63130.883),(13 63882.906),(14 63286.266),(15 66126.27),(16 70194.234),(17 68947.59),(18 67902.79),(19 69392.46),(20 68627.43),(21 67490.35),(22 67144.33),(23 68138.57),(24 67715.41),(25 64402.426),(26 61913.99),(27 59789.69),(28 59054.824),(29 58757.68),(30 58452.863),(31 58176.16),(32 56723.918),(33 55913.734),(34 57029.277),(35 57485.68),(36 57237.188),(37 56948.39),(38 58026.473),(39 58145.402),(40 57834.195),(41 57519.082),(42 58119.383),(43 59899.48),(44 59539.895),(45 61190.1),(46 62808.75),(47 65319.59),(48 69400.11),(49 72669.016),(50 75658.484),(51 76759.44),(52 76931.84),(53 79342.16),(54 79918.94),(55 79261.73),(56 79362.055),(57 78576.32),(58 76362.33),(59 74088.62),(60 71735.91),(61 67501.56),(62 63734.76),(63 60312.574),(64 57164.645),(65 52902.344),(66 49513.05),(67 48418.305),(68 49737.055),(69 50464.813),(70 49523.16),(71 50291.336),(72 50736.02),(73 52852.75),(74 55361.383),(75 56097.92),(76 56494.094),(77 58299.055),(78 60959.723),(79 62651.723),
(1 26052.46),(2 35414.277),(3 40662.15),(4 41192.785),(5 45086.395),(6 48040.965),(7 51415.652),(8 56288.06),(9 61965.42),(10 61719.32),(11 59877.09),(12 62054.38),(13 62744.23),(14 62401.164),(15 63194.9),(16 67889.43),(17 66858.586),(18 65968.7),(19 66615.445),(20 66362.81),(21 66000.07),(22 65167.71),(23 66643.65),(24 66648.7),(25 63603.355),(26 61293.68),(27 59982.785),(28 59107.332),(29 58149.17),(30 58025.563),(31 58460.008),(32 57684.52),(33 56477.47),(34 56944.676),(35 56331.59),(36 56451.543),(37 56007.59),(38 56558.64),(39 57053.324),(40 56441.207),(41 56193.69),(42 56771.617),(43 58692.32),(44 58166.492),(45 59721.426),(46 61041.746),(47 64105.227),(48 68222.88),(49 71984.06),(50 74667.96),(51 75620.914),(52 76417.695),(53 79071.375),(54 79798.664),(55 78811.65),(56 78364.195),(57 77748.79),(58 76927.484),(59 74924.43),(60 73032.625),(61 69626.11),(62 66764.39),(63 63445.344),(64 60011.953),(65 55086.297),(66 51749.703),(67 50247.105),(68 50746.03),(69 50839.242),(70 50133.53),(71 50199.875),(72 48742.41),(73 50598.816),(74 53152.336),(75 54579.06),(76 55756.605),(77 57023.94),(78 59072.426),(79 61148),
(1 25861.42),(2 34938.527),(3 40302.77),(4 40533.766),(5 44903.434),(6 47599.844),(7 51041.66),(8 56604.305),(9 62411.867),(10 61862.293),(11 59153.633),(12 60934.746),(13 62532.305),(14 61375.39),(15 63956.023),(16 69018.54),(17 68020.414),(18 67321.56),(19 68955.914),(20 68281.81),(21 67006.11),(22 65667.49),(23 65918.95),(24 65720.31),(25 62337.047),(26 59664.598),(27 57902.11),(28 56450.047),(29 56440.184),(30 56323.855),(31 56883.71),(32 56589.754),(33 55630.625),(34 56200.902),(35 56166.984),(36 56518.31),(37 57372.99),(38 58117.035),(39 59046.594),(40 58713.293),(41 58921.94),(42 59319.414),(43 60915.344),(44 60906.16),(45 62785.133),(46 64880.1),(47 67366.484),(48 69978.695),(49 72785.12),(50 74866.64),(51 76194.99),(52 77046.86),(53 78689.31),(54 78614.06),(55 77456.43),(56 77246.375),(57 76066.586),(58 74715.305),(59 72700.41),(60 70420.46),(61 67380.77),(62 64956.574),(63 61647.84),(64 57529.594),(65 52690.6),(66 49468.66),(67 48047.867),(68 48812.3),(69 48149.227),(70 47189.105),(71 47740.82),(72 47919.688),(73 50766.816),(74 53069.363),(75 54460.78),(76 55488.56),(77 57206.61),(78 59739.38),(79 62750.69),
(1 25546.344),(2 34872.004),(3 40291.258),(4 40388.434),(5 44568.414),(6 46771.805),(7 50325.1),(8 54846.508),(9 60672.234),(10 60340.727),(11 58569.766),(12 60065.145),(13 61538.91),(14 60430.605),(15 63637.727),(16 68499.89),(17 67645.01),(18 67187.47),(19 69009.88),(20 68602.02),(21 67017.61),(22 66114.984),(23 66459.37),(24 65455.676),(25 63200.84),(26 60709.57),(27 59008.56),(28 58287.83),(29 57947.555),(30 57726),(31 57400.69),(32 56728.645),(33 56522.91),(34 56861.58),(35 56595.285),(36 56429.76),(37 56959.95),(38 58253.727),(39 59401.21),(40 59013.37),(41 58973.89),(42 58725.54),(43 60205.492),(44 60456.305),(45 62451.313),(46 64728.473),(47 67060.17),(48 68609.45),(49 70835.88),(50 72220.15),(51 73279.23),(52 74377.12),(53 76338.04),(54 75405.484),(55 74113.06),(56 73483.75),(57 72297.81),(58 71118.805),(59 69173.445),(60 66612.54),(61 63471.62),(62 60248.133),(63 56770.07),(64 53166.855),(65 48556.395),(66 45635.473),(67 44745.355),(68 45704.504),(69 45234.21),(70 44406.12),(71 45004.055),(72 45914.207),(73 49112.348),(74 52211.94),(75 53729.336),(76 53797.676),(77 55979.383),(78 58775.94),(79 61941.305),
(1 23924.967),(2 32184.94),(3 37497.7),(4 37604.11),(5 42123.34),(6 44481.574),(7 48070.707),(8 52342.977),(9 57830.336),(10 57891.844),(11 56212.23),(12 57368.164),(13 57884.31),(14 56944.258),(15 59492.613),(16 64428.63),(17 64302.645),(18 63300.355),(19 64503.156),(20 64491.59),(21 63720.29),(22 63518.91),(23 63437.418),(24 62482.21),(25 59762.133),(26 57922.73),(27 56798.15),(28 55778.87),(29 55475.164),(30 54982.477),(31 54872.184),(32 54972.773),(33 54712.004),(34 54425.785),(35 53944.266),(36 53928.043),(37 54745.066),(38 55918.84),(39 56447.082),(40 56160.742),(41 55746.918),(42 55475.492),(43 57035.92),(44 57703.684),(45 60514.934),(46 62198.72),(47 64761.63),(48 66947.47),(49 69266.75),(50 70521.82),(51 71121.44),(52 72603.36),(53 74371.06),(54 74516.555),(55 73507.72),(56 72849.37),(57 71041.69),(58 70046.3),(59 69050.555),(60 67051.1),(61 63604.28),(62 60141.195),(63 56407.17),(64 52947.816),(65 48650.355),(66 45412.41),(67 44088.277),(68 44257.824),(69 43509.473),(70 42504.27),(71 43841.63),(72 44474.47),(73 47390.31),(74 49468.145),(75 50341.69),(76 50385.8),(77 52275.824),(78 55595.2),(79 58449.645),
