1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 960.669),(2 1421.1837),(3 1838.1189),(4 2134.5994),(5 2297.8562),(6 2428.621),(7 2571.3936),(8 2658.729),(9 2691.6519),(10 2790.7505),(11 2834.2197),(12 2822.3174),(13 2872.015),(14 2891.593),(15 2934.162),(16 3005.1377),(17 3017.9465),(18 3076.094),(19 3159.0947),(20 3163.4985),(21 3186.634),(22 3212.5427),(23 3209.9314),(24 3226.9834),(25 3271.8838),(26 3236.0786),(27 3227.881),(28 3259.1887),(29 3235.196),(30 3232.5212),(31 3243.234),(32 3227.6257),(33 3253.3486),(34 3244.851),(35 3228.3027),(36 3228.5388),(37 3244.4568),(38 3243.5103),(39 3279.4683),(40 3296.6475),(41 3284.7383),(42 3286.438),(43 3306.2236),(44 3310.8503),(45 3302.275),(46 3307.6504),(47 3328.0166),(48 3347.081),(49 3388.9905),(50 3339.8916),(51 3337.8464),(52 3325.742),(53 3296.3477),(54 3276.9243),(55 3258.9849),(56 3266.0647),(57 3326.4644),(58 3313.964),(59 3331.6694),(60 3361.4146),(61 3333.6147),(62 3366.168),(63 3428.8894),(64 3373.523),(65 3396.6394),(66 3442.6738),(67 3410.8193),(68 3392.2915),(69 3427.089),(70 3381.655),(71 3353.871),(72 3368.0305),(73 3319.8115),(74 3300.913),(75 3324.4236),(76 3305.0479),(77 3313.0913),(78 3332.3909),(79 3315.4229),
(1 974.84607),(2 1418.8265),(3 1859.9043),(4 2100.6729),(5 2272.283),(6 2416.5212),(7 2554.2502),(8 2609.0322),(9 2647.9941),(10 2746.1335),(11 2776.4014),(12 2796.7405),(13 2872.2185),(14 2851.7358),(15 2882.7192),(16 2949.2742),(17 2964.6365),(18 2974.6248),(19 3050.4587),(20 3060.632),(21 3078.6907),(22 3143.8867),(23 3129.098),(24 3113.6365),(25 3155.3484),(26 3128.4485),(27 3140.5706),(28 3128.68),(29 3103.8936),(30 3125.4346),(31 3153.303),(32 3137.86),(33 3158.8945),(34 3161.0056),(35 3134.3584),(36 3114.0967),(37 3129.9482),(38 3112.5627),(39 3119.219),(40 3128.45),(41 3142.8352),(42 3158.765),(43 3185.0305),(44 3195.8765),(45 3198.4436),(46 3205.1072),(47 3178.7463),(48 3218.3818),(49 3277.9143),(50 3248.973),(51 3268.1555),(52 3260.5295),(53 3243.8054),(54 3263.9624),(55 3243.4805),(56 3241.805),(57 3321.032),(58 3282.6611),(59 3290.8103),(60 3328.9333),(61 3301.9602),(62 3340.9944),(63 3386.3232),(64 3334.6172),(65 3326.3757),(66 3324.25),(67 3299.3865),(68 3303.96),(69 3344.5881),(70 3286.3389),(71 3277.3296),(72 3312.2979),(73 3263.7869),(74 3270.0244),(75 3291.853),(76 3263.4143),(77 3278.674),(78 3275.9333),(79 3254.8748),
(1 951.56775),(2 1416.4868),(3 1803.4032),(4 2009.9342),(5 2159.524),(6 2280.9685),(7 2385.4338),(8 2443.7961),(9 2494.993),(10 2602.1204),(11 2653.1958),(12 2686.0454),(13 2759.2139),(14 2761.4944),(15 2797.9834),(16 2857.7903),(17 2845.9385),(18 2848.1414),(19 2918.9814),(20 2930.1382),(21 2948.1716),(22 2983.0313),(23 2999.6548),(24 3011.3164),(25 3064.767),(26 3038.3572),(27 3035.3865),(28 3049.3887),(29 3002.034),(30 3006.0876),(31 3004.801),(32 2986.9143),(33 2984.7969),(34 3011.7305),(35 2998.458),(36 3011.7888),(37 3071.3245),(38 3037.105),(39 3083.6687),(40 3109.7275),(41 3107.6865),(42 3109.764),(43 3120.1204),(44 3135.3176),(45 3169.2102),(46 3170.6975),(47 3151.5798),(48 3170.303),(49 3185.233),(50 3128.4097),(51 3165.576),(52 3197.046),(53 3148.6965),(54 3137.0718),(55 3102.0144),(56 3138.945),(57 3183.2332),(58 3167.947),(59 3191.8655),(60 3226.616),(61 3187.6038),(62 3186.8474),(63 3201.7961),(64 3146.6218),(65 3141.8853),(66 3180.6733),(67 3150.3086),(68 3157.8064),(69 3184.9712),(70 3149.659),(71 3151.2446),(72 3208.764),(73 3166.8193),(74 3134.888),(75 3161.283),(76 3150.678),(77 3119.3647),(78 3179.7712),(79 3135.858),
(1 955.48914),(2 1413.54),(3 1830.3888),(4 2049.8167),(5 2195.2446),(6 2287.9033),(7 2419.626),(8 2484.003),(9 2553.0474),(10 2667.9155),(11 2723.7751),(12 2767.6304),(13 2805.708),(14 2818.0881),(15 2852.184),(16 2899.7148),(17 2917.3047),(18 2928.3435),(19 2977.0642),(20 2974.1218),(21 2973.94),(22 3023.861),(23 3041.0645),(24 3052.9873),(25 3098.1326),(26 3068.953),(27 3057.0728),(28 3112.0278),(29 3104.9304),(30 3110.4739),(31 3148.405),(32 3158.8184),(33 3156.9504),(34 3225.8308),(35 3228.8525),(36 3238.4116),(37 3283.8884),(38 3254.241),(39 3281.4666),(40 3317.2805),(41 3326.7844),(42 3317.8748),(43 3352.842),(44 3346.221),(45 3348.2117),(46 3370.5608),(47 3310.5786),(48 3335.8967),(49 3370.017),(50 3308.658),(51 3330.4094),(52 3367.6738),(53 3308.1094),(54 3331.184),(55 3291.541),(56 3295.6914),(57 3306.8384),(58 3282.2283),(59 3304.5537),(60 3350.9766),(61 3307.0432),(62 3309.3906),(63 3332.2),(64 3301.1892),(65 3339.4924),(66 3381.4153),(67 3361.0613),(68 3377.6362),(69 3393.8079),(70 3365.5823),(71 3369.0435),(72 3420.1963),(73 3378.6602),(74 3358.3645),(75 3404.7869),(76 3374.5217),(77 3333.443),(78 3374.706),(79 3345.2356),
(1 928.34235),(2 1408.0293),(3 1769.4396),(4 2009.7864),(5 2163.4084),(6 2276.6626),(7 2389.68),(8 2445.063),(9 2471.24),(10 2581.7432),(11 2602.027),(12 2639.1006),(13 2692.277),(14 2672.7478),(15 2715.8926),(16 2779.6506),(17 2787.4443),(18 2804.9412),(19 2850.9624),(20 2843.3384),(21 2850.1833),(22 2926.4617),(23 2942.0151),(24 2956.426),(25 2967.3926),(26 2937.9856),(27 2974.6191),(28 3005.64),(29 3005.4717),(30 3000.5),(31 3019.3901),(32 3020.5295),(33 3030.223),(34 3092.5933),(35 3094.3481),(36 3090.5623),(37 3144.8818),(38 3111.8296),(39 3113.7686),(40 3132.1836),(41 3144.884),(42 3156.24),(43 3179.426),(44 3164.7122),(45 3170.4814),(46 3179.2866),(47 3137.4648),(48 3146.4355),(49 3163.4153),(50 3108.6309),(51 3117.0955),(52 3148.876),(53 3152.9155),(54 3187.829),(55 3121.387),(56 3114.7935),(57 3141.8853),(58 3116.791),(59 3118.9397),(60 3136.4094),(61 3101.5144),(62 3092.1829),(63 3154.1467),(64 3117.4949),(65 3119.564),(66 3143.4136),(67 3096.5486),(68 3121.1416),(69 3129.3577),(70 3095.9326),(71 3079.1357),(72 3111.5493),(73 3100.9146),(74 3103.5212),(75 3123.0237),(76 3094.891),(77 3062.4355),(78 3096.083),(79 3055.3823),
(1 925.9291),(2 1382.9733),(3 1756.9136),(4 1964.5663),(5 2101.3977),(6 2196.1814),(7 2308.0552),(8 2364.4912),(9 2414.6465),(10 2535.8076),(11 2548.1392),(12 2577.5935),(13 2664.747),(14 2697.9102),(15 2767.7205),(16 2821.8342),(17 2805.5398),(18 2804.4463),(19 2874.0933),(20 2887.8584),(21 2884.693),(22 2947.9783),(23 2958.3943),(24 2945.385),(25 2966.9397),(26 2929.0527),(27 2937.842),(28 2989.2563),(29 2963.4036),(30 2964.7607),(31 3011.6704),(32 2993.3108),(33 2998.6462),(34 2999.9133),(35 2995.4873),(36 2994.1829),(37 3044.3772),(38 3002.2656),(39 3021.174),(40 3051.1687),(41 3065.2139),(42 3061.4148),(43 3096.3362),(44 3078.2744),(45 3109.611),(46 3143.5078),(47 3112.9312),(48 3117.2397),(49 3140.9194),(50 3100.0674),(51 3103.3044),(52 3125.765),(53 3133.1296),(54 3144.0518),(55 3106.1975),(56 3114.4038),(57 3150.247),(58 3136.55),(59 3124.1443),(60 3121.7898),(61 3119.368),(62 3138.0962),(63 3180.3765),(64 3129.4358),(65 3144.6018),(66 3174.6577),(67 3138.4055),(68 3146.4282),(69 3185.0117),(70 3147.4048),(71 3137.517),(72 3176.21),(73 3156.454),(74 3162.081),(75 3191.496),(76 3176.721),(77 3130.5398),(78 3141.586),(79 3103.4172),
(1 913.7193),(2 1347.0725),(3 1729.1835),(4 1962.6613),(5 2083.4587),(6 2179.6401),(7 2270.0938),(8 2333.9102),(9 2398.5344),(10 2489.525),(11 2527.198),(12 2554.4465),(13 2625.035),(14 2653.6365),(15 2691.0469),(16 2746.529),(17 2760.7583),(18 2788.4546),(19 2827.1619),(20 2847.667),(21 2851.6357),(22 2942.0063),(23 2951.266),(24 2941.6113),(25 2960.9546),(26 2931.3672),(27 2935.0242),(28 2959.617),(29 2937.9136),(30 2945.4958),(31 2958.5095),(32 2920.4236),(33 2933.6008),(34 2963.942),(35 2936.103),(36 2945.7283),(37 2982.862),(38 2940.553),(39 2947.3066),(40 2966.694),(41 2977.2903),(42 2977.2405),(43 2997.999),(44 2974.8994),(45 3009.0469),(46 3038.6223),(47 3022.0735),(48 3026.2346),(49 3043.397),(50 3020.5579),(51 3013.4153),(52 3011.5264),(53 3009.2476),(54 3021.7542),(55 2979.95),(56 2995.5369),(57 3020.1614),(58 3005.4976),(59 2992.983),(60 3035.3457),(61 3041.4736),(62 3055.3564),(63 3106.5645),(64 3065.6648),(65 3044.046),(66 3067.4526),(67 3040.0042),(68 3049.4421),(69 3044.6628),(70 3019.4854),(71 3026.1204),(72 3050.8232),(73 3015.0146),(74 3007.7087),(75 3010.2234),(76 2983.0393),(77 2985.3032),(78 3011.3506),(79 2981.025),
(1 914.0404),(2 1355.9885),(3 1732.7019),(4 1958.9229),(5 2089.5989),(6 2188.7595),(7 2290.1165),(8 2344.0332),(9 2375.3337),(10 2460.1335),(11 2498.4197),(12 2542.3135),(13 2627.4712),(14 2631.1643),(15 2668.8877),(16 2748.7017),(17 2763.516),(18 2761.9077),(19 2798.6545),(20 2814.3909),(21 2812.6235),(22 2864.7761),(23 2876.9927),(24 2862.6682),(25 2900.5325),(26 2900.1504),(27 2910.2317),(28 2943.8025),(29 2929.3904),(30 2919.069),(31 2923.8035),(32 2916.8306),(33 2929.0208),(34 2952.9382),(35 2961.9363),(36 2972.5613),(37 2993.5085),(38 2943.055),(39 2958.893),(40 2963.0654),(41 2968.5015),(42 2964.1284),(43 2988.7017),(44 2981.4834),(45 2998.9094),(46 3021.6042),(47 2999.505),(48 3016.3528),(49 3044.8323),(50 3024.2961),(51 3025.1353),(52 3020.095),(53 3017.2813),(54 3059.5781),(55 2995.1733),(56 2980.8513),(57 2987.7795),(58 2960.1436),(59 2942.5447),(60 2958.3972),(61 2908.9856),(62 2915.8752),(63 2930.657),(64 2863.655),(65 2874.633),(66 2893.6284),(67 2857.8726),(68 2874.9512),(69 2883.8462),(70 2854.9363),(71 2875.5603),(72 2897.5771),(73 2878.6858),(74 2878.509),(75 2910.2021),(76 2926.847),(77 2901.7258),(78 2946.3438),(79 2922.0896),
(1 881.3112),(2 1299.6249),(3 1653.23),(4 1865.7655),(5 1982.2898),(6 2089.0813),(7 2216.021),(8 2296.8606),(9 2349.0562),(10 2426.7488),(11 2454.8623),(12 2481.7556),(13 2562.469),(14 2583.5532),(15 2625.1768),(16 2725.1252),(17 2721.1287),(18 2729.3457),(19 2764.4749),(20 2751.6956),(21 2752.6333),(22 2771.1917),(23 2751.1604),(24 2741.7417),(25 2758.7385),(26 2732.3933),(27 2740.916),(28 2753.9443),(29 2747.833),(30 2758.382),(31 2763.103),(32 2743.2532),(33 2758.548),(34 2765.5376),(35 2773.735),(36 2776.343),(37 2786.0916),(38 2723.9348),(39 2726.7378),(40 2753.196),(41 2739.1487),(42 2770.4426),(43 2804.0024),(44 2797.6504),(45 2791.5503),(46 2801.6997),(47 2786.25),(48 2802.5667),(49 2840.1418),(50 2849.4553),(51 2874.1702),(52 2881.5505),(53 2879.0427),(54 2918.6929),(55 2850.3325),(56 2843.2043),(57 2871.698),(58 2856.4993),(59 2845.3423),(60 2875.7285),(61 2855.1372),(62 2880.668),(63 2911.8235),(64 2866.9934),(65 2855.0576),(66 2907.3193),(67 2866.1577),(68 2878.56),(69 2849.568),(70 2813.3452),(71 2846.055),(72 2851.0032),(73 2836.2893),(74 2840.2432),(75 2852.6304),(76 2834.1628),(77 2853.5093),(78 2890.3435),(79 2861.7026),
(1 881.207),(2 1269.0082),(3 1589.9625),(4 1829.5638),(5 1968.142),(6 2058.7715),(7 2188.5293),(8 2237.727),(9 2293.8516),(10 2355.4512),(11 2359.0784),(12 2386.5586),(13 2427.8748),(14 2441.9182),(15 2473.4746),(16 2534.8174),(17 2516.2942),(18 2532.656),(19 2548.3198),(20 2528.8015),(21 2537.1157),(22 2555.5464),(23 2536.5413),(24 2545.8877),(25 2555.903),(26 2540.7825),(27 2561.2446),(28 2570.2927),(29 2557.9404),(30 2560.7908),(31 2584.4697),(32 2567.1462),(33 2585.3167),(34 2601.7725),(35 2587.9355),(36 2596.7761),(37 2627.7224),(38 2584.683),(39 2608.8296),(40 2640.352),(41 2660.6387),(42 2674.7646),(43 2710.9155),(44 2709.2673),(45 2700.6775),(46 2696.3787),(47 2716.2969),(48 2736.2104),(49 2774.1133),(50 2748.1108),(51 2782.964),(52 2797.9526),(53 2785.196),(54 2814.1267),(55 2758.0447),(56 2745.2886),(57 2753.1702),(58 2728.5276),(59 2703.1868),(60 2751.692),(61 2730.393),(62 2745.5322),(63 2777.3865),(64 2746.8809),(65 2729.9915),(66 2744.2095),(67 2726.4653),(68 2733.991),(69 2737.186),(70 2699.7795),(71 2719.9036),(72 2732.0046),(73 2713.6028),(74 2739.222),(75 2758.7185),(76 2737.1052),(77 2756.8154),(78 2808.422),(79 2814.0547),
(1 885.1877),(2 1282.752),(3 1589.283),(4 1820.6855),(5 1957.7377),(6 2063.6138),(7 2191.6917),(8 2251.525),(9 2306.9238),(10 2401.1338),(11 2394.0313),(12 2439.0842),(13 2520.013),(14 2535.7605),(15 2584.9373),(16 2609.2583),(17 2589.9417),(18 2618.1904),(19 2630.4277),(20 2603.9194),(21 2641.629),(22 2691.3218),(23 2650.0808),(24 2658.2832),(25 2638.9348),(26 2594.2727),(27 2613.917),(28 2631.4792),(29 2602.2866),(30 2623.996),(31 2646.0315),(32 2666.9526),(33 2662.9768),(34 2699.0037),(35 2716.1377),(36 2696.7188),(37 2720.4556),(38 2704.1655),(39 2744.966),(40 2801.9805),(41 2831.7566),(42 2846.8662),(43 2889.3218),(44 2886.1162),(45 2886.47),(46 2916.2295),(47 2902.7964),(48 2893.32),(49 2902.7813),(50 2869.5928),(51 2892.1865),(52 2907.8245),(53 2900.9663),(54 2936.5833),(55 2891.2898),(56 2863.567),(57 2882.876),(58 2833.2947),(59 2829.4763),(60 2853.532),(61 2812.6484),(62 2847.053),(63 2879.599),(64 2823.8813),(65 2787.5745),(66 2826.5613),(67 2767.859),(68 2759.3948),(69 2776.6018),(70 2749.6484),(71 2753.862),(72 2762.3674),(73 2767.5635),(74 2799.0164),(75 2836.647),(76 2821.3228),(77 2846.507),(78 2876.5037),(79 2880.3762),
(1 875.71954),(2 1252.7283),(3 1548.2299),(4 1767.5847),(5 1889.5323),(6 2000.0013),(7 2095.5881),(8 2166.804),(9 2209.908),(10 2276.7134),(11 2299.2778),(12 2359.7246),(13 2413.529),(14 2416.019),(15 2464.7441),(16 2487.8892),(17 2501.5928),(18 2508.619),(19 2578.0151),(20 2558.5115),(21 2583.459),(22 2638.353),(23 2612.5789),(24 2605.1938),(25 2606.0605),(26 2580.3467),(27 2576.9312),(28 2583.3706),(29 2558.0178),(30 2552.1147),(31 2588.1353),(32 2584.8716),(33 2593.1353),(34 2606.8425),(35 2616.6838),(36 2608.4688),(37 2626.818),(38 2617.5845),(39 2665.985),(40 2721.4163),(41 2729.384),(42 2743.069),(43 2753.1978),(44 2748.013),(45 2781.4849),(46 2764.6592),(47 2735.8748),(48 2726.8098),(49 2734.1382),(50 2707.6155),(51 2719.9155),(52 2735.059),(53 2730.4045),(54 2741.6501),(55 2684.8035),(56 2684.022),(57 2711.7678),(58 2678.1704),(59 2695.126),(60 2763.606),(61 2742.8035),(62 2747.3184),(63 2767.8257),(64 2699.116),(65 2689.3948),(66 2731.7788),(67 2688.36),(68 2697.9434),(69 2721.7327),(70 2702.2837),(71 2704.846),(72 2749.272),(73 2720.3462),(74 2741.3264),(75 2769.731),(76 2775.6616),(77 2780.525),(78 2799.9468),(79 2784.8792),
(1 862.8155),(2 1255.8522),(3 1572.3793),(4 1771.739),(5 1920.4207),(6 2006.5504),(7 2103.4219),(8 2145.1582),(9 2207.3542),(10 2279.7646),(11 2282.0886),(12 2308.215),(13 2379.048),(14 2386.8877),(15 2403.9292),(16 2445.9915),(17 2447.9348),(18 2454.5383),(19 2525.0173),(20 2505.3816),(21 2526.809),(22 2582.0952),(23 2572.7834),(24 2565.002),(25 2596.3826),(26 2584.705),(27 2599.3633),(28 2617.324),(29 2595.4492),(30 2595.332),(31 2615.9495),(32 2613.2703),(33 2632.8008),(34 2648.016),(35 2619.4316),(36 2611.8928),(37 2623.4255),(38 2589.0444),(39 2610.5735),(40 2621.7683),(41 2630.501),(42 2636.9912),(43 2671.9922),(44 2679.0237),(45 2731.4543),(46 2739.3616),(47 2718.177),(48 2719.9485),(49 2723.1814),(50 2718.8281),(51 2728.5806),(52 2743.316),(53 2735.527),(54 2743.9004),(55 2705.2212),(56 2706.19),(57 2725.1243),(58 2714.5327),(59 2731.2905),(60 2781.202),(61 2740.9417),(62 2745.4858),(63 2760.4192),(64 2722.4014),(65 2719.269),(66 2743.4653),(67 2717.6704),(68 2741.2827),(69 2768.9275),(70 2739.7808),(71 2750.0654),(72 2771.1094),(73 2732.1995),(74 2743.072),(75 2769.176),(76 2756.0203),(77 2748.5376),(78 2780.62),(79 2751.2986),
(1 870.27966),(2 1262.152),(3 1587.4243),(4 1800.698),(5 1897.6754),(6 1963.7332),(7 2067.9692),(8 2116.7905),(9 2171.6062),(10 2224.218),(11 2235.2717),(12 2269.927),(13 2338.6187),(14 2344.5405),(15 2375.596),(16 2391.5422),(17 2368.7031),(18 2376.3894),(19 2431.5269),(20 2410.4492),(21 2414.5208),(22 2434.8247),(23 2418.5342),(24 2419.2358),(25 2440.028),(26 2443.6243),(27 2462.0315),(28 2490.224),(29 2463.5068),(30 2487.7527),(31 2524.2502),(32 2532.5327),(33 2541.64),(34 2544.8872),(35 2536.237),(36 2524.5908),(37 2531.4736),(38 2488.2395),(39 2537.5327),(40 2557.6638),(41 2570.7837),(42 2582.0408),(43 2619.365),(44 2656.4463),(45 2685.2935),(46 2710.6216),(47 2698.8386),(48 2712.3118),(49 2741.1711),(50 2721.0168),(51 2718.4214),(52 2698.92),(53 2687.5356),(54 2705.8057),(55 2674.8325),(56 2686.9714),(57 2702.4976),(58 2679.6204),(59 2667.6228),(60 2693.0994),(61 2665.9438),(62 2675.6658),(63 2698.4355),(64 2641.3345),(65 2633.399),(66 2655.8633),(67 2631.2117),(68 2643.8774),(69 2655.6057),(70 2611.141),(71 2641.7688),(72 2685.6506),(73 2650.4856),(74 2651.0303),(75 2668.2546),(76 2645.1602),(77 2655.2144),(78 2671.9063),(79 2652.7231),
(1 850.6247),(2 1214.916),(3 1491.0076),(4 1693.7573),(5 1796.4686),(6 1861.479),(7 1946.0157),(8 1973.1084),(9 2035.7936),(10 2116.7583),(11 2120.9895),(12 2145.7637),(13 2197.8467),(14 2200.619),(15 2208.8982),(16 2268.6047),(17 2248.4983),(18 2281.999),(19 2316.2798),(20 2279.866),(21 2310.627),(22 2348.8677),(23 2328.1763),(24 2314.6936),(25 2351.6104),(26 2333.6904),(27 2351.9075),(28 2393.1438),(29 2374.1484),(30 2373.31),(31 2369.1191),(32 2398.5618),(33 2415.8538),(34 2442.0498),(35 2442.042),(36 2447.1868),(37 2464.4387),(38 2441.044),(39 2489.9602),(40 2503.6528),(41 2496.5835),(42 2505.2686),(43 2540.321),(44 2551.6382),(45 2582.964),(46 2601.6204),(47 2607.5493),(48 2626.4438),(49 2646.817),(50 2612.6082),(51 2616.2766),(52 2614.8005),(53 2576.9495),(54 2588.8635),(55 2577.859),(56 2571.7559),(57 2599.8843),(58 2597.8508),(59 2587.3572),(60 2625.1638),(61 2588.7068),(62 2566.9329),(63 2582.1492),(64 2526.3745),(65 2519.642),(66 2541.6008),(67 2517.0051),(68 2496.5984),(69 2525.8818),(70 2495.5022),(71 2509.1838),(72 2534.8904),(73 2502.2622),(74 2515.2544),(75 2549.9653),(76 2529.3738),(77 2520.3901),(78 2546.7415),(79 2547.8252),
(1 848.3935),(2 1216.3445),(3 1502.3037),(4 1679.1028),(5 1811.957),(6 1889.3591),(7 2001.8436),(8 2026.9604),(9 2068.7817),(10 2113.6248),(11 2134.896),(12 2160.505),(13 2214.2107),(14 2221.6736),(15 2232.7407),(16 2288.298),(17 2282.9038),(18 2306.5083),(19 2342.565),(20 2340.316),(21 2343.466),(22 2366.622),(23 2349.9175),(24 2371.1077),(25 2386.375),(26 2380.025),(27 2380.3833),(28 2404.6294),(29 2394.711),(30 2408.491),(31 2409.0452),(32 2390.6682),(33 2388.1318),(34 2423.893),(35 2412.4255),(36 2436.2144),(37 2440.96),(38 2432.0803),(39 2459.1733),(40 2474.5698),(41 2479.3354),(42 2497.786),(43 2538.5247),(44 2523.5676),(45 2526.196),(46 2555.7097),(47 2554.4326),(48 2567.9336),(49 2586.5793),(50 2554.6777),(51 2553.2002),(52 2545.8376),(53 2509.1453),(54 2529.495),(55 2512.3271),(56 2544.3564),(57 2554.248),(58 2514.3372),(59 2518.1936),(60 2575.0598),(61 2533.6614),(62 2520.9849),(63 2560.5432),(64 2518.2715),(65 2499.6174),(66 2521.1143),(67 2502.3196),(68 2506.659),(69 2546.3452),(70 2507.725),(71 2534.7751),(72 2596.2437),(73 2563.7007),(74 2571.9292),(75 2636.4236),(76 2602.7998),(77 2576.2368),(78 2618.0693),(79 2589.7515),
(1 857.30914),(2 1208.9689),(3 1500.4463),(4 1656.4178),(5 1757.5217),(6 1831.8678),(7 1928.0577),(8 1967.7444),(9 2004.9849),(10 2052.753),(11 2070.526),(12 2097.261),(13 2163.841),(14 2164.7585),(15 2186.3215),(16 2232.6128),(17 2224.6355),(18 2245.1213),(19 2303.916),(20 2270.6836),(21 2278.6433),(22 2312.895),(23 2299.4463),(24 2315.0747),(25 2324.758),(26 2301.3562),(27 2313.1345),(28 2356.5142),(29 2365.6438),(30 2368.289),(31 2382.5408),(32 2382.809),(33 2374.5566),(34 2393.0889),(35 2361.578),(36 2371.9402),(37 2369.1519),(38 2364.4678),(39 2375.3271),(40 2412.5063),(41 2402.8152),(42 2412.7793),(43 2443.423),(44 2434.1558),(45 2434.2197),(46 2447.3357),(47 2440.2988),(48 2433.316),(49 2431.49),(50 2399.818),(51 2401.278),(52 2392.4045),(53 2365.7336),(54 2367.5237),(55 2353.2288),(56 2362.947),(57 2394.3914),(58 2345.5754),(59 2370.967),(60 2404.4624),(61 2401.2627),(62 2400.7036),(63 2443.1113),(64 2386.6824),(65 2373.6958),(66 2393.2861),(67 2382.2769),(68 2404.9712),(69 2432.8406),(70 2412.0496),(71 2415.2473),(72 2454.9795),(73 2451.1477),(74 2440.893),(75 2476.1377),(76 2444.7441),(77 2419.1614),(78 2444.7058),(79 2414.4355),
